#Variables:
#tasmin_CNRM-CM5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_CNRM-CM5_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CNRM-CM5_rcp45(K),tasmax_CNRM-CM5_rcp45(K),pr_CNRM-CM5_rcp45(mm)"
""
yyyy-mm-dd,tasmin_CNRM-CM5_rcp45(K),tasmax_CNRM-CM5_rcp45(K),pr_CNRM-CM5_rcp45(mm)
2006-03-18,282.337280,290.695892,0.000000
2006-03-19,282.520752,301.508881,0.000000
2006-03-20,288.261536,303.720856,0.000000
2006-03-21,290.715881,300.115540,0.666113
2006-03-22,288.963287,298.180084,0.478618
2006-03-23,285.236664,298.967865,0.000000
2006-03-24,290.090149,303.045471,0.000000
2006-03-25,283.583374,300.503723,0.000000
2006-03-26,284.070709,296.172821,3.135884
2006-03-27,282.012054,285.317261,0.791249
2006-03-28,281.893921,291.802521,0.000000
2006-03-29,279.257416,293.362610,0.000000
2006-03-30,280.806732,299.752106,0.000000
2006-03-31,285.223419,299.067230,0.000000
2006-04-01,289.840546,294.162506,0.000000
2006-04-02,290.579926,293.321655,19.755255
2006-04-03,282.584991,288.749573,1.485770
2006-04-04,279.614532,289.965424,0.505197
2006-04-05,278.785034,290.113800,0.000000
2006-04-06,282.608765,287.102844,3.610952
2006-04-07,282.400208,284.256927,21.351515
2006-04-08,281.808685,288.429047,15.049096
2006-04-09,282.682739,298.305695,0.000000
2006-04-10,283.054474,302.619934,0.000000
2006-04-11,288.821228,302.490051,0.000000
2006-04-12,287.039734,303.217804,0.000000
2006-04-13,286.814423,299.522888,0.916832
2006-04-14,283.870880,301.744598,0.000000
2006-04-15,287.442383,302.167328,0.000000
2006-04-16,286.720398,300.224182,0.000000
2006-04-17,290.368896,299.499634,2.261731
2006-04-18,292.119995,300.329803,16.726316
2006-04-19,288.156891,304.597351,0.000000
2006-04-20,288.236633,302.123657,0.000000
2006-04-21,289.049133,300.375732,0.000000
2006-04-22,290.638794,301.179352,11.982385
2006-04-23,286.878693,298.821167,0.332393
2006-04-24,285.483093,296.706604,0.000000
2006-04-25,281.568451,298.511200,0.000000
2006-04-26,286.782227,296.517395,0.000000
2006-04-27,285.181885,298.518524,0.000000
2006-04-28,290.143036,304.551636,0.000000
2006-04-29,289.114166,307.550476,0.000000
2006-04-30,290.058472,310.073120,0.000000
2006-05-01,292.480530,311.685913,0.000000
2006-05-02,293.015228,309.566162,0.000000
2006-05-03,291.308838,309.831604,0.000000
2006-05-04,293.798950,308.430023,0.000000
2006-05-05,291.151642,309.727142,0.000000
2006-05-06,292.278290,308.621765,8.638847
2006-05-07,291.073822,310.653595,0.000000
2006-05-08,292.091248,310.899994,0.000000
2006-05-09,295.902313,307.068359,8.882484
2006-05-10,296.664520,306.332916,1.056106
2006-05-11,296.753204,306.607666,0.000000
2006-05-12,294.327057,307.926544,0.713413
2006-05-13,294.976257,305.387848,0.000000
2006-05-14,293.362305,302.408630,0.847794
2006-05-15,296.589264,310.435730,0.000000
2006-05-16,295.283966,309.281128,1.428311
2006-05-17,295.998932,307.490692,5.190803
2006-05-18,296.509888,307.490234,1.346429
2006-05-19,295.372955,308.241791,0.000000
2006-05-20,295.357178,306.555328,0.000000
2006-05-21,294.190918,307.188568,0.000000
2006-05-22,294.820831,307.314209,0.000000
2006-05-23,295.025452,307.138550,0.000000
2006-05-24,294.829620,307.464386,0.000000
2006-05-25,295.454071,305.527649,2.618201
2006-05-26,294.774017,305.032562,0.000000
2006-05-27,292.702148,308.886475,0.431891
2006-05-28,294.809998,307.519928,0.000000
2006-05-29,294.590515,307.025452,4.737706
2006-05-30,295.465668,307.706024,0.000000
2006-05-31,297.675659,307.331085,3.859471
2006-06-01,298.210480,306.608734,2.074288
2006-06-02,295.654541,305.369049,0.000000
2006-06-03,295.024872,306.951355,0.000000
2006-06-04,295.758575,308.278412,0.000000
2006-06-05,296.666565,310.396027,0.000000
2006-06-06,297.231720,312.335052,0.000000
2006-06-07,297.388275,311.773834,0.000000
2006-06-08,298.066620,310.844604,0.000000
2006-06-09,298.428131,313.472717,0.000000
2006-06-10,295.935455,311.766693,0.000000
2006-06-11,295.935944,308.348328,0.000000
2006-06-12,297.405884,308.489716,0.000000
2006-06-13,296.588776,309.269196,0.000000
2006-06-14,297.461945,311.906036,0.000000
2006-06-15,298.029785,309.372681,0.000000
2006-06-16,298.290253,308.928284,0.000000
2006-06-17,296.059143,310.278442,0.000000
2006-06-18,296.485382,310.082428,0.000000
2006-06-19,297.194946,310.903931,0.000000
2006-06-20,297.866974,312.467346,0.000000
2006-06-21,297.417786,312.246155,0.000000
2006-06-22,296.939484,312.110077,0.000000
2006-06-23,297.794525,312.609192,0.000000
2006-06-24,297.761841,312.204529,0.000000
2006-06-25,298.364868,311.042999,0.000000
2006-06-26,296.867340,312.034180,0.000000
2006-06-27,298.819794,312.242767,0.000000
2006-06-28,298.291016,311.489349,0.000000
2006-06-29,299.963593,309.422852,6.927010
2006-06-30,297.433319,309.159302,4.152678
2006-07-01,296.889587,307.568695,4.160404
2006-07-02,296.605835,309.556152,0.000000
2006-07-03,297.354431,309.936554,0.329846
2006-07-04,298.520844,307.986755,0.000000
2006-07-05,296.451660,309.092255,4.790197
2006-07-06,297.623138,307.604950,1.560230
2006-07-07,298.079803,306.557953,0.000000
2006-07-08,296.124634,307.182556,7.418900
2006-07-09,297.010712,308.489349,0.000000
2006-07-10,297.369934,309.736328,0.000000
2006-07-11,297.950989,308.644928,0.000000
2006-07-12,297.000153,308.820160,0.000000
2006-07-13,296.553223,308.729950,0.000000
2006-07-14,296.303009,308.557220,0.000000
2006-07-15,296.466003,309.618195,0.000000
2006-07-16,296.658081,309.188660,0.000000
2006-07-17,297.364075,309.525970,0.000000
2006-07-18,296.871033,305.577026,1.233359
2006-07-19,295.318817,307.067719,1.455901
2006-07-20,296.302338,309.246582,0.000000
2006-07-21,296.132111,309.195435,0.000000
2006-07-22,295.737122,309.660736,0.000000
2006-07-23,297.270538,311.102478,0.000000
2006-07-24,298.323700,311.304535,0.000000
2006-07-25,297.897766,311.776642,0.000000
2006-07-26,298.168243,310.864716,0.000000
2006-07-27,298.041748,307.993164,0.000000
2006-07-28,297.594360,309.166260,0.000000
2006-07-29,297.504791,310.378235,0.000000
2006-07-30,296.641602,310.650238,0.000000
2006-07-31,296.820099,309.461670,0.000000
2006-08-01,297.777496,309.551697,0.000000
2006-08-02,298.224884,309.874420,0.000000
2006-08-03,297.740265,310.995392,0.000000
2006-08-04,295.967896,311.627441,0.000000
2006-08-05,296.543488,312.524933,0.000000
2006-08-06,296.854340,312.505524,0.000000
2006-08-07,296.317017,312.747986,0.000000
2006-08-08,296.558929,313.437164,0.000000
2006-08-09,296.762390,313.615143,0.000000
2006-08-10,296.680450,313.227661,0.000000
2006-08-11,299.585510,313.049927,0.000000
2006-08-12,299.865356,313.332489,0.000000
2006-08-13,297.567749,312.628632,0.000000
2006-08-14,297.889557,312.317902,0.000000
2006-08-15,298.253418,312.551605,0.000000
2006-08-16,297.928925,313.168091,0.000000
2006-08-17,297.266693,311.928589,0.000000
2006-08-18,297.053619,311.552429,0.000000
2006-08-19,298.571045,309.804413,0.000000
2006-08-20,297.945282,307.589722,0.517271
2006-08-21,297.544281,309.918274,0.311567
2006-08-22,297.756561,310.942566,1.872000
2006-08-23,298.076782,311.195862,2.020321
2006-08-24,297.464294,307.464569,1.368449
2006-08-25,295.260101,307.003357,0.310055
2006-08-26,295.203156,308.871002,0.000000
2006-08-27,297.049652,308.089691,2.573094
2006-08-28,296.913971,304.924194,3.284368
2006-08-29,296.186310,305.864197,7.832076
2006-08-30,296.084808,304.268860,0.000000
2006-08-31,294.935394,306.585083,3.611997
2006-09-01,294.498352,304.442871,3.542814
2006-09-02,295.560303,303.450287,0.958398
2006-09-03,292.945282,305.803314,1.415078
2006-09-04,292.942261,304.723785,10.988943
2006-09-05,293.563171,304.285553,5.998194
2006-09-06,292.954010,303.776001,3.778220
2006-09-07,291.814392,304.679047,5.729465
2006-09-08,289.640869,304.248108,24.327827
2006-09-09,291.048096,297.080170,53.100609
2006-09-10,292.270233,297.810242,84.051994
2006-09-11,295.283905,297.961761,78.131271
2006-09-12,297.453705,297.652710,24.424997
2006-09-13,295.558685,301.127350,9.145316
2006-09-14,294.273407,301.907745,2.739075
2006-09-15,293.906616,303.742310,0.000000
2006-09-16,295.087860,301.362274,0.822061
2006-09-17,296.139160,303.597992,6.373991
2006-09-18,296.958496,302.737091,0.967423
2006-09-19,296.959534,303.776062,0.000000
2006-09-20,297.443207,305.283417,5.092139
2006-09-21,294.475800,305.191223,0.659288
2006-09-22,294.820374,304.088898,0.000000
2006-09-23,291.207397,304.328735,0.000000
2006-09-24,290.801605,304.142700,0.000000
2006-09-25,292.195221,304.165253,0.000000
2006-09-26,290.153076,303.989288,0.697744
2006-09-27,289.275543,301.107239,1.910254
2006-09-28,287.990479,300.851501,0.000000
2006-09-29,286.194122,302.425598,0.000000
2006-09-30,285.552856,302.273926,0.000000
2006-10-01,287.809662,303.488464,0.000000
2006-10-02,290.784546,300.007690,31.772482
2006-10-03,291.196167,297.036804,40.847569
2006-10-04,291.785248,298.676270,13.981753
2006-10-05,289.284851,295.972595,13.764138
2006-10-06,289.626984,297.355957,3.686739
2006-10-07,289.457977,295.975647,5.081899
2006-10-08,288.405182,301.976898,0.000000
2006-10-09,285.283142,301.409332,0.000000
2006-10-10,285.899597,298.785339,0.000000
2006-10-11,284.484741,296.832977,0.000000
2006-10-12,283.768158,298.359833,0.000000
2006-10-13,286.249817,299.949554,0.000000
2006-10-14,286.542999,300.408112,0.000000
2006-10-15,287.163666,302.960236,0.000000
2006-10-16,287.180359,299.290863,0.000000
2006-10-17,285.937439,303.679749,0.000000
2006-10-18,287.950134,298.679749,0.000000
2006-10-19,286.069580,296.850433,0.000000
2006-10-20,284.806702,297.958710,0.000000
2006-10-21,283.667694,294.334015,13.720863
2006-10-22,288.560638,297.494843,5.323660
2006-10-23,286.706726,297.557648,0.000000
2006-10-24,286.573700,299.649292,0.000000
2006-10-25,289.543823,299.597656,0.000000
2006-10-26,289.127808,300.727509,0.000000
2006-10-27,289.975372,298.874573,0.281003
2006-10-28,292.130402,297.700714,0.630111
2006-10-29,293.705505,300.208923,4.956536
2006-10-30,293.202057,298.207397,15.472823
2006-10-31,292.667206,301.174286,15.130953
2006-11-01,292.516541,299.351746,7.440287
2006-11-02,292.784454,300.823059,7.839844
2006-11-03,292.331573,301.133728,6.662657
2006-11-04,289.439789,302.206085,0.000000
2006-11-05,290.187042,298.444855,0.000000
2006-11-06,293.537781,300.994629,3.615165
2006-11-07,289.441315,299.473480,0.286113
2006-11-08,291.236877,295.630859,0.408532
2006-11-09,291.950195,298.193665,1.802598
2006-11-10,290.688477,297.715118,8.158889
2006-11-11,291.224030,299.646820,0.694343
2006-11-12,290.520538,298.471985,3.056229
2006-11-13,280.920807,297.833099,0.000000
2006-11-14,278.555756,289.415131,0.000000
2006-11-15,277.732788,293.680206,0.392884
2006-11-16,280.759949,299.334656,0.000000
2006-11-17,285.716278,300.420715,0.000000
2006-11-18,290.654938,300.633453,1.490040
2006-11-19,289.454987,298.161194,0.346074
2006-11-20,290.649872,296.323090,4.686631
2006-11-21,287.081879,293.505035,23.827507
2006-11-22,281.583923,293.737701,0.547581
2006-11-23,281.204773,294.355988,0.336807
2006-11-24,280.533661,291.127136,0.514577
2006-11-25,278.939514,293.003326,0.000000
2006-11-26,285.314331,295.955536,0.000000
2006-11-27,289.517548,298.013611,10.675059
2006-11-28,290.755219,299.205994,8.146841
2006-11-29,285.227356,294.497650,0.000000
2006-11-30,278.270691,291.431061,0.000000
2006-12-01,280.195435,285.408356,8.761662
2006-12-02,274.247803,289.472046,0.000000
2006-12-03,276.114624,289.922974,0.000000
2006-12-04,276.581573,291.491699,0.000000
2006-12-05,277.125946,293.502716,0.000000
2006-12-06,279.114929,295.392456,0.000000
2006-12-07,278.989319,288.988892,0.000000
2006-12-08,273.066345,278.225983,15.986633
2006-12-09,275.023254,278.723022,4.139225
2006-12-10,279.595612,292.844788,2.961089
2006-12-11,276.119659,292.774628,0.000000
2006-12-12,279.437256,294.403473,0.000000
2006-12-13,278.643250,295.215271,0.000000
2006-12-14,290.241516,298.133453,0.545549
2006-12-15,276.393951,293.769409,0.000000
2006-12-16,274.136200,283.809418,0.000000
2006-12-17,277.158783,285.239594,0.000000
2006-12-18,285.939667,293.127777,1.370327
2006-12-19,280.834473,291.034912,3.175891
2006-12-20,278.292511,283.410828,0.000000
2006-12-21,279.465424,286.433014,0.000000
2006-12-22,278.742737,284.081146,11.432325
2006-12-23,275.444397,281.969299,0.000000
2006-12-24,278.394928,284.002258,0.000000
2006-12-25,271.005798,283.194794,0.000000
2006-12-26,272.099609,287.277313,0.000000
2006-12-27,276.332855,290.594208,0.000000
2006-12-28,280.123047,291.317474,0.546551
2006-12-29,284.775452,297.640686,2.519274
2006-12-30,280.834595,295.725372,0.000000
2006-12-31,285.681122,295.747803,0.000000
2007-01-01,282.346863,293.206970,0.000000
2007-01-02,277.177551,287.893341,0.000000
2007-01-03,274.225006,290.111786,0.000000
2007-01-04,276.396912,292.110901,0.000000
2007-01-05,276.279785,292.190613,0.000000
2007-01-06,276.960144,288.971771,0.000000
2007-01-07,275.157043,289.996704,0.000000
2007-01-08,280.736969,295.205475,0.000000
2007-01-09,280.157135,297.853973,0.000000
2007-01-10,286.431793,299.459564,1.290450
2007-01-11,275.691650,294.170288,2.560391
2007-01-12,275.150787,275.996918,6.344269
2007-01-13,274.150024,285.658844,10.182613
2007-01-14,276.066650,293.200226,0.000000
2007-01-15,282.867523,290.282379,0.000000
2007-01-16,275.257172,286.034485,0.000000
2007-01-17,275.703491,290.911163,0.000000
2007-01-18,284.168304,297.017029,5.209818
2007-01-19,290.263000,297.733521,3.297506
2007-01-20,282.936523,297.641998,0.469544
2007-01-21,284.997375,297.959961,0.286158
2007-01-22,282.827057,294.399475,0.000000
2007-01-23,280.431213,294.396545,0.000000
2007-01-24,285.641571,298.027893,0.000000
2007-01-25,283.844147,297.958893,0.000000
2007-01-26,283.291199,296.828705,0.667172
2007-01-27,282.988068,296.158905,0.000000
2007-01-28,283.456909,299.017212,0.000000
2007-01-29,283.825958,298.822937,0.000000
2007-01-30,285.262909,299.203064,0.291137
2007-01-31,286.905060,300.482300,0.000000
2007-02-01,287.289246,299.492767,0.279621
2007-02-02,286.929840,300.141327,1.820704
2007-02-03,288.249542,299.325653,0.383975
2007-02-04,286.770996,300.041962,0.503551
2007-02-05,286.444244,298.179352,0.000000
2007-02-06,281.271729,293.850922,0.000000
2007-02-07,280.064087,291.493225,0.000000
2007-02-08,286.067078,296.752380,0.536169
2007-02-09,288.102295,294.772064,1.171426
2007-02-10,278.273193,289.702667,0.000000
2007-02-11,282.890656,284.909515,0.000000
2007-02-12,280.874207,285.676422,0.000000
2007-02-13,273.923248,287.794586,0.000000
2007-02-14,280.177795,287.078339,0.387629
2007-02-15,271.525696,286.666077,0.000000
2007-02-16,277.640717,284.511536,0.000000
2007-02-17,279.861237,286.283844,36.635029
2007-02-18,274.600464,282.547394,0.000000
2007-02-19,274.956604,289.003662,0.000000
2007-02-20,276.714691,292.125488,0.000000
2007-02-21,282.521332,295.912018,0.000000
2007-02-22,284.926941,293.781067,5.332548
2007-02-23,288.369537,293.515961,7.958181
2007-02-24,289.310272,299.274292,8.921983
2007-02-25,281.111176,299.723663,0.000000
2007-02-26,281.525848,300.133820,0.499849
2007-02-27,282.537811,293.733612,6.297417
2007-02-28,278.705566,288.444336,0.000000
2007-03-01,276.949921,293.594360,0.000000
2007-03-02,284.350647,297.870514,0.000000
2007-03-03,282.387756,292.585663,0.000000
2007-03-04,275.064972,293.494781,0.000000
2007-03-05,281.510223,301.238342,0.000000
2007-03-06,283.146637,301.526428,0.000000
2007-03-07,283.091187,299.565002,0.000000
2007-03-08,285.167816,298.787354,0.000000
2007-03-09,288.320435,295.598480,0.340559
2007-03-10,290.024445,299.289734,4.610223
2007-03-11,286.838501,300.491211,1.609403
2007-03-12,284.005066,296.580505,0.000000
2007-03-13,281.486359,293.938782,0.000000
2007-03-14,279.502167,295.329407,0.000000
2007-03-15,280.570526,297.696930,0.000000
2007-03-16,282.141357,296.876617,0.000000
2007-03-17,283.294891,293.710114,0.309117
2007-03-18,289.561310,297.933502,3.251012
2007-03-19,288.214294,298.694519,4.529437
2007-03-20,276.525299,296.982727,8.396788
2007-03-21,276.533478,287.434326,1.837973
2007-03-22,276.417542,292.773132,0.000000
2007-03-23,278.776123,294.394440,0.000000
2007-03-24,280.356750,291.743164,0.000000
2007-03-25,282.017853,294.911926,0.000000
2007-03-26,289.163879,296.732056,1.603572
2007-03-27,289.193573,293.706055,0.449188
2007-03-28,280.615692,286.838806,0.000000
2007-03-29,280.046326,284.726227,6.360655
2007-03-30,277.927124,283.200928,0.429279
2007-03-31,276.425385,287.916199,0.000000
2007-04-01,277.933929,292.333984,0.000000
2007-04-02,280.487457,293.060486,0.000000
2007-04-03,282.435181,292.943787,0.000000
2007-04-04,288.824310,292.989288,0.000000
2007-04-05,287.970459,291.023865,0.401028
2007-04-06,287.784668,293.315887,15.404238
2007-04-07,286.242615,295.761200,11.205186
2007-04-08,279.510529,295.276276,0.000000
2007-04-09,281.078400,297.205597,0.000000
2007-04-10,285.421722,298.082794,0.000000
2007-04-11,291.143738,302.506989,0.000000
2007-04-12,287.623138,302.860840,0.000000
2007-04-13,289.492035,300.451660,0.768624
2007-04-14,286.324280,302.906067,0.000000
2007-04-15,284.388336,304.002106,0.000000
2007-04-16,287.309479,300.051544,0.000000
2007-04-17,284.492828,295.822968,0.000000
2007-04-18,280.269470,296.268097,0.000000
2007-04-19,281.006317,298.250916,0.000000
2007-04-20,283.340210,300.168976,0.000000
2007-04-21,284.791168,302.361237,0.000000
2007-04-22,285.179810,303.513428,0.000000
2007-04-23,286.415924,302.361664,0.000000
2007-04-24,286.153870,300.371460,0.000000
2007-04-25,286.462250,301.489777,0.000000
2007-04-26,291.196808,299.573181,0.000000
2007-04-27,291.926331,299.184418,14.967009
2007-04-28,291.884430,304.680237,17.470715
2007-04-29,290.256073,305.052704,2.409185
2007-04-30,290.026215,304.083527,0.000000
2007-05-01,293.057617,302.210968,6.071574
2007-05-02,293.684448,303.476990,5.775035
2007-05-03,290.642822,302.197723,9.351748
2007-05-04,292.637909,305.529236,2.440148
2007-05-05,293.592133,306.721405,0.000000
2007-05-06,293.992981,308.913239,0.000000
2007-05-07,293.930878,307.416534,0.000000
2007-05-08,293.794708,306.216827,0.000000
2007-05-09,293.700470,307.759186,0.000000
2007-05-10,293.952942,307.494659,1.147715
2007-05-11,293.982788,304.826477,2.104633
2007-05-12,293.874481,300.983185,4.692057
2007-05-13,294.909515,301.387909,8.101365
2007-05-14,294.466095,301.138916,5.650818
2007-05-15,295.223541,302.476624,1.826583
2007-05-16,294.488922,302.224213,0.000000
2007-05-17,293.600098,302.320740,0.000000
2007-05-18,293.054291,303.429077,0.000000
2007-05-19,293.319580,303.213684,0.000000
2007-05-20,293.872101,304.087921,1.295855
2007-05-21,293.746338,302.421112,13.057673
2007-05-22,290.873413,300.256561,0.310655
2007-05-23,289.489288,302.375793,3.799584
2007-05-24,293.631836,302.869049,8.059240
2007-05-25,292.825287,302.904449,1.748227
2007-05-26,293.141815,304.448730,1.829504
2007-05-27,294.351410,302.409973,0.000000
2007-05-28,288.534241,300.496185,0.000000
2007-05-29,286.255829,303.206146,0.000000
2007-05-30,290.998627,304.418793,0.000000
2007-05-31,294.561005,307.672119,0.712346
2007-06-01,294.960785,305.653503,0.538022
2007-06-02,290.012238,302.771027,0.000000
2007-06-03,293.377380,306.336884,0.000000
2007-06-04,293.820923,302.836823,23.628473
2007-06-05,294.795685,309.002563,5.083730
2007-06-06,292.646759,304.051941,12.948438
2007-06-07,294.641602,302.119110,8.671026
2007-06-08,293.867065,298.587463,103.356133
2007-06-09,293.161194,296.587738,39.272789
2007-06-10,294.420319,298.075562,36.992332
2007-06-11,292.066650,301.737030,38.635330
2007-06-12,295.387573,297.861420,37.761818
2007-06-13,296.007141,301.890961,31.312773
2007-06-14,294.186493,305.061371,0.000000
2007-06-15,292.082275,306.369995,0.000000
2007-06-16,296.930115,307.260803,1.647238
2007-06-17,296.061554,306.867950,0.000000
2007-06-18,295.396362,306.230774,0.000000
2007-06-19,296.170532,306.746887,0.000000
2007-06-20,296.985779,307.481598,0.000000
2007-06-21,297.027557,307.287567,0.000000
2007-06-22,296.898254,306.539246,0.000000
2007-06-23,297.819763,305.498322,1.083715
2007-06-24,295.425568,305.960571,0.000000
2007-06-25,294.665405,306.679810,0.000000
2007-06-26,294.623749,307.036072,0.000000
2007-06-27,294.948425,307.022369,0.000000
2007-06-28,294.717163,305.769470,0.000000
2007-06-29,294.012421,307.279205,4.752541
2007-06-30,295.047241,298.169769,49.951973
2007-07-01,294.738708,303.938965,5.001619
2007-07-02,295.660004,305.013855,0.624427
2007-07-03,295.337952,305.338806,0.287899
2007-07-04,295.613861,307.224731,0.000000
2007-07-05,295.708588,307.037537,0.000000
2007-07-06,295.706207,307.634064,0.000000
2007-07-07,296.667908,307.310089,0.000000
2007-07-08,295.908081,306.883331,0.000000
2007-07-09,296.012085,307.637726,0.000000
2007-07-10,296.361053,307.944580,0.000000
2007-07-11,295.754730,308.020874,0.000000
2007-07-12,296.241425,308.016235,0.288515
2007-07-13,296.239319,308.233612,0.000000
2007-07-14,296.291290,308.646912,0.000000
2007-07-15,296.732208,309.479889,0.000000
2007-07-16,296.990417,309.812531,0.810261
2007-07-17,297.254395,310.734436,0.000000
2007-07-18,298.065277,310.816040,0.000000
2007-07-19,297.749634,310.805115,0.000000
2007-07-20,297.633514,311.206360,0.000000
2007-07-21,297.341888,311.374573,0.000000
2007-07-22,296.677307,310.649902,0.000000
2007-07-23,296.448090,310.082428,0.448740
2007-07-24,296.548157,310.665100,0.000000
2007-07-25,296.743713,310.565948,0.000000
2007-07-26,297.336945,311.160400,0.000000
2007-07-27,298.982208,311.617523,0.000000
2007-07-28,298.502228,311.665192,0.000000
2007-07-29,297.432007,311.965607,0.000000
2007-07-30,296.824097,311.721893,0.000000
2007-07-31,296.545685,310.910706,0.000000
2007-08-01,297.066833,310.143158,0.000000
2007-08-02,297.229095,310.343536,0.450575
2007-08-03,297.146088,308.038696,2.704354
2007-08-04,295.109467,309.669769,0.000000
2007-08-05,295.731873,312.262115,0.000000
2007-08-06,296.814453,312.930328,0.000000
2007-08-07,297.668121,312.884491,0.000000
2007-08-08,297.902039,313.093292,0.000000
2007-08-09,296.919952,312.669830,0.000000
2007-08-10,295.788208,311.881165,0.000000
2007-08-11,296.680573,311.601013,0.000000
2007-08-12,296.825653,311.927460,0.000000
