#Variables:,
#tasmax_bcc-csm1-1_historical(K):Daily Maximum Near-Surface Air Temperature,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K)",
9/13/1950,302.405243
9/14/1950,303.356171
9/15/1950,305.759003
9/16/1950,306.04184
9/17/1950,305.994293
9/18/1950,305.098572
9/19/1950,305.666595
9/20/1950,308.47818
9/21/1950,309.091827
9/22/1950,306.844574
9/23/1950,303.011932
9/24/1950,305.571136
9/25/1950,306.905853
9/26/1950,304.051025
9/27/1950,291.035126
9/28/1950,300.249298
9/29/1950,302.948425
9/30/1950,305.638702
10/1/1950,304.854309
10/2/1950,301.735382
10/3/1950,302.814392
10/4/1950,300.535828
10/5/1950,298.21756
10/6/1950,297.764557
10/7/1950,298.584564
10/8/1950,290.472473
10/9/1950,297.93573
10/10/1950,298.574921
10/11/1950,298.635803
10/12/1950,298.9552
10/13/1950,301.585693
10/14/1950,301.519714
10/15/1950,301.999847
10/16/1950,293.510742
10/17/1950,295.694061
10/18/1950,295.302032
10/19/1950,296.609039
10/20/1950,297.901672
10/21/1950,300.063354
10/22/1950,301.069641
10/23/1950,299.573395
10/24/1950,298.860321
10/25/1950,299.473541
10/26/1950,298.03302
10/27/1950,296.03714
10/28/1950,298.117279
10/29/1950,301.550507
10/30/1950,301.57019
10/31/1950,301.531494
11/1/1950,297.57428
11/2/1950,291.72821
11/3/1950,290.410248
11/4/1950,287.404877
11/5/1950,284.984772
11/6/1950,286.826019
11/7/1950,286.031494
11/8/1950,290.643555
11/9/1950,292.931427
11/10/1950,294.398651
11/11/1950,294.304199
11/12/1950,296.920166
11/13/1950,298.114166
11/14/1950,298.436249
11/15/1950,293.056702
11/16/1950,289.109314
11/17/1950,296.360626
11/18/1950,295.72049
11/19/1950,292.038177
11/20/1950,290.237579
11/21/1950,286.247986
11/22/1950,290.190369
11/23/1950,291.650116
11/24/1950,295.137451
11/25/1950,294.111542
11/26/1950,292.826447
11/27/1950,295.704987
11/28/1950,298.779327
11/29/1950,297.551331
11/30/1950,297.777191
12/1/1950,300.015472
12/2/1950,300.307343
12/3/1950,300.040375
12/4/1950,297.618286
12/5/1950,297.405975
12/6/1950,298.166107
12/7/1950,299.620056
12/8/1950,300.346832
12/9/1950,296.929443
12/10/1950,290.999359
12/11/1950,291.755829
12/12/1950,295.021545
12/13/1950,289.693176
12/14/1950,285.689972
12/15/1950,287.710968
12/16/1950,294.532227
12/17/1950,296.225067
12/18/1950,290.408203
12/19/1950,294.722015
12/20/1950,293.815125
12/21/1950,295.911194
12/22/1950,299.655365
12/23/1950,293.500671
12/24/1950,295.027985
12/25/1950,291.763855
12/26/1950,289.458984
12/27/1950,289.700989
12/28/1950,291.49295
12/29/1950,298.165894
12/30/1950,298.111603
12/31/1950,294.028442
1/1/1951,284.667175
1/2/1951,284.610321
1/3/1951,287.23703
1/4/1951,287.7211
1/5/1951,292.282318
1/6/1951,292.862793
1/7/1951,293.006653
1/8/1951,299.323517
1/9/1951,297.655029
1/10/1951,296.660706
1/11/1951,296.212616
1/12/1951,290.306396
1/13/1951,300.086182
1/14/1951,291.147644
1/15/1951,284.770355
1/16/1951,282.473663
1/17/1951,287.07016
1/18/1951,290.088013
1/19/1951,292.866058
1/20/1951,292.924164
1/21/1951,295.967102
1/22/1951,289.151398
1/23/1951,286.260834
1/24/1951,292.787384
1/25/1951,292.101135
1/26/1951,291.305634
1/27/1951,289.460205
1/28/1951,285.300415
1/29/1951,291.972015
1/30/1951,295.134369
1/31/1951,289.486053
2/1/1951,285.175171
2/2/1951,290.229614
2/3/1951,292.387878
2/4/1951,294.953186
2/5/1951,292.275146
2/6/1951,290.060547
2/7/1951,289.292633
2/8/1951,289.7276
2/9/1951,291.336426
2/10/1951,293.51828
2/11/1951,298.093689
2/12/1951,297.73349
2/13/1951,299.110199
2/14/1951,297.347809
2/15/1951,295.45697
2/16/1951,289.790161
2/17/1951,295.615601
2/18/1951,298.961487
2/19/1951,293.477173
2/20/1951,302.157867
2/21/1951,295.295227
2/22/1951,290.509796
2/23/1951,292.40625
2/24/1951,294.954315
2/25/1951,297.160065
2/26/1951,292.622528
2/27/1951,289.607483
2/28/1951,292.068085
3/1/1951,306.4216
3/2/1951,305.09314
3/3/1951,302.701172
3/4/1951,303.553375
3/5/1951,301.451172
3/6/1951,304.046265
3/7/1951,300.609039
3/8/1951,296.802429
3/9/1951,296.485168
3/10/1951,303.568909
3/11/1951,300.295441
3/12/1951,304.397369
3/13/1951,299.397308
3/14/1951,298.371216
3/15/1951,301.990295
3/16/1951,301.75174
3/17/1951,299.794617
3/18/1951,296.635437
3/19/1951,296.644989
3/20/1951,298.041565
3/21/1951,294.729614
3/22/1951,298.227203
3/23/1951,299.043213
3/24/1951,299.357788
3/25/1951,298.665192
3/26/1951,293.077484
3/27/1951,296.630798
3/28/1951,299.117432
3/29/1951,301.71524
3/30/1951,303.021942
3/31/1951,299.774109
4/1/1951,300.929718
4/2/1951,300.682343
4/3/1951,300.16156
4/4/1951,300.803375
4/5/1951,302.090729
4/6/1951,301.849609
4/7/1951,301.474426
4/8/1951,302.672211
4/9/1951,303.088715
4/10/1951,304.571045
4/11/1951,306.769745
4/12/1951,306.138306
4/13/1951,304.297333
4/14/1951,303.774139
4/15/1951,305.420898
4/16/1951,304.455841
4/17/1951,305.98288
4/18/1951,304.468475
4/19/1951,301.353821
4/20/1951,303.635254
4/21/1951,302.592072
4/22/1951,303.492371
4/23/1951,303.709747
4/24/1951,304.648102
4/25/1951,304.297119
4/26/1951,305.478333
4/27/1951,306.953949
4/28/1951,308.735229
4/29/1951,309.890717
4/30/1951,308.860809
5/1/1951,307.68631
5/2/1951,308.254486
5/3/1951,306.953644
5/4/1951,307.828644
5/5/1951,307.872375
5/6/1951,309.663635
5/7/1951,310.628296
5/8/1951,310.431122
5/9/1951,308.906494
5/10/1951,308.106049
5/11/1951,309.497253
5/12/1951,308.865784
5/13/1951,307.618073
5/14/1951,307.435028
5/15/1951,310.593048
5/16/1951,309.882355
5/17/1951,310.637726
5/18/1951,309.539032
5/19/1951,307.997101
5/20/1951,306.989441
5/21/1951,307.437378
5/22/1951,305.751099
5/23/1951,305.956665
5/24/1951,308.802094
5/25/1951,309.639313
5/26/1951,309.821472
5/27/1951,310.673828
5/28/1951,311.972809
5/29/1951,311.115234
5/30/1951,312.247589
5/31/1951,313.881744
6/1/1951,312.389587
6/2/1951,310.688995
6/3/1951,309.974365
6/4/1951,308.641907
6/5/1951,307.900208
6/6/1951,308.90567
6/7/1951,307.984741
6/8/1951,307.436615
6/9/1951,307.591675
6/10/1951,306.362793
6/11/1951,307.2388
6/12/1951,309.436462
6/13/1951,309.343018
6/14/1951,308.167389
6/15/1951,306.752106
6/16/1951,307.677307
6/17/1951,305.222534
6/18/1951,303.863434
6/19/1951,306.127747
6/20/1951,307.250183
6/21/1951,309.084625
6/22/1951,308.856537
6/23/1951,309.402832
6/24/1951,308.749023
6/25/1951,308.020996
6/26/1951,311.379852
6/27/1951,312.296417
6/28/1951,312.159271
6/29/1951,311.305084
6/30/1951,309.07193
7/1/1951,309.903107
7/2/1951,309.518951
7/3/1951,307.787445
7/4/1951,308.039185
7/5/1951,307.543274
7/6/1951,307.521393
7/7/1951,306.200012
7/8/1951,308.625824
7/9/1951,309.943909
7/10/1951,306.40567
7/11/1951,309.649933
7/12/1951,308.330811
7/13/1951,309.45993
7/14/1951,307.677704
7/15/1951,307.710175
7/16/1951,310.15448
7/17/1951,311.279022
7/18/1951,311.336273
7/19/1951,311.17688
7/20/1951,310.291626
7/21/1951,308.724274
7/22/1951,310.393494
7/23/1951,310.962219
7/24/1951,310.88559
7/25/1951,310.027405
7/26/1951,308.881653
7/27/1951,309.02243
7/28/1951,308.087311
7/29/1951,307.964722
7/30/1951,308.552094
7/31/1951,311.585266
8/1/1951,312.127594
8/2/1951,313.001404
8/3/1951,311.815247
8/4/1951,311.479248
8/5/1951,310.468903
8/6/1951,311.215942
8/7/1951,310.574402
8/8/1951,309.249878
8/9/1951,310.335754
8/10/1951,311.709686
8/11/1951,311.892609
8/12/1951,311.09259
8/13/1951,308.939148
8/14/1951,309.017303
8/15/1951,309.962616
8/16/1951,310.913605
8/17/1951,310.776001
8/18/1951,310.795959
8/19/1951,310.843781
8/20/1951,311.348175
8/21/1951,311.888367
8/22/1951,311.656494
8/23/1951,310.851471
8/24/1951,311.431305
8/25/1951,311.114349
8/26/1951,310.598236
8/27/1951,311.230042
8/28/1951,311.702972
8/29/1951,312.718018
8/30/1951,310.86554
8/31/1951,310.128113
9/1/1951,309.59137
9/2/1951,308.655029
9/3/1951,307.540894
9/4/1951,310.455261
9/5/1951,310.67041
9/6/1951,310.038971
9/7/1951,308.972565
9/8/1951,309.145172
9/9/1951,309.975037
9/10/1951,310.858887
9/11/1951,309.570526
9/12/1951,308.180725
9/13/1951,309.032928
9/14/1951,308.165497
9/15/1951,307.490875
9/16/1951,307.914764
9/17/1951,308.751709
9/18/1951,306.837555
9/19/1951,306.263885
9/20/1951,306.181641
9/21/1951,306.440765
9/22/1951,304.320312
9/23/1951,304.134308
9/24/1951,304.445953
9/25/1951,300.46582
9/26/1951,302.692352
9/27/1951,302.924316
9/28/1951,302.863556
9/29/1951,305.772156
9/30/1951,307.337189
10/1/1951,308.033752
10/2/1951,307.263916
10/3/1951,308.42099
10/4/1951,307.964417
10/5/1951,306.590637
10/6/1951,304.842957
10/7/1951,304.03476
10/8/1951,301.244293
10/9/1951,301.440552
10/10/1951,300.485504
10/11/1951,297.258667
10/12/1951,290.678925
10/13/1951,296.323853
10/14/1951,298.385529
10/15/1951,300.914856
10/16/1951,301.550507
10/17/1951,302.268921
10/18/1951,300.816071
10/19/1951,302.803467
10/20/1951,303.463928
10/21/1951,302.624298
10/22/1951,299.690735
10/23/1951,295.812286
10/24/1951,298.052277
10/25/1951,301.886292
10/26/1951,303.391266
10/27/1951,302.339355
10/28/1951,301.440979
10/29/1951,301.598206
10/30/1951,301.041962
10/31/1951,297.670135
11/1/1951,287.912354
11/2/1951,296.216827
11/3/1951,301.368286
11/4/1951,301.076843
11/5/1951,299.075226
11/6/1951,301.707214
11/7/1951,300.32019
11/8/1951,299.266846
11/9/1951,299.697205
11/10/1951,299.250397
11/11/1951,292.666565
11/12/1951,292.214264
11/13/1951,297.94455
11/14/1951,293.584229
11/15/1951,287.749908
11/16/1951,284.282562
11/17/1951,299.093689
11/18/1951,297.239044
11/19/1951,293.254639
11/20/1951,286.18158
11/21/1951,297.62149
11/22/1951,298.216248
11/23/1951,297.343353
11/24/1951,300.449554
11/25/1951,300.28952
11/26/1951,303.249207
11/27/1951,300.105682
11/28/1951,285.325226
11/29/1951,289.075317
11/30/1951,287.759644
12/1/1951,290.810852
12/2/1951,287.576721
12/3/1951,286.500336
12/4/1951,289.789795
12/5/1951,288.247925
12/6/1951,287.890625
12/7/1951,286.796997
12/8/1951,287.654083
12/9/1951,290.994965
12/10/1951,292.957153
12/11/1951,293.954254
12/12/1951,289.815155
12/13/1951,289.621246
12/14/1951,290.988586
12/15/1951,293.727325
12/16/1951,296.310028
12/17/1951,291.292267
12/18/1951,292.991333
12/19/1951,297.078461
12/20/1951,296.220428
12/21/1951,296.218109
12/22/1951,292.838135
12/23/1951,293.961334
12/24/1951,293.401306
12/25/1951,297.039673
12/26/1951,292.888306
12/27/1951,289.466187
12/28/1951,298.306946
12/29/1951,298.936096
12/30/1951,295.391357
12/31/1951,293.648956
1/1/1952,289.447784
1/2/1952,296.568909
1/3/1952,303.240051
1/4/1952,296.950775
1/5/1952,294.55368
1/6/1952,297.76944
1/7/1952,302.686676
1/8/1952,294.089844
1/9/1952,284.656738
1/10/1952,288.118439
1/11/1952,291.679535
1/12/1952,289.844513
1/13/1952,296.705536
1/14/1952,300.275848
1/15/1952,300.823761
1/16/1952,290.105743
1/17/1952,287.739899
1/18/1952,290.34787
1/19/1952,292.900543
1/20/1952,296.245789
1/21/1952,295.321198
1/22/1952,297.324371
1/23/1952,295.470886
1/24/1952,285.463257
1/25/1952,289.918579
1/26/1952,293.695099
1/27/1952,298.718201
1/28/1952,299.9375
1/29/1952,297.559479
1/30/1952,294.717499
1/31/1952,289.055786
2/1/1952,291.983032
2/2/1952,292.410339
2/3/1952,293.250671
2/4/1952,292.859985
2/5/1952,291.668274
2/6/1952,293.708588
2/7/1952,289.841827
2/8/1952,286.821228
2/9/1952,289.438141
2/10/1952,292.474731
2/11/1952,295.655823
2/12/1952,298.036346
2/13/1952,297.525208
2/14/1952,299.240082
2/15/1952,300.972626
2/16/1952,300.014465
2/17/1952,297.403534
2/18/1952,288.235657
2/19/1952,286.520203
2/20/1952,283.641235
2/21/1952,285.397675
2/22/1952,287.931427
2/23/1952,288.671509
2/24/1952,290.131348
2/25/1952,288.660065
2/26/1952,289.149384
2/27/1952,289.856873
2/28/1952,293.77121
2/29/1952,293.457794
3/1/1952,293.144379
3/2/1952,297.593964
3/3/1952,298.223877
3/4/1952,292.641602
3/5/1952,289.083435
3/6/1952,289.069702
3/7/1952,290.739288
3/8/1952,292.57373
3/9/1952,298.635406
3/10/1952,299.982086
3/11/1952,301.553101
3/12/1952,295.277313
3/13/1952,291.868286
3/14/1952,291.357208
3/15/1952,288.16803
3/16/1952,287.019379
3/17/1952,290.097351
3/18/1952,292.229492
3/19/1952,300.265472
3/20/1952,297.380157
3/21/1952,293.310242
3/22/1952,288.318573
3/23/1952,295.226532
3/24/1952,296.500885
3/25/1952,298.29895
3/26/1952,297.756439
3/27/1952,303.379211
3/28/1952,304.247437
3/29/1952,300.567535
3/30/1952,295.91391
3/31/1952,298.241486
4/1/1952,301.449768
4/2/1952,296.085815
4/3/1952,293.325195
4/4/1952,299.589081
4/5/1952,305.474792
4/6/1952,300.518372
4/7/1952,301.718872
4/8/1952,302.755646
4/9/1952,300.523315
4/10/1952,295.931946
4/11/1952,288.53125
4/12/1952,289.530914
4/13/1952,298.848114
4/14/1952,301.628784
4/15/1952,300.870789
4/16/1952,301.057678
4/17/1952,303.403198
4/18/1952,304.591736
4/19/1952,304.222412
4/20/1952,302.262329
4/21/1952,303.063293
4/22/1952,300.712677
4/23/1952,297.014862
4/24/1952,297.203339
4/25/1952,296.589447
4/26/1952,303.735565
4/27/1952,302.562164
4/28/1952,303.03772
4/29/1952,306.158508
4/30/1952,308.295563
5/1/1952,307.041687
5/2/1952,303.728485
5/3/1952,302.439484
5/4/1952,300.925629
5/5/1952,302.785278
5/6/1952,303.621399
5/7/1952,304.012634
5/8/1952,304.5336
5/9/1952,307.582855
5/10/1952,303.771515
5/11/1952,299.102478
5/12/1952,301.476776
5/13/1952,301.740387
5/14/1952,300.954498
5/15/1952,300.998413
5/16/1952,300.309113
5/17/1952,300.957489
5/18/1952,299.727631
5/19/1952,293.938171
5/20/1952,296.474396
5/21/1952,300.421082
5/22/1952,303.863525
5/23/1952,304.314117
5/24/1952,304.838654
5/25/1952,305.906342
5/26/1952,304.910583
5/27/1952,305.532318
5/28/1952,305.96756
5/29/1952,305.806641
5/30/1952,306.928314
5/31/1952,306.143829
6/1/1952,303.47818
6/2/1952,300.573547
6/3/1952,298.226837
6/4/1952,300.389069
6/5/1952,300.505463
6/6/1952,301.903687
6/7/1952,303.027588
6/8/1952,309.393372
6/9/1952,310.940125
6/10/1952,309.026001
6/11/1952,309.826843
6/12/1952,308.814301
6/13/1952,305.913849
6/14/1952,302.355652
6/15/1952,302.327148
6/16/1952,304.888458
6/17/1952,305.487762
6/18/1952,306.523315
6/19/1952,305.743805
6/20/1952,306.117157
6/21/1952,305.928772
6/22/1952,306.039764
6/23/1952,306.945618
6/24/1952,307.843109
6/25/1952,308.44873
6/26/1952,309.935486
6/27/1952,309.914948
6/28/1952,310.113983
6/29/1952,308.969788
6/30/1952,307.185638
7/1/1952,307.51239
7/2/1952,307.403473
7/3/1952,307.227203
7/4/1952,307.345398
7/5/1952,306.893829
7/6/1952,306.624542
7/7/1952,307.48877
7/8/1952,307.489655
7/9/1952,308.650696
7/10/1952,309.160645
7/11/1952,308.462097
7/12/1952,307.136414
7/13/1952,307.50058
7/14/1952,309.452484
7/15/1952,310.873505
7/16/1952,310.333435
7/17/1952,305.072906
7/18/1952,307.319611
7/19/1952,306.817627
7/20/1952,307.563721
7/21/1952,308.188812
7/22/1952,310.05957
7/23/1952,309.378082
7/24/1952,311.372742
7/25/1952,312.323578
7/26/1952,312.121033
7/27/1952,311.08606
7/28/1952,309.431488
7/29/1952,309.350586
7/30/1952,311.390167
7/31/1952,311.065155
8/1/1952,311.878998
8/2/1952,312.230469
8/3/1952,311.671387
8/4/1952,310.016815
8/5/1952,311.048065
8/6/1952,308.883545
8/7/1952,308.319397
8/8/1952,308.98407
8/9/1952,309.670532
8/10/1952,310.97644
8/11/1952,310.236115
8/12/1952,310.680573
8/13/1952,309.90274
8/14/1952,307.689514
8/15/1952,308.014374
8/16/1952,309.054657
8/17/1952,309.292328
8/18/1952,308.87793
8/19/1952,309.055542
8/20/1952,310.531647
8/21/1952,310.166046
8/22/1952,310.976593
8/23/1952,311.076385
8/24/1952,309.125336
8/25/1952,307.071198
8/26/1952,305.637238
8/27/1952,308.111603
8/28/1952,308.603577
8/29/1952,307.358917
8/30/1952,308.453094
8/31/1952,309.906372
9/1/1952,310.0448
9/2/1952,309.424622
9/3/1952,308.80423
9/4/1952,309.024689
9/5/1952,307.681061
9/6/1952,307.306824
9/7/1952,306.859009
9/8/1952,307.053955
9/9/1952,307.555542
9/10/1952,307.380707
9/11/1952,306.963074
9/12/1952,305.473694
9/13/1952,306.203003
9/14/1952,304.954437
9/15/1952,306.599823
9/16/1952,310.061096
9/17/1952,310.121704
9/18/1952,308.355408
9/19/1952,304.95462
9/20/1952,305.684143
9/21/1952,308.823395
9/22/1952,308.313446
9/23/1952,307.278412
9/24/1952,307.039825
9/25/1952,306.207581
9/26/1952,306.131104
9/27/1952,306.532074
9/28/1952,304.779175
9/29/1952,304.002991
9/30/1952,304.538422
10/1/1952,305.900848
10/2/1952,306.801208
10/3/1952,305.864471
10/4/1952,305.403534
10/5/1952,304.558197
10/6/1952,305.443115
10/7/1952,302.424927
10/8/1952,297.958954
10/9/1952,299.762482
10/10/1952,303.431305
10/11/1952,301.241302
10/12/1952,300.163391
10/13/1952,301.217224
10/14/1952,297.595856
10/15/1952,292.822479
10/16/1952,291.825287
10/17/1952,289.987885
10/18/1952,292.289429
10/19/1952,298.893097
10/20/1952,303.300415
10/21/1952,307.058533
10/22/1952,306.778564
10/23/1952,302.339447
10/24/1952,307.246216
10/25/1952,302.270081
10/26/1952,304.354248
10/27/1952,305.053345
10/28/1952,301.278748
10/29/1952,298.782257
10/30/1952,299.999908
10/31/1952,301.524841
11/1/1952,301.097717
11/2/1952,301.880463
11/3/1952,302.67627
11/4/1952,302.056244
11/5/1952,299.734772
11/6/1952,296.370392
11/7/1952,292.820465
11/8/1952,297.501526
11/9/1952,294.828125
11/10/1952,292.297852
11/11/1952,290.809937
11/12/1952,291.472015
11/13/1952,294.039093
11/14/1952,294.168701
11/15/1952,299.558716
11/16/1952,299.913727
11/17/1952,301.587555
11/18/1952,302.209717
11/19/1952,301.111053
11/20/1952,300.631775
11/21/1952,297.755798
11/22/1952,301.445557
11/23/1952,300.548889
11/24/1952,295.623932
11/25/1952,286.577148
11/26/1952,281.565643
11/27/1952,280.788208
11/28/1952,279.98175
11/29/1952,279.623016
11/30/1952,280.18277
12/1/1952,275.599579
12/2/1952,275.040253
12/3/1952,279.059937
12/4/1952,278.976318
12/5/1952,283.340698
12/6/1952,284.7547
12/7/1952,291.851044
12/8/1952,291.67807
12/9/1952,291.711212
12/10/1952,293.242188
12/11/1952,293.839905
12/12/1952,291.038025
12/13/1952,281.202728
12/14/1952,280.507233
12/15/1952,284.518188
12/16/1952,286.177795
12/17/1952,283.424469
12/18/1952,283.101471
12/19/1952,285.921875
12/20/1952,287.370148
12/21/1952,293.901245
12/22/1952,290.279327
12/23/1952,295.264771
12/24/1952,287.777252
12/25/1952,283.213318
12/26/1952,289.303589
12/27/1952,279.725128
12/28/1952,283.956665
12/29/1952,283.969147
12/30/1952,281.650269
12/31/1952,280.747864
1/1/1953,283.312622
1/2/1953,290.017517
1/3/1953,294.154083
1/4/1953,298.626312
1/5/1953,299.48056
1/6/1953,292.450043
1/7/1953,293.287079
1/8/1953,294.718567
1/9/1953,297.508881
1/10/1953,297.153534
1/11/1953,293.139252
1/12/1953,272.904236
1/13/1953,279.707062
1/14/1953,288.500549
1/15/1953,283.978058
1/16/1953,284.007294
1/17/1953,285.617126
1/18/1953,286.909882
1/19/1953,284.215912
1/20/1953,282.55426
1/21/1953,281.285065
1/22/1953,292.832092
1/23/1953,297.700928
1/24/1953,293.70575
1/25/1953,290.596008
1/26/1953,278.749634
1/27/1953,274.83316
1/28/1953,276.745697
1/29/1953,278.806427
1/30/1953,280.03952
