#Variables:,
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K)",
3/23/2006,296.256653
3/24/2006,297.010925
3/25/2006,296.867157
3/26/2006,296.111908
3/27/2006,294.279968
3/28/2006,291.631317
3/29/2006,294.417206
3/30/2006,293.949127
3/31/2006,297.106506
4/1/2006,303.809235
4/2/2006,299.306519
4/3/2006,294.38089
4/4/2006,291.534637
4/5/2006,294.415192
4/6/2006,296.089996
4/7/2006,299.261566
4/8/2006,302.692932
4/9/2006,299.262451
4/10/2006,298.956726
4/11/2006,301.905273
4/12/2006,305.423401
4/13/2006,304.515381
4/14/2006,305.519836
4/15/2006,305.055084
4/16/2006,308.51239
4/17/2006,307.60321
4/18/2006,306.649475
4/19/2006,306.035095
4/20/2006,297.379761
4/21/2006,290.328522
4/22/2006,297.24295
4/23/2006,307.706421
4/24/2006,305.352539
4/25/2006,303.329285
4/26/2006,299.075836
4/27/2006,300.367767
4/28/2006,300.474274
4/29/2006,296.064087
4/30/2006,302.411774
5/1/2006,303.313965
5/2/2006,303.479828
5/3/2006,304.322449
5/4/2006,301.864319
5/5/2006,300.233551
5/6/2006,301.483276
5/7/2006,304.189026
5/8/2006,303.000885
5/9/2006,304.154846
5/10/2006,301.834747
5/11/2006,302.271606
5/12/2006,300.426239
5/13/2006,304.198273
5/14/2006,304.566711
5/15/2006,303.367004
5/16/2006,298.337799
5/17/2006,299.760132
5/18/2006,299.254852
5/19/2006,302.039093
5/20/2006,302.448059
5/21/2006,302.773071
5/22/2006,304.503479
5/23/2006,305.398438
5/24/2006,306.944519
5/25/2006,307.354767
5/26/2006,308.825409
5/27/2006,309.480591
5/28/2006,308.661835
5/29/2006,307.878906
5/30/2006,306.175171
5/31/2006,305.610199
6/1/2006,302.227997
6/2/2006,301.053131
6/3/2006,299.770233
6/4/2006,303.992828
6/5/2006,300.758942
6/6/2006,303.047638
6/7/2006,304.210388
6/8/2006,300.777069
6/9/2006,303.164551
6/10/2006,303.835785
6/11/2006,301.800934
6/12/2006,304.879608
6/13/2006,305.477509
6/14/2006,306.523926
6/15/2006,306.213593
6/16/2006,306.507599
6/17/2006,306.845764
6/18/2006,307.833008
6/19/2006,308.302429
6/20/2006,308.463501
6/21/2006,307.888763
6/22/2006,308.633606
6/23/2006,309.014679
6/24/2006,308.890076
6/25/2006,308.595703
6/26/2006,308.464996
6/27/2006,308.68042
6/28/2006,308.880707
6/29/2006,308.841644
6/30/2006,307.246765
7/1/2006,307.641907
7/2/2006,307.248322
7/3/2006,307.294342
7/4/2006,307.223999
7/5/2006,307.822662
7/6/2006,308.935028
7/7/2006,309.986877
7/8/2006,312.096344
7/9/2006,313.0625
7/10/2006,313.052246
7/11/2006,311.66217
7/12/2006,310.471954
7/13/2006,311.012909
7/14/2006,311.303101
7/15/2006,312.042938
7/16/2006,310.304474
7/17/2006,309.904846
7/18/2006,311.812866
7/19/2006,310.579285
7/20/2006,312.513824
7/21/2006,309.829865
7/22/2006,305.330872
7/23/2006,305.311005
7/24/2006,305.836975
7/25/2006,305.694458
7/26/2006,309.158142
7/27/2006,308.362061
7/28/2006,306.61203
7/29/2006,306.095856
7/30/2006,305.71756
7/31/2006,306.490967
8/1/2006,309.473083
8/2/2006,310.176849
8/3/2006,309.267151
8/4/2006,308.352997
8/5/2006,307.426178
8/6/2006,307.940277
8/7/2006,309.35553
8/8/2006,310.257538
8/9/2006,309.495056
8/10/2006,310.823334
8/11/2006,311.503204
8/12/2006,310.187347
8/13/2006,311.852356
8/14/2006,311.446869
8/15/2006,309.852844
8/16/2006,308.783051
8/17/2006,309.215088
8/18/2006,308.150665
8/19/2006,306.343994
8/20/2006,306.475983
8/21/2006,307.805267
8/22/2006,309.041992
8/23/2006,309.279236
8/24/2006,309.857758
8/25/2006,310.421234
8/26/2006,309.497498
8/27/2006,307.736176
8/28/2006,308.322968
8/29/2006,310.216034
8/30/2006,309.917389
8/31/2006,308.941376
9/1/2006,307.050293
9/2/2006,309.257629
9/3/2006,308.960999
9/4/2006,307.377747
9/5/2006,307.012756
9/6/2006,306.776733
9/7/2006,306.998718
9/8/2006,307.125092
9/9/2006,306.726257
9/10/2006,306.420258
9/11/2006,305.918701
9/12/2006,304.541504
9/13/2006,306.019287
9/14/2006,308.095734
9/15/2006,306.439545
9/16/2006,304.784149
9/17/2006,304.09613
9/18/2006,303.210052
9/19/2006,303.609375
9/20/2006,301.995728
9/21/2006,298.734253
9/22/2006,298.192841
9/23/2006,301.246002
9/24/2006,302.681122
9/25/2006,304.043488
9/26/2006,304.409271
9/27/2006,304.254364
9/28/2006,305.572632
9/29/2006,304.603851
9/30/2006,304.92392
10/1/2006,304.706726
10/2/2006,304.465851
10/3/2006,304.406158
10/4/2006,304.309052
10/5/2006,303.40683
10/6/2006,304.33844
10/7/2006,303.02298
10/8/2006,296.609406
10/9/2006,297.40097
10/10/2006,287.415039
10/11/2006,286.874695
10/12/2006,290.92572
10/13/2006,294.345154
10/14/2006,296.143768
10/15/2006,295.175934
10/16/2006,295.896118
10/17/2006,300.505859
10/18/2006,301.929169
10/19/2006,303.257019
10/20/2006,301.659485
10/21/2006,299.834229
10/22/2006,300.516449
10/23/2006,294.821564
10/24/2006,293.808838
10/25/2006,294.763397
10/26/2006,295.528107
10/27/2006,295.909637
10/28/2006,296.845673
10/29/2006,297.974487
10/30/2006,298.35965
10/31/2006,297.855072
11/1/2006,298.251129
11/2/2006,297.959808
11/3/2006,299.656586
11/4/2006,297.011169
11/5/2006,301.57962
11/6/2006,299.212463
11/7/2006,296.797363
11/8/2006,298.047333
11/9/2006,300.450623
11/10/2006,301.663605
11/11/2006,298.367218
11/12/2006,295.721588
11/13/2006,297.992004
11/14/2006,300.822693
11/15/2006,297.989838
11/16/2006,296.720795
11/17/2006,301.778961
11/18/2006,300.380219
11/19/2006,304.687347
11/20/2006,300.851715
11/21/2006,294.083374
11/22/2006,293.216461
11/23/2006,299.11438
11/24/2006,295.532654
11/25/2006,294.701538
11/26/2006,297.267548
11/27/2006,298.0466
11/28/2006,296.98468
11/29/2006,299.062927
11/30/2006,293.584625
12/1/2006,286.065552
12/2/2006,286.091522
12/3/2006,284.730072
12/4/2006,286.149078
12/5/2006,286.847137
12/6/2006,287.614746
12/7/2006,284.914429
12/8/2006,285.317993
12/9/2006,284.965698
12/10/2006,284.168274
12/11/2006,284.333008
12/12/2006,285.328979
12/13/2006,289.808563
12/14/2006,290.498199
12/15/2006,291.378143
12/16/2006,284.719666
12/17/2006,287.149109
12/18/2006,293.974548
12/19/2006,294.055389
12/20/2006,295.084808
12/21/2006,295.577271
12/22/2006,297.64505
12/23/2006,290.228027
12/24/2006,290.723328
12/25/2006,286.003326
12/26/2006,293.106781
12/27/2006,294.706512
12/28/2006,297.939758
12/29/2006,295.878784
12/30/2006,300.053894
12/31/2006,291.536255
1/1/2007,290.609406
1/2/2007,292.079895
1/3/2007,290.741241
1/4/2007,293.023163
1/5/2007,293.311829
1/6/2007,299.155548
1/7/2007,298.661316
1/8/2007,296.58371
1/9/2007,290.868225
1/10/2007,293.325104
1/11/2007,288.806061
1/12/2007,285.351898
1/13/2007,286.474579
1/14/2007,290.708344
1/15/2007,290.952301
1/16/2007,295.357758
1/17/2007,291.692719
1/18/2007,296.405182
1/19/2007,292.516968
1/20/2007,288.999023
1/21/2007,287.590393
1/22/2007,283.418213
1/23/2007,285.950623
1/24/2007,289.466919
1/25/2007,290.61795
1/26/2007,289.058167
1/27/2007,290.419678
1/28/2007,293.143555
1/29/2007,296.549164
1/30/2007,297.234039
1/31/2007,299.741241
2/1/2007,294.98996
2/2/2007,290.917908
2/3/2007,286.936096
2/4/2007,290.249847
2/5/2007,297.972046
2/6/2007,299.714539
2/7/2007,298.103882
2/8/2007,295.624634
2/9/2007,295.050781
2/10/2007,299.122498
2/11/2007,302.410736
2/12/2007,301.99826
2/13/2007,298.739899
2/14/2007,297.342255
2/15/2007,297.778961
2/16/2007,293.429382
2/17/2007,296.334045
2/18/2007,302.085785
2/19/2007,294.90448
2/20/2007,300.26413
2/21/2007,295.362427
2/22/2007,299.641815
2/23/2007,299.111816
2/24/2007,293.500519
2/25/2007,290.330322
2/26/2007,291.487457
2/27/2007,293.973267
2/28/2007,294.736847
3/1/2007,298.034973
3/2/2007,291.750519
3/3/2007,292.324829
3/4/2007,304.610748
3/5/2007,298.989288
3/6/2007,295.818634
3/7/2007,299.916382
3/8/2007,301.529907
3/9/2007,295.158417
3/10/2007,295.088806
3/11/2007,297.912689
3/12/2007,295.088135
3/13/2007,302.80484
3/14/2007,298.209869
3/15/2007,299.846222
3/16/2007,293.58847
3/17/2007,291.742828
3/18/2007,293.754303
3/19/2007,301.150116
3/20/2007,304.950684
3/21/2007,306.890594
3/22/2007,302.731079
3/23/2007,294.459106
3/24/2007,290.707184
3/25/2007,293.037903
3/26/2007,290.907532
3/27/2007,301.445374
3/28/2007,299.815125
3/29/2007,297.890594
3/30/2007,301.843079
3/31/2007,295.584686
4/1/2007,291.038055
4/2/2007,290.355225
4/3/2007,300.786713
4/4/2007,298.980286
4/5/2007,296.054321
4/6/2007,297.852081
4/7/2007,299.316101
4/8/2007,304.22818
4/9/2007,304.90799
4/10/2007,301.771301
4/11/2007,298.653015
4/12/2007,302.107086
4/13/2007,297.444855
4/14/2007,293.810944
4/15/2007,303.655823
4/16/2007,308.060577
4/17/2007,303.037018
4/18/2007,301.350891
4/19/2007,302.100708
4/20/2007,305.122681
4/21/2007,311.095947
4/22/2007,304.912598
4/23/2007,299.608032
4/24/2007,304.797394
4/25/2007,306.541687
4/26/2007,308.675446
4/27/2007,303.589264
4/28/2007,298.894196
4/29/2007,305.266785
4/30/2007,304.898865
5/1/2007,300.099426
5/2/2007,300.063446
5/3/2007,305.86496
5/4/2007,309.871155
5/5/2007,310.260712
5/6/2007,307.699463
5/7/2007,300.927521
5/8/2007,297.119873
5/9/2007,301.210144
5/10/2007,298.048981
5/11/2007,298.171204
5/12/2007,299.289795
5/13/2007,303.612518
5/14/2007,303.249023
5/15/2007,304.242401
5/16/2007,300.530762
5/17/2007,301.758972
5/18/2007,303.827454
5/19/2007,301.866547
5/20/2007,301.027588
5/21/2007,301.546814
5/22/2007,300.226868
5/23/2007,302.204773
5/24/2007,301.522095
5/25/2007,302.424652
5/26/2007,301.187347
5/27/2007,304.851593
5/28/2007,303.876038
5/29/2007,303.785492
5/30/2007,305.977844
5/31/2007,306.222351
6/1/2007,306.688049
6/2/2007,308.574738
6/3/2007,307.615997
6/4/2007,306.240997
6/5/2007,307.199799
6/6/2007,305.467621
6/7/2007,305.869019
6/8/2007,307.056213
6/9/2007,311.851929
6/10/2007,309.870758
6/11/2007,308.804199
6/12/2007,309.533569
6/13/2007,310.084717
6/14/2007,310.562805
6/15/2007,305.779572
6/16/2007,305.007294
6/17/2007,305.270386
6/18/2007,307.629456
6/19/2007,308.724518
6/20/2007,309.253815
6/21/2007,309.255646
6/22/2007,308.635254
6/23/2007,308.634155
6/24/2007,311.273254
6/25/2007,313.941986
6/26/2007,313.692047
6/27/2007,312.807343
6/28/2007,312.288727
6/29/2007,310.622467
6/30/2007,311.988892
7/1/2007,312.997131
7/2/2007,311.989807
7/3/2007,311.309723
7/4/2007,310.09848
7/5/2007,310.837463
7/6/2007,312.323486
7/7/2007,311.839966
7/8/2007,312.555267
7/9/2007,308.484955
7/10/2007,307.811707
7/11/2007,308.827881
7/12/2007,310.316345
7/13/2007,311.552368
7/14/2007,312.737946
7/15/2007,312.786407
7/16/2007,312.147369
7/17/2007,312.839203
7/18/2007,311.011993
7/19/2007,309.386871
7/20/2007,308.384369
7/21/2007,311.032898
7/22/2007,311.11438
7/23/2007,310.599609
7/24/2007,309.909241
7/25/2007,309.412842
7/26/2007,309.838684
7/27/2007,310.188812
7/28/2007,311.024841
7/29/2007,310.954773
7/30/2007,309.738556
7/31/2007,306.533508
8/1/2007,305.687103
8/2/2007,304.911774
8/3/2007,306.459229
8/4/2007,308.126556
8/5/2007,307.342072
8/6/2007,309.720276
8/7/2007,311.184296
8/8/2007,309.172241
8/9/2007,308.24292
8/10/2007,311.671814
8/11/2007,313.231842
8/12/2007,313.443268
8/13/2007,311.91217
8/14/2007,309.669739
8/15/2007,311.289703
8/16/2007,311.264526
8/17/2007,310.366882
8/18/2007,309.299652
8/19/2007,310.840851
8/20/2007,311.417847
8/21/2007,309.662506
8/22/2007,310.479065
8/23/2007,309.663361
8/24/2007,309.070312
8/25/2007,308.325287
8/26/2007,305.535797
8/27/2007,302.338928
8/28/2007,305.628265
8/29/2007,309.252167
8/30/2007,312.117493
8/31/2007,310.073822
9/1/2007,307.199738
9/2/2007,308.028168
9/3/2007,307.282928
9/4/2007,306.72937
9/5/2007,307.228302
9/6/2007,307.634888
9/7/2007,307.256714
9/8/2007,305.832764
9/9/2007,306.068451
9/10/2007,304.66983
9/11/2007,303.029297
9/12/2007,303.318878
9/13/2007,304.118225
9/14/2007,305.57785
9/15/2007,306.693054
9/16/2007,307.532196
9/17/2007,307.618652
9/18/2007,306.785095
9/19/2007,304.151855
9/20/2007,301.042999
9/21/2007,295.048553
9/22/2007,301.212097
9/23/2007,302.314117
9/24/2007,299.957825
9/25/2007,294.955139
9/26/2007,291.686493
9/27/2007,296.081238
9/28/2007,301.030518
9/29/2007,302.64978
9/30/2007,302.875427
10/1/2007,302.726379
10/2/2007,304.591431
10/3/2007,302.898346
10/4/2007,299.631927
10/5/2007,300.561432
10/6/2007,299.473938
10/7/2007,300.132843
10/8/2007,300.639557
10/9/2007,300.456757
10/10/2007,300.229645
10/11/2007,300.794556
10/12/2007,302.710754
10/13/2007,305.080933
10/14/2007,303.41275
10/15/2007,306.314087
10/16/2007,303.820465
10/17/2007,301.291504
10/18/2007,303.296295
10/19/2007,303.111664
10/20/2007,300.547546
10/21/2007,300.00943
10/22/2007,298.52887
10/23/2007,296.133026
10/24/2007,298.225708
10/25/2007,293.314301
10/26/2007,307.212738
10/27/2007,306.32901
10/28/2007,297.237305
10/29/2007,297.570923
10/30/2007,301.438538
10/31/2007,300.490509
11/1/2007,300.538239
11/2/2007,301.424866
11/3/2007,303.272217
11/4/2007,305.078583
11/5/2007,298.676819
11/6/2007,286.986359
11/7/2007,292.050659
11/8/2007,295.853302
11/9/2007,295.305054
11/10/2007,294.309753
11/11/2007,297.557098
11/12/2007,298.943695
11/13/2007,300.727325
11/14/2007,301.234833
11/15/2007,300.780975
11/16/2007,302.607971
11/17/2007,297.922241
11/18/2007,294.971832
11/19/2007,297.616608
11/20/2007,300.70575
11/21/2007,300.652039
11/22/2007,305.242859
11/23/2007,305.966949
11/24/2007,306.555939
11/25/2007,297.730011
11/26/2007,297.597961
11/27/2007,302.57193
11/28/2007,303.14444
11/29/2007,296.078308
11/30/2007,300.450012
12/1/2007,303.569061
12/2/2007,297.845337
12/3/2007,293.474274
12/4/2007,298.816376
12/5/2007,302.872833
12/6/2007,298.462402
12/7/2007,289.440399
12/8/2007,295.365112
12/9/2007,292.939453
12/10/2007,290.480865
12/11/2007,284.24939
12/12/2007,291.10791
12/13/2007,292.191772
12/14/2007,284.744598
12/15/2007,285.755005
12/16/2007,289.983276
12/17/2007,291.969635
12/18/2007,293.19281
12/19/2007,298.042053
12/20/2007,297.920593
12/21/2007,300.343201
12/22/2007,300.53656
12/23/2007,300.559052
12/24/2007,296.873444
12/25/2007,282.155426
12/26/2007,277.184174
12/27/2007,283.145782
12/28/2007,281.042297
12/29/2007,277.255157
12/30/2007,285.965393
12/31/2007,285.336823
1/1/2008,296.380432
1/2/2008,296.452972
1/3/2008,287.598389
1/4/2008,276.094086
1/5/2008,276.955627
1/6/2008,277.438354
1/7/2008,283.46582
1/8/2008,281.856049
1/9/2008,282.327362
1/10/2008,285.767456
1/11/2008,289.245026
1/12/2008,293.304688
1/13/2008,289.362915
1/14/2008,289.016876
1/15/2008,291.498322
1/16/2008,290.189301
1/17/2008,292.178528
1/18/2008,297.779083
1/19/2008,293.209625
1/20/2008,286.287445
1/21/2008,291.160858
1/22/2008,299.178528
1/23/2008,298.631409
1/24/2008,297.978241
1/25/2008,297.78183
1/26/2008,298.871338
1/27/2008,297.801697
1/28/2008,290.893799
1/29/2008,281.614166
1/30/2008,281.140656
1/31/2008,275.834564
2/1/2008,274.976135
2/2/2008,285.375305
2/3/2008,290.093597
2/4/2008,292.915588
2/5/2008,284.333801
2/6/2008,280.917358
2/7/2008,279.687469
2/8/2008,274.980499
2/9/2008,273.81546
2/10/2008,271.28894
2/11/2008,275.181976
2/12/2008,279.615875
2/13/2008,279.110901
2/14/2008,275.120392
2/15/2008,291.281738
2/16/2008,289.839478
2/17/2008,295.64325
2/18/2008,302.968262
2/19/2008,302.909058
2/20/2008,301.662109
2/21/2008,302.92569
2/22/2008,301.488403
2/23/2008,302.632812
2/24/2008,300.791077
2/25/2008,292.614899
2/26/2008,289.80368
2/27/2008,295.002045
2/28/2008,300.140381
2/29/2008,301.517883
3/1/2008,302.895386
3/2/2008,300.470551
3/3/2008,299.879913
3/4/2008,295.571014
3/5/2008,282.533356
3/6/2008,289.744446
3/7/2008,295.456818
3/8/2008,297.892792
3/9/2008,300.00708
3/10/2008,303.69043
3/11/2008,299.222443
3/12/2008,303.44928
3/13/2008,302.648071
3/14/2008,302.490784
3/15/2008,304.375488
3/16/2008,303.532318
3/17/2008,301.795349
3/18/2008,301.039398
3/19/2008,302.462921
3/20/2008,300.325256
3/21/2008,301.035614
3/22/2008,300.442078
3/23/2008,297.759125
3/24/2008,297.778168
3/25/2008,300.624512
3/26/2008,302.29892
3/27/2008,304.591461
3/28/2008,306.418793
3/29/2008,307.417938
3/30/2008,309.525696
3/31/2008,308.770966
4/1/2008,306.534393
4/2/2008,305.658478
4/3/2008,306.92334
4/4/2008,306.498749
4/5/2008,305.31842
4/6/2008,302.691589
4/7/2008,300.739838
4/8/2008,305.302216
4/9/2008,302.473297
4/10/2008,295.661499
4/11/2008,296.810425
4/12/2008,301.943604
4/13/2008,301.302582
4/14/2008,303.063751
4/15/2008,303.291443
4/16/2008,301.386444
4/17/2008,302.73056
4/18/2008,301.138885
4/19/2008,302.483887
4/20/2008,298.549805
4/21/2008,299.30127
4/22/2008,302.627106
4/23/2008,302.557007
4/24/2008,309.594452
4/25/2008,306.811676
4/26/2008,302.947449
4/27/2008,302.834839
4/28/2008,299.361481
4/29/2008,301.755737
4/30/2008,303.888977
5/1/2008,301.95816
5/2/2008,301.521637
5/3/2008,308.56131
5/4/2008,308.098938
5/5/2008,307.145142
5/6/2008,306.69458
5/7/2008,304.450226
5/8/2008,303.856995
5/9/2008,303.522491
5/10/2008,304.858765
5/11/2008,304.694794
5/12/2008,305.708923
5/13/2008,306.383484
5/14/2008,304.619049
5/15/2008,301.800812
5/16/2008,301.592987
5/17/2008,297.04425
5/18/2008,299.607513
5/19/2008,301.818695
5/20/2008,302.167755
5/21/2008,301.300201
5/22/2008,303.916168
5/23/2008,305.139984
5/24/2008,303.738464
5/25/2008,302.205475
5/26/2008,301.68335
5/27/2008,304.455872
5/28/2008,302.950043
5/29/2008,306.615967
5/30/2008,308.158264
5/31/2008,307.277893
6/1/2008,306.291962
6/2/2008,307.664185
6/3/2008,307.183228
6/4/2008,306.222107
6/5/2008,303.778931
6/6/2008,303.471863
6/7/2008,302.878937
6/8/2008,302.184448
6/9/2008,306.532074
6/10/2008,309.618561
6/11/2008,310.002075
6/12/2008,309.903625
6/13/2008,310.174286
6/14/2008,311.102753
6/15/2008,310.309174
6/16/2008,310.523529
6/17/2008,309.82666
6/18/2008,309.531494
6/19/2008,309.318817
6/20/2008,309.260529
6/21/2008,309.610168
6/22/2008,309.139679
6/23/2008,309.499268
6/24/2008,309.365662
6/25/2008,309.141998
6/26/2008,311.289154
6/27/2008,310.110535
6/28/2008,309.06015
6/29/2008,309.710297
6/30/2008,310.682434
7/1/2008,312.578522
7/2/2008,311.531769
7/3/2008,309.412476
7/4/2008,310.906647
7/5/2008,310.213806
7/6/2008,311.266693
7/7/2008,310.9823
7/8/2008,310.153381
7/9/2008,308.19046
7/10/2008,308.797424
7/11/2008,308.338867
7/12/2008,307.941895
7/13/2008,308.904541
7/14/2008,309.849792
7/15/2008,309.601685
7/16/2008,308.983765
7/17/2008,309.415955
7/18/2008,310.22879
7/19/2008,310.416229
7/20/2008,311.027222
7/21/2008,311.46814
7/22/2008,310.828369
7/23/2008,311.522919
7/24/2008,311.792816
7/25/2008,311.148102
7/26/2008,311.034393
7/27/2008,310.502289
7/28/2008,309.195648
7/29/2008,308.973206
7/30/2008,310.749603
7/31/2008,311.363892
8/1/2008,311.192871
8/2/2008,310.82782
8/3/2008,310.140198
8/4/2008,310.048096
8/5/2008,310.711517
8/6/2008,311.477142
8/7/2008,311.006744
8/8/2008,311.582092
8/9/2008,311.408112
8/10/2008,311.546021
8/11/2008,311.492279
8/12/2008,312.092499
8/13/2008,310.981995
8/14/2008,309.051788
8/15/2008,307.259064
8/16/2008,306.190277
8/17/2008,302.908081
8/18/2008,301.796753
8/19/2008,303.652771
8/20/2008,306.958313
8/21/2008,305.602539
8/22/2008,305.729431
8/23/2008,305.679016
8/24/2008,309.245209
8/25/2008,310.986694
8/26/2008,309.959961
8/27/2008,309.582825
8/28/2008,310.296051
8/29/2008,311.578613
8/30/2008,310.426147
8/31/2008,309.253601
9/1/2008,308.286072
9/2/2008,309.073944
9/3/2008,311.488861
9/4/2008,310.155487
9/5/2008,310.014099
9/6/2008,310.584473
9/7/2008,309.42334
9/8/2008,307.539429
9/9/2008,307.260284
9/10/2008,307.207642
9/11/2008,305.95401
9/12/2008,305.919586
9/13/2008,308.099731
9/14/2008,309.373322
9/15/2008,309.204865
9/16/2008,308.954407
9/17/2008,309.098816
9/18/2008,308.347717
9/19/2008,306.090149
9/20/2008,305.530609
9/21/2008,307.219818
9/22/2008,307.764252
9/23/2008,307.349243
9/24/2008,307.219788
9/25/2008,306.94342
9/26/2008,308.954681
9/27/2008,307.762054
9/28/2008,307.628876
9/29/2008,306.839111
9/30/2008,306.531647
10/1/2008,305.587463
10/2/2008,308.308014
10/3/2008,310.602386
10/4/2008,308.984924
10/5/2008,298.956604
10/6/2008,295.630432
10/7/2008,296.200562
10/8/2008,298.204926
10/9/2008,299.911926
10/10/2008,299.365356
10/11/2008,296.219543
10/12/2008,298.492767
10/13/2008,300.641846
10/14/2008,300.70816
10/15/2008,302.683289
10/16/2008,304.345215
10/17/2008,304.777985
10/18/2008,306.673157
10/19/2008,306.611084
10/20/2008,301.740967
10/21/2008,300.914429
10/22/2008,307.101685
10/23/2008,302.452087
10/24/2008,306.444
10/25/2008,307.167236
10/26/2008,305.273407
10/27/2008,308.918854
10/28/2008,309.466461
10/29/2008,308.540741
10/30/2008,306.586365
10/31/2008,303.632935
11/1/2008,304.273071
11/2/2008,302.891724
11/3/2008,299.588287
11/4/2008,300.590912
11/5/2008,302.60022
11/6/2008,299.576508
11/7/2008,289.371735
11/8/2008,289.287079
11/9/2008,288.846161
11/10/2008,288.778137
11/11/2008,289.031494
11/12/2008,292.97641
11/13/2008,295.454498
11/14/2008,295.689178
11/15/2008,293.789154
11/16/2008,296.849365
11/17/2008,295.912048
11/18/2008,292.601959
11/19/2008,292.065491
11/20/2008,303.598358
11/21/2008,299.04599
11/22/2008,287.057556
11/23/2008,290.743347
11/24/2008,299.499573
11/25/2008,302.142426
11/26/2008,298.379639
11/27/2008,299.792938
11/28/2008,296.543762
11/29/2008,295.161499
11/30/2008,301.870239
12/1/2008,295.160034
12/2/2008,284.273712
12/3/2008,281.359406
12/4/2008,284.537842
12/5/2008,287.862732
12/6/2008,293.655121
12/7/2008,297.898132
12/8/2008,300.449677
12/9/2008,294.433899
12/10/2008,284.889923
12/11/2008,284.975098
12/12/2008,283.209076
12/13/2008,284.788116
12/14/2008,299.535858
12/15/2008,299.479492
12/16/2008,298.761078
12/17/2008,289.442871
12/18/2008,286.503601
12/19/2008,285.266632
12/20/2008,291.128754
12/21/2008,295.551788
12/22/2008,293.469788
12/23/2008,296.617981
12/24/2008,294.730652
12/25/2008,288.3414
12/26/2008,291.450134
12/27/2008,295.051697
12/28/2008,294.384674
12/29/2008,293.560455
12/30/2008,297.118988
12/31/2008,295.857819
1/1/2009,293.155762
1/2/2009,298.101166
1/3/2009,292.37854
1/4/2009,293.211426
1/5/2009,294.17453
1/6/2009,294.464752
1/7/2009,294.467041
1/8/2009,291.356506
1/9/2009,287.925934
1/10/2009,290.730652
1/11/2009,292.153107
1/12/2009,292.338959
1/13/2009,296.224701
1/14/2009,296.174561
1/15/2009,290.719482
1/16/2009,298.962402
1/17/2009,293.966797
1/18/2009,284.744324
1/19/2009,294.80481
1/20/2009,298.627045
1/21/2009,296.683807
1/22/2009,281.510986
1/23/2009,282.53302
1/24/2009,285.805939
1/25/2009,289.02478
1/26/2009,298.054565
1/27/2009,298.007446
1/28/2009,298.291656
1/29/2009,299.669617
