#Variables:,
#pr_bcc-csm1-1_rcp45(mm):Precipitation,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,pr_bcc-csm1-1_rcp45(mm)",
3/25/2006,0
3/26/2006,0.48987
3/27/2006,0
3/28/2006,0
3/29/2006,0
3/30/2006,0
3/31/2006,0.343065
4/1/2006,0
4/2/2006,0
4/3/2006,0.302373
4/4/2006,0
4/5/2006,0
4/6/2006,0.381595
4/7/2006,2.163802
4/8/2006,0
4/9/2006,0
4/10/2006,0
4/11/2006,0
4/12/2006,0
4/13/2006,0
4/14/2006,3.59295
4/15/2006,0
4/16/2006,0
4/17/2006,0
4/18/2006,0
4/19/2006,0
4/20/2006,0
4/21/2006,0
4/22/2006,0
4/23/2006,0
4/24/2006,2.26556
4/25/2006,4.191276
4/26/2006,26.476685
4/27/2006,1.534373
4/28/2006,0
4/29/2006,0.929404
4/30/2006,0
5/1/2006,0
5/2/2006,0
5/3/2006,0
5/4/2006,0
5/5/2006,0
5/6/2006,0
5/7/2006,0
5/8/2006,0
5/9/2006,0
5/10/2006,14.016992
5/11/2006,17.440447
5/12/2006,0
5/13/2006,0
5/14/2006,0
5/15/2006,0
5/16/2006,0.961332
5/17/2006,1.556757
5/18/2006,5.505818
5/19/2006,0
5/20/2006,0
5/21/2006,0
5/22/2006,0.311744
5/23/2006,0
5/24/2006,19.983995
5/25/2006,0
5/26/2006,0
5/27/2006,0
5/28/2006,0
5/29/2006,0
5/30/2006,0
5/31/2006,0
6/1/2006,0
6/2/2006,0
6/3/2006,0
6/4/2006,0
6/5/2006,0.486857
6/6/2006,4.667883
6/7/2006,6.305583
6/8/2006,5.624391
6/9/2006,3.087669
6/10/2006,3.657614
6/11/2006,8.791261
6/12/2006,0.463688
6/13/2006,0
6/14/2006,0
6/15/2006,7.118309
6/16/2006,24.03458
6/17/2006,45.435234
6/18/2006,18.548841
6/19/2006,21.419624
6/20/2006,20.018557
6/21/2006,1.235508
6/22/2006,0
6/23/2006,0
6/24/2006,0.780634
6/25/2006,0
6/26/2006,0
6/27/2006,0
6/28/2006,0
6/29/2006,0
6/30/2006,0
7/1/2006,0
7/2/2006,0
7/3/2006,0
7/4/2006,0
7/5/2006,0.872649
7/6/2006,3.931416
7/7/2006,0
7/8/2006,0
7/9/2006,0
7/10/2006,0
7/11/2006,0
7/12/2006,0
7/13/2006,0
7/14/2006,0
7/15/2006,0
7/16/2006,0
7/17/2006,0
7/18/2006,0.527405
7/19/2006,0
7/20/2006,0
7/21/2006,0
7/22/2006,0
7/23/2006,0
7/24/2006,0
7/25/2006,0
7/26/2006,0
7/27/2006,0
7/28/2006,0
7/29/2006,0
7/30/2006,0
7/31/2006,0
8/1/2006,0
8/2/2006,0
8/3/2006,0
8/4/2006,0
8/5/2006,0
8/6/2006,0
8/7/2006,0
8/8/2006,0
8/9/2006,0
8/10/2006,0
8/11/2006,0
8/12/2006,0
8/13/2006,0
8/14/2006,0
8/15/2006,0
8/16/2006,0
8/17/2006,0
8/18/2006,0
8/19/2006,0
8/20/2006,0
8/21/2006,0
8/22/2006,0.428068
8/23/2006,1.092564
8/24/2006,0
8/25/2006,0
8/26/2006,0
8/27/2006,0.546156
8/28/2006,0.486957
8/29/2006,17.596218
8/30/2006,29.947275
8/31/2006,13.465389
9/1/2006,37.395615
9/2/2006,18.697031
9/3/2006,38.03059
9/4/2006,10.068964
9/5/2006,17.877172
9/6/2006,2.234531
9/7/2006,6.134543
9/8/2006,9.798472
9/9/2006,0.693543
9/10/2006,0
9/11/2006,0
9/12/2006,0
9/13/2006,0
9/14/2006,0
9/15/2006,0
9/16/2006,0
9/17/2006,0
9/18/2006,0
9/19/2006,8.598824
9/20/2006,0.643104
9/21/2006,0
9/22/2006,0.665944
9/23/2006,3.463122
9/24/2006,6.265043
9/25/2006,26.844963
9/26/2006,1.50052
9/27/2006,0
9/28/2006,0
9/29/2006,0
9/30/2006,0
10/1/2006,0
10/2/2006,0
10/3/2006,0
10/4/2006,0
10/5/2006,0
10/6/2006,0
10/7/2006,18.31753
10/8/2006,36.235741
10/9/2006,0.331846
10/10/2006,0
10/11/2006,0
10/12/2006,0
10/13/2006,0
10/14/2006,0
10/15/2006,0
10/16/2006,1.026
10/17/2006,8.38746
10/18/2006,2.857443
10/19/2006,0.341132
10/20/2006,7.670507
10/21/2006,19.131277
10/22/2006,0.284525
10/23/2006,0
10/24/2006,0
10/25/2006,0
10/26/2006,0
10/27/2006,9.768313
10/28/2006,0
10/29/2006,0
10/30/2006,0
10/31/2006,0
11/1/2006,0
11/2/2006,0
11/3/2006,0
11/4/2006,0
11/5/2006,0
11/6/2006,11.948246
11/7/2006,6.169249
11/8/2006,0
11/9/2006,0
11/10/2006,0
11/11/2006,0
11/12/2006,0
11/13/2006,0
11/14/2006,0
11/15/2006,0.450589
11/16/2006,28.732159
11/17/2006,3.458487
11/18/2006,0
11/19/2006,0
11/20/2006,21.197041
11/21/2006,26.720875
11/22/2006,0.510964
11/23/2006,0
11/24/2006,0
11/25/2006,0
11/26/2006,0
11/27/2006,0
11/28/2006,0
11/29/2006,0
11/30/2006,3.316084
12/1/2006,0
12/2/2006,0
12/3/2006,0
12/4/2006,0
12/5/2006,0
12/6/2006,0
12/7/2006,0.801207
12/8/2006,1.021734
12/9/2006,0
12/10/2006,0.635586
12/11/2006,1.36403
12/12/2006,4.097658
12/13/2006,1.405993
12/14/2006,0.441521
12/15/2006,0
12/16/2006,0
12/17/2006,0.519008
12/18/2006,0.671213
12/19/2006,0
12/20/2006,2.479475
12/21/2006,0.391586
12/22/2006,1.279423
12/23/2006,4.96439
12/24/2006,6.245983
12/25/2006,25.969902
12/26/2006,1.549189
12/27/2006,4.311783
12/28/2006,1.428998
12/29/2006,1.243632
12/30/2006,0
12/31/2006,1.419516
1/1/2007,8.803567
1/2/2007,3.636175
1/3/2007,1.532668
1/4/2007,0.8751
1/5/2007,0.870133
1/6/2007,0
1/7/2007,0.680514
1/8/2007,17.800787
1/9/2007,4.723874
1/10/2007,0
1/11/2007,0
1/12/2007,0
1/13/2007,0
1/14/2007,0
1/15/2007,0
1/16/2007,0
1/17/2007,0
1/18/2007,0.842856
1/19/2007,0
1/20/2007,0
1/21/2007,0
1/22/2007,0
1/23/2007,0
1/24/2007,0
1/25/2007,0
1/26/2007,0
1/27/2007,0
1/28/2007,0
1/29/2007,0
1/30/2007,0
1/31/2007,0
2/1/2007,0
2/2/2007,0
2/3/2007,0
2/4/2007,0
2/5/2007,0
2/6/2007,0
2/7/2007,0
2/8/2007,0
2/9/2007,0
2/10/2007,1.06792
2/11/2007,0
2/12/2007,0
2/13/2007,0
2/14/2007,0
2/15/2007,0
2/16/2007,0
2/17/2007,0
2/18/2007,1.283867
2/19/2007,0
2/20/2007,0
2/21/2007,0
2/22/2007,0
2/23/2007,0
2/24/2007,0
2/25/2007,0
2/26/2007,0
2/27/2007,2.464641
2/28/2007,2.531627
3/1/2007,0
3/2/2007,18.136368
3/3/2007,7.657255
3/4/2007,0
3/5/2007,0.447494
3/6/2007,0.967881
3/7/2007,11.848415
3/8/2007,0.951357
3/9/2007,1.789656
3/10/2007,11.615393
3/11/2007,13.236142
3/12/2007,0.513531
3/13/2007,0
3/14/2007,0
3/15/2007,0
3/16/2007,0
3/17/2007,0.600493
3/18/2007,0
3/19/2007,0.28176
3/20/2007,5.119752
3/21/2007,0
3/22/2007,0
3/23/2007,0
3/24/2007,1.992231
3/25/2007,31.72604
3/26/2007,1.939184
3/27/2007,0
3/28/2007,0
3/29/2007,0.285736
3/30/2007,2.092939
3/31/2007,0
4/1/2007,0
4/2/2007,0
4/3/2007,1.049908
4/4/2007,1.985859
4/5/2007,0
4/6/2007,0
4/7/2007,0
4/8/2007,0
4/9/2007,0
4/10/2007,1.117321
4/11/2007,2.879162
4/12/2007,7.707443
4/13/2007,0
4/14/2007,0
4/15/2007,0
4/16/2007,4.878094
4/17/2007,0.324188
4/18/2007,2.157495
4/19/2007,2.953093
4/20/2007,0.979065
4/21/2007,0.759675
4/22/2007,0.454503
4/23/2007,2.024676
4/24/2007,10.701004
4/25/2007,0
4/26/2007,0
4/27/2007,0
4/28/2007,0.290035
4/29/2007,0
4/30/2007,0
5/1/2007,0
5/2/2007,0
5/3/2007,0
5/4/2007,0
5/5/2007,0
5/6/2007,4.481818
5/7/2007,0
5/8/2007,0
5/9/2007,13.818403
5/10/2007,0
5/11/2007,0
5/12/2007,0
5/13/2007,0
5/14/2007,0.727161
5/15/2007,0
5/16/2007,7.740255
5/17/2007,16.652367
5/18/2007,25.960657
5/19/2007,0
5/20/2007,0.749759
5/21/2007,0
5/22/2007,0
5/23/2007,0
5/24/2007,0
5/25/2007,3.496873
5/26/2007,0
5/27/2007,0
5/28/2007,0.604965
5/29/2007,0.346816
5/30/2007,0
5/31/2007,0
6/1/2007,0
6/2/2007,0
6/3/2007,1.741255
6/4/2007,0
6/5/2007,0
6/6/2007,0
6/7/2007,0
6/8/2007,0
6/9/2007,0
6/10/2007,0
6/11/2007,1.758563
6/12/2007,42.362129
6/13/2007,15.202133
6/14/2007,0
6/15/2007,0
6/16/2007,0
6/17/2007,2.493044
6/18/2007,8.888741
6/19/2007,0
6/20/2007,0
6/21/2007,0
6/22/2007,0
6/23/2007,0
6/24/2007,0
6/25/2007,0
6/26/2007,0
6/27/2007,0.482049
6/28/2007,0
6/29/2007,0
6/30/2007,0
7/1/2007,0
7/2/2007,0
7/3/2007,0
7/4/2007,0
7/5/2007,0
7/6/2007,0
7/7/2007,0
7/8/2007,0
7/9/2007,1.563375
7/10/2007,36.406898
7/11/2007,4.414038
7/12/2007,0
7/13/2007,0
7/14/2007,0
7/15/2007,0
7/16/2007,0
7/17/2007,0
7/18/2007,0
7/19/2007,0
7/20/2007,0
7/21/2007,0.290648
7/22/2007,0
7/23/2007,0
7/24/2007,0.526451
7/25/2007,2.595025
7/26/2007,1.365811
7/27/2007,0
7/28/2007,0
7/29/2007,0
7/30/2007,0
7/31/2007,0
8/1/2007,0
8/2/2007,0
8/3/2007,0
8/4/2007,0
8/5/2007,0
8/6/2007,0
8/7/2007,0
8/8/2007,0
8/9/2007,0
8/10/2007,0.455847
8/11/2007,0
8/12/2007,0
8/13/2007,0
8/14/2007,0.604598
8/15/2007,0.788774
8/16/2007,0
8/17/2007,0.913995
8/18/2007,0
8/19/2007,0
8/20/2007,0
8/21/2007,0
8/22/2007,0.802702
8/23/2007,0
8/24/2007,0
8/25/2007,0
8/26/2007,0.500366
8/27/2007,0.917388
8/28/2007,0.381625
8/29/2007,0
8/30/2007,0
8/31/2007,0
9/1/2007,0
9/2/2007,3.632509
9/3/2007,0
9/4/2007,0
9/5/2007,0
9/6/2007,7.834602
9/7/2007,1.53139
9/8/2007,0
9/9/2007,0
9/10/2007,5.610069
9/11/2007,1.488766
9/12/2007,0
9/13/2007,0
9/14/2007,0
9/15/2007,0
9/16/2007,0
9/17/2007,0.284993
9/18/2007,0.806915
9/19/2007,0
9/20/2007,0.695199
9/21/2007,0
9/22/2007,2.362463
9/23/2007,0.467938
9/24/2007,0
9/25/2007,0.669423
9/26/2007,0.770439
9/27/2007,0
9/28/2007,0
9/29/2007,0
9/30/2007,0
10/1/2007,0
10/2/2007,0
10/3/2007,0
10/4/2007,0
10/5/2007,0
10/6/2007,0
10/7/2007,0
10/8/2007,0
10/9/2007,0
10/10/2007,0
10/11/2007,0
10/12/2007,0
10/13/2007,0.579225
10/14/2007,0
10/15/2007,6.376078
10/16/2007,13.651951
10/17/2007,8.07937
10/18/2007,0
10/19/2007,0
10/20/2007,5.390208
10/21/2007,8.210009
10/22/2007,1.983729
10/23/2007,38.451893
10/24/2007,6.334926
10/25/2007,0
10/26/2007,4.850367
10/27/2007,0
10/28/2007,0
10/29/2007,0
10/30/2007,0
10/31/2007,0
11/1/2007,0
11/2/2007,4.722179
11/3/2007,19.707647
11/4/2007,18.208357
11/5/2007,6.345586
11/6/2007,0
11/7/2007,0
11/8/2007,0
11/9/2007,0
11/10/2007,0
11/11/2007,0
11/12/2007,0
11/13/2007,0
11/14/2007,0
11/15/2007,0
11/16/2007,23.03684
11/17/2007,29.87327
11/18/2007,0
11/19/2007,0
11/20/2007,0
11/21/2007,0
11/22/2007,0
11/23/2007,0.503029
11/24/2007,0
11/25/2007,0
11/26/2007,0
11/27/2007,0
11/28/2007,0
11/29/2007,0
11/30/2007,0
12/1/2007,0
12/2/2007,0.681244
12/3/2007,1.380767
12/4/2007,0
12/5/2007,1.372868
12/6/2007,15.162375
12/7/2007,2.028445
12/8/2007,1.430713
12/9/2007,7.2448
12/10/2007,2.525129
12/11/2007,2.5632
12/12/2007,1.615031
12/13/2007,0
12/14/2007,0
12/15/2007,0
12/16/2007,0
12/17/2007,0
12/18/2007,0.289019
12/19/2007,0
12/20/2007,0
12/21/2007,0
12/22/2007,0
12/23/2007,1.820188
12/24/2007,1.053554
12/25/2007,0
12/26/2007,6.860614
12/27/2007,0
12/28/2007,1.682714
12/29/2007,7.561946
12/30/2007,1.613066
12/31/2007,0
1/1/2008,0
1/2/2008,0.324437
1/3/2008,0.593851
1/4/2008,19.897812
1/5/2008,7.88607
1/6/2008,0
1/7/2008,0
1/8/2008,1.136518
1/9/2008,0
1/10/2008,0
1/11/2008,0
1/12/2008,0.830055
1/13/2008,0
1/14/2008,0
1/15/2008,0
1/16/2008,1.095554
1/17/2008,0
1/18/2008,0
1/19/2008,0
1/20/2008,0
1/21/2008,0.530388
1/22/2008,0
1/23/2008,0
1/24/2008,0.385968
1/25/2008,1.742966
1/26/2008,0
1/27/2008,0
1/28/2008,0
1/29/2008,0
1/30/2008,0
1/31/2008,0
2/1/2008,0.843692
2/2/2008,0
2/3/2008,0
2/4/2008,0
2/5/2008,0
2/6/2008,0
2/7/2008,0
2/8/2008,0
2/9/2008,0
2/10/2008,0
2/11/2008,0
2/12/2008,0
2/13/2008,0.794068
2/14/2008,0
2/15/2008,0.323044
2/16/2008,3.455128
2/17/2008,0
2/18/2008,0
2/19/2008,0.892456
2/20/2008,0
2/21/2008,0.565334
2/22/2008,0
2/23/2008,0
2/24/2008,0
2/25/2008,18.700447
2/26/2008,5.025074
2/27/2008,0
2/28/2008,6.732378
2/29/2008,6.062696
3/1/2008,5.393013
3/2/2008,0
3/3/2008,0
3/4/2008,0
3/5/2008,3.185953
3/6/2008,122.335472
3/7/2008,18.339155
3/8/2008,0.566608
3/9/2008,0
3/10/2008,0
3/11/2008,0
3/12/2008,8.763625
3/13/2008,0
3/14/2008,0
3/15/2008,0
3/16/2008,0.80155
3/17/2008,0.341068
3/18/2008,0
3/19/2008,0
3/20/2008,0
3/21/2008,0
3/22/2008,0
3/23/2008,3.458522
3/24/2008,17.884144
3/25/2008,0.880022
3/26/2008,0
3/27/2008,0.442026
3/28/2008,0.591387
3/29/2008,0
3/30/2008,6.566261
3/31/2008,1.242935
4/1/2008,0
4/2/2008,0.54345
4/3/2008,0
4/4/2008,0
4/5/2008,20.833689
4/6/2008,0.354956
4/7/2008,0
4/8/2008,0
4/9/2008,0
4/10/2008,0
4/11/2008,1.414463
4/12/2008,1.250973
4/13/2008,0
4/14/2008,1.749789
4/15/2008,0.491154
4/16/2008,5.431994
4/17/2008,0
4/18/2008,0
4/19/2008,0
4/20/2008,0
4/21/2008,0
4/22/2008,0
4/23/2008,0
4/24/2008,0
4/25/2008,0
4/26/2008,0
4/27/2008,0
4/28/2008,0.291795
4/29/2008,0
4/30/2008,1.44135
5/1/2008,8.82368
5/2/2008,0
5/3/2008,0
5/4/2008,0.49703
5/5/2008,6.852527
5/6/2008,12.496422
5/7/2008,9.417668
5/8/2008,15.903633
5/9/2008,3.31334
5/10/2008,2.239184
5/11/2008,19.682692
5/12/2008,16.077188
5/13/2008,0
5/14/2008,0.295786
5/15/2008,0
5/16/2008,0
5/17/2008,31.632212
5/18/2008,9.364226
5/19/2008,0
5/20/2008,0
5/21/2008,0
5/22/2008,0
5/23/2008,0
5/24/2008,9.179325
5/25/2008,26.669044
5/26/2008,5.283048
5/27/2008,0
5/28/2008,0
5/29/2008,0
5/30/2008,0
5/31/2008,0
6/1/2008,20.380329
6/2/2008,0.629157
6/3/2008,2.881744
6/4/2008,6.178548
6/5/2008,0
6/6/2008,0.282878
6/7/2008,3.262445
6/8/2008,0
6/9/2008,0
6/10/2008,29.07823
6/11/2008,24.583202
6/12/2008,11.264154
6/13/2008,1.229733
6/14/2008,6.292399
6/15/2008,29.452723
6/16/2008,8.632925
6/17/2008,0
6/18/2008,0
6/19/2008,0
6/20/2008,0
6/21/2008,0
6/22/2008,0
6/23/2008,0
6/24/2008,0
6/25/2008,0
6/26/2008,0
6/27/2008,0
6/28/2008,0
6/29/2008,1.484215
6/30/2008,8.167552
7/1/2008,4.00556
7/2/2008,8.78649
7/3/2008,0
7/4/2008,0
7/5/2008,0
7/6/2008,0
7/7/2008,0
7/8/2008,0
7/9/2008,0
7/10/2008,0
7/11/2008,0
7/12/2008,0.758819
7/13/2008,0
7/14/2008,0
7/15/2008,0
7/16/2008,1.471889
7/17/2008,0
7/18/2008,6.145955
7/19/2008,3.179948
7/20/2008,11.863987
7/21/2008,17.260511
7/22/2008,14.351958
7/23/2008,3.330007
7/24/2008,0.699732
7/25/2008,1.607673
7/26/2008,10.155435
7/27/2008,3.848752
7/28/2008,3.859139
7/29/2008,0
7/30/2008,0
7/31/2008,4.510559
8/1/2008,1.225918
8/2/2008,1.366179
8/3/2008,0
8/4/2008,0
8/5/2008,0
8/6/2008,0
8/7/2008,0
8/8/2008,0
8/9/2008,0.667971
8/10/2008,0
8/11/2008,0
8/12/2008,0
8/13/2008,0
8/14/2008,0
8/15/2008,0
8/16/2008,0
8/17/2008,0
8/18/2008,0
8/19/2008,0
8/20/2008,0
8/21/2008,0
8/22/2008,0
8/23/2008,0
8/24/2008,0
8/25/2008,0
8/26/2008,0
8/27/2008,0
8/28/2008,0
8/29/2008,0
8/30/2008,0
8/31/2008,0
9/1/2008,0
9/2/2008,0
9/3/2008,0
9/4/2008,0.507478
9/5/2008,7.166249
9/6/2008,2.8983
9/7/2008,0.401293
9/8/2008,0
9/9/2008,0
9/10/2008,0
9/11/2008,0
9/12/2008,0
9/13/2008,0
9/14/2008,0
9/15/2008,0
9/16/2008,0
9/17/2008,0
9/18/2008,4.922885
9/19/2008,6.676411
9/20/2008,0.289255
9/21/2008,0
9/22/2008,0
9/23/2008,2.715531
9/24/2008,4.432935
9/25/2008,0.378245
9/26/2008,1.848694
9/27/2008,0
9/28/2008,0
9/29/2008,0
9/30/2008,0
10/1/2008,0.286732
10/2/2008,0
10/3/2008,0
10/4/2008,0
10/5/2008,0
10/6/2008,0
10/7/2008,0
10/8/2008,0
10/9/2008,0
10/10/2008,2.845669
10/11/2008,0
10/12/2008,0
10/13/2008,0
10/14/2008,0
10/15/2008,0.313402
10/16/2008,0
10/17/2008,0
10/18/2008,0
10/19/2008,0
10/20/2008,0
10/21/2008,0
10/22/2008,0
10/23/2008,0
10/24/2008,0
10/25/2008,5.275121
10/26/2008,0
10/27/2008,0
10/28/2008,0
10/29/2008,0
10/30/2008,0
10/31/2008,0
11/1/2008,0
11/2/2008,0
11/3/2008,0
11/4/2008,0
11/5/2008,0
11/6/2008,0
11/7/2008,0
11/8/2008,0
11/9/2008,0
11/10/2008,0
11/11/2008,0
11/12/2008,0
11/13/2008,0
11/14/2008,2.078015
11/15/2008,5.041826
11/16/2008,0
11/17/2008,0
11/18/2008,0
11/19/2008,0
11/20/2008,2.174928
11/21/2008,7.827263
11/22/2008,0
11/23/2008,2.04477
11/24/2008,9.785238
11/25/2008,0
11/26/2008,0
11/27/2008,0
11/28/2008,0
11/29/2008,0
11/30/2008,0
12/1/2008,0
12/2/2008,0
12/3/2008,0
12/4/2008,0.453947
12/5/2008,1.545878
12/6/2008,0
12/7/2008,0
12/8/2008,14.440765
12/9/2008,0.736738
12/10/2008,0
12/11/2008,0
12/12/2008,0
12/13/2008,0
12/14/2008,0
12/15/2008,0
12/16/2008,0
12/17/2008,0
12/18/2008,0
12/19/2008,0
12/20/2008,0
12/21/2008,0
12/22/2008,0
12/23/2008,1.472847
12/24/2008,0.281823
12/25/2008,0.362668
12/26/2008,0
12/27/2008,0
12/28/2008,0
12/29/2008,1.012603
12/30/2008,0.282709
12/31/2008,0
1/1/2009,0
1/2/2009,0
1/3/2009,1.345418
1/4/2009,20.774889
1/5/2009,0.471453
1/6/2009,0
1/7/2009,0
1/8/2009,0
1/9/2009,0
1/10/2009,2.356436
1/11/2009,33.753029
1/12/2009,3.493746
1/13/2009,0
1/14/2009,0
1/15/2009,0
1/16/2009,0
1/17/2009,0.572548
1/18/2009,1.522428
1/19/2009,0.83954
1/20/2009,2.661269
1/21/2009,0
1/22/2009,0
1/23/2009,0
1/24/2009,0
1/25/2009,0
1/26/2009,0
1/27/2009,0
1/28/2009,0
1/29/2009,0.317942
1/30/2009,0.528037
1/31/2009,0
2/1/2009,0
2/2/2009,0
2/3/2009,0
2/4/2009,0
2/5/2009,0
2/6/2009,0
2/7/2009,0
2/8/2009,0.298882
2/9/2009,0
2/10/2009,0
2/11/2009,0
2/12/2009,0.293157
2/13/2009,0.46072
2/14/2009,0
2/15/2009,2.402687
2/16/2009,0.564224
2/17/2009,0
2/18/2009,0
2/19/2009,0
2/20/2009,0
2/21/2009,0
2/22/2009,0
2/23/2009,0
2/24/2009,2.498585
2/25/2009,1.372344
2/26/2009,0
2/27/2009,0
2/28/2009,1.425702
3/1/2009,0
3/2/2009,0
3/3/2009,0
3/4/2009,0
3/5/2009,1.278232
3/6/2009,2.775276
3/7/2009,0
3/8/2009,0
3/9/2009,0
3/10/2009,0
3/11/2009,0
3/12/2009,0
3/13/2009,0
3/14/2009,0.424614
3/15/2009,0
3/16/2009,0
3/17/2009,17.14537
3/18/2009,3.409694
3/19/2009,12.927608
3/20/2009,0
3/21/2009,1.285207
3/22/2009,6.930218
3/23/2009,0
3/24/2009,0
3/25/2009,0
3/26/2009,0
3/27/2009,0.323509
3/28/2009,10.377709
3/29/2009,22.201902
3/30/2009,3.89781
3/31/2009,0
4/1/2009,0
4/2/2009,0
4/3/2009,0
4/4/2009,0.620169
4/5/2009,0
4/6/2009,0
4/7/2009,0
4/8/2009,0
4/9/2009,0
4/10/2009,0
4/11/2009,0
4/12/2009,0
4/13/2009,0
4/14/2009,31.554132
4/15/2009,0
4/16/2009,0
4/17/2009,0
4/18/2009,0
4/19/2009,0
4/20/2009,0
4/21/2009,0
4/22/2009,0
4/23/2009,0
4/24/2009,3.67976
4/25/2009,0.346144
4/26/2009,14.437786
4/27/2009,0
4/28/2009,0
4/29/2009,0
4/30/2009,11.153856
5/1/2009,33.680695
5/2/2009,0.863895
5/3/2009,0
5/4/2009,16.718384
5/5/2009,0.687969
5/6/2009,0.363308
5/7/2009,0
5/8/2009,8.519786
5/9/2009,1.105838
5/10/2009,17.885262
5/11/2009,0.333396
5/12/2009,0
5/13/2009,0
5/14/2009,0
5/15/2009,0
5/16/2009,0
5/17/2009,19.698574
5/18/2009,0.501114
5/19/2009,0
5/20/2009,0
5/21/2009,0
5/22/2009,0
5/23/2009,0
5/24/2009,9.157649
5/25/2009,0.403593
5/26/2009,3.397821
5/27/2009,0.592008
5/28/2009,0
5/29/2009,0
5/30/2009,0
5/31/2009,0
6/1/2009,0
6/2/2009,0
6/3/2009,0
6/4/2009,0
6/5/2009,0
6/6/2009,0
6/7/2009,0
6/8/2009,0
6/9/2009,0
6/10/2009,0
6/11/2009,0
6/12/2009,0
6/13/2009,3.656208
6/14/2009,21.251547
6/15/2009,35.804127
6/16/2009,14.283587
6/17/2009,1.378062
6/18/2009,0
6/19/2009,0
6/20/2009,1.365287
6/21/2009,0.585671
6/22/2009,26.320145
6/23/2009,5.320767
6/24/2009,1.341934
6/25/2009,2.852531
6/26/2009,0
6/27/2009,0
6/28/2009,0
6/29/2009,0
6/30/2009,0
7/1/2009,1.098256
7/2/2009,2.380204
7/3/2009,0
7/4/2009,0.289074
7/5/2009,1.25638
7/6/2009,0
7/7/2009,0
7/8/2009,0
7/9/2009,1.197441
7/10/2009,10.306367
7/11/2009,6.755258
7/12/2009,14.257619
7/13/2009,8.51233
7/14/2009,1.146115
7/15/2009,10.610755
7/16/2009,71.263344
7/17/2009,70.700455
7/18/2009,45.568535
7/19/2009,21.389576
7/20/2009,3.126152
7/21/2009,0
7/22/2009,0
7/23/2009,0
7/24/2009,0
7/25/2009,0
7/26/2009,0
7/27/2009,0
7/28/2009,1.95526
7/29/2009,0.560656
7/30/2009,0
7/31/2009,0
8/1/2009,0
8/2/2009,0
8/3/2009,0
8/4/2009,0
8/5/2009,0
8/6/2009,4.068511
8/7/2009,3.420131
8/8/2009,0
8/9/2009,0
8/10/2009,0
8/11/2009,0
8/12/2009,0.634871
8/13/2009,0.341758
8/14/2009,0
8/15/2009,0
8/16/2009,0
8/17/2009,0
8/18/2009,0
8/19/2009,0
8/20/2009,0
8/21/2009,0
8/22/2009,0
8/23/2009,1.128796
8/24/2009,0
8/25/2009,0
8/26/2009,0
8/27/2009,0
8/28/2009,0
8/29/2009,0.29995
8/30/2009,11.524947
8/31/2009,0
9/1/2009,0
9/2/2009,4.246567
9/3/2009,0
9/4/2009,0.422414
9/5/2009,0
9/6/2009,0
9/7/2009,0
9/8/2009,4.769192
9/9/2009,15.050652
9/10/2009,0
