#Variables:
#tasmin_MIROC-ESM-CHEM_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM-CHEM_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM-CHEM_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM-CHEM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM-CHEM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM-CHEM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_historical(K),tasmax_MIROC-ESM-CHEM_historical(K),pr_MIROC-ESM-CHEM_historical(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_historical(K),tasmax_MIROC-ESM-CHEM_historical(K),pr_MIROC-ESM-CHEM_historical(mm)
1950-03-09,284.703705,303.404877,0.000000
1950-03-10,286.268280,303.754456,0.000000
1950-03-11,287.473206,306.616943,0.000000
1950-03-12,291.825623,305.946411,0.000000
1950-03-13,289.440796,302.166260,0.000000
1950-03-14,285.285645,301.068756,0.000000
1950-03-15,287.845978,300.236755,5.685457
1950-03-16,284.713013,302.054657,0.000000
1950-03-17,282.096130,296.487091,0.529405
1950-03-18,282.038025,297.105560,0.000000
1950-03-19,280.344879,292.436340,0.000000
1950-03-20,277.432678,289.375305,0.000000
1950-03-21,280.194458,289.365265,0.000000
1950-03-22,278.069244,287.149994,0.000000
1950-03-23,280.836395,295.654999,10.368650
1950-03-24,281.563110,290.878174,0.822615
1950-03-25,280.964630,306.238770,0.000000
1950-03-26,288.467499,299.835968,0.000000
1950-03-27,278.554413,292.092072,0.000000
1950-03-28,271.871857,281.913696,0.854234
1950-03-29,275.164764,284.050476,6.839548
1950-03-30,277.166107,294.951172,0.753813
1950-03-31,281.413879,301.062744,0.000000
1950-04-01,286.128204,293.681793,1.882694
1950-04-02,286.776276,290.224518,22.387028
1950-04-03,282.696350,297.859863,0.000000
1950-04-04,286.446259,290.333923,0.000000
1950-04-05,277.116455,295.709381,0.000000
1950-04-06,281.543793,302.626556,0.000000
1950-04-07,285.502258,303.201721,0.000000
1950-04-08,287.254974,299.186981,0.000000
1950-04-09,285.053497,300.252686,0.000000
1950-04-10,290.427917,302.276367,0.815895
1950-04-11,290.043610,303.067871,0.629023
1950-04-12,291.226288,307.219116,0.000000
1950-04-13,292.127991,305.166382,0.000000
1950-04-14,289.911407,305.265503,0.000000
1950-04-15,291.785187,302.339813,0.879865
1950-04-16,288.998047,305.548462,6.504458
1950-04-17,287.964905,305.835571,0.000000
1950-04-18,290.003601,303.253296,0.000000
1950-04-19,289.732117,302.961945,0.000000
1950-04-20,290.659637,302.424500,0.000000
1950-04-21,290.584930,305.843811,0.000000
1950-04-22,291.491974,307.076813,0.000000
1950-04-23,289.486420,309.111267,0.000000
1950-04-24,289.908997,311.122742,0.000000
1950-04-25,291.869537,311.428955,0.000000
1950-04-26,292.500153,304.508789,0.000000
1950-04-27,291.009949,300.681091,5.214612
1950-04-28,288.551819,291.484955,14.770905
1950-04-29,288.324615,300.611328,11.721549
1950-04-30,289.991150,303.009216,0.282560
1950-05-01,287.157166,303.846527,0.000000
1950-05-02,290.388824,301.482391,0.000000
1950-05-03,289.731689,306.258453,0.000000
1950-05-04,292.416595,302.049438,0.000000
1950-05-05,290.391541,299.899933,0.000000
1950-05-06,287.529144,299.707947,0.000000
1950-05-07,288.730957,300.550751,0.000000
1950-05-08,286.880676,304.589539,0.000000
1950-05-09,291.226318,303.416290,0.000000
1950-05-10,289.801910,305.527802,0.000000
1950-05-11,292.212250,307.618073,0.000000
1950-05-12,293.324066,305.505859,0.000000
1950-05-13,293.196381,307.466553,0.000000
1950-05-14,294.325073,309.532349,0.000000
1950-05-15,295.063538,309.031097,0.000000
1950-05-16,295.260590,306.056244,0.000000
1950-05-17,295.168915,301.821106,15.776205
1950-05-18,292.881592,300.710602,0.280391
1950-05-19,293.278534,303.172760,0.000000
1950-05-20,291.903717,303.588165,0.000000
1950-05-21,290.971619,304.759949,0.000000
1950-05-22,290.811493,310.542419,0.000000
1950-05-23,290.952606,305.603149,0.000000
1950-05-24,290.283142,310.827332,0.000000
1950-05-25,292.061920,304.801819,0.000000
1950-05-26,292.771332,305.669678,0.000000
1950-05-27,294.336700,306.199585,0.000000
1950-05-28,293.960815,310.616211,0.000000
1950-05-29,296.267334,307.927704,0.000000
1950-05-30,299.407288,307.728790,0.504525
1950-05-31,297.321411,306.998444,0.000000
1950-06-01,296.854126,306.922607,0.000000
1950-06-02,294.460815,305.357361,0.534314
1950-06-03,294.531128,307.496185,0.000000
1950-06-04,295.659546,308.067261,0.000000
1950-06-05,296.507477,309.463318,0.000000
1950-06-06,297.144196,309.617493,0.829852
1950-06-07,297.204803,310.395233,0.000000
1950-06-08,297.096954,310.347504,0.000000
1950-06-09,296.892700,309.023254,0.481706
1950-06-10,297.701721,312.266754,0.000000
1950-06-11,298.601929,312.272217,0.000000
1950-06-12,299.196136,309.944794,0.000000
1950-06-13,300.321564,310.231415,0.000000
1950-06-14,298.673584,311.280548,0.000000
1950-06-15,297.958832,307.743988,18.751614
1950-06-16,296.454865,310.351135,5.668437
1950-06-17,297.642792,312.154938,4.533250
1950-06-18,298.914490,308.263153,2.945087
1950-06-19,296.396240,308.666748,3.085912
1950-06-20,297.030609,310.208344,1.503644
1950-06-21,296.667175,308.173584,3.024645
1950-06-22,296.711945,307.898438,3.383110
1950-06-23,296.294128,307.656311,0.000000
1950-06-24,296.388184,307.384552,0.000000
1950-06-25,295.949707,307.305573,0.000000
1950-06-26,296.363342,307.129059,0.000000
1950-06-27,297.241974,309.848236,0.000000
1950-06-28,297.755249,307.372284,4.983456
1950-06-29,296.336823,302.464905,32.059082
1950-06-30,295.260406,300.151642,48.993385
1950-07-01,294.203735,298.858459,53.645817
1950-07-02,295.551727,299.117889,52.398914
1950-07-03,295.670959,302.410065,20.003887
1950-07-04,296.096008,301.781006,49.950237
1950-07-05,295.326752,305.870758,13.328386
1950-07-06,295.916290,307.526154,0.452914
1950-07-07,295.696075,309.082275,0.000000
1950-07-08,295.907074,307.952057,0.331398
1950-07-09,296.135437,306.182007,2.514890
1950-07-10,296.021851,306.676849,0.000000
1950-07-11,295.801819,306.929932,0.000000
1950-07-12,295.799835,308.892212,0.000000
1950-07-13,297.095947,307.803284,0.000000
1950-07-14,296.435364,306.688629,2.301128
1950-07-15,296.067078,306.802582,0.309251
1950-07-16,296.196381,307.602020,0.000000
1950-07-17,296.571686,309.809692,0.000000
1950-07-18,296.794128,310.819122,0.000000
1950-07-19,297.482117,310.963226,0.000000
1950-07-20,297.859558,310.527283,0.000000
1950-07-21,296.421387,307.180023,0.000000
1950-07-22,295.501526,305.512970,0.000000
1950-07-23,295.509644,307.314056,0.000000
1950-07-24,295.714111,309.139954,0.000000
1950-07-25,295.533844,307.990265,0.000000
1950-07-26,295.572998,304.803253,0.000000
1950-07-27,293.919006,299.621582,5.745645
1950-07-28,291.343475,305.869690,0.000000
1950-07-29,295.994263,309.788727,0.000000
1950-07-30,296.106567,311.652069,0.000000
1950-07-31,297.723816,311.430603,0.000000
1950-08-01,297.076324,310.268616,0.000000
1950-08-02,296.314362,310.818237,0.000000
1950-08-03,297.342316,310.778168,0.572650
1950-08-04,296.870483,310.871307,0.555838
1950-08-05,296.098816,310.055115,0.000000
1950-08-06,295.201843,309.006287,0.000000
1950-08-07,295.927216,309.783875,0.000000
1950-08-08,296.792999,309.820465,0.000000
1950-08-09,297.078857,309.827515,0.000000
1950-08-10,297.036926,310.402466,0.000000
1950-08-11,296.685730,312.643707,1.219895
1950-08-12,296.900177,309.741150,0.567046
1950-08-13,296.524658,309.960938,0.304318
1950-08-14,296.890198,312.345856,0.000000
1950-08-15,296.827820,309.763977,1.153241
1950-08-16,297.647186,308.427124,9.952464
1950-08-17,295.983276,306.612701,0.000000
1950-08-18,296.531860,308.106018,0.000000
1950-08-19,297.774384,309.591797,0.000000
1950-08-20,297.438812,308.556976,3.987255
1950-08-21,296.203339,307.403473,0.000000
1950-08-22,296.701782,306.823212,0.000000
1950-08-23,296.403778,306.671173,0.000000
1950-08-24,296.108124,306.171478,0.000000
1950-08-25,296.173920,307.587524,0.000000
1950-08-26,295.528442,309.197235,0.000000
1950-08-27,295.851959,311.001312,0.000000
1950-08-28,297.332458,310.316071,0.000000
1950-08-29,296.556976,308.485107,0.000000
1950-08-30,295.399902,306.468353,0.000000
1950-08-31,294.288879,308.441620,0.000000
1950-09-01,294.904877,308.554260,0.000000
1950-09-02,295.446869,314.438507,0.000000
1950-09-03,298.098938,310.920654,0.000000
1950-09-04,297.332581,312.334106,0.000000
1950-09-05,297.867828,310.685150,0.000000
1950-09-06,298.313721,307.912354,2.258485
1950-09-07,296.900421,308.285156,6.861803
1950-09-08,297.814819,306.989502,29.094055
1950-09-09,296.439087,309.172150,1.752135
1950-09-10,296.005096,306.843384,0.587425
1950-09-11,292.147156,306.256714,0.000000
1950-09-12,293.808990,308.186401,2.060889
1950-09-13,296.379852,308.620880,3.578103
1950-09-14,295.639221,308.001495,0.000000
1950-09-15,296.059082,309.078339,0.000000
1950-09-16,294.796143,305.943848,0.000000
1950-09-17,294.731659,305.094574,0.000000
1950-09-18,292.739655,305.148926,0.000000
1950-09-19,295.154572,304.042572,0.000000
1950-09-20,294.632263,303.232880,0.000000
1950-09-21,294.085327,305.101929,0.000000
1950-09-22,295.363220,307.040924,0.413623
1950-09-23,295.283844,307.041687,0.000000
1950-09-24,293.886230,307.905518,0.000000
1950-09-25,293.727020,309.068695,0.000000
1950-09-26,292.121185,302.148376,2.068237
1950-09-27,287.637543,302.924316,0.000000
1950-09-28,290.504517,310.570129,0.000000
1950-09-29,292.965668,305.885315,0.000000
1950-09-30,293.128357,308.622223,1.207182
1950-10-01,293.018158,306.057892,3.551352
1950-10-02,287.351624,301.977539,0.000000
1950-10-03,286.628815,304.889099,0.000000
1950-10-04,293.191498,304.854309,2.391099
1950-10-05,290.805939,304.321930,3.362709
1950-10-06,284.925049,301.364532,0.000000
1950-10-07,284.649139,306.697449,0.000000
1950-10-08,285.298340,304.331055,0.000000
1950-10-09,288.880798,307.495270,0.000000
1950-10-10,288.967743,304.005035,0.000000
1950-10-11,290.051147,301.812744,0.000000
1950-10-12,292.864014,304.001007,14.999255
1950-10-13,290.477112,302.434814,1.659071
1950-10-14,287.150177,302.957977,0.000000
1950-10-15,290.556152,301.145325,4.997189
1950-10-16,289.612427,304.954956,0.000000
1950-10-17,289.800507,301.917145,0.000000
1950-10-18,288.458832,295.276917,16.508953
1950-10-19,289.215088,294.477356,45.805016
1950-10-20,292.343323,303.383362,5.996593
1950-10-21,290.062653,299.498657,0.000000
1950-10-22,280.941711,293.730042,0.000000
1950-10-23,281.146545,296.149811,0.000000
1950-10-24,283.204651,296.915436,0.000000
1950-10-25,285.739655,299.620361,0.000000
1950-10-26,287.641205,296.037140,0.000000
1950-10-27,279.676605,299.316345,0.000000
1950-10-28,284.977661,301.572357,0.000000
1950-10-29,289.878540,299.006927,1.330576
1950-10-30,291.988678,303.413391,4.523847
1950-10-31,292.391815,302.362488,0.000000
1950-11-01,284.607269,300.881226,0.000000
1950-11-02,288.310394,303.353363,0.000000
1950-11-03,291.645172,300.764160,0.000000
1950-11-04,278.077393,294.369049,8.501374
1950-11-05,283.532349,292.102905,34.488747
1950-11-06,282.444397,290.384216,26.581985
1950-11-07,270.216888,280.280701,3.741622
1950-11-08,273.356171,287.305939,0.000000
1950-11-09,284.854309,297.399536,0.000000
1950-11-10,289.189911,302.810852,0.000000
1950-11-11,288.377228,299.147400,0.000000
1950-11-12,289.652161,297.163055,8.171228
1950-11-13,289.627869,295.040558,3.086076
1950-11-14,286.297546,294.273499,23.160231
1950-11-15,283.014465,284.232849,5.039813
1950-11-16,284.036896,286.743500,9.757409
1950-11-17,280.622498,288.297668,0.000000
1950-11-18,282.429810,292.912231,2.659815
1950-11-19,281.303162,288.276733,7.596683
1950-11-20,275.025452,286.011566,0.938488
1950-11-21,275.015686,287.821655,0.000000
1950-11-22,276.290924,291.930664,0.000000
1950-11-23,280.995514,293.830658,0.000000
1950-11-24,279.931641,294.951263,0.000000
1950-11-25,280.984650,296.125793,0.000000
1950-11-26,281.241730,296.158478,0.000000
1950-11-27,284.236847,294.256927,0.000000
1950-11-28,279.519379,294.256714,0.000000
1950-11-29,281.704071,300.644073,0.000000
1950-11-30,285.128510,293.986206,0.415536
1950-12-01,272.978577,282.607635,0.000000
1950-12-02,272.485840,283.321869,0.000000
1950-12-03,278.049988,291.336670,17.760426
1950-12-04,282.518799,290.168152,2.468598
1950-12-05,276.972748,290.809509,0.000000
1950-12-06,275.925385,286.537262,0.000000
1950-12-07,275.715332,289.999969,0.427368
1950-12-08,282.054321,289.109558,4.091922
1950-12-09,276.282837,294.473450,0.000000
1950-12-10,279.707794,293.231232,0.000000
1950-12-11,273.840149,287.581390,0.331255
1950-12-12,272.543457,283.561707,0.000000
1950-12-13,272.488342,287.542786,0.000000
1950-12-14,275.045410,289.279572,0.000000
1950-12-15,275.901154,292.534576,0.000000
1950-12-16,278.494873,295.356323,0.000000
1950-12-17,280.977844,287.874451,8.214341
1950-12-18,274.917023,289.542419,0.000000
1950-12-19,275.035492,292.957214,0.000000
1950-12-20,284.087677,293.648956,0.000000
1950-12-21,277.689606,289.908142,0.000000
1950-12-22,279.395691,286.169769,11.726237
1950-12-23,275.920685,291.617828,0.000000
1950-12-24,283.818909,293.822327,3.608792
1950-12-25,284.411438,288.070740,6.159650
1950-12-26,278.166412,286.222046,20.335320
1950-12-27,280.046356,288.886292,11.461224
1950-12-28,277.496521,289.693176,8.933581
1950-12-29,276.778259,291.135620,0.000000
1950-12-30,279.186768,286.892639,0.000000
1950-12-31,279.049438,286.887299,3.151634
1951-01-01,282.512634,290.342102,3.265141
1951-01-02,278.897522,292.087799,0.000000
1951-01-03,277.450256,289.851013,0.000000
1951-01-04,284.812683,295.566284,4.490745
1951-01-05,284.454681,290.752991,0.000000
1951-01-06,277.075592,290.421661,0.000000
1951-01-07,279.511078,294.339142,0.000000
1951-01-08,287.599487,298.300293,1.058908
1951-01-09,280.757080,292.709351,1.376890
1951-01-10,276.926880,283.873505,0.866356
1951-01-11,282.325134,286.136139,0.409166
1951-01-12,282.131104,291.293121,0.000000
1951-01-13,284.316559,293.928162,0.000000
1951-01-14,281.333832,292.998230,0.000000
1951-01-15,282.805176,289.545807,0.000000
1951-01-16,274.669128,286.549652,0.000000
1951-01-17,276.183624,292.900543,0.000000
1951-01-18,282.407227,294.313202,0.000000
1951-01-19,275.488098,285.902374,0.000000
1951-01-20,272.806671,287.995209,0.000000
1951-01-21,273.830109,287.969513,0.281485
1951-01-22,280.571899,287.204193,2.380367
1951-01-23,275.299377,284.630676,3.470658
1951-01-24,274.186859,288.335022,0.000000
1951-01-25,274.542999,296.411896,0.000000
1951-01-26,282.289093,290.923157,6.047128
1951-01-27,280.521942,295.688232,0.000000
1951-01-28,284.812042,298.083435,7.038291
1951-01-29,283.126740,293.248810,5.178043
1951-01-30,277.339691,291.087311,0.000000
1951-01-31,276.159027,285.846771,0.000000
1951-02-01,275.991302,293.680939,0.000000
1951-02-02,275.886902,287.123535,0.000000
1951-02-03,273.204224,290.285461,0.000000
1951-02-04,281.628265,289.048065,1.975280
1951-02-05,281.870636,295.034882,2.524205
1951-02-06,278.082092,290.266785,0.000000
1951-02-07,277.774841,291.957825,0.000000
1951-02-08,277.573730,295.053192,0.000000
1951-02-09,278.974121,297.633270,0.000000
1951-02-10,282.198975,300.660858,0.000000
1951-02-11,287.766113,295.550201,0.000000
1951-02-12,271.568268,286.834473,0.419063
1951-02-13,277.803894,288.975983,0.000000
1951-02-14,273.359070,282.862885,0.000000
1951-02-15,273.851135,292.257904,0.000000
1951-02-16,279.904114,296.538727,0.000000
1951-02-17,282.590637,300.818176,0.000000
1951-02-18,281.706238,295.177368,0.000000
1951-02-19,273.280609,284.235809,0.000000
1951-02-20,279.277130,295.981598,1.909878
1951-02-21,286.978088,301.464661,0.834486
1951-02-22,285.384705,298.357971,0.000000
1951-02-23,283.177795,296.833099,0.000000
1951-02-24,285.789612,304.171875,0.000000
1951-02-25,289.187012,307.294189,0.880754
1951-02-26,289.890961,300.406433,0.825544
1951-02-27,280.975403,295.278381,0.000000
1951-02-28,275.517975,298.034363,0.000000
1951-03-01,287.420502,300.219330,2.448847
1951-03-02,285.155548,293.643799,0.000000
1951-03-03,281.009613,295.435669,0.000000
1951-03-04,285.698303,293.498322,7.273898
1951-03-05,281.130920,294.460358,1.121570
1951-03-06,279.042267,297.321045,0.000000
1951-03-07,285.950195,297.465607,0.000000
1951-03-08,282.908600,294.683655,0.000000
1951-03-09,273.285065,288.243286,0.000000
1951-03-10,279.286560,286.419922,4.667158
1951-03-11,281.013458,287.382324,6.751053
1951-03-12,279.949371,292.011139,0.400587
1951-03-13,278.649078,293.402863,0.000000
1951-03-14,280.175934,296.507874,0.000000
1951-03-15,286.980164,301.931305,0.000000
1951-03-16,287.904846,295.188751,11.257932
1951-03-17,286.024536,295.839264,0.872042
1951-03-18,287.385834,299.429047,6.564861
1951-03-19,286.156494,294.691956,0.563918
1951-03-20,284.020813,291.615540,0.799982
1951-03-21,280.046509,298.963135,0.000000
1951-03-22,284.563721,301.807587,0.000000
1951-03-23,286.133575,303.115509,0.000000
1951-03-24,286.550262,301.323181,0.000000
1951-03-25,286.848999,303.631805,0.000000
1951-03-26,287.846008,299.700775,0.521807
1951-03-27,270.740753,285.442841,0.000000
1951-03-28,275.730011,295.307098,0.000000
1951-03-29,283.987183,303.602112,0.000000
1951-03-30,286.668335,299.610016,0.000000
1951-03-31,285.158844,298.483887,0.000000
1951-04-01,288.313385,296.308899,0.000000
1951-04-02,289.355377,299.864563,1.581934
1951-04-03,289.925110,303.954742,0.000000
1951-04-04,290.597900,299.372284,0.000000
1951-04-05,284.429596,302.759796,0.000000
1951-04-06,284.868774,302.095947,0.000000
1951-04-07,287.922760,298.736572,1.451345
1951-04-08,286.552429,297.452637,0.000000
1951-04-09,283.616516,297.380432,0.342162
1951-04-10,288.080292,302.262787,0.000000
1951-04-11,290.662872,302.376892,0.299877
1951-04-12,290.481354,299.081421,4.019526
1951-04-13,282.653412,298.106842,0.000000
1951-04-14,281.900726,297.037964,0.000000
1951-04-15,284.693237,301.471436,0.000000
1951-04-16,289.243835,305.288574,5.888794
1951-04-17,287.289642,303.649261,0.000000
1951-04-18,287.528534,303.576965,0.000000
1951-04-19,285.861115,302.513977,0.000000
1951-04-20,290.392426,302.247528,0.000000
1951-04-21,289.287598,301.368378,0.000000
1951-04-22,285.399353,304.761780,0.000000
1951-04-23,288.094727,302.007477,0.000000
1951-04-24,286.835968,301.410614,0.000000
1951-04-25,286.319672,300.428070,0.000000
1951-04-26,290.806213,306.691345,0.000000
1951-04-27,292.380432,306.675537,0.000000
1951-04-28,294.156281,307.886261,0.000000
1951-04-29,291.278076,309.946350,0.000000
1951-04-30,293.837921,308.325714,0.000000
1951-05-01,291.568207,305.101105,0.000000
1951-05-02,291.183441,306.269806,0.000000
1951-05-03,293.847351,308.702087,0.000000
1951-05-04,294.858124,306.067993,4.392407
1951-05-05,294.288452,306.646179,0.627714
1951-05-06,294.165344,303.766357,0.000000
1951-05-07,293.966003,301.770813,18.654921
1951-05-08,293.465057,298.837128,42.824505
1951-05-09,293.189819,300.340424,16.392576
1951-05-10,293.372894,303.001129,11.536440
1951-05-11,292.739288,299.889893,0.000000
1951-05-12,289.469116,299.272034,8.136469
1951-05-13,288.963989,296.303314,6.583652
1951-05-14,285.249756,300.309296,0.000000
1951-05-15,290.493713,304.030792,0.000000
1951-05-16,291.920685,302.610107,0.522462
1951-05-17,291.736206,303.923126,0.000000
1951-05-18,291.876038,305.385101,0.000000
1951-05-19,292.029358,303.591766,0.000000
1951-05-20,293.062866,301.339783,2.573825
1951-05-21,291.313202,304.756958,0.000000
1951-05-22,292.422546,306.818634,0.000000
1951-05-23,296.045746,304.794983,12.933045
1951-05-24,294.921387,297.500275,43.573601
1951-05-25,291.789978,295.855225,62.315544
1951-05-26,290.177094,297.608826,20.530630
1951-05-27,289.597168,298.606903,18.349981
1951-05-28,292.977203,299.073883,35.717224
1951-05-29,293.909943,299.594025,11.641748
1951-05-30,294.424591,301.831451,1.479202
1951-05-31,294.218140,306.398621,0.000000
1951-06-01,292.919220,305.842682,0.956228
1951-06-02,293.430939,305.175781,0.652528
1951-06-03,295.542572,304.138428,1.486598
1951-06-04,293.846588,303.018585,0.786084
1951-06-05,291.056000,298.542816,11.521017
1951-06-06,294.840881,303.201416,23.810886
1951-06-07,295.546082,304.271851,0.000000
1951-06-08,296.009369,306.790009,0.000000
1951-06-09,295.877655,309.840057,0.000000
1951-06-10,295.486359,309.994537,0.000000
1951-06-11,295.861603,313.139435,0.000000
1951-06-12,296.699738,309.176331,0.000000
1951-06-13,294.289124,308.621826,0.000000
1951-06-14,295.009918,307.927948,0.000000
1951-06-15,295.624390,309.065796,0.000000
1951-06-16,297.167328,309.682617,0.000000
1951-06-17,297.761871,309.266357,0.408938
1951-06-18,295.533844,309.368439,0.000000
1951-06-19,297.920197,309.139740,0.000000
1951-06-20,295.876312,307.489532,0.000000
1951-06-21,296.751312,307.765259,0.000000
1951-06-22,296.714081,308.822540,0.000000
1951-06-23,296.404572,308.906891,0.000000
1951-06-24,295.993469,308.780457,0.000000
1951-06-25,297.719910,309.010529,2.388268
1951-06-26,297.170532,306.523315,0.000000
1951-06-27,296.472076,306.494507,0.000000
1951-06-28,296.371429,306.135498,0.000000
1951-06-29,295.526276,306.553192,0.000000
1951-06-30,295.843811,307.267365,0.000000
1951-07-01,296.365570,307.656036,0.000000
1951-07-02,296.625397,308.371429,0.000000
1951-07-03,296.165771,308.269928,0.000000
1951-07-04,297.030884,307.879456,0.000000
1951-07-05,296.819641,309.791870,0.000000
1951-07-06,296.909607,307.205078,0.000000
1951-07-07,295.604431,304.042145,0.000000
1951-07-08,295.824402,305.490723,0.000000
1951-07-09,295.326874,306.504700,12.980786
1951-07-10,295.327087,302.489899,10.593278
1951-07-11,294.996796,304.794678,0.000000
1951-07-12,294.915466,307.459045,0.000000
1951-07-13,296.008789,310.056213,0.000000
1951-07-14,296.922150,305.733307,13.471603
1951-07-15,297.067963,305.538330,11.048053
1951-07-16,296.285614,309.760864,0.000000
1951-07-17,296.541107,308.330353,1.387003
1951-07-18,296.495422,306.429169,0.000000
1951-07-19,295.063202,304.213593,1.891637
1951-07-20,294.769196,301.769836,4.100355
1951-07-21,294.962830,303.161591,0.000000
1951-07-22,294.670563,303.966858,0.000000
1951-07-23,294.947357,304.935028,0.000000
1951-07-24,295.015381,304.565430,0.000000
1951-07-25,294.825287,303.970459,0.000000
1951-07-26,294.627380,301.741760,0.000000
1951-07-27,295.101685,300.435120,5.329594
1951-07-28,294.028412,302.396271,5.454957
1951-07-29,295.783142,307.582153,0.792194
1951-07-30,297.479462,306.513855,14.624646
1951-07-31,296.446777,304.539734,6.865475
1951-08-01,294.931152,306.198547,0.391342
1951-08-02,295.062836,306.416351,0.289979
1951-08-03,294.882874,307.176697,0.000000
1951-08-04,294.928162,309.604431,0.000000
1951-08-05,295.729553,309.884064,0.000000
1951-08-06,296.689117,310.921204,0.000000
1951-08-07,296.280457,309.751221,0.000000
1951-08-08,295.525604,309.083588,0.000000
