#Variables:
#tasmin_IPSL-CM5A-MR_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-MR_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-MR_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-MR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-MR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-MR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-MR_historical(K),tasmax_IPSL-CM5A-MR_historical(K),pr_IPSL-CM5A-MR_historical(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-MR_historical(K),tasmax_IPSL-CM5A-MR_historical(K),pr_IPSL-CM5A-MR_historical(mm)
1950-02-17,282.218628,290.908997,16.325916
1950-02-18,273.860291,290.915222,4.444082
1950-02-19,276.034088,290.769623,0.000000
1950-02-20,278.225525,292.915131,0.000000
1950-02-21,277.942139,299.259460,0.000000
1950-02-22,282.329010,302.342926,0.000000
1950-02-23,286.491852,302.540527,1.062970
1950-02-24,285.066498,302.100098,0.000000
1950-02-25,285.869812,300.365417,0.000000
1950-02-26,284.317566,296.647644,1.171681
1950-02-27,284.388794,298.462067,0.000000
1950-02-28,281.314484,300.669739,0.000000
1950-03-01,285.964294,295.593048,1.607543
1950-03-02,285.621094,293.476471,0.000000
1950-03-03,284.609833,294.453857,0.000000
1950-03-04,280.019043,295.437012,0.000000
1950-03-05,282.572754,296.507874,1.552620
1950-03-06,282.887482,292.529480,0.000000
1950-03-07,277.477112,287.019379,0.000000
1950-03-08,278.126984,294.475677,0.000000
1950-03-09,279.061096,298.139557,0.000000
1950-03-10,282.810669,296.899780,0.000000
1950-03-11,284.446594,295.185181,0.000000
1950-03-12,279.452545,297.501160,0.000000
1950-03-13,286.033051,299.973724,0.000000
1950-03-14,286.119415,294.904663,0.000000
1950-03-15,281.739929,287.489166,0.957223
1950-03-16,280.771057,291.088318,7.399707
1950-03-17,279.692596,296.903473,0.000000
1950-03-18,282.747131,299.015747,0.000000
1950-03-19,284.334320,301.136017,0.000000
1950-03-20,285.403107,298.993378,1.591110
1950-03-21,287.800049,296.979156,6.637556
1950-03-22,289.090820,300.354279,20.873625
1950-03-23,285.133179,300.761292,1.358860
1950-03-24,284.200653,295.022308,0.000000
1950-03-25,279.876495,290.889587,0.000000
1950-03-26,276.868011,292.221527,0.000000
1950-03-27,279.483917,298.608551,0.000000
1950-03-28,286.031128,296.651337,0.000000
1950-03-29,285.271210,296.731140,0.799982
1950-03-30,281.209503,296.151642,0.000000
1950-03-31,284.989716,298.259460,0.000000
1950-04-01,286.019897,300.996796,0.785983
1950-04-02,287.439392,296.119690,0.629023
1950-04-03,280.848877,296.623779,0.000000
1950-04-04,283.029266,297.382416,0.000000
1950-04-05,284.840210,302.625488,0.000000
1950-04-06,287.238251,303.722290,0.000000
1950-04-07,289.496002,300.161560,0.000000
1950-04-08,290.971436,302.568848,4.346688
1950-04-09,290.556427,304.287994,0.000000
1950-04-10,279.376617,299.236969,0.000000
1950-04-11,278.552368,287.148804,0.000000
1950-04-12,280.785645,287.826935,0.000000
1950-04-13,281.138184,284.608643,0.492824
1950-04-14,280.916046,286.247833,3.844484
1950-04-15,277.262451,289.438690,1.354841
1950-04-16,286.920532,294.314240,5.045845
1950-04-17,287.602081,296.021027,6.305966
1950-04-18,284.227234,294.789673,0.787015
1950-04-19,287.933868,297.733917,1.705941
1950-04-20,290.862183,295.892487,31.328062
1950-04-21,284.217285,297.169861,12.333733
1950-04-22,289.933899,297.235199,27.044727
1950-04-23,283.833740,296.946228,7.763597
1950-04-24,286.372894,300.876068,0.000000
1950-04-25,287.854370,301.445007,4.237687
1950-04-26,288.730927,302.263123,23.641069
1950-04-27,283.990723,296.385529,3.595148
1950-04-28,279.168030,295.836945,0.000000
1950-04-29,282.294312,298.367889,0.000000
1950-04-30,282.681549,294.120270,0.000000
1950-05-01,281.681427,298.070984,0.000000
1950-05-02,286.432465,304.477386,0.000000
1950-05-03,289.344604,301.966919,0.000000
1950-05-04,289.028534,304.529144,0.000000
1950-05-05,291.790649,304.389984,0.000000
1950-05-06,290.631927,305.805481,0.000000
1950-05-07,291.602783,302.246338,0.955719
1950-05-08,293.961273,301.647827,26.577707
1950-05-09,292.376007,298.492004,8.444917
1950-05-10,292.450439,299.430603,3.424526
1950-05-11,292.281952,301.356232,27.197165
1950-05-12,290.634003,298.151398,5.783335
1950-05-13,290.839478,299.184753,33.778683
1950-05-14,291.961578,301.819733,19.679806
1950-05-15,292.188629,301.403931,18.467611
1950-05-16,293.036835,300.151947,13.680220
1950-05-17,292.937195,301.374207,22.957802
1950-05-18,292.320099,300.957489,10.483838
1950-05-19,291.795074,299.513519,15.979954
1950-05-20,291.518860,301.525604,25.575161
1950-05-21,291.732941,302.214813,6.035552
1950-05-22,291.771332,301.197510,13.118615
1950-05-23,290.010529,302.561218,0.000000
1950-05-24,290.902344,305.211578,0.000000
1950-05-25,292.092316,303.090454,0.000000
1950-05-26,292.023682,301.652557,8.014368
1950-05-27,292.746643,299.362701,0.000000
1950-05-28,294.006134,301.434296,28.707479
1950-05-29,292.382843,302.139648,31.592770
1950-05-30,291.293610,299.233948,26.602642
1950-05-31,292.107208,298.278320,0.384240
1950-06-01,287.688446,298.059479,0.000000
1950-06-02,287.464142,301.576813,0.000000
1950-06-03,290.238678,306.074493,0.000000
1950-06-04,292.423706,307.959259,0.000000
1950-06-05,293.502075,306.708008,0.000000
1950-06-06,293.221405,309.423004,0.000000
1950-06-07,294.989594,309.543640,0.000000
1950-06-08,295.311584,310.525238,0.000000
1950-06-09,295.420868,308.537903,0.000000
1950-06-10,295.628815,307.207001,0.000000
1950-06-11,295.371429,307.734375,0.000000
1950-06-12,294.857422,307.807556,0.000000
1950-06-13,295.064880,308.900696,0.000000
1950-06-14,295.824432,308.205963,0.000000
1950-06-15,296.731415,307.341125,0.000000
1950-06-16,295.900604,306.716278,0.000000
1950-06-17,295.708984,305.925140,0.000000
1950-06-18,295.033234,307.264435,0.000000
1950-06-19,295.922333,308.409119,0.000000
1950-06-20,296.848724,310.737488,0.000000
1950-06-21,296.591827,308.710876,0.539044
1950-06-22,296.360748,306.412842,5.536914
1950-06-23,295.499420,304.721924,2.632318
1950-06-24,294.771912,306.262085,0.000000
1950-06-25,295.033813,305.733704,0.000000
1950-06-26,294.896484,305.235901,0.759365
1950-06-27,295.228851,305.024841,2.026530
1950-06-28,295.044128,302.833954,6.032731
1950-06-29,292.745270,302.955383,0.000000
1950-06-30,293.677887,306.735840,0.000000
1950-07-01,294.217377,307.454590,0.000000
1950-07-02,294.953369,306.502930,3.810532
1950-07-03,295.132477,307.319580,0.000000
1950-07-04,295.566345,308.074219,0.000000
1950-07-05,295.736633,309.755585,0.000000
1950-07-06,295.972778,309.033081,1.326173
1950-07-07,296.027374,308.921021,0.000000
1950-07-08,297.411713,309.115112,0.000000
1950-07-09,297.563660,309.605133,0.000000
1950-07-10,297.762115,308.373810,0.000000
1950-07-11,296.963623,307.593964,0.000000
1950-07-12,297.002289,307.281036,0.000000
1950-07-13,296.948547,307.588226,0.000000
1950-07-14,296.734467,307.424713,0.000000
1950-07-15,296.085632,306.415039,1.927875
1950-07-16,296.191833,308.471008,0.000000
1950-07-17,296.236511,308.370850,0.000000
1950-07-18,295.286285,307.706360,0.000000
1950-07-19,295.350220,308.232819,0.000000
1950-07-20,295.635071,308.283752,0.000000
1950-07-21,296.072388,308.703705,0.000000
1950-07-22,296.222900,308.618988,0.000000
1950-07-23,296.628113,309.647766,0.000000
1950-07-24,296.284760,309.225677,0.000000
1950-07-25,296.556335,308.750732,0.000000
1950-07-26,296.881805,308.098816,0.000000
1950-07-27,296.627777,308.148132,0.000000
1950-07-28,296.269409,308.116699,0.000000
1950-07-29,296.595520,309.157074,0.000000
1950-07-30,297.324677,307.125397,3.959239
1950-07-31,296.764313,308.540680,0.000000
1950-08-01,295.951904,308.102631,0.000000
1950-08-02,295.633881,307.639679,0.000000
1950-08-03,295.805115,307.153076,0.299538
1950-08-04,295.262634,306.660950,0.000000
1950-08-05,295.000153,307.716736,0.000000
1950-08-06,295.489716,307.170471,0.000000
1950-08-07,295.413727,307.571625,0.437935
1950-08-08,295.087646,308.664185,0.664472
1950-08-09,295.245789,309.838623,0.000000
1950-08-10,295.504425,309.685974,0.000000
1950-08-11,295.876678,308.786804,0.452915
1950-08-12,296.056213,307.587036,1.679358
1950-08-13,296.473785,307.551941,1.710868
1950-08-14,296.563538,308.885773,0.895110
1950-08-15,296.503815,309.291321,0.927466
1950-08-16,297.072174,308.653870,0.905519
1950-08-17,296.794250,308.036591,2.396084
1950-08-18,295.911774,308.573212,0.000000
1950-08-19,296.293976,308.961304,0.000000
1950-08-20,296.597992,309.692993,0.000000
1950-08-21,296.444489,310.268127,0.000000
1950-08-22,297.481842,310.481964,0.565859
1950-08-23,298.057709,309.271576,2.903600
1950-08-24,295.891663,307.155853,3.802289
1950-08-25,294.733917,308.236908,1.143810
1950-08-26,295.655334,309.033417,0.000000
1950-08-27,296.038025,309.213013,0.000000
1950-08-28,295.724152,309.208282,0.000000
1950-08-29,296.023010,308.358826,0.630086
1950-08-30,296.384949,307.086548,1.118896
1950-08-31,295.690338,305.066559,3.004768
1950-09-01,295.527710,307.384125,0.000000
1950-09-02,295.399445,308.942993,0.000000
1950-09-03,295.594116,308.811249,0.000000
1950-09-04,296.053955,308.734406,0.000000
1950-09-05,296.146423,307.187500,0.000000
1950-09-06,295.490692,306.314301,1.371262
1950-09-07,295.508514,306.703949,0.824866
1950-09-08,296.053375,308.129303,0.000000
1950-09-09,296.445923,307.380707,7.306533
1950-09-10,296.349731,304.578186,8.451900
1950-09-11,292.131012,305.562714,0.000000
1950-09-12,293.180298,306.059265,0.000000
1950-09-13,293.708893,307.451385,0.000000
1950-09-14,293.729614,306.706665,0.412136
1950-09-15,292.547241,307.261444,0.000000
1950-09-16,293.712006,308.535583,0.000000
1950-09-17,295.108368,306.080017,0.000000
1950-09-18,294.645782,305.862915,1.385725
1950-09-19,293.230743,306.852325,0.000000
1950-09-20,293.238220,307.540710,0.000000
1950-09-21,294.358643,307.071503,0.000000
1950-09-22,294.362885,305.917511,3.126703
1950-09-23,292.949707,304.821289,2.232826
1950-09-24,289.299011,304.856323,0.000000
1950-09-25,290.361908,305.579071,0.000000
1950-09-26,290.967896,306.099762,0.000000
1950-09-27,292.469208,305.308777,0.000000
1950-09-28,293.936493,304.820251,4.136999
1950-09-29,291.940399,303.067932,0.578566
1950-09-30,288.658081,301.269745,3.848089
1950-10-01,289.429840,302.729645,0.000000
1950-10-02,288.615295,303.053680,0.000000
1950-10-03,290.008331,304.657349,0.000000
1950-10-04,290.296082,304.990967,0.000000
1950-10-05,290.362335,305.313416,0.000000
1950-10-06,291.087158,307.253387,0.000000
1950-10-07,293.217926,306.092987,0.000000
1950-10-08,291.559753,307.260712,0.000000
1950-10-09,291.982025,304.682220,1.499327
1950-10-10,291.104095,304.125641,0.460410
1950-10-11,291.710815,304.771606,0.000000
1950-10-12,289.937561,306.392456,0.000000
1950-10-13,293.031616,308.491516,0.000000
1950-10-14,290.690399,306.065277,0.906542
1950-10-15,288.220947,300.617676,0.000000
1950-10-16,283.886414,294.540680,0.000000
1950-10-17,283.159973,298.593903,0.000000
1950-10-18,287.841187,304.945740,0.000000
1950-10-19,291.688232,306.042145,0.000000
1950-10-20,291.087219,307.208008,0.000000
1950-10-21,292.448517,303.795227,0.000000
1950-10-22,285.418243,302.631500,0.000000
1950-10-23,293.781555,306.187317,0.000000
1950-10-24,294.351654,304.583893,0.975946
1950-10-25,293.227112,301.461090,19.525503
1950-10-26,280.406067,294.101288,1.588406
1950-10-27,278.904083,294.777496,0.000000
1950-10-28,283.459198,298.894562,0.000000
1950-10-29,285.904175,301.097321,0.000000
1950-10-30,286.053375,302.873291,0.000000
1950-10-31,289.713501,302.597473,0.000000
1950-11-01,290.554016,301.566681,0.000000
1950-11-02,291.471558,303.340607,0.000000
1950-11-03,290.770874,304.298401,0.000000
1950-11-04,290.919861,301.529266,0.000000
1950-11-05,284.309265,295.836761,0.000000
1950-11-06,284.690613,299.229431,0.000000
1950-11-07,289.029480,302.434845,0.000000
1950-11-08,288.954529,300.374023,0.000000
1950-11-09,280.184998,291.729706,1.840537
1950-11-10,279.913727,292.492889,0.000000
1950-11-11,278.998383,295.766815,0.000000
1950-11-12,284.406952,301.162476,0.000000
1950-11-13,287.130127,301.179840,0.531928
1950-11-14,286.309784,301.531708,0.000000
1950-11-15,287.212067,302.778076,0.000000
1950-11-16,287.417419,302.811859,0.000000
1950-11-17,290.509705,303.011139,0.865740
1950-11-18,290.108246,303.344879,0.491091
1950-11-19,286.941650,299.563538,0.497584
1950-11-20,272.168701,287.599579,0.000000
1950-11-21,275.713776,293.607971,0.000000
1950-11-22,282.210815,296.164734,0.000000
1950-11-23,281.077576,291.661163,0.000000
1950-11-24,276.609955,287.486450,0.000000
1950-11-25,278.049133,293.597748,0.000000
1950-11-26,283.446472,293.630035,12.948194
1950-11-27,280.782227,289.955170,0.842251
1950-11-28,281.431610,290.884216,0.693937
1950-11-29,283.172119,291.168701,7.545909
1950-11-30,287.204559,291.855499,1.752738
1950-12-01,285.017212,289.861755,0.404256
1950-12-02,280.561462,290.577423,0.000000
1950-12-03,284.142487,297.612213,0.000000
1950-12-04,288.196808,296.711884,0.000000
1950-12-05,277.195435,290.788879,0.000000
1950-12-06,275.611023,289.098907,0.000000
1950-12-07,276.277344,286.380096,14.447772
1950-12-08,275.194977,280.202911,10.168221
1950-12-09,276.446533,280.930573,17.937899
1950-12-10,275.426239,286.089020,0.000000
1950-12-11,277.772949,290.111145,0.000000
1950-12-12,278.927094,291.837219,0.000000
1950-12-13,281.166992,296.412292,0.000000
1950-12-14,286.688995,295.980255,0.485983
1950-12-15,284.698059,292.679382,1.367563
1950-12-16,274.970123,292.870850,0.000000
1950-12-17,276.838470,296.777832,0.000000
1950-12-18,282.209045,297.878784,0.000000
1950-12-19,283.255707,292.394531,1.104433
1950-12-20,280.249390,286.640442,8.799845
1950-12-21,275.129883,287.609894,1.064275
1950-12-22,276.170074,290.975159,0.000000
1950-12-23,283.421967,297.317535,0.000000
1950-12-24,276.563446,290.059723,0.000000
1950-12-25,272.562225,285.903809,0.000000
1950-12-26,273.041962,290.614929,0.000000
1950-12-27,272.257080,285.855743,0.000000
1950-12-28,274.607361,287.454285,0.000000
1950-12-29,278.349823,292.112610,0.000000
1950-12-30,286.936768,295.527008,3.224407
1950-12-31,274.592255,289.931458,11.726237
1951-01-01,274.303436,285.522888,0.315076
1951-01-02,276.568268,290.100616,0.000000
1951-01-03,277.403381,290.291168,0.000000
1951-01-04,276.008667,288.318512,0.000000
1951-01-05,277.802063,286.728394,0.000000
1951-01-06,277.678375,289.833405,0.000000
1951-01-07,271.009338,288.615570,0.000000
1951-01-08,272.594757,292.967499,0.000000
1951-01-09,277.217926,292.060822,0.000000
1951-01-10,276.372559,291.937683,0.000000
1951-01-11,279.605469,290.637848,0.351933
1951-01-12,274.734894,292.753296,0.000000
1951-01-13,278.148712,295.550781,0.000000
1951-01-14,278.511780,292.529327,0.000000
1951-01-15,275.945953,294.608429,0.000000
1951-01-16,277.200134,296.681976,0.000000
1951-01-17,280.521942,297.985901,0.000000
1951-01-18,280.191437,295.010773,0.000000
1951-01-19,281.279907,294.608734,0.000000
1951-01-20,285.266998,296.930450,3.768100
1951-01-21,276.007538,293.980743,5.324051
1951-01-22,273.928802,279.963013,11.340343
1951-01-23,270.725586,277.933563,7.069212
1951-01-24,272.547485,283.316833,2.686013
1951-01-25,276.677521,283.095459,7.900267
1951-01-26,277.164062,285.482941,4.760807
1951-01-27,277.208679,282.913025,1.170773
1951-01-28,270.594971,288.584198,0.000000
1951-01-29,272.750702,287.339294,0.000000
1951-01-30,271.493561,282.554260,0.000000
1951-01-31,273.204224,288.759705,0.000000
1951-02-01,273.782379,290.622192,0.000000
1951-02-02,278.295380,296.257446,0.000000
1951-02-03,279.531708,297.252014,0.000000
1951-02-04,277.953156,291.975769,0.000000
1951-02-05,276.842163,293.828888,0.000000
1951-02-06,283.579041,288.114746,0.615708
1951-02-07,278.362213,285.047180,14.843981
1951-02-08,275.217377,278.009064,4.832635
1951-02-09,269.477905,278.286316,0.000000
1951-02-10,267.893066,275.373566,0.000000
1951-02-11,271.544891,283.289215,3.012654
1951-02-12,275.314514,289.035858,0.000000
1951-02-13,278.041534,294.874542,0.000000
1951-02-14,282.141479,299.796448,0.279629
1951-02-15,284.802124,301.842560,0.000000
1951-02-16,283.288116,295.615601,0.000000
1951-02-17,280.569794,291.179718,0.724764
1951-02-18,283.809418,298.458649,0.553642
1951-02-19,287.741821,298.587189,0.000000
1951-02-20,287.843628,300.515167,1.427254
1951-02-21,280.394714,294.925629,0.000000
1951-02-22,277.045837,298.977478,0.000000
1951-02-23,281.863403,295.530090,0.000000
1951-02-24,282.106689,302.726776,0.000000
1951-02-25,287.429169,307.294189,0.000000
1951-02-26,287.173584,300.564514,0.000000
1951-02-27,285.270081,294.825500,0.000000
1951-02-28,284.477936,297.662720,0.000000
1951-03-01,286.050140,304.411835,0.000000
1951-03-02,288.031158,300.673370,0.000000
1951-03-03,284.519470,299.147736,0.000000
1951-03-04,288.001221,300.555511,0.000000
1951-03-05,285.975220,300.556763,0.000000
1951-03-06,288.062408,301.553101,1.170016
1951-03-07,289.409271,299.582367,0.000000
1951-03-08,287.725464,298.013733,11.206850
1951-03-09,285.108521,294.283508,7.166594
1951-03-10,287.494995,299.471832,2.029672
1951-03-11,287.462921,301.836914,0.000000
1951-03-12,287.389465,300.718933,0.000000
1951-03-13,287.955750,294.689636,16.749672
1951-03-14,285.502411,293.377014,18.741232
1951-03-15,289.241791,299.902588,4.705683
1951-03-16,287.439636,295.226501,5.461435
1951-03-17,281.663513,295.834473,4.971220
1951-03-18,278.099396,288.495575,0.000000
1951-03-19,278.491638,292.337799,0.000000
1951-03-20,285.824402,291.724518,36.756824
1951-03-21,280.255463,294.506897,5.822309
1951-03-22,282.866516,294.013672,0.000000
1951-03-23,284.640259,295.617279,0.000000
1951-03-24,287.733734,295.307098,8.669861
1951-03-25,289.849670,297.773102,8.928944
1951-03-26,290.488647,297.270142,2.287761
1951-03-27,289.447205,300.881683,7.513740
1951-03-28,290.208740,302.070404,6.686659
1951-03-29,289.430298,300.746246,3.725923
1951-03-30,288.776062,299.408630,6.597658
1951-03-31,288.444946,300.411621,0.405809
1951-04-01,281.076050,295.092041,6.137945
1951-04-02,275.817108,292.443787,0.000000
1951-04-03,281.229248,297.457123,0.000000
1951-04-04,283.932709,293.500549,0.000000
1951-04-05,285.488800,292.077850,18.743391
1951-04-06,289.944427,296.609924,18.198200
1951-04-07,290.209412,300.997406,11.087017
1951-04-08,284.088318,302.247772,0.000000
1951-04-09,283.598602,303.786621,0.000000
1951-04-10,286.950317,307.196045,0.000000
1951-04-11,287.015106,308.141510,0.000000
1951-04-12,288.272766,307.079102,0.000000
1951-04-13,291.212708,299.781799,0.000000
1951-04-14,279.888275,300.381500,0.000000
1951-04-15,284.203827,304.217010,0.000000
1951-04-16,285.382782,305.196655,0.000000
1951-04-17,287.196869,309.721069,0.000000
1951-04-18,289.806366,309.920471,0.000000
1951-04-19,291.795837,306.953949,0.000000
1951-04-20,291.869537,307.066315,0.000000
1951-04-21,292.273590,307.782318,0.738189
1951-04-22,292.583771,309.903748,0.000000
1951-04-23,293.052246,309.819672,0.000000
1951-04-24,293.767639,308.295563,0.000000
1951-04-25,293.580048,304.667816,0.000000
1951-04-26,293.264313,305.168640,1.038619
1951-04-27,293.375061,307.255829,0.000000
1951-04-28,293.013672,305.107788,4.354206
1951-04-29,293.335205,301.805267,7.588148
1951-04-30,290.876221,300.027618,0.652368
1951-05-01,290.535156,298.892151,0.292801
1951-05-02,290.730835,303.751434,5.966056
1951-05-03,292.121307,300.658752,19.187641
1951-05-04,292.884094,298.748138,38.706730
1951-05-05,290.027588,297.024170,1.888983
1951-05-06,288.307556,301.957886,0.000000
1951-05-07,288.178223,303.001129,0.000000
1951-05-08,289.027374,302.333435,0.000000
1951-05-09,289.630524,301.111816,0.929389
1951-05-10,290.093994,303.012115,6.271661
1951-05-11,291.835327,302.324310,0.000000
1951-05-12,292.949860,302.394684,1.827142
1951-05-13,293.661072,298.651611,1.314800
1951-05-14,294.236481,300.188965,23.372021
1951-05-15,289.014984,300.691528,0.000000
1951-05-16,287.002869,299.743561,0.000000
1951-05-17,287.990204,299.822845,0.460896
1951-05-18,288.649261,302.937592,0.499266
1951-05-19,291.345001,304.349304,0.000000
1951-05-20,291.322235,303.351379,11.559161
1951-05-21,292.675842,304.326874,6.205187
1951-05-22,292.650757,305.468536,10.911764
1951-05-23,292.337433,302.934448,5.146910
1951-05-24,292.081146,303.690125,2.687538
1951-05-25,292.702454,306.977112,0.000000
1951-05-26,293.632385,307.891174,0.000000
1951-05-27,293.904419,307.486694,0.000000
1951-05-28,293.805756,307.112366,0.000000
1951-05-29,294.480438,306.590851,0.000000
1951-05-30,294.321350,306.760956,0.000000
1951-05-31,294.704651,308.168152,0.000000
1951-06-01,294.784363,305.508179,1.362428
1951-06-02,294.620850,306.314301,4.202713
1951-06-03,294.441254,307.902985,1.378329
1951-06-04,293.961334,309.919861,0.000000
1951-06-05,294.871948,308.437469,0.000000
1951-06-06,293.299438,307.304138,0.344220
1951-06-07,294.308716,311.795929,0.000000
1951-06-08,295.394257,311.504639,0.000000
1951-06-09,296.028015,311.385254,0.000000
1951-06-10,295.590088,309.537750,0.000000
1951-06-11,293.423248,312.024261,0.000000
1951-06-12,298.665344,314.639618,0.000000
1951-06-13,297.383453,311.224060,0.000000
1951-06-14,298.329468,311.852448,0.000000
1951-06-15,299.395081,312.260559,0.000000
1951-06-16,299.900238,309.448486,0.000000
1951-06-17,299.094391,311.754303,0.000000
1951-06-18,297.055054,310.615021,1.721661
1951-06-19,297.062500,311.066711,0.000000
1951-06-20,298.643646,311.695679,0.000000
1951-06-21,297.937836,308.621704,0.000000
1951-06-22,296.284119,306.544189,1.590379
1951-06-23,295.377380,309.346405,0.000000
1951-06-24,298.046051,311.496216,0.000000
1951-06-25,298.474030,308.914856,0.000000
1951-06-26,296.318207,309.117676,0.000000
1951-06-27,296.308716,309.948364,0.000000
1951-06-28,298.129425,310.250031,0.000000
1951-06-29,298.563385,309.650238,0.000000
1951-06-30,297.947144,308.881042,0.000000
1951-07-01,298.036774,307.995087,0.000000
1951-07-02,296.599579,308.042847,0.000000
1951-07-03,296.570770,309.143738,0.000000
1951-07-04,297.228149,309.201050,0.000000
1951-07-05,297.457794,311.001221,0.000000
1951-07-06,298.874207,311.496155,0.000000
1951-07-07,299.577972,310.591644,0.000000
1951-07-08,297.402771,307.785889,0.000000
1951-07-09,296.337311,306.892365,0.000000
1951-07-10,295.677368,308.140015,0.000000
1951-07-11,296.250854,308.169617,0.000000
1951-07-12,296.611725,307.376099,0.000000
1951-07-13,295.948303,307.561951,0.000000
1951-07-14,296.194550,309.414703,0.000000
1951-07-15,297.349426,310.578857,0.000000
1951-07-16,297.582336,310.838379,0.000000
1951-07-17,297.226990,311.966248,0.000000
1951-07-18,298.059692,312.085022,0.000000
1951-07-19,298.135986,311.816650,0.000000
1951-07-20,298.062256,310.511475,0.000000
1951-07-21,297.201965,307.640533,5.221197
1951-07-22,296.494934,309.192566,0.000000
1951-07-23,297.110809,311.504822,0.000000
1951-07-24,297.861786,311.877289,0.000000
1951-07-25,297.485046,311.691040,0.000000
1951-07-26,298.108551,312.465851,0.000000
1951-07-27,298.261078,313.427917,0.000000
1951-07-28,298.090759,313.427063,0.000000
1951-07-29,298.180634,312.206879,0.000000
1951-07-30,297.186127,310.424683,0.000000
1951-07-31,295.986847,310.605194,0.000000
1951-08-01,296.318237,310.352417,0.000000
1951-08-02,296.782349,309.036713,0.284668
1951-08-03,296.346313,307.030975,0.000000
1951-08-04,296.570496,304.758453,6.635479
1951-08-05,297.174561,304.487854,28.360332
1951-08-06,296.318085,306.721619,31.409496
1951-08-07,296.036926,306.081421,15.076800
1951-08-08,294.205414,305.507812,4.941274
1951-08-09,293.685760,307.607574,1.323122
