#Variables:
#tasmin_GFDL-ESM2M_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2M_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2M_historical(K),tasmax_GFDL-ESM2M_historical(K),pr_GFDL-ESM2M_historical(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2M_historical(K),tasmax_GFDL-ESM2M_historical(K),pr_GFDL-ESM2M_historical(mm)
1950-02-19,270.899933,295.437195,3.183455
1950-02-20,266.708862,279.797272,2.209466
1950-02-21,267.996704,285.074463,0.000000
1950-02-22,272.516876,288.492828,0.000000
1950-02-23,280.900848,300.055420,0.000000
1950-02-24,284.747223,302.580383,0.000000
1950-02-25,287.361053,305.633636,0.000000
1950-02-26,287.586487,303.713287,0.000000
1950-02-27,288.220001,302.560333,0.000000
1950-02-28,288.645844,305.001648,0.000000
1950-03-01,286.437744,303.690033,0.000000
1950-03-02,281.763763,292.633301,0.000000
1950-03-03,274.474487,293.998444,0.000000
1950-03-04,280.202332,298.840118,0.000000
1950-03-05,284.319244,300.670197,0.000000
1950-03-06,286.580597,301.358276,0.000000
1950-03-07,287.713715,303.705933,0.424588
1950-03-08,289.941345,303.564514,0.000000
1950-03-09,279.629181,300.876282,0.000000
1950-03-10,279.840668,294.336029,0.000000
1950-03-11,280.488220,295.634491,0.000000
1950-03-12,281.983704,294.542847,0.000000
1950-03-13,286.483673,291.600830,36.734634
1950-03-14,284.751129,290.650391,15.847305
1950-03-15,278.651703,293.250488,0.000000
1950-03-16,280.838348,293.640198,0.000000
1950-03-17,285.881592,299.722900,1.092039
1950-03-18,283.709991,297.139679,0.000000
1950-03-19,279.802856,295.022308,0.000000
1950-03-20,281.863861,298.400452,0.000000
1950-03-21,286.398010,299.936981,0.000000
1950-03-22,287.792664,302.926727,0.000000
1950-03-23,285.048859,303.465576,0.000000
1950-03-24,289.254150,303.803192,0.000000
1950-03-25,288.901794,303.240479,2.562571
1950-03-26,282.625793,297.445404,0.000000
1950-03-27,281.254486,297.114532,0.000000
1950-03-28,283.791290,299.633698,0.000000
1950-03-29,285.445984,300.272400,0.000000
1950-03-30,287.391785,302.683929,0.000000
1950-03-31,290.588654,303.602112,0.000000
1950-04-01,286.032806,302.724121,0.000000
1950-04-02,280.256622,294.209198,0.000000
1950-04-03,280.010681,291.852936,0.000000
1950-04-04,275.817108,287.715210,0.000000
1950-04-05,279.894226,289.035645,0.000000
1950-04-06,282.080048,296.847229,0.000000
1950-04-07,288.028168,298.724426,0.000000
1950-04-08,288.246796,298.037750,0.000000
1950-04-09,289.558105,305.976685,0.000000
1950-04-10,291.036316,305.445374,0.000000
1950-04-11,290.459198,303.076538,0.000000
1950-04-12,288.366608,305.341675,0.000000
1950-04-13,288.727051,305.629974,0.850933
1950-04-14,293.331909,309.175110,0.000000
1950-04-15,292.811249,308.562073,0.000000
1950-04-16,286.680267,303.352234,0.000000
1950-04-17,287.898621,302.711151,0.000000
1950-04-18,284.347290,297.067078,0.000000
1950-04-19,280.866821,298.764130,0.000000
1950-04-20,285.645447,302.218719,0.000000
1950-04-21,287.990448,307.481720,0.000000
1950-04-22,293.264313,308.772766,0.000000
1950-04-23,290.528137,307.732056,0.000000
1950-04-24,292.338959,306.076294,0.000000
1950-04-25,290.316895,305.289276,0.000000
1950-04-26,293.670624,307.066315,0.000000
1950-04-27,291.627991,307.961395,0.000000
1950-04-28,282.771729,304.993011,0.000000
1950-04-29,283.909088,298.040710,0.000000
1950-04-30,281.850891,302.208130,0.000000
1950-05-01,288.279572,305.843414,0.000000
1950-05-02,292.044464,306.286102,0.000000
1950-05-03,292.999023,307.177948,0.000000
1950-05-04,293.366760,306.935425,0.000000
1950-05-05,293.189819,307.582855,0.567677
1950-05-06,293.909241,306.883331,2.499420
1950-05-07,293.857422,306.913422,8.444917
1950-05-08,294.631775,306.658569,3.424526
1950-05-09,294.499176,306.392395,6.624459
1950-05-10,296.099213,305.595245,14.888577
1950-05-11,292.579651,299.863495,23.372021
1950-05-12,289.771606,297.641449,13.475729
1950-05-13,287.455231,295.788055,0.000000
1950-05-14,289.341370,298.178314,0.000000
1950-05-15,290.660034,300.424255,0.000000
1950-05-16,289.709076,300.807495,0.000000
1950-05-17,291.490936,301.442627,0.000000
1950-05-18,292.347992,301.596588,0.000000
1950-05-19,292.229736,305.521820,0.000000
1950-05-20,293.602997,306.627930,0.000000
1950-05-21,294.638672,306.801880,3.870547
1950-05-22,291.561737,303.641815,0.000000
1950-05-23,291.270264,304.665863,0.000000
1950-05-24,294.253571,303.762268,0.000000
1950-05-25,293.286621,300.028534,10.069858
1950-05-26,291.251160,299.780457,5.386462
1950-05-27,291.871307,299.999512,0.000000
1950-05-28,291.835693,300.185303,0.506796
1950-05-29,292.093994,301.459076,0.000000
1950-05-30,291.565582,304.764862,0.000000
1950-05-31,293.953735,305.444489,0.000000
1950-06-01,294.479218,302.295258,5.755162
1950-06-02,294.932709,299.887604,8.246457
1950-06-03,293.056458,300.525665,12.509688
1950-06-04,295.016632,300.424896,2.025710
1950-06-05,294.873474,301.366425,1.910110
1950-06-06,293.345673,305.052948,0.000000
1950-06-07,292.339417,305.083160,0.000000
1950-06-08,293.805908,304.922577,0.000000
1950-06-09,294.760834,305.207031,0.000000
1950-06-10,294.793182,306.492859,0.436978
1950-06-11,293.919891,308.037445,0.000000
1950-06-12,294.998169,309.128967,0.000000
1950-06-13,295.734070,309.725189,0.000000
1950-06-14,295.788574,309.113037,0.000000
1950-06-15,295.386200,307.536835,0.000000
1950-06-16,295.998383,308.609314,0.000000
1950-06-17,296.085175,307.999329,0.000000
1950-06-18,295.899200,308.289673,0.000000
1950-06-19,296.150269,308.822540,0.000000
1950-06-20,296.627380,311.012543,0.000000
1950-06-21,297.383057,312.245361,0.000000
1950-06-22,297.622345,311.185913,0.000000
1950-06-23,296.538879,309.078308,0.000000
1950-06-24,296.336426,308.707214,0.000000
1950-06-25,297.757141,310.242188,0.877167
1950-06-26,299.029907,310.823730,0.000000
1950-06-27,299.552643,311.332642,0.000000
1950-06-28,298.947021,310.960541,0.000000
1950-06-29,298.595184,311.259460,0.000000
1950-06-30,298.023407,311.201019,0.000000
1950-07-01,297.990997,310.221039,0.000000
1950-07-02,296.302521,307.483856,0.000000
1950-07-03,296.337860,307.596893,0.000000
1950-07-04,297.228149,308.620850,0.000000
1950-07-05,297.051544,308.054688,0.000000
1950-07-06,296.507172,307.603760,0.000000
1950-07-07,296.991302,307.596252,0.000000
1950-07-08,297.661102,307.596222,0.000000
1950-07-09,296.712189,308.674530,0.000000
1950-07-10,296.685333,310.042938,0.000000
1950-07-11,298.134064,310.936035,0.000000
1950-07-12,299.129608,309.790436,0.000000
1950-07-13,298.068970,308.888947,0.000000
1950-07-14,296.900787,307.393951,0.000000
1950-07-15,296.315338,306.000824,0.000000
1950-07-16,296.743408,305.538330,5.175961
1950-07-17,296.302429,306.256409,0.000000
1950-07-18,297.056488,308.330353,0.000000
1950-07-19,297.686310,310.474243,0.000000
1950-07-20,297.463226,310.106781,0.000000
1950-07-21,297.128296,308.218750,0.000000
1950-07-22,296.800598,307.354248,0.000000
1950-07-23,296.662018,308.262207,0.000000
1950-07-24,296.949982,309.708374,0.000000
1950-07-25,296.966858,309.645508,0.000000
1950-07-26,296.496643,308.126648,0.000000
1950-07-27,297.070251,308.143127,0.000000
1950-07-28,297.316559,310.238800,0.396007
1950-07-29,298.296051,311.065674,0.000000
1950-07-30,298.543518,311.424927,0.864684
1950-07-31,299.283142,312.253296,0.000000
1950-08-01,299.711761,311.820862,0.000000
1950-08-02,298.189636,309.456329,0.000000
1950-08-03,297.188690,309.208984,0.443509
1950-08-04,297.693085,307.440521,0.000000
1950-08-05,296.672699,306.777924,0.000000
1950-08-06,296.071472,306.476837,0.000000
1950-08-07,296.966736,306.902863,0.000000
1950-08-08,296.971405,307.429626,0.000000
1950-08-09,296.572540,307.187134,0.000000
1950-08-10,296.672028,306.901550,0.303787
1950-08-11,296.373810,307.035919,0.000000
1950-08-12,296.684479,308.006592,0.000000
1950-08-13,296.170837,308.266602,0.000000
1950-08-14,295.440948,311.076385,0.000000
1950-08-15,299.279816,312.825623,0.000000
1950-08-16,300.118073,312.898041,0.000000
1950-08-17,298.904602,311.418579,0.000000
1950-08-18,299.636414,311.765869,0.000000
1950-08-19,298.346252,311.348175,0.000000
1950-08-20,297.587494,311.225311,0.000000
1950-08-21,296.405975,309.359222,0.000000
1950-08-22,296.065216,306.746521,0.000000
1950-08-23,296.016754,308.290222,0.000000
1950-08-24,297.500122,308.655029,0.000000
1950-08-25,297.223022,308.747894,0.000000
1950-08-26,297.166565,308.117004,0.000000
1950-08-27,297.453674,309.491760,0.000000
1950-08-28,297.612701,308.485229,0.000000
1950-08-29,298.138062,310.376251,0.000000
1950-08-30,299.028107,310.863556,0.000000
1950-08-31,296.372192,308.794159,7.213114
1950-09-01,295.635010,308.349121,0.000000
1950-09-02,296.600891,309.804382,0.000000
1950-09-03,297.179260,309.449432,0.000000
1950-09-04,295.936798,307.403870,0.290973
1950-09-05,294.406982,305.014008,0.000000
1950-09-06,291.519592,305.590454,0.000000
1950-09-07,293.464081,307.324310,0.000000
1950-09-08,293.800598,309.024689,0.000000
1950-09-09,293.244476,310.674133,0.000000
1950-09-10,296.317383,307.914764,0.000000
1950-09-11,291.749390,305.893494,0.000000
1950-09-12,295.074097,309.601196,0.000000
1950-09-13,295.492004,308.924438,0.000000
1950-09-14,294.375580,307.668762,0.000000
1950-09-15,293.676788,307.342682,0.000000
1950-09-16,293.247375,310.061096,0.000000
1950-09-17,298.725525,309.186554,2.604083
1950-09-18,295.710114,306.756744,31.361670
1950-09-19,292.967285,300.391785,20.071079
1950-09-20,292.955444,304.322693,3.163111
1950-09-21,293.359863,301.707764,0.986216
1950-09-22,293.694641,302.159882,1.312489
1950-09-23,294.446991,303.451935,0.865745
1950-09-24,294.777435,304.522400,0.000000
1950-09-25,294.615936,304.323303,0.673903
1950-09-26,295.121765,304.321960,0.368057
1950-09-27,295.501648,303.552032,5.940197
1950-09-28,293.328247,303.530640,0.000000
1950-09-29,291.939911,302.926849,0.000000
1950-09-30,289.254761,302.269684,0.000000
1950-10-01,287.026825,301.676941,0.000000
1950-10-02,285.667755,302.697601,0.000000
1950-10-03,287.630035,304.139130,0.000000
1950-10-04,289.530945,306.213501,0.000000
1950-10-05,291.719177,305.844818,0.000000
1950-10-06,290.766113,305.932312,0.000000
1950-10-07,292.218323,305.864471,0.000000
1950-10-08,291.529388,306.603607,0.000000
1950-10-09,292.454315,306.346100,0.000000
1950-10-10,291.940399,306.219666,0.000000
1950-10-11,288.692871,305.157227,0.000000
1950-10-12,286.284393,295.128479,0.000000
1950-10-13,285.169098,295.261078,0.000000
1950-10-14,283.076813,299.573395,0.000000
1950-10-15,284.864410,301.852295,0.000000
1950-10-16,289.771179,301.599091,0.000000
1950-10-17,291.108673,300.503265,1.043732
1950-10-18,290.698456,301.149200,2.214808
1950-10-19,291.043427,301.577423,0.000000
1950-10-20,290.742493,302.477905,0.000000
1950-10-21,289.453430,302.467957,0.000000
1950-10-22,287.062927,301.367920,0.000000
1950-10-23,289.120972,302.626038,0.000000
1950-10-24,291.945892,302.515045,4.756244
1950-10-25,288.641937,298.593903,16.508953
1950-10-26,281.621857,295.087128,0.000000
1950-10-27,281.524231,296.830841,0.000000
1950-10-28,280.165741,297.015900,0.000000
1950-10-29,284.643280,295.812988,0.000000
1950-10-30,278.171204,291.944733,0.000000
1950-10-31,276.872620,294.567535,0.000000
1950-11-01,280.194885,295.216309,0.000000
1950-11-02,286.572601,300.069519,1.292389
1950-11-03,289.928802,299.437286,10.686338
1950-11-04,276.738434,294.484283,1.125891
1950-11-05,277.307983,282.131744,0.000000
1950-11-06,279.120911,291.867188,0.000000
1950-11-07,278.654724,294.326294,0.000000
1950-11-08,284.936768,293.054596,1.154835
1950-11-09,288.238678,295.747650,26.278631
1950-11-10,287.517334,296.353394,25.627153
1950-11-11,283.246124,289.069275,3.971431
1950-11-12,283.575500,291.506592,8.689148
1950-11-13,280.046021,292.955933,0.000000
1950-11-14,277.618652,293.235321,0.000000
1950-11-15,279.688782,292.525391,0.000000
1950-11-16,279.205353,294.082672,0.000000
1950-11-17,278.198578,294.256897,0.000000
1950-11-18,279.718872,293.735138,0.456548
1950-11-19,279.581604,293.324280,0.000000
1950-11-20,276.443848,284.948700,0.000000
1950-11-21,278.050354,286.896545,0.000000
1950-11-22,281.714783,291.759186,0.000000
1950-11-23,276.249390,290.257263,0.000000
1950-11-24,279.709839,296.363129,0.000000
1950-11-25,278.804413,293.582031,0.000000
1950-11-26,275.393402,293.359619,0.000000
1950-11-27,276.995697,295.745544,0.000000
1950-11-28,279.310272,296.019135,0.000000
1950-11-29,282.233154,297.972961,0.000000
1950-11-30,282.203247,299.003174,0.000000
1950-12-01,285.497467,300.552673,0.000000
1950-12-02,286.242706,301.606812,0.457919
1950-12-03,286.782501,300.801575,0.000000
1950-12-04,287.276581,299.181458,0.000000
1950-12-05,288.226715,300.066925,0.279547
1950-12-06,284.294464,299.218445,0.000000
1950-12-07,284.924225,300.568970,0.000000
1950-12-08,289.303192,299.329498,2.468598
1950-12-09,284.217651,298.364227,0.529563
1950-12-10,280.593323,294.924133,0.000000
1950-12-11,283.472900,297.295685,0.000000
1950-12-12,283.741272,296.741089,0.000000
1950-12-13,286.073303,296.113281,0.754883
1950-12-14,286.801605,294.662445,0.000000
1950-12-15,286.239014,292.190552,4.665566
1950-12-16,285.569000,295.447357,15.763343
1950-12-17,279.165802,296.686188,3.385828
1950-12-18,276.519989,284.423553,0.000000
1950-12-19,278.772675,283.659576,0.000000
1950-12-20,279.310883,284.410645,0.000000
1950-12-21,280.877258,295.728424,0.000000
1950-12-22,288.956573,297.081329,1.111647
1950-12-23,281.717896,295.027985,13.081656
1950-12-24,276.465698,286.030975,8.107067
1950-12-25,273.397980,284.895142,0.529500
1950-12-26,280.542084,297.777191,0.000000
1950-12-27,278.892365,296.969879,0.413975
1950-12-28,272.912933,281.637268,0.000000
1950-12-29,271.491180,281.789215,0.000000
1950-12-30,272.485901,284.187836,0.000000
1950-12-31,279.049438,287.593140,0.000000
1951-01-01,272.863281,284.656738,39.780571
1951-01-02,270.196533,276.064545,0.537465
1951-01-03,267.254547,282.156830,0.000000
1951-01-04,272.497070,282.108521,0.000000
1951-01-05,273.075317,285.763641,0.775865
1951-01-06,272.913086,286.425598,0.000000
1951-01-07,277.021454,285.417572,0.000000
1951-01-08,277.651062,288.007294,4.981871
1951-01-09,283.199738,289.695068,17.054211
1951-01-10,284.258972,294.015717,3.404605
1951-01-11,278.361938,291.293976,0.000000
1951-01-12,277.824005,286.603790,3.833868
1951-01-13,275.307404,283.956024,2.932196
1951-01-14,272.262848,278.281036,0.000000
1951-01-15,272.671967,278.692719,45.015217
1951-01-16,271.511536,278.252411,5.275690
1951-01-17,272.258911,280.313171,0.000000
1951-01-18,272.469269,279.772980,0.000000
1951-01-19,272.177063,286.906586,0.000000
1951-01-20,273.575806,285.500702,0.000000
1951-01-21,269.254883,286.527222,0.000000
1951-01-22,276.872437,288.939758,0.000000
1951-01-23,280.725159,291.320709,0.285234
1951-01-24,282.305664,288.503937,9.433215
1951-01-25,281.095123,289.925262,1.206712
1951-01-26,278.558990,291.850159,0.618309
1951-01-27,277.021912,292.174713,0.000000
1951-01-28,275.650391,290.419006,0.000000
1951-01-29,272.942688,280.990173,1.619030
1951-01-30,275.346680,287.754395,0.000000
1951-01-31,275.419708,289.171295,0.000000
1951-02-01,277.892090,288.893250,0.000000
1951-02-02,281.488647,293.606293,2.054592
1951-02-03,282.421600,293.034149,0.000000
1951-02-04,274.414337,288.068420,0.000000
1951-02-05,274.741333,281.900818,0.000000
1951-02-06,275.781769,283.088165,4.832635
1951-02-07,276.085114,283.818481,0.898861
1951-02-08,278.532562,290.847748,0.000000
1951-02-09,285.331665,295.155792,0.000000
1951-02-10,285.725769,294.903809,0.482141
1951-02-11,279.700836,293.419067,0.000000
1951-02-12,281.212921,295.251068,0.000000
1951-02-13,282.286621,295.740295,0.000000
1951-02-14,282.513885,295.849670,0.000000
1951-02-15,279.226837,294.766418,0.000000
1951-02-16,276.218323,287.752350,0.000000
1951-02-17,277.827881,290.289551,0.000000
1951-02-18,278.303223,291.346405,0.000000
1951-02-19,279.793823,291.122467,0.000000
1951-02-20,280.327698,290.302704,0.000000
1951-02-21,279.632660,288.312897,0.436377
1951-02-22,276.823395,289.104767,14.367348
1951-02-23,276.820953,284.614746,19.925911
1951-02-24,273.257782,284.686768,10.077208
1951-02-25,271.013245,279.671417,0.292668
1951-02-26,269.875885,284.899475,0.000000
1951-02-27,274.669373,286.820038,0.000000
1951-02-28,277.942139,288.965912,0.000000
1951-03-01,279.625427,291.185883,0.000000
1951-03-02,279.949371,292.584473,0.000000
1951-03-03,280.812653,292.115875,0.000000
1951-03-04,283.337372,291.604645,6.296325
1951-03-05,284.792297,295.591766,0.652197
1951-03-06,275.267670,293.543091,0.000000
1951-03-07,276.913849,287.845398,0.000000
1951-03-08,281.013458,291.364197,0.000000
1951-03-09,286.049866,298.450897,0.000000
1951-03-10,286.104828,300.888428,0.000000
1951-03-11,287.106628,301.843781,0.000000
1951-03-12,287.815277,304.634796,0.000000
1951-03-13,289.008789,304.012390,0.000000
1951-03-14,284.681915,299.903168,0.000000
1951-03-15,285.677429,298.415161,0.000000
1951-03-16,288.247284,304.005737,0.000000
1951-03-17,289.148865,306.362213,0.000000
1951-03-18,290.764557,306.163300,0.000000
1951-03-19,291.535309,305.418457,0.000000
1951-03-20,292.193085,305.084320,0.000000
1951-03-21,290.890350,304.491669,0.000000
1951-03-22,290.933655,306.647308,0.000000
1951-03-23,292.387512,307.198425,0.000000
1951-03-24,292.181732,306.727234,0.000000
1951-03-25,290.835571,305.409363,0.000000
1951-03-26,293.228363,305.952179,0.000000
1951-03-27,293.019562,307.160736,0.000000
1951-03-28,292.991882,305.529907,0.000000
1951-03-29,292.743866,304.396271,0.000000
1951-03-30,292.459045,303.930054,0.953454
1951-03-31,291.191376,300.351349,3.126615
1951-04-01,286.769104,299.379211,2.128102
1951-04-02,283.158813,293.496429,0.705920
1951-04-03,285.485687,292.443787,0.750166
1951-04-04,288.044678,300.506409,2.264506
1951-04-05,286.471191,298.429199,0.000000
1951-04-06,283.992462,297.409332,0.000000
1951-04-07,283.898132,296.939484,0.000000
1951-04-08,285.152283,298.637024,0.000000
1951-04-09,288.272003,297.694794,1.476154
1951-04-10,285.888702,295.625092,11.998631
1951-04-11,280.631165,292.368805,0.288243
1951-04-12,279.888275,294.172638,0.000000
1951-04-13,281.722778,295.830078,0.000000
1951-04-14,284.263824,295.966675,0.000000
1951-04-15,287.028198,298.197815,0.000000
1951-04-16,287.601349,297.839966,0.000000
1951-04-17,288.003265,298.847290,0.000000
1951-04-18,289.374420,302.665375,0.000000
1951-04-19,289.279205,304.349518,0.000000
1951-04-20,290.032959,305.325256,0.000000
1951-04-21,290.440796,304.775543,0.000000
1951-04-22,291.547119,304.767578,0.000000
1951-04-23,293.274231,304.018646,0.000000
1951-04-24,291.373840,302.206421,0.000000
1951-04-25,292.579956,297.642609,0.000000
1951-04-26,288.084534,298.883179,0.000000
1951-04-27,288.033752,297.820953,0.000000
1951-04-28,289.622040,303.518311,0.000000
1951-04-29,288.557251,303.061951,0.327968
1951-04-30,287.901794,302.168945,0.000000
1951-05-01,288.141357,299.284424,0.000000
1951-05-02,286.439972,302.397247,0.000000
1951-05-03,290.594971,302.036438,0.000000
1951-05-04,291.178589,299.883453,4.591899
1951-05-05,290.087677,297.299561,18.132685
1951-05-06,287.476685,297.535095,0.921257
1951-05-07,286.085297,300.528534,0.000000
1951-05-08,288.672516,305.015869,0.000000
1951-05-09,290.464020,305.532318,0.000000
1951-05-10,292.500763,306.908630,0.000000
1951-05-11,295.040375,307.987396,0.000000
1951-05-12,295.106049,307.352295,0.000000
1951-05-13,293.684204,303.187286,6.160663
1951-05-14,295.811768,302.739990,11.027949
1951-05-15,293.742371,304.050507,0.000000
1951-05-16,293.392822,304.328552,0.846851
1951-05-17,294.451019,303.971954,0.000000
1951-05-18,294.332886,304.686737,0.000000
1951-05-19,294.687073,306.673523,1.311691
1951-05-20,294.704651,306.704651,0.000000
1951-05-21,294.841248,306.418671,1.030780
1951-05-22,295.200378,308.622955,1.049358
1951-05-23,295.943054,308.453979,0.000000
1951-05-24,295.733795,306.247559,0.000000
1951-05-25,293.613739,307.197510,0.504525
1951-05-26,295.454834,307.141083,0.000000
1951-05-27,293.758453,307.690430,0.000000
1951-05-28,296.974670,310.089661,0.000000
1951-05-29,298.494263,310.623718,0.000000
1951-05-30,298.115112,310.273376,0.000000
1951-05-31,296.877716,307.845947,0.000000
1951-06-01,297.149170,310.610840,0.000000
1951-06-02,297.245026,311.978210,0.000000
1951-06-03,297.253723,311.990143,0.000000
1951-06-04,296.046234,310.517273,0.481706
1951-06-05,296.477112,310.821716,0.000000
1951-06-06,296.703125,310.694000,0.000000
1951-06-07,297.029449,311.671234,0.000000
1951-06-08,298.126770,313.746765,0.000000
1951-06-09,298.951111,312.853180,0.000000
1951-06-10,298.665344,311.280548,0.000000
1951-06-11,296.614227,310.588470,0.000000
1951-06-12,297.679840,311.377808,0.000000
1951-06-13,299.404388,313.559601,0.000000
1951-06-14,299.423462,313.090759,0.000000
1951-06-15,298.129425,308.906891,0.688737
1951-06-16,295.968781,306.838196,0.000000
1951-06-17,296.336823,307.205200,0.000000
1951-06-18,296.539948,307.109711,0.000000
1951-06-19,295.695953,307.663788,0.000000
1951-06-20,297.189819,309.998627,0.000000
1951-06-21,297.937836,310.615021,0.000000
1951-06-22,297.984375,309.954529,0.000000
1951-06-23,297.423767,308.856537,0.000000
1951-06-24,297.951141,308.828033,0.000000
1951-06-25,297.555420,308.888000,0.000000
1951-06-26,298.448029,309.139740,0.000000
1951-06-27,298.201843,308.749023,1.035114
1951-06-28,296.507751,303.346039,43.450981
1951-06-29,296.731415,297.694916,48.532413
1951-06-30,295.911774,296.670868,52.398914
1951-07-01,296.647003,298.851532,49.950237
1951-07-02,297.854462,302.224243,6.062371
1951-07-03,296.158264,302.652863,15.866653
1951-07-04,295.148468,303.141266,2.832961
1951-07-05,293.969360,301.755493,3.137859
1951-07-06,291.408844,302.408752,1.027788
1951-07-07,294.217377,303.255890,0.729157
1951-07-08,294.706879,303.962433,0.000000
1951-07-09,295.086517,304.764526,0.000000
1951-07-10,295.315826,305.126007,0.862472
1951-07-11,295.572144,305.735474,0.000000
1951-07-12,296.537872,307.041595,0.000000
1951-07-13,297.255829,309.493958,0.000000
1951-07-14,297.711151,309.363129,0.000000
1951-07-15,297.326599,308.221527,0.000000
1951-07-16,296.681488,306.177795,0.000000
1951-07-17,295.486511,305.119476,0.000000
1951-07-18,295.644226,305.128540,0.000000
1951-07-19,295.721405,306.127686,0.000000
1951-07-20,295.875397,306.737823,0.000000
1951-07-21,295.936157,308.283752,0.000000
1951-07-22,295.376953,310.081360,0.000000
1951-07-23,294.995789,310.551941,0.000000
1951-07-24,295.860596,310.545776,0.000000
1951-07-25,296.193329,311.224182,0.000000
1951-07-26,297.058624,311.765961,0.000000
1951-07-27,297.422882,311.515320,0.000000
1951-07-28,296.955475,310.594971,0.000000
1951-07-29,297.187500,310.826569,0.000000
1951-07-30,297.033661,311.145233,0.818637
1951-07-31,297.124054,311.513428,0.000000
1951-08-01,297.225403,311.750763,0.346798
1951-08-02,297.884552,310.467896,0.296883
1951-08-03,297.902863,308.745697,1.429717
1951-08-04,296.439331,306.894440,0.298476
1951-08-05,295.310883,306.241272,0.280419
1951-08-06,295.130859,306.198547,0.000000
1951-08-07,296.471710,308.186859,0.728260
1951-08-08,297.045197,309.502655,0.288385
1951-08-09,297.113464,307.220795,5.384347
1951-08-10,295.592529,306.252258,0.952818
1951-08-11,295.805878,307.209961,0.000000
1951-08-12,297.321716,309.563629,0.746047
