#Variables:
#tasmin_HadGEM2-CC365_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_HadGEM2-CC365_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_HadGEM2-CC365_historical(K),tasmax_HadGEM2-CC365_historical(K),pr_HadGEM2-CC365_historical(mm)"
""
yyyy-mm-dd,tasmin_HadGEM2-CC365_historical(K),tasmax_HadGEM2-CC365_historical(K),pr_HadGEM2-CC365_historical(mm)
1950-01-25,277.327393,291.206970,0.298401
1950-01-26,274.503540,293.787506,0.000000
1950-01-27,276.250488,296.196350,0.000000
1950-01-28,279.620850,296.352600,0.000000
1950-01-29,285.373871,296.665649,2.175504
1950-01-30,286.096191,298.401947,0.000000
1950-01-31,282.547577,296.598694,0.000000
1950-02-01,284.990295,296.627533,0.495989
1950-02-02,281.901062,296.102478,0.380467
1950-02-03,277.326538,292.146820,0.000000
1950-02-04,276.510956,286.905243,0.000000
1950-02-05,277.450317,286.018799,0.000000
1950-02-06,282.255585,290.671875,0.000000
1950-02-07,286.372772,295.107941,0.451228
1950-02-08,287.816650,298.086792,0.669606
1950-02-09,286.876038,299.784882,0.000000
1950-02-10,284.303802,295.550201,0.000000
1950-02-11,282.341949,290.785614,0.000000
1950-02-12,277.778076,291.597870,0.000000
1950-02-13,275.865936,295.106781,0.000000
1950-02-14,277.774841,293.512787,0.000000
1950-02-15,279.796661,294.840576,0.000000
1950-02-16,278.308960,297.084991,0.000000
1950-02-17,277.836853,298.964783,0.000000
1950-02-18,278.452484,299.929840,0.000000
1950-02-19,278.752045,294.577087,0.000000
1950-02-20,279.140747,293.643585,0.000000
1950-02-21,282.877289,297.953674,0.000000
1950-02-22,285.803986,301.855713,1.115165
1950-02-23,282.878937,298.364716,0.000000
1950-02-24,276.329926,290.928253,1.853446
1950-02-25,273.866241,285.916931,2.119103
1950-02-26,274.668732,283.855835,0.000000
1950-02-27,277.221497,283.487366,1.515641
1950-02-28,275.868652,283.884796,0.886538
1950-03-01,269.474518,279.867126,0.000000
1950-03-02,267.910797,278.057678,0.000000
1950-03-03,270.457123,278.339325,0.817553
1950-03-04,273.176788,278.636414,0.691037
1950-03-05,272.994598,280.527069,0.471007
1950-03-06,274.821167,280.340027,1.298367
1950-03-07,276.232941,283.904877,12.639518
1950-03-08,273.263184,283.806854,0.000000
1950-03-09,271.506165,287.335266,0.000000
1950-03-10,272.964783,291.868286,0.000000
1950-03-11,276.995972,294.190308,0.000000
1950-03-12,281.553131,292.967468,0.000000
1950-03-13,286.159027,293.505005,0.000000
1950-03-14,284.693024,299.241486,0.000000
1950-03-15,279.969452,302.431122,0.000000
1950-03-16,282.337036,302.190582,0.000000
1950-03-17,282.362274,300.772034,0.000000
1950-03-18,286.406250,303.704712,0.000000
1950-03-19,288.901520,301.712738,0.000000
1950-03-20,288.444946,303.091400,0.000000
1950-03-21,280.576630,304.832397,0.000000
1950-03-22,284.642395,304.491669,0.000000
1950-03-23,287.447845,304.893768,0.000000
1950-03-24,282.613800,301.376038,0.000000
1950-03-25,284.321808,293.560699,3.392760
1950-03-26,284.684174,300.287292,0.288208
1950-03-27,282.060181,297.261871,0.000000
1950-03-28,278.798645,295.451935,0.000000
1950-03-29,279.424408,298.070587,0.307534
1950-03-30,284.370850,299.314606,0.000000
1950-03-31,287.474243,301.246643,0.000000
1950-04-01,290.158173,301.668121,0.000000
1950-04-02,286.380219,299.514984,0.000000
1950-04-03,283.401794,295.018921,0.000000
1950-04-04,284.047333,290.101257,0.000000
1950-04-05,279.328644,291.492920,0.000000
1950-04-06,278.611877,291.666718,0.440219
1950-04-07,281.485046,286.355804,1.024712
1950-04-08,281.987335,288.001678,0.000000
1950-04-09,280.531342,292.193665,0.000000
1950-04-10,283.020538,291.690491,1.015061
1950-04-11,287.461914,292.286896,4.799446
1950-04-12,287.460846,290.180450,1.266137
1950-04-13,286.143494,293.077881,0.000000
1950-04-14,282.572418,298.450073,0.000000
1950-04-15,284.352783,303.012848,0.000000
1950-04-16,287.779938,302.937561,0.000000
1950-04-17,285.491516,300.284088,0.000000
1950-04-18,280.782043,300.433685,0.000000
1950-04-19,281.057007,300.160980,0.000000
1950-04-20,284.618378,297.377441,0.000000
1950-04-21,286.881683,295.425751,0.000000
1950-04-22,285.195282,296.385529,0.000000
1950-04-23,285.573425,300.165375,0.000000
1950-04-24,287.602386,302.408966,0.000000
1950-04-25,288.839325,302.222931,0.000000
1950-04-26,289.941406,301.964111,0.000000
1950-04-27,290.886261,302.755707,1.324529
1950-04-28,288.122345,301.259460,0.000000
1950-04-29,281.766296,300.802338,0.000000
1950-04-30,280.579468,304.466095,0.000000
1950-05-01,285.813354,303.591309,0.000000
1950-05-02,287.578278,302.518768,0.000000
1950-05-03,287.360809,304.333679,0.000000
1950-05-04,287.181274,306.737122,0.000000
1950-05-05,286.381439,306.913422,0.000000
1950-05-06,287.259216,305.205963,0.000000
1950-05-07,290.952271,302.113739,0.430350
1950-05-08,290.667389,302.669617,0.568215
1950-05-09,289.241638,303.957794,0.000000
1950-05-10,288.894531,303.752319,0.000000
1950-05-11,292.783417,305.419556,0.000000
1950-05-12,293.905457,305.795929,0.000000
1950-05-13,294.078796,305.347321,0.383096
1950-05-14,293.612671,304.533600,6.758075
1950-05-15,292.816742,302.922119,37.165867
1950-05-16,291.754883,295.855225,47.459473
1950-05-17,292.303192,298.602539,49.881683
1950-05-18,294.868866,302.777222,9.237408
1950-05-19,294.768250,304.044434,0.000000
1950-05-20,294.282257,303.778931,0.000000
1950-05-21,293.899078,303.483215,0.000000
1950-05-22,294.171082,305.054932,0.000000
1950-05-23,295.163361,305.532318,0.000000
1950-05-24,295.274200,304.910583,0.000000
1950-05-25,295.545715,304.897278,1.896203
1950-05-26,294.493683,303.321960,0.000000
1950-05-27,293.837463,304.610138,1.709476
1950-05-28,293.231934,305.873138,3.092397
1950-05-29,292.096558,306.077362,0.000000
1950-05-30,292.417236,305.538422,0.000000
1950-05-31,292.582764,306.172485,0.000000
1950-06-01,292.593414,307.716675,0.000000
1950-06-02,293.057373,308.982788,0.000000
1950-06-03,294.472778,309.611725,0.000000
1950-06-04,294.321381,309.069977,0.000000
1950-06-05,293.301300,308.078125,0.000000
1950-06-06,293.531311,308.241760,0.000000
1950-06-07,293.762695,308.948486,0.000000
1950-06-08,294.455566,307.842133,0.534314
1950-06-09,295.206818,306.753204,0.398605
1950-06-10,295.823395,307.437866,1.266896
1950-06-11,295.386108,309.459839,0.000000
1950-06-12,296.326721,310.926392,0.000000
1950-06-13,297.175720,311.002563,0.000000
1950-06-14,297.123016,310.754059,0.000000
1950-06-15,296.461853,308.654602,0.885913
1950-06-16,296.076935,309.919250,0.000000
1950-06-17,295.341644,311.120758,0.000000
1950-06-18,295.142120,310.899841,0.000000
1950-06-19,295.467743,310.119507,0.000000
1950-06-20,296.213898,310.184845,0.000000
1950-06-21,296.774536,308.751129,5.318528
1950-06-22,297.188171,307.539551,2.573556
1950-06-23,297.931396,306.749512,4.584754
1950-06-24,297.719910,306.920166,3.218971
1950-06-25,297.214233,308.518219,3.090491
1950-06-26,297.835571,309.384796,0.000000
1950-06-27,298.020172,309.042328,1.618162
1950-06-28,298.840759,308.474365,5.668437
1950-06-29,298.196503,307.822662,4.407877
1950-06-30,299.197968,307.710419,1.076585
1950-07-01,298.344269,305.615143,12.071384
1950-07-02,296.392883,303.916290,44.509804
1950-07-03,294.908630,299.177063,40.901630
1950-07-04,295.591064,300.892578,18.249081
1950-07-05,294.001404,295.568848,36.802200
1950-07-06,295.585327,296.283508,92.710457
1950-07-07,295.799835,300.151642,52.398914
1950-07-08,296.203278,302.417023,18.014585
1950-07-09,296.084961,301.195160,38.886341
1950-07-10,295.799072,301.695618,0.832530
1950-07-11,294.975525,303.046570,1.293594
1950-07-12,295.138367,302.622345,1.839525
1950-07-13,296.042267,302.323090,0.713111
1950-07-14,296.660889,301.791504,1.700342
1950-07-15,296.543579,302.057861,5.912644
1950-07-16,295.928711,303.055328,0.000000
1950-07-17,295.401794,302.827759,0.598860
1950-07-18,296.224274,302.793762,0.861176
1950-07-19,296.570465,303.638824,0.000000
1950-07-20,296.405670,304.337708,1.049677
1950-07-21,295.802887,304.433319,0.000000
1950-07-22,295.897797,304.565430,0.632000
1950-07-23,297.030609,304.553040,0.512253
1950-07-24,296.979401,304.192688,1.026347
1950-07-25,295.719849,304.206116,0.685476
1950-07-26,294.754700,304.760254,0.000000
1950-07-27,294.926666,304.397827,2.216336
1950-07-28,294.675385,305.405396,0.000000
1950-07-29,294.209839,305.872528,0.000000
1950-07-30,294.567261,306.515198,0.000000
1950-07-31,295.931732,306.628510,0.000000
1950-08-01,295.963593,306.512024,0.000000
1950-08-02,296.511658,307.153076,0.000000
1950-08-03,295.507629,307.648560,0.000000
1950-08-04,295.633881,307.490601,0.301663
1950-08-05,295.807281,307.305878,0.000000
1950-08-06,296.445618,306.672241,0.000000
1950-08-07,296.594543,306.924255,4.296885
1950-08-08,296.720154,306.232300,0.856946
1950-08-09,297.267334,306.046234,8.451889
1950-08-10,297.060486,306.416351,15.797132
1950-08-11,297.725189,305.634247,9.087512
1950-08-12,296.110931,306.455231,13.455598
1950-08-13,295.378235,304.587372,1.847371
1950-08-14,294.579956,303.567688,0.000000
1950-08-15,294.912445,305.128479,0.624046
1950-08-16,295.527832,305.076935,0.000000
1950-08-17,295.278503,305.059967,0.000000
1950-08-18,295.376587,305.229034,0.610255
1950-08-19,295.284546,305.401581,0.000000
1950-08-20,295.664795,305.483398,0.000000
1950-08-21,295.882294,303.963165,4.364295
1950-08-22,295.826813,303.943451,10.423745
1950-08-23,296.333801,302.560699,22.594561
1950-08-24,297.310913,305.534058,5.755125
1950-08-25,296.219482,304.962402,0.000000
1950-08-26,294.972076,305.469879,0.000000
1950-08-27,294.271088,307.070160,0.000000
1950-08-28,294.803223,306.814972,0.000000
1950-08-29,294.185822,304.262970,0.288303
1950-08-30,294.252594,302.907837,0.463715
1950-08-31,293.728607,303.675446,0.000000
1950-09-01,292.580475,304.976013,0.000000
1950-09-02,292.418884,307.041931,0.000000
1950-09-03,293.335663,307.489655,0.000000
1950-09-04,293.951935,309.088715,0.000000
1950-09-05,293.244476,309.096863,0.000000
1950-09-06,293.368530,307.691650,0.000000
1950-09-07,293.333344,306.716125,0.000000
1950-09-08,293.733185,306.334564,0.000000
1950-09-09,295.996826,305.188263,1.736334
1950-09-10,296.256714,304.983032,12.769458
1950-09-11,295.660950,303.167847,9.872280
1950-09-12,296.638336,303.627777,2.453835
1950-09-13,295.312378,305.170807,0.000000
1950-09-14,294.690277,305.634613,0.000000
1950-09-15,293.808197,306.047882,0.000000
1950-09-16,293.101562,306.231384,0.000000
1950-09-17,292.198120,306.740479,0.000000
1950-09-18,290.156860,307.282745,0.000000
1950-09-19,288.762207,307.202118,0.815311
1950-09-20,290.415710,306.756866,0.000000
1950-09-21,292.887817,307.488647,0.000000
1950-09-22,293.008453,308.224335,0.000000
1950-09-23,293.001221,308.620880,0.000000
1950-09-24,293.171265,307.726349,0.000000
1950-09-25,293.570251,306.756744,0.368057
1950-09-26,291.259216,303.530853,0.000000
1950-09-27,283.085785,299.776520,2.765578
1950-09-28,283.340027,301.594452,0.000000
1950-09-29,284.956909,304.225006,0.000000
1950-09-30,288.733490,304.733276,0.000000
1950-10-01,292.693359,303.748352,0.000000
1950-10-02,292.689972,305.395844,13.768600
1950-10-03,290.171570,299.680267,19.757137
1950-10-04,286.400513,299.462189,0.000000
1950-10-05,285.205566,300.873047,0.000000
1950-10-06,286.904694,301.295410,0.000000
1950-10-07,287.726501,302.016815,0.000000
1950-10-08,287.798859,302.193542,0.000000
1950-10-09,290.920197,302.975983,1.269117
1950-10-10,289.405945,305.264709,0.000000
1950-10-11,289.922882,304.988922,0.000000
1950-10-12,290.023224,305.003387,0.000000
1950-10-13,292.443085,305.714020,0.000000
1950-10-14,289.682892,302.520752,1.588406
1950-10-15,290.060150,299.408142,0.000000
1950-10-16,284.887329,301.447815,0.000000
1950-10-17,283.159973,302.831909,0.000000
1950-10-18,282.111420,304.031219,0.000000
1950-10-19,285.642548,302.813385,0.000000
1950-10-20,290.556152,299.547882,0.000000
1950-10-21,283.587616,297.681519,0.000000
1950-10-22,281.298035,296.746002,0.000000
1950-10-23,286.590027,297.288147,0.000000
1950-10-24,285.059052,292.597870,55.120193
1950-10-25,286.905640,293.065247,179.549179
1950-10-26,286.381836,295.062500,8.877389
1950-10-27,286.548065,301.155396,0.000000
1950-10-28,289.678497,302.634430,0.000000
1950-10-29,285.617676,302.486938,0.000000
1950-10-30,287.606323,298.853790,0.426342
1950-10-31,280.335907,296.985352,0.000000
1950-11-01,277.011993,297.380219,0.000000
1950-11-02,282.783234,298.045410,0.000000
1950-11-03,287.284393,297.725037,0.000000
1950-11-04,289.409454,298.068695,34.488747
1950-11-05,286.962708,293.731232,26.581985
1950-11-06,284.924988,292.229492,0.756968
1950-11-07,288.203979,297.327972,0.000000
1950-11-08,288.396118,299.999908,0.000000
1950-11-09,287.517334,297.940491,2.755286
1950-11-10,281.958069,293.231659,0.000000
1950-11-11,277.614075,290.297668,0.000000
1950-11-12,275.965729,293.067841,0.000000
1950-11-13,276.722015,295.194092,0.000000
1950-11-14,281.540710,295.216614,1.489599
1950-11-15,284.795807,293.089935,1.167249
1950-11-16,283.546448,290.414612,0.000000
1950-11-17,283.621887,288.171143,0.000000
1950-11-18,280.192993,289.542053,0.000000
1950-11-19,278.286377,290.900879,0.000000
1950-11-20,277.924316,289.607117,0.000000
1950-11-21,276.955566,282.971558,2.356667
1950-11-22,283.020020,290.397583,0.959239
1950-11-23,285.728363,297.442627,0.000000
1950-11-24,285.531647,299.469147,0.000000
1950-11-25,280.941498,296.924072,0.453531
1950-11-26,276.377625,293.325745,0.000000
1950-11-27,280.045502,296.859558,0.000000
1950-11-28,284.274841,297.800018,0.000000
1950-11-29,284.817780,299.048676,0.000000
1950-11-30,287.893341,298.596375,0.000000
1950-12-01,286.957275,294.371429,3.350634
1950-12-02,287.313293,293.845093,8.819623
1950-12-03,288.839294,297.316132,1.471362
1950-12-04,289.652924,299.963867,1.434373
1950-12-05,290.184631,300.434357,10.504157
1950-12-06,290.844391,301.602112,4.903126
1950-12-07,284.994781,299.262726,5.792837
1950-12-08,272.846436,286.731995,16.301592
1950-12-09,269.249481,278.407043,5.547030
1950-12-10,269.962189,277.699982,0.000000
1950-12-11,272.439209,279.774811,0.000000
1950-12-12,275.622925,284.187836,0.000000
1950-12-13,280.013794,290.634064,0.000000
1950-12-14,283.455780,293.727325,0.000000
1950-12-15,283.096741,298.452484,0.000000
1950-12-16,274.740723,292.355896,0.000000
1950-12-17,276.503571,294.680298,0.000000
1950-12-18,274.727722,292.188324,0.000000
1950-12-19,276.005951,292.920868,0.000000
1950-12-20,274.607361,295.219177,0.000000
1950-12-21,282.224670,298.165894,0.000000
1950-12-22,287.713501,296.981720,5.309469
1950-12-23,286.194092,294.932312,0.000000
1950-12-24,285.645386,292.074097,0.000000
1950-12-25,287.681091,299.781494,1.151715
1950-12-26,278.565735,296.245087,0.000000
1950-12-27,276.608490,286.164093,0.000000
1950-12-28,281.150513,285.657837,1.272634
1950-12-29,280.701843,287.887543,2.798987
1950-12-30,276.469238,292.450592,0.000000
1950-12-31,277.487671,291.561218,0.000000
1951-01-01,275.948975,291.575500,0.000000
1951-01-02,278.888763,292.691681,0.000000
1951-01-03,281.721710,295.361969,0.000000
1951-01-04,280.401917,293.023041,0.000000
1951-01-05,275.442200,284.519379,0.000000
1951-01-06,273.279694,285.687073,0.000000
1951-01-07,271.650848,289.126251,0.000000
1951-01-08,277.682312,293.476196,0.000000
1951-01-09,278.588226,291.440155,0.000000
1951-01-10,269.888153,288.056671,0.000000
1951-01-11,271.728271,280.319183,0.000000
1951-01-12,274.469940,283.039124,0.000000
1951-01-13,275.248688,288.557281,0.000000
1951-01-14,277.457001,287.888214,0.507785
1951-01-15,273.023529,285.093597,1.376890
1951-01-16,271.935272,283.195679,0.726228
1951-01-17,274.490845,284.412079,0.000000
1951-01-18,275.820465,283.269897,5.407161
1951-01-19,276.365356,285.482300,3.675242
1951-01-20,280.348389,289.827454,1.145899
1951-01-21,283.539856,292.039001,2.009499
1951-01-22,284.884094,292.883301,1.016048
1951-01-23,283.917114,295.332245,0.000000
1951-01-24,283.276642,293.878601,0.000000
1951-01-25,286.074585,297.516022,0.000000
1951-01-26,286.328308,298.188446,1.649324
1951-01-27,279.414154,293.728271,0.000000
1951-01-28,274.867371,290.907654,0.000000
1951-01-29,277.363464,292.663635,0.000000
1951-01-30,282.056763,296.699707,0.000000
1951-01-31,283.881989,295.369385,0.000000
1951-02-01,281.173340,290.065674,12.762339
1951-02-02,279.707764,284.939240,27.911169
1951-02-03,275.607330,280.729675,7.325317
1951-02-04,275.827789,284.931458,0.000000
1951-02-05,277.649292,289.135712,0.000000
1951-02-06,278.121063,290.285461,0.000000
1951-02-07,277.696106,288.391571,0.000000
1951-02-08,275.511230,288.034882,0.000000
1951-02-09,272.922852,289.699524,0.000000
1951-02-10,274.421539,291.599213,0.000000
1951-02-11,277.618744,293.477966,0.000000
1951-02-12,283.286896,295.760620,0.000000
1951-02-13,285.949554,299.028473,0.000000
1951-02-14,286.630096,301.635254,0.000000
1951-02-15,287.429169,301.904205,0.000000
1951-02-16,287.592804,301.070343,0.000000
1951-02-17,287.282379,300.168854,0.000000
1951-02-18,286.476379,298.470520,0.805907
1951-02-19,287.065155,299.984528,1.491767
1951-02-20,285.578827,301.569153,0.000000
1951-02-21,284.213684,300.993866,0.000000
1951-02-22,286.672394,299.055542,2.209466
1951-02-23,280.668854,294.526062,2.553150
1951-02-24,278.225525,288.315491,0.000000
1951-02-25,277.765381,291.210419,0.000000
1951-02-26,277.392914,297.665894,0.000000
1951-02-27,282.418793,300.227661,0.000000
1951-02-28,285.695038,301.757996,0.000000
1951-03-01,284.716034,302.925873,0.000000
1951-03-02,288.655304,300.515015,0.000000
1951-03-03,290.964203,301.958221,0.000000
1951-03-04,290.269348,302.297546,0.000000
1951-03-05,289.327637,300.731934,0.000000
1951-03-06,284.609833,296.237823,0.000000
1951-03-07,281.719940,291.764313,0.000000
1951-03-08,283.278656,296.445740,0.000000
1951-03-09,284.602112,298.484436,0.000000
1951-03-10,284.399017,296.860077,0.000000
1951-03-11,283.036163,296.364990,0.000000
1951-03-12,287.439636,300.293640,0.000000
1951-03-13,289.846497,303.936340,0.563272
1951-03-14,286.785431,302.166260,0.652197
1951-03-15,281.071045,298.223877,0.000000
1951-03-16,278.024384,296.484863,0.000000
1951-03-17,278.488922,295.059113,0.000000
1951-03-18,284.499573,295.190125,0.000000
1951-03-19,287.490997,298.633728,3.930269
1951-03-20,284.831757,299.312225,0.000000
1951-03-21,282.968048,299.373291,0.000000
1951-03-22,283.755035,297.321838,0.000000
1951-03-23,287.819061,293.081757,7.513740
1951-03-24,285.467560,291.695618,19.729000
1951-03-25,287.962067,294.996277,3.063289
1951-03-26,288.432068,295.965271,5.563695
1951-03-27,288.596313,296.375854,1.146101
1951-03-28,290.107330,297.651184,6.914509
1951-03-29,289.977325,295.250641,20.265987
1951-03-30,288.536133,299.803711,6.861178
1951-03-31,288.845612,300.633698,12.696414
1951-04-01,290.490692,299.977631,7.928264
1951-04-02,289.325836,295.947968,18.198200
1951-04-03,292.189697,302.668884,1.658544
1951-04-04,290.258209,306.101257,0.000000
1951-04-05,289.480072,307.784088,0.000000
1951-04-06,290.057373,307.294800,0.000000
1951-04-07,289.595642,305.398376,0.000000
1951-04-08,289.400818,302.237061,0.000000
1951-04-09,291.013062,302.132141,0.000000
1951-04-10,292.422699,303.554810,0.316301
1951-04-11,286.764771,299.929291,0.815895
1951-04-12,282.126251,291.164703,0.891627
1951-04-13,282.285309,287.511047,0.000000
1951-04-14,283.765137,287.296814,0.000000
1951-04-15,285.896118,291.920959,0.000000
1951-04-16,289.241272,297.394531,0.619117
1951-04-17,288.298584,297.203339,9.615543
1951-04-18,289.119507,297.141571,13.177500
1951-04-19,284.809875,290.497223,5.214612
1951-04-20,278.518311,286.208923,0.000000
1951-04-21,281.515228,288.655365,0.000000
1951-04-22,285.561798,292.729492,0.000000
1951-04-23,287.595917,295.633698,0.000000
1951-04-24,287.450317,298.108856,0.000000
1951-04-25,286.949890,297.904053,0.000000
1951-04-26,287.049896,299.485504,0.000000
1951-04-27,287.412811,302.114868,0.327968
1951-04-28,288.447968,303.203186,0.000000
1951-04-29,288.959534,303.672821,0.000000
1951-04-30,289.613068,303.603607,0.000000
1951-05-01,289.657440,300.429260,0.000000
1951-05-02,291.037140,300.608734,0.000000
1951-05-03,293.460693,301.820740,0.567677
1951-05-04,294.269867,303.680206,9.932075
1951-05-05,294.921021,303.691864,0.934296
1951-05-06,295.135162,302.985382,0.829145
1951-05-07,295.191406,301.698853,0.361269
1951-05-08,294.219818,301.028687,2.090919
1951-05-09,294.043610,302.631134,0.000000
1951-05-10,293.149689,302.066498,0.000000
1951-05-11,292.188629,302.505219,0.000000
1951-05-12,293.088776,301.684265,0.000000
1951-05-13,294.396606,302.305511,0.000000
1951-05-14,294.459808,303.198975,0.000000
1951-05-15,293.819275,300.997131,0.601255
1951-05-16,293.330170,302.377319,5.514020
1951-05-17,294.828796,306.299377,0.327869
1951-05-18,295.523102,306.042480,0.000000
1951-05-19,295.141724,304.320831,12.263764
1951-05-20,295.704163,303.766724,16.789337
1951-05-21,293.366333,304.849548,1.834344
1951-05-22,290.624634,303.815247,0.296790
1951-05-23,290.284943,302.624237,0.000000
1951-05-24,287.483093,302.050385,0.000000
1951-05-25,286.268463,304.900635,0.000000
1951-05-26,292.408356,306.733643,0.000000
1951-05-27,295.443604,310.916504,0.000000
1951-05-28,295.113159,309.888000,0.000000
1951-05-29,299.226471,307.285675,0.000000
1951-05-30,294.181183,305.039490,0.000000
1951-05-31,294.685516,303.873047,0.786084
1951-06-01,294.090393,304.212341,20.440920
1951-06-02,296.661438,307.348389,4.011246
1951-06-03,297.055450,306.314545,0.360155
1951-06-04,297.160431,307.413757,0.335317
1951-06-05,296.461304,307.663422,1.330880
1951-06-06,294.968964,306.454163,12.212473
1951-06-07,294.349579,302.361267,4.934856
1951-06-08,294.958099,300.621582,8.579455
1951-06-09,293.996277,301.357819,27.207535
1951-06-10,294.577637,302.765381,32.950275
1951-06-11,294.951874,303.618988,9.638823
1951-06-12,293.462860,299.944550,32.681644
1951-06-13,293.372009,299.772217,0.922949
1951-06-14,292.465820,304.599640,0.000000
1951-06-15,293.052490,307.006317,0.000000
1951-06-16,295.244659,307.730072,0.000000
1951-06-17,297.251099,307.373871,0.419651
1951-06-18,297.733398,306.392639,0.000000
1951-06-19,297.752106,305.427551,1.030232
1951-06-20,297.302460,305.938873,0.000000
1951-06-21,296.284790,306.723907,0.747893
1951-06-22,295.508698,307.177948,0.000000
1951-06-23,295.526001,307.305573,0.000000
1951-06-24,295.393982,307.532715,0.000000
1951-06-25,296.317200,308.377319,0.000000
1951-06-26,297.850952,309.342133,0.000000
1951-06-27,298.677002,309.503204,0.000000
1951-06-28,298.638641,308.445618,1.721661
1951-06-29,296.819580,307.781219,0.000000
1951-06-30,295.787933,309.375671,0.000000
1951-07-01,295.536987,308.249176,0.000000
1951-07-02,296.902588,307.411591,0.322509
1951-07-03,296.628540,306.484558,1.346645
1951-07-04,295.913269,305.108032,3.179055
1951-07-05,295.994415,304.448853,3.513362
1951-07-06,296.157318,305.118896,0.811027
1951-07-07,296.853760,306.269287,1.265338
1951-07-08,297.429901,307.380615,0.000000
1951-07-09,296.473145,308.465179,0.000000
1951-07-10,295.647217,308.847931,0.000000
1951-07-11,295.575043,307.885590,0.000000
1951-07-12,295.478668,307.242828,0.000000
1951-07-13,295.363892,306.871490,0.000000
1951-07-14,296.496887,306.231110,8.295038
1951-07-15,297.003998,304.019409,23.106438
1951-07-16,297.846710,305.118744,2.781607
1951-07-17,296.452637,306.749023,0.000000
1951-07-18,295.430328,307.326019,0.000000
1951-07-19,294.940247,308.012207,2.440375
1951-07-20,295.805695,308.655792,0.000000
1951-07-21,296.431763,309.020233,0.000000
1951-07-22,296.247955,308.370148,0.000000
1951-07-23,296.615845,307.844574,0.000000
1951-07-24,296.954315,308.319366,0.000000
1951-07-25,296.385132,309.192566,0.000000
1951-07-26,296.354095,309.574585,0.000000
1951-07-27,295.887543,308.798523,0.000000
1951-07-28,296.323212,307.280090,1.695505
1951-07-29,296.797607,306.961761,0.837403
1951-07-30,296.798004,307.390900,2.922161
1951-07-31,296.430481,309.401611,0.284668
1951-08-01,296.115479,309.425781,0.000000
1951-08-02,296.354095,309.585510,0.000000
1951-08-03,296.360657,309.722229,0.000000
1951-08-04,295.874023,309.419586,0.000000
1951-08-05,295.285614,309.836121,0.000000
1951-08-06,296.249054,309.405731,0.299538
1951-08-07,296.395355,310.945007,0.282543
1951-08-08,297.559418,311.135895,1.766276
1951-08-09,298.669128,310.838623,0.313843
1951-08-10,297.660156,309.773651,0.000000
1951-08-11,296.317993,307.920715,1.414742
1951-08-12,295.398529,306.241272,1.791625
