#Variables:
#tasmin_GFDL-ESM2G_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2G_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2G_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),pr_GFDL-ESM2G_rcp85(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2G_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),pr_GFDL-ESM2G_rcp85(mm)
2006-07-10,294.547119,304.661713,1.020888
2006-07-11,294.798004,305.391602,0.000000
2006-07-12,295.307098,306.310394,0.000000
2006-07-13,295.844757,307.002106,0.495735
2006-07-14,296.752686,307.727417,0.000000
2006-07-15,296.881409,307.379730,1.044857
2006-07-16,296.824463,308.223816,0.855391
2006-07-17,297.255646,309.336578,0.000000
2006-07-18,297.762207,310.839508,0.429289
2006-07-19,297.884277,310.406036,1.459110
2006-07-20,297.193054,308.937683,0.000000
2006-07-21,296.647888,308.697052,0.000000
2006-07-22,296.965210,309.803711,0.000000
2006-07-23,297.573151,309.405975,0.674299
2006-07-24,297.423676,307.925781,0.000000
2006-07-25,297.042206,308.443817,0.000000
2006-07-26,296.821930,308.459320,0.000000
2006-07-27,296.960907,308.344574,0.000000
2006-07-28,296.926514,308.879395,0.000000
2006-07-29,296.936859,309.073914,0.000000
2006-07-30,296.276276,311.651001,0.000000
2006-07-31,297.512756,309.922424,0.000000
2006-08-01,297.635071,307.485077,8.666917
2006-08-02,297.101624,306.779297,8.517620
2006-08-03,294.946350,307.658447,0.000000
2006-08-04,295.158478,308.108337,0.000000
2006-08-05,295.445648,307.984802,1.030398
2006-08-06,296.274841,308.357880,3.743860
2006-08-07,296.547424,309.398438,1.040579
2006-08-08,297.072845,310.830994,0.000000
2006-08-09,297.326965,309.998566,0.389057
2006-08-10,297.019440,308.885651,0.860018
2006-08-11,296.257111,308.579346,0.000000
2006-08-12,296.325256,309.525360,0.318885
2006-08-13,297.298492,309.315430,0.924250
2006-08-14,297.693726,310.754486,0.000000
2006-08-15,297.325073,310.471222,0.000000
2006-08-16,297.578827,311.115417,0.000000
2006-08-17,297.135895,311.434570,0.000000
2006-08-18,297.180817,311.675903,0.000000
2006-08-19,297.809387,311.785736,0.000000
2006-08-20,298.655670,311.424316,0.000000
2006-08-21,298.274597,311.392944,0.000000
2006-08-22,297.425049,312.117432,0.705175
2006-08-23,299.636841,309.360168,10.871332
2006-08-24,296.828522,306.678650,3.003635
2006-08-25,295.909943,308.431061,0.343076
2006-08-26,295.444092,309.480164,0.000000
2006-08-27,295.936920,309.039856,0.000000
2006-08-28,296.538086,310.052948,0.000000
2006-08-29,297.529724,310.576050,0.000000
2006-08-30,297.293579,310.971924,0.000000
2006-08-31,297.786255,311.383118,0.000000
2006-09-01,297.439117,309.841095,1.455800
2006-09-02,297.072815,307.198883,1.427279
2006-09-03,297.063232,308.510345,0.000000
2006-09-04,297.419586,310.773773,0.000000
2006-09-05,297.776306,310.176422,1.475331
2006-09-06,296.556366,309.062531,3.311338
2006-09-07,293.175568,306.526428,0.000000
2006-09-08,293.275391,306.492981,0.000000
2006-09-09,294.705688,308.782959,0.611783
2006-09-10,296.557648,308.518555,0.000000
2006-09-11,296.817200,310.201965,0.000000
2006-09-12,297.211365,310.833557,0.000000
2006-09-13,298.111145,309.658844,0.000000
2006-09-14,295.440887,310.156097,0.000000
2006-09-15,297.946930,312.956573,0.000000
2006-09-16,297.815826,310.942871,0.000000
2006-09-17,296.688110,310.817352,0.000000
2006-09-18,296.897003,311.238281,0.000000
2006-09-19,297.172668,312.369568,0.000000
2006-09-20,297.384735,311.553406,0.000000
2006-09-21,298.147827,311.299286,0.000000
2006-09-22,297.680450,311.213959,0.283210
2006-09-23,295.875610,309.171692,0.881075
2006-09-24,295.596191,307.559631,0.000000
2006-09-25,297.207153,309.307343,0.000000
2006-09-26,297.486023,310.108154,0.000000
2006-09-27,297.223999,310.004883,0.000000
2006-09-28,297.971008,309.507233,0.000000
2006-09-29,297.709229,309.153564,0.367576
2006-09-30,297.381073,309.127899,0.765177
2006-10-01,297.578461,309.310822,1.761309
2006-10-02,296.423676,308.454926,2.518509
2006-10-03,295.599152,306.683929,0.000000
2006-10-04,291.884796,303.963501,12.275672
2006-10-05,287.356689,300.793427,0.000000
2006-10-06,288.921509,303.417053,0.000000
2006-10-07,289.731049,302.995239,0.000000
2006-10-08,289.254333,302.557892,0.000000
2006-10-09,288.261658,300.819122,0.000000
2006-10-10,289.766724,298.722595,0.000000
2006-10-11,288.540710,299.152496,0.000000
2006-10-12,288.970764,300.968079,0.000000
2006-10-13,291.549286,300.998779,0.929438
2006-10-14,293.035889,301.310089,9.426228
2006-10-15,296.994659,301.915527,5.124327
2006-10-16,294.331818,300.541473,13.475622
2006-10-17,284.277039,299.268311,9.516839
2006-10-18,285.790253,296.700470,0.000000
2006-10-19,285.636993,300.782806,0.000000
2006-10-20,286.528015,299.693237,0.000000
2006-10-21,280.038055,296.397949,0.000000
2006-10-22,279.039459,298.465302,0.000000
2006-10-23,283.914856,297.030914,0.000000
2006-10-24,285.121704,296.020935,0.000000
2006-10-25,283.971558,298.566803,0.000000
2006-10-26,284.328461,299.892303,0.000000
2006-10-27,286.387421,300.835205,0.000000
2006-10-28,286.280365,302.376709,0.000000
2006-10-29,283.483612,302.355896,0.000000
2006-10-30,285.446259,302.997742,0.000000
2006-10-31,279.749786,289.762909,0.000000
2006-11-01,277.482117,298.485168,0.000000
2006-11-02,280.561127,301.592590,0.000000
2006-11-03,286.474609,302.181091,0.000000
2006-11-04,288.166626,302.835999,0.000000
2006-11-05,286.204742,301.504456,0.000000
2006-11-06,281.742706,297.299347,0.000000
2006-11-07,282.390961,298.233185,0.000000
2006-11-08,287.827759,300.533203,0.000000
2006-11-09,287.430420,299.901459,2.577344
2006-11-10,281.876221,299.339020,0.000000
2006-11-11,280.847961,302.956482,0.000000
2006-11-12,284.231537,301.802856,0.000000
2006-11-13,286.434784,304.539337,0.000000
2006-11-14,285.717163,303.368378,0.000000
2006-11-15,281.184418,299.936279,0.000000
2006-11-16,275.355438,297.219299,0.591603
2006-11-17,278.637146,300.414703,0.000000
2006-11-18,280.311707,303.418335,0.000000
2006-11-19,283.458954,303.080566,0.000000
2006-11-20,282.278625,301.042267,0.547284
2006-11-21,275.374268,289.009949,0.000000
2006-11-22,276.841583,284.879303,0.000000
2006-11-23,281.358215,296.193756,1.030874
2006-11-24,288.746033,304.853546,1.509192
2006-11-25,279.930573,302.561554,1.600556
2006-11-26,278.004395,284.214233,0.000000
2006-11-27,277.816162,285.687683,0.904077
2006-11-28,278.229858,285.967804,1.853894
2006-11-29,278.100769,292.910797,4.490200
2006-11-30,285.022675,294.595337,7.755833
2006-12-01,277.777527,289.652893,0.000000
2006-12-02,268.863495,287.824829,0.000000
2006-12-03,276.269409,292.266632,0.000000
2006-12-04,280.671906,296.732178,0.000000
2006-12-05,281.838226,296.312469,0.000000
2006-12-06,281.505219,296.843597,0.000000
2006-12-07,277.685333,293.987030,0.000000
2006-12-08,272.402252,290.973114,0.000000
2006-12-09,282.246796,300.976196,0.000000
2006-12-10,282.597900,299.539520,0.000000
2006-12-11,282.442352,298.283112,0.000000
2006-12-12,280.466309,295.683289,0.000000
2006-12-13,284.447723,293.997864,2.281187
2006-12-14,275.975372,289.021973,0.558119
2006-12-15,272.769379,290.821289,0.000000
2006-12-16,278.995514,296.262115,0.000000
2006-12-17,282.401184,292.420532,0.000000
2006-12-18,281.998779,294.092651,0.000000
2006-12-19,286.574493,299.075043,1.056122
2006-12-20,275.687958,293.709442,0.000000
2006-12-21,273.128265,286.267578,0.000000
2006-12-22,276.435303,286.063934,0.364563
2006-12-23,277.145477,287.143219,0.000000
2006-12-24,271.170715,291.177246,0.000000
2006-12-25,274.513916,291.357605,0.000000
2006-12-26,278.774658,288.710968,0.000000
2006-12-27,276.271027,287.208801,0.000000
2006-12-28,275.816711,285.940277,3.614345
2006-12-29,268.980377,282.250305,0.000000
2006-12-30,274.881592,285.200226,1.375481
2006-12-31,285.151367,293.099396,67.772888
2007-01-01,270.281342,281.663818,0.478320
2007-01-02,270.284058,278.578247,0.000000
2007-01-03,271.918976,281.025818,0.000000
2007-01-04,274.906647,285.263519,0.304971
2007-01-05,278.810669,292.424500,9.303495
2007-01-06,269.290222,291.354858,8.860836
2007-01-07,263.933380,273.316711,2.723401
2007-01-08,264.521698,274.520355,1.368509
2007-01-09,269.372040,285.008179,0.000000
2007-01-10,273.451019,286.575409,0.000000
2007-01-11,274.030548,285.680389,0.000000
2007-01-12,274.647125,291.495941,0.650422
2007-01-13,285.763977,294.645020,0.000000
2007-01-14,286.979126,296.866241,0.000000
2007-01-15,283.227875,295.772491,0.000000
2007-01-16,274.466919,287.983276,0.000000
2007-01-17,274.882141,284.212219,0.000000
2007-01-18,279.554474,293.964935,3.073383
2007-01-19,284.148682,295.705963,1.586832
2007-01-20,284.194458,296.991455,0.000000
2007-01-21,283.489990,296.626251,6.207726
2007-01-22,281.263123,291.119141,19.531013
2007-01-23,278.480865,284.002502,4.109339
2007-01-24,277.970032,292.030792,0.000000
2007-01-25,280.493896,291.382050,3.545945
2007-01-26,272.237885,286.683136,7.954221
2007-01-27,269.633392,280.062073,0.620032
2007-01-28,270.277222,282.165771,0.000000
2007-01-29,273.516327,287.431274,0.000000
2007-01-30,276.129608,289.588013,0.000000
2007-01-31,276.609528,288.937531,0.000000
2007-02-01,276.849640,291.444305,0.000000
2007-02-02,278.430878,292.789520,0.000000
2007-02-03,279.051331,293.948517,0.000000
2007-02-04,281.595520,296.005310,0.000000
2007-02-05,285.618561,298.794678,0.000000
2007-02-06,287.105804,298.346832,0.000000
2007-02-07,277.496033,294.335205,0.000000
2007-02-08,274.242157,286.404663,0.000000
2007-02-09,274.830994,290.227661,0.000000
2007-02-10,278.107086,294.476562,0.000000
2007-02-11,283.505219,299.628601,0.000000
2007-02-12,286.950592,300.414917,0.504648
2007-02-13,275.932587,298.384064,0.000000
2007-02-14,274.976501,288.427338,0.000000
2007-02-15,279.145264,298.311188,0.000000
2007-02-16,284.747681,299.831940,0.000000
2007-02-17,281.802521,298.799347,0.000000
2007-02-18,274.536896,289.660858,0.000000
2007-02-19,275.282410,285.490417,0.000000
2007-02-20,274.155334,284.596924,0.000000
2007-02-21,274.438171,282.070862,0.000000
2007-02-22,279.024261,286.681580,7.860854
2007-02-23,269.675201,281.847565,0.553160
2007-02-24,269.210541,283.781982,0.000000
2007-02-25,272.927002,288.983765,0.000000
2007-02-26,279.053680,297.051056,0.000000
2007-02-27,283.344360,298.408844,0.000000
2007-02-28,280.195587,295.221222,0.000000
2007-03-01,279.681305,297.412201,0.000000
2007-03-02,285.332092,299.064178,0.000000
2007-03-03,281.173157,296.319855,0.000000
2007-03-04,279.553284,298.901917,0.000000
2007-03-05,284.621368,301.694489,0.000000
2007-03-06,287.665771,303.265198,0.000000
2007-03-07,288.203186,302.031860,0.469320
2007-03-08,288.168121,302.134735,0.000000
2007-03-09,289.095978,301.384583,1.300918
2007-03-10,288.602936,302.783783,0.637211
2007-03-11,289.513428,303.912476,0.000000
2007-03-12,292.247833,304.919373,0.468740
2007-03-13,285.336823,304.398438,0.000000
2007-03-14,287.690674,305.413696,0.000000
2007-03-15,289.778107,304.937653,0.000000
2007-03-16,290.966644,305.601471,0.000000
2007-03-17,292.165344,306.181488,0.000000
2007-03-18,292.689941,306.986877,0.000000
2007-03-19,290.116150,305.373138,0.000000
2007-03-20,279.797028,296.323853,0.000000
2007-03-21,283.646301,301.242950,0.000000
2007-03-22,287.913116,305.728271,0.000000
2007-03-23,290.538483,306.998505,0.000000
2007-03-24,292.043365,308.349213,0.000000
2007-03-25,289.610809,307.564758,0.000000
2007-03-26,289.560242,304.349213,0.000000
2007-03-27,289.949158,304.894562,0.000000
2007-03-28,292.431000,308.181946,0.000000
2007-03-29,294.417450,311.510376,0.000000
2007-03-30,295.175934,313.121796,0.000000
2007-03-31,294.687164,312.758820,0.000000
2007-04-01,293.301666,309.465363,0.000000
2007-04-02,291.730286,304.223083,0.000000
2007-04-03,291.753204,304.395264,0.000000
2007-04-04,292.192047,304.675903,0.512031
2007-04-05,292.584351,304.522766,4.521372
2007-04-06,294.696594,301.719360,14.210198
2007-04-07,292.213745,299.730896,1.915757
2007-04-08,291.762970,299.803406,1.812310
2007-04-09,291.114502,303.729034,0.972231
2007-04-10,290.570221,304.149261,0.000000
2007-04-11,290.866089,303.984375,0.000000
2007-04-12,289.383057,303.271027,0.000000
2007-04-13,290.812042,305.353943,0.321219
2007-04-14,293.078766,306.011566,0.000000
2007-04-15,292.047180,304.987183,0.000000
2007-04-16,294.241150,308.172577,0.000000
2007-04-17,294.485931,309.205048,0.000000
2007-04-18,295.317719,308.582001,0.000000
2007-04-19,294.486298,307.103943,0.466134
2007-04-20,292.991577,304.813812,3.451964
2007-04-21,291.686035,303.453583,11.861641
2007-04-22,291.046906,305.561462,1.470278
2007-04-23,290.470856,306.074371,0.000000
2007-04-24,292.644104,302.383545,12.119775
2007-04-25,289.914795,297.191254,13.001180
2007-04-26,290.139404,301.224457,0.000000
2007-04-27,290.816406,301.528168,0.000000
2007-04-28,292.282562,305.136200,0.000000
2007-04-29,291.640930,306.839935,0.000000
2007-04-30,292.531158,307.833862,0.000000
2007-05-01,293.673676,308.158112,0.000000
2007-05-02,295.442108,309.659637,0.000000
2007-05-03,294.201843,309.979919,1.753589
2007-05-04,294.392548,308.270477,0.000000
2007-05-05,292.695740,306.525391,0.000000
2007-05-06,290.055389,304.777832,0.318374
2007-05-07,287.299896,298.972656,0.000000
2007-05-08,288.261993,304.459015,0.000000
2007-05-09,294.067047,309.590424,0.583261
2007-05-10,295.205383,310.744293,14.132600
2007-05-11,293.772766,304.327118,2.294240
2007-05-12,292.379944,305.924194,0.000000
2007-05-13,294.010773,308.044678,0.000000
2007-05-14,295.233154,308.808533,0.000000
2007-05-15,295.104889,307.826416,1.205130
2007-05-16,294.275269,305.723816,8.957112
2007-05-17,294.154602,305.955811,0.364078
2007-05-18,293.911041,304.939453,1.127536
2007-05-19,294.087097,306.034698,0.000000
2007-05-20,294.954620,308.472473,0.000000
2007-05-21,295.829773,310.302887,1.460531
2007-05-22,297.154724,310.910919,0.000000
2007-05-23,298.374786,310.582855,0.000000
2007-05-24,298.347107,310.543549,0.000000
2007-05-25,299.089661,310.543152,0.000000
2007-05-26,298.276031,310.776642,0.000000
2007-05-27,297.309143,310.647339,0.000000
2007-05-28,297.639923,311.490143,0.000000
2007-05-29,297.517853,311.289856,0.000000
2007-05-30,297.828583,311.331451,0.000000
2007-05-31,297.977936,311.424194,0.000000
2007-06-01,297.338409,311.848022,0.000000
2007-06-02,297.899628,311.647034,0.000000
2007-06-03,297.848419,310.794769,0.000000
2007-06-04,297.594574,310.691803,0.000000
2007-06-05,297.472809,310.001068,2.514676
2007-06-06,297.753662,310.037811,0.000000
2007-06-07,297.483154,310.470673,0.000000
2007-06-08,297.272491,310.438599,0.000000
2007-06-09,298.155029,310.757263,0.000000
2007-06-10,298.179993,310.709717,0.000000
2007-06-11,298.153992,311.138428,0.000000
2007-06-12,299.005432,311.114471,0.000000
2007-06-13,298.935303,311.929047,0.000000
2007-06-14,298.494507,311.623077,0.000000
2007-06-15,297.885223,309.230316,0.000000
2007-06-16,297.276947,310.036194,0.000000
2007-06-17,298.670807,310.865967,0.000000
2007-06-18,298.934479,310.912415,0.000000
2007-06-19,297.985138,309.638214,0.000000
2007-06-20,297.821808,309.270721,0.000000
2007-06-21,298.054047,309.735901,0.000000
2007-06-22,299.056671,310.705658,0.000000
2007-06-23,300.286713,311.796265,0.000000
2007-06-24,301.096191,312.182404,0.000000
2007-06-25,300.926178,312.051483,0.000000
2007-06-26,299.797272,311.015961,1.035126
2007-06-27,300.106873,311.126556,0.000000
2007-06-28,300.017273,311.064117,0.000000
2007-06-29,299.880157,310.855865,0.000000
2007-06-30,298.345093,309.395355,0.411445
2007-07-01,297.554535,308.387634,0.000000
2007-07-02,297.932953,308.590881,0.579880
2007-07-03,297.699066,308.594177,0.000000
2007-07-04,298.147797,309.288177,0.000000
2007-07-05,298.489929,308.426117,0.669816
2007-07-06,297.018646,308.620483,1.178018
2007-07-07,297.230591,308.718536,1.849236
2007-07-08,296.619507,308.369141,0.000000
2007-07-09,297.523499,308.289978,0.689008
2007-07-10,297.100098,308.237335,3.869166
2007-07-11,297.337128,308.654053,0.563364
2007-07-12,298.203125,309.240601,0.000000
2007-07-13,298.760010,310.356476,0.000000
2007-07-14,299.043427,311.609100,0.000000
2007-07-15,299.355804,312.077026,0.000000
2007-07-16,300.745331,312.026581,0.000000
2007-07-17,299.739563,312.006500,0.289400
2007-07-18,298.383728,310.497650,0.000000
2007-07-19,297.762390,309.631378,0.000000
2007-07-20,297.556244,310.662323,0.000000
2007-07-21,298.206116,311.280273,0.000000
2007-07-22,298.023956,311.023132,0.000000
2007-07-23,298.320526,311.658478,0.000000
2007-07-24,298.697815,311.371948,0.000000
2007-07-25,297.887146,310.397125,0.000000
2007-07-26,297.799072,309.475464,0.000000
2007-07-27,298.129456,309.204865,0.000000
2007-07-28,297.923920,309.002350,0.000000
2007-07-29,297.706207,308.464447,0.913901
2007-07-30,297.417847,308.004730,0.369379
2007-07-31,297.237213,308.343903,7.478000
2007-08-01,297.882538,308.696167,10.487940
2007-08-02,297.746796,304.003082,9.682457
2007-08-03,296.266022,306.321869,2.952931
2007-08-04,296.032501,307.365204,1.539009
2007-08-05,295.584869,308.139709,0.000000
2007-08-06,296.327728,307.949127,0.000000
2007-08-07,297.139862,310.242859,0.000000
2007-08-08,298.541290,312.085510,0.000000
2007-08-09,298.989807,310.823334,0.367295
