#Variables:
#tasmin_bcc-csm1-1_historical(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1_historical(K)"
1950-12-23,276.458710
1950-12-24,282.990997
1950-12-25,284.520691
1950-12-26,285.092712
1950-12-27,286.489380
1950-12-28,281.318726
1950-12-29,277.448395
1950-12-30,278.942200
1950-12-31,279.559143
1951-01-01,279.375549
1951-01-02,279.875000
1951-01-03,281.506653
1951-01-04,277.099182
1951-01-05,274.531433
1951-01-06,272.986115
1951-01-07,276.927582
1951-01-08,281.252625
1951-01-09,282.443817
1951-01-10,280.086761
1951-01-11,286.639404
1951-01-12,287.543610
1951-01-13,287.293396
1951-01-14,284.422852
1951-01-15,279.943512
1951-01-16,279.879852
1951-01-17,282.407227
1951-01-18,277.490662
1951-01-19,269.461823
1951-01-20,269.353180
1951-01-21,276.862091
1951-01-22,280.738922
1951-01-23,277.963501
1951-01-24,273.149841
1951-01-25,274.303528
1951-01-26,282.277405
1951-01-27,287.597687
1951-01-28,286.478088
1951-01-29,287.484802
1951-01-30,285.602783
1951-01-31,285.107086
1951-02-01,284.511230
1951-02-02,282.385834
1951-02-03,278.894379
1951-02-04,281.588562
1951-02-05,285.399963
1951-02-06,277.488464
1951-02-07,273.963257
1951-02-08,275.705994
1951-02-09,275.979523
1951-02-10,277.647095
1951-02-11,273.265991
1951-02-12,274.376953
1951-02-13,276.316681
1951-02-14,280.163513
1951-02-15,275.883881
1951-02-16,277.622528
1951-02-17,280.254883
1951-02-18,277.360382
1951-02-19,281.216705
1951-02-20,276.874146
1951-02-21,277.183655
1951-02-22,277.723145
1951-02-23,277.296295
1951-02-24,279.306366
1951-02-25,283.606354
1951-02-26,285.812012
1951-02-27,287.990753
1951-02-28,286.664795
1951-03-01,281.738586
1951-03-02,277.138397
1951-03-03,278.142273
1951-03-04,280.472229
1951-03-05,285.680023
1951-03-06,282.033844
1951-03-07,281.051270
1951-03-08,281.068420
1951-03-09,283.609985
1951-03-10,283.395721
1951-03-11,283.236847
1951-03-12,280.451233
1951-03-13,281.229187
1951-03-14,285.480194
1951-03-15,284.221802
1951-03-16,287.597534
1951-03-17,291.006958
1951-03-18,287.059448
1951-03-19,287.604126
1951-03-20,277.486847
1951-03-21,279.209412
1951-03-22,283.148987
1951-03-23,282.413086
1951-03-24,288.127747
1951-03-25,286.408600
1951-03-26,277.081757
1951-03-27,273.084747
1951-03-28,273.928040
1951-03-29,276.829132
1951-03-30,276.716248
1951-03-31,280.155914
1951-04-01,281.779663
1951-04-02,284.931030
1951-04-03,284.851532
1951-04-04,282.828766
1951-04-05,285.965454
1951-04-06,288.313385
1951-04-07,288.786804
1951-04-08,289.733887
1951-04-09,290.017792
1951-04-10,288.262909
1951-04-11,285.547424
1951-04-12,281.675873
1951-04-13,285.776337
1951-04-14,279.853943
1951-04-15,277.974213
1951-04-16,285.121063
1951-04-17,289.626190
1951-04-18,291.064850
1951-04-19,289.269592
1951-04-20,290.663788
1951-04-21,289.622040
1951-04-22,284.438324
1951-04-23,291.186676
1951-04-24,291.871429
1951-04-25,293.853699
1951-04-26,292.559479
1951-04-27,292.773285
1951-04-28,289.700562
1951-04-29,289.040497
1951-04-30,286.467316
1951-05-01,290.493713
1951-05-02,292.769318
1951-05-03,294.906403
1951-05-04,295.054077
1951-05-05,295.108032
1951-05-06,294.686554
1951-05-07,294.867676
1951-05-08,294.852234
1951-05-09,295.255310
1951-05-10,293.548676
1951-05-11,292.672760
1951-05-12,291.940369
1951-05-13,292.344666
1951-05-14,298.664307
1951-05-15,295.428986
1951-05-16,294.479431
1951-05-17,293.189728
1951-05-18,294.928558
1951-05-19,294.477783
1951-05-20,294.217957
1951-05-21,295.709686
1951-05-22,297.303772
1951-05-23,295.631927
1951-05-24,289.018219
1951-05-25,293.868195
1951-05-26,293.221893
1951-05-27,294.580627
1951-05-28,294.902588
1951-05-29,295.540222
1951-05-30,295.784332
1951-05-31,295.286285
1951-06-01,294.219360
1951-06-02,293.066010
1951-06-03,290.487885
1951-06-04,290.710205
1951-06-05,290.794067
1951-06-06,292.551575
1951-06-07,293.592865
1951-06-08,294.793182
1951-06-09,295.696594
1951-06-10,295.801910
1951-06-11,295.981171
1951-06-12,296.152527
1951-06-13,296.037262
1951-06-14,296.436127
1951-06-15,296.431030
1951-06-16,296.176514
1951-06-17,294.241119
1951-06-18,294.901337
1951-06-19,295.437500
1951-06-20,296.213470
1951-06-21,299.188171
1951-06-22,297.098602
1951-06-23,296.924500
1951-06-24,295.897705
1951-06-25,294.756348
1951-06-26,295.130829
1951-06-27,296.329926
1951-06-28,295.205383
1951-06-29,295.224213
1951-06-30,295.417664
1951-07-01,294.773438
1951-07-02,296.087097
1951-07-03,295.616821
1951-07-04,296.034912
1951-07-05,296.300903
1951-07-06,296.508362
1951-07-07,295.931213
1951-07-08,294.713745
1951-07-09,295.356293
1951-07-10,295.496887
1951-07-11,295.259186
1951-07-12,294.651093
1951-07-13,295.200714
1951-07-14,295.008118
1951-07-15,295.185333
1951-07-16,294.445679
1951-07-17,294.183899
1951-07-18,294.755493
1951-07-19,295.383057
1951-07-20,295.362122
1951-07-21,293.550812
1951-07-22,295.347351
1951-07-23,294.880371
1951-07-24,293.909027
1951-07-25,295.572479
1951-07-26,294.709198
1951-07-27,294.454315
1951-07-28,293.383026
1951-07-29,294.410065
1951-07-30,294.037415
1951-07-31,293.328888
1951-08-01,292.097900
1951-08-02,292.188995
1951-08-03,293.172974
1951-08-04,294.356049
1951-08-05,295.180237
1951-08-06,295.414124
1951-08-07,295.290131
1951-08-08,295.419983
1951-08-09,295.716553
1951-08-10,294.912323
1951-08-11,294.056976
1951-08-12,294.201141
1951-08-13,294.020294
1951-08-14,295.527832
1951-08-15,295.081390
1951-08-16,295.020691
1951-08-17,294.873383
1951-08-18,294.514526
1951-08-19,295.500061
1951-08-20,295.458069
1951-08-21,294.857666
1951-08-22,293.439667
1951-08-23,293.233429
1951-08-24,294.735565
1951-08-25,294.650146
1951-08-26,294.355103
1951-08-27,294.357025
1951-08-28,294.443756
1951-08-29,293.660431
1951-08-30,294.239899
1951-08-31,294.873779
1951-09-01,294.185547
1951-09-02,294.874664
1951-09-03,295.396790
1951-09-04,294.680786
1951-09-05,294.408783
1951-09-06,291.369659
1951-09-07,295.592255
1951-09-08,295.406830
1951-09-09,295.253204
1951-09-10,295.071533
1951-09-11,294.691772
1951-09-12,295.983063
1951-09-13,294.800415
1951-09-14,294.960510
1951-09-15,294.308868
1951-09-16,290.992584
1951-09-17,291.099091
1951-09-18,291.593384
1951-09-19,287.335785
1951-09-20,289.910309
1951-09-21,289.868805
1951-09-22,289.462799
1951-09-23,289.180603
1951-09-24,290.352386
1951-09-25,290.672455
1951-09-26,290.936554
1951-09-27,291.566772
1951-09-28,291.910583
1951-09-29,285.530548
1951-09-30,283.549103
1951-10-01,284.549866
1951-10-02,285.938751
1951-10-03,286.223145
1951-10-04,287.148407
1951-10-05,288.995697
1951-10-06,287.887604
1951-10-07,288.300018
1951-10-08,288.808838
1951-10-09,288.080322
1951-10-10,291.270721
1951-10-11,294.206238
1951-10-12,287.870422
1951-10-13,283.069092
1951-10-14,278.708832
1951-10-15,280.627533
1951-10-16,281.873108
1951-10-17,284.317749
1951-10-18,284.939178
1951-10-19,286.312195
1951-10-20,287.554810
1951-10-21,288.358398
1951-10-22,286.002716
1951-10-23,285.053253
1951-10-24,285.718079
1951-10-25,287.348969
1951-10-26,284.687286
1951-10-27,286.866272
1951-10-28,287.408661
1951-10-29,286.822784
1951-10-30,287.698303
1951-10-31,288.267456
1951-11-01,288.473602
1951-11-02,286.640015
1951-11-03,287.663635
1951-11-04,287.864655
1951-11-05,291.388153
1951-11-06,287.224396
1951-11-07,278.708984
1951-11-08,280.632294
1951-11-09,280.630951
1951-11-10,277.271301
1951-11-11,280.898773
1951-11-12,284.294098
1951-11-13,285.445648
1951-11-14,280.235168
1951-11-15,272.856049
1951-11-16,273.859344
1951-11-17,276.257080
1951-11-18,281.662750
1951-11-19,286.552643
1951-11-20,286.239166
1951-11-21,284.605469
1951-11-22,279.404144
1951-11-23,281.565247
1951-11-24,282.133759
1951-11-25,283.215607
1951-11-26,282.949707
1951-11-27,274.904846
1951-11-28,275.194977
1951-11-29,278.950531
1951-11-30,285.427704
1951-12-01,285.900513
1951-12-02,288.882996
1951-12-03,288.923340
1951-12-04,289.027008
1951-12-05,287.702698
1951-12-06,268.298737
1951-12-07,266.291382
1951-12-08,272.080200
1951-12-09,274.743805
1951-12-10,275.261139
1951-12-11,275.144257
1951-12-12,278.250061
1951-12-13,280.481659
1951-12-14,277.880951
1951-12-15,270.909668
1951-12-16,270.266144
1951-12-17,271.455292
1951-12-18,274.531250
1951-12-19,276.031342
1951-12-20,266.226410
1951-12-21,268.572174
1951-12-22,270.325043
1951-12-23,272.080811
1951-12-24,270.713959
1951-12-25,268.141998
1951-12-26,278.899933
1951-12-27,272.415924
1951-12-28,276.496613
1951-12-29,277.636017
1951-12-30,282.835358
1951-12-31,282.311340
1952-01-01,277.683868
1952-01-02,276.812531
1952-01-03,280.983612
1952-01-04,278.865540
1952-01-05,277.281433
1952-01-06,280.656036
1952-01-07,279.560699
1952-01-08,267.546387
1952-01-09,265.808807
1952-01-10,267.518311
1952-01-11,271.209808
1952-01-12,271.479584
1952-01-13,273.434357
1952-01-14,273.225220
1952-01-15,277.585419
1952-01-16,272.260620
1952-01-17,272.429077
1952-01-18,272.696106
1952-01-19,272.329529
1952-01-20,270.748871
1952-01-21,272.831085
1952-01-22,272.388977
1952-01-23,270.375732
1952-01-24,274.827667
1952-01-25,276.062073
1952-01-26,274.341034
1952-01-27,278.858917
1952-01-28,282.875183
1952-01-29,282.948700
1952-01-30,281.294037
1952-01-31,285.809692
1952-02-01,281.014526
1952-02-02,279.998413
1952-02-03,284.906860
1952-02-04,286.621857
1952-02-05,284.089661
1952-02-06,286.134094
1952-02-07,277.754425
1952-02-08,275.547455
1952-02-09,281.064026
1952-02-10,282.739655
1952-02-11,284.105865
1952-02-12,275.933594
1952-02-13,279.579132
1952-02-14,280.774506
1952-02-15,272.327454
1952-02-16,272.576630
1952-02-17,277.439362
1952-02-18,277.599152
1952-02-19,279.329102
1952-02-20,277.830383
1952-02-21,283.332397
1952-02-22,285.695038
1952-02-23,286.302643
1952-02-24,288.656708
1952-02-25,283.616699
1952-02-26,278.410797
1952-02-27,284.383850
1952-02-28,284.907013
1952-02-29,286.606232
1952-03-01,288.305450
1952-03-02,288.237335
1952-03-03,288.649109
1952-03-04,287.778961
1952-03-05,286.084625
1952-03-06,283.973602
1952-03-07,279.607819
1952-03-08,281.016907
1952-03-09,287.051758
1952-03-10,287.145630
1952-03-11,284.749725
1952-03-12,282.967743
1952-03-13,287.492645
1952-03-14,282.900330
1952-03-15,286.398285
1952-03-16,287.798553
1952-03-17,287.952942
1952-03-18,288.917297
1952-03-19,285.516449
1952-03-20,288.158600
1952-03-21,277.844025
1952-03-22,284.450439
1952-03-23,284.800690
1952-03-24,280.826233
1952-03-25,281.368988
1952-03-26,285.851349
1952-03-27,288.508820
1952-03-28,288.512268
1952-03-29,290.098145
1952-03-30,290.484894
1952-03-31,289.598785
1952-04-01,289.836426
1952-04-02,291.145599
1952-04-03,292.758057
1952-04-04,292.110260
1952-04-05,290.877533
1952-04-06,282.959442
1952-04-07,285.652527
1952-04-08,288.594757
1952-04-09,281.759674
1952-04-10,282.362793
1952-04-11,286.317169
1952-04-12,286.839325
1952-04-13,288.629883
1952-04-14,290.662872
1952-04-15,287.714203
1952-04-16,287.460327
1952-04-17,289.005707
1952-04-18,287.920563
1952-04-19,287.532898
1952-04-20,284.689117
1952-04-21,285.643005
1952-04-22,289.962433
1952-04-23,290.077454
1952-04-24,288.003265
1952-04-25,290.850983
1952-04-26,292.101227
1952-04-27,288.693878
1952-04-28,286.167725
1952-04-29,284.179260
1952-04-30,290.584930
1952-05-01,294.629242
1952-05-02,286.619232
1952-05-03,281.550446
1952-05-04,285.342468
1952-05-05,289.252777
1952-05-06,289.132874
1952-05-07,293.280365
1952-05-08,289.908508
1952-05-09,290.776459
1952-05-10,286.950226
1952-05-11,285.579620
1952-05-12,287.050690
1952-05-13,291.015381
1952-05-14,291.987640
1952-05-15,291.399750
1952-05-16,290.857880
1952-05-17,288.674164
1952-05-18,294.288361
1952-05-19,293.372009
1952-05-20,289.812531
1952-05-21,289.609222
1952-05-22,291.582275
1952-05-23,293.016296
1952-05-24,292.354706
1952-05-25,293.332520
1952-05-26,292.792664
1952-05-27,295.045471
1952-05-28,295.362915
1952-05-29,294.858704
1952-05-30,294.945068
1952-05-31,293.899597
1952-06-01,292.696899
1952-06-02,293.203766
1952-06-03,293.977997
1952-06-04,291.753662
1952-06-05,292.088409
1952-06-06,294.505432
1952-06-07,293.278870
1952-06-08,295.248199
1952-06-09,295.049500
1952-06-10,294.893768
1952-06-11,295.572784
1952-06-12,294.061340
1952-06-13,295.655792
1952-06-14,296.393341
1952-06-15,296.144073
1952-06-16,296.881897
1952-06-17,296.008240
1952-06-18,297.155151
1952-06-19,295.956177
1952-06-20,296.536743
1952-06-21,295.074646
1952-06-22,293.286621
1952-06-23,294.038879
1952-06-24,294.905457
1952-06-25,295.391602
1952-06-26,295.556061
1952-06-27,295.970337
1952-06-28,295.618774
1952-06-29,293.976746
1952-06-30,294.941681
1952-07-01,296.047577
1952-07-02,296.156830
1952-07-03,295.973267
1952-07-04,295.791687
1952-07-05,294.549927
1952-07-06,295.620483
1952-07-07,295.604431
1952-07-08,294.200378
1952-07-09,295.897705
1952-07-10,294.986420
1952-07-11,294.660309
1952-07-12,295.025208
1952-07-13,296.051575
1952-07-14,296.135437
1952-07-15,297.455536
1952-07-16,297.052490
1952-07-17,297.136658
1952-07-18,296.169800
1952-07-19,295.719849
1952-07-20,295.693604
1952-07-21,295.420837
1952-07-22,294.617767
1952-07-23,294.790710
1952-07-24,295.557404
1952-07-25,295.931641
1952-07-26,296.494354
1952-07-27,297.101654
1952-07-28,296.569519
1952-07-29,296.904449
1952-07-30,296.139160
1952-07-31,296.905243
1952-08-01,296.547363
1952-08-02,296.278046
1952-08-03,296.473694
1952-08-04,296.571472
1952-08-05,295.716095
1952-08-06,294.890808
1952-08-07,295.669800
1952-08-08,295.382080
1952-08-09,295.146240
1952-08-10,295.086578
1952-08-11,296.084076
1952-08-12,295.638367
1952-08-13,294.959412
1952-08-14,296.001190
1952-08-15,297.079010
1952-08-16,297.070557
1952-08-17,296.090393
1952-08-18,296.406342
1952-08-19,297.034943
1952-08-20,297.596252
1952-08-21,296.639374
1952-08-22,295.366028
1952-08-23,297.536652
1952-08-24,296.191376
1952-08-25,295.857971
1952-08-26,293.694397
1952-08-27,295.272217
1952-08-28,296.616272
1952-08-29,295.196320
1952-08-30,294.068512
1952-08-31,296.619324
1952-09-01,297.298492
1952-09-02,295.550110
1952-09-03,292.071594
1952-09-04,293.472717
1952-09-05,294.632355
1952-09-06,294.504028
1952-09-07,294.915405
1952-09-08,296.688507
1952-09-09,294.452454
1952-09-10,294.909760
1952-09-11,295.379150
1952-09-12,295.909912
1952-09-13,294.760468
1952-09-14,293.562378
1952-09-15,294.835236
1952-09-16,297.870209
1952-09-17,296.424255
1952-09-18,294.912506
1952-09-19,290.522217
1952-09-20,291.037750
1952-09-21,293.578400
1952-09-22,293.445496
1952-09-23,292.818176
1952-09-24,292.455902
1952-09-25,288.699402
1952-09-26,290.282196
1952-09-27,291.005707
1952-09-28,291.699646
1952-09-29,288.476501
1952-09-30,285.727692
1952-10-01,286.904694
1952-10-02,288.665283
1952-10-03,289.630676
1952-10-04,290.023224
1952-10-05,292.070068
1952-10-06,293.948669
1952-10-07,291.156128
1952-10-08,290.829620
1952-10-09,287.726501
1952-10-10,284.876434
1952-10-11,284.597076
1952-10-12,290.051147
1952-10-13,289.451630
1952-10-14,292.110046
1952-10-15,289.791443
1952-10-16,290.692749
1952-10-17,291.688232
1952-10-18,293.127075
1952-10-19,292.155365
1952-10-20,286.175629
1952-10-21,289.567596
1952-10-22,285.966064
1952-10-23,287.641205
1952-10-24,283.636292
1952-10-25,288.974670
1952-10-26,284.509918
1952-10-27,283.806427
1952-10-28,283.218353
1952-10-29,278.731628
1952-10-30,273.770691
1952-10-31,276.787689
1952-11-01,277.194916
1952-11-02,282.945068
1952-11-03,287.726746
1952-11-04,282.772766
1952-11-05,274.243591
1952-11-06,276.477203
1952-11-07,277.136414
1952-11-08,281.556610
1952-11-09,282.564484
1952-11-10,276.670441
1952-11-11,282.133820
1952-11-12,287.151794
1952-11-13,284.791046
1952-11-14,286.381409
1952-11-15,284.944611
1952-11-16,285.066986
1952-11-17,285.276520
1952-11-18,276.849701
1952-11-19,280.902283
1952-11-20,281.863586
1952-11-21,282.565491
1952-11-22,275.967468
1952-11-23,275.783142
1952-11-24,282.596924
1952-11-25,279.188873
1952-11-26,277.269043
1952-11-27,279.280121
1952-11-28,281.463531
1952-11-29,275.215820
1952-11-30,275.937347
1952-12-01,281.636597
1952-12-02,278.565704
1952-12-03,271.940521
1952-12-04,276.018951
1952-12-05,277.403534
1952-12-06,277.068176
1952-12-07,281.167175
1952-12-08,278.697449
1952-12-09,281.714966
1952-12-10,279.722260
1952-12-11,280.045502
1952-12-12,286.223022
1952-12-13,287.324127
1952-12-14,282.378754
1952-12-15,279.404633
1952-12-16,276.421326
1952-12-17,278.569275
1952-12-18,276.970734
1952-12-19,278.823181
1952-12-20,280.965027
1952-12-21,282.158966
1952-12-22,281.834137
1952-12-23,279.491791
1952-12-24,275.050140
1952-12-25,280.396698
1952-12-26,273.986115
1952-12-27,269.061035
1952-12-28,269.241852
1952-12-29,273.356720
1952-12-30,281.096863
1952-12-31,282.486115
1953-01-01,282.366058
1953-01-02,282.243286
1953-01-03,283.065735
1953-01-04,283.281891
1953-01-05,267.241486
1953-01-06,269.314209
1953-01-07,274.120270
1953-01-08,274.091949
1953-01-09,273.784363
1953-01-10,275.512054
1953-01-11,282.512634
1953-01-12,282.782990
1953-01-13,286.992249
1953-01-14,287.323883
1953-01-15,286.948914
1953-01-16,284.191376
1953-01-17,282.300629
1953-01-18,281.090363
1953-01-19,274.419830
1953-01-20,268.960327
1953-01-21,272.655792
1953-01-22,284.567596
1953-01-23,280.436340
1953-01-24,273.343872
1953-01-25,279.052765
1953-01-26,277.453339
1953-01-27,274.586639
1953-01-28,273.716309
1953-01-29,276.266907
1953-01-30,275.586334
1953-01-31,278.041534
