#Variables:
#tasmin_HadGEM2-ES365_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_HadGEM2-ES365_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_HadGEM2-ES365_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-ES365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_HadGEM2-ES365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_HadGEM2-ES365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_HadGEM2-ES365_historical(K),tasmax_HadGEM2-ES365_historical(K),pr_HadGEM2-ES365_historical(mm)"
""
yyyy-mm-dd,tasmin_HadGEM2-ES365_historical(K),tasmax_HadGEM2-ES365_historical(K),pr_HadGEM2-ES365_historical(mm)
1950-04-05,290.454956,302.499969,0.000000
1950-04-06,287.685669,303.095856,1.043358
1950-04-07,289.448975,301.975281,0.000000
1950-04-08,292.177673,302.471130,0.000000
1950-04-09,292.551361,304.098633,0.000000
1950-04-10,290.671265,307.784088,0.000000
1950-04-11,290.275604,309.499329,0.000000
1950-04-12,291.530975,308.154053,0.000000
1950-04-13,294.578644,307.844452,0.000000
1950-04-14,288.489288,302.744202,0.000000
1950-04-15,282.262360,299.951416,0.000000
1950-04-16,281.246765,300.811890,0.000000
1950-04-17,284.547089,301.930359,0.000000
1950-04-18,287.858215,303.336670,0.000000
1950-04-19,289.827698,302.788452,0.000000
1950-04-20,291.073425,302.048798,15.666224
1950-04-21,287.906677,301.571320,12.333733
1950-04-22,285.355164,302.797760,0.000000
1950-04-23,285.783600,303.665253,0.000000
1950-04-24,287.975647,303.946472,0.000000
1950-04-25,292.705902,306.024384,1.898535
1950-04-26,293.250671,306.818726,1.705941
1950-04-27,291.912689,304.180969,0.000000
1950-04-28,291.812531,305.970398,0.000000
1950-04-29,293.138428,308.888367,0.000000
1950-04-30,293.975830,307.795898,0.000000
1950-05-01,293.394165,306.933228,0.000000
1950-05-02,291.767120,304.545471,0.783352
1950-05-03,286.641022,299.445892,0.000000
1950-05-04,285.805420,301.210236,0.000000
1950-05-05,287.185638,306.556427,0.000000
1950-05-06,290.551727,308.702087,0.000000
1950-05-07,291.352112,310.109100,0.000000
1950-05-08,292.408508,309.411774,0.000000
1950-05-09,294.194733,307.363312,0.000000
1950-05-10,294.579041,307.755554,0.000000
1950-05-11,294.795959,309.597656,0.000000
1950-05-12,294.078796,310.683044,0.000000
1950-05-13,293.330475,311.167419,0.724350
1950-05-14,293.034607,309.056641,0.000000
1950-05-15,292.361420,309.965179,0.000000
1950-05-16,293.132721,308.327118,0.000000
1950-05-17,293.967377,308.368347,0.000000
1950-05-18,294.619934,308.891724,0.000000
1950-05-19,295.365051,309.064240,0.000000
1950-05-20,295.229492,308.251678,0.000000
1950-05-21,295.000610,306.288879,0.000000
1950-05-22,295.498596,305.591797,0.000000
1950-05-23,293.661652,302.597687,15.419665
1950-05-24,292.192627,297.739777,6.191731
1950-05-25,291.399780,300.661194,0.000000
1950-05-26,291.340088,305.346405,0.000000
1950-05-27,294.680450,306.087494,0.000000
1950-05-28,292.714172,305.389587,0.000000
1950-05-29,294.463196,306.908997,0.000000
1950-05-30,294.404053,306.906494,0.000000
1950-05-31,294.282806,306.972656,0.000000
1950-06-01,294.578827,307.758392,0.000000
1950-06-02,293.379669,307.722534,0.000000
1950-06-03,293.729004,308.164673,0.000000
1950-06-04,293.512115,309.423004,0.000000
1950-06-05,293.527985,311.136322,0.000000
1950-06-06,296.985962,310.548828,0.000000
1950-06-07,297.528015,310.122070,0.000000
1950-06-08,295.695129,309.704620,0.000000
1950-06-09,294.264557,308.863678,0.000000
1950-06-10,292.680206,308.063721,0.000000
1950-06-11,292.194153,308.148102,0.000000
1950-06-12,291.900909,309.117462,0.000000
1950-06-13,292.467499,311.036621,0.000000
1950-06-14,295.373047,313.269867,0.000000
1950-06-15,297.951599,312.689301,0.000000
1950-06-16,297.888794,311.696625,0.000000
1950-06-17,298.950409,311.050720,0.000000
1950-06-18,299.241272,309.574371,25.362955
1950-06-19,297.090179,304.902130,33.976856
1950-06-20,296.702271,304.071136,48.532413
1950-06-21,297.135498,306.215271,5.939280
1950-06-22,296.853760,306.049438,3.623827
1950-06-23,296.604858,305.948090,4.146979
1950-06-24,296.555145,305.058929,18.223257
1950-06-25,296.661133,302.831390,11.400196
1950-06-26,296.254547,302.245117,31.815855
1950-06-27,296.771149,300.430847,32.366405
1950-06-28,296.076080,299.727448,27.210352
1950-06-29,296.931580,301.184845,5.836633
1950-06-30,296.388214,304.171844,8.280269
1950-07-01,295.320251,305.186462,5.547354
1950-07-02,295.115997,306.019104,0.000000
1950-07-03,294.903625,305.939606,0.000000
1950-07-04,294.531616,306.375610,0.000000
1950-07-05,294.127930,306.722107,0.000000
1950-07-06,295.061737,306.904816,0.000000
1950-07-07,295.759674,306.944885,0.000000
1950-07-08,295.885406,306.708527,0.000000
1950-07-09,296.644745,307.224335,0.000000
1950-07-10,296.525848,307.437988,0.000000
1950-07-11,296.795197,307.654358,0.000000
1950-07-12,296.300903,307.922821,0.000000
1950-07-13,295.574158,308.437225,0.000000
1950-07-14,295.397369,309.747498,0.000000
1950-07-15,296.157104,310.356171,0.000000
1950-07-16,296.645416,310.120728,0.000000
1950-07-17,296.585693,309.369415,0.000000
1950-07-18,296.231873,309.520111,0.000000
1950-07-19,296.048584,309.876862,0.000000
1950-07-20,296.423157,309.197571,0.000000
1950-07-21,297.224060,308.630951,0.000000
1950-07-22,296.745972,309.572113,0.000000
1950-07-23,296.395508,309.827362,0.000000
1950-07-24,295.938232,309.938232,0.000000
1950-07-25,295.911072,309.375122,0.000000
1950-07-26,296.811005,309.644836,0.000000
1950-07-27,296.473267,309.649628,0.000000
1950-07-28,296.394806,309.423035,0.000000
1950-07-29,297.082703,309.538910,0.000000
1950-07-30,296.719391,309.699280,0.303256
1950-07-31,295.800964,309.261078,0.000000
1950-08-01,295.935059,308.643433,0.000000
1950-08-02,296.536072,309.162292,0.000000
1950-08-03,296.620239,309.675629,0.000000
1950-08-04,296.194489,310.305084,0.000000
1950-08-05,297.204987,310.835205,0.000000
1950-08-06,298.171692,309.902740,0.000000
1950-08-07,297.628571,309.039703,0.577377
1950-08-08,297.165314,308.667084,0.000000
1950-08-09,297.460724,309.221527,0.735004
1950-08-10,297.837463,307.580536,1.766276
1950-08-11,297.712585,308.544098,6.738497
1950-08-12,296.694763,307.280701,1.173722
1950-08-13,296.539856,307.380432,0.831577
1950-08-14,296.854340,306.400238,0.753600
1950-08-15,297.438812,305.841888,1.875175
1950-08-16,297.105682,306.671173,0.000000
1950-08-17,295.632141,306.519104,0.000000
1950-08-18,296.474060,306.287811,0.000000
1950-08-19,296.936157,307.464478,0.000000
1950-08-20,296.180786,308.871613,0.000000
1950-08-21,296.689087,308.498505,0.000000
1950-08-22,296.316101,306.993835,3.281300
1950-08-23,298.315033,306.740295,11.219718
1950-08-24,298.446625,306.065125,10.317804
1950-08-25,296.360809,305.429443,0.000000
1950-08-26,295.569733,306.865143,0.000000
1950-08-27,295.179474,307.846527,0.000000
1950-08-28,295.054840,308.653870,0.000000
1950-08-29,294.170227,308.105103,0.000000
1950-08-30,293.625244,308.462158,0.000000
1950-08-31,292.702484,308.488800,0.000000
1950-09-01,292.481506,308.336395,0.000000
1950-09-02,293.358307,308.523956,0.000000
1950-09-03,294.411682,308.349121,0.000000
1950-09-04,294.603394,307.478333,0.000000
1950-09-05,294.984009,305.579651,6.747284
1950-09-06,294.450989,305.434357,27.327990
1950-09-07,294.431152,304.320648,30.491577
1950-09-08,294.494415,304.131165,39.996365
1950-09-09,295.267242,304.614319,22.168966
1950-09-10,295.671600,303.898376,9.076675
1950-09-11,297.162140,304.979584,2.463043
1950-09-12,299.277222,304.973083,0.000000
1950-09-13,297.911438,306.038452,0.000000
1950-09-14,295.650299,306.319885,0.000000
1950-09-15,294.665741,306.275513,0.000000
1950-09-16,294.376129,306.002167,0.000000
1950-09-17,293.804321,305.866211,0.000000
1950-09-18,292.689148,305.770752,0.000000
1950-09-19,293.476349,305.264862,0.000000
1950-09-20,293.540802,306.092712,0.000000
1950-09-21,292.450531,306.644806,0.000000
1950-09-22,292.004639,306.099976,0.290353
1950-09-23,292.000641,305.525604,0.000000
1950-09-24,295.494568,306.687042,0.000000
1950-09-25,295.734283,306.229431,0.000000
1950-09-26,297.217712,304.891083,1.892679
1950-09-27,295.694305,304.358765,6.550482
1950-09-28,295.183258,304.959381,3.152073
1950-09-29,294.430298,306.079712,2.137123
1950-09-30,293.499390,306.459900,0.000000
1950-10-01,291.943726,305.313416,0.000000
1950-10-02,290.691040,304.445160,0.000000
1950-10-03,287.634430,304.345581,0.000000
1950-10-04,287.327118,303.607178,0.000000
1950-10-05,286.135040,303.420258,0.000000
1950-10-06,286.129578,303.841187,0.000000
1950-10-07,286.811920,304.804108,0.000000
1950-10-08,290.407043,305.373260,0.000000
1950-10-09,289.686584,304.885986,0.000000
1950-10-10,290.284271,304.428680,0.943826
1950-10-11,291.229034,303.639587,0.000000
1950-10-12,291.198273,302.936981,3.848089
1950-10-13,290.793274,300.984680,0.000000
1950-10-14,281.378143,298.722748,0.000000
1950-10-15,283.170013,304.873718,0.000000
1950-10-16,286.246765,306.328491,0.000000
1950-10-17,287.900879,305.811646,0.000000
1950-10-18,288.692963,304.741364,0.000000
1950-10-19,291.885193,305.127716,0.000000
1950-10-20,292.143036,305.408295,0.000000
1950-10-21,293.218384,306.478210,0.000000
1950-10-22,292.870331,307.311584,0.000000
1950-10-23,293.633362,305.209473,6.870516
1950-10-24,285.785004,298.905151,14.926450
1950-10-25,281.443390,293.049103,0.000000
1950-10-26,282.342010,291.395538,0.000000
1950-10-27,283.619354,295.848145,0.000000
1950-10-28,285.446960,298.107697,0.000000
1950-10-29,286.747101,298.473328,0.000000
1950-10-30,286.461334,299.671234,0.000000
1950-10-31,288.578888,302.814209,0.000000
1950-11-01,287.316345,300.771545,0.000000
1950-11-02,285.239624,294.033661,3.595306
1950-11-03,284.406219,295.471436,0.907093
1950-11-04,281.395660,295.523651,3.005942
1950-11-05,276.722565,288.800110,0.751958
1950-11-06,275.238495,289.691925,0.000000
1950-11-07,274.986237,294.414154,0.000000
1950-11-08,276.096497,296.772491,0.000000
1950-11-09,279.036957,298.356781,0.000000
1950-11-10,279.547333,301.000824,0.000000
1950-11-11,280.377960,301.886414,0.000000
1950-11-12,284.938660,301.385651,0.000000
1950-11-13,286.903320,301.531708,0.000000
1950-11-14,284.232971,301.265198,0.000000
1950-11-15,282.440186,300.976196,0.000000
1950-11-16,285.706451,301.149933,0.000000
1950-11-17,287.458466,300.797180,0.000000
1950-11-18,286.510437,300.510101,0.000000
1950-11-19,287.726776,300.861542,0.000000
1950-11-20,287.309052,302.133484,0.000000
1950-11-21,286.516357,303.223358,0.000000
1950-11-22,289.042633,300.904236,0.000000
1950-11-23,287.515442,297.362610,19.162123
1950-11-24,285.174683,292.823486,11.213419
1950-11-25,284.498322,291.863983,2.287891
1950-11-26,283.777802,291.506592,0.000000
1950-11-27,282.275879,291.609100,0.000000
1950-11-28,279.746674,289.398773,0.000000
1950-11-29,278.663086,291.982208,0.000000
1950-11-30,276.779449,293.679321,0.000000
1950-12-01,278.260864,296.505035,0.000000
1950-12-02,283.142303,297.811310,0.000000
1950-12-03,279.767639,294.654602,0.000000
1950-12-04,271.500702,287.458984,0.000000
1950-12-05,269.273254,281.003937,0.000000
1950-12-06,271.484833,286.399872,0.000000
1950-12-07,270.320587,289.709686,0.000000
1950-12-08,272.396118,286.537262,0.000000
1950-12-09,273.265198,281.631927,5.083546
1950-12-10,275.056580,280.282257,1.611003
1950-12-11,275.022827,283.565979,0.000000
1950-12-12,276.838470,289.229797,0.000000
1950-12-13,277.635010,292.745239,0.000000
1950-12-14,282.286102,296.182037,0.312961
1950-12-15,277.861908,292.918091,0.000000
1950-12-16,271.957886,291.332977,0.000000
1950-12-17,275.646545,292.823090,0.000000
1950-12-18,276.901886,294.502014,0.000000
1950-12-19,275.010468,288.895966,0.000000
1950-12-20,279.406128,289.771027,0.000000
1950-12-21,279.278259,290.157776,0.402117
1950-12-22,271.796204,292.524414,0.000000
1950-12-23,274.690308,295.425629,0.000000
1950-12-24,274.747894,296.476685,0.000000
1950-12-25,276.355988,297.721039,0.000000
1950-12-26,277.360382,291.685516,0.000000
1950-12-27,278.098511,292.917175,0.000000
1950-12-28,284.812378,294.341400,3.899028
1950-12-29,284.430908,292.136841,48.736042
1950-12-30,281.061127,292.118530,12.748952
1950-12-31,278.642822,285.501556,3.474541
1951-01-01,275.407684,285.309967,2.671154
1951-01-02,273.381958,286.893280,0.000000
1951-01-03,272.077728,290.291168,0.000000
1951-01-04,275.586243,292.272003,0.000000
1951-01-05,279.292633,293.250153,0.000000
1951-01-06,278.326050,290.304688,0.000000
1951-01-07,273.212250,289.431458,0.000000
1951-01-08,272.509247,287.435760,0.000000
1951-01-09,281.306396,289.851013,2.132494
1951-01-10,275.035797,290.640442,4.981871
1951-01-11,272.469025,279.961304,2.528877
1951-01-12,271.491150,280.157135,0.000000
1951-01-13,275.506287,281.872894,0.000000
1951-01-14,275.030548,289.553894,0.000000
1951-01-15,276.527710,293.305176,0.000000
1951-01-16,281.368347,294.326172,0.000000
1951-01-17,284.884094,294.944183,0.385103
1951-01-18,280.681763,292.667328,1.355531
1951-01-19,281.412903,290.291992,2.175504
1951-01-20,281.913025,294.931580,0.341218
1951-01-21,282.607422,293.705475,0.000000
1951-01-22,278.708740,290.124603,0.000000
1951-01-23,275.207184,290.016113,0.000000
1951-01-24,276.876007,289.705688,0.000000
1951-01-25,275.218140,290.506592,0.000000
1951-01-26,279.966644,294.578766,0.000000
1951-01-27,281.996918,297.098297,0.000000
1951-01-28,283.961975,297.366943,2.097587
1951-01-29,280.795135,296.094543,0.373846
1951-01-30,276.368195,290.650696,0.000000
1951-01-31,280.411896,287.347504,2.826108
1951-02-01,285.267609,290.608154,1.261472
1951-02-02,284.042419,294.808289,0.000000
1951-02-03,281.242004,298.428223,0.000000
1951-02-04,281.766815,301.116394,0.000000
1951-02-05,281.939758,300.072540,0.000000
1951-02-06,276.196808,294.296051,0.000000
1951-02-07,275.983521,291.922058,0.000000
1951-02-08,281.425323,296.231537,0.000000
1951-02-09,282.555969,299.508209,0.000000
1951-02-10,281.529236,301.297363,0.000000
1951-02-11,283.598267,301.652466,0.000000
1951-02-12,286.098694,301.468414,0.000000
1951-02-13,282.321899,301.411896,0.000000
1951-02-14,273.258148,294.006805,0.000000
1951-02-15,272.576630,289.464752,0.000000
1951-02-16,275.640442,295.588623,0.000000
1951-02-17,279.525696,300.196747,0.000000
1951-02-18,279.610474,302.071381,0.000000
1951-02-19,277.358856,300.652527,0.000000
1951-02-20,280.510162,303.386719,0.000000
1951-02-21,283.024872,305.633636,0.000000
1951-02-22,285.817047,302.972687,0.000000
1951-02-23,288.240112,302.135040,0.569068
1951-02-24,288.246246,303.922333,2.684423
1951-02-25,289.347534,302.590607,2.699865
1951-02-26,288.913696,305.466888,10.077208
1951-02-27,286.403625,299.110535,16.778732
1951-02-28,284.350983,294.203003,19.299303
1951-03-01,284.466919,291.132263,20.608379
1951-03-02,284.140045,295.222229,15.643853
1951-03-03,280.530426,299.210510,0.000000
1951-03-04,283.266296,295.981140,1.373534
1951-03-05,286.939362,296.369293,0.000000
1951-03-06,288.794037,298.995148,7.629443
1951-03-07,291.304291,300.910522,4.161484
1951-03-08,289.400757,299.367615,3.398196
1951-03-09,279.949371,296.961029,0.000000
1951-03-10,287.529724,296.717438,0.618975
1951-03-11,288.062408,300.527344,2.432154
1951-03-12,288.263031,298.415161,3.892021
1951-03-13,278.052307,292.067871,0.000000
1951-03-14,280.864258,292.853180,0.000000
1951-03-15,282.762177,291.435608,0.000000
1951-03-16,284.481262,290.654358,0.000000
1951-03-17,287.391327,296.158905,0.000000
1951-03-18,288.158600,302.062317,0.000000
1951-03-19,287.714142,302.089478,0.000000
1951-03-20,289.517090,303.250885,0.000000
1951-03-21,289.620941,301.393280,0.000000
1951-03-22,284.596893,293.730377,0.359077
1951-03-23,281.747772,291.419281,0.000000
1951-03-24,280.857819,293.599060,0.000000
1951-03-25,282.649170,295.901459,0.000000
1951-03-26,286.732758,295.878967,0.000000
1951-03-27,288.932922,300.404449,0.000000
1951-03-28,288.959656,300.761292,7.117033
1951-03-29,286.112244,294.598083,2.312096
1951-03-30,284.403534,292.233765,0.000000
1951-03-31,282.116852,295.989685,0.000000
1951-04-01,285.169922,296.787231,0.000000
1951-04-02,286.733337,296.902130,0.000000
1951-04-03,284.119263,298.188934,0.000000
1951-04-04,281.553955,298.352814,0.000000
1951-04-05,281.398743,299.215332,0.000000
1951-04-06,283.338104,298.610809,0.000000
1951-04-07,287.206482,298.224518,0.000000
1951-04-08,288.785950,294.882874,2.128102
1951-04-09,289.665161,300.642609,1.304942
1951-04-10,289.560974,302.917938,0.525877
1951-04-11,288.661133,300.506409,0.000000
1951-04-12,286.679504,297.106598,0.422523
1951-04-13,285.604065,292.106323,0.337117
1951-04-14,286.429443,292.092804,1.829602
1951-04-15,288.749268,294.773346,11.998631
1951-04-16,291.709442,298.644318,12.894490
1951-04-17,292.520538,299.579712,32.809288
1951-04-18,291.819244,300.218628,13.598930
1951-04-19,293.656403,301.368378,2.993509
1951-04-20,292.784637,301.683990,3.979924
1951-04-21,291.986511,303.644684,7.066101
1951-04-22,290.164368,305.811310,0.000000
1951-04-23,291.546295,305.673889,0.000000
1951-04-24,293.245636,305.853119,0.000000
1951-04-25,293.158813,306.753540,0.000000
1951-04-26,293.327820,305.531982,0.000000
1951-04-27,293.837921,305.652130,0.000000
1951-04-28,293.650940,306.875153,0.000000
1951-04-29,293.258820,306.250885,2.327023
1951-04-30,292.602295,300.703522,13.177500
1951-05-01,291.226501,295.328857,8.407222
1951-05-02,288.641083,294.062653,0.000000
1951-05-03,288.785553,295.913910,0.000000
1951-05-04,293.121796,300.273407,0.816637
1951-05-05,294.669495,302.532379,0.711078
1951-05-06,294.087860,303.001129,1.008811
1951-05-07,293.148590,303.648346,0.000000
1951-05-08,293.235901,302.934326,0.000000
1951-05-09,293.612671,303.631805,0.283354
1951-05-10,293.366760,303.707367,1.384364
1951-05-11,293.237152,303.143372,7.292423
1951-05-12,292.962921,301.004181,4.201115
1951-05-13,292.180634,300.998413,0.845698
1951-05-14,291.740784,302.228638,0.000000
1951-05-15,291.518555,303.043274,0.320187
1951-05-16,292.598969,301.339111,4.525687
1951-05-17,292.937195,300.735748,2.979894
1951-05-18,292.667786,301.361298,3.508849
1951-05-19,292.746735,303.025055,1.615985
1951-05-20,292.921631,302.377319,1.461216
1951-05-21,293.810425,301.288025,6.176157
1951-05-22,294.856201,299.870331,12.161847
1951-05-23,292.974792,298.913422,11.941747
1951-05-24,292.711090,301.010254,0.825507
1951-05-25,292.094513,301.002808,0.000000
1951-05-26,290.548218,303.566803,1.049358
1951-05-27,292.190247,303.148407,7.511878
1951-05-28,292.811127,300.590576,19.753017
1951-05-29,291.115753,296.739166,45.300945
1951-05-30,287.270355,297.830994,0.000000
1951-05-31,288.096893,300.567261,0.000000
1951-06-01,288.608612,302.985535,0.000000
1951-06-02,291.068878,303.898071,0.554876
1951-06-03,292.955322,303.640808,8.617917
1951-06-04,294.982880,302.274902,18.935503
1951-06-05,294.822906,300.332397,7.617608
1951-06-06,294.237457,300.277252,20.643873
1951-06-07,293.366394,300.970001,39.220150
1951-06-08,294.496979,304.546265,20.379984
1951-06-09,295.393921,305.357361,2.790244
1951-06-10,295.776642,305.375916,0.000000
1951-06-11,296.323212,305.445831,0.000000
1951-06-12,295.906616,305.488434,0.000000
1951-06-13,295.767242,305.811279,0.000000
1951-06-14,295.349243,305.290863,0.000000
1951-06-15,295.200134,304.316437,0.000000
1951-06-16,295.029083,303.577148,0.000000
1951-06-17,295.484558,303.574554,1.998126
1951-06-18,295.642975,304.174805,3.085912
1951-06-19,295.859833,303.813721,3.067028
1951-06-20,295.475250,302.934662,2.785908
1951-06-21,295.491119,302.408813,5.380557
1951-06-22,294.562500,303.047821,4.354275
1951-06-23,294.873779,301.170868,25.008305
1951-06-24,295.339508,300.151550,21.379534
1951-06-25,295.243744,300.850067,18.604187
1951-06-26,297.414337,303.029053,0.000000
1951-06-27,297.180786,302.561035,0.000000
1951-06-28,296.658875,302.974640,0.000000
1951-06-29,296.887360,303.050201,0.000000
1951-06-30,297.132172,303.646271,0.000000
1951-07-01,297.174713,302.802490,0.000000
1951-07-02,296.426392,303.146393,0.340338
1951-07-03,295.270294,304.804077,0.000000
1951-07-04,294.569153,305.715637,0.000000
1951-07-05,294.571320,305.844543,0.000000
1951-07-06,295.375214,305.937225,0.000000
1951-07-07,295.744019,306.087830,0.000000
1951-07-08,295.419067,306.041260,0.000000
1951-07-09,295.152405,306.290894,0.000000
1951-07-10,295.040710,306.470032,0.000000
1951-07-11,295.376953,307.338348,0.000000
1951-07-12,295.047913,307.485992,0.000000
1951-07-13,295.195312,307.534546,0.000000
1951-07-14,295.482422,307.167908,0.000000
1951-07-15,295.748383,307.683289,0.000000
1951-07-16,296.011230,307.688110,0.000000
1951-07-17,296.265259,307.338196,0.290226
1951-07-18,296.018341,307.844574,1.033841
1951-07-19,295.989105,307.839233,0.000000
1951-07-20,295.853302,307.521393,1.362373
1951-07-21,295.926880,308.370361,0.000000
1951-07-22,296.088867,308.790314,0.000000
1951-07-23,296.315979,308.651093,0.000000
1951-07-24,296.782471,308.018524,0.792194
1951-07-25,296.196381,307.875519,0.000000
1951-07-26,296.027161,308.131897,0.000000
1951-07-27,295.738220,308.695557,0.000000
1951-07-28,295.424072,308.686035,0.000000
1951-07-29,295.383057,308.570435,0.000000
1951-07-30,295.496948,308.421417,0.000000
1951-07-31,295.897308,309.451477,0.000000
1951-08-01,296.117767,310.087463,0.000000
1951-08-02,296.372162,309.857300,0.000000
1951-08-03,296.386841,309.727234,0.000000
1951-08-04,296.893066,310.090240,0.000000
1951-08-05,296.981079,310.202118,0.000000
1951-08-06,296.749847,310.215393,0.000000
1951-08-07,296.393707,310.467896,0.000000
1951-08-08,296.975708,310.898224,0.000000
1951-08-09,297.202332,309.785248,0.000000
1951-08-10,297.123230,310.087341,0.000000
1951-08-11,299.228271,310.625763,0.000000
1951-08-12,299.723694,311.074860,0.000000
