#Variables:
#tasmin_NorESM1-M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_NorESM1-M_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,tasmin_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K),pr_NorESM1-M_rcp85(mm)
2006-03-21,288.320557,297.312958,2.842459
2006-03-22,289.083588,302.616669,5.032755
2006-03-23,289.874969,299.880310,5.026763
2006-03-24,289.707733,301.164093,17.177956
2006-03-25,286.173798,300.035675,0.998692
2006-03-26,281.951447,299.002350,0.000000
2006-03-27,286.459167,301.670166,0.000000
2006-03-28,290.932953,302.835724,0.000000
2006-03-29,291.415924,300.028290,1.714473
2006-03-30,291.221069,299.744812,5.187059
2006-03-31,291.792786,299.106537,13.429826
2006-04-01,287.297119,291.926819,5.723427
2006-04-02,289.164948,293.379517,6.932653
2006-04-03,288.015717,292.319519,2.349380
2006-04-04,285.674805,294.377808,0.000000
2006-04-05,286.710114,294.383148,0.391370
2006-04-06,288.087769,291.091339,31.591980
2006-04-07,282.309723,289.892914,9.337369
2006-04-08,281.162201,288.922516,0.000000
2006-04-09,281.867798,290.261536,0.000000
2006-04-10,284.746704,297.835876,0.000000
2006-04-11,283.780273,296.936279,0.000000
2006-04-12,288.380890,298.274506,30.125139
2006-04-13,284.743622,294.836853,0.843610
2006-04-14,278.964783,291.806946,0.000000
2006-04-15,279.859100,296.492889,0.000000
2006-04-16,284.825958,299.525757,0.000000
2006-04-17,286.632233,296.362061,0.000000
2006-04-18,284.720703,294.855286,0.000000
2006-04-19,285.931274,299.977173,0.000000
2006-04-20,289.594696,297.362823,4.617422
2006-04-21,287.749329,297.432495,0.000000
2006-04-22,287.972656,299.748810,0.000000
2006-04-23,289.792908,304.194092,0.000000
2006-04-24,290.078339,305.010376,0.000000
2006-04-25,288.907196,305.170471,0.000000
2006-04-26,287.982544,304.960205,0.000000
2006-04-27,287.244263,304.584686,0.000000
2006-04-28,288.380249,301.901764,0.000000
2006-04-29,288.712677,302.324005,0.280521
2006-04-30,289.251495,299.501465,0.291389
2006-05-01,288.992615,299.324310,0.000000
2006-05-02,287.593445,300.449768,0.000000
2006-05-03,287.746307,300.678345,0.000000
2006-05-04,288.628143,301.588287,0.000000
2006-05-05,288.638550,302.463745,0.000000
2006-05-06,289.983185,304.551086,0.000000
2006-05-07,290.985931,305.077332,0.000000
2006-05-08,292.789154,303.023590,0.000000
2006-05-09,293.560913,302.715057,0.000000
2006-05-10,294.004791,301.444641,1.443472
2006-05-11,294.099335,301.803497,0.000000
2006-05-12,294.209045,299.173004,6.182201
2006-05-13,294.206818,296.825378,18.828806
2006-05-14,294.767883,301.358612,0.954895
2006-05-15,294.191345,301.408722,0.000000
2006-05-16,293.273193,299.560181,4.409373
2006-05-17,294.103424,297.635559,48.548248
2006-05-18,291.519714,295.863312,18.198687
2006-05-19,290.400940,301.877319,0.321932
2006-05-20,293.679901,306.942474,0.000000
2006-05-21,295.065155,306.472473,0.000000
2006-05-22,291.623993,303.462860,0.000000
2006-05-23,291.535858,304.605652,0.000000
2006-05-24,293.434998,304.493958,0.000000
2006-05-25,293.684692,303.910492,0.000000
2006-05-26,293.081299,304.908752,0.000000
2006-05-27,295.414398,306.155090,3.737471
2006-05-28,296.745911,306.082855,8.154699
2006-05-29,297.403992,305.276062,17.053127
2006-05-30,296.024445,308.939606,1.185658
2006-05-31,297.005981,309.257324,0.000000
2006-06-01,296.910431,309.049713,0.000000
2006-06-02,296.346619,308.519348,0.000000
2006-06-03,296.255310,309.046661,0.000000
2006-06-04,297.106964,309.004822,6.103365
2006-06-05,296.896301,304.300018,23.182846
2006-06-06,295.388611,299.321960,33.950336
2006-06-07,295.901733,301.788788,3.348736
2006-06-08,296.895508,305.131378,1.234027
2006-06-09,297.325287,306.832703,0.000000
2006-06-10,296.290009,307.233917,8.350095
2006-06-11,295.863983,307.041718,0.000000
2006-06-12,295.689941,306.656647,0.000000
2006-06-13,295.860138,304.463898,6.552439
2006-06-14,296.489349,305.503998,3.605776
2006-06-15,295.794617,302.894562,0.401637
2006-06-16,296.148865,301.976135,7.555188
2006-06-17,296.542267,301.229034,0.000000
2006-06-18,295.836517,302.751587,0.000000
2006-06-19,294.844879,302.456757,0.000000
2006-06-20,294.953735,303.767273,0.000000
2006-06-21,295.493195,304.958221,0.000000
2006-06-22,295.428680,305.742401,0.000000
2006-06-23,295.502136,307.368439,0.000000
2006-06-24,296.542633,308.958221,0.000000
2006-06-25,297.522919,309.538910,0.000000
2006-06-26,297.317169,309.858551,0.000000
2006-06-27,297.063568,309.115173,0.000000
2006-06-28,296.822266,308.041290,1.434009
2006-06-29,296.621521,309.713074,0.000000
2006-06-30,296.389496,310.273804,0.000000
2006-07-01,296.348969,311.019989,0.000000
2006-07-02,296.466248,311.589661,0.000000
2006-07-03,296.841064,312.084137,0.000000
2006-07-04,297.038208,311.355347,0.826118
2006-07-05,297.124695,310.364227,1.707143
2006-07-06,297.185028,310.109436,0.000000
2006-07-07,298.405762,310.131897,0.000000
2006-07-08,297.879303,310.879730,0.000000
2006-07-09,297.644165,308.959991,0.000000
2006-07-10,297.189880,308.537140,0.802305
2006-07-11,296.649139,309.665436,0.000000
2006-07-12,296.439331,311.559479,0.000000
2006-07-13,296.208099,312.089081,0.000000
2006-07-14,296.493195,309.379211,0.000000
2006-07-15,296.890289,308.635437,0.000000
2006-07-16,297.033630,310.295471,0.000000
2006-07-17,297.129028,312.937836,0.000000
2006-07-18,298.095917,314.067566,0.305486
2006-07-19,298.738068,313.442780,0.000000
2006-07-20,298.398865,312.830627,0.000000
2006-07-21,298.127136,312.588470,0.000000
2006-07-22,298.043762,312.094635,0.000000
2006-07-23,297.016052,311.429077,0.000000
2006-07-24,297.106384,310.509186,0.340310
2006-07-25,297.520447,310.334534,0.000000
2006-07-26,298.473969,308.458832,4.974724
2006-07-27,297.064667,308.635864,0.000000
2006-07-28,297.471924,309.395752,0.000000
2006-07-29,297.540527,310.115234,0.000000
2006-07-30,297.118195,310.514740,0.652522
2006-07-31,296.738953,309.135315,0.000000
2006-08-01,296.196716,308.673828,4.342925
2006-08-02,297.136780,307.719574,6.174026
2006-08-03,297.827881,305.809296,8.815512
2006-08-04,296.864349,306.996552,2.987525
2006-08-05,296.591888,308.136078,2.483035
2006-08-06,297.049408,309.220795,0.000000
2006-08-07,296.069946,309.259918,0.000000
2006-08-08,295.813690,310.645599,0.000000
2006-08-09,296.588379,312.501923,0.620543
2006-08-10,297.319946,312.987854,0.653206
2006-08-11,298.358978,312.825500,1.242310
2006-08-12,299.193573,310.902252,0.000000
2006-08-13,298.545807,307.739868,10.002503
2006-08-14,297.779694,305.869293,5.084328
2006-08-15,296.807709,306.469330,3.256822
2006-08-16,297.309845,307.989227,1.407212
2006-08-17,297.848175,308.582214,4.446668
2006-08-18,297.534241,308.846039,0.000000
2006-08-19,296.859619,308.748749,0.000000
2006-08-20,297.842316,310.663818,0.000000
2006-08-21,298.407593,312.851227,0.000000
2006-08-22,298.525055,311.100616,0.000000
2006-08-23,297.156982,308.941864,0.299365
2006-08-24,297.905273,307.046692,0.443099
2006-08-25,297.153046,308.478180,0.000000
2006-08-26,296.364716,309.798584,0.766179
2006-08-27,297.389160,310.997955,4.559528
2006-08-28,299.332397,310.492798,5.122570
2006-08-29,300.260223,308.277191,9.902939
2006-08-30,298.473389,308.621124,6.228368
2006-08-31,297.791534,307.076691,0.684889
2006-09-01,296.806610,306.655334,0.000000
2006-09-02,296.622162,308.052368,0.000000
2006-09-03,297.280548,309.805969,0.000000
2006-09-04,297.696442,310.081970,0.000000
2006-09-05,297.200165,308.748047,0.000000
2006-09-06,296.191559,308.693878,0.000000
2006-09-07,296.786896,309.507904,5.672631
2006-09-08,297.820923,304.797791,12.539788
2006-09-09,293.534515,306.239868,0.877669
2006-09-10,293.256500,307.998230,0.000000
2006-09-11,293.761536,307.251251,0.000000
2006-09-12,294.521606,307.185211,0.000000
2006-09-13,294.792877,307.989105,0.000000
2006-09-14,294.592896,306.620117,0.000000
2006-09-15,294.538239,305.385406,3.606346
2006-09-16,294.263428,302.995789,8.400245
2006-09-17,294.040924,303.085938,0.000000
2006-09-18,293.171936,304.471436,0.351038
2006-09-19,293.253632,305.595764,0.000000
2006-09-20,293.916412,306.431274,0.000000
2006-09-21,295.456299,307.111145,0.000000
2006-09-22,296.527100,307.361786,0.000000
2006-09-23,297.447449,306.413574,0.000000
2006-09-24,296.703491,304.816711,1.638178
2006-09-25,296.370636,304.601440,1.792103
2006-09-26,294.910339,305.941925,0.000000
2006-09-27,292.351837,306.855682,0.000000
2006-09-28,294.632812,309.037170,0.536268
2006-09-29,295.387329,307.558319,0.000000
2006-09-30,295.391479,305.560272,0.000000
2006-10-01,294.564362,304.200562,0.391596
2006-10-02,293.183441,304.945679,0.000000
2006-10-03,292.896210,303.886719,2.162986
2006-10-04,291.512146,299.899139,10.197216
2006-10-05,292.696991,301.327515,3.683414
2006-10-06,293.353363,303.260834,5.778221
2006-10-07,293.689880,304.138947,3.095806
2006-10-08,294.378571,303.890991,0.808040
2006-10-09,293.309570,303.963379,0.000000
2006-10-10,292.644897,303.388306,0.000000
2006-10-11,291.144836,302.271057,0.000000
2006-10-12,289.625793,302.796204,0.000000
2006-10-13,290.684235,305.115143,0.916552
2006-10-14,291.581757,304.703613,0.000000
2006-10-15,290.856842,304.345215,0.000000
2006-10-16,290.915894,303.640167,0.000000
2006-10-17,290.349731,304.630707,0.000000
2006-10-18,291.225403,304.162476,0.000000
2006-10-19,289.813416,297.292664,11.218026
2006-10-20,288.103668,296.345337,40.594738
2006-10-21,291.818390,298.774811,0.773480
2006-10-22,291.410675,297.722809,0.000000
2006-10-23,284.294983,292.742859,0.000000
2006-10-24,279.568176,291.470062,0.000000
2006-10-25,279.524353,292.780945,0.000000
2006-10-26,280.744995,291.447235,0.000000
2006-10-27,284.654144,293.121918,0.000000
2006-10-28,282.579895,297.730042,0.000000
2006-10-29,281.029053,299.129761,0.000000
2006-10-30,282.404602,300.182465,0.000000
2006-10-31,284.292084,299.877716,0.000000
2006-11-01,289.719910,297.811829,1.850272
2006-11-02,290.890137,300.746979,0.507729
2006-11-03,290.604614,300.610687,1.161386
2006-11-04,291.201721,301.011566,5.011867
2006-11-05,289.456451,302.103058,0.000000
2006-11-06,288.284790,296.421051,0.000000
2006-11-07,279.771301,294.792755,0.000000
2006-11-08,280.893646,298.296722,0.000000
2006-11-09,288.490417,302.984833,0.000000
2006-11-10,289.491638,301.787933,0.000000
2006-11-11,284.334015,297.050385,0.000000
2006-11-12,281.640350,299.367676,0.000000
2006-11-13,282.094452,299.142853,0.000000
2006-11-14,286.973358,297.816711,0.477512
2006-11-15,288.917114,300.593964,0.499421
2006-11-16,289.988922,302.553070,4.736190
2006-11-17,282.073608,296.827301,0.484821
2006-11-18,277.576843,298.085999,0.000000
2006-11-19,283.040314,300.536560,0.000000
2006-11-20,285.665558,302.442230,0.000000
2006-11-21,287.173615,302.786713,0.000000
2006-11-22,287.225281,302.170288,1.037664
2006-11-23,288.028534,302.689117,0.000000
2006-11-24,288.201019,304.014771,0.000000
2006-11-25,289.028259,302.073608,0.000000
2006-11-26,284.325806,298.063477,0.000000
2006-11-27,280.638580,290.179962,0.000000
2006-11-28,278.739288,284.815918,5.518956
2006-11-29,279.657745,284.070007,5.612766
2006-11-30,277.819092,284.936310,7.516685
2006-12-01,278.148926,284.815552,0.000000
2006-12-02,274.600311,285.499176,0.280664
2006-12-03,276.379486,284.420563,0.000000
2006-12-04,279.546814,284.297241,3.103510
2006-12-05,279.773285,284.207611,9.473427
2006-12-06,278.686401,283.584045,2.604321
2006-12-07,279.479095,296.654785,0.000000
2006-12-08,282.326019,298.083740,0.000000
2006-12-09,282.689514,298.750427,0.000000
2006-12-10,284.452118,299.950012,0.000000
2006-12-11,271.666595,290.987061,0.000000
2006-12-12,271.131836,284.867889,0.000000
2006-12-13,279.232819,291.141571,12.051517
2006-12-14,279.902313,289.104828,4.817910
2006-12-15,268.674438,281.262390,4.743787
2006-12-16,269.036377,273.408600,1.429138
2006-12-17,271.762207,277.992584,0.000000
2006-12-18,274.879242,283.815765,0.000000
2006-12-19,281.427094,290.809998,6.738734
2006-12-20,285.684052,297.094360,6.830757
2006-12-21,280.917816,289.611908,0.000000
2006-12-22,276.540924,291.941162,0.000000
2006-12-23,276.547363,296.374725,0.000000
2006-12-24,279.935303,297.189911,0.000000
2006-12-25,278.048584,295.896912,0.000000
2006-12-26,282.865021,298.170532,0.414418
2006-12-27,282.570557,295.240662,4.906797
2006-12-28,268.402161,284.581329,0.788491
2006-12-29,267.561523,283.296814,0.000000
2006-12-30,271.944733,283.079071,0.000000
2006-12-31,275.628082,286.481964,0.000000
2007-01-01,277.933716,292.679443,0.460268
2007-01-02,274.912415,289.665161,0.000000
2007-01-03,276.982727,293.492432,0.000000
2007-01-04,279.987457,296.363373,0.000000
2007-01-05,279.952759,295.638702,0.000000
2007-01-06,277.442352,293.911713,0.000000
2007-01-07,280.695618,294.295746,0.000000
2007-01-08,283.098175,298.864624,0.000000
2007-01-09,282.605988,291.880920,0.000000
2007-01-10,274.048157,290.602417,0.000000
2007-01-11,273.651337,290.690765,0.000000
2007-01-12,274.353699,291.987518,0.000000
2007-01-13,279.170715,291.628052,0.000000
2007-01-14,279.872467,294.890228,0.000000
2007-01-15,278.054962,295.671600,0.321255
2007-01-16,278.232758,295.846771,0.000000
2007-01-17,280.698792,295.194183,0.000000
2007-01-18,279.970459,290.255280,7.711883
2007-01-19,285.164062,294.176208,5.098581
2007-01-20,287.400146,296.188812,4.015511
2007-01-21,285.279144,292.465637,0.594047
2007-01-22,288.892639,297.924774,7.665421
2007-01-23,289.031616,297.998688,1.224584
2007-01-24,289.529999,297.569336,4.166393
2007-01-25,288.899231,298.121765,4.979849
2007-01-26,289.360138,299.104492,2.773515
2007-01-27,282.740997,295.209045,2.344306
2007-01-28,278.818634,286.564819,3.233709
2007-01-29,282.959473,296.388580,5.652248
2007-01-30,286.181824,300.039337,0.000000
2007-01-31,285.280304,301.443024,0.000000
2007-02-01,287.713074,295.943573,0.733312
2007-02-02,288.260468,296.734406,2.780460
2007-02-03,288.722076,301.259308,1.423864
2007-02-04,287.803406,300.642548,1.222166
2007-02-05,277.305603,291.552368,4.245069
2007-02-06,272.194153,281.200317,0.413240
2007-02-07,268.779449,284.142517,0.000000
2007-02-08,273.193390,290.547852,0.000000
2007-02-09,276.663208,296.031799,0.000000
2007-02-10,278.830353,297.817535,0.000000
2007-02-11,282.399170,300.283417,0.000000
2007-02-12,284.045380,301.843903,0.000000
2007-02-13,284.123627,302.149139,0.000000
2007-02-14,282.698669,300.441071,0.000000
2007-02-15,282.253052,300.381042,0.000000
2007-02-16,283.177094,295.916840,0.000000
2007-02-17,276.380768,293.118408,0.000000
2007-02-18,277.490417,298.625031,0.000000
2007-02-19,278.328033,295.563446,0.000000
2007-02-20,279.866669,298.994568,0.000000
2007-02-21,280.903809,300.726135,0.000000
2007-02-22,281.504486,300.806519,0.000000
2007-02-23,280.443909,299.767456,0.000000
2007-02-24,282.078735,298.284027,0.000000
2007-02-25,283.546936,293.763672,0.000000
2007-02-26,283.726410,295.259155,0.000000
2007-02-27,281.220581,296.699371,0.000000
2007-02-28,285.253876,296.069305,0.632599
2007-03-01,285.358978,296.241608,13.898649
2007-03-02,276.116577,289.975861,6.546313
2007-03-03,276.141998,284.295044,0.000000
2007-03-04,274.912415,291.874207,0.000000
2007-03-05,279.799683,293.685242,0.000000
2007-03-06,283.624146,294.280182,0.000000
2007-03-07,285.444000,294.637085,5.143032
2007-03-08,286.180725,302.215820,3.171913
2007-03-09,281.823853,293.316650,0.000000
2007-03-10,279.065674,291.803802,0.000000
2007-03-11,282.259979,294.283295,17.484995
2007-03-12,283.889160,303.008148,0.504867
2007-03-13,284.565399,297.651550,5.671131
2007-03-14,288.502899,295.947449,3.740410
2007-03-15,283.760956,301.124756,0.000000
2007-03-16,280.915222,299.811707,0.000000
2007-03-17,283.271851,294.980225,0.000000
2007-03-18,288.180481,302.214691,0.000000
2007-03-19,282.711609,297.729187,0.000000
2007-03-20,277.601898,292.565094,0.000000
2007-03-21,278.277496,297.498962,0.000000
2007-03-22,280.174896,300.296204,0.000000
2007-03-23,281.763031,301.281433,0.000000
2007-03-24,282.023254,301.625214,0.000000
2007-03-25,282.653748,301.417999,0.000000
2007-03-26,283.608307,300.522827,0.000000
2007-03-27,281.746460,298.315979,0.000000
2007-03-28,283.919403,298.255005,0.794483
2007-03-29,284.645874,299.013214,0.000000
2007-03-30,285.904175,299.810974,0.000000
2007-03-31,286.330200,295.970581,0.000000
2007-04-01,286.704987,297.782837,0.000000
2007-04-02,288.525085,301.973724,3.896020
2007-04-03,286.055420,299.269714,0.000000
2007-04-04,286.092468,302.610046,0.000000
2007-04-05,284.557495,303.949768,0.000000
2007-04-06,285.062012,299.484253,0.000000
2007-04-07,287.123657,291.957764,0.747607
2007-04-08,287.379669,299.851440,2.982212
2007-04-09,291.558960,299.405090,0.361950
2007-04-10,288.065765,303.013153,1.370606
2007-04-11,286.160370,302.330078,0.314481
2007-04-12,288.242554,302.358429,0.000000
2007-04-13,284.913452,301.481476,0.000000
2007-04-14,289.328094,301.979431,0.000000
2007-04-15,288.144928,299.136353,7.478834
2007-04-16,291.059204,295.580750,36.166317
2007-04-17,286.180145,296.470062,0.000000
2007-04-18,282.095764,299.302063,0.000000
2007-04-19,286.015717,302.750031,0.000000
2007-04-20,287.246735,303.337952,0.000000
2007-04-21,288.310547,303.419220,0.000000
2007-04-22,288.278198,303.940063,0.000000
2007-04-23,291.261078,302.488861,1.757189
2007-04-24,290.516327,301.967102,17.801836
2007-04-25,292.550446,302.561371,10.842016
2007-04-26,293.243378,302.616425,2.375317
2007-04-27,294.166626,300.840637,1.684258
2007-04-28,294.426392,303.323608,0.603014
2007-04-29,292.885529,303.954315,0.000000
2007-04-30,294.728943,303.672272,0.000000
2007-05-01,294.239319,304.000549,0.000000
2007-05-02,294.163269,304.009003,0.000000
2007-05-03,294.186310,299.199677,4.448988
2007-05-04,291.529999,296.883362,32.646103
2007-05-05,287.396423,302.321777,0.000000
2007-05-06,286.166595,303.412384,0.000000
2007-05-07,285.971161,302.640228,0.000000
2007-05-08,287.337952,303.555664,0.000000
2007-05-09,289.087616,302.248535,0.000000
2007-05-10,292.619354,305.016479,0.313309
2007-05-11,293.998108,302.526947,2.153366
2007-05-12,295.265198,301.854980,17.769386
2007-05-13,295.397949,302.876709,9.383102
2007-05-14,295.556030,303.057129,1.358356
2007-05-15,295.557434,302.301208,4.616882
2007-05-16,293.679138,302.064575,0.000000
2007-05-17,293.900635,301.645538,0.000000
2007-05-18,293.925110,302.933411,1.197287
2007-05-19,294.274048,303.542664,0.626137
2007-05-20,293.854797,304.002686,0.000000
2007-05-21,293.070740,303.769440,2.264404
2007-05-22,292.788910,303.104919,0.000000
2007-05-23,290.834625,302.472412,0.000000
2007-05-24,288.714355,304.382202,0.000000
2007-05-25,291.282684,305.804657,0.000000
2007-05-26,292.119934,308.336334,0.000000
2007-05-27,292.333618,309.446045,0.000000
2007-05-28,293.555908,309.398499,0.000000
2007-05-29,295.171722,309.444458,0.000000
2007-05-30,294.127960,308.749420,0.000000
2007-05-31,293.890594,307.733673,0.000000
2007-06-01,294.304749,307.372070,1.036969
2007-06-02,294.504059,307.265076,0.684468
2007-06-03,294.790863,310.028595,0.000000
2007-06-04,296.333008,310.595001,4.072743
2007-06-05,295.783325,308.410431,3.080261
2007-06-06,297.549866,307.763855,4.632690
2007-06-07,297.102631,310.363831,1.336813
2007-06-08,297.092834,311.804169,0.000000
2007-06-09,297.066101,305.522217,3.338864
2007-06-10,298.013184,305.603027,10.901096
2007-06-11,297.074921,307.361267,9.381363
2007-06-12,297.407837,308.905396,0.000000
2007-06-13,296.204346,309.460114,1.454867
2007-06-14,294.266174,309.608093,0.000000
2007-06-15,291.311188,307.707245,0.000000
2007-06-16,293.519684,307.506042,0.000000
2007-06-17,294.366608,308.048492,0.681990
2007-06-18,295.790985,308.516479,2.302833
2007-06-19,295.177277,303.596893,17.285936
2007-06-20,295.174225,302.326935,9.781268
2007-06-21,295.810303,306.022644,2.735606
2007-06-22,295.765259,307.970032,0.913865
2007-06-23,295.764221,309.140991,0.401872
2007-06-24,295.978485,309.736908,0.000000
2007-06-25,296.219238,310.408844,0.000000
2007-06-26,296.678772,310.185455,0.000000
2007-06-27,297.404236,309.881927,2.793791
2007-06-28,297.270905,309.175720,4.381508
2007-06-29,296.157745,304.755554,5.008658
2007-06-30,295.817322,305.594513,0.000000
2007-07-01,295.224609,305.292999,1.166936
2007-07-02,295.833466,304.229828,33.751907
2007-07-03,294.426117,303.043213,4.614770
2007-07-04,296.052460,305.736084,14.191067
2007-07-05,295.982849,304.197510,21.237843
2007-07-06,296.008636,305.835022,2.256290
2007-07-07,296.486237,305.827881,0.000000
2007-07-08,295.960632,306.571960,0.000000
2007-07-09,295.549133,307.817596,0.000000
2007-07-10,296.084167,308.938141,0.000000
2007-07-11,297.311676,310.359283,0.000000
2007-07-12,297.466644,309.850067,0.000000
2007-07-13,297.644196,309.669098,0.000000
2007-07-14,297.505035,310.870331,0.000000
2007-07-15,297.067871,309.740143,0.000000
2007-07-16,297.379120,308.728760,0.000000
2007-07-17,296.513916,308.456665,0.000000
2007-07-18,296.111755,308.425262,0.000000
2007-07-19,295.779846,307.776428,0.000000
2007-07-20,296.512085,307.543762,0.279654
2007-07-21,296.045898,308.389465,0.000000
2007-07-22,296.214294,310.340973,0.000000
2007-07-23,297.386475,310.287140,0.000000
2007-07-24,297.652466,308.215271,0.000000
2007-07-25,297.026581,307.761871,0.000000
2007-07-26,296.599670,308.182831,4.847109
2007-07-27,296.554840,308.226837,0.381175
2007-07-28,297.048889,306.921234,12.882067
2007-07-29,297.459778,300.261200,29.805067
2007-07-30,298.635712,305.537994,23.687775
2007-07-31,298.323364,304.249817,25.655451
2007-08-01,298.144440,304.419403,9.981004
2007-08-02,297.486481,305.432617,4.580195
2007-08-03,295.965057,305.678406,0.000000
2007-08-04,296.018433,305.759247,0.000000
2007-08-05,295.319580,306.858826,0.000000
2007-08-06,294.145874,307.699280,0.000000
2007-08-07,294.168579,308.120270,0.000000
2007-08-08,294.250153,308.169678,0.000000
2007-08-09,294.911163,308.928833,0.000000
2007-08-10,295.591187,308.599152,0.000000
2007-08-11,295.537750,307.760071,0.000000
2007-08-12,295.815186,306.269135,4.512077
2007-08-13,295.260193,306.433105,0.611612
