#Variables:
#tasmin_NorESM1-M_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_NorESM1-M_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_NorESM1-M_historical(K),tasmax_NorESM1-M_historical(K),pr_NorESM1-M_historical(mm)"
""
yyyy-mm-dd,tasmin_NorESM1-M_historical(K),tasmax_NorESM1-M_historical(K),pr_NorESM1-M_historical(mm)
1950-08-07,296.130646,310.163361,0.000000
1950-08-08,295.815552,310.942078,0.000000
1950-08-09,295.507996,312.253296,0.000000
1950-08-10,296.156372,311.351990,2.417297
1950-08-11,297.482697,309.178986,1.863499
1950-08-12,296.619019,308.061249,0.823196
1950-08-13,297.437347,306.763367,1.596762
1950-08-14,298.057709,306.438934,0.961057
1950-08-15,295.796570,305.785034,0.000000
1950-08-16,296.175934,308.352570,0.000000
1950-08-17,296.732727,308.743713,0.000000
1950-08-18,295.951660,308.366730,0.000000
1950-08-19,295.430206,307.348022,0.000000
1950-08-20,295.691376,305.791473,0.635829
1950-08-21,295.414062,306.645050,1.377958
1950-08-22,296.569214,308.231384,0.000000
1950-08-23,298.024261,310.616943,0.000000
1950-08-24,298.917358,310.664856,0.000000
1950-08-25,297.585632,310.287140,0.000000
1950-08-26,298.304626,309.830780,0.000000
1950-08-27,298.193176,307.787262,2.469398
1950-08-28,297.366852,307.630859,0.000000
1950-08-29,297.268433,309.805328,0.000000
1950-08-30,297.317688,309.694733,0.000000
1950-08-31,296.640594,309.643250,0.815588
1950-09-01,296.831543,309.607025,0.000000
1950-09-02,295.151123,309.586823,0.000000
1950-09-03,295.616913,307.892456,0.000000
1950-09-04,295.241180,306.896484,0.000000
1950-09-05,295.283752,305.650726,0.000000
1950-09-06,294.618256,304.748199,0.638376
1950-09-07,294.434814,304.698700,17.423130
1950-09-08,295.013306,305.102570,31.786036
1950-09-09,292.541962,296.899750,26.224438
1950-09-10,293.974701,300.339020,8.222589
1950-09-11,292.800110,300.413635,3.082029
1950-09-12,291.934784,301.365326,4.884763
1950-09-13,292.320435,303.896454,0.673903
1950-09-14,291.685608,302.786011,4.263505
1950-09-15,291.715393,302.913177,0.761929
1950-09-16,293.727020,304.042572,0.000000
1950-09-17,293.122406,306.477936,0.000000
1950-09-18,293.246155,308.106934,0.778590
1950-09-19,294.599121,307.590851,0.681680
1950-09-20,293.909698,306.324188,0.000000
1950-09-21,293.805908,307.089325,0.000000
1950-09-22,293.491821,305.270660,5.752066
1950-09-23,282.773224,295.405060,0.000000
1950-09-24,281.107025,292.456573,0.000000
1950-09-25,279.598907,293.587402,0.000000
1950-09-26,281.647064,298.921051,0.000000
1950-09-27,284.985901,301.219269,0.000000
1950-09-28,286.948120,305.336151,0.000000
1950-09-29,288.096252,306.071991,0.000000
1950-09-30,289.395691,304.397491,0.000000
1950-10-01,290.563171,304.655792,0.000000
1950-10-02,289.930481,304.473297,0.000000
1950-10-03,288.568390,305.047729,0.000000
1950-10-04,289.027985,305.158783,0.000000
1950-10-05,289.107483,306.330872,0.000000
1950-10-06,287.518066,306.097382,0.000000
1950-10-07,287.425171,305.824524,0.000000
1950-10-08,288.693176,305.313416,0.000000
1950-10-09,289.807251,306.975189,0.000000
1950-10-10,286.437500,303.405273,0.000000
1950-10-11,286.196655,305.767914,0.000000
1950-10-12,286.977936,306.726257,0.000000
1950-10-13,290.395233,308.440735,0.000000
1950-10-14,289.777710,304.911011,0.000000
1950-10-15,282.791534,298.157379,0.000000
1950-10-16,281.483368,300.151123,0.000000
1950-10-17,281.640778,302.482361,0.000000
1950-10-18,283.334839,305.294739,0.000000
1950-10-19,285.754059,306.641449,0.000000
1950-10-20,286.961548,306.478210,0.000000
1950-10-21,288.176941,306.396423,0.000000
1950-10-22,289.877686,305.467102,0.000000
1950-10-23,290.162628,304.295441,0.000000
1950-10-24,286.866272,305.068298,0.000000
1950-10-25,292.568604,305.272552,0.600318
1950-10-26,290.737488,301.461090,12.685707
1950-10-27,292.047913,304.375519,1.501430
1950-10-28,292.050995,305.014740,0.489634
1950-10-29,293.751709,304.043549,0.934424
1950-10-30,293.462799,304.286621,0.000000
1950-10-31,293.256744,305.047394,1.105845
1950-11-01,291.391449,301.892426,1.597963
1950-11-02,280.082428,296.901245,0.000000
1950-11-03,279.257202,298.535370,0.000000
1950-11-04,288.709412,296.618866,2.518735
1950-11-05,280.133972,298.203278,0.000000
1950-11-06,281.307526,299.155762,0.000000
1950-11-07,282.558228,299.229492,0.000000
1950-11-08,284.866272,300.209534,0.000000
1950-11-09,289.627228,301.000824,0.000000
1950-11-10,291.971741,303.054382,3.741622
1950-11-11,293.287872,303.395905,1.442777
1950-11-12,288.759338,302.782349,0.000000
1950-11-13,288.005188,302.235229,0.349643
1950-11-14,291.398407,303.794678,0.000000
1950-11-15,290.775696,303.020355,0.000000
1950-11-16,282.630463,296.746582,0.000000
1950-11-17,278.830902,295.792999,0.000000
1950-11-18,280.507507,298.394806,0.000000
1950-11-19,286.378693,298.922180,0.745782
1950-11-20,286.642456,295.214508,6.645541
1950-11-21,287.743103,294.721191,29.141884
1950-11-22,286.869354,294.747192,2.806937
1950-11-23,286.375061,295.672852,0.000000
1950-11-24,286.543121,294.872772,0.000000
1950-11-25,289.382965,300.120178,10.151636
1950-11-26,285.039276,296.983887,0.000000
1950-11-27,272.564087,290.136292,0.000000
1950-11-28,275.010284,295.381134,0.000000
1950-11-29,276.623810,292.793671,0.000000
1950-11-30,281.621735,293.849060,0.000000
1950-12-01,281.620941,297.330078,0.000000
1950-12-02,282.099060,297.261932,0.000000
1950-12-03,283.011078,292.997864,0.000000
1950-12-04,286.242706,292.676849,0.000000
1950-12-05,284.331360,290.708374,0.000000
1950-12-06,282.502686,287.530640,1.434373
1950-12-07,283.298370,295.535004,3.181767
1950-12-08,285.863770,299.022644,0.000000
1950-12-09,279.733917,296.704376,0.000000
1950-12-10,278.508026,295.967438,0.000000
1950-12-11,276.985931,295.724060,0.000000
1950-12-12,281.014160,295.447357,0.000000
1950-12-13,285.169373,296.225067,0.807640
1950-12-14,282.801483,295.961456,0.000000
1950-12-15,283.050232,289.897949,1.054078
1950-12-16,271.404327,286.222046,0.000000
1950-12-17,273.143921,287.958710,0.000000
1950-12-18,278.893433,292.883026,0.000000
1950-12-19,285.378113,293.248230,0.000000
1950-12-20,275.702118,293.650299,0.000000
1950-12-21,276.977386,293.930023,0.000000
1950-12-22,278.773956,294.891693,0.000000
1950-12-23,284.926331,296.985199,0.478527
1950-12-24,286.966248,294.868073,3.656386
1950-12-25,286.365143,292.547333,0.000000
1950-12-26,285.421143,290.398865,0.000000
1950-12-27,284.791809,290.531097,0.638442
1950-12-28,284.872955,289.832397,0.000000
1950-12-29,282.868652,292.892670,0.000000
1950-12-30,286.678101,294.088257,12.462221
1950-12-31,284.252594,292.642487,8.799845
1951-01-01,276.700867,290.106018,0.000000
1951-01-02,275.959808,290.348450,0.000000
1951-01-03,278.893677,290.162231,0.000000
1951-01-04,280.936279,286.772278,10.351170
1951-01-05,278.725037,284.018250,42.606743
1951-01-06,276.632721,284.308411,4.537100
1951-01-07,277.651062,284.264679,0.000000
1951-01-08,274.531433,289.440948,0.000000
1951-01-09,276.193207,286.764160,0.000000
1951-01-10,277.876160,290.320129,16.320356
1951-01-11,270.593384,289.695068,14.285247
1951-01-12,258.912323,271.538300,4.684839
1951-01-13,269.365540,279.501251,0.346226
1951-01-14,275.510834,290.808289,0.821609
1951-01-15,282.320740,297.632446,0.000000
1951-01-16,284.877960,293.705200,0.000000
1951-01-17,282.769104,290.164917,0.605613
1951-01-18,273.060455,285.512939,13.055355
1951-01-19,276.098267,282.967926,20.206705
1951-01-20,275.010223,281.456085,5.864004
1951-01-21,278.483002,283.953674,3.623015
1951-01-22,280.205292,286.906586,0.742702
1951-01-23,280.356232,288.186310,3.078257
1951-01-24,281.768219,290.980042,1.781066
1951-01-25,279.230255,292.065918,0.000000
1951-01-26,279.369324,295.336334,0.000000
1951-01-27,281.804291,290.732330,0.000000
1951-01-28,276.673126,289.931976,0.000000
1951-01-29,274.417633,290.061035,0.000000
1951-01-30,279.489594,294.379639,0.000000
1951-01-31,279.608521,287.436005,0.432037
1951-02-01,274.720886,290.343689,0.000000
1951-02-02,277.989349,291.154083,0.000000
1951-02-03,277.618744,293.441559,0.000000
1951-02-04,281.134247,288.876465,3.608715
1951-02-05,280.844452,288.466705,5.470137
1951-02-06,282.325836,294.808289,26.013298
1951-02-07,281.611908,298.306305,0.000000
1951-02-08,285.771179,296.959778,0.000000
1951-02-09,287.592529,296.580109,2.066733
1951-02-10,279.523590,290.348297,0.000000
1951-02-11,284.082916,295.192291,2.175732
1951-02-12,289.348328,297.837372,0.400241
1951-02-13,288.912628,296.673798,0.000000
1951-02-14,290.137177,300.724884,4.262529
1951-02-15,288.408966,302.150330,0.475748
1951-02-16,287.705292,299.414795,0.000000
1951-02-17,288.656708,301.109802,0.918883
1951-02-18,287.779266,303.244324,0.000000
1951-02-19,288.337769,303.346619,0.000000
1951-02-20,286.481415,299.172180,0.000000
1951-02-21,289.931366,299.564850,1.701544
1951-02-22,289.349213,298.962646,1.408387
1951-02-23,282.869934,293.622772,0.000000
1951-02-24,281.644989,291.093048,0.000000
1951-02-25,281.428589,289.602112,7.000796
1951-02-26,285.918030,292.009552,11.398924
1951-02-27,277.565369,291.128113,14.179605
1951-02-28,278.902832,285.160156,27.602209
1951-03-01,275.982269,285.644440,2.687057
1951-03-02,281.591339,289.024200,0.000000
1951-03-03,284.478455,292.810059,7.359291
1951-03-04,287.501770,297.079010,5.400826
1951-03-05,288.162689,300.760559,0.000000
1951-03-06,289.637543,300.260834,1.747752
1951-03-07,289.146545,299.110443,0.000000
1951-03-08,288.015686,298.372345,0.686422
1951-03-09,287.219604,299.556122,0.000000
1951-03-10,287.188690,300.917358,0.000000
1951-03-11,287.779114,300.643677,0.000000
1951-03-12,287.721924,299.514923,0.000000
1951-03-13,288.039703,299.889618,4.492914
1951-03-14,288.860321,301.070374,0.604101
1951-03-15,290.599243,299.066010,1.651438
1951-03-16,288.740387,299.898499,5.461435
1951-03-17,289.965302,302.121124,0.000000
1951-03-18,287.597778,294.333008,1.502368
1951-03-19,284.791931,291.662140,39.986843
1951-03-20,277.081757,286.849640,23.089981
1951-03-21,278.907074,289.372406,0.000000
1951-03-22,280.434296,295.094910,0.000000
1951-03-23,280.662140,297.442200,0.000000
1951-03-24,282.003448,299.495087,0.000000
1951-03-25,282.540955,300.768555,0.000000
1951-03-26,282.898590,301.027832,0.000000
1951-03-27,284.490814,300.877777,0.000000
1951-03-28,284.679260,303.046783,0.000000
1951-03-29,286.689148,296.319763,0.000000
1951-03-30,283.815216,299.521729,0.000000
1951-03-31,288.806244,304.486664,0.000000
1951-04-01,289.307831,305.963104,0.000000
1951-04-02,287.254974,306.727356,0.000000
1951-04-03,288.903534,307.196045,0.000000
1951-04-04,288.460907,304.349762,0.000000
1951-04-05,287.154205,302.547424,0.000000
1951-04-06,287.836395,303.717773,0.000000
1951-04-07,290.821289,307.774139,1.169700
1951-04-08,290.079773,307.133423,0.000000
1951-04-09,291.404297,304.360962,0.000000
1951-04-10,290.091217,303.236389,0.000000
1951-04-11,288.637787,303.690674,0.000000
1951-04-12,288.171387,305.945190,0.000000
1951-04-13,289.701050,307.748810,0.000000
1951-04-14,290.282288,308.724579,0.000000
1951-04-15,290.801819,309.720398,0.000000
1951-04-16,292.579102,309.791656,0.000000
1951-04-17,293.789703,309.145203,0.000000
1951-04-18,292.847198,308.106934,0.000000
1951-04-19,293.250671,304.976044,5.888794
1951-04-20,293.382996,301.540710,10.032109
1951-04-21,292.318329,302.259308,28.696426
1951-04-22,292.453766,301.218811,17.212627
1951-04-23,288.003265,302.711151,0.918524
1951-04-24,284.421600,298.009155,0.000000
1951-04-25,291.337433,298.729309,0.000000
1951-04-26,292.479919,300.635651,12.198329
1951-04-27,293.062714,302.382080,2.118028
1951-04-28,292.180939,300.611328,12.403626
1951-04-29,290.961609,295.364624,29.636972
1951-04-30,291.496735,305.444122,19.865870
1951-05-01,291.870056,306.446411,0.607206
1951-05-02,287.455231,300.740540,0.000000
1951-05-03,282.648651,295.858002,0.000000
1951-05-04,282.873383,299.156219,0.000000
1951-05-05,286.853210,304.030792,0.000000
1951-05-06,290.916779,305.445251,9.083846
1951-05-07,290.282806,302.520416,0.000000
1951-05-08,287.741608,302.332428,0.000000
1951-05-09,292.418091,301.794769,0.000000
1951-05-10,292.647369,304.233704,0.000000
1951-05-11,292.671204,307.651093,0.000000
1951-05-12,293.382416,306.249176,0.000000
1951-05-13,294.069000,304.297211,0.635621
1951-05-14,293.699249,306.252563,0.000000
1951-05-15,293.732300,305.187347,0.000000
1951-05-16,291.987274,303.017426,3.416601
1951-05-17,291.316772,299.893707,1.228587
1951-05-18,290.290741,299.326935,0.000000
1951-05-19,290.279449,299.346283,0.000000
1951-05-20,287.207336,300.925995,0.000000
1951-05-21,287.190399,302.467773,0.000000
1951-05-22,288.372437,303.738159,0.000000
1951-05-23,291.251160,304.539459,0.000000
1951-05-24,292.511292,301.434296,11.587223
1951-05-25,294.638672,301.525604,52.957588
1951-05-26,294.692596,301.010254,21.717932
1951-05-27,294.421112,304.096802,10.422023
1951-05-28,294.158783,304.264160,2.979894
1951-05-29,292.221100,303.758423,0.000000
1951-05-30,294.786957,306.493561,0.000000
1951-05-31,296.372742,307.805908,0.000000
1951-06-01,296.539825,306.996216,2.061879
1951-06-02,296.363617,304.193329,0.000000
1951-06-03,296.010925,302.508850,1.279869
1951-06-04,295.906616,302.982819,5.608860
1951-06-05,295.002686,304.347046,0.000000
1951-06-06,293.706848,305.115021,0.000000
1951-06-07,293.123413,304.902161,0.000000
1951-06-08,294.857422,304.219269,4.011246
1951-06-09,293.972565,302.799866,3.593315
1951-06-10,294.415375,299.148499,31.461071
1951-06-11,293.514313,299.974274,52.704117
1951-06-12,292.093506,297.712616,69.781075
1951-06-13,291.217255,296.352814,65.837479
1951-06-14,293.061218,302.831299,8.665658
1951-06-15,294.631531,302.615875,0.000000
1951-06-16,295.502014,305.870758,0.000000
1951-06-17,295.819672,306.475006,0.000000
1951-06-18,297.098999,306.326782,0.000000
1951-06-19,298.207153,306.942139,0.000000
1951-06-20,298.599091,309.857025,0.000000
1951-06-21,298.357788,312.159271,1.289301
1951-06-22,295.803802,309.463562,13.963078
1951-06-23,296.863373,305.526093,28.220043
1951-06-24,297.072906,304.030151,5.136941
1951-06-25,296.818359,305.948090,0.360408
1951-06-26,299.690491,306.256836,0.000000
1951-06-27,300.390656,307.793427,0.483098
1951-06-28,299.767578,307.787598,1.040134
1951-06-29,298.840759,306.143585,1.294789
1951-06-30,296.122711,305.278595,0.000000
1951-07-01,295.375214,305.959534,0.000000
1951-07-02,295.297333,305.493652,0.000000
1951-07-03,295.610596,305.989441,0.000000
1951-07-04,295.498749,306.405670,0.000000
1951-07-05,295.544159,305.910095,0.322509
1951-07-06,295.923401,305.180176,3.137859
1951-07-07,296.465210,304.735138,0.000000
1951-07-08,296.273376,306.084290,0.000000
1951-07-09,295.393951,305.082947,15.347898
1951-07-10,295.752411,300.528259,19.515163
1951-07-11,296.078003,301.786285,47.570213
1951-07-12,295.226349,303.079956,5.628500
1951-07-13,296.175049,304.476471,0.889928
1951-07-14,297.135193,305.423065,0.000000
1951-07-15,297.181976,302.761139,14.544631
1951-07-16,296.096863,303.669434,0.000000
1951-07-17,297.071442,304.803253,0.000000
1951-07-18,297.395386,307.768372,0.000000
1951-07-19,297.800507,308.979614,0.000000
1951-07-20,297.165344,306.417389,1.498805
1951-07-21,296.476013,303.277679,3.486697
1951-07-22,295.489441,301.741760,4.482960
1951-07-23,295.730347,302.911774,2.235964
1951-07-24,295.843567,304.539978,0.000000
1951-07-25,296.461456,306.765717,2.023911
1951-07-26,297.701416,308.481079,5.329594
1951-07-27,297.433472,309.911896,0.000000
1951-07-28,296.814606,309.686218,0.000000
1951-07-29,295.732300,308.627838,0.000000
1951-07-30,293.709106,309.647980,0.000000
1951-07-31,294.654816,311.375732,0.000000
1951-08-01,298.639496,308.735443,2.232916
1951-08-02,296.139160,305.246338,3.358035
1951-08-03,295.389618,305.606140,6.635479
1951-08-04,295.100067,306.190796,0.529948
1951-08-05,296.231476,305.586426,1.272163
1951-08-06,295.382080,305.845459,2.214660
1951-08-07,295.102966,306.295776,0.299007
1951-08-08,295.310883,306.761353,0.000000
1951-08-09,296.686279,308.346832,0.000000
1951-08-10,298.393890,309.831848,0.318290
1951-08-11,297.966400,310.234375,0.615532
1951-08-12,297.419189,309.422028,1.811062
1951-08-13,295.961090,309.118927,0.000000
1951-08-14,295.413177,310.235748,0.000000
1951-08-15,295.377869,310.734863,0.000000
