#Variables:
#rhsmin_bcc-csm1-1_historical(%):Surface Daily Minimum Relative Humidity
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_rhsmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,rhsmin_bcc-csm1-1_historical(%)"
1950-05-22,56.284004
1950-05-23,59.288082
1950-05-24,63.805443
1950-05-25,53.543194
1950-05-26,50.622448
1950-05-27,48.103027
1950-05-28,43.760544
1950-05-29,43.626034
1950-05-30,42.080826
1950-05-31,33.310322
1950-06-01,33.423050
1950-06-02,34.549713
1950-06-03,43.166706
1950-06-04,52.741451
1950-06-05,57.106472
1950-06-06,57.041164
1950-06-07,57.579300
1950-06-08,58.155003
1950-06-09,49.520382
1950-06-10,43.290604
1950-06-11,40.791916
1950-06-12,40.418987
1950-06-13,36.955700
1950-06-14,25.904560
1950-06-15,20.208200
1950-06-16,22.609228
1950-06-17,36.778137
1950-06-18,50.131748
1950-06-19,34.003494
1950-06-20,40.158932
1950-06-21,36.743267
1950-06-22,32.819820
1950-06-23,32.996262
1950-06-24,38.962353
1950-06-25,44.776104
1950-06-26,45.406826
1950-06-27,36.069096
1950-06-28,35.826012
1950-06-29,35.211063
1950-06-30,33.663620
1950-07-01,31.400934
1950-07-02,31.057108
1950-07-03,31.108313
1950-07-04,31.669443
1950-07-05,32.263222
1950-07-06,34.569965
1950-07-07,33.055588
1950-07-08,31.083282
1950-07-09,26.017960
1950-07-10,25.886980
1950-07-11,25.900932
1950-07-12,21.456099
1950-07-13,21.559990
1950-07-14,24.682920
1950-07-15,30.842384
1950-07-16,34.368927
1950-07-17,32.317238
1950-07-18,25.978971
1950-07-19,26.000605
1950-07-20,31.513029
1950-07-21,36.029026
1950-07-22,34.603592
1950-07-23,34.873096
1950-07-24,35.493839
1950-07-25,43.564964
1950-07-26,45.707119
1950-07-27,38.589626
1950-07-28,41.095299
1950-07-29,43.775650
1950-07-30,38.009693
1950-07-31,38.433170
1950-08-01,40.367271
1950-08-02,45.993942
1950-08-03,53.461826
1950-08-04,58.998283
1950-08-05,49.995350
1950-08-06,47.727581
1950-08-07,45.918266
1950-08-08,41.727036
1950-08-09,41.923168
1950-08-10,43.874847
1950-08-11,42.662109
1950-08-12,38.651997
1950-08-13,35.287205
1950-08-14,30.883829
1950-08-15,29.323141
1950-08-16,26.408718
1950-08-17,27.550182
1950-08-18,30.703283
1950-08-19,36.042393
1950-08-20,35.145718
1950-08-21,33.850750
1950-08-22,30.213007
1950-08-23,27.369059
1950-08-24,27.126581
1950-08-25,30.804768
1950-08-26,30.674702
1950-08-27,33.486942
1950-08-28,33.508247
1950-08-29,32.720951
1950-08-30,29.324556
1950-08-31,28.749994
1950-09-01,31.399363
1950-09-02,32.126694
1950-09-03,33.203678
1950-09-04,34.220882
1950-09-05,34.266464
1950-09-06,31.030090
1950-09-07,25.814825
1950-09-08,26.994432
1950-09-09,25.923628
1950-09-10,24.480818
1950-09-11,25.383339
1950-09-12,35.556252
1950-09-13,39.847565
1950-09-14,39.970551
1950-09-15,39.162945
1950-09-16,35.790318
1950-09-17,36.001518
1950-09-18,34.544674
1950-09-19,35.140751
1950-09-20,36.141865
1950-09-21,37.055485
1950-09-22,45.531616
1950-09-23,47.580120
1950-09-24,29.920095
1950-09-25,21.550850
1950-09-26,20.941710
1950-09-27,22.738228
1950-09-28,25.204741
1950-09-29,24.305960
1950-09-30,25.828007
1950-10-01,25.887333
1950-10-02,26.924368
1950-10-03,32.536579
1950-10-04,32.741558
1950-10-05,32.442924
1950-10-06,40.261639
1950-10-07,44.924309
1950-10-08,51.148232
1950-10-09,52.675888
1950-10-10,37.924469
1950-10-11,33.064358
1950-10-12,28.665874
1950-10-13,27.186605
1950-10-14,28.955153
1950-10-15,25.756056
1950-10-16,26.029587
1950-10-17,28.054201
1950-10-18,34.092888
1950-10-19,36.701942
1950-10-20,41.518520
1950-10-21,47.649368
1950-10-22,51.432919
1950-10-23,44.115536
1950-10-24,45.815712
1950-10-25,45.278473
1950-10-26,44.086208
1950-10-27,44.023735
1950-10-28,38.737583
1950-10-29,26.328438
1950-10-30,24.310137
1950-10-31,22.851488
1950-11-01,23.882618
1950-11-02,40.684029
1950-11-03,64.048889
1950-11-04,59.012112
1950-11-05,47.437641
1950-11-06,45.028507
1950-11-07,49.473484
1950-11-08,51.406868
1950-11-09,50.886833
1950-11-10,49.522564
1950-11-11,44.030193
1950-11-12,33.439507
1950-11-13,35.381638
1950-11-14,36.720287
1950-11-15,36.706825
1950-11-16,32.590359
1950-11-17,15.162088
1950-11-18,11.228789
1950-11-19,13.445094
1950-11-20,15.475413
1950-11-21,12.999351
1950-11-22,13.189692
1950-11-23,20.323431
1950-11-24,39.898121
1950-11-25,55.550579
1950-11-26,52.771675
1950-11-27,32.840435
1950-11-28,31.207130
1950-11-29,39.759071
1950-11-30,53.369854
1950-12-01,37.724537
1950-12-02,39.221928
1950-12-03,55.672668
1950-12-04,30.527937
1950-12-05,36.976612
1950-12-06,37.520264
1950-12-07,51.857239
1950-12-08,44.371407
1950-12-09,47.657410
1950-12-10,44.688236
1950-12-11,46.825188
1950-12-12,40.908138
1950-12-13,35.170685
1950-12-14,28.312086
1950-12-15,34.969139
1950-12-16,54.791809
1950-12-17,54.528908
1950-12-18,39.099068
1950-12-19,38.095844
1950-12-20,38.541538
1950-12-21,47.700756
1950-12-22,48.245132
1950-12-23,48.486729
1950-12-24,60.385887
1950-12-25,57.725639
1950-12-26,52.778809
1950-12-27,42.809830
1950-12-28,25.860548
1950-12-29,33.164627
1950-12-30,41.278866
1950-12-31,47.007614
1951-01-01,51.519497
1951-01-02,79.794403
1951-01-03,63.995346
1951-01-04,35.244205
1951-01-05,30.137966
1951-01-06,32.345634
1951-01-07,47.825565
1951-01-08,46.307346
1951-01-09,30.698109
1951-01-10,45.054413
1951-01-11,52.660191
1951-01-12,50.993107
1951-01-13,64.545525
1951-01-14,35.275375
1951-01-15,28.101412
1951-01-16,37.038265
1951-01-17,39.642956
1951-01-18,47.362587
1951-01-19,46.469288
1951-01-20,51.298130
1951-01-21,68.203506
1951-01-22,71.111298
1951-01-23,52.888123
1951-01-24,54.249329
1951-01-25,52.157364
1951-01-26,58.950951
1951-01-27,43.189835
1951-01-28,42.771187
1951-01-29,37.016308
1951-01-30,39.847866
1951-01-31,50.682663
1951-02-01,47.864857
1951-02-02,29.573469
1951-02-03,30.531025
1951-02-04,39.708641
1951-02-05,43.411030
1951-02-06,42.283459
1951-02-07,51.761147
1951-02-08,45.137318
1951-02-09,27.937357
1951-02-10,29.461155
1951-02-11,31.962748
1951-02-12,29.704330
1951-02-13,27.017317
1951-02-14,22.332895
1951-02-15,25.376583
1951-02-16,28.412743
1951-02-17,68.906525
1951-02-18,58.714119
1951-02-19,64.854256
1951-02-20,48.763088
1951-02-21,39.276459
1951-02-22,31.272766
1951-02-23,33.505508
1951-02-24,38.455673
1951-02-25,44.862141
1951-02-26,49.066261
1951-02-27,52.112831
1951-02-28,39.698051
1951-03-01,44.998096
1951-03-02,42.748829
1951-03-03,45.750378
1951-03-04,50.845814
1951-03-05,48.903316
1951-03-06,37.046181
1951-03-07,44.766556
1951-03-08,48.162357
1951-03-09,48.990982
1951-03-10,44.564430
1951-03-11,44.925079
1951-03-12,35.306141
1951-03-13,34.179340
1951-03-14,32.351707
1951-03-15,28.184179
1951-03-16,25.855303
1951-03-17,36.362946
1951-03-18,29.527521
1951-03-19,30.534216
1951-03-20,31.397690
1951-03-21,51.253529
1951-03-22,58.671829
1951-03-23,62.945385
1951-03-24,48.338425
1951-03-25,33.118313
1951-03-26,35.349182
1951-03-27,42.638397
1951-03-28,48.270283
1951-03-29,39.377987
1951-03-30,35.974331
1951-03-31,41.866467
1951-04-01,46.562229
1951-04-02,46.213924
1951-04-03,50.242046
1951-04-04,51.704521
1951-04-05,48.276146
1951-04-06,47.049305
1951-04-07,48.337624
1951-04-08,55.429871
1951-04-09,46.697281
1951-04-10,45.537529
1951-04-11,35.337826
1951-04-12,26.907536
1951-04-13,27.389984
1951-04-14,40.960777
1951-04-15,35.321953
1951-04-16,33.827141
1951-04-17,26.046453
1951-04-18,24.152956
1951-04-19,24.372120
1951-04-20,24.349398
1951-04-21,12.689627
1951-04-22,13.027092
1951-04-23,24.267046
1951-04-24,21.090849
1951-04-25,16.091581
1951-04-26,16.126009
1951-04-27,13.931273
1951-04-28,15.635573
1951-04-29,23.295189
1951-04-30,27.211994
1951-05-01,44.638676
1951-05-02,38.505341
1951-05-03,38.407452
1951-05-04,48.734032
1951-05-05,35.548344
1951-05-06,35.485424
1951-05-07,36.992607
1951-05-08,42.086658
1951-05-09,47.865299
1951-05-10,48.300537
1951-05-11,25.797655
1951-05-12,19.875124
1951-05-13,25.047710
1951-05-14,35.882908
1951-05-15,32.358227
1951-05-16,36.566780
1951-05-17,40.262638
1951-05-18,40.796032
1951-05-19,42.653046
1951-05-20,46.721397
1951-05-21,40.768742
1951-05-22,44.585560
1951-05-23,22.492151
1951-05-24,18.089663
1951-05-25,22.944750
1951-05-26,36.851288
1951-05-27,43.775276
1951-05-28,48.479237
1951-05-29,41.735680
1951-05-30,42.326904
1951-05-31,42.811893
1951-06-01,43.043602
1951-06-02,46.635700
1951-06-03,56.475925
1951-06-04,45.406834
1951-06-05,31.688551
1951-06-06,30.119236
1951-06-07,31.897745
1951-06-08,30.262306
1951-06-09,32.104591
1951-06-10,33.284565
1951-06-11,34.574924
1951-06-12,36.728607
1951-06-13,33.215141
1951-06-14,32.776382
1951-06-15,32.773777
1951-06-16,32.408474
1951-06-17,33.327736
1951-06-18,34.297382
1951-06-19,35.000599
1951-06-20,31.214172
1951-06-21,29.335287
1951-06-22,28.210272
1951-06-23,29.731380
1951-06-24,39.624084
1951-06-25,49.000599
1951-06-26,54.371273
1951-06-27,53.860806
1951-06-28,51.907181
1951-06-29,52.166836
1951-06-30,53.214920
1951-07-01,65.552269
1951-07-02,87.755249
1951-07-03,72.343727
1951-07-04,61.965412
1951-07-05,59.173775
1951-07-06,55.784515
1951-07-07,52.123684
1951-07-08,51.820751
1951-07-09,53.283348
1951-07-10,57.782307
1951-07-11,59.665241
1951-07-12,60.848202
1951-07-13,60.924587
1951-07-14,58.601921
1951-07-15,58.632027
1951-07-16,69.202339
1951-07-17,67.112122
1951-07-18,70.432663
1951-07-19,69.876007
1951-07-20,64.806870
1951-07-21,62.120876
1951-07-22,64.506363
1951-07-23,60.431892
1951-07-24,61.535500
1951-07-25,57.782661
1951-07-26,54.222622
1951-07-27,54.577965
1951-07-28,51.537731
1951-07-29,50.744858
1951-07-30,41.747044
1951-07-31,38.526871
1951-08-01,38.495331
1951-08-02,40.006779
1951-08-03,42.422215
1951-08-04,42.514698
1951-08-05,39.710236
1951-08-06,41.750969
1951-08-07,40.911388
1951-08-08,38.922707
1951-08-09,34.647381
1951-08-10,30.177248
1951-08-11,29.840347
1951-08-12,28.707260
1951-08-13,29.747593
1951-08-14,28.878323
1951-08-15,29.653633
1951-08-16,34.925007
1951-08-17,36.227180
1951-08-18,33.800163
1951-08-19,34.166428
1951-08-20,33.948257
1951-08-21,34.206383
1951-08-22,32.897274
1951-08-23,33.455055
1951-08-24,32.847225
1951-08-25,29.432529
1951-08-26,28.997257
1951-08-27,30.353054
1951-08-28,30.987324
1951-08-29,33.115765
1951-08-30,34.475468
1951-08-31,37.926792
1951-09-01,43.293671
1951-09-02,44.982533
1951-09-03,45.291500
1951-09-04,46.506832
1951-09-05,58.411919
1951-09-06,58.820927
1951-09-07,56.683681
1951-09-08,54.854359
1951-09-09,52.666462
1951-09-10,55.878143
1951-09-11,62.687016
1951-09-12,60.922306
1951-09-13,53.368622
1951-09-14,49.757172
1951-09-15,46.981331
1951-09-16,44.619766
1951-09-17,43.541531
1951-09-18,45.969376
1951-09-19,44.760746
1951-09-20,40.833790
1951-09-21,33.163433
1951-09-22,35.417599
1951-09-23,41.454163
1951-09-24,44.441738
1951-09-25,37.156654
1951-09-26,33.613300
1951-09-27,28.101614
1951-09-28,30.111828
1951-09-29,45.410583
1951-09-30,38.364731
1951-10-01,32.350601
1951-10-02,31.461119
1951-10-03,33.645668
1951-10-04,28.002153
1951-10-05,20.554331
1951-10-06,19.737959
1951-10-07,22.652103
1951-10-08,27.289646
1951-10-09,29.241970
1951-10-10,35.866058
1951-10-11,26.422300
1951-10-12,28.356073
1951-10-13,37.092812
1951-10-14,32.277618
1951-10-15,31.821098
1951-10-16,30.443306
1951-10-17,27.868309
1951-10-18,25.814278
1951-10-19,20.403208
1951-10-20,19.079536
1951-10-21,19.422096
1951-10-22,33.871136
1951-10-23,30.578285
1951-10-24,27.019825
1951-10-25,25.789104
1951-10-26,27.893301
1951-10-27,32.051250
1951-10-28,28.299404
1951-10-29,31.910795
1951-10-30,34.630314
1951-10-31,33.527229
1951-11-01,32.820900
1951-11-02,36.155529
1951-11-03,53.941483
1951-11-04,60.878265
1951-11-05,47.868507
1951-11-06,43.800411
1951-11-07,36.339535
1951-11-08,32.483585
1951-11-09,26.335394
1951-11-10,20.858295
1951-11-11,23.618372
1951-11-12,21.763489
1951-11-13,24.580008
1951-11-14,34.587349
1951-11-15,31.326254
1951-11-16,31.176144
1951-11-17,38.918301
1951-11-18,43.749283
1951-11-19,45.061855
1951-11-20,47.369755
1951-11-21,64.518974
1951-11-22,64.956314
1951-11-23,66.290184
1951-11-24,66.459503
1951-11-25,77.508339
1951-11-26,54.684235
1951-11-27,44.190392
1951-11-28,38.805019
1951-11-29,44.513195
1951-11-30,41.977654
1951-12-01,56.276760
1951-12-02,59.452244
1951-12-03,54.226650
1951-12-04,59.534176
1951-12-05,68.629005
1951-12-06,50.704582
1951-12-07,30.415909
1951-12-08,37.441631
1951-12-09,45.370262
1951-12-10,47.944920
1951-12-11,54.893867
1951-12-12,60.693985
1951-12-13,67.178062
1951-12-14,58.253033
1951-12-15,50.120502
1951-12-16,50.957966
1951-12-17,52.557358
1951-12-18,53.653080
1951-12-19,57.661160
1951-12-20,52.690079
1951-12-21,38.241417
1951-12-22,34.308365
1951-12-23,40.507492
1951-12-24,37.220600
1951-12-25,30.080645
1951-12-26,41.370167
1951-12-27,48.446991
1951-12-28,46.165009
1951-12-29,65.495224
1951-12-30,62.982353
1951-12-31,47.928505
1952-01-01,31.210218
1952-01-02,45.405212
1952-01-03,70.813309
1952-01-04,56.684429
1952-01-05,60.217705
1952-01-06,70.186066
1952-01-07,33.274281
1952-01-08,34.176666
1952-01-09,19.496094
1952-01-10,19.989771
1952-01-11,28.395138
1952-01-12,29.071810
1952-01-13,42.040886
1952-01-14,55.742794
1952-01-15,70.121971
1952-01-16,50.623573
1952-01-17,42.735680
1952-01-18,37.682247
1952-01-19,31.234617
1952-01-20,24.582813
1952-01-21,27.879721
1952-01-22,39.651516
1952-01-23,45.518982
1952-01-24,52.272053
1952-01-25,45.793819
1952-01-26,48.267895
1952-01-27,66.580223
1952-01-28,52.709846
1952-01-29,35.209080
1952-01-30,50.257645
1952-01-31,63.451004
1952-02-01,29.802710
1952-02-02,46.647373
1952-02-03,52.414345
1952-02-04,43.309906
1952-02-05,34.533287
1952-02-06,44.918545
1952-02-07,26.125212
1952-02-08,27.653612
1952-02-09,31.462175
1952-02-10,31.732994
1952-02-11,31.099779
1952-02-12,34.195572
1952-02-13,26.126181
1952-02-14,23.170517
1952-02-15,16.840902
1952-02-16,18.428431
1952-02-17,22.053946
1952-02-18,22.296558
1952-02-19,24.647875
1952-02-20,23.087540
1952-02-21,18.625397
1952-02-22,18.264097
1952-02-23,20.138037
1952-02-24,29.293287
1952-02-25,33.807640
1952-02-26,28.288502
1952-02-27,28.733921
1952-02-28,33.624252
1952-02-29,39.917679
1952-03-01,46.211105
1952-03-02,52.891972
1952-03-03,73.407272
1952-03-04,52.433537
1952-03-05,34.501740
1952-03-06,35.625614
1952-03-07,30.139429
1952-03-08,32.592007
1952-03-09,42.954041
1952-03-10,53.529060
1952-03-11,36.002903
1952-03-12,33.217369
1952-03-13,33.581379
1952-03-14,28.204451
1952-03-15,29.658768
1952-03-16,26.526590
1952-03-17,36.412491
1952-03-18,30.615683
1952-03-19,20.881325
1952-03-20,11.524804
1952-03-21,12.560110
1952-03-22,12.652637
1952-03-23,21.235493
1952-03-24,20.928429
1952-03-25,23.424614
1952-03-26,23.176407
1952-03-27,15.185580
1952-03-28,11.989805
1952-03-29,9.485903
1952-03-30,9.900720
1952-03-31,16.749979
1952-04-01,34.482834
1952-04-02,33.824249
1952-04-03,47.849476
1952-04-04,51.151218
1952-04-05,36.998241
1952-04-06,34.228840
1952-04-07,43.487133
1952-04-08,34.288082
1952-04-09,13.126108
1952-04-10,10.606408
1952-04-11,15.618632
1952-04-12,11.172292
1952-04-13,12.408789
1952-04-14,8.828079
1952-04-15,9.444723
1952-04-16,19.652529
1952-04-17,28.252838
1952-04-18,18.809061
1952-04-19,17.743610
1952-04-20,30.712996
1952-04-21,36.869846
1952-04-22,46.732227
1952-04-23,57.587803
1952-04-24,64.948463
1952-04-25,60.671783
1952-04-26,48.228714
1952-04-27,49.238071
1952-04-28,47.767677
1952-04-29,43.568272
1952-04-30,38.456371
1952-05-01,23.414736
1952-05-02,27.275265
1952-05-03,33.071430
1952-05-04,26.391743
1952-05-05,27.786076
1952-05-06,38.279369
1952-05-07,43.178619
1952-05-08,26.853943
1952-05-09,18.550091
1952-05-10,14.436900
1952-05-11,15.243820
1952-05-12,19.861912
1952-05-13,11.035015
1952-05-14,9.041096
1952-05-15,15.784381
1952-05-16,38.062508
1952-05-17,40.386341
1952-05-18,31.628189
1952-05-19,35.992016
1952-05-20,32.395138
1952-05-21,27.623810
1952-05-22,30.005518
1952-05-23,32.705421
1952-05-24,42.997684
1952-05-25,49.512566
1952-05-26,51.508060
1952-05-27,69.632233
1952-05-28,72.657486
1952-05-29,53.664040
1952-05-30,53.568367
1952-05-31,60.566940
1952-06-01,60.162384
1952-06-02,60.526402
1952-06-03,54.445419
1952-06-04,53.675869
1952-06-05,56.046593
1952-06-06,60.249687
1952-06-07,62.002792
1952-06-08,60.226612
1952-06-09,54.453144
1952-06-10,54.610069
1952-06-11,52.790447
1952-06-12,45.583691
1952-06-13,39.483612
1952-06-14,42.671848
1952-06-15,45.883102
1952-06-16,47.395164
1952-06-17,45.089108
1952-06-18,40.259251
1952-06-19,42.949200
1952-06-20,49.370617
1952-06-21,52.621986
1952-06-22,56.531536
1952-06-23,54.556831
1952-06-24,49.792496
1952-06-25,44.786915
1952-06-26,42.161152
1952-06-27,36.192890
1952-06-28,36.652355
1952-06-29,39.263401
1952-06-30,43.842575
1952-07-01,46.041439
1952-07-02,50.946751
1952-07-03,45.417263
1952-07-04,46.635017
1952-07-05,45.501312
1952-07-06,52.017670
1952-07-07,56.503845
1952-07-08,61.611603
1952-07-09,60.463741
1952-07-10,55.883560
1952-07-11,48.868069
1952-07-12,37.732784
1952-07-13,37.742916
1952-07-14,44.852737
1952-07-15,60.039772
1952-07-16,52.867672
1952-07-17,49.742485
1952-07-18,45.999310
1952-07-19,45.774952
1952-07-20,45.308216
1952-07-21,42.798412
1952-07-22,42.804081
1952-07-23,43.202862
1952-07-24,33.501701
1952-07-25,29.950500
1952-07-26,30.352850
1952-07-27,31.531273
1952-07-28,31.432892
1952-07-29,31.102884
1952-07-30,29.931438
1952-07-31,28.564169
1952-08-01,26.379507
1952-08-02,26.222862
1952-08-03,25.953554
1952-08-04,29.540113
1952-08-05,28.251465
1952-08-06,28.206112
1952-08-07,25.476700
1952-08-08,25.968933
1952-08-09,28.207922
1952-08-10,30.519470
1952-08-11,33.454842
1952-08-12,31.926508
1952-08-13,30.555429
1952-08-14,27.037411
1952-08-15,26.654385
1952-08-16,28.207285
1952-08-17,30.297894
1952-08-18,35.786804
1952-08-19,36.278152
1952-08-20,33.679222
1952-08-21,27.981047
1952-08-22,28.781343
1952-08-23,36.683342
1952-08-24,37.040352
1952-08-25,29.326418
1952-08-26,21.663139
1952-08-27,18.743603
1952-08-28,24.038073
1952-08-29,29.490168
1952-08-30,33.862770
1952-08-31,42.896755
1952-09-01,40.961044
1952-09-02,36.835194
1952-09-03,40.201939
1952-09-04,41.923737
1952-09-05,34.670406
1952-09-06,32.986710
1952-09-07,30.726452
1952-09-08,31.607460
1952-09-09,40.837738
1952-09-10,41.765682
1952-09-11,43.218872
1952-09-12,42.134232
1952-09-13,43.195992
1952-09-14,40.941250
1952-09-15,36.885437
1952-09-16,36.947540
1952-09-17,44.692139
1952-09-18,46.655437
1952-09-19,53.490570
1952-09-20,53.941799
1952-09-21,58.682056
1952-09-22,84.291176
1952-09-23,73.078117
1952-09-24,47.928680
1952-09-25,44.454144
1952-09-26,41.247635
1952-09-27,45.884388
1952-09-28,49.903854
1952-09-29,45.284946
1952-09-30,38.219887
1952-10-01,40.838795
1952-10-02,41.437805
1952-10-03,44.293419
1952-10-04,41.694073
1952-10-05,44.083241
1952-10-06,47.938854
1952-10-07,76.689278
1952-10-08,64.644951
1952-10-09,61.329365
1952-10-10,47.731400
1952-10-11,48.244606
1952-10-12,44.471462
1952-10-13,42.005272
1952-10-14,37.718918
1952-10-15,38.723461
1952-10-16,39.109398
1952-10-17,44.811924
1952-10-18,41.807487
1952-10-19,41.353241
1952-10-20,45.807747
1952-10-21,56.512306
1952-10-22,72.077362
1952-10-23,63.818356
1952-10-24,63.711380
1952-10-25,66.552063
1952-10-26,75.146523
1952-10-27,74.969452
1952-10-28,59.762478
1952-10-29,54.347988
1952-10-30,45.278252
1952-10-31,41.696327
1952-11-01,49.252289
1952-11-02,58.066326
1952-11-03,60.983585
1952-11-04,57.896332
1952-11-05,43.880814
1952-11-06,45.272717
1952-11-07,45.947266
1952-11-08,54.800457
1952-11-09,37.564369
1952-11-10,37.930408
1952-11-11,53.292343
1952-11-12,54.849415
1952-11-13,43.885551
1952-11-14,43.691509
1952-11-15,50.669189
1952-11-16,52.638107
1952-11-17,56.920322
1952-11-18,53.965466
1952-11-19,57.687546
1952-11-20,50.251274
1952-11-21,44.901127
1952-11-22,37.571133
1952-11-23,49.497021
1952-11-24,52.746696
1952-11-25,35.079647
1952-11-26,37.027992
1952-11-27,29.152931
1952-11-28,25.633507
1952-11-29,19.693417
1952-11-30,26.874140
1952-12-01,28.219215
1952-12-02,20.265820
1952-12-03,18.110909
1952-12-04,19.476173
1952-12-05,21.972580
1952-12-06,23.925034
1952-12-07,24.022884
1952-12-08,23.331318
1952-12-09,18.324568
1952-12-10,20.194407
1952-12-11,23.445049
1952-12-12,34.217072
1952-12-13,37.167126
1952-12-14,25.277477
1952-12-15,19.318985
1952-12-16,22.570477
1952-12-17,20.559832
1952-12-18,19.252268
1952-12-19,22.515768
1952-12-20,26.345419
1952-12-21,33.908432
1952-12-22,43.928005
1952-12-23,50.144146
1952-12-24,51.327652
1952-12-25,27.771507
1952-12-26,23.559965
1952-12-27,26.174925
1952-12-28,25.417313
1952-12-29,38.688995
1952-12-30,36.035667
1952-12-31,43.437073
1953-01-01,40.427120
1953-01-02,29.784386
1953-01-03,31.243793
1953-01-04,29.022205
1953-01-05,11.873662
1953-01-06,13.497150
1953-01-07,20.415855
1953-01-08,17.204462
1953-01-09,20.111109
1953-01-10,25.129076
1953-01-11,35.527256
1953-01-12,41.972851
1953-01-13,50.521751
1953-01-14,46.311756
1953-01-15,52.486130
1953-01-16,54.543468
1953-01-17,33.538101
1953-01-18,29.075369
1953-01-19,42.753502
1953-01-20,42.191696
1953-01-21,41.230499
1953-01-22,60.240551
1953-01-23,58.448795
1953-01-24,53.008213
1953-01-25,58.053265
1953-01-26,58.865372
1953-01-27,59.591042
1953-01-28,58.581783
1953-01-29,66.806892
1953-01-30,57.663460
