#Variables:
#vas_bcc-csm1-1_rcp45(ms-1):Northward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_vas_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,vas_bcc-csm1-1_rcp45(ms-1)"
2006-05-26,-2.596637
2006-05-27,2.073567
2006-05-28,6.735930
2006-05-29,6.918271
2006-05-30,5.142955
2006-05-31,5.313062
2006-06-01,5.994496
2006-06-02,5.035006
2006-06-03,5.457346
2006-06-04,5.477585
2006-06-05,3.166254
2006-06-06,3.685194
2006-06-07,4.167916
2006-06-08,5.935331
2006-06-09,2.918558
2006-06-10,2.542835
2006-06-11,2.495134
2006-06-12,2.535482
2006-06-13,3.462581
2006-06-14,-1.274491
2006-06-15,-4.136105
2006-06-16,-1.732976
2006-06-17,-0.029664
2006-06-18,3.495903
2006-06-19,2.368171
2006-06-20,4.377243
2006-06-21,6.966468
2006-06-22,6.113190
2006-06-23,5.239574
2006-06-24,5.153141
2006-06-25,4.191028
2006-06-26,4.129930
2006-06-27,4.554259
2006-06-28,6.089882
2006-06-29,7.256848
2006-06-30,6.781560
2006-07-01,6.901385
2006-07-02,4.919782
2006-07-03,4.199769
2006-07-04,4.497124
2006-07-05,4.955462
2006-07-06,4.589149
2006-07-07,4.144739
2006-07-08,3.816666
2006-07-09,4.496407
2006-07-10,4.207162
2006-07-11,3.528496
2006-07-12,2.704659
2006-07-13,2.740666
2006-07-14,3.110268
2006-07-15,1.253161
2006-07-16,0.833026
2006-07-17,2.616823
2006-07-18,3.282691
2006-07-19,3.968208
2006-07-20,3.924008
2006-07-21,3.124860
2006-07-22,2.615637
2006-07-23,1.511916
2006-07-24,0.562780
2006-07-25,-0.592497
2006-07-26,-5.303517
2006-07-27,1.649223
2006-07-28,0.983842
2006-07-29,2.844323
2006-07-30,2.673254
2006-07-31,0.896888
2006-08-01,1.437070
2006-08-02,2.306151
2006-08-03,2.526023
2006-08-04,3.050507
2006-08-05,3.023950
2006-08-06,2.398970
2006-08-07,3.112474
2006-08-08,4.120758
2006-08-09,3.069674
2006-08-10,3.020122
2006-08-11,3.524146
2006-08-12,4.958163
2006-08-13,5.070690
2006-08-14,4.380704
2006-08-15,4.114974
2006-08-16,4.562916
2006-08-17,3.864331
2006-08-18,3.071159
2006-08-19,2.373241
2006-08-20,2.315142
2006-08-21,2.109322
2006-08-22,2.728262
2006-08-23,4.021696
2006-08-24,3.780865
2006-08-25,2.900704
2006-08-26,1.814907
2006-08-27,0.780890
2006-08-28,1.572182
2006-08-29,3.019138
2006-08-30,3.733341
2006-08-31,2.675251
2006-09-01,1.590758
2006-09-02,1.880483
2006-09-03,2.133607
2006-09-04,2.418887
2006-09-05,4.157935
2006-09-06,4.206469
2006-09-07,2.716248
2006-09-08,0.049623
2006-09-09,-0.117635
2006-09-10,2.314790
2006-09-11,3.669621
2006-09-12,2.789789
2006-09-13,0.539077
2006-09-14,-1.593250
2006-09-15,-2.258603
2006-09-16,-2.955633
2006-09-17,-1.204032
2006-09-18,1.994384
2006-09-19,0.773358
2006-09-20,-2.929081
2006-09-21,-2.962918
2006-09-22,-4.157182
2006-09-23,-1.616799
2006-09-24,0.756522
2006-09-25,2.894786
2006-09-26,2.011437
2006-09-27,-4.149709
2006-09-28,-1.558761
2006-09-29,2.371664
2006-09-30,2.554827
2006-10-01,2.755959
2006-10-02,3.451038
2006-10-03,4.536962
2006-10-04,5.788020
2006-10-05,5.211109
2006-10-06,2.343350
2006-10-07,0.798549
2006-10-08,2.120571
2006-10-09,-5.202847
2006-10-10,1.000238
2006-10-11,5.404616
2006-10-12,4.241972
2006-10-13,0.077536
2006-10-14,4.335843
2006-10-15,3.665097
2006-10-16,-4.120844
2006-10-17,-1.513886
2006-10-18,1.351220
2006-10-19,3.062402
2006-10-20,3.863325
2006-10-21,4.104144
2006-10-22,4.895157
2006-10-23,5.250285
2006-10-24,4.722361
2006-10-25,5.148103
2006-10-26,5.432141
2006-10-27,5.464665
2006-10-28,6.324381
2006-10-29,4.318991
2006-10-30,2.677779
2006-10-31,3.896221
2006-11-01,4.707062
2006-11-02,2.802110
2006-11-03,3.343870
2006-11-04,-3.477806
2006-11-05,-3.799856
2006-11-06,-0.113482
2006-11-07,5.261123
2006-11-08,4.243429
2006-11-09,2.074690
2006-11-10,2.438743
2006-11-11,6.179177
2006-11-12,3.176711
2006-11-13,3.519824
2006-11-14,2.963762
2006-11-15,3.958596
2006-11-16,4.135782
2006-11-17,4.491598
2006-11-18,5.129980
2006-11-19,3.785876
2006-11-20,1.130988
2006-11-21,4.631172
2006-11-22,5.737950
2006-11-23,5.668395
2006-11-24,4.832093
2006-11-25,3.677473
2006-11-26,6.695089
2006-11-27,2.607077
2006-11-28,3.420823
2006-11-29,4.588252
2006-11-30,4.231377
2006-12-01,-6.657744
2006-12-02,-2.955804
2006-12-03,4.063649
2006-12-04,4.974596
2006-12-05,4.408400
2006-12-06,1.891031
2006-12-07,4.559531
2006-12-08,5.160768
2006-12-09,-2.801058
2006-12-10,-5.982614
2006-12-11,1.843507
2006-12-12,1.836192
2006-12-13,3.539145
2006-12-14,4.572794
2006-12-15,5.446069
2006-12-16,4.657647
2006-12-17,3.570097
2006-12-18,-1.707674
2006-12-19,-6.257378
2006-12-20,0.800733
2006-12-21,3.602877
2006-12-22,-1.296696
2006-12-23,-1.749560
2006-12-24,3.647706
2006-12-25,-1.426096
2006-12-26,-1.177834
2006-12-27,3.731333
2006-12-28,5.530304
2006-12-29,4.000116
2006-12-30,4.305799
2006-12-31,4.488831
2007-01-01,0.128333
2007-01-02,3.405017
2007-01-03,5.743351
2007-01-04,1.329969
2007-01-05,-2.079401
2007-01-06,4.261862
2007-01-07,2.727950
2007-01-08,-2.574688
2007-01-09,-2.670122
2007-01-10,-2.716610
2007-01-11,1.587717
2007-01-12,-5.240420
2007-01-13,-3.315300
2007-01-14,3.101822
2007-01-15,-3.147616
2007-01-16,-3.672709
2007-01-17,4.062957
2007-01-18,4.794253
2007-01-19,4.004303
2007-01-20,3.293831
2007-01-21,5.170390
2007-01-22,3.974350
2007-01-23,2.721131
2007-01-24,3.106866
2007-01-25,5.352880
2007-01-26,5.947149
2007-01-27,0.586276
2007-01-28,2.612533
2007-01-29,0.501681
2007-01-30,2.638687
2007-01-31,6.035623
2007-02-01,6.118540
2007-02-02,4.185765
2007-02-03,3.824555
2007-02-04,7.595986
2007-02-05,6.347136
2007-02-06,3.466926
2007-02-07,5.860441
2007-02-08,-2.967818
2007-02-09,-4.128450
2007-02-10,1.472930
2007-02-11,1.814075
2007-02-12,-1.969175
2007-02-13,4.574970
2007-02-14,5.595201
2007-02-15,5.058131
2007-02-16,-3.492079
2007-02-17,0.040987
2007-02-18,5.293450
2007-02-19,6.957374
2007-02-20,5.901044
2007-02-21,6.997665
2007-02-22,3.696670
2007-02-23,-0.197583
2007-02-24,4.326113
2007-02-25,-6.227141
2007-02-26,-2.008641
2007-02-27,3.771338
2007-02-28,2.986752
2007-03-01,-0.169604
2007-03-02,0.874398
2007-03-03,7.272639
2007-03-04,7.220877
2007-03-05,3.033831
2007-03-06,0.367435
2007-03-07,-0.252338
2007-03-08,-0.980052
2007-03-09,1.920620
2007-03-10,3.162437
2007-03-11,-5.835998
2007-03-12,-3.237295
2007-03-13,1.962019
2007-03-14,4.362916
2007-03-15,6.109897
2007-03-16,3.442026
2007-03-17,3.718018
2007-03-18,-3.736294
2007-03-19,-3.689054
2007-03-20,4.451610
2007-03-21,6.597787
2007-03-22,2.903581
2007-03-23,-1.213330
2007-03-24,-1.543664
2007-03-25,-2.078402
2007-03-26,-3.071378
2007-03-27,-4.767462
2007-03-28,3.866554
2007-03-29,5.658896
2007-03-30,5.342886
2007-03-31,0.610543
2007-04-01,-2.484421
2007-04-02,4.751058
2007-04-03,5.283373
2007-04-04,4.388590
2007-04-05,4.634477
2007-04-06,-3.529534
2007-04-07,3.899929
2007-04-08,4.472002
2007-04-09,4.633553
2007-04-10,1.701365
2007-04-11,-5.246668
2007-04-12,2.876521
2007-04-13,8.216674
2007-04-14,6.446535
2007-04-15,3.551733
2007-04-16,-7.566953
2007-04-17,-2.976327
2007-04-18,4.045944
2007-04-19,6.323684
2007-04-20,5.555349
2007-04-21,3.444980
2007-04-22,2.541445
2007-04-23,5.672876
2007-04-24,1.549475
2007-04-25,-5.426380
2007-04-26,-3.639072
2007-04-27,4.971109
2007-04-28,7.153041
2007-04-29,6.198313
2007-04-30,0.284929
2007-05-01,2.849962
2007-05-02,4.389646
2007-05-03,3.482918
2007-05-04,2.683794
2007-05-05,-0.497132
2007-05-06,-1.434526
2007-05-07,-1.176162
2007-05-08,2.469992
2007-05-09,7.451375
2007-05-10,7.196142
2007-05-11,3.815611
2007-05-12,2.665055
2007-05-13,2.904835
2007-05-14,3.856138
2007-05-15,5.497324
2007-05-16,1.996383
2007-05-17,0.621451
2007-05-18,-0.928003
2007-05-19,4.202297
2007-05-20,4.683875
2007-05-21,5.291703
2007-05-22,5.357312
2007-05-23,5.825827
2007-05-24,7.163549
2007-05-25,0.378214
2007-05-26,-1.133985
2007-05-27,5.005332
2007-05-28,7.800230
2007-05-29,6.772916
2007-05-30,6.363873
2007-05-31,5.541514
2007-06-01,5.110560
2007-06-02,4.009014
2007-06-03,6.666206
2007-06-04,6.294949
2007-06-05,5.544093
2007-06-06,4.299887
2007-06-07,4.830481
2007-06-08,4.543303
2007-06-09,-0.871128
2007-06-10,2.508055
2007-06-11,5.966513
2007-06-12,4.284272
2007-06-13,2.475813
2007-06-14,0.069847
2007-06-15,-1.223406
2007-06-16,2.841655
2007-06-17,3.910947
2007-06-18,3.392172
2007-06-19,3.555199
2007-06-20,3.339748
2007-06-21,3.331849
2007-06-22,3.862524
2007-06-23,3.699126
2007-06-24,3.999240
2007-06-25,5.033127
2007-06-26,6.168410
2007-06-27,6.209533
2007-06-28,2.889740
2007-06-29,-0.148970
2007-06-30,2.161726
2007-07-01,2.721239
2007-07-02,2.706484
2007-07-03,2.832540
2007-07-04,3.861395
2007-07-05,3.131442
2007-07-06,3.020153
2007-07-07,3.144376
2007-07-08,2.690032
2007-07-09,3.861904
2007-07-10,3.835303
2007-07-11,3.514390
2007-07-12,4.478686
2007-07-13,4.904297
2007-07-14,4.283770
2007-07-15,3.684268
2007-07-16,3.109915
2007-07-17,-0.540193
2007-07-18,-1.478304
2007-07-19,-2.318429
2007-07-20,-1.335418
2007-07-21,1.526074
2007-07-22,-1.699693
2007-07-23,1.466619
2007-07-24,4.985560
2007-07-25,2.551032
2007-07-26,-1.115223
2007-07-27,3.997108
2007-07-28,6.250520
2007-07-29,5.826506
2007-07-30,6.171340
2007-07-31,5.211275
2007-08-01,2.254987
2007-08-02,1.988070
2007-08-03,3.253941
2007-08-04,4.307047
2007-08-05,4.187687
2007-08-06,4.486789
2007-08-07,3.462319
2007-08-08,3.159433
2007-08-09,3.159827
2007-08-10,3.482320
2007-08-11,3.754999
2007-08-12,4.141636
2007-08-13,3.144313
2007-08-14,2.701719
2007-08-15,2.480837
2007-08-16,2.129337
2007-08-17,3.315513
2007-08-18,4.353414
2007-08-19,4.114341
2007-08-20,3.652273
2007-08-21,5.985174
2007-08-22,5.466089
2007-08-23,6.035282
2007-08-24,5.685537
2007-08-25,5.429320
2007-08-26,2.444445
2007-08-27,0.269652
2007-08-28,2.207473
2007-08-29,3.345881
2007-08-30,3.858166
2007-08-31,3.783812
2007-09-01,4.475010
2007-09-02,3.587799
2007-09-03,3.560110
2007-09-04,3.977070
2007-09-05,4.987703
2007-09-06,1.889416
2007-09-07,-2.498216
2007-09-08,-2.826284
2007-09-09,-2.854018
2007-09-10,-0.679715
2007-09-11,3.785989
2007-09-12,3.365965
2007-09-13,-0.742846
2007-09-14,-2.282810
2007-09-15,-3.230604
2007-09-16,-2.575490
2007-09-17,-4.309903
2007-09-18,-3.627908
2007-09-19,-1.478491
2007-09-20,-1.255587
2007-09-21,1.602949
2007-09-22,1.462686
2007-09-23,2.755337
2007-09-24,3.391442
2007-09-25,5.857884
2007-09-26,-5.032133
2007-09-27,-3.173082
2007-09-28,3.590979
2007-09-29,4.132302
2007-09-30,4.508250
2007-10-01,5.293421
2007-10-02,5.821942
2007-10-03,4.234011
2007-10-04,1.988079
2007-10-05,4.795597
2007-10-06,4.533904
2007-10-07,5.348190
2007-10-08,6.239305
2007-10-09,4.251753
2007-10-10,3.560609
2007-10-11,4.121668
2007-10-12,2.003372
2007-10-13,-6.935733
2007-10-14,-5.722762
2007-10-15,-6.258764
2007-10-16,-3.280869
2007-10-17,-1.598809
2007-10-18,-2.698064
2007-10-19,-0.929396
2007-10-20,0.646928
2007-10-21,2.295841
2007-10-22,4.183493
2007-10-23,4.624967
2007-10-24,4.516463
2007-10-25,3.897664
2007-10-26,2.729058
2007-10-27,1.281417
2007-10-28,1.966502
2007-10-29,2.421938
2007-10-30,-2.562531
2007-10-31,-6.201214
2007-11-01,-5.822578
2007-11-02,1.729267
2007-11-03,4.077827
2007-11-04,2.156860
2007-11-05,-1.778901
2007-11-06,-2.363222
2007-11-07,-4.659369
2007-11-08,2.427540
2007-11-09,-2.367697
2007-11-10,-4.947543
2007-11-11,1.209630
2007-11-12,3.259596
2007-11-13,2.086997
2007-11-14,3.004372
2007-11-15,4.644668
2007-11-16,6.172557
2007-11-17,5.492555
2007-11-18,-1.500519
2007-11-19,-4.835516
2007-11-20,-9.652162
2007-11-21,-8.695437
2007-11-22,-4.461128
2007-11-23,-1.203659
2007-11-24,3.565390
2007-11-25,5.395689
2007-11-26,7.835805
2007-11-27,6.788521
2007-11-28,4.336661
2007-11-29,-2.641966
2007-11-30,1.066777
2007-12-01,0.731847
2007-12-02,4.561151
2007-12-03,5.977762
2007-12-04,-0.899255
2007-12-05,-3.077570
2007-12-06,3.429786
2007-12-07,4.091430
2007-12-08,-3.616219
2007-12-09,1.703191
2007-12-10,-0.520161
2007-12-11,4.011720
2007-12-12,4.391762
2007-12-13,2.648969
2007-12-14,5.871953
2007-12-15,1.245030
2007-12-16,5.203640
2007-12-17,3.268054
2007-12-18,3.423551
2007-12-19,0.172208
2007-12-20,-4.997095
2007-12-21,1.193042
2007-12-22,-2.446522
2007-12-23,-5.303246
2007-12-24,-3.098352
2007-12-25,-5.054005
2007-12-26,-4.639304
2007-12-27,-2.644667
2007-12-28,-2.614053
2007-12-29,3.951700
2007-12-30,-5.052680
2007-12-31,-2.471691
2008-01-01,-1.860092
2008-01-02,1.738686
2008-01-03,2.997187
2008-01-04,2.305041
2008-01-05,1.815426
2008-01-06,3.347317
2008-01-07,5.356992
2008-01-08,4.369669
2008-01-09,-2.811131
2008-01-10,3.068243
2008-01-11,4.211493
2008-01-12,4.964462
2008-01-13,1.983635
2008-01-14,1.230098
2008-01-15,3.423922
2008-01-16,2.029825
2008-01-17,5.012247
2008-01-18,-3.782319
2008-01-19,1.629320
2008-01-20,-1.550161
2008-01-21,3.162071
2008-01-22,3.327888
2008-01-23,2.940312
2008-01-24,4.123552
2008-01-25,3.270599
2008-01-26,-1.625209
2008-01-27,2.944219
2008-01-28,4.593986
2008-01-29,-5.748708
2008-01-30,-7.192037
2008-01-31,-6.824473
2008-02-01,4.024909
2008-02-02,-0.800792
2008-02-03,-0.528682
2008-02-04,5.814412
2008-02-05,-3.551247
2008-02-06,-6.908363
2008-02-07,-4.722445
2008-02-08,-3.206984
2008-02-09,-3.547514
2008-02-10,-2.492014
2008-02-11,-1.119138
2008-02-12,-0.604311
2008-02-13,4.142491
2008-02-14,6.623528
2008-02-15,2.793068
2008-02-16,0.513542
2008-02-17,2.009554
2008-02-18,-2.706372
2008-02-19,4.437046
2008-02-20,4.434212
2008-02-21,4.602190
2008-02-22,4.206778
2008-02-23,4.414462
2008-02-24,5.483311
2008-02-25,3.438767
2008-02-26,1.962989
2008-02-27,-1.885898
2008-02-28,5.292276
2008-02-29,4.264414
2008-03-01,3.236553
2008-03-02,2.695773
2008-03-03,5.847016
2008-03-04,6.165087
2008-03-05,6.562391
2008-03-06,6.392894
2008-03-07,3.923218
2008-03-08,-1.453208
2008-03-09,5.001401
2008-03-10,-5.033333
2008-03-11,3.122675
2008-03-12,5.002362
2008-03-13,-1.711657
2008-03-14,5.998975
2008-03-15,7.600587
2008-03-16,4.055196
2008-03-17,1.846498
2008-03-18,-0.812841
2008-03-19,-5.069085
2008-03-20,4.458943
2008-03-21,2.681545
2008-03-22,-0.842787
2008-03-23,-4.685866
2008-03-24,-0.888699
2008-03-25,6.300049
2008-03-26,4.773181
2008-03-27,-6.524787
2008-03-28,-7.853754
2008-03-29,4.482082
2008-03-30,8.894053
2008-03-31,4.124707
2008-04-01,-0.211319
2008-04-02,-2.664831
2008-04-03,3.780140
2008-04-04,4.958727
2008-04-05,3.285790
2008-04-06,-2.891217
2008-04-07,-2.112264
2008-04-08,4.827502
2008-04-09,3.588313
2008-04-10,-3.232721
2008-04-11,2.830218
2008-04-12,4.929710
2008-04-13,-6.494527
2008-04-14,-8.133638
2008-04-15,3.940801
2008-04-16,6.139179
2008-04-17,2.689061
2008-04-18,-0.365746
2008-04-19,1.683840
2008-04-20,2.182747
2008-04-21,-1.539593
2008-04-22,3.403104
2008-04-23,5.883339
2008-04-24,7.962022
2008-04-25,3.717622
2008-04-26,3.417457
2008-04-27,-4.599446
2008-04-28,-3.630269
2008-04-29,7.609373
2008-04-30,2.182493
2008-05-01,3.409683
2008-05-02,3.859430
2008-05-03,4.464381
2008-05-04,6.275935
2008-05-05,3.972662
2008-05-06,-2.022064
2008-05-07,-4.887226
2008-05-08,-3.261103
2008-05-09,3.145677
2008-05-10,6.147060
2008-05-11,2.685590
2008-05-12,3.296036
2008-05-13,4.479126
2008-05-14,3.341645
2008-05-15,4.217205
2008-05-16,5.516851
2008-05-17,5.297742
2008-05-18,1.495505
2008-05-19,-1.383425
2008-05-20,0.353552
2008-05-21,0.579296
2008-05-22,3.661838
2008-05-23,6.071816
2008-05-24,5.538753
2008-05-25,3.286329
2008-05-26,4.689042
2008-05-27,5.360898
2008-05-28,4.301928
2008-05-29,4.663412
2008-05-30,5.004073
2008-05-31,4.386941
2008-06-01,4.704294
2008-06-02,5.252066
2008-06-03,3.285583
2008-06-04,2.044855
2008-06-05,3.466182
2008-06-06,-0.111256
2008-06-07,-0.764239
2008-06-08,-0.534102
2008-06-09,2.525833
2008-06-10,4.424856
2008-06-11,2.062792
2008-06-12,-0.430550
2008-06-13,3.149148
2008-06-14,4.183341
2008-06-15,3.753679
2008-06-16,5.193341
2008-06-17,3.528909
2008-06-18,3.272831
2008-06-19,3.535147
2008-06-20,5.185144
2008-06-21,5.260410
2008-06-22,5.410288
2008-06-23,4.555710
2008-06-24,2.981867
2008-06-25,0.672536
2008-06-26,0.913420
2008-06-27,2.637113
2008-06-28,-0.670869
2008-06-29,-0.560015
2008-06-30,-1.843041
2008-07-01,-0.798125
2008-07-02,2.462418
2008-07-03,4.756143
2008-07-04,6.599755
2008-07-05,5.016858
2008-07-06,3.123055
2008-07-07,2.392722
2008-07-08,-0.168589
2008-07-09,0.980666
2008-07-10,2.387887
2008-07-11,2.686782
2008-07-12,2.567019
2008-07-13,1.058460
2008-07-14,1.960896
2008-07-15,-0.994297
2008-07-16,-0.047770
2008-07-17,1.470383
2008-07-18,1.770612
2008-07-19,2.349397
2008-07-20,2.713175
2008-07-21,2.114959
2008-07-22,1.886982
2008-07-23,3.399148
2008-07-24,4.316859
2008-07-25,4.406418
2008-07-26,3.355430
2008-07-27,3.566807
2008-07-28,4.073961
2008-07-29,4.584459
2008-07-30,4.958611
2008-07-31,4.354698
2008-08-01,4.202940
2008-08-02,4.025339
2008-08-03,3.299503
2008-08-04,4.074701
2008-08-05,4.517602
2008-08-06,4.167857
2008-08-07,4.143104
2008-08-08,3.820189
2008-08-09,3.138769
2008-08-10,3.744341
2008-08-11,4.065419
2008-08-12,4.052935
2008-08-13,3.123990
2008-08-14,2.852927
2008-08-15,3.960529
2008-08-16,6.275797
2008-08-17,4.935374
2008-08-18,0.655123
2008-08-19,1.380187
2008-08-20,2.837821
2008-08-21,2.421318
2008-08-22,3.169793
2008-08-23,2.601332
2008-08-24,3.652908
2008-08-25,4.113105
2008-08-26,1.965257
2008-08-27,-0.592618
2008-08-28,-1.843263
2008-08-29,-3.290277
2008-08-30,-3.112499
2008-08-31,-3.958566
2008-09-01,-2.871595
2008-09-02,-2.380142
2008-09-03,-0.221895
2008-09-04,1.276315
2008-09-05,1.852802
2008-09-06,3.277515
2008-09-07,4.029766
2008-09-08,4.891724
2008-09-09,6.243958
2008-09-10,5.160249
2008-09-11,4.540262
2008-09-12,4.404524
2008-09-13,4.242513
2008-09-14,2.647208
2008-09-15,0.739255
2008-09-16,-1.949039
2008-09-17,0.138373
2008-09-18,-1.800969
2008-09-19,1.996334
2008-09-20,5.281655
2008-09-21,2.131439
2008-09-22,-5.728144
2008-09-23,-1.810059
2008-09-24,3.394390
2008-09-25,5.063169
2008-09-26,5.541827
2008-09-27,5.415021
2008-09-28,5.614383
2008-09-29,4.741340
2008-09-30,3.202460
2008-10-01,-2.823702
2008-10-02,-2.215877
2008-10-03,-0.631349
2008-10-04,3.549563
2008-10-05,3.499379
2008-10-06,6.786679
2008-10-07,2.619942
2008-10-08,-4.074348
2008-10-09,3.546457
2008-10-10,3.621522
2008-10-11,4.185720
2008-10-12,-0.030667
2008-10-13,1.880025
2008-10-14,4.814136
2008-10-15,5.664681
2008-10-16,6.328837
2008-10-17,6.484219
2008-10-18,4.443522
2008-10-19,3.588449
2008-10-20,4.353150
2008-10-21,-4.859261
2008-10-22,-4.431504
2008-10-23,2.135018
2008-10-24,3.243724
2008-10-25,4.304536
2008-10-26,-0.906225
2008-10-27,-4.216016
2008-10-28,0.906019
2008-10-29,-1.573390
2008-10-30,3.222520
2008-10-31,4.511915
2008-11-01,2.607139
2008-11-02,-2.538123
2008-11-03,2.461878
2008-11-04,2.939965
2008-11-05,4.325213
2008-11-06,3.016056
2008-11-07,-3.266077
2008-11-08,1.128544
2008-11-09,1.846490
2008-11-10,3.141887
2008-11-11,2.351589
2008-11-12,3.743677
2008-11-13,4.505773
2008-11-14,5.357197
2008-11-15,7.144444
2008-11-16,3.775338
2008-11-17,-4.757221
2008-11-18,-5.057091
2008-11-19,-1.752274
2008-11-20,-4.599554
2008-11-21,-2.219031
2008-11-22,3.209176
2008-11-23,-5.187579
2008-11-24,-2.034913
2008-11-25,-2.576544
2008-11-26,-2.020192
2008-11-27,4.216690
2008-11-28,5.861428
2008-11-29,4.302646
2008-11-30,3.654386
2008-12-01,2.321003
2008-12-02,3.976876
2008-12-03,4.880582
2008-12-04,-3.079935
2008-12-05,-4.567388
2008-12-06,-1.990606
2008-12-07,2.714331
2008-12-08,2.292554
2008-12-09,1.545333
2008-12-10,2.585624
2008-12-11,-6.938825
2008-12-12,-6.056492
2008-12-13,3.516278
2008-12-14,4.281871
2008-12-15,-4.890996
2008-12-16,2.755159
2008-12-17,1.671270
2008-12-18,2.156873
2008-12-19,3.568018
2008-12-20,4.712525
2008-12-21,4.475166
2008-12-22,1.089626
2008-12-23,2.908511
2008-12-24,6.395166
2008-12-25,4.951324
2008-12-26,4.050644
2008-12-27,4.512952
2008-12-28,6.735592
2008-12-29,4.125770
2008-12-30,2.990905
2008-12-31,3.196805
2009-01-01,-4.131383
2009-01-02,-2.804179
2009-01-03,2.428981
2009-01-04,2.546997
2009-01-05,-3.458127
2009-01-06,-4.183481
2009-01-07,-3.412328
