#Variables:
#rhsmax_bcc-csm1-1_rcp45(%):Surface Daily Maximum Relative Humidity
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_rhsmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,rhsmax_bcc-csm1-1_rcp45(%)"
2006-05-03,82.793930
2006-05-04,33.941330
2006-05-05,47.965870
2006-05-06,58.912693
2006-05-07,51.879471
2006-05-08,93.703285
2006-05-09,92.252113
2006-05-10,95.940750
2006-05-11,93.014694
2006-05-12,86.074219
2006-05-13,86.232979
2006-05-14,90.547211
2006-05-15,99.438850
2006-05-16,99.281113
2006-05-17,94.876915
2006-05-18,91.181374
2006-05-19,62.333706
2006-05-20,79.204575
2006-05-21,94.434158
2006-05-22,88.089981
2006-05-23,88.190453
2006-05-24,90.687965
2006-05-25,77.528801
2006-05-26,98.200714
2006-05-27,90.921371
2006-05-28,95.692909
2006-05-29,90.230675
2006-05-30,72.862556
2006-05-31,69.127419
2006-06-01,77.020004
2006-06-02,90.894905
2006-06-03,97.879761
2006-06-04,97.134193
2006-06-05,97.777473
2006-06-06,98.729790
2006-06-07,98.319878
2006-06-08,97.966637
2006-06-09,97.881058
2006-06-10,91.187294
2006-06-11,97.888947
2006-06-12,98.075516
2006-06-13,88.998497
2006-06-14,87.147423
2006-06-15,96.060753
2006-06-16,73.802048
2006-06-17,75.849106
2006-06-18,84.415733
2006-06-19,80.571495
2006-06-20,71.068459
2006-06-21,75.672356
2006-06-22,94.738922
2006-06-23,96.954086
2006-06-24,97.200699
2006-06-25,97.492012
2006-06-26,96.890060
2006-06-27,96.546555
2006-06-28,96.065926
2006-06-29,94.755669
2006-06-30,95.929459
2006-07-01,96.069908
2006-07-02,96.132210
2006-07-03,94.888947
2006-07-04,94.288216
2006-07-05,94.896904
2006-07-06,95.144310
2006-07-07,95.814041
2006-07-08,93.727585
2006-07-09,93.693535
2006-07-10,95.815872
2006-07-11,95.142853
2006-07-12,96.204674
2006-07-13,97.326042
2006-07-14,97.780350
2006-07-15,97.299263
2006-07-16,97.333191
2006-07-17,95.353470
2006-07-18,95.376907
2006-07-19,93.810806
2006-07-20,95.155495
2006-07-21,92.102142
2006-07-22,79.497833
2006-07-23,80.869942
2006-07-24,95.678024
2006-07-25,95.379707
2006-07-26,95.340195
2006-07-27,94.147652
2006-07-28,87.959473
2006-07-29,86.851013
2006-07-30,86.415276
2006-07-31,87.257309
2006-08-01,87.216316
2006-08-02,88.447662
2006-08-03,91.406296
2006-08-04,89.441315
2006-08-05,95.023682
2006-08-06,95.984459
2006-08-07,98.345451
2006-08-08,98.565399
2006-08-09,98.313423
2006-08-10,95.358871
2006-08-11,95.189308
2006-08-12,94.916359
2006-08-13,95.441734
2006-08-14,96.411369
2006-08-15,96.563866
2006-08-16,95.102776
2006-08-17,96.692963
2006-08-18,96.465561
2006-08-19,98.951302
2006-08-20,98.857025
2006-08-21,98.667160
2006-08-22,98.671051
2006-08-23,96.529022
2006-08-24,96.493797
2006-08-25,94.901962
2006-08-26,97.394989
2006-08-27,97.065369
2006-08-28,95.932549
2006-08-29,95.762901
2006-08-30,97.632187
2006-08-31,99.152267
2006-09-01,99.021904
2006-09-02,98.900131
2006-09-03,98.066460
2006-09-04,97.306572
2006-09-05,97.647141
2006-09-06,94.633232
2006-09-07,95.218445
2006-09-08,98.961899
2006-09-09,95.537857
2006-09-10,98.578033
2006-09-11,98.577171
2006-09-12,98.758888
2006-09-13,99.567886
2006-09-14,97.933296
2006-09-15,97.142197
2006-09-16,97.279991
2006-09-17,85.426132
2006-09-18,74.149452
2006-09-19,62.911510
2006-09-20,49.853107
2006-09-21,49.279812
2006-09-22,69.546280
2006-09-23,98.383392
2006-09-24,99.509857
2006-09-25,99.529976
2006-09-26,98.939331
2006-09-27,98.694351
2006-09-28,99.563148
2006-09-29,99.329674
2006-09-30,99.133591
2006-10-01,97.479294
2006-10-02,87.627884
2006-10-03,74.416718
2006-10-04,73.710098
2006-10-05,81.293526
2006-10-06,96.784500
2006-10-07,92.072136
2006-10-08,84.761002
2006-10-09,60.630753
2006-10-10,40.396816
2006-10-11,37.531208
2006-10-12,47.678879
2006-10-13,49.116932
2006-10-14,98.341919
2006-10-15,99.868156
2006-10-16,61.613743
2006-10-17,83.364563
2006-10-18,72.043541
2006-10-19,59.572536
2006-10-20,69.392258
2006-10-21,84.411873
2006-10-22,99.847923
2006-10-23,100.000000
2006-10-24,97.441124
2006-10-25,94.326912
2006-10-26,96.450279
2006-10-27,95.829361
2006-10-28,94.434418
2006-10-29,100.000000
2006-10-30,100.000000
2006-10-31,100.000000
2006-11-01,99.995110
2006-11-02,100.000000
2006-11-03,100.000000
2006-11-04,100.000000
2006-11-05,99.927689
2006-11-06,90.788002
2006-11-07,86.769753
2006-11-08,84.836311
2006-11-09,86.675644
2006-11-10,87.658173
2006-11-11,99.976891
2006-11-12,100.000000
2006-11-13,99.957451
2006-11-14,100.000000
2006-11-15,100.000000
2006-11-16,99.953705
2006-11-17,100.000000
2006-11-18,100.000000
2006-11-19,100.000000
2006-11-20,99.949989
2006-11-21,99.995949
2006-11-22,99.986893
2006-11-23,95.903992
2006-11-24,100.000000
2006-11-25,100.000000
2006-11-26,100.000000
2006-11-27,96.258186
2006-11-28,87.635529
2006-11-29,81.996338
2006-11-30,80.403564
2006-12-01,60.754982
2006-12-02,60.839157
2006-12-03,50.946854
2006-12-04,49.347805
2006-12-05,61.343399
2006-12-06,61.685696
2006-12-07,60.726887
2006-12-08,66.667763
2006-12-09,99.669350
2006-12-10,70.159538
2006-12-11,62.243244
2006-12-12,43.515720
2006-12-13,62.342033
2006-12-14,75.845810
2006-12-15,74.312988
2006-12-16,100.000000
2006-12-17,93.725365
2006-12-18,94.522820
2006-12-19,83.473457
2006-12-20,66.852386
2006-12-21,72.369637
2006-12-22,86.095016
2006-12-23,65.273819
2006-12-24,74.153694
2006-12-25,78.123940
2006-12-26,65.015015
2006-12-27,50.362194
2006-12-28,100.000000
2006-12-29,99.977959
2006-12-30,99.968246
2006-12-31,100.000000
2007-01-01,99.848495
2007-01-02,99.587021
2007-01-03,83.782677
2007-01-04,99.761528
2007-01-05,90.589157
2007-01-06,99.573036
2007-01-07,99.967834
2007-01-08,81.161369
2007-01-09,93.000351
2007-01-10,99.726891
2007-01-11,100.000000
2007-01-12,94.998436
2007-01-13,88.518272
2007-01-14,78.513298
2007-01-15,78.628456
2007-01-16,86.019333
2007-01-17,74.277206
2007-01-18,72.347221
2007-01-19,70.839973
2007-01-20,75.595184
2007-01-21,70.943184
2007-01-22,68.563194
2007-01-23,61.371006
2007-01-24,68.543846
2007-01-25,61.172329
2007-01-26,68.366356
2007-01-27,68.344337
2007-01-28,81.045425
2007-01-29,99.929466
2007-01-30,100.000000
2007-01-31,99.810204
2007-02-01,99.574593
2007-02-02,99.557014
2007-02-03,99.786263
2007-02-04,99.804993
2007-02-05,85.594391
2007-02-06,99.913658
2007-02-07,99.633034
2007-02-08,73.542404
2007-02-09,72.669571
2007-02-10,68.303696
2007-02-11,60.554142
2007-02-12,58.471622
2007-02-13,62.505096
2007-02-14,62.604843
2007-02-15,59.900547
2007-02-16,49.497570
2007-02-17,43.515381
2007-02-18,84.567871
2007-02-19,88.464333
2007-02-20,81.503021
2007-02-21,99.911842
2007-02-22,100.000000
2007-02-23,99.893440
2007-02-24,99.974922
2007-02-25,100.000000
2007-02-26,99.854187
2007-02-27,95.987411
2007-02-28,82.126900
2007-03-01,69.891777
2007-03-02,88.310654
2007-03-03,92.010612
2007-03-04,99.737259
2007-03-05,93.168259
2007-03-06,99.240128
2007-03-07,100.000000
2007-03-08,99.260315
2007-03-09,100.000000
2007-03-10,99.983376
2007-03-11,100.000000
2007-03-12,99.543068
2007-03-13,99.935791
2007-03-14,99.368332
2007-03-15,100.000000
2007-03-16,100.000000
2007-03-17,99.426918
2007-03-18,99.120895
2007-03-19,98.965759
2007-03-20,99.931061
2007-03-21,98.651619
2007-03-22,99.061394
2007-03-23,98.315269
2007-03-24,98.196625
2007-03-25,99.049683
2007-03-26,98.337776
2007-03-27,97.602768
2007-03-28,91.527939
2007-03-29,98.727959
2007-03-30,98.440132
2007-03-31,99.637001
2007-04-01,98.719193
2007-04-02,96.268555
2007-04-03,98.619926
2007-04-04,98.715927
2007-04-05,77.692276
2007-04-06,64.390213
2007-04-07,76.136993
2007-04-08,86.966187
2007-04-09,64.454834
2007-04-10,54.589500
2007-04-11,42.645508
2007-04-12,56.954475
2007-04-13,82.592628
2007-04-14,83.382004
2007-04-15,78.707947
2007-04-16,56.934612
2007-04-17,51.978386
2007-04-18,72.027969
2007-04-19,75.394264
2007-04-20,78.928917
2007-04-21,87.254501
2007-04-22,94.657486
2007-04-23,99.653915
2007-04-24,98.527588
2007-04-25,53.400547
2007-04-26,59.055885
2007-04-27,81.458923
2007-04-28,99.130386
2007-04-29,64.680275
2007-04-30,59.646309
2007-05-01,41.111904
2007-05-02,98.423004
2007-05-03,99.654282
2007-05-04,99.434044
2007-05-05,99.780334
2007-05-06,99.487968
2007-05-07,99.676056
2007-05-08,99.680199
2007-05-09,99.413818
2007-05-10,99.643684
2007-05-11,99.588623
2007-05-12,99.656921
2007-05-13,99.667839
2007-05-14,99.689987
2007-05-15,99.718559
2007-05-16,99.417130
2007-05-17,99.500832
2007-05-18,99.546547
2007-05-19,99.280884
2007-05-20,99.297401
2007-05-21,99.335716
2007-05-22,99.222656
2007-05-23,99.291679
2007-05-24,99.203072
2007-05-25,99.297310
2007-05-26,99.535797
2007-05-27,99.552124
2007-05-28,99.417610
2007-05-29,99.215576
2007-05-30,97.662872
2007-05-31,93.166168
2007-06-01,90.696426
2007-06-02,95.288139
2007-06-03,89.927803
2007-06-04,93.136177
2007-06-05,97.937035
2007-06-06,98.795959
2007-06-07,99.171211
2007-06-08,98.536293
2007-06-09,98.012260
2007-06-10,98.777512
2007-06-11,97.854538
2007-06-12,84.669861
2007-06-13,93.193359
2007-06-14,95.301636
2007-06-15,96.998093
2007-06-16,96.551155
2007-06-17,96.667450
2007-06-18,96.528946
2007-06-19,90.515800
2007-06-20,92.769783
2007-06-21,92.964699
2007-06-22,95.766327
2007-06-23,94.783096
2007-06-24,95.435951
2007-06-25,92.748886
2007-06-26,96.411545
2007-06-27,95.868164
2007-06-28,98.300835
2007-06-29,98.417046
2007-06-30,98.441360
2007-07-01,98.670212
2007-07-02,98.644211
2007-07-03,98.589798
2007-07-04,98.588722
2007-07-05,98.625298
2007-07-06,98.425491
2007-07-07,98.348610
2007-07-08,96.510460
2007-07-09,96.061462
2007-07-10,95.833710
2007-07-11,93.095406
2007-07-12,95.973061
2007-07-13,96.157135
2007-07-14,95.679878
2007-07-15,94.805405
2007-07-16,97.665710
2007-07-17,98.946487
2007-07-18,98.501991
2007-07-19,98.246468
2007-07-20,98.556404
2007-07-21,98.552856
2007-07-22,97.982246
2007-07-23,96.575752
2007-07-24,97.687309
2007-07-25,98.062271
2007-07-26,98.683899
2007-07-27,98.906784
2007-07-28,97.969780
2007-07-29,98.660614
2007-07-30,96.856682
2007-07-31,94.861786
2007-08-01,96.593605
2007-08-02,96.813828
2007-08-03,97.281288
2007-08-04,97.264992
2007-08-05,95.366859
2007-08-06,96.216667
2007-08-07,98.735367
2007-08-08,97.409424
2007-08-09,95.297874
2007-08-10,93.755333
2007-08-11,95.982727
2007-08-12,94.855545
2007-08-13,94.861053
2007-08-14,94.200798
2007-08-15,89.069611
2007-08-16,82.632881
2007-08-17,84.082672
2007-08-18,80.376762
2007-08-19,85.532738
2007-08-20,91.592514
2007-08-21,88.211151
2007-08-22,86.375763
2007-08-23,82.659386
2007-08-24,90.956085
2007-08-25,97.428291
2007-08-26,96.780258
2007-08-27,89.084373
2007-08-28,86.264320
2007-08-29,90.220795
2007-08-30,96.099991
2007-08-31,95.955978
2007-09-01,90.308731
2007-09-02,70.935593
2007-09-03,73.169456
2007-09-04,63.386673
2007-09-05,60.517857
2007-09-06,71.401222
2007-09-07,95.056763
2007-09-08,86.537392
2007-09-09,65.699898
2007-09-10,68.627060
2007-09-11,86.186440
2007-09-12,99.049850
2007-09-13,98.605873
2007-09-14,96.436508
2007-09-15,91.626854
2007-09-16,90.265724
2007-09-17,85.401619
2007-09-18,66.499405
2007-09-19,59.931618
2007-09-20,65.084724
2007-09-21,74.548050
2007-09-22,75.661682
2007-09-23,74.425163
2007-09-24,81.460625
2007-09-25,76.506508
2007-09-26,92.800591
2007-09-27,79.270592
2007-09-28,55.162060
2007-09-29,69.780754
2007-09-30,70.077492
2007-10-01,87.046646
2007-10-02,96.461517
2007-10-03,90.175591
2007-10-04,98.974190
2007-10-05,99.568649
2007-10-06,99.242058
2007-10-07,99.643738
2007-10-08,98.812752
2007-10-09,99.976471
2007-10-10,99.913857
2007-10-11,99.908722
2007-10-12,98.792168
2007-10-13,95.953346
2007-10-14,83.376854
2007-10-15,78.081070
2007-10-16,86.485764
2007-10-17,82.445671
2007-10-18,70.720421
2007-10-19,68.689568
2007-10-20,76.536926
2007-10-21,84.817406
2007-10-22,77.194580
2007-10-23,70.935455
2007-10-24,84.596161
2007-10-25,98.766899
2007-10-26,100.000000
2007-10-27,99.950203
2007-10-28,100.000000
2007-10-29,100.000000
2007-10-30,98.791122
2007-10-31,73.961685
2007-11-01,65.870575
2007-11-02,68.347420
2007-11-03,69.399910
2007-11-04,80.055992
2007-11-05,70.740295
2007-11-06,67.834007
2007-11-07,78.728691
2007-11-08,75.384117
2007-11-09,59.442371
2007-11-10,67.152946
2007-11-11,57.485580
2007-11-12,39.032879
2007-11-13,51.544605
2007-11-14,73.744453
2007-11-15,77.649742
2007-11-16,99.965347
2007-11-17,99.991982
2007-11-18,100.000000
2007-11-19,95.049080
2007-11-20,59.383503
2007-11-21,51.939484
2007-11-22,47.238869
2007-11-23,63.659008
2007-11-24,66.560631
2007-11-25,67.840172
2007-11-26,98.148956
2007-11-27,86.079086
2007-11-28,80.473274
2007-11-29,50.841938
2007-11-30,57.163624
2007-12-01,61.567589
2007-12-02,66.976288
2007-12-03,70.159523
2007-12-04,51.832481
2007-12-05,44.817207
2007-12-06,59.874924
2007-12-07,100.000000
2007-12-08,63.589043
2007-12-09,55.976086
2007-12-10,89.210106
2007-12-11,100.000000
2007-12-12,100.000000
2007-12-13,100.000000
2007-12-14,100.000000
2007-12-15,87.605782
2007-12-16,69.045052
2007-12-17,67.530197
2007-12-18,75.929825
2007-12-19,80.307159
2007-12-20,51.348839
2007-12-21,54.069561
2007-12-22,76.217804
2007-12-23,82.244202
2007-12-24,99.248276
2007-12-25,99.282768
2007-12-26,85.868156
2007-12-27,95.017815
2007-12-28,100.000000
2007-12-29,100.000000
2007-12-30,100.000000
2007-12-31,91.230980
2008-01-01,99.310730
2008-01-02,99.611382
2008-01-03,99.627403
2008-01-04,99.438614
2008-01-05,99.994064
2008-01-06,99.887558
2008-01-07,99.822533
2008-01-08,89.286827
2008-01-09,85.558945
2008-01-10,85.498993
2008-01-11,95.192253
2008-01-12,84.039818
2008-01-13,91.100990
2008-01-14,75.246658
2008-01-15,74.132164
2008-01-16,92.406509
2008-01-17,99.855515
2008-01-18,64.622856
2008-01-19,48.482311
2008-01-20,55.465145
2008-01-21,50.874710
2008-01-22,56.206974
2008-01-23,61.015091
2008-01-24,69.570999
2008-01-25,59.430576
2008-01-26,54.362442
2008-01-27,55.499218
2008-01-28,45.189827
2008-01-29,61.259502
2008-01-30,61.540848
2008-01-31,55.218735
2008-02-01,50.932213
2008-02-02,56.664211
2008-02-03,67.477180
2008-02-04,97.222862
2008-02-05,99.646812
2008-02-06,97.859001
2008-02-07,66.751335
2008-02-08,90.303093
2008-02-09,98.114609
2008-02-10,99.569267
2008-02-11,99.329216
2008-02-12,99.545464
2008-02-13,96.639465
2008-02-14,99.778587
2008-02-15,99.971985
2008-02-16,99.149101
2008-02-17,96.908424
2008-02-18,81.495728
2008-02-19,87.829224
2008-02-20,100.000000
2008-02-21,99.934929
2008-02-22,99.941666
2008-02-23,96.339714
2008-02-24,99.814178
2008-02-25,99.903076
2008-02-26,99.973190
2008-02-27,87.124550
2008-02-28,77.426781
2008-02-29,88.713013
2008-03-01,99.999252
2008-03-02,100.000000
2008-03-03,99.731888
2008-03-04,87.662727
2008-03-05,93.543869
2008-03-06,76.854134
2008-03-07,84.945847
2008-03-08,58.531029
2008-03-09,77.338448
2008-03-10,76.434242
2008-03-11,49.147598
2008-03-12,54.694443
2008-03-13,51.104210
2008-03-14,70.312485
2008-03-15,62.775768
2008-03-16,46.117031
2008-03-17,42.806183
2008-03-18,45.185909
2008-03-19,35.226734
2008-03-20,48.477703
2008-03-21,55.772099
2008-03-22,81.217499
2008-03-23,99.824928
2008-03-24,98.938667
2008-03-25,87.432007
2008-03-26,98.294022
2008-03-27,53.747913
2008-03-28,64.808128
2008-03-29,70.748566
2008-03-30,76.591644
2008-03-31,61.318653
2008-04-01,81.897598
2008-04-02,85.472916
2008-04-03,86.934547
2008-04-04,97.424683
2008-04-05,99.019669
2008-04-06,95.470482
2008-04-07,78.116325
2008-04-08,95.116943
2008-04-09,99.659706
2008-04-10,94.370094
2008-04-11,89.276283
2008-04-12,99.644745
2008-04-13,99.595917
2008-04-14,98.625023
2008-04-15,95.086548
2008-04-16,84.854591
2008-04-17,78.355835
2008-04-18,84.243607
2008-04-19,83.235542
2008-04-20,72.249672
2008-04-21,58.043850
2008-04-22,81.072296
2008-04-23,99.301743
2008-04-24,92.262764
2008-04-25,82.389565
2008-04-26,73.092133
2008-04-27,57.975067
2008-04-28,71.891350
2008-04-29,72.844749
2008-04-30,82.658058
2008-05-01,90.191055
2008-05-02,46.847149
2008-05-03,47.804230
2008-05-04,50.969540
2008-05-05,62.349922
2008-05-06,57.350166
2008-05-07,79.434326
2008-05-08,75.290092
2008-05-09,75.860748
2008-05-10,81.468712
2008-05-11,85.876205
2008-05-12,99.413033
2008-05-13,99.693138
2008-05-14,99.659210
2008-05-15,99.676132
2008-05-16,99.256706
2008-05-17,97.970757
2008-05-18,64.371002
2008-05-19,91.332901
2008-05-20,99.392189
2008-05-21,99.550362
2008-05-22,99.552925
2008-05-23,99.577171
2008-05-24,99.354904
2008-05-25,99.440468
2008-05-26,99.186142
2008-05-27,99.293182
2008-05-28,99.324989
2008-05-29,98.362190
2008-05-30,99.183884
2008-05-31,98.188591
2008-06-01,86.654434
2008-06-02,78.644577
2008-06-03,84.203453
2008-06-04,62.377117
2008-06-05,52.391994
2008-06-06,54.258415
2008-06-07,83.836113
2008-06-08,98.992783
2008-06-09,98.691666
2008-06-10,98.787270
2008-06-11,98.076401
2008-06-12,99.214912
2008-06-13,86.444633
2008-06-14,80.886787
2008-06-15,97.439095
2008-06-16,97.581009
2008-06-17,97.392235
2008-06-18,97.779839
2008-06-19,95.844315
2008-06-20,85.709267
2008-06-21,96.567398
2008-06-22,96.498917
2008-06-23,96.596024
2008-06-24,94.717033
2008-06-25,80.403038
2008-06-26,96.075638
2008-06-27,96.565964
2008-06-28,96.601593
2008-06-29,96.737503
2008-06-30,96.141090
2008-07-01,93.781258
2008-07-02,93.599075
2008-07-03,93.703270
2008-07-04,94.893883
2008-07-05,95.930458
2008-07-06,96.017044
2008-07-07,95.975098
2008-07-08,95.889160
2008-07-09,97.041222
2008-07-10,96.236244
2008-07-11,95.874527
2008-07-12,96.130493
2008-07-13,97.137619
2008-07-14,97.809402
2008-07-15,98.582367
2008-07-16,98.616051
2008-07-17,98.677925
2008-07-18,96.945999
2008-07-19,96.602570
2008-07-20,98.160248
2008-07-21,98.432617
2008-07-22,98.565781
2008-07-23,98.555817
2008-07-24,98.456070
2008-07-25,96.841644
2008-07-26,98.486763
2008-07-27,95.327423
2008-07-28,95.379013
2008-07-29,95.428986
2008-07-30,95.146919
2008-07-31,94.872604
2008-08-01,94.919121
2008-08-02,94.863297
2008-08-03,93.844177
2008-08-04,87.990128
2008-08-05,84.323975
2008-08-06,92.964386
2008-08-07,94.557976
2008-08-08,95.013107
2008-08-09,95.028961
2008-08-10,93.837540
2008-08-11,94.936821
2008-08-12,93.095169
2008-08-13,95.077789
2008-08-14,96.912918
2008-08-15,97.953026
2008-08-16,92.743706
2008-08-17,89.725197
2008-08-18,97.222511
2008-08-19,96.992096
2008-08-20,94.283081
2008-08-21,91.886841
2008-08-22,90.711182
2008-08-23,91.446228
2008-08-24,94.479004
2008-08-25,95.583611
2008-08-26,96.979752
2008-08-27,96.449783
2008-08-28,96.704849
2008-08-29,98.038612
2008-08-30,98.656250
2008-08-31,98.742058
2008-09-01,98.321434
2008-09-02,97.654724
2008-09-03,95.277832
2008-09-04,94.984100
2008-09-05,96.221817
2008-09-06,96.851540
2008-09-07,96.730263
2008-09-08,95.827919
2008-09-09,95.171844
2008-09-10,98.378380
2008-09-11,99.120918
2008-09-12,98.601501
2008-09-13,99.548180
2008-09-14,98.444687
2008-09-15,97.735146
2008-09-16,98.195877
2008-09-17,92.321457
2008-09-18,83.887268
2008-09-19,74.577133
2008-09-20,60.818386
2008-09-21,68.979797
2008-09-22,65.000328
2008-09-23,59.127209
2008-09-24,55.687408
2008-09-25,76.835709
2008-09-26,98.362091
2008-09-27,95.560326
2008-09-28,99.977051
2008-09-29,99.936096
2008-09-30,99.979088
2008-10-01,99.951912
2008-10-02,99.817513
2008-10-03,91.410126
2008-10-04,86.942261
2008-10-05,84.132462
2008-10-06,74.970741
2008-10-07,97.935493
2008-10-08,74.784248
2008-10-09,67.033287
2008-10-10,76.326714
2008-10-11,87.344193
2008-10-12,79.245346
2008-10-13,62.667389
2008-10-14,74.323654
2008-10-15,93.267769
2008-10-16,99.963432
2008-10-17,100.000000
2008-10-18,100.000000
2008-10-19,99.927200
2008-10-20,100.000000
2008-10-21,100.000000
2008-10-22,100.000000
2008-10-23,100.000000
2008-10-24,100.000000
2008-10-25,99.960754
2008-10-26,100.000000
2008-10-27,100.000000
2008-10-28,100.000000
2008-10-29,99.430618
2008-10-30,95.512589
2008-10-31,82.981293
2008-11-01,82.306801
2008-11-02,60.234661
2008-11-03,55.792469
2008-11-04,60.194378
2008-11-05,67.368820
2008-11-06,77.836609
2008-11-07,84.945679
2008-11-08,84.857933
2008-11-09,72.099480
2008-11-10,66.626968
2008-11-11,75.350250
2008-11-12,79.955147
2008-11-13,98.860039
2008-11-14,100.000000
2008-11-15,99.959579
2008-11-16,100.000000
2008-11-17,99.992043
2008-11-18,100.000000
2008-11-19,99.984825
2008-11-20,100.000000
2008-11-21,100.000000
2008-11-22,99.989647
2008-11-23,95.772141
2008-11-24,100.000000
2008-11-25,100.000000
2008-11-26,97.976990
2008-11-27,100.000000
2008-11-28,100.000000
2008-11-29,100.000000
2008-11-30,99.366867
2008-12-01,99.884132
2008-12-02,99.885948
2008-12-03,99.889526
2008-12-04,100.000000
2008-12-05,90.072159
2008-12-06,89.985039
2008-12-07,99.890404
2008-12-08,99.340752
2008-12-09,99.520668
2008-12-10,100.000000
2008-12-11,99.811371
2008-12-12,68.094353
2008-12-13,79.207581
2008-12-14,100.000000
2008-12-15,94.030312
2008-12-16,83.565453
2008-12-17,100.000000
2008-12-18,100.000000
2008-12-19,99.997360
2008-12-20,99.988060
2008-12-21,84.225037
2008-12-22,75.828789
2008-12-23,91.019318
2008-12-24,100.000000
2008-12-25,100.000000
2008-12-26,100.000000
2008-12-27,100.000000
2008-12-28,100.000000
2008-12-29,100.000000
2008-12-30,93.650917
2008-12-31,100.000000
2009-01-01,75.388809
2009-01-02,77.486267
2009-01-03,76.119003
2009-01-04,86.172752
2009-01-05,99.373497
2009-01-06,99.971954
2009-01-07,99.759201
2009-01-08,99.840828
2009-01-09,95.743370
2009-01-10,81.728104
2009-01-11,95.066917
2009-01-12,76.760292
2009-01-13,99.141830
2009-01-14,99.920158
2009-01-15,99.689980
2009-01-16,100.000000
2009-01-17,93.089645
2009-01-18,89.344666
2009-01-19,93.843834
2009-01-20,99.902031
2009-01-21,99.989243
2009-01-22,99.891296
2009-01-23,99.951851
2009-01-24,97.040413
2009-01-25,99.887146
2009-01-26,99.920502
2009-01-27,99.567024
2009-01-28,83.604721
2009-01-29,91.808609
