#Variables:
#uas_bcc-csm1-1_historical(ms-1):Eastward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_uas_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,uas_bcc-csm1-1_historical(ms-1)"
1950-06-26,-2.437405
1950-06-27,-2.249692
1950-06-28,-0.912330
1950-06-29,-0.315785
1950-06-30,-0.542070
1950-07-01,-0.531383
1950-07-02,-0.395940
1950-07-03,-0.487229
1950-07-04,-0.340581
1950-07-05,-0.219904
1950-07-06,-0.593929
1950-07-07,-0.644782
1950-07-08,-0.205223
1950-07-09,-0.361721
1950-07-10,-0.848927
1950-07-11,-0.202950
1950-07-12,0.290256
1950-07-13,-0.095715
1950-07-14,-1.374169
1950-07-15,-1.742799
1950-07-16,-1.383186
1950-07-17,-0.723280
1950-07-18,-0.000013
1950-07-19,-1.669672
1950-07-20,-2.324615
1950-07-21,-1.183000
1950-07-22,-0.713118
1950-07-23,-0.884416
1950-07-24,-1.828489
1950-07-25,-1.911645
1950-07-26,-1.325961
1950-07-27,-1.209072
1950-07-28,-1.811986
1950-07-29,-0.908912
1950-07-30,-0.754166
1950-07-31,-1.808324
1950-08-01,-3.034043
1950-08-02,-3.426461
1950-08-03,-3.419761
1950-08-04,-2.955087
1950-08-05,-1.721688
1950-08-06,-1.379968
1950-08-07,-0.535538
1950-08-08,-0.813302
1950-08-09,-2.169743
1950-08-10,-2.454597
1950-08-11,-1.855233
1950-08-12,-0.611062
1950-08-13,0.538699
1950-08-14,-0.532720
1950-08-15,-0.885098
1950-08-16,0.704397
1950-08-17,-0.401920
1950-08-18,-1.266886
1950-08-19,-1.383266
1950-08-20,-1.260617
1950-08-21,-0.826090
1950-08-22,0.652810
1950-08-23,1.207166
1950-08-24,-0.075888
1950-08-25,-1.065580
1950-08-26,-1.888888
1950-08-27,-2.055629
1950-08-28,-2.726501
1950-08-29,-2.834179
1950-08-30,-1.507880
1950-08-31,-0.492210
1950-09-01,-0.743578
1950-09-02,-0.893135
1950-09-03,-2.423391
1950-09-04,-2.347198
1950-09-05,-1.196405
1950-09-06,-0.218294
1950-09-07,1.103947
1950-09-08,-1.519499
1950-09-09,-1.435626
1950-09-10,-1.443661
1950-09-11,-2.212946
1950-09-12,-2.955375
1950-09-13,-3.589467
1950-09-14,-3.440854
1950-09-15,-2.733455
1950-09-16,-1.514857
1950-09-17,-1.899237
1950-09-18,-2.536777
1950-09-19,-3.582639
1950-09-20,-3.495380
1950-09-21,-3.975268
1950-09-22,-4.208170
1950-09-23,-4.688992
1950-09-24,-4.190825
1950-09-25,-2.553890
1950-09-26,-1.044448
1950-09-27,0.773653
1950-09-28,-1.254499
1950-09-29,-2.559920
1950-09-30,0.259250
1950-10-01,0.359822
1950-10-02,-0.995543
1950-10-03,-1.344498
1950-10-04,-1.142293
1950-10-05,-2.034672
1950-10-06,-2.499379
1950-10-07,-3.435297
1950-10-08,-3.199393
1950-10-09,-2.566912
1950-10-10,-2.137015
1950-10-11,-1.689782
1950-10-12,-0.783562
1950-10-13,-1.453176
1950-10-14,-1.318455
1950-10-15,0.356392
1950-10-16,-2.530591
1950-10-17,-2.082573
1950-10-18,-3.692827
1950-10-19,-3.038136
1950-10-20,-3.491643
1950-10-21,-4.891070
1950-10-22,-4.995451
1950-10-23,-0.867896
1950-10-24,-1.214815
1950-10-25,1.453106
1950-10-26,6.562109
1950-10-27,0.213818
1950-10-28,-0.496598
1950-10-29,6.892351
1950-10-30,5.214314
1950-10-31,3.006848
1950-11-01,1.743131
1950-11-02,0.994731
1950-11-03,-3.105882
1950-11-04,-1.788848
1950-11-05,0.986012
1950-11-06,-1.638262
1950-11-07,-3.892787
1950-11-08,-3.496992
1950-11-09,-0.768549
1950-11-10,1.415643
1950-11-11,1.931627
1950-11-12,2.565463
1950-11-13,3.628415
1950-11-14,1.950692
1950-11-15,1.045382
1950-11-16,1.770436
1950-11-17,0.088599
1950-11-18,-1.626914
1950-11-19,-0.401413
1950-11-20,-1.018622
1950-11-21,1.318692
1950-11-22,-0.419202
1950-11-23,0.265883
1950-11-24,-1.637024
1950-11-25,-3.078486
1950-11-26,0.176761
1950-11-27,-0.092843
1950-11-28,-2.575190
1950-11-29,-0.765428
1950-11-30,-1.744034
1950-12-01,0.818205
1950-12-02,0.220382
1950-12-03,0.406351
1950-12-04,-2.735321
1950-12-05,-0.000007
1950-12-06,-2.531703
1950-12-07,-1.212115
1950-12-08,1.245202
1950-12-09,-5.671698
1950-12-10,-1.260972
1950-12-11,2.261675
1950-12-12,3.540877
1950-12-13,1.105608
1950-12-14,-3.679106
1950-12-15,-2.406537
1950-12-16,-2.958503
1950-12-17,-1.415952
1950-12-18,0.726285
1950-12-19,-2.650036
1950-12-20,-0.319683
1950-12-21,-1.081350
1950-12-22,-0.990180
1950-12-23,-0.751703
1950-12-24,0.819521
1950-12-25,0.574059
1950-12-26,3.036997
1950-12-27,4.980350
1950-12-28,1.633607
1950-12-29,2.284566
1950-12-30,-0.110810
1950-12-31,-1.281321
1951-01-01,-1.266396
1951-01-02,-3.227019
1951-01-03,-3.170349
1951-01-04,6.191343
1951-01-05,-0.129563
1951-01-06,-0.621524
1951-01-07,-1.878897
1951-01-08,0.327652
1951-01-09,2.591390
1951-01-10,-1.851000
1951-01-11,-1.717836
1951-01-12,0.485295
1951-01-13,0.977236
1951-01-14,3.120808
1951-01-15,2.098542
1951-01-16,3.099185
1951-01-17,3.355021
1951-01-18,-0.324774
1951-01-19,-5.189842
1951-01-20,-5.028298
1951-01-21,-4.363254
1951-01-22,-1.898082
1951-01-23,-3.523293
1951-01-24,-1.875324
1951-01-25,-2.452440
1951-01-26,-0.616042
1951-01-27,1.681609
1951-01-28,-2.287026
1951-01-29,2.280994
1951-01-30,0.919318
1951-01-31,-4.102314
1951-02-01,0.601713
1951-02-02,1.808379
1951-02-03,2.221941
1951-02-04,-1.754570
1951-02-05,-0.265352
1951-02-06,-0.710090
1951-02-07,-3.080301
1951-02-08,-0.319978
1951-02-09,3.561026
1951-02-10,-0.307527
1951-02-11,-3.052088
1951-02-12,-1.055081
1951-02-13,0.413232
1951-02-14,-4.934180
1951-02-15,-4.152234
1951-02-16,-2.855802
1951-02-17,-3.352489
1951-02-18,-4.485486
1951-02-19,-3.552962
1951-02-20,0.177762
1951-02-21,2.462448
1951-02-22,-0.646638
1951-02-23,-2.799839
1951-02-24,-0.787872
1951-02-25,0.907486
1951-02-26,0.268463
1951-02-27,-2.329651
1951-02-28,2.849759
1951-03-01,-3.133285
1951-03-02,-4.053074
1951-03-03,-3.843694
1951-03-04,-1.294346
1951-03-05,0.276994
1951-03-06,2.743042
1951-03-07,-2.747302
1951-03-08,-3.748183
1951-03-09,-4.860101
1951-03-10,-2.815365
1951-03-11,0.616543
1951-03-12,1.276361
1951-03-13,0.657550
1951-03-14,0.545410
1951-03-15,0.082248
1951-03-16,0.440146
1951-03-17,2.016884
1951-03-18,1.649031
1951-03-19,2.169630
1951-03-20,-5.385373
1951-03-21,-3.222189
1951-03-22,-2.887583
1951-03-23,-1.225005
1951-03-24,0.242740
1951-03-25,6.137505
1951-03-26,-3.328873
1951-03-27,-5.808969
1951-03-28,-3.990827
1951-03-29,-2.905957
1951-03-30,-2.841174
1951-03-31,-0.519211
1951-04-01,-0.716736
1951-04-02,-3.739526
1951-04-03,-3.147712
1951-04-04,-1.796160
1951-04-05,-1.438808
1951-04-06,-1.493741
1951-04-07,-2.164177
1951-04-08,-2.423921
1951-04-09,-1.210898
1951-04-10,-0.165807
1951-04-11,4.025940
1951-04-12,2.144673
1951-04-13,-2.650685
1951-04-14,-3.039166
1951-04-15,-0.906143
1951-04-16,-0.000008
1951-04-17,0.629580
1951-04-18,2.459285
1951-04-19,0.996451
1951-04-20,2.644470
1951-04-21,-0.049510
1951-04-22,-1.200368
1951-04-23,-0.000012
1951-04-24,0.664692
1951-04-25,3.015268
1951-04-26,2.631374
1951-04-27,2.957396
1951-04-28,-0.525678
1951-04-29,-4.277282
1951-04-30,-4.244287
1951-05-01,-2.346334
1951-05-02,-0.194329
1951-05-03,0.093643
1951-05-04,0.514905
1951-05-05,1.843804
1951-05-06,1.324563
1951-05-07,0.447849
1951-05-08,-2.880600
1951-05-09,-5.264322
1951-05-10,-1.719737
1951-05-11,2.280289
1951-05-12,0.208410
1951-05-13,-4.062521
1951-05-14,-1.302869
1951-05-15,-0.032149
1951-05-16,-1.722918
1951-05-17,-2.870523
1951-05-18,-1.739296
1951-05-19,-2.382308
1951-05-20,-1.058908
1951-05-21,-0.372694
1951-05-22,-0.000016
1951-05-23,1.020816
1951-05-24,-1.606757
1951-05-25,-4.478631
1951-05-26,-2.047377
1951-05-27,-1.521562
1951-05-28,-1.572410
1951-05-29,-1.473025
1951-05-30,-1.609071
1951-05-31,-1.068218
1951-06-01,-0.826275
1951-06-02,-2.669147
1951-06-03,-1.760649
1951-06-04,-0.392453
1951-06-05,0.066782
1951-06-06,-1.182235
1951-06-07,-2.096743
1951-06-08,-2.221345
1951-06-09,-3.192643
1951-06-10,-3.250494
1951-06-11,-3.189280
1951-06-12,-3.707652
1951-06-13,-2.056769
1951-06-14,-0.010087
1951-06-15,1.611276
1951-06-16,0.091906
1951-06-17,-1.443033
1951-06-18,-1.481741
1951-06-19,-0.671270
1951-06-20,0.207814
1951-06-21,0.408058
1951-06-22,0.776529
1951-06-23,-1.756977
1951-06-24,-2.506386
1951-06-25,-3.010438
1951-06-26,-2.768791
1951-06-27,-1.914075
1951-06-28,-1.138590
1951-06-29,-1.932507
1951-06-30,-5.411183
1951-07-01,-5.796687
1951-07-02,-3.077695
1951-07-03,-2.403925
1951-07-04,-1.543966
1951-07-05,-0.712687
1951-07-06,-0.478714
1951-07-07,-0.715459
1951-07-08,-0.319326
1951-07-09,-0.540664
1951-07-10,-1.240647
1951-07-11,-1.496878
1951-07-12,-2.943659
1951-07-13,-3.569106
1951-07-14,-3.702220
1951-07-15,-3.898527
1951-07-16,-4.218500
1951-07-17,-3.617383
1951-07-18,-3.659222
1951-07-19,-3.553420
1951-07-20,-3.297685
1951-07-21,-2.673714
1951-07-22,-2.637106
1951-07-23,-2.195823
1951-07-24,-2.715318
1951-07-25,-1.632478
1951-07-26,-1.013333
1951-07-27,-0.951727
1951-07-28,-1.342117
1951-07-29,-0.814730
1951-07-30,-0.767998
1951-07-31,0.308058
1951-08-01,0.133738
1951-08-02,-0.749089
1951-08-03,-1.206993
1951-08-04,0.011094
1951-08-05,2.235458
1951-08-06,2.198600
1951-08-07,-0.002326
1951-08-08,-0.298188
1951-08-09,0.069147
1951-08-10,-0.413181
1951-08-11,-0.193922
1951-08-12,-0.619711
1951-08-13,-0.771195
1951-08-14,-0.511455
1951-08-15,-1.030562
1951-08-16,-1.195979
1951-08-17,-1.437624
1951-08-18,-1.052981
1951-08-19,-0.787188
1951-08-20,-1.976229
1951-08-21,-2.195541
1951-08-22,-1.353719
1951-08-23,-0.749145
1951-08-24,-0.115732
1951-08-25,-0.672625
1951-08-26,-1.536915
1951-08-27,-1.245926
1951-08-28,-0.893718
1951-08-29,-0.787526
1951-08-30,0.353976
1951-08-31,-0.000011
1951-09-01,-1.400267
1951-09-02,-2.434483
1951-09-03,-2.555700
1951-09-04,-1.771951
1951-09-05,-2.715328
1951-09-06,-4.079333
1951-09-07,-4.423006
1951-09-08,-4.480138
1951-09-09,-3.766945
1951-09-10,-3.698002
1951-09-11,-3.586315
1951-09-12,-3.137707
1951-09-13,-2.125170
1951-09-14,-0.777274
1951-09-15,0.468771
1951-09-16,0.811352
1951-09-17,-0.598458
1951-09-18,-2.790224
1951-09-19,-1.481130
1951-09-20,0.874970
1951-09-21,-0.376692
1951-09-22,-2.030486
1951-09-23,-2.230695
1951-09-24,-1.722250
1951-09-25,-1.829410
1951-09-26,-2.290628
1951-09-27,-1.548952
1951-09-28,-3.543306
1951-09-29,-3.248226
1951-09-30,-1.047199
1951-10-01,-1.617826
1951-10-02,-2.028032
1951-10-03,-1.385823
1951-10-04,-0.079011
1951-10-05,0.214508
1951-10-06,-0.723837
1951-10-07,-0.000012
1951-10-08,-1.478815
1951-10-09,-0.939579
1951-10-10,0.540469
1951-10-11,2.941720
1951-10-12,-0.620918
1951-10-13,-2.965625
1951-10-14,0.550622
1951-10-15,-0.308486
1951-10-16,-0.000014
1951-10-17,-0.490149
1951-10-18,-0.759003
1951-10-19,-1.159895
1951-10-20,-0.454674
1951-10-21,-1.721739
1951-10-22,-1.627593
1951-10-23,-1.382023
1951-10-24,-0.832577
1951-10-25,-3.010448
1951-10-26,-2.199918
1951-10-27,-0.205315
1951-10-28,-1.704115
1951-10-29,-2.903527
1951-10-30,-4.006566
1951-10-31,-3.635231
1951-11-01,-2.092156
1951-11-02,-2.245729
1951-11-03,-4.531722
1951-11-04,-3.937883
1951-11-05,4.111106
1951-11-06,6.124082
1951-11-07,5.716845
1951-11-08,4.267719
1951-11-09,-0.844818
1951-11-10,2.217482
1951-11-11,5.837405
1951-11-12,2.328378
1951-11-13,3.026319
1951-11-14,-0.980397
1951-11-15,1.057599
1951-11-16,1.164590
1951-11-17,1.087403
1951-11-18,-0.126180
1951-11-19,-1.380764
1951-11-20,-2.492502
1951-11-21,-2.430560
1951-11-22,-2.184953
1951-11-23,-2.003906
1951-11-24,-2.732169
1951-11-25,-3.725940
1951-11-26,-0.761642
1951-11-27,-0.000001
1951-11-28,0.410822
1951-11-29,1.889942
1951-11-30,0.091246
1951-12-01,-3.080865
1951-12-02,-4.523189
1951-12-03,-4.133296
1951-12-04,-0.698749
1951-12-05,-0.216972
1951-12-06,-2.712522
1951-12-07,2.027888
1951-12-08,0.028793
1951-12-09,-0.233507
1951-12-10,0.684398
1951-12-11,0.949853
1951-12-12,-0.448881
1951-12-13,-4.860795
1951-12-14,-2.716835
1951-12-15,-2.145142
1951-12-16,-1.380773
1951-12-17,-0.484751
1951-12-18,1.068389
1951-12-19,-4.871723
1951-12-20,-1.944285
1951-12-21,1.794954
1951-12-22,1.224934
1951-12-23,1.171157
1951-12-24,-3.020586
1951-12-25,-1.264644
1951-12-26,-1.295539
1951-12-27,-1.091006
1951-12-28,-0.209402
1951-12-29,-1.433033
1951-12-30,1.945100
1951-12-31,1.850468
1952-01-01,1.719674
1952-01-02,-0.588187
1952-01-03,-2.808908
1952-01-04,-1.843964
1952-01-05,-3.210430
1952-01-06,-1.901343
1952-01-07,3.322740
1952-01-08,0.655138
1952-01-09,2.525405
1952-01-10,0.962725
1952-01-11,-0.235552
1952-01-12,0.415585
1952-01-13,-2.263425
1952-01-14,-3.323013
1952-01-15,-4.112657
1952-01-16,-2.332326
1952-01-17,1.886065
1952-01-18,2.501937
1952-01-19,0.955757
1952-01-20,2.463992
1952-01-21,2.001244
1952-01-22,-3.470799
1952-01-23,-2.986105
1952-01-24,-2.829115
1952-01-25,1.281392
1952-01-26,2.064129
1952-01-27,-1.400750
1952-01-28,0.640758
1952-01-29,1.947027
1952-01-30,1.594300
1952-01-31,1.938235
1952-02-01,1.233303
1952-02-02,-0.870025
1952-02-03,-0.455800
1952-02-04,0.414967
1952-02-05,3.707791
1952-02-06,1.902465
1952-02-07,5.667488
1952-02-08,0.831170
1952-02-09,1.682557
1952-02-10,4.276736
1952-02-11,5.290744
1952-02-12,-2.783585
1952-02-13,0.192569
1952-02-14,-0.423130
1952-02-15,-4.029495
1952-02-16,-2.211086
1952-02-17,-1.111611
1952-02-18,-1.076904
1952-02-19,-3.554831
1952-02-20,-0.934948
1952-02-21,2.513204
1952-02-22,2.312774
1952-02-23,0.467485
1952-02-24,0.196956
1952-02-25,-2.563574
1952-02-26,-2.323303
1952-02-27,-1.429076
1952-02-28,-2.588109
1952-02-29,-3.519593
1952-03-01,-4.451076
1952-03-02,-3.112991
1952-03-03,-2.608287
1952-03-04,-0.863236
1952-03-05,2.966839
1952-03-06,0.934678
1952-03-07,1.391240
1952-03-08,0.709852
1952-03-09,-1.234672
1952-03-10,-5.063418
1952-03-11,-1.451614
1952-03-12,1.189747
1952-03-13,1.145867
1952-03-14,-2.091341
1952-03-15,2.155776
1952-03-16,1.974117
1952-03-17,-0.864118
1952-03-18,-3.530392
1952-03-19,-1.598754
1952-03-20,-2.098590
1952-03-21,-1.140905
1952-03-22,1.559387
1952-03-23,-3.082352
1952-03-24,-1.768472
1952-03-25,-2.417541
1952-03-26,-0.488878
1952-03-27,-2.208341
1952-03-28,1.925244
1952-03-29,1.039028
1952-03-30,-0.220566
1952-03-31,-1.722398
1952-04-01,-0.905162
1952-04-02,-1.138311
1952-04-03,-1.738673
1952-04-04,-1.777883
1952-04-05,2.737318
1952-04-06,0.565943
1952-04-07,-2.826127
1952-04-08,4.279896
1952-04-09,4.793226
1952-04-10,2.984085
1952-04-11,-1.845935
1952-04-12,0.135127
1952-04-13,1.246029
1952-04-14,6.340430
1952-04-15,5.186392
1952-04-16,0.111995
1952-04-17,-2.119972
1952-04-18,1.836482
1952-04-19,4.314262
1952-04-20,-2.835615
1952-04-21,-5.694573
1952-04-22,-5.055824
1952-04-23,-5.377622
1952-04-24,-6.007881
1952-04-25,-3.291345
1952-04-26,-0.342413
1952-04-27,-2.102084
1952-04-28,-3.709299
1952-04-29,-3.736459
1952-04-30,-1.176970
1952-05-01,2.008740
1952-05-02,-0.000016
1952-05-03,-0.289804
1952-05-04,-0.585535
1952-05-05,-0.073364
1952-05-06,-0.021230
1952-05-07,-0.405701
1952-05-08,2.536776
1952-05-09,2.973457
1952-05-10,-1.207549
1952-05-11,-1.607383
1952-05-12,-0.544152
1952-05-13,0.713189
1952-05-14,0.493804
1952-05-15,-1.358247
1952-05-16,-4.547728
1952-05-17,-3.184276
1952-05-18,-1.260278
1952-05-19,-3.755939
1952-05-20,-3.458706
1952-05-21,-0.829734
1952-05-22,-1.763925
1952-05-23,-1.165196
1952-05-24,-0.723973
1952-05-25,-1.573806
1952-05-26,-3.436440
1952-05-27,-3.944600
1952-05-28,-3.780686
1952-05-29,-2.219394
1952-05-30,-2.402921
1952-05-31,-1.738007
1952-06-01,-1.628608
1952-06-02,-1.208039
1952-06-03,1.061844
1952-06-04,0.206547
1952-06-05,-1.015099
1952-06-06,-1.616752
1952-06-07,-3.013668
1952-06-08,-2.303005
1952-06-09,-1.629756
1952-06-10,-1.250120
1952-06-11,-0.062699
1952-06-12,0.164688
1952-06-13,-0.493966
1952-06-14,-1.582349
1952-06-15,-0.561262
1952-06-16,-1.506823
1952-06-17,-1.312567
1952-06-18,-0.861296
1952-06-19,-2.585794
1952-06-20,-3.664469
1952-06-21,-2.703718
1952-06-22,-1.685596
1952-06-23,-1.630648
1952-06-24,-1.097803
1952-06-25,-0.493945
1952-06-26,-0.441468
1952-06-27,-0.718198
1952-06-28,-1.610044
1952-06-29,-1.878699
1952-06-30,-1.671418
1952-07-01,-1.664634
1952-07-02,-1.582997
1952-07-03,-0.891296
1952-07-04,-0.525255
1952-07-05,-1.972600
1952-07-06,-2.934290
1952-07-07,-2.396800
1952-07-08,-2.991029
1952-07-09,-3.095359
1952-07-10,-2.015683
1952-07-11,-1.517187
1952-07-12,-1.313842
1952-07-13,-0.606014
1952-07-14,-2.222903
1952-07-15,-2.343704
1952-07-16,-1.880989
1952-07-17,-2.357129
1952-07-18,-2.275011
1952-07-19,-2.160033
1952-07-20,-2.368084
1952-07-21,-1.812342
1952-07-22,-1.626767
1952-07-23,-1.142891
1952-07-24,0.068353
1952-07-25,0.619335
1952-07-26,0.224630
1952-07-27,-0.332925
1952-07-28,-0.302489
1952-07-29,-0.000012
1952-07-30,-0.275325
1952-07-31,0.372855
1952-08-01,1.799948
1952-08-02,1.378367
1952-08-03,-0.864116
1952-08-04,-0.878151
1952-08-05,-0.763780
1952-08-06,-0.336250
1952-08-07,0.061632
1952-08-08,-0.237085
1952-08-09,-1.449462
1952-08-10,-1.803015
1952-08-11,-1.862075
1952-08-12,-1.404843
1952-08-13,-0.202797
1952-08-14,0.068594
1952-08-15,-0.698290
1952-08-16,-1.607654
1952-08-17,-1.606371
1952-08-18,-1.371572
1952-08-19,-0.945411
1952-08-20,-0.796153
1952-08-21,-1.400262
1952-08-22,-1.709978
1952-08-23,-1.975659
1952-08-24,-2.709636
1952-08-25,-2.856109
1952-08-26,-1.849336
1952-08-27,-0.256639
1952-08-28,-1.540933
1952-08-29,-2.417952
1952-08-30,-2.505273
1952-08-31,-2.665661
1952-09-01,-0.821063
1952-09-02,-0.284630
1952-09-03,-2.379923
1952-09-04,-2.115701
1952-09-05,-1.333666
1952-09-06,-2.776167
1952-09-07,-3.620564
1952-09-08,-4.311574
1952-09-09,-2.021740
1952-09-10,2.073414
1952-09-11,1.677417
1952-09-12,1.372318
1952-09-13,-0.000001
1952-09-14,-1.170883
1952-09-15,-2.121335
1952-09-16,-2.121438
1952-09-17,-2.919098
1952-09-18,-4.020084
1952-09-19,-3.490460
1952-09-20,-3.412608
1952-09-21,-4.079381
1952-09-22,-3.549302
1952-09-23,-0.861250
1952-09-24,3.954498
1952-09-25,2.922458
1952-09-26,0.539865
1952-09-27,-2.418305
1952-09-28,-3.195712
1952-09-29,-3.408995
1952-09-30,-2.400727
1952-10-01,-2.571477
1952-10-02,-3.311441
1952-10-03,-3.496107
1952-10-04,-3.277853
1952-10-05,-3.411275
1952-10-06,-3.665730
1952-10-07,-2.849751
1952-10-08,-2.751583
1952-10-09,-4.248160
1952-10-10,-0.743334
1952-10-11,2.594670
1952-10-12,4.470354
1952-10-13,4.795826
1952-10-14,3.062651
1952-10-15,-1.639720
1952-10-16,-0.388809
1952-10-17,0.359286
1952-10-18,1.976480
1952-10-19,-1.283751
1952-10-20,-3.837265
1952-10-21,-4.243215
1952-10-22,-3.572210
1952-10-23,-1.055322
1952-10-24,-0.647361
1952-10-25,-2.805547
1952-10-26,-2.756809
1952-10-27,-1.827968
1952-10-28,-3.413773
1952-10-29,-0.459192
1952-10-30,0.148257
1952-10-31,0.804647
1952-11-01,-0.595671
1952-11-02,-1.620038
1952-11-03,-0.000009
1952-11-04,-1.344233
1952-11-05,1.908232
1952-11-06,0.372599
1952-11-07,2.221463
1952-11-08,0.476993
1952-11-09,-0.000010
1952-11-10,-0.538666
1952-11-11,0.773225
1952-11-12,0.798806
1952-11-13,2.134535
1952-11-14,0.124515
1952-11-15,-4.650789
1952-11-16,-1.484435
1952-11-17,-0.962362
1952-11-18,-2.540630
1952-11-19,-2.374223
1952-11-20,1.194427
1952-11-21,-0.551490
1952-11-22,0.160243
1952-11-23,0.328707
1952-11-24,0.397331
1952-11-25,1.444646
1952-11-26,3.209961
1952-11-27,3.355318
1952-11-28,1.449198
1952-11-29,-1.287045
1952-11-30,3.306860
