#Variables:
#vas_bcc-csm1-1_historical(ms-1):Northward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_vas_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,vas_bcc-csm1-1_historical(ms-1)"
1951-07-10,4.004282
1951-07-11,4.061290
1951-07-12,3.528788
1951-07-13,4.164341
1951-07-14,4.696406
1951-07-15,2.378039
1951-07-16,-1.775020
1951-07-17,-2.261289
1951-07-18,-2.061248
1951-07-19,-1.294261
1951-07-20,-0.422078
1951-07-21,-0.260816
1951-07-22,2.245281
1951-07-23,1.896836
1951-07-24,0.898093
1951-07-25,1.535909
1951-07-26,1.900035
1951-07-27,1.927871
1951-07-28,0.127339
1951-07-29,-0.309858
1951-07-30,2.799887
1951-07-31,2.968295
1951-08-01,3.158020
1951-08-02,3.356659
1951-08-03,3.301321
1951-08-04,4.466134
1951-08-05,3.585863
1951-08-06,3.836685
1951-08-07,5.285211
1951-08-08,5.172137
1951-08-09,5.407571
1951-08-10,5.359395
1951-08-11,4.208683
1951-08-12,2.397864
1951-08-13,2.714170
1951-08-14,3.942309
1951-08-15,4.904792
1951-08-16,4.977361
1951-08-17,5.037078
1951-08-18,5.830539
1951-08-19,5.393816
1951-08-20,4.213098
1951-08-21,3.354098
1951-08-22,3.847986
1951-08-23,4.157722
1951-08-24,3.490129
1951-08-25,2.980911
1951-08-26,3.367649
1951-08-27,4.261122
1951-08-28,3.821346
1951-08-29,3.025946
1951-08-30,3.003513
1951-08-31,3.113036
1951-09-01,3.139254
1951-09-02,3.112040
1951-09-03,3.021032
1951-09-04,2.370710
1951-09-05,1.406989
1951-09-06,0.280533
1951-09-07,0.445523
1951-09-08,1.296701
1951-09-09,2.434181
1951-09-10,1.926621
1951-09-11,0.116007
1951-09-12,2.115545
1951-09-13,4.603370
1951-09-14,4.536197
1951-09-15,3.830676
1951-09-16,2.053811
1951-09-17,1.208668
1951-09-18,-1.771568
1951-09-19,0.668186
1951-09-20,3.481467
1951-09-21,4.594623
1951-09-22,2.269735
1951-09-23,0.283954
1951-09-24,1.795722
1951-09-25,3.579093
1951-09-26,3.273726
1951-09-27,5.847895
1951-09-28,1.938242
1951-09-29,-4.832796
1951-09-30,-4.193485
1951-10-01,-3.476319
1951-10-02,-2.364647
1951-10-03,-0.491081
1951-10-04,1.983015
1951-10-05,2.375550
1951-10-06,2.452305
1951-10-07,3.239667
1951-10-08,2.477425
1951-10-09,4.249575
1951-10-10,4.574654
1951-10-11,3.649830
1951-10-12,-3.120787
1951-10-13,-4.632502
1951-10-14,-5.996555
1951-10-15,-2.469354
1951-10-16,2.159695
1951-10-17,2.788578
1951-10-18,2.636921
1951-10-19,2.025861
1951-10-20,1.428567
1951-10-21,-4.269002
1951-10-22,-3.350910
1951-10-23,0.853238
1951-10-24,2.806202
1951-10-25,-0.493311
1951-10-26,2.245051
1951-10-27,4.385559
1951-10-28,5.288792
1951-10-29,4.789485
1951-10-30,3.160263
1951-10-31,2.108952
1951-11-01,1.908827
1951-11-02,1.870540
1951-11-03,1.917315
1951-11-04,4.419817
1951-11-05,4.777995
1951-11-06,3.627204
1951-11-07,-5.411581
1951-11-08,-3.160455
1951-11-09,-6.065070
1951-11-10,0.869656
1951-11-11,3.064603
1951-11-12,2.942486
1951-11-13,6.401866
1951-11-14,-4.445120
1951-11-15,-4.025049
1951-11-16,3.721282
1951-11-17,5.487925
1951-11-18,4.556852
1951-11-19,6.666093
1951-11-20,5.080898
1951-11-21,-1.939589
1951-11-22,-5.110833
1951-11-23,-2.101225
1951-11-24,-2.215362
1951-11-25,-0.203060
1951-11-26,-0.781492
1951-11-27,-7.250600
1951-11-28,0.515643
1951-11-29,4.532920
1951-11-30,4.059272
1951-12-01,1.369774
1951-12-02,2.853082
1951-12-03,6.906502
1951-12-04,4.885058
1951-12-05,3.754809
1951-12-06,-8.798708
1951-12-07,-2.228084
1951-12-08,0.398540
1951-12-09,-3.680736
1951-12-10,-2.181983
1951-12-11,3.609148
1951-12-12,3.121463
1951-12-13,0.636336
1951-12-14,-2.318026
1951-12-15,-5.874531
1951-12-16,-5.358819
1951-12-17,-3.675274
1951-12-18,2.337586
1951-12-19,-5.846304
1951-12-20,-4.079428
1951-12-21,3.105246
1951-12-22,-1.701567
1951-12-23,3.284567
1951-12-24,-5.601056
1951-12-25,-4.433812
1951-12-26,2.081770
1951-12-27,2.320062
1951-12-28,-2.041073
1951-12-29,2.978299
1951-12-30,2.974248
1951-12-31,3.439284
1952-01-01,-2.262729
1952-01-02,2.505301
1952-01-03,3.597580
1952-01-04,-1.594338
1952-01-05,2.078190
1952-01-06,1.470892
1952-01-07,1.268712
1952-01-08,-8.345478
1952-01-09,-7.056180
1952-01-10,-3.511626
1952-01-11,-4.107341
1952-01-12,-1.539865
1952-01-13,-3.425837
1952-01-14,0.380060
1952-01-15,1.076319
1952-01-16,-5.602710
1952-01-17,0.555959
1952-01-18,-2.797220
1952-01-19,-6.493718
1952-01-20,0.239002
1952-01-21,0.424098
1952-01-22,-2.156140
1952-01-23,-2.912632
1952-01-24,3.597950
1952-01-25,3.226198
1952-01-26,1.246685
1952-01-27,2.979987
1952-01-28,5.421738
1952-01-29,2.865805
1952-01-30,5.174771
1952-01-31,4.554026
1952-02-01,3.128596
1952-02-02,4.698449
1952-02-03,4.050255
1952-02-04,5.036853
1952-02-05,3.707365
1952-02-06,4.746871
1952-02-07,-3.434005
1952-02-08,5.443209
1952-02-09,5.585617
1952-02-10,2.541297
1952-02-11,-1.068234
1952-02-12,-1.264086
1952-02-13,5.843070
1952-02-14,-4.645188
1952-02-15,-1.035589
1952-02-16,5.351785
1952-02-17,4.698486
1952-02-18,2.674721
1952-02-19,-1.220803
1952-02-20,5.262172
1952-02-21,4.488907
1952-02-22,4.047771
1952-02-23,6.388346
1952-02-24,3.379220
1952-02-25,-5.399772
1952-02-26,1.832354
1952-02-27,4.904723
1952-02-28,2.473726
1952-02-29,3.251547
1952-03-01,4.029367
1952-03-02,6.963907
1952-03-03,5.937817
1952-03-04,4.744859
1952-03-05,1.984429
1952-03-06,-2.110222
1952-03-07,-2.540600
1952-03-08,5.591610
1952-03-09,5.093167
1952-03-10,-0.332636
1952-03-11,2.607424
1952-03-12,4.006808
1952-03-13,3.389466
1952-03-14,3.310048
1952-03-15,5.298775
1952-03-16,5.047512
1952-03-17,3.966155
1952-03-18,-3.864983
1952-03-19,-0.608199
1952-03-20,-6.661779
1952-03-21,-3.680259
1952-03-22,3.962564
1952-03-23,-1.203862
1952-03-24,-3.621423
1952-03-25,5.967410
1952-03-26,3.602684
1952-03-27,-3.246057
1952-03-28,3.653795
1952-03-29,6.220963
1952-03-30,7.906030
1952-03-31,6.082187
1952-04-01,5.230852
1952-04-02,4.486071
1952-04-03,4.039018
1952-04-04,4.836048
1952-04-05,-2.886521
1952-04-06,3.246814
1952-04-07,5.989197
1952-04-08,2.546701
1952-04-09,2.444438
1952-04-10,-0.613569
1952-04-11,3.752779
1952-04-12,3.803010
1952-04-13,5.550974
1952-04-14,-3.795533
1952-04-15,-5.490941
1952-04-16,4.009141
1952-04-17,4.509640
1952-04-18,4.203280
1952-04-19,-3.079347
1952-04-20,-4.268939
1952-04-21,5.294076
1952-04-22,4.869743
1952-04-23,-0.656832
1952-04-24,1.692639
1952-04-25,5.655131
1952-04-26,3.972773
1952-04-27,2.151108
1952-04-28,-4.994810
1952-04-29,4.811276
1952-04-30,8.166900
1952-05-01,6.210610
1952-05-02,-4.915267
1952-05-03,-4.345590
1952-05-04,3.794288
1952-05-05,5.785841
1952-05-06,5.909889
1952-05-07,5.560100
1952-05-08,4.760350
1952-05-09,-3.301088
1952-05-10,-5.630162
1952-05-11,-2.147964
1952-05-12,2.510066
1952-05-13,4.489861
1952-05-14,6.007396
1952-05-15,4.758821
1952-05-16,3.552040
1952-05-17,2.614995
1952-05-18,3.722785
1952-05-19,-4.617440
1952-05-20,-1.341767
1952-05-21,4.408060
1952-05-22,6.866765
1952-05-23,6.604899
1952-05-24,5.366606
1952-05-25,5.433136
1952-05-26,6.019339
1952-05-27,4.760055
1952-05-28,3.102554
1952-05-29,4.488145
1952-05-30,5.368719
1952-05-31,2.382422
1952-06-01,2.799574
1952-06-02,4.357607
1952-06-03,4.676601
1952-06-04,2.109461
1952-06-05,3.107663
1952-06-06,4.383692
1952-06-07,5.446675
1952-06-08,5.300666
1952-06-09,3.226509
1952-06-10,3.433187
1952-06-11,3.272576
1952-06-12,3.937479
1952-06-13,3.651697
1952-06-14,5.273014
1952-06-15,5.408874
1952-06-16,3.827533
1952-06-17,6.533909
1952-06-18,6.927804
1952-06-19,2.284600
1952-06-20,2.100646
1952-06-21,1.561684
1952-06-22,-0.638771
1952-06-23,1.181206
1952-06-24,3.653380
1952-06-25,5.259711
1952-06-26,6.559037
1952-06-27,6.442968
1952-06-28,6.038808
1952-06-29,5.321212
1952-06-30,4.850632
1952-07-01,4.590177
1952-07-02,4.282306
1952-07-03,4.322304
1952-07-04,4.118935
1952-07-05,3.949627
1952-07-06,4.313483
1952-07-07,4.750864
1952-07-08,3.086136
1952-07-09,-0.438574
1952-07-10,-1.761049
1952-07-11,1.823691
1952-07-12,2.330292
1952-07-13,4.393148
1952-07-14,3.302814
1952-07-15,-0.814058
1952-07-16,-0.958759
1952-07-17,1.768524
1952-07-18,4.516919
1952-07-19,5.071020
1952-07-20,4.619922
1952-07-21,4.424338
1952-07-22,3.235337
1952-07-23,2.989152
1952-07-24,2.694760
1952-07-25,2.350325
1952-07-26,2.993549
1952-07-27,3.443065
1952-07-28,3.775542
1952-07-29,3.519180
1952-07-30,4.679124
1952-07-31,4.858068
1952-08-01,4.671712
1952-08-02,5.139863
1952-08-03,5.363198
1952-08-04,4.859221
1952-08-05,4.282404
1952-08-06,3.478032
1952-08-07,3.656066
1952-08-08,4.113159
1952-08-09,4.282179
1952-08-10,3.551614
1952-08-11,3.923213
1952-08-12,4.027151
1952-08-13,3.512055
1952-08-14,2.816514
1952-08-15,3.137480
1952-08-16,4.921640
1952-08-17,5.128153
1952-08-18,4.607566
1952-08-19,3.585625
1952-08-20,2.657741
1952-08-21,0.901919
1952-08-22,-1.076240
1952-08-23,-2.254222
1952-08-24,-1.260558
1952-08-25,-1.418501
1952-08-26,-0.000003
1952-08-27,0.348661
1952-08-28,1.798203
1952-08-29,3.941962
1952-08-30,1.955849
1952-08-31,1.669070
1952-09-01,3.833377
1952-09-02,2.586450
1952-09-03,-1.977602
1952-09-04,0.810023
1952-09-05,2.536021
1952-09-06,2.426451
1952-09-07,0.183739
1952-09-08,-4.173311
1952-09-09,-6.018562
1952-09-10,0.281374
1952-09-11,0.551821
1952-09-12,-3.880975
1952-09-13,-4.263099
1952-09-14,-0.819946
1952-09-15,2.920163
1952-09-16,4.936790
1952-09-17,1.781016
1952-09-18,-2.063946
1952-09-19,-3.459351
1952-09-20,-1.262530
1952-09-21,0.597641
1952-09-22,-1.861985
1952-09-23,-4.728146
1952-09-24,-3.250969
1952-09-25,-0.517576
1952-09-26,2.546573
1952-09-27,0.835096
1952-09-28,-1.491004
1952-09-29,-1.504475
1952-09-30,1.686953
1952-10-01,2.433808
1952-10-02,2.008130
1952-10-03,2.604755
1952-10-04,3.118886
1952-10-05,3.295702
1952-10-06,3.933150
1952-10-07,1.903259
1952-10-08,-2.662252
1952-10-09,-4.000935
1952-10-10,-2.575575
1952-10-11,2.389117
1952-10-12,1.338068
1952-10-13,1.855467
1952-10-14,1.011003
1952-10-15,1.606430
1952-10-16,3.913219
1952-10-17,3.627500
1952-10-18,4.784866
1952-10-19,1.953592
1952-10-20,-0.692978
1952-10-21,1.431604
1952-10-22,-3.098084
1952-10-23,-5.425312
1952-10-24,-1.565128
1952-10-25,-1.762800
1952-10-26,-0.186923
1952-10-27,1.913346
1952-10-28,-4.639723
1952-10-29,-6.636738
1952-10-30,-3.026706
1952-10-31,2.858638
1952-11-01,4.533538
1952-11-02,5.903188
1952-11-03,6.377554
1952-11-04,-6.142995
1952-11-05,-5.777199
1952-11-06,-3.938470
1952-11-07,2.903067
1952-11-08,3.734950
1952-11-09,-3.115005
1952-11-10,2.676478
1952-11-11,5.341963
1952-11-12,3.896297
1952-11-13,3.677447
1952-11-14,4.195826
1952-11-15,-2.165213
1952-11-16,3.807135
1952-11-17,2.157512
1952-11-18,-3.806680
1952-11-19,3.492602
1952-11-20,4.346323
1952-11-21,-3.909234
1952-11-22,-0.947132
1952-11-23,3.879022
1952-11-24,4.486422
1952-11-25,-4.823959
1952-11-26,-2.481857
1952-11-27,1.836568
1952-11-28,-2.143059
1952-11-29,-2.771558
1952-11-30,4.849677
1952-12-01,4.118791
1952-12-02,-3.443948
1952-12-03,2.665287
1952-12-04,3.926314
1952-12-05,2.573810
1952-12-06,3.147573
1952-12-07,1.806836
1952-12-08,2.393940
1952-12-09,-3.068543
1952-12-10,0.722093
1952-12-11,4.685157
1952-12-12,5.829528
1952-12-13,3.955199
1952-12-14,-3.661670
1952-12-15,-1.865597
1952-12-16,2.509605
1952-12-17,-2.207214
1952-12-18,-2.318082
1952-12-19,3.977279
1952-12-20,4.373660
1952-12-21,-5.141240
1952-12-22,-4.313189
1952-12-23,-2.221204
1952-12-24,2.651489
1952-12-25,4.016239
1952-12-26,-4.601011
1952-12-27,-2.050469
1952-12-28,-0.185685
1952-12-29,3.987218
1952-12-30,-2.554701
1952-12-31,-1.587328
1953-01-01,-1.159069
1953-01-02,-0.839306
1953-01-03,5.241502
1953-01-04,3.923555
1953-01-05,-8.280357
1953-01-06,2.273584
1953-01-07,-1.683828
1953-01-08,-1.967539
1953-01-09,3.500483
