#Variables:
#tasmin_IPSL-CM5A-LR_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-LR_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-LR_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-LR_historical(K),tasmax_IPSL-CM5A-LR_historical(K),pr_IPSL-CM5A-LR_historical(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-LR_historical(K),tasmax_IPSL-CM5A-LR_historical(K),pr_IPSL-CM5A-LR_historical(mm)
1950-07-29,296.906311,312.244873,0.000000
1950-07-30,297.221161,313.047668,0.000000
1950-07-31,298.108307,312.434143,0.000000
1950-08-01,298.984039,311.968018,0.487334
1950-08-02,298.807526,310.305084,0.299538
1950-08-03,297.050934,308.976807,3.442459
1950-08-04,296.838776,308.453186,3.716066
1950-08-05,296.084137,308.010101,3.936904
1950-08-06,296.195129,307.467438,1.967603
1950-08-07,295.799072,308.186859,0.000000
1950-08-08,295.960815,311.025818,0.000000
1950-08-09,296.450470,311.469910,0.000000
1950-08-10,296.494965,309.890259,0.301132
1950-08-11,295.605133,306.726318,1.623679
1950-08-12,295.127960,306.666229,1.121966
1950-08-13,294.696503,307.585480,3.060995
1950-08-14,295.373230,308.106018,5.921509
1950-08-15,294.875092,307.095367,0.772387
1950-08-16,295.083679,306.975311,0.000000
1950-08-17,294.851593,307.141632,0.759138
1950-08-18,294.744629,307.481873,0.000000
1950-08-19,294.985352,308.117615,0.000000
1950-08-20,295.391663,307.790497,0.957900
1950-08-21,295.582123,306.035065,19.777437
1950-08-22,296.063873,305.738983,8.190191
1950-08-23,295.436188,306.171478,3.356503
1950-08-24,295.385406,306.684845,0.556699
1950-08-25,295.136780,308.658966,0.000000
1950-08-26,294.598877,310.446869,0.000000
1950-08-27,295.248016,310.817139,0.000000
1950-08-28,295.926880,310.346375,0.000000
1950-08-29,295.629364,308.653595,0.000000
1950-08-30,295.858398,307.005371,0.000000
1950-08-31,295.134216,305.528412,6.563544
1950-09-01,294.330841,302.064636,9.458521
1950-09-02,293.306793,302.706573,0.000000
1950-09-03,293.242004,305.078796,0.000000
1950-09-04,293.370392,305.505402,0.000000
1950-09-05,293.690094,303.993469,0.444241
1950-09-06,294.214874,304.223450,5.238275
1950-09-07,293.289734,304.854889,1.106320
1950-09-08,293.301178,304.746765,2.060889
1950-09-09,292.372894,303.968689,2.791259
1950-09-10,292.290466,302.907837,20.963106
1950-09-11,291.821686,303.637329,5.225948
1950-09-12,291.208984,303.855316,0.000000
1950-09-13,286.100189,302.946564,0.000000
1950-09-14,284.887085,304.704376,0.000000
1950-09-15,287.652740,306.023254,0.000000
1950-09-16,291.113068,306.533661,0.000000
1950-09-17,292.153961,307.446289,0.000000
1950-09-18,291.851807,308.214203,0.397502
1950-09-19,294.502625,307.107544,0.000000
1950-09-20,294.949493,309.542725,0.000000
1950-09-21,295.735291,308.699097,0.000000
1950-09-22,295.421661,307.190796,0.926599
1950-09-23,293.682800,307.475769,0.000000
1950-09-24,292.802338,307.004364,0.321352
1950-09-25,293.582123,307.602173,0.000000
1950-09-26,293.965759,307.041687,0.000000
1950-09-27,293.333588,306.145935,0.778590
1950-09-28,293.099762,307.040497,0.000000
1950-09-29,294.102631,306.865021,0.000000
1950-09-30,294.541992,307.059967,0.000000
1950-10-01,293.908264,310.038971,0.000000
1950-10-02,295.395538,312.762970,0.000000
1950-10-03,295.709015,305.750153,0.000000
1950-10-04,291.738098,302.295654,1.480148
1950-10-05,288.957062,302.210938,0.920134
1950-10-06,289.307129,304.660950,2.086787
1950-10-07,290.942688,304.297516,0.000000
1950-10-08,292.143219,303.826324,0.000000
1950-10-09,293.368286,305.079559,0.000000
1950-10-10,293.579773,305.372375,0.000000
1950-10-11,287.414185,298.092773,74.590553
1950-10-12,282.963104,289.699524,41.965591
1950-10-13,286.789551,298.489136,0.000000
1950-10-14,288.252808,302.168518,0.000000
1950-10-15,289.479858,302.957977,0.000000
1950-10-16,292.161011,303.053955,0.000000
1950-10-17,292.003937,303.430145,2.141116
1950-10-18,280.462708,297.927704,3.980412
1950-10-19,278.013336,296.160034,0.000000
1950-10-20,283.355621,298.612732,0.000000
1950-10-21,284.236542,300.773407,0.000000
1950-10-22,286.660522,301.636688,0.000000
1950-10-23,289.791443,301.623199,0.000000
1950-10-24,292.716309,300.242859,2.317671
1950-10-25,293.385986,301.557373,3.648150
1950-10-26,293.295074,304.847107,0.906542
1950-10-27,293.491974,304.297546,13.356058
1950-10-28,288.407166,297.512299,14.229897
1950-10-29,287.467987,298.068695,26.581985
1950-10-30,284.874481,296.790497,1.656974
1950-10-31,281.234711,288.306183,1.840537
1950-11-01,279.320160,292.726562,0.000000
1950-11-02,280.184998,298.045410,0.000000
1950-11-03,284.573425,301.265961,0.000000
1950-11-04,286.509735,303.451630,0.000000
1950-11-05,286.926636,303.082672,0.000000
1950-11-06,284.335602,299.691467,0.000000
1950-11-07,283.560486,298.683411,0.000000
1950-11-08,283.899597,295.855164,0.000000
1950-11-09,284.768341,300.251434,0.000000
1950-11-10,285.211426,301.468231,0.000000
1950-11-11,284.650299,300.015778,0.000000
1950-11-12,285.326508,300.770599,0.000000
1950-11-13,285.280701,302.133484,0.000000
1950-11-14,285.343903,302.320892,0.000000
1950-11-15,284.660950,296.649841,0.000000
1950-11-16,281.764496,297.098877,0.000000
1950-11-17,283.177338,301.124817,0.000000
1950-11-18,289.680939,299.093689,0.000000
1950-11-19,278.700592,293.156311,0.000000
1950-11-20,283.727448,299.192657,0.000000
1950-11-21,286.977112,300.637970,0.486514
1950-11-22,287.843719,302.797852,0.708877
1950-11-23,288.637634,301.727356,0.000000
1950-11-24,286.195648,298.925385,0.000000
1950-11-25,286.017059,298.768250,0.000000
1950-11-26,283.394989,294.726807,0.000000
1950-11-27,284.380035,297.464600,0.000000
1950-11-28,287.935150,299.396210,0.708703
1950-11-29,287.610413,299.089661,0.387296
1950-11-30,288.929352,300.204803,0.283319
1950-12-01,290.582153,299.899414,4.099879
1950-12-02,290.844391,301.073334,2.599483
1950-12-03,289.683655,300.956635,0.000000
1950-12-04,288.293610,301.766998,0.401260
1950-12-05,287.857758,300.719177,0.000000
1950-12-06,288.745819,300.787506,0.000000
1950-12-07,286.517029,295.016510,0.888193
1950-12-08,276.359619,291.390015,25.729172
1950-12-09,276.008453,282.138428,7.260338
1950-12-10,279.177246,286.833282,4.903126
1950-12-11,279.031036,288.046753,5.202254
1950-12-12,276.981659,286.582855,0.000000
1950-12-13,278.028839,283.606049,1.593204
1950-12-14,275.106812,283.430481,3.474541
1950-12-15,272.966400,280.751343,2.481067
1950-12-16,271.819672,284.402466,0.000000
1950-12-17,275.308319,283.878815,2.094790
1950-12-18,277.125946,284.259674,2.512915
1950-12-19,277.445984,285.368073,0.485983
1950-12-20,280.748993,284.294281,3.031669
1950-12-21,278.859650,284.338287,3.113490
1950-12-22,276.608490,285.631866,0.000000
1950-12-23,273.642883,285.023438,0.000000
1950-12-24,274.734619,282.615631,0.862869
1950-12-25,275.782074,283.276581,1.607989
1950-12-26,276.313995,286.500336,0.660542
1950-12-27,276.185089,289.283966,0.000000
1950-12-28,275.378693,286.727203,0.000000
1950-12-29,272.912933,291.276306,0.000000
1950-12-30,276.883606,293.784424,0.000000
1950-12-31,280.340942,296.547058,0.000000
1951-01-01,281.297943,295.766968,0.000000
1951-01-02,280.235199,297.337616,0.000000
1951-01-03,282.359711,299.514130,0.000000
1951-01-04,282.364288,296.669006,0.000000
1951-01-05,279.185822,291.597565,0.000000
1951-01-06,275.494080,283.496124,4.420060
1951-01-07,278.292908,292.189087,1.464432
1951-01-08,276.901825,290.439117,0.000000
1951-01-09,273.523102,290.095734,0.000000
1951-01-10,281.491119,298.661652,0.000000
1951-01-11,283.281891,300.197113,0.000000
1951-01-12,284.966553,303.352783,0.000000
1951-01-13,281.686523,294.591248,0.000000
1951-01-14,275.826477,293.471985,0.000000
1951-01-15,277.905029,298.199310,0.000000
1951-01-16,282.382782,298.718628,0.000000
1951-01-17,283.511566,297.716522,0.000000
1951-01-18,280.986115,293.767212,0.000000
1951-01-19,276.683441,288.132446,1.880901
1951-01-20,270.453705,282.961884,0.000000
1951-01-21,272.645325,281.863678,0.000000
1951-01-22,273.854004,280.909210,1.315175
1951-01-23,274.786285,285.045868,5.021238
1951-01-24,278.848328,290.415649,0.000000
1951-01-25,284.436127,292.040161,6.437839
1951-01-26,279.093384,289.727509,0.854492
1951-01-27,271.815765,283.033325,0.000000
1951-01-28,272.262421,288.091736,0.000000
1951-01-29,274.199738,285.569092,0.000000
1951-01-30,273.498291,282.429657,0.000000
1951-01-31,270.783722,274.383972,4.395634
1951-02-01,272.708313,283.864899,3.431304
1951-02-02,275.537659,295.891174,0.000000
1951-02-03,280.905365,290.595428,0.000000
1951-02-04,272.048126,285.383453,0.000000
1951-02-05,273.829132,289.856598,0.000000
1951-02-06,272.877747,289.835907,0.000000
1951-02-07,274.577240,295.550201,0.000000
1951-02-08,279.631042,299.996460,0.000000
1951-02-09,280.693329,298.560028,0.000000
1951-02-10,281.954742,300.881287,0.000000
1951-02-11,282.748779,293.326324,0.000000
1951-02-12,266.111481,280.019653,0.000000
1951-02-13,264.839813,278.854126,0.000000
1951-02-14,271.580688,290.646912,0.000000
1951-02-15,276.897095,296.846558,0.000000
1951-02-16,278.454071,295.981598,0.000000
1951-02-17,280.507965,289.947937,0.000000
1951-02-18,278.453552,289.494659,0.000000
1951-02-19,278.576019,293.874115,0.000000
1951-02-20,284.183502,297.468384,0.000000
1951-02-21,285.929901,294.543732,13.508438
1951-02-22,279.820984,290.492035,12.941607
1951-02-23,272.428436,287.884491,0.825544
1951-02-24,273.641266,289.174103,0.000000
1951-02-25,273.578125,290.517700,0.000000
1951-02-26,278.340759,291.281708,0.000000
1951-02-27,278.392609,292.642242,0.949935
1951-02-28,282.308624,298.478088,3.882682
1951-03-01,280.194092,293.966919,0.539382
1951-03-02,279.300415,289.100800,1.926231
1951-03-03,279.103394,288.979034,6.975529
1951-03-04,277.041412,288.768311,30.593166
1951-03-05,282.780487,288.316345,50.886997
1951-03-06,281.271576,289.184021,13.621336
1951-03-07,272.716675,283.401459,2.113060
1951-03-08,270.512604,292.231110,0.000000
1951-03-09,276.266815,300.500977,0.000000
1951-03-10,285.693726,299.112030,0.000000
1951-03-11,287.340179,300.003143,0.000000
1951-03-12,279.332916,293.223969,0.000000
1951-03-13,268.702698,281.458405,0.000000
1951-03-14,268.517090,284.279633,0.000000
1951-03-15,273.107300,286.419922,0.000000
1951-03-16,276.673279,291.603516,0.000000
1951-03-17,277.957367,296.635437,0.000000
1951-03-18,281.979218,291.952942,0.000000
1951-03-19,277.100677,289.037689,0.289302
1951-03-20,280.009369,292.672699,0.000000
1951-03-21,283.160309,301.557800,0.000000
1951-03-22,286.100159,302.060364,3.281239
1951-03-23,283.864624,295.953522,0.614500
1951-03-24,277.072327,291.185150,0.000000
1951-03-25,273.128906,286.875732,0.000000
1951-03-26,277.482117,287.883087,0.000000
1951-03-27,279.759247,294.035370,0.000000
1951-03-28,283.423615,298.301025,0.446152
1951-03-29,287.993866,302.385132,1.684766
1951-03-30,288.130920,303.949463,0.000000
1951-03-31,289.009033,302.756439,0.000000
1951-04-01,280.389709,296.233093,0.000000
1951-04-02,279.660461,295.801575,0.000000
1951-04-03,279.772064,299.301758,0.000000
1951-04-04,286.950317,299.580536,0.000000
1951-04-05,289.496002,301.966095,0.000000
1951-04-06,289.276276,297.676239,0.000000
1951-04-07,287.031647,297.694794,6.538227
1951-04-08,290.207458,297.859863,1.413865
1951-04-09,290.692108,296.944000,11.039075
1951-04-10,288.789856,299.082550,0.000000
1951-04-11,282.691254,298.908203,0.000000
1951-04-12,284.793030,300.870789,0.000000
1951-04-13,288.799042,300.389008,0.000000
1951-04-14,287.907959,301.808411,0.288087
1951-04-15,289.778809,300.682343,1.713596
1951-04-16,289.652985,296.784119,12.106081
1951-04-17,282.881165,292.440887,3.498857
1951-04-18,278.750214,287.830200,4.034834
1951-04-19,280.209198,294.655914,0.000000
1951-04-20,282.825653,296.909576,0.000000
1951-04-21,284.372131,300.829071,0.000000
1951-04-22,287.129181,305.135559,0.000000
1951-04-23,288.569458,303.037720,0.000000
1951-04-24,289.628571,302.168945,0.000000
1951-04-25,287.600250,303.301483,0.000000
1951-04-26,288.482300,305.760010,0.000000
1951-04-27,288.509155,302.509216,0.000000
1951-04-28,290.369873,304.638458,0.000000
1951-04-29,288.173920,303.793549,0.000000
1951-04-30,291.186768,303.438324,0.000000
1951-05-01,292.030731,306.590759,0.000000
1951-05-02,291.776428,306.871307,0.000000
1951-05-03,293.062836,305.044006,0.000000
1951-05-04,288.972931,301.076324,0.000000
1951-05-05,286.056519,294.926147,0.000000
1951-05-06,287.219879,293.832153,0.000000
1951-05-07,290.816864,302.139862,0.000000
1951-05-08,290.331451,303.115814,0.000000
1951-05-09,289.136322,304.177795,0.000000
1951-05-10,292.427521,306.929016,0.000000
1951-05-11,293.197266,305.830292,0.000000
1951-05-12,291.959045,304.056183,0.000000
1951-05-13,291.378510,302.248840,0.000000
1951-05-14,292.169769,306.809021,0.000000
1951-05-15,295.680023,311.683014,0.000000
1951-05-16,297.233765,307.337250,0.000000
1951-05-17,295.211578,306.907257,0.000000
1951-05-18,294.339142,307.945618,0.000000
1951-05-19,293.561676,304.538055,0.000000
1951-05-20,289.806427,298.211456,0.000000
1951-05-21,291.662262,299.285980,0.000000
1951-05-22,293.094116,305.207336,0.000000
1951-05-23,294.214935,305.519592,0.000000
1951-05-24,294.829742,301.818512,0.533415
1951-05-25,293.526794,299.932739,5.888383
1951-05-26,292.713989,302.352112,1.567356
1951-05-27,293.241669,302.613831,1.725393
1951-05-28,293.283722,304.532837,2.444180
1951-05-29,292.338379,301.639130,3.876573
1951-05-30,290.982635,298.664825,0.000000
1951-05-31,290.694641,305.669861,0.000000
1951-06-01,293.740356,307.200439,0.000000
1951-06-02,294.421478,305.593719,0.000000
1951-06-03,294.447388,306.790009,0.599907
1951-06-04,295.572784,308.502289,1.140365
1951-06-05,296.293213,310.251068,0.000000
1951-06-06,297.175720,307.907623,0.000000
1951-06-07,296.195618,309.858704,0.000000
1951-06-08,296.287598,310.139923,0.000000
1951-06-09,296.991150,308.800629,0.000000
1951-06-10,296.889618,309.399078,0.000000
1951-06-11,295.973724,307.688782,1.266896
1951-06-12,295.069122,305.736938,0.747095
1951-06-13,294.858673,307.734375,0.000000
1951-06-14,296.124847,308.614594,0.000000
1951-06-15,296.279572,306.720184,0.000000
1951-06-16,295.382141,306.624634,0.281015
1951-06-17,295.225372,306.744324,0.000000
1951-06-18,295.374512,306.643982,0.000000
1951-06-19,295.313660,306.141327,0.000000
1951-06-20,295.392517,305.424561,1.866900
1951-06-21,295.015289,305.244904,0.000000
1951-06-22,295.062164,305.898865,0.419651
1951-06-23,294.760376,305.698395,0.000000
1951-06-24,295.190826,304.288574,1.702432
1951-06-25,295.196625,304.731567,0.000000
1951-06-26,295.612640,305.920105,0.000000
1951-06-27,295.753082,307.339294,0.000000
1951-06-28,295.929535,306.033752,8.921537
1951-06-29,295.189972,302.611633,13.963078
1951-06-30,294.031311,305.508392,0.000000
1951-07-01,293.569061,307.306976,0.000000
1951-07-02,294.602356,307.799225,0.000000
1951-07-03,295.111298,307.251953,0.000000
1951-07-04,295.672821,306.837311,0.000000
1951-07-05,295.897125,307.294220,0.000000
1951-07-06,295.933685,307.734375,0.000000
1951-07-07,295.644653,307.601349,0.000000
1951-07-08,295.822723,306.479370,0.000000
1951-07-09,295.840424,305.870758,2.409553
1951-07-10,295.410950,306.953094,0.000000
1951-07-11,294.539368,308.771973,0.000000
1951-07-12,295.786469,308.197174,0.000000
1951-07-13,295.806732,307.341248,0.496286
1951-07-14,295.313293,306.308380,4.190260
1951-07-15,294.553467,305.143494,0.679281
1951-07-16,294.784027,305.525391,0.000000
1951-07-17,295.899902,305.971680,0.000000
1951-07-18,295.946777,307.033203,0.913631
1951-07-19,295.388885,307.650085,0.000000
1951-07-20,295.583282,308.606995,0.000000
1951-07-21,295.347351,309.101013,0.000000
1951-07-22,295.865356,308.645264,0.000000
1951-07-23,295.816132,307.679962,0.000000
1951-07-24,295.095184,305.947418,0.000000
1951-07-25,294.888031,306.400391,6.307343
1951-07-26,295.102203,303.500122,1.890208
1951-07-27,294.813477,303.524536,1.504681
1951-07-28,295.009003,303.348297,0.000000
1951-07-29,295.359802,303.690277,0.000000
1951-07-30,294.997192,304.533752,1.679358
1951-07-31,294.947296,305.136963,0.646771
1951-08-01,295.290131,306.601074,0.490609
1951-08-02,295.024597,308.432922,0.000000
1951-08-03,294.144684,309.500610,0.000000
1951-08-04,294.069336,309.960388,0.000000
1951-08-05,294.635864,310.024139,0.000000
1951-08-06,294.514740,310.619598,0.000000
1951-08-07,295.149384,311.437714,0.000000
1951-08-08,296.781189,310.894104,0.000000
1951-08-09,296.744263,309.928833,0.000000
