#Variables:
#tasmin_MIROC-ESM-CHEM_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM-CHEM_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM-CHEM_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM-CHEM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM-CHEM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM-CHEM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_rcp85(K),tasmax_MIROC-ESM-CHEM_rcp85(K),pr_MIROC-ESM-CHEM_rcp85(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_rcp85(K),tasmax_MIROC-ESM-CHEM_rcp85(K),pr_MIROC-ESM-CHEM_rcp85(mm)
2006-01-30,274.433716,290.828125,0.000000
2006-01-31,279.527466,289.804596,1.694701
2006-02-01,280.873444,287.900360,3.971092
2006-02-02,276.424042,285.682068,0.000000
2006-02-03,273.891022,298.018372,0.000000
2006-02-04,276.264069,289.247559,0.000000
2006-02-05,277.459747,290.624084,0.000000
2006-02-06,276.135529,290.150177,0.000000
2006-02-07,274.543640,283.993866,0.000000
2006-02-08,276.418182,289.396088,0.000000
2006-02-09,277.689728,297.175385,0.000000
2006-02-10,285.864716,295.911377,0.703814
2006-02-11,281.850250,299.901031,0.000000
2006-02-12,284.318298,298.571808,0.000000
2006-02-13,282.957794,299.817688,0.000000
2006-02-14,287.926086,298.149567,4.289608
2006-02-15,282.373566,293.520264,1.065610
2006-02-16,282.172089,298.633789,0.000000
2006-02-17,288.106445,300.576721,5.228527
2006-02-18,287.814117,293.588684,0.357887
2006-02-19,273.761597,287.284485,0.000000
2006-02-20,272.558868,289.930115,0.000000
2006-02-21,278.635956,294.208038,0.000000
2006-02-22,284.863708,299.084106,0.526560
2006-02-23,287.638824,301.206238,0.000000
2006-02-24,283.843262,296.234344,0.000000
2006-02-25,283.787170,293.558197,8.395238
2006-02-26,278.829834,293.483368,0.000000
2006-02-27,281.839722,303.739410,0.000000
2006-02-28,283.937378,309.639984,0.000000
2006-03-01,287.648102,304.332458,0.000000
2006-03-02,288.345581,299.545837,0.514249
2006-03-03,281.826080,293.069946,0.000000
2006-03-04,278.573517,295.880585,0.000000
2006-03-05,281.705170,300.867188,0.000000
2006-03-06,287.845032,302.554077,0.000000
2006-03-07,282.025177,296.101318,0.000000
2006-03-08,278.611786,295.399963,0.000000
2006-03-09,289.920837,303.027100,1.645697
2006-03-10,290.463593,301.382446,1.742392
2006-03-11,289.820496,298.345093,0.378722
2006-03-12,286.914886,302.332306,0.701400
2006-03-13,283.428558,298.531464,0.000000
2006-03-14,283.144348,299.815979,0.000000
2006-03-15,284.858215,294.894348,0.000000
2006-03-16,283.274048,291.827515,0.000000
2006-03-17,278.316101,290.816071,0.000000
2006-03-18,281.205475,291.769531,6.127457
2006-03-19,286.110138,298.210693,2.555403
2006-03-20,288.981018,297.936432,14.113405
2006-03-21,284.834259,301.135925,0.000000
2006-03-22,284.947083,303.803986,0.000000
2006-03-23,289.838531,306.171265,0.000000
2006-03-24,290.321045,306.572723,0.000000
2006-03-25,291.487946,304.851685,0.000000
2006-03-26,292.091095,304.058197,2.789355
2006-03-27,289.816315,303.129639,1.926569
2006-03-28,292.038483,306.563690,0.298839
2006-03-29,293.002045,303.670715,3.463805
2006-03-30,279.591370,294.764374,0.000000
2006-03-31,280.256592,291.263733,0.000000
2006-04-01,281.558380,286.522125,18.733559
2006-04-02,283.526672,290.562653,0.000000
2006-04-03,282.559784,302.192810,0.000000
2006-04-04,286.127899,296.381378,0.525749
2006-04-05,281.406281,294.148041,0.000000
2006-04-06,282.169342,297.721680,0.000000
2006-04-07,280.945068,300.661377,0.000000
2006-04-08,289.085754,299.440369,1.318054
2006-04-09,284.526306,302.494995,0.000000
2006-04-10,290.248962,304.239624,0.000000
2006-04-11,293.381775,304.772400,0.000000
2006-04-12,291.765991,304.712341,0.000000
2006-04-13,294.841919,306.167389,0.000000
2006-04-14,294.724792,308.837860,0.000000
2006-04-15,296.820129,307.385284,0.000000
2006-04-16,295.089417,306.304504,0.869566
2006-04-17,294.381226,305.417419,1.092070
2006-04-18,295.617035,301.277100,13.442100
2006-04-19,291.296814,302.554779,0.000000
2006-04-20,287.170349,302.618073,0.000000
2006-04-21,288.151276,303.449768,0.000000
2006-04-22,292.248016,305.320923,0.372988
2006-04-23,289.949432,310.982605,0.000000
2006-04-24,294.553589,306.841095,0.000000
2006-04-25,292.686035,303.409119,0.000000
2006-04-26,289.595215,302.146729,0.412596
2006-04-27,288.971283,304.267548,0.000000
2006-04-28,293.194580,304.688202,0.542349
2006-04-29,293.076660,305.466644,0.000000
2006-04-30,290.344849,305.330139,0.000000
2006-05-01,292.477661,306.411285,0.000000
2006-05-02,291.238098,306.554199,0.000000
2006-05-03,293.310272,303.356903,2.133764
2006-05-04,290.681854,301.118408,0.000000
2006-05-05,293.141815,304.811096,0.000000
2006-05-06,293.411682,301.072845,5.650867
2006-05-07,291.111023,296.750366,28.672844
2006-05-08,291.873413,297.612885,22.002596
2006-05-09,290.501953,303.620758,0.000000
2006-05-10,294.544891,306.554199,0.000000
2006-05-11,293.767731,308.708466,1.659497
2006-05-12,294.264130,301.876526,0.000000
2006-05-13,294.679901,301.545990,3.507142
2006-05-14,293.586456,305.719238,9.960992
2006-05-15,294.803619,306.471161,0.000000
2006-05-16,289.772064,302.552979,0.515585
2006-05-17,294.119812,302.841705,0.825466
2006-05-18,292.643707,305.334381,0.000000
2006-05-19,293.291962,307.810913,0.000000
2006-05-20,293.236328,307.752167,0.000000
2006-05-21,292.260559,306.845703,0.000000
2006-05-22,292.642853,309.464813,0.000000
2006-05-23,294.600220,307.691681,0.000000
2006-05-24,296.591461,307.607361,0.000000
2006-05-25,299.551361,307.987000,0.000000
2006-05-26,296.821533,305.046082,1.001298
2006-05-27,296.251648,303.573151,6.208889
2006-05-28,297.526154,308.590240,0.301154
2006-05-29,295.645660,307.731964,0.000000
2006-05-30,295.991394,308.735168,0.000000
2006-05-31,298.680206,307.696564,0.341082
2006-06-01,296.737579,308.879944,1.056846
2006-06-02,297.612610,307.262299,1.660772
2006-06-03,296.785675,309.957550,4.494642
2006-06-04,297.760529,309.671112,0.000000
2006-06-05,298.216431,308.510223,0.000000
2006-06-06,301.011475,307.262268,4.314920
2006-06-07,296.921600,309.192596,0.000000
2006-06-08,296.688568,306.495270,2.209507
2006-06-09,295.430634,304.957764,3.972618
2006-06-10,294.566162,308.772278,0.000000
2006-06-11,295.113464,310.990265,0.000000
2006-06-12,295.944641,310.470062,0.000000
2006-06-13,298.061646,310.470276,0.000000
2006-06-14,297.436432,310.358551,3.932958
2006-06-15,296.082916,311.658203,0.000000
2006-06-16,298.776825,310.851379,0.000000
2006-06-17,301.456451,311.967285,0.525212
2006-06-18,297.883301,310.748657,0.000000
2006-06-19,298.111359,310.869324,0.505583
2006-06-20,297.182465,311.332062,0.928750
2006-06-21,299.505402,309.642365,4.060016
2006-06-22,297.795227,306.731354,3.919468
2006-06-23,297.428284,308.930969,0.000000
2006-06-24,296.530365,308.211060,0.000000
2006-06-25,296.660187,308.531219,0.000000
2006-06-26,296.311127,306.888763,0.000000
2006-06-27,296.112518,306.755859,0.000000
2006-06-28,295.885132,303.456879,3.989267
2006-06-29,295.998505,308.058136,4.023443
2006-06-30,296.157227,309.001648,0.000000
2006-07-01,296.237793,308.164215,0.000000
2006-07-02,295.570496,307.294708,0.000000
2006-07-03,296.093781,306.578125,0.000000
2006-07-04,295.868591,304.660919,0.000000
2006-07-05,295.641846,305.405487,0.000000
2006-07-06,296.445984,304.398865,6.558860
2006-07-07,296.667725,306.604614,0.000000
2006-07-08,296.471008,308.484467,0.000000
2006-07-09,296.641998,309.118286,0.000000
2006-07-10,297.184814,308.199585,0.000000
2006-07-11,297.433655,308.788452,0.000000
2006-07-12,297.619476,309.142120,0.000000
2006-07-13,296.911224,308.495911,0.000000
2006-07-14,297.049042,307.553162,0.000000
2006-07-15,297.624969,309.963440,0.432997
2006-07-16,297.044342,311.103241,0.000000
2006-07-17,298.206116,310.440399,1.510994
2006-07-18,298.268097,309.225555,0.606005
2006-07-19,297.840057,308.852844,0.000000
2006-07-20,298.055817,308.586670,0.287778
2006-07-21,298.394684,310.054596,0.000000
2006-07-22,299.347931,312.157349,0.335237
2006-07-23,299.655426,312.063843,0.000000
2006-07-24,298.727020,310.153442,0.000000
2006-07-25,297.739136,310.101196,0.000000
2006-07-26,296.928253,308.647980,0.000000
2006-07-27,296.746277,308.697449,0.000000
2006-07-28,297.415985,310.292267,0.000000
2006-07-29,298.534943,310.154144,2.518767
2006-07-30,298.098419,310.038818,0.918536
2006-07-31,296.742920,309.727692,0.000000
2006-08-01,296.041077,308.614594,0.377750
2006-08-02,295.532349,308.286255,0.954612
2006-08-03,295.954529,308.390778,0.000000
2006-08-04,295.285828,309.155151,0.000000
2006-08-05,296.533417,313.043884,0.000000
2006-08-06,297.641266,313.182404,0.000000
2006-08-07,299.280273,312.138428,0.000000
2006-08-08,298.849945,312.146881,0.000000
2006-08-09,299.136017,310.800385,0.000000
2006-08-10,298.516724,312.077209,0.000000
2006-08-11,298.048157,310.630188,0.000000
2006-08-12,296.715088,309.277191,0.000000
2006-08-13,296.431580,307.630737,0.979847
2006-08-14,296.022888,307.467041,0.000000
2006-08-15,296.944855,305.953796,0.000000
2006-08-16,296.539795,306.582672,0.000000
2006-08-17,297.406799,311.072083,0.000000
2006-08-18,298.105469,311.431976,0.000000
2006-08-19,299.188568,312.356171,0.341094
2006-08-20,297.679199,311.730774,0.302180
2006-08-21,297.666229,310.667053,0.000000
2006-08-22,298.432709,311.465363,0.000000
2006-08-23,298.537415,313.378632,0.000000
2006-08-24,297.720612,312.357422,1.263806
2006-08-25,298.529785,311.966309,0.000000
2006-08-26,298.821014,311.700928,0.909141
2006-08-27,299.548645,310.313446,6.331672
2006-08-28,297.904053,309.662933,0.000000
2006-08-29,296.452576,309.187988,0.000000
2006-08-30,296.009918,309.736816,0.000000
2006-08-31,297.496613,309.769623,15.242456
2006-09-01,297.048615,307.903534,4.103132
2006-09-02,299.363251,307.419373,12.917662
2006-09-03,293.793854,301.896057,58.464195
2006-09-04,294.329102,302.211945,53.078281
2006-09-05,290.463043,296.609314,94.927750
2006-09-06,292.189209,302.030243,34.838428
2006-09-07,292.275787,301.917084,8.416799
2006-09-08,290.437195,300.067017,1.736120
2006-09-09,290.614227,303.148926,0.000000
2006-09-10,291.348846,302.641632,0.000000
2006-09-11,291.687836,300.225067,0.383393
2006-09-12,290.590790,299.581482,3.781813
2006-09-13,290.466095,300.244720,4.912990
2006-09-14,290.591827,301.505707,12.420008
2006-09-15,290.446350,305.075531,1.474388
2006-09-16,292.157623,303.913818,1.001963
2006-09-17,289.688690,302.562103,1.332387
2006-09-18,288.966492,303.386169,0.000000
2006-09-19,290.199219,303.901123,0.000000
2006-09-20,289.678040,304.240448,0.000000
2006-09-21,290.640350,304.701324,0.323261
2006-09-22,293.951080,305.558807,1.215480
2006-09-23,294.098267,304.678864,1.629029
2006-09-24,290.761749,305.432129,5.244209
2006-09-25,292.970093,304.648987,13.997705
2006-09-26,291.513092,307.417725,35.426071
2006-09-27,283.817017,295.857819,0.000000
2006-09-28,286.871826,300.773712,0.000000
2006-09-29,287.394257,303.371887,0.000000
2006-09-30,289.150787,305.047394,0.000000
2006-10-01,289.667572,306.313629,0.000000
2006-10-02,290.802185,305.671600,0.000000
2006-10-03,290.622437,305.811218,0.000000
2006-10-04,290.638855,306.007996,0.000000
2006-10-05,288.925385,306.045471,0.000000
2006-10-06,290.607788,305.975677,0.000000
2006-10-07,291.039154,305.536804,0.000000
2006-10-08,291.945557,305.012421,0.000000
2006-10-09,292.808350,304.466370,4.988528
2006-10-10,290.921326,299.582245,70.387299
2006-10-11,288.507141,296.408295,121.625107
2006-10-12,286.909546,293.858978,0.564962
2006-10-13,291.117004,300.007385,0.000000
2006-10-14,292.754181,300.670563,2.036473
2006-10-15,291.796173,301.397125,0.000000
2006-10-16,282.716675,299.751221,0.000000
2006-10-17,284.687683,300.319183,0.000000
2006-10-18,289.237610,302.563293,0.794930
2006-10-19,284.599670,298.882874,0.000000
2006-10-20,281.425232,302.293701,0.000000
2006-10-21,285.004272,301.490906,0.000000
2006-10-22,286.612000,300.174133,0.000000
2006-10-23,287.786469,304.608185,0.000000
2006-10-24,291.421814,300.031433,0.000000
2006-10-25,286.204926,295.317291,0.000000
2006-10-26,285.573151,298.625488,0.000000
2006-10-27,289.483154,299.975342,0.000000
2006-10-28,291.729675,303.226562,4.333795
2006-10-29,292.144318,304.170746,1.929008
2006-10-30,292.419586,301.797821,4.383326
2006-10-31,286.916687,300.422272,0.000000
2006-11-01,284.096893,304.962219,0.000000
2006-11-02,285.992645,305.299011,0.000000
2006-11-03,287.256531,303.566589,0.000000
2006-11-04,291.208130,304.347992,0.000000
2006-11-05,291.697418,303.667328,1.135488
2006-11-06,284.295197,300.003601,0.000000
2006-11-07,273.734924,282.138916,0.000000
2006-11-08,273.786102,283.519379,0.000000
2006-11-09,276.826660,287.670868,0.000000
2006-11-10,275.336334,292.841095,0.000000
2006-11-11,277.374481,295.738892,0.000000
2006-11-12,283.993500,295.953369,0.000000
2006-11-13,279.610992,293.600494,0.000000
2006-11-14,277.505676,297.099060,0.000000
2006-11-15,279.711304,298.275146,0.000000
2006-11-16,279.738434,297.339233,0.000000
2006-11-17,284.385620,301.249573,0.000000
2006-11-18,285.595856,301.173492,0.000000
2006-11-19,287.733398,301.433441,0.000000
2006-11-20,289.123505,301.741730,0.000000
2006-11-21,283.118835,297.541077,0.000000
2006-11-22,275.380432,291.635498,0.000000
2006-11-23,277.912842,299.205688,0.351219
2006-11-24,284.955017,302.564362,0.570444
2006-11-25,285.612366,299.776581,0.000000
2006-11-26,284.551270,300.055298,0.000000
2006-11-27,285.449768,294.045258,0.857670
2006-11-28,273.059052,284.573639,0.000000
2006-11-29,275.873779,294.784607,0.000000
2006-11-30,277.523315,294.076141,0.000000
2006-12-01,277.873932,289.366974,0.000000
2006-12-02,270.887421,281.729065,0.000000
2006-12-03,270.842682,282.173065,0.000000
2006-12-04,271.265961,286.840820,0.000000
2006-12-05,273.837006,285.225861,0.329258
2006-12-06,275.624084,282.853180,1.192218
2006-12-07,275.024841,290.870361,0.343430
2006-12-08,274.305145,286.688080,0.000000
2006-12-09,273.996979,287.425842,0.000000
2006-12-10,273.083252,288.140106,0.000000
2006-12-11,275.708435,292.147308,0.000000
2006-12-12,276.599762,292.816711,0.000000
2006-12-13,274.242157,286.499573,0.000000
2006-12-14,274.186096,292.093781,0.000000
2006-12-15,277.462891,297.476379,0.000000
2006-12-16,279.659088,291.907928,0.000000
2006-12-17,273.815216,287.113037,0.000000
2006-12-18,276.455139,295.577209,0.000000
2006-12-19,277.173492,288.407257,0.000000
2006-12-20,268.675690,281.413147,5.266326
2006-12-21,275.701782,282.068909,13.398124
2006-12-22,268.280548,286.390839,1.921882
2006-12-23,274.205750,292.312531,0.000000
2006-12-24,278.563354,293.995270,0.000000
2006-12-25,278.415863,292.399567,0.000000
2006-12-26,280.128693,297.260590,0.000000
2006-12-27,282.095245,290.284271,0.000000
2006-12-28,256.532288,277.556610,0.000000
2006-12-29,261.455139,281.654175,0.000000
2006-12-30,269.950134,287.277496,0.000000
2006-12-31,276.442169,293.670990,0.000000
2007-01-01,277.789337,296.368713,0.000000
2007-01-02,281.875275,299.334442,0.000000
2007-01-03,284.880493,293.704651,3.382583
2007-01-04,279.873444,296.145508,0.387167
2007-01-05,278.785614,297.104309,0.000000
2007-01-06,281.101959,300.165588,0.000000
2007-01-07,282.909851,299.207916,0.000000
2007-01-08,282.001862,300.240570,0.308553
2007-01-09,281.827118,296.803802,0.000000
2007-01-10,279.153961,296.685638,0.000000
2007-01-11,280.947754,300.390625,0.000000
2007-01-12,286.794617,294.681000,1.759832
2007-01-13,270.986938,287.979218,0.849960
2007-01-14,261.388428,275.198425,0.000000
2007-01-15,261.300385,275.144897,0.000000
2007-01-16,269.731415,283.633545,0.000000
2007-01-17,271.449310,290.778015,0.000000
2007-01-18,275.978607,297.147400,0.000000
2007-01-19,276.016968,294.890656,0.000000
2007-01-20,278.610748,298.735626,0.000000
2007-01-21,284.322418,294.582062,0.000000
2007-01-22,274.218384,294.854584,0.000000
2007-01-23,277.407471,298.878479,0.000000
2007-01-24,280.669739,301.634735,0.350729
2007-01-25,284.271027,295.096405,1.518667
2007-01-26,269.135162,280.177185,0.671367
2007-01-27,266.783508,278.398621,0.000000
2007-01-28,268.250305,282.263855,0.000000
2007-01-29,273.335754,286.127838,0.000000
2007-01-30,276.938263,287.443909,0.000000
2007-01-31,272.505981,288.692657,0.000000
2007-02-01,273.855621,292.411865,0.000000
2007-02-02,276.142365,296.092834,0.000000
2007-02-03,275.578094,297.071289,0.000000
2007-02-04,288.415833,298.777161,4.428038
2007-02-05,286.067657,301.449310,0.000000
2007-02-06,284.987579,295.995728,0.325340
2007-02-07,266.550873,281.434235,0.000000
2007-02-08,268.727173,286.123718,0.000000
2007-02-09,271.885956,288.051361,0.000000
2007-02-10,273.028137,289.498932,0.000000
2007-02-11,276.428253,297.954010,0.000000
2007-02-12,279.203979,300.247955,0.000000
2007-02-13,280.124512,299.261108,0.000000
2007-02-14,281.121613,303.804199,0.000000
2007-02-15,282.666382,298.689941,0.000000
2007-02-16,272.416138,293.159790,0.000000
2007-02-17,276.926727,297.652466,0.000000
2007-02-18,281.362396,302.230988,0.000000
2007-02-19,287.546997,302.569763,0.000000
2007-02-20,288.663269,303.170624,0.000000
2007-02-21,288.888977,303.920563,0.609890
2007-02-22,289.720428,301.140686,6.723510
2007-02-23,275.638519,298.354095,0.000000
2007-02-24,276.686890,288.870209,0.000000
2007-02-25,275.297302,296.790100,0.000000
2007-02-26,285.540802,302.234222,0.000000
2007-02-27,281.850800,309.459229,0.479300
2007-02-28,288.027924,296.862244,7.455266
2007-03-01,284.311676,292.492401,0.000000
2007-03-02,276.470825,303.307251,0.000000
2007-03-03,278.056366,292.240021,0.000000
2007-03-04,277.257446,291.835602,0.000000
2007-03-05,279.209503,301.827881,0.000000
2007-03-06,283.417297,300.970245,0.000000
2007-03-07,280.156189,295.023621,0.000000
2007-03-08,278.321808,296.915558,0.000000
2007-03-09,287.203705,301.335083,3.112171
2007-03-10,284.480896,296.493622,3.254358
2007-03-11,270.844818,289.219513,0.000000
2007-03-12,277.911346,296.871002,0.000000
2007-03-13,280.156830,296.697571,0.000000
2007-03-14,284.358765,295.382782,6.953043
2007-03-15,285.526398,303.088959,1.429096
2007-03-16,284.790771,303.525940,0.000000
2007-03-17,291.308350,303.430908,2.455666
2007-03-18,289.638641,302.820221,0.000000
2007-03-19,289.185242,300.716187,2.766692
2007-03-20,290.770782,302.099243,28.607132
2007-03-21,290.278320,300.703735,0.000000
2007-03-22,284.138824,299.691315,0.000000
2007-03-23,287.832733,305.046356,0.000000
2007-03-24,288.215057,305.300995,0.000000
2007-03-25,292.247803,303.985260,0.000000
2007-03-26,290.936523,301.969849,0.000000
2007-03-27,289.548401,300.909454,5.293892
2007-03-28,287.846405,298.344147,0.000000
2007-03-29,286.661285,294.531525,3.905353
2007-03-30,288.023376,300.639282,3.355372
2007-03-31,283.287750,299.585144,0.000000
2007-04-01,285.864014,301.333130,0.000000
2007-04-02,286.342987,299.888397,0.000000
2007-04-03,286.190063,298.531586,0.000000
2007-04-04,285.639557,295.611877,0.000000
2007-04-05,280.696533,302.888275,0.000000
2007-04-06,290.291321,304.414764,0.000000
2007-04-07,288.228333,306.543854,0.000000
2007-04-08,292.336700,307.019073,0.000000
2007-04-09,294.100952,305.456116,0.572139
2007-04-10,290.406219,303.932556,0.000000
2007-04-11,288.513489,306.388000,0.000000
2007-04-12,292.764252,306.629211,0.000000
2007-04-13,293.603668,303.828308,0.000000
2007-04-14,289.408478,303.342743,0.000000
2007-04-15,289.234650,303.385559,0.000000
2007-04-16,286.518494,298.173218,0.000000
2007-04-17,284.488770,289.551300,2.631479
2007-04-18,279.450226,294.805298,0.000000
2007-04-19,281.558655,304.659912,0.000000
2007-04-20,283.878052,302.949463,0.000000
2007-04-21,288.172638,298.510864,0.000000
2007-04-22,288.308258,295.722351,0.000000
2007-04-23,290.802734,298.350739,12.909266
2007-04-24,287.638489,296.521301,1.508802
2007-04-25,287.785736,301.257477,0.000000
2007-04-26,287.682129,304.228119,0.000000
2007-04-27,292.847717,301.339111,4.795912
2007-04-28,292.444794,302.500244,0.370256
2007-04-29,290.330841,302.829041,0.423214
2007-04-30,292.192047,308.895325,0.547715
2007-05-01,288.446320,305.492462,0.000000
2007-05-02,294.407104,305.938293,0.000000
2007-05-03,292.133423,306.164093,0.000000
2007-05-04,292.955688,307.625977,0.000000
2007-05-05,294.699310,305.008667,0.000000
2007-05-06,294.198059,303.363129,0.664526
2007-05-07,294.295807,304.563965,14.750697
2007-05-08,293.748901,306.539673,0.000000
2007-05-09,294.152618,304.492065,0.635965
2007-05-10,293.169922,302.710052,5.421897
2007-05-11,294.231750,300.080383,20.816114
2007-05-12,291.407562,295.506287,9.286737
2007-05-13,294.231720,300.325562,0.000000
2007-05-14,294.138611,305.708588,0.000000
2007-05-15,293.795624,305.383484,0.000000
2007-05-16,294.832214,305.132172,0.310229
2007-05-17,294.597931,306.294067,0.000000
2007-05-18,294.253998,305.671478,0.000000
2007-05-19,292.071899,306.541992,0.000000
2007-05-20,295.049408,307.704742,0.000000
2007-05-21,295.150024,304.748291,0.000000
2007-05-22,294.699127,306.390991,0.000000
2007-05-23,293.698151,307.519104,0.000000
2007-05-24,295.093750,309.273834,0.000000
2007-05-25,296.656067,309.664001,0.000000
2007-05-26,299.201477,309.226837,0.000000
2007-05-27,297.048584,308.281677,0.000000
2007-05-28,295.956360,305.486847,0.000000
2007-05-29,295.222839,308.864563,0.000000
2007-05-30,297.423187,308.125885,0.315637
2007-05-31,297.678223,307.913055,0.000000
2007-06-01,297.858704,305.540253,1.052708
2007-06-02,294.487518,307.710205,0.000000
2007-06-03,295.703125,305.768127,1.144539
2007-06-04,294.546448,305.578430,2.042094
2007-06-05,298.640594,303.157776,4.905164
2007-06-06,294.822479,305.495636,0.000000
2007-06-07,293.632141,305.180176,0.000000
2007-06-08,294.803101,305.465485,0.000000
2007-06-09,296.775513,307.262573,4.434527
2007-06-10,294.988251,305.187653,0.498886
2007-06-11,294.257935,305.236450,0.000000
2007-06-12,294.726349,306.269409,0.000000
2007-06-13,296.544464,309.029388,0.000000
2007-06-14,296.272461,308.924774,1.242993
2007-06-15,296.672211,309.273163,0.910588
2007-06-16,298.012390,308.372742,0.000000
2007-06-17,297.052368,304.964233,4.067936
2007-06-18,296.096985,303.320282,2.461251
2007-06-19,294.983215,303.431488,0.831994
2007-06-20,295.747131,302.339325,4.284327
2007-06-21,295.129120,302.850464,0.000000
2007-06-22,294.208130,302.605774,0.000000
2007-06-23,295.061371,303.998993,1.226120
2007-06-24,295.774475,302.861206,16.889414
2007-06-25,295.229675,306.813416,2.694382
2007-06-26,294.688477,301.311615,4.050443
2007-06-27,295.962952,301.442444,0.000000
2007-06-28,294.021576,304.895538,0.000000
2007-06-29,295.467834,304.758118,0.000000
2007-06-30,295.863678,305.601349,0.000000
2007-07-01,295.802521,307.496796,0.000000
2007-07-02,296.512756,309.059937,0.000000
2007-07-03,297.315277,309.008179,0.000000
2007-07-04,297.436676,308.645844,0.000000
2007-07-05,297.241089,307.826691,0.000000
2007-07-06,296.403961,307.100006,1.710512
2007-07-07,296.552612,307.388885,28.866768
2007-07-08,295.671051,306.755585,2.335617
2007-07-09,295.812042,307.560028,0.000000
2007-07-10,295.822174,305.673340,11.442933
2007-07-11,296.157898,303.923035,30.741831
2007-07-12,296.795868,309.469727,0.000000
2007-07-13,297.672058,310.545135,0.000000
2007-07-14,296.239197,307.492096,0.000000
2007-07-15,296.279083,304.401581,0.000000
2007-07-16,295.349762,301.395599,0.633504
2007-07-17,295.535309,305.452759,0.000000
2007-07-18,295.565369,306.411774,0.000000
2007-07-19,295.042023,306.458984,0.000000
2007-07-20,294.794159,306.868988,0.284658
2007-07-21,295.851624,307.919647,0.000000
2007-07-22,296.801300,308.705811,0.000000
2007-07-23,297.431305,309.210175,0.000000
2007-07-24,297.438385,310.379456,0.000000
2007-07-25,297.557373,311.219910,0.000000
2007-07-26,297.682678,312.552002,0.000000
2007-07-27,298.267029,310.815552,0.677744
2007-07-28,297.564667,309.603119,2.091852
2007-07-29,297.762146,310.485565,0.000000
2007-07-30,299.247070,310.580200,9.424932
2007-07-31,295.387756,309.180084,2.387228
2007-08-01,295.290863,309.570496,0.999496
2007-08-02,295.382904,309.484283,0.842975
2007-08-03,295.620239,309.791901,0.603257
2007-08-04,296.843903,309.591064,0.000000
2007-08-05,297.462982,309.864197,0.000000
2007-08-06,298.423920,311.165466,0.000000
