#Variables:
#tasmin_CanESM2_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CanESM2_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CanESM2_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CanESM2_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CanESM2_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CanESM2_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CanESM2_historical(K),tasmax_CanESM2_historical(K),pr_CanESM2_historical(mm)"
""
yyyy-mm-dd,tasmin_CanESM2_historical(K),tasmax_CanESM2_historical(K),pr_CanESM2_historical(mm)
1950-06-10,294.641266,307.464813,0.000000
1950-06-11,294.610474,307.456329,0.000000
1950-06-12,295.314362,307.338043,3.089888
1950-06-13,296.885590,307.380280,16.520086
1950-06-14,295.845459,303.756226,5.497722
1950-06-15,296.710419,305.695282,2.349636
1950-06-16,295.563232,305.324036,0.000000
1950-06-17,295.746124,305.834137,0.000000
1950-06-18,295.267517,306.920166,2.797929
1950-06-19,297.974884,306.117157,3.239779
1950-06-20,296.164124,305.935150,1.819513
1950-06-21,296.160309,304.325287,6.526843
1950-06-22,296.516144,305.782227,33.976856
1950-06-23,295.386200,303.942383,0.000000
1950-06-24,294.855408,305.177582,0.000000
1950-06-25,294.017334,305.879608,0.000000
1950-06-26,294.102753,306.341675,0.000000
1950-06-27,294.840424,306.724182,0.000000
1950-06-28,295.732666,306.266388,7.180152
1950-06-29,296.441254,306.062897,0.000000
1950-06-30,296.264252,306.470032,0.000000
1950-07-01,296.285492,307.538940,2.775839
1950-07-02,298.807709,306.266907,0.452914
1950-07-03,296.799591,307.264069,0.000000
1950-07-04,296.553345,308.007355,0.000000
1950-07-05,297.671753,308.997406,0.000000
1950-07-06,296.317230,308.557159,0.000000
1950-07-07,296.700409,308.043884,0.000000
1950-07-08,296.796967,307.051849,2.267319
1950-07-09,295.573395,308.033875,0.000000
1950-07-10,295.290283,307.543274,0.000000
1950-07-11,295.901978,307.760773,0.000000
1950-07-12,297.168610,308.085175,0.000000
1950-07-13,296.644012,309.578949,0.000000
1950-07-14,296.522614,309.628662,0.000000
1950-07-15,296.516449,310.283447,0.000000
1950-07-16,296.384613,309.876862,0.000000
1950-07-17,295.875397,308.179901,0.000000
1950-07-18,295.700592,308.150085,0.000000
1950-07-19,295.388519,308.653564,0.000000
1950-07-20,295.742859,309.034943,0.000000
1950-07-21,295.802002,308.661713,0.000000
1950-07-22,295.751495,308.961151,0.307672
1950-07-23,296.345673,308.806946,0.000000
1950-07-24,296.493530,309.525146,0.000000
1950-07-25,296.757080,309.490387,0.000000
1950-07-26,297.111298,308.753021,0.304943
1950-07-27,296.292236,307.131195,0.000000
1950-07-28,295.975616,307.516541,0.000000
1950-07-29,295.945190,305.720123,0.000000
1950-07-30,295.990051,308.319397,1.272163
1950-07-31,295.244812,310.181488,0.000000
1950-08-01,296.292969,310.680573,5.084169
1950-08-02,296.536774,306.901550,8.611909
1950-08-03,294.905060,304.587372,1.452850
1950-08-04,293.739258,308.271423,0.292634
1950-08-05,295.926025,309.961639,0.000000
1950-08-06,297.639801,309.057434,0.000000
1950-08-07,297.133057,309.944031,0.000000
1950-08-08,296.788391,308.872101,0.000000
1950-08-09,296.077728,308.796173,0.000000
1950-08-10,295.572510,307.007965,0.000000
1950-08-11,295.378235,308.432922,0.000000
1950-08-12,296.725708,308.276062,0.567046
1950-08-13,297.425568,307.399994,0.000000
1950-08-14,296.406860,310.015106,0.602032
1950-08-15,295.415924,310.770630,0.000000
1950-08-16,296.749115,310.851471,0.000000
1950-08-17,296.020294,310.102417,0.000000
1950-08-18,297.122498,311.325562,0.000000
1950-08-19,297.503052,310.178741,0.440868
1950-08-20,297.584442,307.990662,3.310766
1950-08-21,297.712494,309.754242,0.000000
1950-08-22,297.310913,310.002106,0.000000
1950-08-23,298.734467,310.314270,0.000000
1950-08-24,298.230652,310.648193,0.312059
1950-08-25,297.154022,310.360840,0.000000
1950-08-26,296.309998,308.130096,0.000000
1950-08-27,296.811218,308.747894,0.000000
1950-08-28,296.732727,309.288422,0.000000
1950-08-29,296.129944,305.574463,20.963106
1950-08-30,294.299561,305.432465,12.603455
1950-08-31,294.697876,303.564697,29.445036
1950-09-01,289.794861,299.840790,21.964689
1950-09-02,296.042572,303.993469,7.213114
1950-09-03,294.693726,302.815033,0.000000
1950-09-04,294.266388,303.338013,1.335023
1950-09-05,294.157410,304.519775,0.000000
1950-09-06,292.147156,305.665894,0.000000
1950-09-07,292.878448,304.774109,0.327467
1950-09-08,291.106384,305.467743,3.112461
1950-09-09,295.020874,307.441010,0.412620
1950-09-10,293.500854,307.524872,8.050916
1950-09-11,291.399506,305.906128,2.791259
1950-09-12,293.709869,307.029236,4.399464
1950-09-13,289.043762,305.071930,2.410134
1950-09-14,288.692627,303.181549,0.666908
1950-09-15,290.415710,303.074493,0.000000
1950-09-16,290.630005,305.735016,6.081050
1950-09-17,286.924591,303.236725,0.000000
1950-09-18,286.234833,302.692352,0.000000
1950-09-19,287.775482,301.989929,0.000000
1950-09-20,291.833679,301.521057,21.404270
1950-09-21,293.982208,298.690430,5.940197
1950-09-22,292.903015,301.519836,0.638957
1950-09-23,290.748444,300.540955,0.000000
1950-09-24,294.070282,301.508545,0.000000
1950-09-25,289.320343,300.986145,9.718214
1950-09-26,288.751923,300.972656,2.484870
1950-09-27,286.868378,300.489044,6.026310
1950-09-28,290.985016,297.597107,30.332188
1950-09-29,290.156494,297.746399,25.679146
1950-09-30,286.544678,299.406738,1.869992
1950-10-01,286.789825,300.751251,1.034135
1950-10-02,290.359924,300.530151,0.000000
1950-10-03,291.339325,299.756378,0.000000
1950-10-04,291.241180,300.873047,0.000000
1950-10-05,291.699646,301.655243,0.813305
1950-10-06,287.885193,298.182892,0.000000
1950-10-07,282.776154,300.579010,0.304298
1950-10-08,286.116943,301.519318,0.000000
1950-10-09,292.902924,299.647034,0.000000
1950-10-10,293.415894,301.241302,0.000000
1950-10-11,291.072937,301.330200,13.774090
1950-10-12,290.846436,298.043060,2.300936
1950-10-13,287.509308,302.871552,0.906542
1950-10-14,284.835236,299.178680,3.096025
1950-10-15,289.348877,300.094299,1.501430
1950-10-16,290.763733,300.904266,1.588406
1950-10-17,286.056763,301.817993,0.465151
1950-10-18,288.174591,298.705536,0.000000
1950-10-19,290.924927,298.509552,1.975825
1950-10-20,291.038055,300.390625,1.067898
1950-10-21,290.092590,300.020325,3.220602
1950-10-22,287.653381,295.354584,0.753081
1950-10-23,282.921509,293.376373,0.600318
1950-10-24,281.549377,294.802429,0.000000
1950-10-25,287.459717,299.333221,2.586259
1950-10-26,289.677032,293.004272,0.000000
1950-10-27,287.794861,291.866882,3.332823
1950-10-28,285.087372,295.615082,0.000000
1950-10-29,285.987732,294.533539,2.427852
1950-10-30,286.640015,295.065826,1.550095
1950-10-31,289.550079,299.451935,24.697613
1950-11-01,290.234619,298.469482,2.629688
1950-11-02,284.049530,294.074310,2.682649
1950-11-03,277.572906,287.245422,2.518735
1950-11-04,276.038818,291.524445,0.000000
1950-11-05,282.564484,298.133698,0.000000
1950-11-06,284.512329,296.819122,0.000000
1950-11-07,286.223724,292.398651,5.761026
1950-11-08,287.426270,297.805389,23.453903
1950-11-09,275.442993,286.664368,0.000000
1950-11-10,275.040894,287.664520,0.000000
1950-11-11,276.730530,291.088165,0.000000
1950-11-12,276.722961,294.031860,0.000000
1950-11-13,278.050354,292.063629,0.000000
1950-11-14,280.925690,293.325745,0.000000
1950-11-15,280.176025,294.860962,0.000000
1950-11-16,287.266693,299.356873,0.000000
1950-11-17,288.360260,300.634705,0.000000
1950-11-18,288.724487,297.755798,0.000000
1950-11-19,288.996735,301.354156,0.000000
1950-11-20,285.430573,301.468964,0.000000
1950-11-21,289.192047,295.045258,2.529074
1950-11-22,288.346741,296.458649,4.948447
1950-11-23,278.082031,289.101654,0.000000
1950-11-24,275.861359,288.897308,0.000000
1950-11-25,277.032440,283.738922,0.000000
1950-11-26,272.331482,284.350800,0.000000
1950-11-27,272.428802,290.573730,0.000000
1950-11-28,280.029846,293.849060,0.000000
1950-11-29,284.619354,292.232971,16.301592
1950-11-30,285.402679,295.114716,2.734687
1950-12-01,276.290344,289.648926,0.000000
1950-12-02,271.487579,288.276733,0.282376
1950-12-03,276.834137,294.718292,0.000000
1950-12-04,282.700836,299.760834,0.000000
1950-12-05,284.797882,300.915344,0.000000
1950-12-06,280.051361,300.651398,0.000000
1950-12-07,278.331726,299.953979,0.000000
1950-12-08,287.209290,299.226349,0.000000
1950-12-09,288.573212,298.295349,1.429549
1950-12-10,280.146027,294.622772,0.000000
1950-12-11,279.165161,291.501709,0.000000
1950-12-12,274.507294,288.655060,0.000000
1950-12-13,276.611298,294.245026,0.000000
1950-12-14,277.684357,294.967010,0.000000
1950-12-15,279.161011,290.901367,0.000000
1950-12-16,284.463806,287.715149,6.914591
1950-12-17,282.526154,290.104431,3.608792
1950-12-18,280.528412,290.664429,0.723293
1950-12-19,279.186768,291.167297,0.000000
1950-12-20,279.406128,286.748810,0.000000
1950-12-21,278.848267,283.825470,0.415274
1950-12-22,275.380676,284.792938,0.000000
1950-12-23,274.084106,288.860016,0.000000
1950-12-24,273.594879,283.500488,0.660542
1950-12-25,277.806671,285.686981,3.224407
1950-12-26,272.658203,285.504883,0.000000
1950-12-27,273.176910,286.722168,0.295410
1950-12-28,282.613281,289.448425,70.515427
1950-12-29,275.688904,288.311066,1.598751
1950-12-30,276.249084,290.820557,0.000000
1950-12-31,277.589905,292.677582,0.000000
1951-01-01,278.299316,295.935455,0.000000
1951-01-02,277.487305,293.031860,0.000000
1951-01-03,277.124512,294.759338,0.000000
1951-01-04,278.622162,294.608429,0.000000
1951-01-05,280.059235,294.461670,0.000000
1951-01-06,280.484741,296.545624,0.000000
1951-01-07,284.878601,293.686890,0.000000
1951-01-08,286.222839,294.065094,0.000000
1951-01-09,282.842529,294.541138,0.000000
1951-01-10,279.106598,297.108032,0.000000
1951-01-11,281.585541,294.585938,0.000000
1951-01-12,283.237244,291.847870,0.525914
1951-01-13,288.030762,297.453583,0.000000
1951-01-14,281.721710,294.343872,0.000000
1951-01-15,279.185822,295.689209,0.000000
1951-01-16,279.115540,297.657867,0.000000
1951-01-17,278.889740,293.096130,0.000000
1951-01-18,274.157501,292.175873,0.000000
1951-01-19,278.513550,295.506470,0.000000
1951-01-20,282.305176,296.094543,0.000000
1951-01-21,283.139771,297.802979,0.000000
1951-01-22,283.894318,299.556763,0.000000
1951-01-23,281.627686,297.246490,0.000000
1951-01-24,277.616364,295.198456,0.000000
1951-01-25,281.921234,295.880249,0.000000
1951-01-26,282.668182,293.668762,0.000000
1951-01-27,278.563019,297.516022,0.000000
1951-01-28,277.721741,299.443237,0.000000
1951-01-29,279.970123,297.340912,0.000000
1951-01-30,280.006134,292.610352,0.000000
1951-01-31,275.586945,291.231659,0.000000
1951-02-01,277.016388,290.531525,0.000000
1951-02-02,278.883484,296.485962,0.000000
1951-02-03,275.983521,297.838287,0.000000
1951-02-04,280.568146,300.722046,0.000000
1951-02-05,277.677124,302.373596,0.000000
1951-02-06,288.596405,299.935547,0.000000
1951-02-07,277.363525,290.674347,0.000000
1951-02-08,274.985229,289.835907,0.000000
1951-02-09,270.977142,295.097351,0.000000
1951-02-10,279.712189,295.880127,0.000000
1951-02-11,281.359161,291.364166,14.368129
1951-02-12,275.978638,283.902740,6.236111
1951-02-13,274.561340,282.348419,0.000000
1951-02-14,273.281128,286.335175,0.000000
1951-02-15,277.674713,288.655609,0.000000
1951-02-16,278.393951,298.489532,0.000000
1951-02-17,277.201416,299.503998,0.000000
1951-02-18,281.818939,297.445984,0.000000
1951-02-19,285.784943,296.111176,13.294326
1951-02-20,282.948761,291.467224,25.186565
1951-02-21,283.438080,290.790466,18.463306
1951-02-22,283.279419,291.677795,8.322954
1951-02-23,282.222504,294.274170,1.438976
1951-02-24,277.911346,295.443420,0.000000
1951-02-25,280.906525,296.541412,0.000000
1951-02-26,277.764252,294.209442,2.687057
1951-02-27,273.657654,279.454010,0.000000
1951-02-28,276.730469,286.181152,0.000000
1951-03-01,280.329529,287.775391,14.367348
1951-03-02,278.492676,294.306488,6.137111
1951-03-03,286.580597,296.291443,0.388904
1951-03-04,283.076385,295.934998,0.000000
1951-03-05,283.047516,292.497162,0.000000
1951-03-06,282.325226,294.692017,0.000000
1951-03-07,283.465240,293.330017,0.000000
1951-03-08,285.052795,292.768616,0.000000
1951-03-09,285.320312,295.076141,0.000000
1951-03-10,286.686462,290.680756,10.491100
1951-03-11,284.181610,289.446655,10.154862
1951-03-12,286.198730,293.597839,1.014380
1951-03-13,283.585297,297.774628,0.000000
1951-03-14,285.285645,294.574799,0.000000
1951-03-15,285.761078,292.785614,0.000000
1951-03-16,287.157990,293.681976,0.000000
1951-03-17,287.321228,293.304291,0.000000
1951-03-18,288.411285,292.073273,0.000000
1951-03-19,290.585785,295.266846,0.000000
1951-03-20,288.163544,292.924622,0.952829
1951-03-21,289.498657,299.924622,1.153775
1951-03-22,289.017151,295.903046,0.000000
1951-03-23,287.709869,296.972504,0.000000
1951-03-24,288.820465,300.298004,0.000000
1951-03-25,287.531067,300.109955,0.446152
1951-03-26,289.243469,299.702911,0.000000
1951-03-27,286.049683,298.619537,0.000000
1951-03-28,285.757446,297.996399,0.000000
1951-03-29,283.039978,297.218994,0.000000
1951-03-30,285.696289,295.926483,25.808405
1951-03-31,278.829620,290.085358,18.297651
1951-04-01,280.109772,289.410156,0.000000
1951-04-02,279.146362,290.362427,0.000000
1951-04-03,282.080048,295.644958,0.000000
1951-04-04,286.759827,296.002716,0.000000
1951-04-05,288.998383,296.700562,0.000000
1951-04-06,288.238770,296.111969,0.000000
1951-04-07,288.919189,297.376862,0.000000
1951-04-08,290.218475,302.663483,0.000000
1951-04-09,289.168243,303.596924,0.000000
1951-04-10,285.809326,301.495544,0.000000
1951-04-11,281.716705,303.990906,0.000000
1951-04-12,287.851410,302.335724,0.000000
1951-04-13,284.526764,297.434662,0.000000
1951-04-14,281.433594,300.411591,0.000000
1951-04-15,281.647949,301.016510,0.000000
1951-04-16,282.932648,300.148193,0.000000
1951-04-17,286.670532,300.367401,0.000000
1951-04-18,287.512939,302.262329,0.000000
1951-04-19,286.869354,302.384613,1.213657
1951-04-20,289.046326,299.777191,1.794496
1951-04-21,290.891846,301.260376,0.000000
1951-04-22,290.752136,302.027313,0.000000
1951-04-23,290.522003,302.755707,0.000000
1951-04-24,290.695953,304.574738,0.000000
1951-04-25,291.912689,305.497192,0.000000
1951-04-26,292.498718,304.296204,0.000000
1951-04-27,293.188843,302.509216,0.000000
1951-04-28,291.866577,298.693207,1.054244
1951-04-29,293.215027,302.261475,30.930582
1951-04-30,292.502319,302.202637,1.324529
1951-05-01,293.231873,302.627289,0.714857
1951-05-02,292.491241,302.048279,8.759477
1951-05-03,293.569214,299.347076,4.786911
1951-05-04,292.706940,299.272034,17.680408
1951-05-05,291.728760,296.011505,56.483654
1951-05-06,292.199432,296.503479,4.741659
1951-05-07,289.547211,297.066803,0.000000
1951-05-08,286.164001,297.340729,0.000000
1951-05-09,284.833618,299.628387,0.000000
1951-05-10,286.656006,303.671356,0.000000
1951-05-11,292.491699,306.357605,0.000000
1951-05-12,291.583374,307.733521,0.356345
1951-05-13,292.032959,302.585480,8.814309
1951-05-14,293.368835,303.013550,13.185040
1951-05-15,292.038940,301.639801,19.679806
1951-05-16,290.959595,299.084106,2.411378
1951-05-17,291.706177,301.014709,0.000000
1951-05-18,291.829132,300.536469,0.000000
1951-05-19,292.758759,302.406555,0.000000
1951-05-20,293.545654,308.630157,0.000000
1951-05-21,295.251038,309.377777,0.000000
1951-05-22,295.791321,309.928650,0.000000
1951-05-23,294.920563,309.406891,0.000000
1951-05-24,293.598083,306.144806,4.525687
1951-05-25,292.194000,309.900421,0.623181
1951-05-26,294.921112,307.442932,0.000000
1951-05-27,293.365814,304.549316,0.000000
1951-05-28,292.935791,305.414307,0.846851
1951-05-29,294.459625,307.228058,0.000000
1951-05-30,294.688049,306.764221,1.589355
1951-05-31,294.473694,305.121704,4.202713
1951-06-01,295.258728,299.452911,24.005690
1951-06-02,293.953735,302.407776,7.781780
1951-06-03,290.100372,302.940338,37.338963
1951-06-04,290.402649,303.482025,11.521017
1951-06-05,291.340485,301.205750,23.543278
1951-06-06,293.740356,300.547607,8.990553
1951-06-07,293.024078,301.737457,0.978857
1951-06-08,293.005096,302.971222,5.987708
1951-06-09,294.793182,303.452240,3.594944
1951-06-10,295.427094,302.643890,5.188069
1951-06-11,295.540375,305.237579,5.502598
1951-06-12,295.428467,303.309906,10.523173
1951-06-13,296.037262,307.877686,9.548405
1951-06-14,297.947998,310.824799,1.345305
1951-06-15,298.252533,310.356171,0.000000
1951-06-16,297.792480,310.035126,0.000000
1951-06-17,298.122253,308.152679,0.000000
1951-06-18,297.498718,308.801300,3.430837
1951-06-19,296.984467,309.041046,0.000000
1951-06-20,296.881897,307.601166,0.987781
1951-06-21,295.901764,306.676056,4.354275
1951-06-22,295.899200,305.007324,2.329170
1951-06-23,294.978119,304.568848,2.857582
1951-06-24,294.612000,304.623932,0.000000
1951-06-25,294.447601,304.407288,2.573556
1951-06-26,296.630188,306.231689,5.535872
1951-06-27,294.759033,302.961639,0.909855
1951-06-28,294.898804,306.199646,1.429470
1951-06-29,296.069702,305.102478,2.783703
1951-06-30,293.321472,305.881714,0.000000
1951-07-01,292.994781,306.410553,0.000000
1951-07-02,294.793304,304.048126,3.136788
1951-07-03,295.760895,305.289062,5.547354
1951-07-04,297.231964,306.050354,0.000000
1951-07-05,297.714539,307.483856,4.209000
1951-07-06,296.515015,307.709717,1.928929
1951-07-07,295.355194,307.903961,2.475451
1951-07-08,298.705505,307.033905,13.087671
1951-07-09,296.508362,302.674866,23.288927
1951-07-10,292.029175,305.386230,11.345181
1951-07-11,291.377930,302.838501,47.570213
1951-07-12,295.970673,301.800171,18.014585
1951-07-13,296.556488,304.072906,1.323334
1951-07-14,296.162537,305.493652,0.000000
1951-07-15,296.556335,304.004211,0.000000
1951-07-16,295.027466,303.692078,0.000000
1951-07-17,296.073700,306.493500,0.000000
1951-07-18,295.237549,308.266235,6.455116
1951-07-19,294.652496,310.328217,0.000000
1951-07-20,296.323212,310.060089,0.000000
1951-07-21,296.204285,310.750122,0.000000
1951-07-22,296.484528,309.296082,0.000000
1951-07-23,296.660553,309.569977,0.000000
1951-07-24,296.123077,310.935791,0.000000
1951-07-25,295.662842,311.116119,0.000000
1951-07-26,298.064148,310.715424,0.000000
1951-07-27,296.977478,311.176331,0.000000
1951-07-28,297.270691,311.619049,0.000000
1951-07-29,297.991058,312.424164,0.000000
1951-07-30,298.804138,313.299316,0.305912
1951-07-31,299.095856,311.813171,0.000000
1951-08-01,296.016632,312.563965,0.000000
1951-08-02,298.737335,311.720642,0.658753
1951-08-03,298.343353,311.615051,0.000000
1951-08-04,297.865906,308.944183,0.000000
1951-08-05,297.091278,309.059143,0.000000
1951-08-06,297.361755,307.211853,12.998199
1951-08-07,297.466034,307.392639,1.002630
1951-08-08,296.475464,308.046631,0.000000
1951-08-09,295.961334,309.514709,0.000000
1951-08-10,296.368927,310.356903,0.297945
1951-08-11,296.502319,309.118927,1.201824
1951-08-12,294.691711,309.060730,0.000000
1951-08-13,294.081512,309.516327,0.666451
1951-08-14,294.785034,310.215668,0.000000
1951-08-15,295.982666,310.316071,0.000000
1951-08-16,296.778076,310.337677,0.000000
1951-08-17,296.852173,310.563690,0.000000
