#Variables:
#tasmin_CCSM4_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CCSM4_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CCSM4_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_historical(K),tasmax_CCSM4_historical(K),pr_CCSM4_historical(mm)"
""
yyyy-mm-dd,tasmin_CCSM4_historical(K),tasmax_CCSM4_historical(K),pr_CCSM4_historical(mm)
1950-03-08,286.713531,300.511475,0.000000
1950-03-09,286.223419,298.557526,0.000000
1950-03-10,284.753906,296.587128,0.000000
1950-03-11,287.145630,297.480286,0.000000
1950-03-12,287.293762,302.577728,0.000000
1950-03-13,286.126495,304.920349,0.000000
1950-03-14,287.713715,306.660919,0.000000
1950-03-15,288.609100,305.661865,0.000000
1950-03-16,288.269165,306.368835,0.000000
1950-03-17,287.043671,304.001282,0.000000
1950-03-18,289.415070,300.770660,0.366152
1950-03-19,291.083496,300.525452,2.562571
1950-03-20,290.091858,298.295288,0.000000
1950-03-21,289.149628,297.773102,0.000000
1950-03-22,288.444946,299.485352,1.573886
1950-03-23,286.199371,296.510895,0.000000
1950-03-24,284.416382,291.686554,0.683308
1950-03-25,288.267120,297.159668,3.315313
1950-03-26,287.999207,297.187378,0.288208
1950-03-27,287.361603,300.370850,6.797272
1950-03-28,287.543427,298.746521,0.000000
1950-03-29,278.060944,290.284546,0.000000
1950-03-30,279.890961,291.662140,0.000000
1950-03-31,284.989716,295.208435,0.000000
1950-04-01,284.934998,298.943665,0.000000
1950-04-02,286.926086,302.238495,0.000000
1950-04-03,286.439636,300.875763,0.000000
1950-04-04,289.631592,297.430725,0.000000
1950-04-05,287.919708,297.705963,1.413865
1950-04-06,286.733337,295.855408,0.705920
1950-04-07,288.175201,298.632294,2.746476
1950-04-08,288.629883,295.877563,28.453199
1950-04-09,285.378052,297.037964,1.315329
1950-04-10,285.169922,295.326721,0.000000
1950-04-11,281.610840,297.304535,0.000000
1950-04-12,284.723938,302.868835,0.000000
1950-04-13,287.350464,299.942017,0.000000
1950-04-14,288.585663,301.008118,15.752505
1950-04-15,289.448975,303.336487,0.000000
1950-04-16,285.656281,298.717957,0.000000
1950-04-17,283.893799,300.763245,0.000000
1950-04-18,285.614258,302.610962,0.000000
1950-04-19,286.822021,300.369507,0.000000
1950-04-20,287.800537,300.849579,0.000000
1950-04-21,287.294830,303.637939,0.000000
1950-04-22,287.454651,305.765991,0.000000
1950-04-23,288.433685,306.911285,0.000000
1950-04-24,291.299652,304.954315,0.000000
1950-04-25,291.366760,304.400208,2.433556
1950-04-26,290.411774,307.030273,7.007710
1950-04-27,287.266479,303.958252,3.498857
1950-04-28,287.137451,299.488770,0.000000
1950-04-29,287.775757,309.503143,0.000000
1950-04-30,290.238129,310.340942,0.000000
1950-05-01,291.611206,308.424500,0.000000
1950-05-02,290.869080,305.441284,0.000000
1950-05-03,292.493683,304.576660,6.835054
1950-05-04,293.235901,303.895905,0.000000
1950-05-05,291.681793,301.237030,0.000000
1950-05-06,291.737640,301.006287,4.591899
1950-05-07,293.978363,303.448029,0.000000
1950-05-08,293.062836,303.678772,0.000000
1950-05-09,292.545654,301.305298,0.000000
1950-05-10,291.662750,301.382324,0.000000
1950-05-11,292.814819,304.131134,0.000000
1950-05-12,291.952759,304.591309,0.000000
1950-05-13,291.951477,303.164795,0.000000
1950-05-14,290.743347,306.556427,0.000000
1950-05-15,292.863098,306.751831,0.000000
1950-05-16,294.161011,304.347473,1.638422
1950-05-17,293.196899,305.174469,0.000000
1950-05-18,293.622528,306.863525,0.000000
1950-05-19,294.710876,307.967529,0.805410
1950-05-20,292.808472,306.820221,0.000000
1950-05-21,291.092621,306.273712,0.000000
1950-05-22,292.850433,308.331482,0.000000
1950-05-23,295.400665,307.118958,0.000000
1950-05-24,294.947723,306.908997,9.857846
1950-05-25,295.898895,306.704651,0.298803
1950-05-26,295.600311,307.245117,0.000000
1950-05-27,295.784332,308.701080,0.000000
1950-05-28,297.051849,307.941101,1.365667
1950-05-29,295.732941,306.199585,4.472562
1950-05-30,295.625641,304.368225,12.293873
1950-05-31,294.276703,305.946777,0.000000
1950-06-01,294.041534,304.699921,0.000000
1950-06-02,294.341644,304.730042,0.000000
1950-06-03,294.013062,303.879456,3.512775
1950-06-04,293.035767,301.192688,0.956228
1950-06-05,293.609985,303.618988,2.032491
1950-06-06,295.402496,303.309906,3.910230
1950-06-07,295.728027,305.967865,0.000000
1950-06-08,296.300354,307.404694,0.000000
1950-06-09,296.336273,309.219604,0.000000
1950-06-10,298.207855,310.404968,0.000000
1950-06-11,297.228943,310.576691,0.000000
1950-06-12,297.062073,310.196716,0.000000
1950-06-13,297.110870,309.040436,0.000000
1950-06-14,297.303741,308.907074,0.000000
1950-06-15,297.194275,307.404877,1.011627
1950-06-16,298.009918,307.509827,0.000000
1950-06-17,297.662872,308.503662,0.000000
1950-06-18,296.816101,308.640320,0.000000
1950-06-19,295.774506,307.588776,0.000000
1950-06-20,297.543030,307.304077,0.000000
1950-06-21,298.753967,306.878174,1.496921
1950-06-22,297.829865,307.124390,4.135298
1950-06-23,297.946228,309.857025,0.000000
1950-06-24,298.602631,309.367371,5.136941
1950-06-25,298.968140,308.330994,2.026530
1950-06-26,299.281311,310.595703,0.000000
1950-06-27,299.469116,310.794434,0.000000
1950-06-28,298.702850,311.297211,0.000000
1950-06-29,297.757568,310.997986,0.000000
1950-06-30,296.631317,309.789001,0.000000
1950-07-01,296.460022,310.160919,0.000000
1950-07-02,296.029327,308.448456,0.000000
1950-07-03,296.717255,307.037170,1.722849
1950-07-04,296.921143,309.165375,1.066662
1950-07-05,296.700409,310.495880,0.000000
1950-07-06,296.033051,308.665253,0.832530
1950-07-07,296.319000,307.973206,1.386987
1950-07-08,297.854462,309.923370,0.000000
1950-07-09,296.264130,311.262787,0.000000
1950-07-10,295.209839,311.301300,0.000000
1950-07-11,298.637634,311.278717,0.000000
1950-07-12,299.274048,310.992065,0.000000
1950-07-13,297.559418,311.919647,0.000000
1950-07-14,299.712402,312.052612,0.000000
1950-07-15,298.541321,311.129395,0.000000
1950-07-16,297.476654,310.307373,0.000000
1950-07-17,298.698975,310.353180,0.000000
1950-07-18,298.445099,309.944733,0.000000
1950-07-19,298.438293,310.963928,0.000000
1950-07-20,297.830719,311.634003,0.000000
1950-07-21,299.121735,310.203674,0.000000
1950-07-22,297.509247,310.192413,0.000000
1950-07-23,298.339844,310.742737,0.820673
1950-07-24,298.979248,311.761353,0.000000
1950-07-25,296.948395,309.795410,0.000000
1950-07-26,296.693146,309.099762,0.000000
1950-07-27,296.920380,309.933014,0.000000
1950-07-28,297.450470,309.750336,0.000000
1950-07-29,296.087433,309.711182,0.000000
1950-07-30,296.188690,311.033295,0.738625
1950-07-31,298.121979,311.855042,0.000000
1950-08-01,298.128418,312.066071,0.000000
1950-08-02,298.187622,311.940521,0.000000
1950-08-03,297.390625,310.975067,0.000000
1950-08-04,296.746246,309.711700,0.000000
1950-08-05,296.432648,309.890259,0.000000
1950-08-06,297.296021,310.292084,0.000000
1950-08-07,298.046722,310.043213,0.000000
1950-08-08,298.545532,310.914856,0.739583
1950-08-09,299.093445,310.707794,0.279888
1950-08-10,298.622375,309.804840,0.000000
1950-08-11,298.466125,308.990173,0.000000
1950-08-12,298.106750,309.111694,0.284668
1950-08-13,297.849945,310.343384,0.000000
1950-08-14,297.569153,310.552368,0.000000
1950-08-15,297.605713,311.209961,0.000000
1950-08-16,298.205933,312.081635,0.000000
1950-08-17,299.840973,311.854401,0.000000
1950-08-18,299.218536,309.331299,10.423745
1950-08-19,297.506958,306.641632,18.913319
1950-08-20,297.278564,305.953094,10.752125
1950-08-21,296.893188,304.610657,5.755125
1950-08-22,295.986389,303.248596,1.280487
1950-08-23,296.053284,305.138275,0.000000
1950-08-24,296.563538,304.988647,1.886066
1950-08-25,297.101044,302.709778,3.924714
1950-08-26,295.489502,305.855743,0.000000
1950-08-27,295.632141,307.333130,0.000000
1950-08-28,295.413971,308.308746,0.000000
1950-08-29,295.687744,308.715240,0.000000
1950-08-30,296.728180,308.859894,0.000000
1950-08-31,297.765320,307.914764,0.000000
1950-09-01,298.996490,306.712341,0.420494
1950-09-02,298.540161,306.633850,0.000000
1950-09-03,297.651306,306.789307,0.000000
1950-09-04,297.281158,307.852448,0.000000
1950-09-05,297.707825,310.014557,0.000000
1950-09-06,297.569702,310.951111,0.000000
1950-09-07,297.931274,310.045868,9.076675
1950-09-08,296.858856,308.017242,31.524574
1950-09-09,296.148773,304.323486,8.050916
1950-09-10,293.358307,299.732025,31.616798
1950-09-11,288.944733,296.286285,29.501158
1950-09-12,294.235687,300.462677,0.766829
1950-09-13,294.848938,302.405243,2.484870
1950-09-14,294.983521,303.356171,0.000000
1950-09-15,294.416565,305.759003,0.000000
1950-09-16,292.320435,306.041840,0.000000
1950-09-17,291.387787,305.994293,0.000000
1950-09-18,291.985657,305.098572,0.000000
1950-09-19,292.995819,305.666595,0.000000
1950-09-20,293.968628,308.478180,0.506684
1950-09-21,295.082275,309.091827,0.000000
1950-09-22,293.967163,306.844574,2.804266
1950-09-23,294.542328,303.011932,4.751353
1950-09-24,294.695068,305.571136,0.000000
1950-09-25,294.184174,306.905853,0.000000
1950-09-26,287.044769,304.051025,4.804823
1950-09-27,283.338776,291.035126,0.000000
1950-09-28,284.027893,300.249298,0.000000
1950-09-29,286.260559,302.948425,0.000000
1950-09-30,287.716309,305.638702,0.000000
1950-10-01,287.911469,304.854309,1.091577
1950-10-02,287.215027,301.735382,0.000000
1950-10-03,286.747223,302.814392,0.892536
1950-10-04,290.557892,300.535828,0.000000
1950-10-05,291.940399,298.217560,0.000000
1950-10-06,290.570648,297.764557,4.793557
1950-10-07,290.536835,298.584564,74.590553
1950-10-08,281.827972,290.472473,8.626395
1950-10-09,286.458954,297.935730,27.426611
1950-10-10,290.939667,298.574921,25.878611
1950-10-11,292.186523,298.635803,6.507637
1950-10-12,290.176880,298.955200,0.373347
1950-10-13,292.318054,301.585693,0.000000
1950-10-14,292.305756,301.519714,0.000000
1950-10-15,292.741760,301.999847,8.219447
1950-10-16,287.865540,293.510742,36.776012
1950-10-17,289.346008,295.694061,0.530196
1950-10-18,282.578308,295.302032,0.000000
1950-10-19,282.209991,296.609039,0.000000
1950-10-20,282.547516,297.901672,0.000000
1950-10-21,290.114502,300.063354,0.000000
1950-10-22,291.373688,301.069641,0.795107
1950-10-23,290.535950,299.573395,0.000000
1950-10-24,290.071869,298.860321,0.000000
1950-10-25,290.825775,299.473541,0.000000
1950-10-26,290.330841,298.033020,0.000000
1950-10-27,290.713989,296.037140,0.000000
1950-10-28,286.557404,298.117279,0.000000
1950-10-29,289.823914,301.550507,0.000000
1950-10-30,290.160583,301.570190,2.164831
1950-10-31,291.047821,301.531494,23.453903
1950-11-01,285.376251,297.574280,16.222490
1950-11-02,284.523865,291.728210,0.000000
1950-11-03,280.644531,290.410248,0.000000
1950-11-04,280.776550,287.404877,0.000000
1950-11-05,281.686371,284.984772,0.000000
1950-11-06,282.552216,286.826019,1.125891
1950-11-07,282.215546,286.031494,5.809014
1950-11-08,282.325836,290.643555,0.000000
1950-11-09,280.915619,292.931427,0.000000
1950-11-10,280.942902,294.398651,0.000000
1950-11-11,280.823303,294.304199,0.768349
1950-11-12,282.663940,296.920166,0.000000
1950-11-13,286.916595,298.114166,0.579236
1950-11-14,286.957428,298.436249,0.000000
1950-11-15,280.622498,293.056702,0.000000
1950-11-16,284.089081,289.109314,0.000000
1950-11-17,284.979370,296.360626,0.745782
1950-11-18,286.601288,295.720490,5.988417
1950-11-19,279.449310,292.038177,0.000000
1950-11-20,277.591949,290.237579,0.000000
1950-11-21,276.377625,286.247986,0.000000
1950-11-22,276.615143,290.190369,2.287891
1950-11-23,277.171997,291.650116,0.000000
1950-11-24,278.619354,295.137451,0.000000
1950-11-25,282.961792,294.111542,1.169156
1950-11-26,284.128815,292.826447,0.000000
1950-11-27,282.577515,295.704987,0.562223
1950-11-28,283.354858,298.779327,0.000000
1950-11-29,284.544250,297.551331,0.000000
1950-11-30,281.473877,297.777191,0.000000
1950-12-01,283.001556,300.015472,0.000000
1950-12-02,283.185486,300.307343,0.000000
1950-12-03,282.950165,300.040375,0.000000
1950-12-04,282.994598,297.618286,0.000000
1950-12-05,283.863861,297.405975,0.000000
1950-12-06,283.917908,298.166107,0.000000
1950-12-07,284.080231,299.620056,0.000000
1950-12-08,284.257751,300.346832,0.000000
1950-12-09,283.758942,296.929443,0.000000
1950-12-10,280.393829,290.999359,0.000000
1950-12-11,277.319672,291.755829,0.000000
1950-12-12,281.907257,295.021545,0.000000
1950-12-13,281.482758,289.693176,0.295410
1950-12-14,276.089661,285.689972,0.000000
1950-12-15,274.260559,287.710968,0.000000
1950-12-16,275.828949,294.532227,0.000000
1950-12-17,278.359161,296.225067,0.000000
1950-12-18,282.692047,290.408203,0.000000
1950-12-19,276.635742,294.722015,0.000000
1950-12-20,277.293121,293.815125,0.000000
1950-12-21,282.486115,295.911194,0.000000
1950-12-22,286.410095,299.655365,0.000000
1950-12-23,285.070892,293.500671,8.671028
1950-12-24,283.172211,295.027985,12.888721
1950-12-25,282.182739,291.763855,13.248768
1950-12-26,278.473572,289.458984,0.413975
1950-12-27,277.166656,289.700989,0.000000
1950-12-28,280.710297,291.492950,0.000000
1950-12-29,285.572174,298.165894,0.301425
1950-12-30,288.612823,298.111603,4.805901
1950-12-31,279.595917,294.028442,4.996433
1951-01-01,274.338226,284.667175,0.000000
1951-01-02,274.472290,284.610321,0.000000
1951-01-03,276.875793,287.237030,0.000000
1951-01-04,275.203339,287.721100,0.000000
1951-01-05,274.612122,292.282318,0.000000
1951-01-06,276.496368,292.862793,0.000000
1951-01-07,281.967896,293.006653,0.000000
1951-01-08,286.502258,299.323517,8.714236
1951-01-09,288.597778,297.655029,2.635728
1951-01-10,287.319397,296.660706,7.879448
1951-01-11,285.734131,296.212616,1.496531
1951-01-12,280.203156,290.306396,0.507785
1951-01-13,285.032867,300.086182,4.696473
1951-01-14,278.356262,291.147644,2.671154
1951-01-15,275.876617,284.770355,42.606743
1951-01-16,277.996490,282.473663,1.561805
1951-01-17,278.325439,287.070160,0.722472
1951-01-18,278.029510,290.088013,0.000000
1951-01-19,279.075470,292.866058,0.000000
1951-01-20,276.552551,292.924164,0.000000
1951-01-21,278.560669,295.967102,0.000000
1951-01-22,278.044617,289.151398,0.000000
1951-01-23,275.201416,286.260834,0.000000
1951-01-24,281.085510,292.787384,0.000000
1951-01-25,280.996857,292.101135,0.000000
1951-01-26,276.276550,291.305634,0.000000
1951-01-27,278.486359,289.460205,0.000000
1951-01-28,274.358887,285.300415,0.000000
1951-01-29,273.498291,291.972015,0.000000
1951-01-30,277.881012,295.134369,0.000000
1951-01-31,278.322144,289.486053,0.000000
1951-02-01,276.027771,285.175171,0.000000
1951-02-02,274.484772,290.229614,0.000000
1951-02-03,278.030609,292.387878,0.000000
1951-02-04,281.052490,294.953186,0.000000
1951-02-05,283.617493,292.275146,0.669606
1951-02-06,281.554474,290.060547,9.546247
1951-02-07,278.169708,289.292633,0.000000
1951-02-08,276.185974,289.727600,0.000000
1951-02-09,275.886902,291.336426,0.000000
1951-02-10,278.246643,293.518280,0.000000
1951-02-11,279.635620,298.093689,0.000000
1951-02-12,280.943451,297.733490,0.000000
1951-02-13,281.819916,299.110199,0.000000
1951-02-14,284.470215,297.347809,1.403492
1951-02-15,279.705933,295.456970,0.899032
1951-02-16,275.252655,289.790161,0.000000
1951-02-17,278.523102,295.615601,0.000000
1951-02-18,284.370392,298.961487,0.000000
1951-02-19,279.575958,293.477173,0.000000
1951-02-20,279.493408,302.157867,0.000000
1951-02-21,282.932953,295.295227,0.000000
1951-02-22,278.402222,290.509796,0.000000
1951-02-23,277.163971,292.406250,0.000000
1951-02-24,280.506622,294.954315,0.000000
1951-02-25,281.719513,297.160065,0.000000
1951-02-26,280.695740,292.622528,0.000000
1951-02-27,280.208405,289.607483,0.000000
1951-02-28,283.817871,292.068085,4.173569
1951-03-01,283.463043,306.421600,0.000000
1951-03-02,286.863708,305.093140,0.000000
1951-03-03,288.410706,302.701172,0.000000
1951-03-04,286.361481,303.553375,0.000000
1951-03-05,287.718018,301.451172,0.000000
1951-03-06,286.357544,304.046265,0.000000
1951-03-07,288.053772,300.609039,0.000000
1951-03-08,280.702362,296.802429,0.000000
1951-03-09,283.534729,296.485168,0.000000
1951-03-10,288.239471,303.568909,0.000000
1951-03-11,284.931427,300.295441,0.000000
1951-03-12,284.681915,304.397369,0.000000
1951-03-13,283.404602,299.397308,0.000000
1951-03-14,280.330902,298.371216,0.000000
1951-03-15,283.694519,301.990295,0.000000
1951-03-16,285.849243,301.751740,0.000000
1951-03-17,288.364380,299.794617,0.000000
1951-03-18,287.843414,296.635437,0.000000
1951-03-19,287.533539,296.644989,0.993159
1951-03-20,288.058563,298.041565,0.000000
1951-03-21,288.660400,294.729614,0.000000
1951-03-22,289.271851,298.227203,3.347762
1951-03-23,290.235199,299.043213,3.614446
1951-03-24,291.797455,299.357788,3.404006
1951-03-25,288.457031,298.665192,4.933187
1951-03-26,278.491638,293.077484,0.000000
1951-03-27,283.022980,296.630798,0.000000
1951-03-28,285.483154,299.117432,0.341139
1951-03-29,286.800568,301.715240,0.000000
1951-03-30,287.294250,303.021942,0.000000
1951-03-31,289.238312,299.774109,0.000000
1951-04-01,290.338654,300.929718,0.314557
1951-04-02,289.247925,300.682343,0.498863
1951-04-03,289.672760,300.161560,0.316301
1951-04-04,289.330444,300.803375,0.000000
1951-04-05,288.507843,302.090729,0.000000
1951-04-06,289.944427,301.849609,4.144392
1951-04-07,290.666351,301.474426,0.000000
1951-04-08,291.209930,302.672211,0.000000
1951-04-09,289.733887,303.088715,0.000000
1951-04-10,290.070465,304.571045,0.000000
1951-04-11,290.768494,306.769745,0.000000
1951-04-12,291.544403,306.138306,0.000000
1951-04-13,292.122192,304.297333,1.052624
1951-04-14,292.374298,303.774139,0.000000
1951-04-15,290.632446,305.420898,0.000000
1951-04-16,288.736542,304.455841,0.000000
1951-04-17,289.932281,305.982880,0.000000
1951-04-18,290.240387,304.468475,0.000000
1951-04-19,293.993317,301.353821,0.610581
1951-04-20,293.324127,303.635254,0.000000
1951-04-21,292.812653,302.592072,0.000000
1951-04-22,291.514526,303.492371,4.716115
1951-04-23,288.693878,303.709747,0.000000
1951-04-24,286.445465,304.648102,0.000000
1951-04-25,289.409668,304.297119,0.000000
1951-04-26,289.458527,305.478333,0.000000
1951-04-27,289.240204,306.953949,0.000000
1951-04-28,290.298767,308.735229,0.333019
1951-04-29,290.239410,309.890717,0.000000
1951-04-30,290.827332,308.860809,0.000000
1951-05-01,290.053711,307.686310,0.000000
1951-05-02,291.947968,308.254486,0.350338
1951-05-03,292.505341,306.953644,0.000000
1951-05-04,291.368835,307.828644,0.000000
1951-05-05,290.901276,307.872375,0.000000
1951-05-06,291.610352,309.663635,0.000000
1951-05-07,292.834564,310.628296,0.000000
1951-05-08,293.025543,310.431122,0.000000
1951-05-09,293.247040,308.906494,0.000000
1951-05-10,293.689178,308.106049,0.000000
1951-05-11,293.742371,309.497253,0.000000
1951-05-12,294.906403,308.865784,0.000000
1951-05-13,293.149475,307.618073,0.000000
1951-05-14,290.457977,307.435028,0.000000
1951-05-15,290.699982,310.593048,0.000000
1951-05-16,294.219086,309.882355,0.000000
1951-05-17,294.017456,310.637726,0.000000
1951-05-18,295.009857,309.539032,0.000000
1951-05-19,295.565460,307.997101,0.000000
1951-05-20,291.754883,306.989441,0.000000
1951-05-21,289.346985,307.437378,0.000000
1951-05-22,293.200562,305.751099,0.000000
1951-05-23,294.931824,305.956665,1.461216
1951-05-24,292.510162,308.802094,2.884057
1951-05-25,295.168915,309.639313,0.000000
1951-05-26,295.694519,309.821472,0.000000
1951-05-27,296.178833,310.673828,0.434380
1951-05-28,297.403229,311.972809,0.000000
1951-05-29,297.802460,311.115234,3.474503
1951-05-30,297.093109,312.247589,0.000000
1951-05-31,298.797180,313.881744,2.551250
1951-06-01,295.823395,312.389587,0.000000
1951-06-02,296.178741,310.688995,1.385029
1951-06-03,296.810303,309.974365,2.599968
1951-06-04,296.666138,308.641907,3.089888
1951-06-05,296.285919,307.900208,1.311371
1951-06-06,295.632355,308.905670,0.000000
1951-06-07,296.555969,307.984741,0.000000
1951-06-08,297.114288,307.436615,0.000000
1951-06-09,296.723694,307.591675,4.430603
1951-06-10,295.401886,306.362793,10.516361
1951-06-11,296.086548,307.238800,10.170918
1951-06-12,296.826385,309.436462,7.433370
1951-06-13,296.496429,309.343018,5.718104
1951-06-14,294.484802,308.167389,10.521525
1951-06-15,293.739471,306.752106,1.912301
1951-06-16,295.049408,307.677307,3.090491
1951-06-17,295.673889,305.222534,5.895094
1951-06-18,295.299225,303.863434,17.291283
1951-06-19,295.777649,306.127747,0.795029
1951-06-20,296.574799,307.250183,1.530837
1951-06-21,296.836823,309.084625,1.590379
1951-06-22,298.364380,308.856537,2.438899
1951-06-23,299.094391,309.402832,0.000000
1951-06-24,298.636597,308.749023,0.885913
1951-06-25,299.900238,308.020996,0.449289
1951-06-26,300.103119,311.379852,0.487048
1951-06-27,300.304596,312.296417,0.987781
1951-06-28,300.390656,312.159271,0.491460
1951-06-29,299.070282,311.305084,0.000000
1951-06-30,297.783600,309.071930,0.827129
1951-07-01,297.513489,309.903107,0.633459
1951-07-02,297.231964,309.518951,1.619308
1951-07-03,296.486786,307.787445,0.000000
1951-07-04,296.373596,308.039185,0.326436
1951-07-05,296.628326,307.543274,2.880942
1951-07-06,296.932556,307.521393,0.335747
1951-07-07,296.621094,306.200012,0.000000
1951-07-08,296.603851,308.625824,0.000000
1951-07-09,296.203705,309.943909,1.050756
1951-07-10,296.463959,306.405670,5.805288
1951-07-11,297.621399,309.649933,1.679690
1951-07-12,298.197479,308.330811,5.547354
1951-07-13,298.114594,309.459930,2.974707
1951-07-14,297.866394,307.677704,3.753798
1951-07-15,297.388153,307.710175,0.544869
1951-07-16,297.110809,310.154480,0.000000
1951-07-17,296.692719,311.279022,0.000000
1951-07-18,297.290466,311.336273,0.000000
1951-07-19,297.332855,311.176880,0.000000
1951-07-20,297.400635,310.291626,0.000000
1951-07-21,296.814941,308.724274,0.000000
1951-07-22,297.955505,310.393494,0.000000
1951-07-23,296.699890,310.962219,0.000000
1951-07-24,296.495422,310.885590,0.000000
1951-07-25,296.497406,310.027405,0.000000
1951-07-26,298.074249,308.881653,3.334310
1951-07-27,297.781281,309.022430,1.227568
1951-07-28,297.278778,308.087311,1.890208
1951-07-29,297.038361,307.964722,0.000000
1951-07-30,296.631714,308.552094,0.000000
1951-07-31,297.712585,311.585266,0.000000
1951-08-01,297.323700,312.127594,0.000000
1951-08-02,298.353516,313.001404,0.000000
1951-08-03,296.084137,311.815247,0.000000
1951-08-04,295.752502,311.479248,0.823196
1951-08-05,296.308777,310.468903,0.292103
1951-08-06,297.735352,311.215942,0.000000
1951-08-07,296.863312,310.574402,0.000000
1951-08-08,296.790253,309.249878,0.000000
1951-08-09,296.175354,310.335754,0.000000
1951-08-10,296.372162,311.709686,2.524687
1951-08-11,298.931396,311.892609,0.307130
1951-08-12,298.920715,311.092590,0.688510
1951-08-13,298.109436,308.939148,1.192789
1951-08-14,297.774384,309.017303,1.979713
1951-08-15,298.394562,309.962616,0.000000
1951-08-16,298.604767,310.913605,0.000000
1951-08-17,296.176544,310.776001,0.000000
