#Variables:
#tasmin_IPSL-CM5A-LR_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-LR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-LR_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-LR_rcp45(K),tasmax_IPSL-CM5A-LR_rcp45(K),pr_IPSL-CM5A-LR_rcp45(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-LR_rcp45(K),tasmax_IPSL-CM5A-LR_rcp45(K),pr_IPSL-CM5A-LR_rcp45(mm)
2006-03-29,290.363556,302.034119,0.000000
2006-03-30,291.463440,304.476471,0.000000
2006-03-31,291.262726,306.794952,0.000000
2006-04-01,291.082642,305.036285,0.000000
2006-04-02,289.343872,300.475281,0.000000
2006-04-03,291.548065,302.855286,0.000000
2006-04-04,290.924622,300.508118,0.000000
2006-04-05,289.326538,301.287506,0.000000
2006-04-06,291.356110,305.451080,0.000000
2006-04-07,293.632294,305.665497,0.000000
2006-04-08,293.079987,305.549652,0.000000
2006-04-09,293.367981,305.984344,0.000000
2006-04-10,294.472992,306.412689,0.000000
2006-04-11,294.265869,302.610077,0.000000
2006-04-12,289.135895,299.639191,0.000000
2006-04-13,292.251556,303.586395,8.321947
2006-04-14,292.277313,304.267181,7.877815
2006-04-15,293.394501,301.614197,14.689077
2006-04-16,287.334442,298.602386,0.000000
2006-04-17,286.816681,303.692566,0.000000
2006-04-18,289.097046,307.160522,0.000000
2006-04-19,292.715302,306.835602,0.000000
2006-04-20,293.164398,303.593567,0.000000
2006-04-21,282.087646,292.457062,0.000000
2006-04-22,282.110046,292.279266,0.000000
2006-04-23,283.578156,299.704956,0.000000
2006-04-24,286.499725,302.398529,0.000000
2006-04-25,289.491302,300.984680,0.000000
2006-04-26,289.394623,302.212280,0.000000
2006-04-27,288.850006,300.558014,0.000000
2006-04-28,287.312378,298.681427,0.000000
2006-04-29,289.481323,304.439087,0.000000
2006-04-30,292.083435,306.034546,0.000000
2006-05-01,292.240540,304.487854,0.000000
2006-05-02,292.273010,304.143158,0.000000
2006-05-03,293.281952,302.485260,0.000000
2006-05-04,291.600494,303.175568,0.000000
2006-05-05,293.477295,303.486725,0.302838
2006-05-06,295.067841,303.798950,4.291662
2006-05-07,293.251617,306.053345,0.300834
2006-05-08,294.688538,306.609497,0.000000
2006-05-09,295.948181,304.911133,0.280904
2006-05-10,294.578278,307.340363,0.310173
2006-05-11,295.475128,308.495392,3.913878
2006-05-12,294.703918,307.714355,0.000000
2006-05-13,295.721893,309.204773,0.000000
2006-05-14,296.195007,310.016998,0.302780
2006-05-15,296.395538,308.355560,0.000000
2006-05-16,295.988190,305.552826,4.948973
2006-05-17,295.334961,305.757568,3.481017
2006-05-18,295.667938,307.021545,0.000000
2006-05-19,296.508392,307.770874,0.000000
2006-05-20,296.708008,304.775269,0.000000
2006-05-21,296.139954,302.091370,13.231817
2006-05-22,295.987915,304.810242,22.014938
2006-05-23,294.950317,301.874146,7.099749
2006-05-24,294.403046,304.896271,5.113082
2006-05-25,295.038971,305.627777,16.821089
2006-05-26,294.344299,302.220032,13.946917
2006-05-27,294.003662,301.672974,4.523049
2006-05-28,294.461060,304.779388,2.919779
2006-05-29,295.874451,308.562836,1.156508
2006-05-30,296.375549,309.793427,0.000000
2006-05-31,296.871155,309.022308,0.410208
2006-06-01,297.532318,306.050354,3.964595
2006-06-02,296.051819,300.344116,4.340861
2006-06-03,293.574188,304.548004,1.066597
2006-06-04,295.173096,308.059631,0.000000
2006-06-05,295.972443,309.109833,0.000000
2006-06-06,296.374939,309.153412,0.000000
2006-06-07,296.314667,309.085358,0.000000
2006-06-08,296.084900,307.937866,0.000000
2006-06-09,295.589172,305.384613,1.549879
2006-06-10,295.188782,302.990601,2.191203
2006-06-11,294.443085,303.726807,0.000000
2006-06-12,294.868347,302.938721,5.878500
2006-06-13,295.993103,300.571045,25.580124
2006-06-14,295.292694,303.275299,45.550449
2006-06-15,296.493347,304.460846,33.093010
2006-06-16,294.912476,307.304657,10.424917
2006-06-17,296.192963,304.716949,5.848731
2006-06-18,295.451569,304.799561,0.000000
2006-06-19,294.979858,305.430176,0.000000
2006-06-20,295.712280,305.761627,0.000000
2006-06-21,294.638275,304.811279,0.000000
2006-06-22,295.395325,305.345581,0.000000
2006-06-23,295.338440,307.198029,0.000000
2006-06-24,295.781250,306.281036,0.000000
2006-06-25,296.539459,303.967468,3.740377
2006-06-26,295.830475,305.564117,3.893679
2006-06-27,295.841949,307.728790,0.000000
2006-06-28,296.093964,306.848083,3.082024
2006-06-29,296.714752,305.365906,4.035350
2006-06-30,297.381256,306.046356,8.096129
2006-07-01,296.203278,303.820892,0.000000
2006-07-02,294.200073,307.904724,0.000000
2006-07-03,296.083313,309.778900,0.000000
2006-07-04,297.264435,311.053009,0.000000
2006-07-05,297.686768,310.283295,0.000000
2006-07-06,298.393616,309.914551,0.000000
2006-07-07,297.275635,309.968689,0.000000
2006-07-08,297.942108,309.110443,0.548842
2006-07-09,297.401154,308.879944,0.000000
2006-07-10,297.314362,310.041290,0.000000
2006-07-11,297.277466,311.066742,0.000000
2006-07-12,297.649811,311.375427,0.817585
2006-07-13,298.467896,310.274963,0.000000
2006-07-14,297.786011,309.651917,0.000000
2006-07-15,298.711121,309.207520,1.005527
2006-07-16,297.683441,308.672455,0.951344
2006-07-17,297.090546,308.798096,0.000000
2006-07-18,296.432098,309.404846,0.000000
2006-07-19,295.315063,310.054169,0.000000
2006-07-20,294.312561,310.777985,0.000000
2006-07-21,295.479279,311.498199,0.000000
2006-07-22,296.554596,311.352997,0.000000
2006-07-23,297.221710,310.410156,0.000000
2006-07-24,298.581787,310.213257,0.000000
2006-07-25,298.831909,310.639130,0.000000
2006-07-26,298.501740,310.410980,0.000000
2006-07-27,297.791565,310.215759,0.000000
2006-07-28,297.044922,311.907684,0.000000
2006-07-29,297.210968,312.572906,0.000000
2006-07-30,297.170105,312.450531,0.000000
2006-07-31,296.933990,312.075562,0.000000
2006-08-01,297.278046,311.550476,0.000000
2006-08-02,298.043365,310.803009,0.000000
2006-08-03,298.405365,309.178864,0.505917
2006-08-04,298.370453,309.855286,0.458780
2006-08-05,297.531464,310.906311,0.000000
2006-08-06,295.783630,312.134918,0.000000
2006-08-07,296.426056,310.866669,0.000000
2006-08-08,297.574066,308.951538,0.295126
2006-08-09,296.986969,306.226624,0.000000
2006-08-10,296.364532,305.927521,0.280390
2006-08-11,295.832825,307.203705,0.000000
2006-08-12,295.803711,308.471863,0.000000
2006-08-13,296.783112,307.818695,0.000000
2006-08-14,297.066742,307.369110,2.956227
2006-08-15,296.615417,305.718048,9.123098
2006-08-16,295.174896,304.594025,3.661335
2006-08-17,294.082275,305.079346,0.351008
2006-08-18,294.281555,305.296997,3.187790
2006-08-19,295.179443,305.230225,0.000000
2006-08-20,295.825562,308.111267,0.000000
2006-08-21,295.718872,308.034821,1.130518
2006-08-22,295.834961,308.100983,0.000000
2006-08-23,295.059570,308.860016,0.000000
2006-08-24,295.174347,308.099365,0.000000
2006-08-25,295.851440,305.759735,2.827222
2006-08-26,295.909698,305.796478,0.767521
2006-08-27,296.179779,305.163452,3.324185
2006-08-28,296.266144,305.235962,1.808754
2006-08-29,294.908051,303.878265,2.839623
2006-08-30,292.875092,304.100403,3.824822
2006-08-31,292.767395,306.203094,0.000000
2006-09-01,293.609314,307.328705,0.000000
2006-09-02,295.489929,308.311127,0.000000
2006-09-03,295.759735,308.411224,0.588613
2006-09-04,295.628693,306.676025,4.166061
2006-09-05,294.842438,305.971924,0.000000
2006-09-06,292.907379,303.761475,0.000000
2006-09-07,292.541321,305.409302,1.161849
2006-09-08,292.696136,305.488800,0.000000
2006-09-09,294.399689,306.275970,2.909909
2006-09-10,294.651398,304.201691,8.892670
2006-09-11,292.960327,302.676727,0.000000
2006-09-12,292.619812,304.804901,1.462961
2006-09-13,290.983124,306.623993,0.000000
2006-09-14,292.733185,305.932678,0.000000
2006-09-15,294.753448,306.805176,7.463642
2006-09-16,295.507141,303.399506,21.531588
2006-09-17,293.002441,303.901825,3.892818
2006-09-18,290.612823,304.455536,0.000000
2006-09-19,289.567566,305.531464,0.000000
2006-09-20,288.107910,305.533112,0.306702
2006-09-21,289.296234,304.496979,0.000000
2006-09-22,292.506866,303.457275,0.000000
2006-09-23,291.897858,302.892731,0.000000
2006-09-24,288.973694,301.843933,2.632384
2006-09-25,289.877014,303.971954,0.960863
2006-09-26,293.207581,305.406830,0.610977
2006-09-27,291.236969,307.717316,0.000000
2006-09-28,294.385162,309.742920,0.000000
2006-09-29,296.124512,308.228424,0.417905
2006-09-30,287.217957,303.311737,0.000000
2006-10-01,283.185059,296.650116,0.000000
2006-10-02,286.495209,299.859833,0.000000
2006-10-03,287.229675,301.353058,0.000000
2006-10-04,288.357788,301.245880,0.000000
2006-10-05,291.464478,303.383698,3.434330
2006-10-06,289.809357,300.791840,1.534994
2006-10-07,285.315887,294.149445,0.000000
2006-10-08,286.149139,299.703552,0.000000
2006-10-09,289.264374,304.487579,0.000000
2006-10-10,288.248779,301.840088,0.000000
2006-10-11,287.686523,302.147461,0.000000
2006-10-12,288.976532,304.559753,0.000000
2006-10-13,292.075867,305.997925,0.000000
2006-10-14,295.176819,305.968140,0.000000
2006-10-15,292.704163,307.329071,0.000000
2006-10-16,292.560150,304.099915,0.816707
2006-10-17,293.398224,301.954498,3.840030
2006-10-18,292.921326,301.296844,8.611593
2006-10-19,283.267517,297.123871,6.227696
2006-10-20,282.253113,297.059479,0.603523
2006-10-21,283.266998,298.665985,0.000000
2006-10-22,284.312500,298.484894,0.000000
2006-10-23,284.976135,300.405273,0.000000
2006-10-24,288.529053,300.773834,0.000000
2006-10-25,288.064087,301.261078,0.000000
2006-10-26,288.037903,301.307129,0.000000
2006-10-27,286.395386,300.157806,0.000000
2006-10-28,286.647125,301.045349,0.000000
2006-10-29,287.245728,301.919861,0.000000
2006-10-30,285.034790,299.972900,0.000000
2006-10-31,284.821014,301.320099,0.000000
2006-11-01,292.349548,303.770142,0.000000
2006-11-02,293.002930,301.348969,0.000000
2006-11-03,288.831390,301.102020,0.917588
2006-11-04,288.856812,302.219208,0.000000
2006-11-05,287.281342,300.220093,0.000000
2006-11-06,280.840027,295.180084,0.000000
2006-11-07,282.388855,288.150055,5.067833
2006-11-08,282.126221,292.205963,7.525376
2006-11-09,284.981323,297.273468,1.323531
2006-11-10,289.884125,303.048492,0.640007
2006-11-11,291.434509,301.268890,0.000000
2006-11-12,284.504059,298.734222,0.000000
2006-11-13,285.137360,299.629822,0.000000
2006-11-14,289.565704,303.731140,0.000000
2006-11-15,289.714050,301.640564,0.000000
2006-11-16,281.815033,296.449127,0.000000
2006-11-17,277.660858,288.536346,0.000000
2006-11-18,276.689545,290.701172,0.000000
2006-11-19,279.439148,290.707520,0.000000
2006-11-20,278.760834,292.079285,0.000000
2006-11-21,278.960480,292.576935,0.000000
2006-11-22,281.558899,291.771423,0.000000
2006-11-23,278.985046,295.626556,0.000000
2006-11-24,281.813446,296.939636,0.000000
2006-11-25,285.901917,295.711273,0.000000
2006-11-26,283.246002,291.753510,6.564823
2006-11-27,278.093384,286.027710,0.000000
2006-11-28,278.635834,289.685791,0.000000
2006-11-29,279.437744,293.451935,0.000000
2006-11-30,282.797272,293.765869,0.000000
2006-12-01,279.214447,290.510803,0.000000
2006-12-02,278.221283,294.921234,0.000000
2006-12-03,279.123260,294.851288,0.000000
2006-12-04,282.214111,297.112640,0.000000
2006-12-05,282.501160,293.335999,0.000000
2006-12-06,283.009247,294.156189,0.000000
2006-12-07,277.006287,294.226685,0.000000
2006-12-08,279.602539,290.985260,0.314837
2006-12-09,276.148621,294.142731,0.000000
2006-12-10,279.520599,297.855042,0.000000
2006-12-11,280.305908,291.715179,0.000000
2006-12-12,276.296570,289.154144,0.000000
2006-12-13,276.116119,290.951294,0.000000
2006-12-14,276.715912,294.063934,0.000000
2006-12-15,283.836273,292.228760,2.056299
2006-12-16,278.898743,293.364044,7.666262
2006-12-17,271.314331,281.958221,0.000000
2006-12-18,272.076447,289.283173,0.000000
2006-12-19,278.697723,295.713470,0.000000
2006-12-20,282.477356,291.748749,0.000000
2006-12-21,273.722992,286.479309,0.000000
2006-12-22,276.772980,288.777283,0.305229
2006-12-23,278.163544,287.358917,0.000000
2006-12-24,271.520630,285.049347,0.000000
2006-12-25,269.339722,285.642578,0.000000
2006-12-26,270.936676,281.370514,0.000000
2006-12-27,272.648773,278.454407,3.204275
2006-12-28,273.431152,280.112671,60.020489
2006-12-29,273.387329,283.100372,7.846529
2006-12-30,273.110992,279.975739,0.665174
2006-12-31,270.659882,281.390656,0.000000
2007-01-01,273.995148,280.042236,0.000000
2007-01-02,259.743469,276.853027,0.567517
2007-01-03,257.347961,266.995148,0.000000
2007-01-04,255.290497,270.305603,0.000000
2007-01-05,265.110657,275.626526,0.000000
2007-01-06,265.396484,277.774902,0.000000
2007-01-07,271.355377,285.961731,0.000000
2007-01-08,273.976990,287.506927,0.000000
2007-01-09,273.763428,292.428955,0.000000
2007-01-10,278.519958,294.405823,0.000000
2007-01-11,281.683044,296.714905,0.000000
2007-01-12,274.235748,292.914154,2.597947
2007-01-13,273.788391,279.140320,1.659380
2007-01-14,274.192719,280.857941,0.380830
2007-01-15,275.647797,285.778412,0.345935
2007-01-16,276.934448,284.422760,1.736542
2007-01-17,275.996338,287.959686,0.000000
2007-01-18,284.489166,298.628815,1.822710
2007-01-19,286.477631,300.427063,0.000000
2007-01-20,287.595154,297.901520,0.793523
2007-01-21,288.028748,300.760345,0.727114
2007-01-22,287.841705,301.827423,0.000000
2007-01-23,287.838104,300.891846,0.000000
2007-01-24,288.233124,300.924469,0.000000
2007-01-25,285.058289,297.158478,0.000000
2007-01-26,280.296204,296.798676,0.000000
2007-01-27,282.981964,298.821930,0.000000
2007-01-28,282.194244,293.128021,0.000000
2007-01-29,270.370087,282.969025,0.000000
2007-01-30,272.604187,285.869812,0.000000
2007-01-31,275.955505,291.808716,0.000000
2007-02-01,285.354553,297.588837,0.000000
2007-02-02,280.968323,291.140686,0.000000
2007-02-03,275.133759,292.050995,0.000000
2007-02-04,278.149963,297.742859,0.000000
2007-02-05,284.000610,293.731750,0.807702
2007-02-06,286.021240,292.586578,27.314079
2007-02-07,285.533569,291.242767,5.610461
2007-02-08,282.784943,295.148315,0.424948
2007-02-09,277.419464,293.430237,0.000000
2007-02-10,278.790100,297.268433,0.000000
2007-02-11,281.246094,298.416046,0.000000
2007-02-12,280.200562,297.587250,0.000000
2007-02-13,283.097961,299.587219,0.000000
2007-02-14,283.947327,294.490387,0.772694
2007-02-15,272.628845,284.794861,0.000000
2007-02-16,271.825989,288.016968,0.000000
2007-02-17,273.448303,291.315277,0.000000
2007-02-18,277.240814,298.126465,0.000000
2007-02-19,279.446472,301.440796,0.000000
2007-02-20,281.474609,300.491577,0.000000
2007-02-21,278.131927,293.826660,0.000000
2007-02-22,272.524017,285.497681,0.000000
2007-02-23,278.082855,291.234955,0.000000
2007-02-24,281.713776,290.104370,1.853771
2007-02-25,274.635162,292.436584,0.000000
2007-02-26,278.266235,299.401764,0.000000
2007-02-27,281.824371,300.250488,0.000000
2007-02-28,275.675140,293.104736,0.000000
2007-03-01,281.935974,297.963928,2.167492
2007-03-02,286.084503,294.861206,0.959989
2007-03-03,280.785370,296.022827,0.000000
2007-03-04,281.100006,299.780701,0.000000
2007-03-05,284.300079,301.926758,0.632705
2007-03-06,288.188354,305.107422,0.562984
2007-03-07,289.165161,304.478180,0.000000
2007-03-08,289.604156,304.938568,0.000000
2007-03-09,288.360016,301.790466,0.000000
2007-03-10,278.180420,290.163177,0.000000
2007-03-11,280.291016,295.063049,0.000000
2007-03-12,281.684479,299.547516,0.000000
2007-03-13,286.682526,295.050262,0.000000
2007-03-14,281.041718,293.937683,0.000000
2007-03-15,284.816071,298.006592,0.000000
2007-03-16,287.374329,304.362549,0.000000
2007-03-17,288.619110,306.170349,0.000000
2007-03-18,290.680084,306.680298,0.000000
2007-03-19,291.920807,305.188721,0.000000
2007-03-20,291.386536,302.706940,0.000000
2007-03-21,291.456879,304.160217,0.474327
2007-03-22,289.454254,301.884155,6.892668
2007-03-23,275.444519,288.473724,3.298819
2007-03-24,279.031860,289.841064,0.000000
2007-03-25,279.935608,294.319641,0.000000
2007-03-26,280.106018,294.063019,0.000000
2007-03-27,281.722595,295.822510,0.405930
2007-03-28,283.079559,299.879852,0.000000
2007-03-29,285.226196,303.099731,0.000000
2007-03-30,287.646820,304.219086,0.000000
2007-03-31,287.866272,302.473663,0.000000
2007-04-01,288.735809,299.689758,0.000000
2007-04-02,288.605347,302.391388,1.625813
2007-04-03,290.579437,303.110046,1.603970
2007-04-04,289.498962,300.268158,0.000000
2007-04-05,288.710876,298.821045,6.926713
2007-04-06,292.216553,301.774353,11.262616
2007-04-07,287.232330,301.396881,0.590686
2007-04-08,287.030060,305.247955,0.000000
2007-04-09,292.134125,307.121552,0.000000
2007-04-10,289.441376,303.139465,0.000000
2007-04-11,288.035309,303.542145,0.000000
2007-04-12,294.269745,302.064209,0.000000
2007-04-13,293.092896,305.451721,0.534097
2007-04-14,292.992676,305.838501,1.587236
2007-04-15,294.061005,302.197388,0.000000
2007-04-16,291.376129,301.318115,5.648249
2007-04-17,288.173889,301.707581,1.954713
2007-04-18,290.543121,303.173187,2.598223
2007-04-19,291.788025,300.461456,0.000000
2007-04-20,293.240417,304.293640,1.632995
2007-04-21,294.182465,303.775848,2.837221
2007-04-22,290.912689,301.256897,2.096277
2007-04-23,294.012726,299.642609,13.692183
2007-04-24,286.785767,299.658356,3.521295
2007-04-25,289.394043,300.023621,8.061373
2007-04-26,289.974640,303.254669,7.169575
2007-04-27,290.040466,303.438751,9.729815
2007-04-28,294.071533,300.261108,16.390972
2007-04-29,291.615295,300.490295,12.831573
2007-04-30,292.097565,298.706543,18.164564
2007-05-01,292.512573,299.842010,14.702537
2007-05-02,288.584320,300.223602,3.443789
2007-05-03,286.747711,301.854889,0.000000
2007-05-04,292.067719,300.428986,24.099323
2007-05-05,291.433502,302.496216,12.568682
2007-05-06,292.756042,300.801788,0.000000
2007-05-07,291.837463,305.953857,4.905608
2007-05-08,292.573792,305.309784,0.000000
2007-05-09,291.877411,304.996552,0.000000
2007-05-10,291.853668,307.038116,5.565598
2007-05-11,292.073029,303.077515,3.857350
2007-05-12,289.323853,305.158112,0.959419
2007-05-13,290.692200,302.573029,0.000000
2007-05-14,286.349609,302.641052,0.000000
2007-05-15,290.328369,304.154663,0.000000
2007-05-16,294.310822,303.808075,0.000000
2007-05-17,294.393005,306.612000,0.000000
2007-05-18,293.603516,307.479675,4.321866
2007-05-19,293.412140,308.622406,0.000000
2007-05-20,293.960999,307.347992,0.522757
2007-05-21,293.940308,303.363953,6.890290
2007-05-22,292.483521,304.164185,0.000000
2007-05-23,293.147034,304.217194,0.284682
2007-05-24,292.566986,302.912018,0.361840
2007-05-25,291.179382,303.660248,0.000000
2007-05-26,292.522949,304.917389,0.000000
2007-05-27,293.488983,305.331360,0.000000
2007-05-28,294.061127,303.684845,2.276232
2007-05-29,294.402435,302.662537,3.378181
2007-05-30,294.001160,303.955688,18.796427
2007-05-31,293.663391,304.870972,18.296837
2007-06-01,293.061096,302.171875,1.628488
2007-06-02,292.209930,305.784424,0.000000
2007-06-03,292.932129,306.061371,0.000000
2007-06-04,294.307648,306.731049,0.000000
2007-06-05,293.897186,306.393646,0.000000
2007-06-06,294.434845,306.737366,0.000000
2007-06-07,295.732422,306.200195,0.000000
2007-06-08,295.934082,305.684479,4.519116
2007-06-09,295.906921,307.578278,30.073690
2007-06-10,295.583405,304.106812,30.980099
2007-06-11,293.894775,304.539886,19.685471
2007-06-12,293.809143,306.124359,7.810490
2007-06-13,293.843750,306.718567,5.769438
2007-06-14,293.903870,307.023926,0.973984
2007-06-15,296.057251,307.811493,0.339177
2007-06-16,295.901428,308.152039,0.000000
2007-06-17,295.664825,308.956726,0.000000
2007-06-18,295.840210,308.426331,4.088309
2007-06-19,296.182587,305.116821,2.030610
2007-06-20,295.341614,304.619843,1.142922
2007-06-21,295.337769,306.447113,1.106805
2007-06-22,294.109955,306.524139,0.000000
2007-06-23,292.958038,308.262054,0.000000
2007-06-24,293.950989,309.167755,0.000000
2007-06-25,295.618958,309.284332,0.000000
2007-06-26,296.489716,309.491852,0.000000
2007-06-27,296.847565,309.285797,0.000000
2007-06-28,296.684998,308.754486,0.000000
2007-06-29,296.498810,308.617035,0.000000
2007-06-30,297.247284,311.123260,0.000000
2007-07-01,297.297974,310.986542,0.000000
2007-07-02,297.470642,310.267456,0.000000
2007-07-03,297.473816,310.759491,0.000000
2007-07-04,298.174683,311.011169,0.000000
2007-07-05,298.244171,310.775909,0.000000
2007-07-06,298.506989,310.005493,0.000000
2007-07-07,297.901245,309.376923,0.000000
2007-07-08,297.355438,309.906738,0.000000
2007-07-09,297.549744,310.041077,0.000000
2007-07-10,298.022736,310.094879,0.000000
2007-07-11,298.384430,310.648865,0.000000
2007-07-12,298.548492,310.988556,1.133787
2007-07-13,298.535217,310.473206,0.000000
2007-07-14,298.684143,310.699890,0.000000
2007-07-15,300.433563,312.468872,0.000000
2007-07-16,300.573730,314.622345,0.000000
2007-07-17,300.601166,313.709869,0.000000
2007-07-18,300.707703,313.024811,0.000000
2007-07-19,299.818329,312.748016,0.000000
2007-07-20,299.580536,312.364288,0.000000
2007-07-21,299.171509,311.936401,0.000000
2007-07-22,298.578491,311.436523,0.000000
2007-07-23,298.111908,311.135925,0.000000
2007-07-24,297.772980,311.120331,0.000000
2007-07-25,298.119873,311.658417,0.000000
2007-07-26,298.339203,311.907684,0.000000
2007-07-27,298.738770,312.218567,0.000000
2007-07-28,298.938446,313.000763,0.000000
2007-07-29,299.544952,313.265137,0.000000
2007-07-30,299.979919,313.189117,0.000000
2007-07-31,299.639923,313.235687,0.000000
2007-08-01,299.037903,313.027557,0.000000
2007-08-02,299.097839,312.836395,0.000000
2007-08-03,299.227509,312.351593,0.000000
2007-08-04,299.163727,312.655365,0.376906
2007-08-05,299.223541,312.715546,0.000000
2007-08-06,299.295105,312.681274,0.000000
2007-08-07,299.551208,312.464142,0.000000
