#Variables:
#tasmin_CSIRO-Mk3-6-0_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CSIRO-Mk3-6-0_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CSIRO-Mk3-6-0_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CSIRO-Mk3-6-0_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CSIRO-Mk3-6-0_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CSIRO-Mk3-6-0_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_historical(K),tasmax_CSIRO-Mk3-6-0_historical(K),pr_CSIRO-Mk3-6-0_historical(mm)"
""
yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_historical(K),tasmax_CSIRO-Mk3-6-0_historical(K),pr_CSIRO-Mk3-6-0_historical(mm)
1950-02-17,282.225006,289.906036,1.491767
1950-02-18,281.037750,299.977875,0.000000
1950-02-19,286.535645,297.823456,0.000000
1950-02-20,279.524445,297.131836,0.000000
1950-02-21,283.710052,299.679108,0.000000
1950-02-22,283.581055,298.591583,0.000000
1950-02-23,286.653381,299.984528,0.000000
1950-02-24,288.337769,302.330719,0.549754
1950-02-25,288.236298,300.842010,0.000000
1950-02-26,282.349579,298.339539,0.000000
1950-02-27,279.611511,294.483398,0.000000
1950-02-28,281.799316,290.839569,0.724764
1950-03-01,282.973663,292.088867,8.322954
1950-03-02,286.384613,292.697876,11.180884
1950-03-03,281.016907,287.943024,10.199181
1950-03-04,278.166199,279.297424,1.892519
1950-03-05,269.432709,284.909851,0.000000
1950-03-06,273.089935,290.283966,0.000000
1950-03-07,283.131470,292.427795,0.000000
1950-03-08,287.975220,299.474548,0.280427
1950-03-09,284.810913,297.321686,0.000000
1950-03-10,282.124115,294.429596,0.000000
1950-03-11,279.373138,296.609436,0.000000
1950-03-12,283.103577,293.979065,0.000000
1950-03-13,281.647705,294.612762,0.000000
1950-03-14,285.771027,296.094147,0.000000
1950-03-15,285.589874,297.261139,0.000000
1950-03-16,281.808685,298.953094,0.000000
1950-03-17,280.014404,295.535889,0.000000
1950-03-18,282.654480,293.198792,0.000000
1950-03-19,287.779877,298.487152,7.513740
1950-03-20,289.458496,302.274811,10.048745
1950-03-21,287.584290,298.871887,2.824378
1950-03-22,282.938385,295.760101,0.000000
1950-03-23,278.324890,296.094757,0.000000
1950-03-24,283.243561,299.888123,0.000000
1950-03-25,287.154663,303.006744,0.000000
1950-03-26,290.089478,301.197327,5.822309
1950-03-27,284.150970,298.209656,0.289302
1950-03-28,278.478455,289.631561,0.000000
1950-03-29,280.103943,289.041382,0.000000
1950-03-30,285.547455,289.747314,0.000000
1950-03-31,288.234375,290.700104,0.000000
1950-04-01,286.004547,288.957794,9.249665
1950-04-02,286.769104,293.950104,14.188750
1950-04-03,283.535339,297.538208,0.000000
1950-04-04,286.101929,294.797272,0.000000
1950-04-05,286.486298,294.571899,0.000000
1950-04-06,285.787689,295.264252,0.000000
1950-04-07,287.028198,294.773346,0.376637
1950-04-08,290.440887,299.977631,4.799446
1950-04-09,284.356293,302.289062,0.000000
1950-04-10,286.801208,301.946075,0.000000
1950-04-11,284.064636,300.124847,0.000000
1950-04-12,285.391174,300.832336,0.000000
1950-04-13,288.830200,301.857391,0.000000
1950-04-14,290.840363,301.691833,0.000000
1950-04-15,290.519287,301.496002,0.514433
1950-04-16,288.601624,299.506409,0.000000
1950-04-17,290.684357,300.276001,0.000000
1950-04-18,291.668579,303.866577,0.000000
1950-04-19,293.733795,305.346863,0.000000
1950-04-20,292.784637,305.699738,0.000000
1950-04-21,292.977539,305.721649,0.000000
1950-04-22,287.031860,304.008728,0.000000
1950-04-23,286.034393,301.495758,0.000000
1950-04-24,291.366760,305.561768,0.000000
1950-04-25,293.132965,307.401978,0.000000
1950-04-26,294.402313,307.200195,0.000000
1950-04-27,286.692688,304.290833,0.000000
1950-04-28,287.023956,302.919556,0.000000
1950-04-29,290.991028,304.832916,0.000000
1950-04-30,293.601990,307.106476,0.000000
1950-05-01,288.796753,302.651703,2.751292
1950-05-02,285.230896,306.083160,0.583458
1950-05-03,284.927826,304.388641,0.000000
1950-05-04,287.199554,303.651581,6.224681
1950-05-05,290.806580,301.002747,13.603239
1950-05-06,291.762115,298.447144,0.000000
1950-05-07,294.621307,300.894745,4.786911
1950-05-08,294.333923,304.097229,0.601255
1950-05-09,294.549377,306.924286,0.283354
1950-05-10,294.675140,306.326385,0.643814
1950-05-11,295.046875,303.766357,10.426743
1950-05-12,295.214630,304.301636,0.000000
1950-05-13,292.161133,305.841217,0.000000
1950-05-14,292.991119,306.263275,0.000000
1950-05-15,292.893311,306.535004,0.000000
1950-05-16,291.816559,302.298920,0.000000
1950-05-17,291.419708,302.461182,0.000000
1950-05-18,290.297974,302.825287,0.000000
1950-05-19,293.581360,302.979553,26.011255
1950-05-20,293.689850,303.241699,16.789337
1950-05-21,294.861328,304.678864,10.354244
1950-05-22,294.271301,303.519775,18.556343
1950-05-23,293.602325,304.146851,11.641748
1950-05-24,291.946289,306.313263,0.000000
1950-05-25,293.125305,308.484314,0.000000
1950-05-26,295.431702,310.616211,0.313869
1950-05-27,296.486023,309.882355,0.000000
1950-05-28,294.533142,307.023865,0.000000
1950-05-29,294.930634,306.618683,0.000000
1950-05-30,295.893280,307.860901,0.000000
1950-05-31,294.938049,308.570526,0.000000
1950-06-01,295.258728,308.362732,0.000000
1950-06-02,295.243927,308.309296,0.000000
1950-06-03,293.159546,306.863098,0.000000
1950-06-04,294.216827,306.877930,0.000000
1950-06-05,294.871002,309.681824,0.000000
1950-06-06,296.911652,309.462616,0.000000
1950-06-07,295.812988,306.034119,2.044050
1950-06-08,295.062988,308.449341,0.786084
1950-06-09,296.596039,311.356415,2.061879
1950-06-10,297.356354,312.018372,0.508013
1950-06-11,297.205994,312.389587,22.989538
1950-06-12,298.498962,311.695099,5.196895
1950-06-13,298.018860,310.707062,0.360155
1950-06-14,296.716217,305.881683,32.146896
1950-06-15,293.552673,300.017975,32.059082
1950-06-16,294.613586,301.433258,12.330768
1950-06-17,294.565186,301.904083,0.000000
1950-06-18,294.493927,303.591736,2.404494
1950-06-19,295.447723,305.235901,5.380557
1950-06-20,295.667603,305.698395,0.000000
1950-06-21,295.717987,305.332642,0.806392
1950-06-22,294.774353,305.172211,0.000000
1950-06-23,294.956696,306.491119,0.000000
1950-06-24,296.121460,307.658661,0.000000
1950-06-25,295.842560,308.998505,0.000000
1950-06-26,296.013855,308.238525,0.000000
1950-06-27,296.404572,308.231903,0.000000
1950-06-28,296.637939,311.065735,0.000000
1950-06-29,298.947021,312.066284,0.000000
1950-06-30,298.489624,312.212128,0.741418
1950-07-01,297.021393,309.502045,0.000000
1950-07-02,296.669617,304.519135,8.280269
1950-07-03,296.415771,302.203705,29.912289
1950-07-04,295.051971,300.902100,21.080669
1950-07-05,296.040771,302.434570,4.762185
1950-07-06,293.586548,303.346954,0.000000
1950-07-07,294.948639,303.156433,0.000000
1950-07-08,295.005188,304.218781,0.000000
1950-07-09,294.765717,305.641602,0.000000
1950-07-10,294.560394,305.814301,0.000000
1950-07-11,295.178894,304.689453,0.000000
1950-07-12,295.390320,305.948425,1.025758
1950-07-13,295.822723,306.627991,0.000000
1950-07-14,297.021973,310.353882,1.235110
1950-07-15,297.371948,309.790314,0.533984
1950-07-16,297.523926,308.351074,0.000000
1950-07-17,297.165344,309.087494,0.000000
1950-07-18,297.295410,308.131897,0.000000
1950-07-19,296.052948,307.269409,2.061383
1950-07-20,296.921631,306.425751,11.229247
1950-07-21,297.151093,308.551910,1.033841
1950-07-22,297.928131,310.868256,0.000000
1950-07-23,298.475586,311.372742,0.000000
1950-07-24,298.114594,310.963226,0.000000
1950-07-25,297.458740,310.886597,0.000000
1950-07-26,297.490540,310.356171,0.000000
1950-07-27,296.740417,309.962616,0.000000
1950-07-28,297.483765,310.615723,0.000000
1950-07-29,299.273895,310.271301,4.100355
1950-07-30,297.881378,312.082520,0.294759
1950-07-31,297.379059,311.586243,0.000000
1950-08-01,297.081146,311.278168,0.429526
1950-08-02,295.452637,311.070862,0.000000
1950-08-03,295.193298,308.212341,0.000000
1950-08-04,296.644958,309.565460,0.000000
1950-08-05,296.300446,308.140961,0.396442
1950-08-06,297.460724,308.723480,0.000000
1950-08-07,297.226868,310.228363,0.000000
1950-08-08,295.439362,307.754852,0.000000
1950-08-09,295.630859,308.872101,0.000000
1950-08-10,296.778442,311.207611,0.000000
1950-08-11,297.584381,310.731506,0.000000
1950-08-12,297.482697,308.844604,0.000000
1950-08-13,298.042236,310.206726,0.000000
1950-08-14,298.516724,311.614441,0.000000
1950-08-15,298.756744,311.850220,0.000000
1950-08-16,297.799072,311.548401,0.000000
1950-08-17,298.449615,310.671967,3.173126
1950-08-18,297.628387,308.147491,0.401815
1950-08-19,296.467957,307.098846,0.000000
1950-08-20,297.157928,306.515472,0.000000
1950-08-21,296.422333,306.351746,0.294367
1950-08-22,296.244080,307.036072,0.000000
1950-08-23,296.394806,309.387421,0.000000
1950-08-24,297.508362,312.745575,0.000000
1950-08-25,298.378265,313.291718,0.000000
1950-08-26,298.706238,312.520569,0.000000
1950-08-27,298.536102,312.237640,1.506951
1950-08-28,297.605713,310.265686,0.000000
1950-08-29,297.906555,309.288239,0.000000
1950-08-30,297.480682,308.770721,0.000000
1950-08-31,297.310730,309.189941,0.000000
1950-09-01,297.867828,309.597595,0.000000
1950-09-02,296.856537,308.139679,0.298531
1950-09-03,296.435883,309.384186,0.000000
1950-09-04,297.960632,312.555084,0.000000
1950-09-05,300.014709,315.580353,1.381284
1950-09-06,299.226044,312.344788,0.000000
1950-09-07,296.344330,309.590668,0.556791
1950-09-08,295.424286,307.892670,1.330898
1950-09-09,295.930054,307.259338,0.716113
1950-09-10,296.064301,306.203674,3.676298
1950-09-11,296.383606,306.254089,9.310825
1950-09-12,295.127502,304.551819,13.117571
1950-09-13,294.085571,305.213867,0.000000
1950-09-14,293.952240,304.114319,0.000000
1950-09-15,290.897064,305.372284,0.000000
1950-09-16,290.764984,305.634705,0.000000
1950-09-17,290.216736,305.832672,0.000000
1950-09-18,290.282623,306.133911,0.299302
1950-09-19,295.177338,306.368500,0.000000
1950-09-20,294.140472,308.149841,0.000000
1950-09-21,295.690063,308.021271,1.135090
1950-09-22,295.325012,306.027435,0.945313
1950-09-23,294.657471,304.758759,0.394253
1950-09-24,293.316376,305.851562,2.137005
1950-09-25,295.058655,307.396454,1.385725
1950-09-26,288.425323,306.971069,10.720000
1950-09-27,281.237152,289.874634,0.000000
1950-09-28,287.290558,301.674408,0.000000
1950-09-29,292.086121,301.167725,0.000000
1950-09-30,284.875366,298.544403,0.000000
1950-10-01,283.347870,300.257141,0.000000
1950-10-02,284.851532,301.749786,0.000000
1950-10-03,286.116943,301.657166,0.000000
1950-10-04,285.294342,302.954468,0.000000
1950-10-05,286.499176,303.362549,0.000000
1950-10-06,287.019073,303.219696,0.000000
1950-10-07,286.657288,305.177185,0.000000
1950-10-08,290.374939,307.878754,0.000000
1950-10-09,290.249115,306.531342,0.000000
1950-10-10,288.957062,303.872162,0.000000
1950-10-11,285.272064,303.284210,0.000000
1950-10-12,287.562653,306.397430,0.000000
1950-10-13,289.620972,305.344940,0.000000
1950-10-14,289.436768,305.483917,0.000000
1950-10-15,288.303284,304.893433,0.000000
1950-10-16,288.874756,303.525146,0.000000
1950-10-17,288.524384,302.626038,0.000000
1950-10-18,290.892914,302.184906,0.000000
1950-10-19,290.490723,302.816895,0.000000
1950-10-20,290.717346,304.657043,0.000000
1950-10-21,291.241364,304.357635,0.000000
1950-10-22,291.558228,305.820007,0.000000
1950-10-23,293.552765,303.363342,1.588406
1950-10-24,290.763733,303.875366,0.000000
1950-10-25,289.716705,303.573120,0.000000
1950-10-26,287.754974,302.259125,0.000000
1950-10-27,287.724792,302.051819,0.000000
1950-10-28,290.287262,303.451630,0.000000
1950-10-29,289.469238,304.292786,0.000000
1950-10-30,288.709412,304.386810,0.000000
1950-10-31,287.303650,303.413391,0.000000
1950-11-01,287.057159,303.481476,0.000000
1950-11-02,288.025757,302.789276,0.000000
1950-11-03,288.232025,303.689484,0.000000
1950-11-04,289.100037,302.253479,3.424098
1950-11-05,289.680420,302.473724,1.010051
1950-11-06,289.443604,303.867249,0.945070
1950-11-07,290.795624,303.762817,0.489634
1950-11-08,291.794556,303.607452,0.000000
1950-11-09,292.645691,304.973846,1.030420
1950-11-10,289.155762,302.615601,6.215067
1950-11-11,286.465302,297.845154,1.484405
1950-11-12,283.157440,295.880920,11.213419
1950-11-13,281.545258,289.451294,10.457142
1950-11-14,280.974518,292.819763,0.000000
1950-11-15,284.961945,294.228546,1.902604
1950-11-16,289.734528,301.647491,8.368087
1950-11-17,285.509308,298.471252,0.000000
1950-11-18,281.146790,290.529053,0.000000
1950-11-19,279.401367,283.645660,4.986580
1950-11-20,280.206451,289.472290,23.160231
1950-11-21,276.478149,283.509705,0.000000
1950-11-22,277.333282,291.735931,0.000000
1950-11-23,282.663147,297.003998,0.000000
1950-11-24,287.735474,300.918884,0.000000
1950-11-25,288.230164,301.883636,0.000000
1950-11-26,287.726776,298.360138,0.000000
1950-11-27,283.917908,297.467773,0.000000
1950-11-28,276.983002,290.884216,0.000000
1950-11-29,270.997894,289.639984,0.000000
1950-11-30,282.481720,288.951599,1.732811
1950-12-01,276.527924,289.081787,0.000000
1950-12-02,278.312622,292.826965,1.462147
1950-12-03,280.950592,289.985138,0.000000
1950-12-04,285.829132,297.644012,0.000000
1950-12-05,288.462616,299.426300,0.000000
1950-12-06,282.502686,294.830048,0.000000
1950-12-07,276.409576,293.767059,0.000000
1950-12-08,285.557587,302.465607,0.000000
1950-12-09,289.121613,302.144897,0.000000
1950-12-10,291.129333,300.915344,3.290612
1950-12-11,288.206787,298.600616,3.545010
1950-12-12,278.068726,289.200714,4.925217
1950-12-13,281.354492,289.096802,0.000000
1950-12-14,273.155518,286.926056,0.000000
1950-12-15,271.977051,282.490021,0.000000
1950-12-16,276.278748,289.776276,0.000000
1950-12-17,282.526794,296.741089,0.000000
1950-12-18,283.654938,293.499420,0.000000
1950-12-19,276.379761,287.941071,0.000000
1950-12-20,276.032318,290.000061,0.000000
1950-12-21,274.770081,293.901245,0.000000
1950-12-22,276.759460,294.045227,0.000000
1950-12-23,280.484558,298.616119,0.000000
1950-12-24,285.576660,293.727722,1.373545
1950-12-25,278.316467,287.206390,12.462221
1950-12-26,273.456024,285.792938,0.000000
1950-12-27,272.952026,290.742889,0.000000
1950-12-28,283.036438,292.058411,3.455597
1950-12-29,282.574615,291.404510,7.264144
1950-12-30,278.473572,284.324341,18.204729
1950-12-31,282.432129,289.669586,8.107067
1951-01-01,278.067566,283.303558,3.283933
1951-01-02,274.835907,285.960388,0.000000
1951-01-03,274.351471,283.321838,0.000000
1951-01-04,275.894806,284.796722,0.000000
1951-01-05,273.279694,285.852631,0.000000
1951-01-06,275.678406,282.152130,10.351170
1951-01-07,277.252441,284.117249,3.210114
1951-01-08,271.999115,286.465302,0.000000
1951-01-09,275.780670,292.408722,0.000000
1951-01-10,276.683777,293.517303,0.000000
1951-01-11,276.588318,293.758118,0.000000
1951-01-12,276.980865,292.770599,0.000000
1951-01-13,280.198578,292.016113,0.000000
1951-01-14,278.511780,289.920319,1.446226
1951-01-15,270.911774,277.757843,1.073011
1951-01-16,273.007233,280.441956,0.000000
1951-01-17,278.475739,286.665344,0.742702
1951-01-18,282.372986,296.866364,0.000000
1951-01-19,285.569214,299.443237,0.000000
1951-01-20,287.707825,298.812317,0.000000
1951-01-21,287.563660,299.783325,0.000000
1951-01-22,287.294739,298.819122,0.618309
1951-01-23,288.968628,297.985901,4.707484
1951-01-24,278.602173,296.118347,0.341821
1951-01-25,275.493469,290.105743,0.000000
1951-01-26,274.026886,289.776154,0.000000
1951-01-27,277.851196,295.010773,0.000000
1951-01-28,285.954254,298.065430,2.292616
1951-01-29,283.433624,297.246490,0.000000
1951-01-30,272.041321,291.976685,0.000000
1951-01-31,272.937317,283.135162,0.000000
1951-02-01,277.119873,282.128418,0.339234
1951-02-02,273.098206,280.593811,0.000000
1951-02-03,276.708221,283.521667,15.759632
1951-02-04,271.453339,279.466217,0.738012
1951-02-05,273.018860,278.009064,0.000000
1951-02-06,275.592499,278.237701,5.565407
1951-02-07,274.142181,280.729675,0.000000
1951-02-08,271.048615,285.601593,0.000000
1951-02-09,273.792053,290.264008,0.000000
1951-02-10,278.572876,296.200073,0.000000
1951-02-11,277.619019,293.217834,0.000000
1951-02-12,277.383881,297.651428,0.000000
1951-02-13,278.595184,299.596344,0.000000
1951-02-14,280.499725,298.260925,0.000000
1951-02-15,283.005219,299.029907,0.000000
1951-02-16,287.057404,299.486816,0.000000
1951-02-17,284.288727,302.516754,0.000000
1951-02-18,286.302643,298.463287,2.977898
1951-02-19,279.677826,293.995148,2.915706
1951-02-20,276.218994,294.194153,0.000000
1951-02-21,281.008759,298.475403,0.000000
1951-02-22,282.317322,296.169128,0.877698
1951-02-23,273.273590,290.717529,0.000000
1951-02-24,277.061493,291.338593,0.000000
1951-02-25,279.782043,290.554504,5.150022
1951-02-26,281.893036,296.181061,10.637955
1951-02-27,278.150116,294.689148,0.000000
1951-02-28,276.663910,294.560974,0.000000
1951-03-01,278.677246,295.052521,0.000000
1951-03-02,288.088989,293.984863,1.502788
1951-03-03,285.379730,298.827484,0.000000
1951-03-04,284.803894,303.874908,0.000000
1951-03-05,288.245483,302.725067,0.000000
1951-03-06,283.571533,298.326660,0.000000
1951-03-07,276.125031,292.159119,0.000000
1951-03-08,278.961517,293.780304,0.000000
1951-03-09,283.437195,296.562469,0.000000
1951-03-10,288.728912,303.370056,0.000000
1951-03-11,287.842468,303.574493,0.000000
1951-03-12,291.556061,301.827087,1.442446
1951-03-13,291.730103,304.036926,0.921080
1951-03-14,289.033508,303.404877,3.093050
1951-03-15,279.635620,296.938934,0.000000
1951-03-16,278.065735,289.343719,0.000000
1951-03-17,277.541382,289.365265,0.000000
1951-03-18,286.428589,301.169678,1.481498
1951-03-19,275.196198,298.336304,0.000000
1951-03-20,277.386688,291.480225,0.000000
1951-03-21,283.150391,289.542511,0.000000
1951-03-22,288.127747,300.642029,1.535617
1951-03-23,291.875916,301.479950,0.000000
1951-03-24,291.083496,301.960327,0.515264
1951-03-25,287.958405,299.212006,0.774919
1951-03-26,281.851929,298.900421,0.000000
1951-03-27,283.391479,302.194214,0.000000
1951-03-28,284.115387,302.603760,0.000000
1951-03-29,285.114197,302.755798,0.000000
1951-03-30,287.023346,304.717926,0.000000
1951-03-31,289.702209,305.170380,0.000000
1951-04-01,289.454865,307.598419,0.000000
1951-04-02,289.120789,306.807983,0.000000
1951-04-03,289.351562,307.239227,0.000000
1951-04-04,287.753143,307.192688,0.000000
1951-04-05,287.656250,304.775391,0.000000
1951-04-06,281.565399,300.436279,0.000000
1951-04-07,285.853088,300.177307,0.000000
1951-04-08,289.249847,302.746307,0.000000
1951-04-09,289.251068,304.924042,0.000000
1951-04-10,289.448975,306.178192,0.000000
1951-04-11,289.746582,306.263947,0.000000
1951-04-12,293.054047,307.807190,0.000000
1951-04-13,290.369415,306.783203,0.000000
1951-04-14,292.527466,303.692261,0.000000
1951-04-15,292.974182,303.582916,0.000000
1951-04-16,292.581696,303.728760,0.588844
1951-04-17,291.486145,305.191376,0.000000
1951-04-18,290.300964,304.791473,0.000000
1951-04-19,290.988892,304.529816,0.000000
1951-04-20,293.742615,304.966858,2.098810
1951-04-21,293.459076,304.013062,1.038619
1951-04-22,295.030212,304.237762,7.821259
1951-04-23,292.156158,302.382080,3.264533
1951-04-24,293.161224,304.533051,7.066101
1951-04-25,293.737488,306.725189,0.000000
1951-04-26,290.091187,304.841797,0.000000
1951-04-27,287.005035,299.442810,0.000000
1951-04-28,285.861115,299.314941,0.000000
1951-04-29,285.812836,301.016113,0.000000
1951-04-30,287.664001,302.424500,0.000000
1951-05-01,286.031555,301.582581,0.000000
1951-05-02,288.025513,303.496124,0.000000
1951-05-03,290.080963,304.438690,0.000000
1951-05-04,292.445068,304.698853,0.000000
1951-05-05,293.390869,304.006805,17.680408
1951-05-06,289.941437,307.290314,1.671977
1951-05-07,291.798370,307.887878,0.000000
1951-05-08,293.065643,309.107483,0.000000
1951-05-09,294.550964,307.955322,0.000000
1951-05-10,294.762543,308.467041,0.000000
1951-05-11,292.454010,310.238068,0.000000
1951-05-12,294.161011,310.249573,0.000000
1951-05-13,294.756866,307.781311,0.356345
1951-05-14,293.927551,307.420380,0.000000
1951-05-15,294.809113,309.924072,0.000000
1951-05-16,295.027802,307.367523,2.750707
1951-05-17,295.274200,305.026276,0.700792
1951-05-18,293.237671,301.166565,4.888812
1951-05-19,294.448578,300.960693,2.642520
1951-05-20,293.944122,303.532623,0.000000
1951-05-21,294.547852,305.794067,0.000000
1951-05-22,294.899414,305.714355,0.000000
1951-05-23,295.429565,305.405212,0.000000
1951-05-24,295.593353,306.901886,3.870547
1951-05-25,296.008911,307.408051,0.000000
1951-05-26,295.857849,309.656921,0.000000
1951-05-27,299.471466,310.211243,0.000000
1951-05-28,296.089844,308.844330,0.000000
1951-05-29,293.462952,308.759338,0.000000
1951-05-30,298.200165,310.606354,0.000000
1951-05-31,298.008270,310.591156,0.000000
1951-06-01,295.557770,308.896545,0.000000
1951-06-02,292.761566,303.304504,3.092808
1951-06-03,294.587250,299.165771,66.044235
1951-06-04,289.382721,295.180603,49.049065
1951-06-05,293.421295,300.525665,5.524817
1951-06-06,291.217255,300.316986,0.829852
1951-06-07,293.488434,301.167480,1.311371
1951-06-08,294.091187,302.203796,0.000000
1951-06-09,291.726593,303.542389,0.000000
1951-06-10,290.077881,305.224854,0.000000
1951-06-11,291.166229,304.403900,0.000000
1951-06-12,292.045685,305.482452,0.000000
1951-06-13,294.426575,306.751526,0.000000
1951-06-14,296.069122,304.563812,3.996296
1951-06-15,296.144989,305.628601,0.000000
1951-06-16,295.616821,305.816956,0.000000
1951-06-17,295.776550,306.749512,0.000000
1951-06-18,295.709656,305.333130,0.000000
1951-06-19,295.812866,304.056122,2.573556
1951-06-20,295.604401,307.383057,0.000000
1951-06-21,296.831573,310.049316,0.000000
1951-06-22,296.000366,310.775238,0.000000
1951-06-23,295.041718,310.688721,0.000000
1951-06-24,296.184113,307.996460,0.000000
1951-06-25,295.705261,306.184570,0.000000
1951-06-26,295.891876,305.673492,0.000000
1951-06-27,295.477081,306.553192,1.442811
1951-06-28,296.148621,307.911926,0.000000
1951-06-29,297.023773,307.033966,0.000000
1951-06-30,296.144226,307.196594,0.000000
1951-07-01,295.806061,307.182037,0.312804
1951-07-02,295.411316,306.612762,0.944913
1951-07-03,295.720001,306.351318,0.000000
1951-07-04,295.356598,306.917938,0.000000
1951-07-05,295.760651,307.032837,0.000000
1951-07-06,296.008789,307.233398,0.486097
1951-07-07,295.197876,306.725281,0.000000
1951-07-08,295.273865,306.723938,0.000000
1951-07-09,296.054504,307.882385,0.000000
1951-07-10,297.054382,309.789001,0.000000
1951-07-11,296.540070,309.934998,0.000000
1951-07-12,295.897705,308.510986,0.000000
1951-07-13,295.930542,307.371368,0.000000
1951-07-14,295.964630,307.185638,0.000000
1951-07-15,295.946777,307.768372,0.000000
1951-07-16,296.122742,308.881653,0.000000
1951-07-17,295.027466,306.790222,0.000000
1951-07-18,295.603729,306.576019,0.000000
1951-07-19,295.859711,306.749023,0.000000
1951-07-20,296.189667,307.696472,0.000000
1951-07-21,296.238953,307.802765,0.000000
1951-07-22,296.076569,307.689056,0.000000
1951-07-23,296.872375,309.223022,0.000000
1951-07-24,297.291443,309.811462,0.000000
1951-07-25,296.766571,310.552704,0.000000
1951-07-26,296.721100,309.915436,0.000000
1951-07-27,296.593414,308.023926,0.000000
1951-07-28,296.262115,307.519928,0.000000
1951-07-29,296.292297,309.728821,0.313785
1951-07-30,297.941284,312.251312,1.858905
1951-07-31,298.931396,312.845490,0.000000
1951-08-01,298.388916,311.640747,0.000000
1951-08-02,296.111664,308.973907,0.000000
1951-08-03,296.295105,310.426300,0.000000
1951-08-04,296.602509,310.151123,0.000000
1951-08-05,296.951874,310.655121,0.000000
1951-08-06,296.983490,309.176697,0.000000
1951-08-07,296.430481,309.273499,0.000000
