#Variables:
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_bcc-csm1-1_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),pr_bcc-csm1-1_rcp85(mm)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),pr_bcc-csm1-1_rcp85(mm)
2006-01-25,273.038055,281.821228,1.086068
2006-01-26,269.933563,281.396332,0.000000
2006-01-27,270.594208,282.310577,0.000000
2006-01-28,271.339386,286.852051,0.000000
2006-01-29,275.157471,288.582306,0.000000
2006-01-30,282.329895,296.422760,0.615246
2006-01-31,286.138031,295.902557,0.000000
2006-02-01,286.333160,295.882874,0.000000
2006-02-02,278.472015,294.304474,5.005559
2006-02-03,275.514252,281.023590,12.874737
2006-02-04,274.181702,285.937439,0.000000
2006-02-05,274.908203,290.621826,0.000000
2006-02-06,282.761597,296.422119,0.000000
2006-02-07,282.746674,295.058228,0.000000
2006-02-08,275.870270,291.562042,0.000000
2006-02-09,269.943237,282.430023,0.000000
2006-02-10,268.161560,279.262299,0.000000
2006-02-11,268.690033,281.607605,0.000000
2006-02-12,269.546356,285.914734,0.000000
2006-02-13,272.512787,288.839935,0.000000
2006-02-14,273.348785,289.565094,0.000000
2006-02-15,280.294403,294.223328,4.507844
2006-02-16,283.079987,292.349823,17.820961
2006-02-17,284.792297,296.170074,0.000000
2006-02-18,286.030914,295.284821,0.000000
2006-02-19,285.039154,292.344635,0.000000
2006-02-20,286.657715,291.879028,1.862137
2006-02-21,287.818451,297.889832,12.967461
2006-02-22,286.550232,297.655579,1.251087
2006-02-23,280.307007,291.772827,0.000000
2006-02-24,279.846008,298.579163,0.000000
2006-02-25,281.802582,295.340668,0.000000
2006-02-26,280.618134,298.842712,0.000000
2006-02-27,282.659424,301.450500,0.000000
2006-02-28,284.061554,300.323975,0.000000
2006-03-01,279.107239,296.178864,0.000000
2006-03-02,278.892914,295.235748,0.000000
2006-03-03,286.506592,303.123322,0.000000
2006-03-04,288.653931,303.020935,0.000000
2006-03-05,287.318024,303.224701,0.000000
2006-03-06,289.279755,303.159088,0.000000
2006-03-07,288.451965,303.547729,0.000000
2006-03-08,287.718384,305.443604,0.000000
2006-03-09,289.562561,304.789032,0.000000
2006-03-10,288.204926,304.530151,0.000000
2006-03-11,288.188202,305.087616,0.000000
2006-03-12,290.221527,305.213593,0.000000
2006-03-13,289.668121,304.511169,0.000000
2006-03-14,289.146484,299.762756,4.137230
2006-03-15,286.035767,299.641998,0.000000
2006-03-16,286.020294,302.969055,0.000000
2006-03-17,286.907257,303.619476,0.000000
2006-03-18,283.568848,300.881073,0.000000
2006-03-19,278.729584,294.416901,0.000000
2006-03-20,284.535004,299.222900,0.000000
2006-03-21,286.640503,302.560425,0.000000
2006-03-22,288.349640,302.485291,0.000000
2006-03-23,289.352448,301.845062,0.000000
2006-03-24,290.179047,301.078064,4.309770
2006-03-25,290.192383,301.535065,0.864702
2006-03-26,288.201355,300.276550,1.633968
2006-03-27,286.443970,297.954590,5.389278
2006-03-28,284.114746,301.528381,3.492631
2006-03-29,287.002625,303.040497,1.586445
2006-03-30,288.250763,303.877930,0.000000
2006-03-31,289.304291,306.511902,0.000000
2006-04-01,287.910065,303.808044,0.000000
2006-04-02,288.301239,303.014984,0.000000
2006-04-03,288.546539,302.304932,0.000000
2006-04-04,288.067871,302.322449,0.305352
2006-04-05,286.928589,304.608643,0.000000
2006-04-06,289.918823,306.423828,0.000000
2006-04-07,291.667572,305.628754,0.000000
2006-04-08,288.727692,301.948639,0.000000
2006-04-09,283.005035,295.840271,0.000000
2006-04-10,292.121338,303.041473,0.000000
2006-04-11,290.029480,303.277649,1.079525
2006-04-12,284.246613,302.740326,0.000000
2006-04-13,286.612518,302.814484,16.698660
2006-04-14,280.094666,293.596130,0.000000
2006-04-15,284.598694,303.577179,0.000000
2006-04-16,288.971558,305.824554,0.000000
2006-04-17,290.163666,305.446869,0.000000
2006-04-18,290.595856,303.643066,0.816285
2006-04-19,290.351593,303.274597,0.000000
2006-04-20,291.318054,298.805511,0.000000
2006-04-21,288.953827,298.451141,0.000000
2006-04-22,289.220306,302.478302,0.000000
2006-04-23,292.985596,302.876862,0.000000
2006-04-24,291.517883,303.334259,0.000000
2006-04-25,291.889526,303.546478,0.000000
2006-04-26,288.448120,303.575378,0.000000
2006-04-27,293.259155,302.683228,0.000000
2006-04-28,291.631866,306.299713,0.000000
2006-04-29,294.575134,306.840698,0.000000
2006-04-30,294.379333,308.146179,0.000000
2006-05-01,291.705292,306.774506,0.000000
2006-05-02,292.850891,308.532867,0.000000
2006-05-03,295.380615,308.228546,0.000000
2006-05-04,294.235168,299.804413,9.562171
2006-05-05,295.123871,307.186646,1.275252
2006-05-06,293.918945,310.691711,0.432454
2006-05-07,296.342163,309.226532,0.000000
2006-05-08,292.417969,307.391388,0.000000
2006-05-09,288.823578,301.442932,0.000000
2006-05-10,289.264282,304.981262,0.000000
2006-05-11,294.035980,306.321777,0.000000
2006-05-12,294.789337,307.148193,0.000000
2006-05-13,297.308380,306.186279,0.000000
2006-05-14,295.449219,311.733887,0.000000
2006-05-15,294.284790,312.344360,0.000000
2006-05-16,294.754395,306.520538,0.000000
2006-05-17,295.247375,310.206268,0.000000
2006-05-18,297.136597,310.722321,0.000000
2006-05-19,297.684235,310.412537,0.000000
2006-05-20,294.944092,308.129730,0.000000
2006-05-21,294.661499,306.454163,0.000000
2006-05-22,295.265137,307.300781,7.731799
2006-05-23,295.451355,309.542938,6.940821
2006-05-24,295.184540,309.494629,0.000000
2006-05-25,295.237061,306.512634,18.938982
2006-05-26,296.013977,307.960968,5.093144
2006-05-27,296.190887,307.969269,2.870210
2006-05-28,295.942719,307.497711,2.965482
2006-05-29,296.791473,305.469543,0.000000
2006-05-30,296.123352,308.494202,0.000000
2006-05-31,296.489716,308.777283,0.000000
2006-06-01,296.874359,308.745697,0.000000
2006-06-02,297.014526,308.328369,0.000000
2006-06-03,297.693298,308.009644,0.000000
2006-06-04,294.044678,307.258972,21.047958
2006-06-05,296.192291,299.437103,63.160572
2006-06-06,297.242676,302.899597,17.860281
2006-06-07,295.460693,301.686707,7.251489
2006-06-08,294.652710,300.289307,22.990149
2006-06-09,293.594177,302.036194,0.453737
2006-06-10,292.791931,303.961243,0.000000
2006-06-11,295.089233,303.373291,0.000000
2006-06-12,294.250000,303.917633,0.959344
2006-06-13,296.292175,307.397583,1.468664
2006-06-14,295.874512,309.982361,0.900814
2006-06-15,294.162750,310.048737,0.571973
2006-06-16,296.188873,310.099670,0.724036
2006-06-17,297.162292,308.540009,1.728707
2006-06-18,296.547363,307.914368,1.165380
2006-06-19,296.306702,306.848755,0.973926
2006-06-20,295.952026,305.218903,0.000000
2006-06-21,295.399170,305.840576,0.000000
2006-06-22,294.861511,306.420654,1.823832
2006-06-23,296.311127,306.717438,0.301454
2006-06-24,296.628662,305.869385,0.000000
2006-06-25,295.427277,305.405090,0.000000
2006-06-26,295.026886,304.252747,0.000000
2006-06-27,295.695648,304.375671,0.349973
2006-06-28,296.913116,307.531158,0.731383
2006-06-29,297.439362,308.240784,0.000000
2006-06-30,297.961243,309.181641,0.000000
2006-07-01,297.957306,310.303284,0.511683
2006-07-02,296.999908,307.078033,0.280069
2006-07-03,295.115540,306.064209,1.187176
2006-07-04,295.452637,306.798279,0.000000
2006-07-05,295.822205,307.967957,0.000000
2006-07-06,295.904205,308.796906,0.000000
2006-07-07,296.334686,308.390411,0.000000
2006-07-08,295.989624,307.705963,0.000000
2006-07-09,297.055603,306.729828,0.554408
2006-07-10,296.306213,304.392273,2.017255
2006-07-11,295.558563,305.253204,1.232403
2006-07-12,295.290283,306.885376,0.000000
2006-07-13,296.232086,308.175659,0.000000
2006-07-14,296.846436,309.873657,0.000000
2006-07-15,297.151337,311.167480,0.000000
2006-07-16,297.720398,311.266479,0.000000
2006-07-17,297.550934,310.206970,0.000000
2006-07-18,297.967346,309.554535,0.000000
2006-07-19,298.543823,310.548370,0.000000
2006-07-20,298.791016,310.784698,0.000000
2006-07-21,298.338196,311.282043,0.000000
2006-07-22,298.208313,311.243866,0.000000
2006-07-23,297.479187,310.665466,0.825671
2006-07-24,296.601868,307.643219,0.000000
2006-07-25,296.396332,308.388550,0.000000
2006-07-26,297.059906,308.621368,0.000000
2006-07-27,297.778381,309.688873,0.000000
2006-07-28,297.320251,310.106903,0.000000
2006-07-29,297.413452,309.973267,0.000000
2006-07-30,297.945221,310.091095,0.000000
2006-07-31,297.380188,310.120361,0.000000
2006-08-01,297.272491,312.888580,1.419513
2006-08-02,299.977295,313.177155,3.529117
2006-08-03,299.313019,312.501984,0.000000
2006-08-04,296.604553,309.984497,0.000000
2006-08-05,296.877380,309.107452,0.651521
2006-08-06,297.290344,310.180725,0.000000
2006-08-07,297.556824,310.281982,0.000000
2006-08-08,297.000549,310.374084,0.896464
2006-08-09,297.928619,312.030853,0.000000
2006-08-10,298.355255,312.032166,0.000000
2006-08-11,298.087708,311.669250,0.000000
2006-08-12,297.336121,310.947449,0.000000
2006-08-13,297.337738,309.701691,0.000000
2006-08-14,296.866882,309.744507,0.000000
2006-08-15,296.540009,309.159912,0.000000
2006-08-16,297.196259,307.394562,1.517227
2006-08-17,296.130768,306.369751,2.171786
2006-08-18,296.039307,305.508942,1.443827
2006-08-19,297.067474,305.299316,2.133906
2006-08-20,298.439453,304.749756,1.889356
2006-08-21,297.272339,302.621552,1.088264
2006-08-22,296.650696,305.497528,0.996794
2006-08-23,295.561584,306.735504,0.998385
2006-08-24,292.582306,307.099945,0.000000
2006-08-25,294.345642,307.833649,0.000000
2006-08-26,295.985168,307.849304,0.000000
2006-08-27,296.108459,307.356018,0.601445
2006-08-28,296.125610,306.164551,0.435211
2006-08-29,295.161499,305.781616,0.000000
2006-08-30,294.524353,306.824371,0.643186
2006-08-31,295.340302,308.033112,0.000000
2006-09-01,295.286896,307.746704,0.000000
2006-09-02,295.944641,308.358002,0.000000
2006-09-03,295.587280,309.239807,0.000000
2006-09-04,293.707367,310.283630,0.000000
2006-09-05,293.692047,310.382141,0.000000
2006-09-06,297.385712,310.778381,0.000000
2006-09-07,296.970581,311.002686,0.279618
2006-09-08,296.294342,310.945312,0.000000
2006-09-09,294.545532,307.695343,0.000000
2006-09-10,293.660950,308.103577,0.000000
2006-09-11,296.227386,309.648071,0.000000
2006-09-12,295.694244,310.286896,0.000000
2006-09-13,295.519928,309.266968,0.000000
2006-09-14,295.465912,307.679596,0.000000
2006-09-15,293.728485,307.756348,0.000000
2006-09-16,295.532013,306.820404,0.000000
2006-09-17,295.113434,306.951416,0.000000
2006-09-18,296.058258,308.142059,0.000000
2006-09-19,297.505371,309.143219,0.000000
2006-09-20,296.509827,308.473358,1.218520
2006-09-21,295.518280,306.228027,4.311094
2006-09-22,291.405975,302.429230,14.652506
2006-09-23,291.717957,299.148865,2.822121
2006-09-24,292.148010,299.564667,57.995792
2006-09-25,291.571899,296.859863,29.095839
2006-09-26,286.711578,296.000000,10.942582
2006-09-27,284.964905,298.982941,0.000000
2006-09-28,284.129944,299.768982,0.000000
2006-09-29,287.004578,298.759155,0.368616
2006-09-30,289.378387,302.581482,1.379329
2006-10-01,291.893707,305.604431,0.446603
2006-10-02,289.981659,303.566406,0.451133
2006-10-03,288.536377,300.406860,0.000000
2006-10-04,286.573151,300.921844,0.000000
2006-10-05,287.750061,303.492126,0.000000
2006-10-06,287.718445,304.274872,0.000000
2006-10-07,288.531128,305.592163,0.000000
2006-10-08,288.731293,305.262482,0.000000
2006-10-09,290.133484,303.591461,0.000000
2006-10-10,293.652985,302.988892,0.000000
2006-10-11,292.999664,304.363037,0.408716
2006-10-12,284.745026,304.114960,6.683559
2006-10-13,280.393158,288.960022,1.146463
2006-10-14,285.925354,294.326233,22.937498
2006-10-15,286.200348,294.617859,32.067543
2006-10-16,281.638367,292.354584,0.000000
2006-10-17,281.363312,294.675568,0.000000
2006-10-18,284.136047,296.760345,0.000000
2006-10-19,287.516510,296.385193,3.120134
2006-10-20,290.353912,299.918060,2.330419
2006-10-21,294.380463,300.324219,20.026161
2006-10-22,291.185730,299.105225,3.981341
2006-10-23,287.076202,298.243958,0.000000
2006-10-24,284.514221,295.930847,0.000000
2006-10-25,282.635712,294.146118,0.000000
2006-10-26,286.220245,293.435272,0.000000
2006-10-27,286.788147,292.475189,1.701351
2006-10-28,287.390259,295.459442,29.687302
2006-10-29,283.509186,291.342010,0.000000
2006-10-30,284.961243,294.270813,0.372240
2006-10-31,282.231598,292.763397,0.000000
2006-11-01,284.037354,298.005066,0.000000
2006-11-02,286.597168,299.694916,0.000000
2006-11-03,289.553528,297.699066,1.284193
2006-11-04,294.739838,301.537964,20.663639
2006-11-05,292.748932,298.438507,42.196003
2006-11-06,290.190216,297.370605,24.033978
2006-11-07,287.171204,294.348785,1.566947
2006-11-08,286.453644,296.337830,0.000000
2006-11-09,288.290466,297.967987,1.746294
2006-11-10,285.284241,297.115509,1.596461
2006-11-11,285.970398,298.301544,0.000000
2006-11-12,280.291901,297.903229,5.404882
2006-11-13,273.597687,286.226929,1.045354
2006-11-14,273.594482,285.337708,0.000000
2006-11-15,274.204010,286.512573,0.000000
2006-11-16,274.868958,284.855835,0.000000
2006-11-17,274.242828,285.328705,0.000000
2006-11-18,274.196075,289.032196,0.000000
2006-11-19,278.883057,286.727142,10.880099
2006-11-20,276.189148,285.289673,0.810744
2006-11-21,273.793365,288.468842,0.000000
2006-11-22,275.768219,291.079773,0.000000
2006-11-23,278.880219,294.140594,0.000000
2006-11-24,278.134705,291.346649,1.088586
2006-11-25,272.726654,282.643433,0.000000
2006-11-26,271.480957,283.402405,0.000000
2006-11-27,273.081909,293.087402,0.000000
2006-11-28,277.924957,297.775635,0.000000
2006-11-29,286.294769,298.611053,0.320377
2006-11-30,284.393921,297.863831,0.000000
2006-12-01,277.199921,290.082886,10.619531
2006-12-02,276.967834,282.726898,5.379565
2006-12-03,272.120056,281.918060,0.305157
2006-12-04,273.846954,283.591980,0.000000
2006-12-05,272.890228,286.231262,0.000000
2006-12-06,275.945770,283.517639,0.000000
2006-12-07,277.018463,286.162384,0.387421
2006-12-08,280.205353,293.366089,8.888869
2006-12-09,286.390381,297.240295,0.304823
2006-12-10,288.572144,297.163055,0.685611
2006-12-11,286.729095,298.240326,0.000000
2006-12-12,274.890717,290.724823,0.000000
2006-12-13,274.775391,290.884888,0.000000
2006-12-14,280.655640,290.998779,0.000000
2006-12-15,269.513458,288.341705,0.000000
2006-12-16,269.100159,281.828918,0.000000
2006-12-17,270.471527,278.853027,0.000000
2006-12-18,275.470123,280.875885,10.023028
2006-12-19,271.160492,282.434998,0.500376
2006-12-20,272.169983,280.991333,0.000000
2006-12-21,274.909332,285.075378,0.000000
2006-12-22,272.815948,284.217224,0.000000
2006-12-23,274.194336,289.043152,0.000000
2006-12-24,273.338531,285.958923,0.000000
2006-12-25,270.627411,283.541840,0.000000
2006-12-26,271.247040,288.274811,0.000000
2006-12-27,273.162292,292.313629,0.000000
2006-12-28,276.426483,290.946289,0.000000
2006-12-29,274.708221,291.640259,0.000000
2006-12-30,278.608673,289.934845,0.000000
2006-12-31,276.575836,292.597717,0.000000
2007-01-01,277.415192,293.887085,0.000000
2007-01-02,279.982880,290.542816,0.000000
2007-01-03,284.069305,296.916412,1.412265
2007-01-04,285.529449,292.954529,3.751295
2007-01-05,284.909790,292.309021,3.817173
2007-01-06,275.582153,290.335571,0.000000
2007-01-07,275.289917,289.996185,0.000000
2007-01-08,275.639404,291.279022,0.000000
2007-01-09,279.426544,290.761536,0.000000
2007-01-10,281.111023,287.226990,18.114452
2007-01-11,281.116241,292.248901,6.280702
2007-01-12,277.899231,290.415466,0.000000
2007-01-13,274.562531,284.058197,0.000000
2007-01-14,275.938904,282.156891,0.446300
2007-01-15,276.991211,284.400787,0.000000
2007-01-16,277.066895,287.480194,0.000000
2007-01-17,276.950165,286.475739,0.000000
2007-01-18,276.874664,285.120361,0.000000
2007-01-19,277.380859,285.829010,0.000000
2007-01-20,277.321594,287.400818,0.000000
2007-01-21,276.928925,290.552094,0.000000
2007-01-22,277.003265,287.563354,0.000000
2007-01-23,273.345428,285.241791,0.000000
2007-01-24,275.628662,290.958923,0.000000
2007-01-25,278.964417,288.669281,0.681920
2007-01-26,280.805939,292.887085,2.386850
2007-01-27,278.139771,291.428802,0.550119
2007-01-28,274.646912,284.727661,0.000000
2007-01-29,274.665741,284.358459,0.000000
2007-01-30,274.343170,288.238464,0.000000
2007-01-31,275.866791,289.661835,0.000000
2007-02-01,281.389832,292.981781,0.000000
2007-02-02,285.687927,297.900299,0.954963
2007-02-03,282.112244,291.092407,1.849384
2007-02-04,273.345398,289.326355,2.856369
2007-02-05,267.547241,272.147400,0.455938
2007-02-06,268.749573,276.828949,0.000000
2007-02-07,273.462311,279.534393,0.000000
2007-02-08,277.426758,284.212067,39.957939
2007-02-09,280.293854,292.050751,27.652092
2007-02-10,282.028992,290.947479,7.005049
2007-02-11,279.218353,293.644257,0.000000
2007-02-12,282.764893,296.441223,0.000000
2007-02-13,282.323975,297.949158,0.000000
2007-02-14,281.567688,295.321533,0.527591
2007-02-15,279.396362,291.929596,1.642631
2007-02-16,284.435455,297.871185,0.000000
2007-02-17,282.543152,295.228760,0.627608
2007-02-18,272.283081,288.197693,0.000000
2007-02-19,272.378021,289.973358,0.000000
2007-02-20,280.034210,298.110992,0.000000
2007-02-21,284.402222,301.458099,0.000000
2007-02-22,287.691925,300.450409,1.298435
2007-02-23,279.109253,298.802551,0.000000
2007-02-24,275.490997,296.799194,0.000000
2007-02-25,281.000732,296.127289,0.000000
2007-02-26,279.212463,299.611206,0.000000
2007-02-27,284.263367,303.312286,0.000000
2007-02-28,286.139313,301.424408,0.000000
2007-03-01,282.962189,300.733307,0.000000
2007-03-02,284.864166,298.129181,0.000000
2007-03-03,274.631317,291.033936,0.000000
2007-03-04,279.604187,298.506470,0.000000
2007-03-05,281.973175,297.666229,0.000000
2007-03-06,277.512695,290.975189,0.000000
2007-03-07,277.365479,295.960236,0.000000
2007-03-08,283.095428,300.944611,0.000000
2007-03-09,285.142700,300.182861,0.000000
2007-03-10,281.528870,296.404541,0.327534
2007-03-11,286.463287,302.112030,0.000000
2007-03-12,284.033447,300.864349,0.000000
2007-03-13,284.812317,302.815643,0.000000
2007-03-14,286.574463,304.036072,0.000000
2007-03-15,288.720856,303.945740,0.000000
2007-03-16,287.145874,304.588989,0.000000
2007-03-17,289.676575,304.205200,0.000000
2007-03-18,289.266846,302.670685,0.000000
2007-03-19,286.662323,297.288147,1.052158
2007-03-20,277.737671,290.489166,0.000000
2007-03-21,279.710571,295.003326,0.000000
2007-03-22,282.854767,297.920715,0.000000
2007-03-23,283.408447,302.414093,0.000000
2007-03-24,292.959442,302.610077,0.000000
2007-03-25,287.187592,301.950989,0.000000
2007-03-26,282.034454,294.156311,0.000000
2007-03-27,286.485962,300.857330,0.000000
2007-03-28,288.199005,303.416626,0.000000
2007-03-29,292.204773,307.123230,0.000000
2007-03-30,291.244781,306.811676,0.000000
2007-03-31,292.623230,310.467407,0.000000
2007-04-01,292.451385,306.860657,0.000000
2007-04-02,291.741913,305.663330,0.000000
2007-04-03,290.402618,305.626129,0.000000
2007-04-04,290.376617,305.279419,0.000000
2007-04-05,290.987579,307.086365,0.000000
2007-04-06,291.692200,306.857483,0.000000
2007-04-07,292.078583,306.342896,0.000000
2007-04-08,294.479645,304.915497,0.000000
2007-04-09,292.455078,304.859497,0.000000
2007-04-10,290.175720,302.710266,0.000000
2007-04-11,286.469147,301.359833,0.560784
2007-04-12,288.048401,301.346680,0.000000
2007-04-13,292.463623,300.222412,4.167474
2007-04-14,289.443329,300.637054,11.232637
2007-04-15,283.818420,301.614166,0.000000
2007-04-16,290.614319,305.862915,0.000000
2007-04-17,289.079407,305.485443,0.000000
2007-04-18,289.193695,308.591461,0.000000
2007-04-19,295.498871,307.851379,0.000000
2007-04-20,294.520416,305.014465,0.000000
2007-04-21,288.626129,300.530090,0.000000
2007-04-22,285.928375,298.756958,0.000000
2007-04-23,286.215759,300.186554,0.000000
2007-04-24,292.381134,300.313660,0.000000
2007-04-25,289.587555,305.102112,0.000000
2007-04-26,289.085541,306.047302,0.000000
2007-04-27,292.070587,306.249908,1.369951
2007-04-28,294.139252,302.503540,8.454995
2007-04-29,292.935150,300.472900,10.076888
2007-04-30,292.688080,304.177094,0.472527
2007-05-01,292.670319,306.369019,0.000000
2007-05-02,293.874664,308.375244,0.000000
2007-05-03,294.110748,310.093567,0.000000
2007-05-04,295.727570,309.238312,0.000000
2007-05-05,292.241180,304.982666,0.000000
2007-05-06,292.444946,304.537994,0.000000
2007-05-07,292.358429,305.771515,0.000000
2007-05-08,292.785461,304.975403,0.000000
2007-05-09,288.075439,295.820801,19.836010
2007-05-10,286.051117,302.327545,0.000000
2007-05-11,293.592316,302.151978,0.000000
2007-05-12,293.053619,306.397766,0.000000
2007-05-13,295.055115,312.097290,0.000000
2007-05-14,294.163757,311.179779,0.000000
2007-05-15,296.948975,305.634491,17.526476
2007-05-16,291.854584,299.982880,5.180322
2007-05-17,294.468567,301.153229,6.931639
2007-05-18,294.090118,304.161804,2.950337
2007-05-19,295.454254,305.613403,0.000000
2007-05-20,292.481598,305.305725,1.220184
2007-05-21,293.595032,306.672485,0.791512
2007-05-22,295.619598,304.835236,0.000000
2007-05-23,295.512665,304.300262,0.000000
2007-05-24,295.586121,304.472351,0.000000
2007-05-25,296.016113,304.079956,0.000000
2007-05-26,295.495239,304.071289,0.000000
2007-05-27,294.217804,306.708374,0.000000
2007-05-28,294.397339,308.610199,0.000000
2007-05-29,296.770203,308.990692,0.000000
2007-05-30,293.324951,306.851746,4.470870
2007-05-31,294.554993,307.516144,3.333198
2007-06-01,298.090088,307.653046,3.935255
2007-06-02,296.463867,305.068726,0.963948
2007-06-03,296.641693,306.414886,0.000000
2007-06-04,297.215393,308.655060,1.463235
2007-06-05,297.893250,311.450226,0.000000
2007-06-06,298.420074,311.751434,0.000000
2007-06-07,297.962708,313.123535,0.000000
2007-06-08,297.992767,312.502655,0.000000
2007-06-09,297.513428,310.779633,0.000000
2007-06-10,296.487610,309.615845,0.000000
2007-06-11,296.234619,308.071198,0.633980
2007-06-12,292.978058,308.074310,0.000000
2007-06-13,295.704193,308.987122,0.000000
2007-06-14,297.663208,308.666260,0.824472
2007-06-15,297.320038,308.754913,0.000000
2007-06-16,297.816345,308.238495,0.000000
2007-06-17,298.426422,307.631439,0.000000
2007-06-18,296.428894,303.823456,0.302044
2007-06-19,296.192444,304.359467,0.609270
2007-06-20,296.829346,304.240570,0.000000
2007-06-21,296.882965,305.599365,2.912393
2007-06-22,296.874847,308.466095,0.000000
2007-06-23,297.322113,309.528473,0.000000
2007-06-24,297.465668,310.185425,0.000000
2007-06-25,297.713013,310.132812,0.000000
2007-06-26,297.856171,309.722992,0.000000
2007-06-27,297.542816,309.429443,0.000000
2007-06-28,296.573700,308.336365,0.000000
2007-06-29,296.617249,307.497345,0.000000
2007-06-30,296.635132,307.567413,0.000000
2007-07-01,296.976471,307.592529,0.000000
2007-07-02,296.469055,306.862976,0.000000
2007-07-03,296.819214,308.297913,0.000000
2007-07-04,297.238098,309.068085,0.000000
2007-07-05,297.765717,310.114197,0.000000
2007-07-06,297.821411,310.073517,0.000000
2007-07-07,297.271240,309.386047,0.728996
2007-07-08,297.908569,308.594879,4.581327
2007-07-09,297.528442,306.519989,0.000000
2007-07-10,297.037323,306.478546,0.000000
2007-07-11,297.005219,306.780121,0.000000
2007-07-12,296.507172,305.503082,0.490384
2007-07-13,296.963074,304.686523,3.208613
2007-07-14,296.468445,304.591034,5.620154
2007-07-15,296.978577,304.982513,1.176887
2007-07-16,296.266541,306.418976,1.321042
2007-07-17,296.500000,307.257782,0.000000
2007-07-18,296.683746,307.544342,0.000000
2007-07-19,296.320496,306.834045,0.000000
2007-07-20,296.212250,307.035126,0.000000
2007-07-21,296.377106,309.164856,0.000000
2007-07-22,297.493805,311.713623,0.000000
2007-07-23,298.461578,312.071167,0.000000
2007-07-24,298.646606,312.386597,0.000000
2007-07-25,297.490601,312.424133,0.000000
2007-07-26,296.881073,312.108002,0.000000
2007-07-27,297.481476,310.430695,0.000000
2007-07-28,299.226227,310.936188,0.000000
2007-07-29,299.096649,311.963013,0.000000
2007-07-30,299.045654,312.176788,0.000000
2007-07-31,301.105560,312.973022,0.551482
2007-08-01,299.962830,312.811981,0.925604
2007-08-02,298.445160,312.229858,0.000000
2007-08-03,299.609467,312.313293,0.000000
2007-08-04,300.221954,312.834534,0.000000
2007-08-05,298.119202,312.399750,0.000000
2007-08-06,299.241791,312.712708,0.000000
2007-08-07,299.357117,312.314453,0.000000
2007-08-08,298.099731,312.134521,0.000000
2007-08-09,297.290863,310.914307,0.000000
2007-08-10,296.722595,309.329437,0.346225
2007-08-11,298.060699,309.968750,0.000000
