#Variables:
#tasmin_GFDL-ESM2G_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2G_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2G_historical(K),tasmax_GFDL-ESM2G_historical(K),pr_GFDL-ESM2G_historical(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2G_historical(K),tasmax_GFDL-ESM2G_historical(K),pr_GFDL-ESM2G_historical(mm)
1950-03-19,280.838318,294.657471,0.000000
1950-03-20,285.589966,294.310120,0.000000
1950-03-21,285.351990,298.778748,0.000000
1950-03-22,289.349701,298.752106,0.000000
1950-03-23,288.316040,299.523926,0.000000
1950-03-24,282.362274,297.488800,0.000000
1950-03-25,283.172028,297.124695,0.000000
1950-03-26,287.898163,301.286346,0.000000
1950-03-27,290.449219,302.745911,1.742164
1950-03-28,289.628540,302.474030,0.000000
1950-03-29,289.271851,303.341827,0.000000
1950-03-30,288.811310,303.235962,0.000000
1950-03-31,286.025177,299.648346,19.091743
1950-04-01,281.855255,288.111359,1.304942
1950-04-02,284.372162,294.355865,1.332446
1950-04-03,285.815948,294.229950,0.000000
1950-04-04,282.499634,292.681305,0.000000
1950-04-05,275.526001,287.001007,0.000000
1950-04-06,277.674957,285.491119,15.752505
1950-04-07,275.022552,282.428314,9.249665
1950-04-08,275.862091,283.428314,1.290104
1950-04-09,274.042847,291.507355,0.000000
1950-04-10,278.862640,295.782837,0.000000
1950-04-11,281.987335,296.487640,0.000000
1950-04-12,284.654785,300.809509,0.000000
1950-04-13,289.867676,302.934814,0.000000
1950-04-14,289.732452,302.793701,0.000000
1950-04-15,287.831604,301.328705,0.000000
1950-04-16,283.538757,298.717957,0.000000
1950-04-17,286.057404,297.575806,0.000000
1950-04-18,288.577972,304.813385,0.000000
1950-04-19,292.773285,305.413666,0.000000
1950-04-20,292.694153,305.194275,0.000000
1950-04-21,289.010864,304.297119,0.000000
1950-04-22,288.658356,302.375916,0.000000
1950-04-23,283.859711,300.870422,0.000000
1950-04-24,286.437622,303.573669,0.000000
1950-04-25,289.119507,305.038696,0.000000
1950-04-26,290.090271,304.583344,0.000000
1950-04-27,289.633179,297.569672,15.666224
1950-04-28,288.273651,297.474976,0.000000
1950-04-29,290.742615,303.328644,0.406069
1950-04-30,290.967010,304.544983,2.016534
1950-05-01,293.460693,303.443970,7.841444
1950-05-02,293.887268,301.822876,18.058613
1950-05-03,292.072601,303.149506,6.624459
1950-05-04,288.226776,303.643250,9.896819
1950-05-05,291.491425,303.212830,0.000000
1950-05-06,291.548553,302.577881,6.555249
1950-05-07,291.217651,301.901825,1.839515
1950-05-08,292.711182,302.598450,8.353375
1950-05-09,292.761475,305.772614,0.000000
1950-05-10,289.739746,304.538177,0.000000
1950-05-11,288.601379,301.650055,0.000000
1950-05-12,285.886810,297.884491,0.000000
1950-05-13,285.770813,296.378296,0.000000
1950-05-14,287.050690,296.709961,0.000000
1950-05-15,289.619720,303.407684,0.000000
1950-05-16,291.303162,300.679565,1.153902
1950-05-17,292.161163,300.979645,4.472562
1950-05-18,294.043732,302.467773,0.000000
1950-05-19,293.916107,301.819122,0.000000
1950-05-20,293.826233,301.736206,0.000000
1950-05-21,295.369415,302.324615,3.369603
1950-05-22,295.030975,303.864319,1.151420
1950-05-23,293.906067,305.603241,4.037776
1950-05-24,291.181396,305.420166,0.000000
1950-05-25,293.723633,304.659546,0.000000
1950-05-26,294.920563,303.865448,39.635376
1950-05-27,294.959290,305.820740,0.000000
1950-05-28,293.842590,306.427277,0.000000
1950-05-29,293.221893,306.821381,0.000000
1950-05-30,294.447449,306.801880,0.000000
1950-05-31,294.061737,306.658356,0.000000
1950-06-01,294.850342,306.901489,0.000000
1950-06-02,296.007019,307.993378,0.000000
1950-06-03,295.770325,308.861115,0.000000
1950-06-04,295.741364,308.454742,0.000000
1950-06-05,296.892700,305.438843,19.774900
1950-06-06,295.632050,302.725616,21.602390
1950-06-07,295.884735,302.590546,0.829852
1950-06-08,294.449615,304.009735,0.570056
1950-06-09,294.650909,306.101776,0.000000
1950-06-10,295.467499,307.000885,0.000000
1950-06-11,296.549744,305.522675,18.742098
1950-06-12,295.491180,307.454132,3.376997
1950-06-13,294.353485,306.502167,15.656984
1950-06-14,293.609985,303.157837,20.440920
1950-06-15,294.455017,297.563995,44.480175
1950-06-16,295.188934,301.322479,8.839924
1950-06-17,293.948761,301.657288,1.590379
1950-06-18,293.575958,302.725983,0.578768
1950-06-19,294.935730,303.042725,3.430837
1950-06-20,294.749237,303.455750,1.177938
1950-06-21,294.523590,303.494232,0.923418
1950-06-22,294.459869,304.581696,1.672662
1950-06-23,295.033813,305.374207,9.985538
1950-06-24,295.419495,303.475525,39.295296
1950-06-25,295.917053,304.288574,16.122326
1950-06-26,294.306396,303.230621,5.718642
1950-06-27,293.953888,304.286011,0.487048
1950-06-28,294.340546,303.643005,0.697320
1950-06-29,295.388428,301.766357,0.000000
1950-06-30,293.973450,301.557373,0.000000
1950-07-01,294.531433,302.408752,0.000000
1950-07-02,294.187195,304.688141,4.350790
1950-07-03,293.606110,304.561127,0.000000
1950-07-04,292.590546,304.553436,0.000000
1950-07-05,293.537201,304.042145,0.000000
1950-07-06,295.092346,303.706573,0.729157
1950-07-07,295.015381,305.209320,0.340338
1950-07-08,294.941681,305.142365,2.475451
1950-07-09,295.226349,305.630310,2.725986
1950-07-10,295.033020,305.526062,1.030212
1950-07-11,294.989716,305.605011,0.000000
1950-07-12,295.027679,305.503998,3.670815
1950-07-13,295.029907,305.118896,0.844333
1950-07-14,294.993988,305.236969,1.839525
1950-07-15,294.685150,304.520813,1.101701
1950-07-16,294.633057,305.289520,0.524275
1950-07-17,294.909882,305.947113,8.918818
1950-07-18,295.347351,306.131012,2.061383
1950-07-19,295.349548,306.217468,0.000000
1950-07-20,295.425690,306.349426,0.533984
1950-07-21,295.471619,306.124542,0.000000
1950-07-22,295.830170,306.263153,0.653141
1950-07-23,295.691620,306.168274,0.323643
1950-07-24,295.578552,305.939667,0.000000
1950-07-25,295.498169,306.387573,0.671707
1950-07-26,295.926880,306.548828,0.680803
1950-07-27,295.841858,307.108582,0.000000
1950-07-28,295.716858,307.393860,2.421304
1950-07-29,295.736938,306.866852,0.000000
1950-07-30,294.579834,307.547821,0.000000
1950-07-31,294.912323,308.893951,0.000000
1950-08-01,295.149384,310.327423,0.000000
1950-08-02,295.839691,310.370026,0.000000
1950-08-03,296.372833,308.483276,0.292634
1950-08-04,296.405975,306.816620,0.318290
1950-08-05,294.899200,306.373932,1.491591
1950-08-06,297.598328,307.281830,7.556894
1950-08-07,297.534241,305.116425,20.954441
1950-08-08,297.389679,305.499115,8.451889
1950-08-09,296.783508,304.171600,6.736604
1950-08-10,296.054535,302.197021,18.810070
1950-08-11,294.785431,300.707092,17.224886
1950-08-12,294.414581,300.408661,4.072162
1950-08-13,293.874146,300.063965,9.435862
1950-08-14,294.633636,303.247803,5.374476
1950-08-15,295.165588,305.175812,1.733521
1950-08-16,295.510773,305.355896,0.000000
1950-08-17,295.378937,305.735657,0.602032
1950-08-18,295.586090,306.074036,0.772387
1950-08-19,296.168579,306.113068,0.000000
1950-08-20,296.110260,305.841888,2.752780
1950-08-21,295.357300,305.397217,3.237019
1950-08-22,294.642151,304.748352,13.699397
1950-08-23,294.479523,304.275726,6.278615
1950-08-24,294.260284,305.401581,1.855248
1950-08-25,293.971191,304.930176,0.000000
1950-08-26,294.542603,304.434814,2.796853
1950-08-27,295.139008,305.343750,0.430861
1950-08-28,295.089783,305.258209,0.000000
1950-08-29,294.404480,305.483002,0.000000
1950-08-30,294.142181,305.925690,2.146487
1950-08-31,294.747498,306.079620,0.000000
1950-09-01,294.778656,306.490448,0.000000
1950-09-02,294.739502,306.742920,0.000000
1950-09-03,295.147552,306.675476,0.650048
1950-09-04,292.960541,306.118561,1.799562
1950-09-05,291.052307,302.955780,0.000000
1950-09-06,290.196442,303.528870,0.000000
1950-09-07,291.704865,304.371796,0.000000
1950-09-08,291.318359,304.738342,0.000000
1950-09-09,292.131470,305.284576,0.000000
1950-09-10,291.582611,305.590454,0.000000
1950-09-11,292.665314,306.521057,0.000000
1950-09-12,293.844788,307.202423,0.000000
1950-09-13,294.234497,308.947968,0.000000
1950-09-14,295.389618,309.224518,0.000000
1950-09-15,295.545776,308.451172,0.000000
1950-09-16,295.928741,308.557190,0.394253
1950-09-17,295.706238,308.580597,0.000000
1950-09-18,295.091614,307.916626,0.000000
1950-09-19,295.951233,307.914612,0.000000
1950-09-20,295.789612,308.571472,0.412136
1950-09-21,295.081543,307.745270,3.981001
1950-09-22,295.399170,304.984985,30.957870
1950-09-23,293.596161,301.658325,23.479805
1950-09-24,281.623016,295.532837,0.000000
1950-09-25,281.676208,299.923157,0.000000
1950-09-26,286.817688,298.584839,0.000000
1950-09-27,289.464722,301.134674,30.341234
1950-09-28,288.577271,299.348389,28.861584
1950-09-29,285.938751,294.229584,0.000000
1950-09-30,284.206116,297.939117,0.000000
1950-10-01,283.688538,299.209076,0.000000
1950-10-02,285.374817,298.277283,0.000000
1950-10-03,287.077606,297.462921,0.000000
1950-10-04,287.232513,299.494446,0.000000
1950-10-05,291.422668,303.432983,0.000000
1950-10-06,292.026459,305.042572,0.000000
1950-10-07,294.252747,303.841187,0.297835
1950-10-08,292.563538,301.964783,0.775404
1950-10-09,290.522217,302.193542,0.000000
1950-10-10,287.958191,302.931244,0.000000
1950-10-11,291.497162,304.251099,0.460410
1950-10-12,291.637878,304.345581,0.000000
1950-10-13,293.628265,303.381195,0.000000
1950-10-14,291.635742,303.775726,0.000000
1950-10-15,290.892914,304.165588,0.000000
1950-10-16,290.986481,303.307159,0.000000
1950-10-17,290.928131,303.711639,0.000000
1950-10-18,288.639343,304.252960,0.000000
1950-10-19,291.487823,303.014038,0.000000
1950-10-20,292.725494,303.300415,0.477950
1950-10-21,292.063324,303.317291,0.000000
1950-10-22,292.880676,302.797668,0.340011
1950-10-23,293.719330,303.682739,0.000000
1950-10-24,294.819214,304.480682,3.257231
1950-10-25,294.154175,303.770599,0.911394
1950-10-26,289.777710,301.970398,0.521707
1950-10-27,284.895996,295.292633,9.497359
1950-10-28,282.663177,291.234985,0.000000
1950-10-29,279.565460,297.103638,0.000000
1950-10-30,282.795776,299.508759,0.000000
1950-10-31,285.962952,301.385773,0.000000
1950-11-01,282.552124,300.334961,0.000000
1950-11-02,274.245239,292.422729,0.000000
1950-11-03,278.654724,297.382996,0.000000
1950-11-04,280.852692,299.009796,0.000000
1950-11-05,279.742584,299.185303,0.000000
1950-11-06,286.650513,297.674194,0.000000
1950-11-07,281.412567,293.896210,0.000000
1950-11-08,278.171204,290.115417,0.000000
1950-11-09,277.455811,287.155792,0.000000
1950-11-10,274.215912,289.115143,0.000000
1950-11-11,271.020172,292.398651,0.000000
1950-11-12,280.827728,297.637054,0.000000
1950-11-13,284.898376,300.878296,0.000000
1950-11-14,287.600098,301.877106,0.000000
1950-11-15,288.481995,302.026093,0.000000
1950-11-16,284.591949,302.221710,0.000000
1950-11-17,285.276520,300.979797,0.000000
1950-11-18,287.705536,298.506165,0.000000
1950-11-19,284.709503,295.045258,0.000000
1950-11-20,285.623047,295.633820,0.000000
1950-11-21,288.272644,298.778992,0.000000
1950-11-22,289.587921,302.255920,0.000000
1950-11-23,289.164551,301.594666,1.100621
1950-11-24,285.605560,300.652679,0.000000
1950-11-25,289.598724,300.611664,0.000000
1950-11-26,288.620148,296.708740,25.970142
1950-11-27,287.890869,297.471436,2.468598
1950-11-28,276.372131,292.871368,0.000000
1950-11-29,270.656219,286.742065,0.000000
1950-11-30,276.375275,289.098907,0.978469
1950-12-01,284.512512,295.914001,6.358494
1950-12-02,289.023346,298.476654,4.770656
1950-12-03,290.167877,298.576721,4.930047
1950-12-04,286.893463,297.954620,1.476779
1950-12-05,280.984253,293.542297,0.000000
1950-12-06,280.593323,295.176727,0.000000
1950-12-07,284.182190,298.470673,0.000000
1950-12-08,283.894562,295.346497,0.000000
1950-12-09,281.201202,288.872314,0.000000
1950-12-10,283.365570,292.760376,7.260338
1950-12-11,284.293976,292.903595,0.884435
1950-12-12,273.679047,288.967102,0.606588
1950-12-13,266.417877,279.600647,0.000000
1950-12-14,258.222931,282.647552,0.000000
1950-12-15,273.290619,289.332367,0.000000
1950-12-16,282.287720,296.069214,0.000000
1950-12-17,282.583466,296.953430,0.000000
1950-12-18,281.447174,296.006897,0.000000
1950-12-19,283.625275,292.108276,0.000000
1950-12-20,280.536865,287.794403,11.461224
1950-12-21,281.681610,288.895844,53.610622
1950-12-22,281.049896,290.916748,2.512915
1950-12-23,278.773956,288.364960,0.000000
1950-12-24,267.236206,285.990814,0.000000
1950-12-25,275.699982,288.553467,0.000000
1950-12-26,282.480713,291.441162,1.747730
1950-12-27,284.520691,293.140015,10.991803
1950-12-28,277.629150,290.318176,0.295410
1950-12-29,275.657349,290.439667,0.000000
1950-12-30,275.420532,290.662323,0.000000
1950-12-31,275.436066,289.693176,0.000000
1951-01-01,277.598694,287.787140,0.000000
1951-01-02,280.288483,292.562012,0.000000
1951-01-03,284.743713,292.350861,2.824940
1951-01-04,278.507690,290.935883,0.000000
1951-01-05,277.891785,291.096405,0.000000
1951-01-06,277.217926,290.727234,0.000000
1951-01-07,281.063721,295.847839,0.000000
1951-01-08,284.875244,296.108429,1.009688
1951-01-09,271.262299,292.678497,0.000000
1951-01-10,273.570374,289.553894,0.000000
1951-01-11,275.961700,288.712799,0.330579
1951-01-12,272.773346,284.895630,0.000000
1951-01-13,270.885406,287.711548,0.000000
1951-01-14,279.303619,295.947998,0.000000
1951-01-15,287.166138,300.219635,1.564392
1951-01-16,281.900208,295.864227,0.000000
1951-01-17,276.590515,291.375824,0.000000
1951-01-18,272.961945,284.399567,0.000000
1951-01-19,277.648438,296.094543,3.623015
1951-01-20,280.145477,295.025330,0.596484
1951-01-21,275.575012,290.586639,0.000000
1951-01-22,276.311981,291.224121,0.000000
1951-01-23,277.524231,291.684509,0.559450
1951-01-24,278.936615,293.800964,0.932504
1951-01-25,284.413147,298.070679,2.031141
1951-01-26,279.897766,297.309570,2.686013
1951-01-27,271.620117,285.050354,4.945464
1951-01-28,271.655151,278.673035,6.047128
1951-01-29,268.655823,278.356110,0.000000
1951-01-30,273.695862,279.963013,11.343208
1951-01-31,272.283783,278.909424,0.000000
1951-02-01,271.668030,279.080811,0.000000
1951-02-02,272.776367,282.872925,0.000000
1951-02-03,275.329254,288.027130,0.000000
1951-02-04,277.084106,289.727600,0.000000
1951-02-05,279.520142,290.062714,0.000000
1951-02-06,276.127014,289.849426,0.000000
1951-02-07,273.247528,283.864899,0.000000
1951-02-08,276.591766,288.016602,1.093617
1951-02-09,278.452850,289.835907,3.250237
1951-02-10,271.048615,287.777374,0.000000
1951-02-11,277.239502,296.352631,0.000000
1951-02-12,284.450378,297.395660,0.451228
1951-02-13,278.558441,295.462250,0.000000
1951-02-14,275.358582,290.501373,0.000000
1951-02-15,278.585175,294.602692,0.000000
1951-02-16,279.973328,295.508270,0.000000
1951-02-17,275.831940,294.586761,0.000000
1951-02-18,273.229858,289.406738,0.000000
1951-02-19,273.860291,288.698303,0.000000
1951-02-20,272.781250,287.117065,0.000000
1951-02-21,278.044312,288.492828,1.607543
1951-02-22,281.001068,296.607361,3.371327
1951-02-23,284.749878,298.752686,0.637016
1951-02-24,282.298248,297.838165,0.000000
1951-02-25,276.976624,291.656647,0.000000
1951-02-26,279.779602,290.924957,5.346141
1951-02-27,277.154144,285.137939,9.073547
1951-02-28,279.615387,294.813202,2.681979
1951-03-01,287.495667,299.847198,1.971081
1951-03-02,289.428436,300.290375,0.000000
1951-03-03,286.960510,295.226807,0.000000
1951-03-04,286.375702,293.769165,0.000000
1951-03-05,287.850098,303.402649,0.000000
1951-03-06,288.860321,302.877563,0.000000
1951-03-07,280.948334,299.693756,0.000000
1951-03-08,275.267670,284.975128,0.000000
1951-03-09,277.047180,288.912415,4.012002
1951-03-10,284.534027,299.482605,0.000000
1951-03-11,283.474945,299.142395,0.000000
1951-03-12,287.484589,303.517242,0.000000
1951-03-13,290.810211,303.931091,0.000000
1951-03-14,286.146851,302.605286,0.000000
1951-03-15,279.210571,291.654510,0.000000
1951-03-16,277.111145,291.764923,0.000000
1951-03-17,279.955811,292.101135,0.000000
1951-03-18,284.793671,298.151794,0.328046
1951-03-19,286.474091,295.784180,3.827039
1951-03-20,289.254150,299.152985,1.264987
1951-03-21,282.110138,298.389648,0.000000
1951-03-22,280.119324,297.339081,0.000000
1951-03-23,283.521729,296.156067,0.000000
1951-03-24,274.950439,290.823944,0.612140
1951-03-25,275.941986,290.284546,0.000000
1951-03-26,278.907074,294.611237,0.000000
1951-03-27,283.349335,300.146210,0.000000
1951-03-28,288.739685,301.941895,0.000000
1951-03-29,288.461548,302.575836,0.000000
1951-03-30,289.165527,302.757965,2.792809
1951-03-31,289.598785,301.768890,0.000000
1951-04-01,290.349213,303.713226,0.000000
1951-04-02,290.333710,303.843201,0.000000
1951-04-03,291.585846,303.969849,0.000000
1951-04-04,289.410187,304.488586,0.000000
1951-04-05,292.031555,304.381195,0.000000
1951-04-06,291.228119,304.079010,0.000000
1951-04-07,291.145599,303.339447,0.000000
1951-04-08,284.453949,300.444366,0.000000
1951-04-09,279.494690,296.847229,0.000000
1951-04-10,285.169403,301.931396,0.000000
1951-04-11,290.014618,304.349762,0.000000
1951-04-12,292.675018,307.333496,0.000000
1951-04-13,290.849792,307.620087,0.000000
1951-04-14,292.878876,309.641785,0.000000
1951-04-15,294.941132,309.595825,0.000000
1951-04-16,293.855896,309.298615,0.000000
1951-04-17,288.443085,305.442505,0.000000
1951-04-18,290.489746,303.887756,0.000000
1951-04-19,292.311035,306.730530,2.511925
1951-04-20,291.238525,307.795898,1.794496
1951-04-21,292.452911,306.901733,0.000000
1951-04-22,292.545868,306.250885,0.000000
1951-04-23,292.887604,307.132019,0.000000
1951-04-24,293.332031,308.914001,0.000000
1951-04-25,289.409668,307.494476,0.000000
1951-04-26,286.442749,299.425049,0.000000
1951-04-27,285.068817,301.116730,0.000000
1951-04-28,286.100342,302.260681,0.000000
1951-04-29,287.742737,303.207245,0.000000
1951-04-30,288.534698,303.846558,0.000000
1951-05-01,289.690460,305.236420,0.000000
1951-05-02,290.013519,305.348297,0.000000
1951-05-03,292.160767,304.286469,0.921257
1951-05-04,293.035919,296.972168,26.245296
1951-05-05,290.998993,296.727936,18.868328
1951-05-06,289.652374,301.357330,1.384364
1951-05-07,290.416016,305.652435,0.000000
1951-05-08,292.197021,304.477386,0.000000
1951-05-09,284.103149,299.195496,0.000000
1951-05-10,284.269592,297.626190,0.000000
1951-05-11,284.907227,302.990570,0.000000
1951-05-12,290.290985,302.494598,0.000000
1951-05-13,291.687225,298.903381,0.000000
1951-05-14,288.374084,297.171295,0.000000
1951-05-15,288.365906,296.936371,0.000000
1951-05-16,289.733521,296.491516,4.861347
1951-05-17,287.463379,299.063049,0.000000
1951-05-18,287.711182,305.019043,0.000000
1951-05-19,291.208862,308.082764,0.000000
1951-05-20,294.161011,309.463074,0.000000
1951-05-21,293.838226,307.996338,3.302292
1951-05-22,290.853851,303.101105,0.000000
1951-05-23,291.317993,306.273712,0.000000
1951-05-24,293.020233,306.826752,0.000000
1951-05-25,294.572205,306.396973,2.298734
1951-05-26,293.961151,303.204193,0.937923
1951-05-27,292.927582,298.651215,9.310447
1951-05-28,294.873322,303.317505,35.094109
1951-05-29,292.229034,299.898102,16.789337
1951-05-30,292.198486,302.048248,0.825507
1951-05-31,291.474854,302.481232,0.000000
1951-06-01,292.093964,301.818726,0.000000
1951-06-02,292.088409,303.201416,0.000000
1951-06-03,294.165833,306.624664,0.000000
1951-06-04,294.509644,307.746124,1.541442
1951-06-05,294.380493,307.076721,3.996296
1951-06-06,293.280640,306.626434,0.534314
1951-06-07,294.035278,306.909790,0.000000
1951-06-08,294.556885,307.009186,0.542148
1951-06-09,294.285645,307.758881,0.000000
1951-06-10,295.584351,309.403046,0.000000
1951-06-11,296.059906,310.223297,0.000000
1951-06-12,296.145569,310.214172,0.000000
1951-06-13,296.854126,310.830933,0.000000
1951-06-14,297.435486,310.554382,0.290606
1951-06-15,297.036560,307.521362,2.072056
1951-06-16,296.793945,308.751129,0.000000
1951-06-17,297.206696,309.558014,0.000000
1951-06-18,296.887360,309.402832,2.840018
1951-06-19,296.752563,309.887451,0.000000
1951-06-20,297.509491,310.823425,0.000000
1951-06-21,297.785370,311.698151,0.000000
1951-06-22,297.932159,311.507538,0.657923
1951-06-23,297.829468,311.078430,0.000000
1951-06-24,297.931396,311.514038,0.000000
1951-06-25,297.958832,311.000916,0.000000
1951-06-26,297.135193,310.450195,0.000000
1951-06-27,297.604828,310.397797,0.000000
1951-06-28,297.981171,310.615021,0.000000
1951-06-29,297.311096,310.598511,0.000000
1951-06-30,296.074036,309.499329,0.000000
1951-07-01,295.591064,309.571472,0.000000
1951-07-02,296.905334,311.158417,0.000000
1951-07-03,297.951660,312.296753,0.000000
1951-07-04,298.618896,313.530151,0.000000
1951-07-05,297.926971,312.255646,0.000000
1951-07-06,297.165283,310.768036,0.000000
1951-07-07,297.119690,309.946045,0.000000
1951-07-08,297.259857,310.164612,1.619308
1951-07-09,297.290253,306.821655,15.866653
1951-07-10,295.500854,307.699341,13.163090
1951-07-11,295.496277,307.745270,0.000000
1951-07-12,296.585297,308.211578,2.710248
1951-07-13,297.225281,307.428802,1.998822
1951-07-14,295.616821,307.161438,0.000000
1951-07-15,296.207428,306.757812,0.000000
1951-07-16,296.096039,307.489929,0.000000
1951-07-17,295.670868,307.310944,0.000000
1951-07-18,295.839142,307.679962,0.000000
1951-07-19,295.661102,308.449463,0.000000
1951-07-20,296.550690,308.740173,0.000000
1951-07-21,296.811005,307.644836,0.000000
1951-07-22,296.876434,307.489655,0.000000
1951-07-23,296.509094,307.512024,0.000000
1951-07-24,296.442719,307.690491,0.000000
1951-07-25,296.619995,308.117950,0.000000
1951-07-26,296.780884,308.594025,0.544869
1951-07-27,296.731445,309.129120,0.000000
1951-07-28,296.817291,309.690552,0.000000
1951-07-29,296.646881,310.155365,0.000000
1951-07-30,297.462646,309.173492,0.000000
1951-07-31,296.752563,305.273560,0.000000
1951-08-01,295.036469,307.405945,0.437935
1951-08-02,295.941803,307.871124,0.000000
1951-08-03,296.425385,308.254211,0.000000
1951-08-04,296.991150,309.144867,0.000000
1951-08-05,296.569275,309.884064,0.000000
1951-08-06,296.125366,309.570007,0.000000
1951-08-07,296.666901,310.084534,0.000000
1951-08-08,297.483582,310.181488,0.000000
1951-08-09,296.571655,309.802338,0.000000
1951-08-10,296.354095,310.863922,0.000000
1951-08-11,296.940277,310.945007,0.000000
1951-08-12,296.792999,309.825775,0.000000
