#Variables:
#tasmin_inmcm4_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_inmcm4_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_inmcm4_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_inmcm4_historical(K),tasmax_inmcm4_historical(K),pr_inmcm4_historical(mm)"
""
yyyy-mm-dd,tasmin_inmcm4_historical(K),tasmax_inmcm4_historical(K),pr_inmcm4_historical(mm)
1950-08-29,293.897186,308.441620,0.000000
1950-08-30,291.287872,308.151459,0.000000
1950-08-31,292.472046,309.971497,0.000000
1950-09-01,294.839691,311.999359,0.000000
1950-09-02,295.733124,311.547546,0.000000
1950-09-03,294.809845,309.694977,0.000000
1950-09-04,298.087006,310.038971,3.376001
1950-09-05,296.354828,309.979797,0.000000
1950-09-06,295.117798,307.744202,0.000000
1950-09-07,294.170227,308.235474,0.000000
1950-09-08,293.787567,308.276550,0.417800
1950-09-09,294.797516,307.651672,0.000000
1950-09-10,296.563721,307.354401,0.000000
1950-09-11,299.226044,306.594421,1.257536
1950-09-12,295.670471,306.860352,2.798055
1950-09-13,294.847565,306.999390,0.441132
1950-09-14,293.836395,308.706635,0.000000
1950-09-15,294.090454,307.517761,1.360454
1950-09-16,290.417114,304.909790,0.000000
1950-09-17,289.346069,306.459961,0.000000
1950-09-18,291.909485,306.794922,0.000000
1950-09-19,293.207153,305.992432,1.191110
1950-09-20,293.971161,303.896454,0.000000
1950-09-21,292.884705,305.552216,0.000000
1950-09-22,293.689148,307.004852,0.000000
1950-09-23,292.335724,307.337311,0.000000
1950-09-24,289.601562,307.813934,0.000000
1950-09-25,293.721161,307.420837,0.000000
1950-09-26,295.037964,306.500336,1.905903
1950-09-27,292.085876,305.759003,0.000000
1950-09-28,291.636047,306.333862,0.000000
1950-09-29,291.000702,306.565277,0.000000
1950-09-30,289.712158,306.331604,0.000000
1950-10-01,288.736725,306.302338,0.000000
1950-10-02,288.784393,306.830292,0.000000
1950-10-03,287.719330,305.869659,0.000000
1950-10-04,288.253540,306.263428,0.000000
1950-10-05,290.819916,305.015137,0.000000
1950-10-06,293.948669,301.227142,13.774090
1950-10-07,292.729645,299.833191,19.757137
1950-10-08,292.128662,300.734619,0.000000
1950-10-09,290.728302,301.299805,0.000000
1950-10-10,289.930481,301.160614,0.000000
1950-10-11,293.166931,301.189514,0.000000
1950-10-12,294.874939,302.291656,0.000000
1950-10-13,294.293457,303.347565,0.882754
1950-10-14,293.751373,303.435547,0.377138
1950-10-15,292.157867,305.157196,0.000000
1950-10-16,287.479431,305.330078,2.796144
1950-10-17,278.243835,296.823700,0.397092
1950-10-18,278.167236,299.296387,0.000000
1950-10-19,280.820374,300.094299,0.000000
1950-10-20,282.547516,299.526245,0.000000
1950-10-21,284.192749,301.970398,0.000000
1950-10-22,285.048157,302.170502,0.000000
1950-10-23,285.188416,301.453186,0.000000
1950-10-24,284.031219,301.289032,0.000000
1950-10-25,285.981445,300.052490,0.000000
1950-10-26,290.146851,298.991302,2.862486
1950-10-27,290.171661,297.395630,5.996593
1950-10-28,284.908447,294.161346,0.000000
1950-10-29,276.038818,295.693481,0.000000
1950-10-30,276.200104,298.166168,0.000000
1950-10-31,277.604156,299.404877,0.000000
1950-11-01,282.663177,302.627014,0.000000
1950-11-02,283.682556,303.013184,0.000000
1950-11-03,283.339203,301.173523,0.000000
1950-11-04,283.547333,301.809875,0.000000
1950-11-05,280.988007,299.740845,0.000000
1950-11-06,283.463501,301.540649,0.000000
1950-11-07,281.241913,301.474731,0.000000
1950-11-08,284.194397,304.663574,0.000000
1950-11-09,285.333435,305.272675,0.000000
1950-11-10,284.998627,304.583984,0.000000
1950-11-11,288.269104,299.912659,0.000000
1950-11-12,289.796021,299.866302,0.745782
1950-11-13,289.687195,299.662262,2.529074
1950-11-14,277.114960,287.942780,17.641769
1950-11-15,274.122986,279.090363,0.000000
1950-11-16,281.149384,284.508484,0.000000
1950-11-17,276.682556,286.621826,0.000000
1950-11-18,277.943085,287.760681,0.000000
1950-11-19,285.162598,295.186829,0.491091
1950-11-20,286.159485,295.191345,0.000000
1950-11-21,279.984741,290.237579,0.386887
1950-11-22,277.301544,293.277740,0.000000
1950-11-23,288.456757,294.130096,0.000000
1950-11-24,280.312378,291.662018,0.000000
1950-11-25,271.439819,287.254608,0.000000
1950-11-26,273.368927,291.176819,0.000000
1950-11-27,277.604523,290.628693,0.000000
1950-11-28,280.311523,284.743042,0.000000
1950-11-29,280.843658,283.435791,0.000000
1950-11-30,282.661957,284.781525,0.000000
1950-12-01,284.267853,287.904114,0.280490
1950-12-02,287.417053,293.820557,0.000000
1950-12-03,284.792542,296.427734,0.000000
1950-12-04,287.708435,298.320099,0.000000
1950-12-05,288.368835,298.616180,0.000000
1950-12-06,283.936493,298.388092,0.000000
1950-12-07,283.934143,297.721069,0.000000
1950-12-08,284.498352,297.302155,0.000000
1950-12-09,285.894623,296.047791,0.000000
1950-12-10,285.792297,295.761841,0.000000
1950-12-11,283.138397,296.890381,1.476779
1950-12-12,286.762146,296.407013,0.807640
1950-12-13,286.902618,297.743744,0.000000
1950-12-14,287.214539,297.129547,1.774386
1950-12-15,288.676178,297.305237,0.000000
1950-12-16,288.495148,296.489166,0.000000
1950-12-17,281.255646,293.517303,0.000000
1950-12-18,276.059174,282.690826,6.914591
1950-12-19,273.418915,277.218842,0.000000
1950-12-20,273.563660,278.554840,0.000000
1950-12-21,278.294128,286.650391,1.104433
1950-12-22,275.646545,286.180664,1.194733
1950-12-23,273.555695,280.973450,0.000000
1950-12-24,270.771423,280.756378,0.000000
1950-12-25,270.257446,281.227570,0.000000
1950-12-26,272.372528,283.367218,0.000000
1950-12-27,274.114319,288.760376,0.000000
1950-12-28,274.482056,290.875031,0.000000
1950-12-29,275.511414,291.207367,0.000000
1950-12-30,281.186157,292.709137,0.000000
1950-12-31,285.088501,294.904205,13.248768
1951-01-01,278.009399,288.255585,0.462488
1951-01-02,272.077728,282.843109,0.000000
1951-01-03,276.637085,280.075684,2.233345
1951-01-04,275.448822,282.156830,27.388409
1951-01-05,280.288483,284.763184,0.000000
1951-01-06,271.976257,286.201263,0.000000
1951-01-07,273.566162,286.887360,0.000000
1951-01-08,277.351532,288.577881,0.000000
1951-01-09,278.725037,293.287079,0.000000
1951-01-10,281.498840,293.151733,0.000000
1951-01-11,274.180481,286.757965,0.000000
1951-01-12,275.651764,279.766541,0.361219
1951-01-13,279.605469,281.714844,2.132494
1951-01-14,278.054260,286.163818,0.000000
1951-01-15,274.993744,286.738037,0.000000
1951-01-16,278.578796,285.623596,0.615247
1951-01-17,276.515503,283.539520,0.000000
1951-01-18,273.691040,288.971924,0.000000
1951-01-19,275.781158,295.856750,0.000000
1951-01-20,275.758942,296.553223,0.000000
1951-01-21,280.104340,296.166321,0.000000
1951-01-22,281.728180,295.796631,0.000000
1951-01-23,279.435242,296.071808,0.000000
1951-01-24,270.375732,291.182617,0.000000
1951-01-25,280.025726,295.046661,0.000000
1951-01-26,282.988464,292.297089,21.319960
1951-01-27,284.452728,291.332245,3.535730
1951-01-28,282.948700,285.902374,0.000000
1951-01-29,282.718811,285.364014,0.569673
1951-01-30,279.550995,282.869324,0.000000
1951-01-31,274.548462,283.327148,0.000000
1951-02-01,277.139008,287.780640,0.000000
1951-02-02,277.798157,290.321167,0.000000
1951-02-03,275.876373,294.195770,0.000000
1951-02-04,277.885345,297.424103,0.000000
1951-02-05,277.228760,297.580841,0.000000
1951-02-06,276.219086,295.107269,0.000000
1951-02-07,282.321899,296.616425,0.000000
1951-02-08,283.765686,296.539917,0.000000
1951-02-09,285.500946,297.765686,0.000000
1951-02-10,272.877747,297.599396,0.000000
1951-02-11,278.392426,291.151978,0.000000
1951-02-12,277.146332,280.032410,0.000000
1951-02-13,266.111481,282.348419,0.000000
1951-02-14,265.586151,289.579437,0.000000
1951-02-15,276.770355,295.290253,0.000000
1951-02-16,277.723145,294.813202,0.000000
1951-02-17,264.482910,293.122528,0.000000
1951-02-18,270.144318,296.662994,0.000000
1951-02-19,272.671722,300.499664,0.000000
1951-02-20,279.973999,302.071381,0.000000
1951-02-21,287.662476,302.499725,0.000000
1951-02-22,288.461731,299.797852,3.512942
1951-02-23,286.954254,292.579926,5.299141
1951-02-24,279.730255,291.235931,0.000000
1951-02-25,287.059601,298.778320,0.000000
1951-02-26,287.231720,298.594238,3.166930
1951-02-27,282.766235,293.080292,0.880754
1951-02-28,281.839752,294.016357,0.000000
1951-03-01,283.120026,293.766846,0.000000
1951-03-02,280.442719,293.085541,0.000000
1951-03-03,280.536804,292.322296,0.000000
1951-03-04,287.067566,293.249878,0.000000
1951-03-05,289.102356,299.973724,0.000000
1951-03-06,282.243652,300.492004,0.000000
1951-03-07,285.501831,299.903168,0.000000
1951-03-08,276.940643,297.941223,0.000000
1951-03-09,272.448181,292.445251,0.000000
1951-03-10,269.432709,294.649963,0.000000
1951-03-11,281.388641,299.197754,0.000000
1951-03-12,286.662506,299.673004,0.000000
1951-03-13,261.461578,289.834839,0.000000
1951-03-14,270.457123,297.351624,0.000000
1951-03-15,279.776154,301.578369,0.000000
1951-03-16,285.798523,302.366272,0.000000
1951-03-17,288.784302,300.090820,0.295507
1951-03-18,286.952484,296.611023,19.999018
1951-03-19,288.001160,295.199829,11.083554
1951-03-20,285.881592,291.100403,0.626481
1951-03-21,282.110138,294.153320,0.000000
1951-03-22,280.779663,294.013672,0.000000
1951-03-23,285.280426,295.106323,0.000000
1951-03-24,288.611755,298.451782,0.000000
1951-03-25,289.410217,301.293854,0.000000
1951-03-26,290.098145,301.070007,0.000000
1951-03-27,287.868286,300.220642,0.366364
1951-03-28,287.665894,301.376038,0.854234
1951-03-29,278.198761,301.112488,2.515994
1951-03-30,276.160919,297.682678,0.000000
1951-03-31,279.171661,300.825073,0.000000
1951-04-01,280.763458,303.125793,0.000000
1951-04-02,289.471954,303.211914,0.000000
1951-04-03,284.827240,301.385498,0.000000
1951-04-04,281.134155,300.719574,0.000000
1951-04-05,282.410370,300.474304,0.000000
1951-04-06,289.207458,300.706390,0.000000
1951-04-07,290.768494,300.350922,1.954294
1951-04-08,276.802856,303.963257,0.000000
1951-04-09,279.561951,303.957062,0.000000
1951-04-10,286.367828,303.317719,0.000000
1951-04-11,285.781525,304.082703,0.000000
1951-04-12,289.619385,309.499329,0.000000
1951-04-13,282.618713,309.901337,0.000000
1951-04-14,284.402130,306.178192,0.000000
1951-04-15,288.418549,302.237061,0.000000
1951-04-16,292.417145,303.204651,9.976659
1951-04-17,289.540924,304.761780,0.000000
1951-04-18,292.069092,304.684814,4.169855
1951-04-19,290.917206,302.837708,0.000000
1951-04-20,288.589233,303.159576,0.000000
1951-04-21,293.264313,304.791473,1.773420
1951-04-22,288.492126,303.751282,5.432114
1951-04-23,290.529694,303.887756,1.979951
1951-04-24,287.966400,302.929932,0.000000
1951-04-25,290.651581,305.221191,0.000000
1951-04-26,293.392212,306.717804,0.000000
1951-04-27,293.330505,306.875153,0.000000
1951-04-28,291.692535,305.088959,0.000000
1951-04-29,291.737671,305.721649,0.000000
1951-04-30,289.149475,305.929962,0.000000
1951-05-01,284.440308,306.024597,0.000000
1951-05-02,294.935913,305.959351,1.553946
1951-05-03,287.032715,305.935516,2.499420
1951-05-04,291.798370,305.444519,0.000000
1951-05-05,291.563721,303.476074,0.000000
1951-05-06,286.696686,303.338196,0.000000
1951-05-07,285.845551,304.993347,0.000000
1951-05-08,291.070435,306.823730,0.000000
1951-05-09,290.838501,306.906982,0.000000
1951-05-10,293.057098,306.556427,0.000000
1951-05-11,291.663116,306.397858,0.833148
1951-05-12,293.372009,305.527802,4.567530
1951-05-13,288.816315,303.437439,0.000000
1951-05-14,289.631439,306.392395,0.000000
1951-05-15,291.835327,307.958679,0.000000
1951-05-16,284.578308,308.412964,0.000000
1951-05-17,287.990204,308.327118,0.000000
1951-05-18,284.299988,303.201019,0.000000
1951-05-19,284.601746,304.660828,0.000000
1951-05-20,291.846741,305.915558,0.000000
1951-05-21,293.460785,307.758636,0.000000
1951-05-22,293.398529,306.583252,0.000000
1951-05-23,294.288361,305.439056,0.000000
1951-05-24,294.501831,306.063293,0.000000
1951-05-25,293.694702,306.342346,0.000000
1951-05-26,295.439240,304.832764,2.313348
1951-05-27,291.728729,302.019897,10.069858
1951-05-28,292.592407,303.317505,5.656407
1951-05-29,295.386139,305.811127,0.280391
1951-05-30,294.547852,310.909790,0.000000
1951-05-31,286.908478,310.940125,0.000000
1951-06-01,289.329010,311.511139,0.000000
1951-06-02,295.860107,311.767822,0.000000
1951-06-03,292.393738,311.702637,4.360764
1951-06-04,293.810272,310.946167,0.000000
1951-06-05,297.444794,310.009369,0.570056
1951-06-06,295.815857,308.855072,0.000000
1951-06-07,294.934082,307.501556,0.000000
1951-06-08,295.136383,307.380280,0.900849
1951-06-09,294.889374,306.994110,5.718104
1951-06-10,291.572144,306.393005,0.000000
1951-06-11,294.338196,306.752167,0.292213
1951-06-12,295.457581,306.705139,1.311371
1951-06-13,294.857422,306.029999,0.000000
1951-06-14,295.208160,306.741699,2.599968
1951-06-15,295.749420,304.562988,10.708196
1951-06-16,297.016022,304.976044,18.960854
1951-06-17,298.538177,304.276917,1.413381
1951-06-18,298.075806,305.937317,0.920878
1951-06-19,291.466675,310.963165,2.026530
1951-06-20,296.813538,311.384796,0.000000
1951-06-21,297.311096,312.032196,3.239779
1951-06-22,298.142944,310.242188,0.000000
1951-06-23,297.703888,308.903412,1.140599
1951-06-24,295.882935,308.377319,1.668266
1951-06-25,296.382507,307.546936,0.000000
1951-06-26,296.273773,307.906433,0.000000
1951-06-27,295.726746,307.917908,0.000000
1951-06-28,295.205383,307.411407,0.000000
1951-06-29,295.318115,307.501648,0.000000
1951-06-30,293.791138,308.715698,0.000000
1951-07-01,294.379547,309.943909,0.000000
1951-07-02,294.452820,310.965424,0.000000
1951-07-03,296.302521,311.375549,0.000000
1951-07-04,297.225281,311.436829,0.000000
1951-07-05,297.253235,311.578491,0.000000
1951-07-06,296.707581,311.158417,0.312804
1951-07-07,297.708069,308.260498,2.601971
1951-07-08,294.790649,306.195679,0.000000
1951-07-09,295.168213,305.704041,0.000000
1951-07-10,294.860901,307.288727,0.000000
1951-07-11,296.033936,308.617584,0.000000
1951-07-12,296.635559,308.437225,1.662228
1951-07-13,295.259186,308.719299,0.000000
1951-07-14,296.428436,309.362701,0.000000
1951-07-15,298.185150,309.763824,0.979054
1951-07-16,297.563904,304.565430,10.864264
1951-07-17,296.244537,306.261749,3.583689
1951-07-18,297.110260,309.630157,0.323643
1951-07-19,298.825684,310.623596,0.000000
1951-07-20,299.001160,310.873505,0.000000
1951-07-21,297.863953,310.244202,0.000000
1951-07-22,296.712280,308.162018,0.000000
1951-07-23,295.985260,309.752411,0.000000
1951-07-24,295.946777,310.203552,0.000000
1951-07-25,296.169800,310.520294,0.000000
1951-07-26,296.034943,310.192413,0.000000
1951-07-27,296.238953,308.955505,0.000000
1951-07-28,295.638184,308.462738,0.000000
1951-07-29,295.732300,307.998199,0.000000
1951-07-30,297.326874,308.319397,0.000000
1951-07-31,295.239655,309.847260,0.000000
1951-08-01,294.654816,310.020752,0.000000
1951-08-02,295.100677,310.397034,1.110746
1951-08-03,295.630219,310.865906,0.000000
1951-08-04,296.189758,311.560730,2.484564
1951-08-05,301.337738,312.328949,0.000000
1951-08-06,301.523193,312.753967,7.355377
1951-08-07,295.861023,311.590271,2.417297
1951-08-08,295.581116,310.177246,0.294759
1951-08-09,295.034424,309.442596,0.305912
1951-08-10,295.843323,310.388824,0.000000
1951-08-11,296.296265,310.610291,0.000000
1951-08-12,295.909119,310.601044,0.000000
1951-08-13,297.424774,310.203613,3.358119
1951-08-14,298.315033,310.476074,0.743426
1951-08-15,296.600800,309.606873,0.000000
1951-08-16,297.376617,310.641663,0.000000
1951-08-17,296.912140,308.488251,1.149817
