#Variables:,
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K)",
3/28/2006,280.199097
3/29/2006,279.511627
3/30/2006,282.75528
3/31/2006,283.539551
4/1/2006,287.445862
4/2/2006,287.083771
4/3/2006,287.431519
4/4/2006,283.893158
4/5/2006,286.897308
4/6/2006,290.495453
4/7/2006,291.27243
4/8/2006,291.045013
4/9/2006,290.528259
4/10/2006,286.740173
4/11/2006,287.553589
4/12/2006,293.013367
4/13/2006,294.506958
4/14/2006,294.43454
4/15/2006,293.899872
4/16/2006,293.931915
4/17/2006,290.916382
4/18/2006,292.595734
4/19/2006,292.845398
4/20/2006,284.634369
4/21/2006,284.033112
4/22/2006,284.789032
4/23/2006,292.125366
4/24/2006,290.191284
4/25/2006,290.656921
4/26/2006,289.403473
4/27/2006,292.422058
4/28/2006,293.311035
4/29/2006,292.964783
4/30/2006,290.889282
5/1/2006,290.830414
5/2/2006,292.447266
5/3/2006,293.439545
5/4/2006,294.322479
5/5/2006,295.831512
5/6/2006,295.720856
5/7/2006,294.176514
5/8/2006,294.399261
5/9/2006,294.892273
5/10/2006,294.995819
5/11/2006,294.965607
5/12/2006,293.613495
5/13/2006,292.340668
5/14/2006,289.89035
5/15/2006,290.819946
5/16/2006,292.342102
5/17/2006,291.823334
5/18/2006,289.607941
5/19/2006,289.577057
5/20/2006,290.178741
5/21/2006,290.835754
5/22/2006,292.240417
5/23/2006,290.157928
5/24/2006,290.563599
5/25/2006,291.330475
5/26/2006,294.363159
5/27/2006,295.524719
5/28/2006,295.447601
5/29/2006,297.142517
5/30/2006,293.780212
5/31/2006,295.742035
6/1/2006,295.33963
6/2/2006,294.702759
6/3/2006,294.289032
6/4/2006,295.959412
6/5/2006,294.696014
6/6/2006,294.303406
6/7/2006,294.928802
6/8/2006,294.417389
6/9/2006,295.867279
6/10/2006,296.60257
6/11/2006,297.031067
6/12/2006,295.901245
6/13/2006,295.57959
6/14/2006,294.026001
6/15/2006,293.3974
6/16/2006,293.824036
6/17/2006,294.471741
6/18/2006,295.738678
6/19/2006,296.897217
6/20/2006,299.561371
6/21/2006,299.532806
6/22/2006,300.093658
6/23/2006,298.870728
6/24/2006,298.142975
6/25/2006,297.273743
6/26/2006,297.938019
6/27/2006,298.731659
6/28/2006,297.507904
6/29/2006,296.884888
6/30/2006,295.759644
7/1/2006,296.097992
7/2/2006,295.808746
7/3/2006,296.270325
7/4/2006,297.143036
7/5/2006,297.25235
7/6/2006,297.96521
7/7/2006,298.451263
7/8/2006,299.131989
7/9/2006,299.575806
7/10/2006,299.606323
7/11/2006,298.732483
7/12/2006,298.528351
7/13/2006,298.382172
7/14/2006,297.768158
7/15/2006,297.662842
7/16/2006,297.373352
7/17/2006,297.47464
7/18/2006,299.586731
7/19/2006,300.235565
7/20/2006,300.273773
7/21/2006,298.843903
7/22/2006,297.322845
7/23/2006,297.581451
7/24/2006,298.42807
7/25/2006,298.005463
7/26/2006,298.158325
7/27/2006,299.060394
7/28/2006,298.801086
7/29/2006,297.426605
7/30/2006,297.154724
7/31/2006,296.848999
8/1/2006,296.199615
8/2/2006,297.180176
8/3/2006,297.803467
8/4/2006,298.909271
8/5/2006,298.514923
8/6/2006,297.410767
8/7/2006,298.470306
8/8/2006,298.556244
8/9/2006,297.385284
8/10/2006,296.223755
8/11/2006,297.405884
8/12/2006,298.930939
8/13/2006,299.019806
8/14/2006,299.417877
8/15/2006,299.716705
8/16/2006,299.511597
8/17/2006,298.908966
8/18/2006,298.48587
8/19/2006,297.872803
8/20/2006,297.739105
8/21/2006,297.482941
8/22/2006,296.834595
8/23/2006,296.398102
8/24/2006,297.744507
8/25/2006,298.887909
8/26/2006,297.948822
8/27/2006,298.363953
8/28/2006,297.070526
8/29/2006,297.291718
8/30/2006,296.651276
8/31/2006,296.461487
9/1/2006,296.942505
9/2/2006,296.997925
9/3/2006,296.63797
9/4/2006,295.095154
9/5/2006,293.397644
9/6/2006,293.800415
9/7/2006,293.48999
9/8/2006,292.782471
9/9/2006,293.137115
9/10/2006,293.137573
9/11/2006,293.371399
9/12/2006,292.901611
9/13/2006,293.72525
9/14/2006,294.976624
9/15/2006,297.586578
9/16/2006,297.888245
9/17/2006,296.025543
9/18/2006,295.081604
9/19/2006,293.152985
9/20/2006,294.859406
9/21/2006,294.193176
9/22/2006,292.345703
9/23/2006,293.619415
9/24/2006,294.314026
9/25/2006,294.962982
9/26/2006,294.588043
9/27/2006,295.47113
9/28/2006,296.541046
9/29/2006,296.967133
9/30/2006,295.63504
10/1/2006,295.86319
10/2/2006,296.296509
10/3/2006,295.197296
10/4/2006,293.101166
10/5/2006,294.423706
10/6/2006,293.566071
10/7/2006,293.885529
10/8/2006,294.690918
10/9/2006,287.165802
10/10/2006,279.791718
10/11/2006,275.397675
10/12/2006,278.507843
10/13/2006,278.883606
10/14/2006,280.022919
10/15/2006,281.52533
10/16/2006,282.844177
10/17/2006,283.552521
10/18/2006,284.80426
10/19/2006,285.515137
10/20/2006,286.713043
10/21/2006,290.612732
10/22/2006,290.005463
10/23/2006,290.083374
10/24/2006,288.014282
10/25/2006,284.572052
10/26/2006,281.720825
10/27/2006,281.902161
10/28/2006,282.536346
10/29/2006,283.033081
10/30/2006,283.142792
10/31/2006,282.671478
11/1/2006,283.304901
11/2/2006,285.370758
11/3/2006,288.857574
11/4/2006,290.813354
11/5/2006,292.548553
11/6/2006,290.569794
11/7/2006,288.941193
11/8/2006,289.822754
11/9/2006,290.840179
11/10/2006,292.492401
11/11/2006,289.995941
11/12/2006,287.250793
11/13/2006,287.351776
11/14/2006,288.440674
11/15/2006,286.654053
11/16/2006,281.718842
11/17/2006,286.713898
11/18/2006,288.065796
11/19/2006,290.032166
11/20/2006,288.929077
11/21/2006,281.235962
11/22/2006,277.420715
11/23/2006,284.344452
11/24/2006,283.856445
11/25/2006,278.599274
11/26/2006,279.860596
11/27/2006,282.816528
11/28/2006,280.297638
11/29/2006,281.768555
11/30/2006,281.713287
12/1/2006,275.275848
12/2/2006,277.117401
12/3/2006,277.849487
12/4/2006,277.434082
12/5/2006,273.779663
12/6/2006,275.126343
12/7/2006,277.627441
12/8/2006,279.743835
12/9/2006,278.011047
12/10/2006,273.566925
12/11/2006,271.200256
12/12/2006,270.458801
12/13/2006,272.395477
12/14/2006,277.167847
12/15/2006,276.955566
12/16/2006,270.638611
12/17/2006,270.714813
12/18/2006,279.540192
12/19/2006,281.424438
12/20/2006,284.406586
12/21/2006,281.565186
12/22/2006,283.044373
12/23/2006,279.089783
12/24/2006,274.733521
12/25/2006,270.703003
12/26/2006,276.502258
12/27/2006,277.017426
12/28/2006,279.145569
12/29/2006,278.54425
12/30/2006,278.814514
12/31/2006,283.200806
1/1/2007,275.861237
1/2/2007,276.24939
1/3/2007,277.642883
1/4/2007,280.177185
1/5/2007,279.474731
1/6/2007,284.432312
1/7/2007,282.494263
1/8/2007,279.665558
1/9/2007,283.243408
1/10/2007,280.182068
1/11/2007,278.082184
1/12/2007,272.254486
1/13/2007,276.297272
1/14/2007,276.240326
1/15/2007,275.710205
1/16/2007,279.689392
1/17/2007,276.042786
1/18/2007,282.229004
1/19/2007,278.95871
1/20/2007,280.894348
1/21/2007,277.79599
1/22/2007,271.327332
1/23/2007,271.818665
1/24/2007,272.630829
1/25/2007,275.28595
1/26/2007,277.38736
1/27/2007,280.098541
1/28/2007,276.018829
1/29/2007,276.876343
1/30/2007,277.856567
1/31/2007,278.252411
2/1/2007,278.563995
2/2/2007,276.546539
2/3/2007,274.891602
2/4/2007,273.540649
2/5/2007,277.568604
2/6/2007,281.055511
2/7/2007,283.778656
2/8/2007,282.371918
2/9/2007,285.317566
2/10/2007,283.658722
2/11/2007,282.806519
2/12/2007,282.437744
2/13/2007,284.206726
2/14/2007,282.048065
2/15/2007,285.555023
2/16/2007,283.214478
2/17/2007,278.531921
2/18/2007,280.161835
2/19/2007,283.879547
2/20/2007,278.997253
2/21/2007,283.794189
2/22/2007,285.552338
2/23/2007,285.536804
2/24/2007,284.004303
2/25/2007,279.314667
2/26/2007,276.35379
2/27/2007,277.763428
2/28/2007,278.840515
3/1/2007,282.755646
3/2/2007,282.589722
3/3/2007,283.833252
3/4/2007,288.542664
3/5/2007,286.096588
3/6/2007,280.163055
3/7/2007,281.157745
3/8/2007,282.938721
3/9/2007,286.670288
3/10/2007,286.089233
3/11/2007,286.744354
3/12/2007,287.319519
3/13/2007,287.313965
3/14/2007,283.016022
3/15/2007,282.697784
3/16/2007,287.63913
3/17/2007,284.780121
3/18/2007,280.722504
3/19/2007,280.027557
3/20/2007,282.560638
3/21/2007,286.153687
3/22/2007,289.072205
3/23/2007,280.991119
3/24/2007,280.947876
3/25/2007,281.957092
3/26/2007,285.309418
3/27/2007,286.982056
3/28/2007,284.958008
3/29/2007,282.533112
3/30/2007,283.106262
3/31/2007,285.551758
4/1/2007,278.733582
4/2/2007,280.599335
4/3/2007,282.41452
4/4/2007,285.564606
4/5/2007,289.391083
4/6/2007,289.531189
4/7/2007,291.255249
4/8/2007,288.59433
4/9/2007,285.585022
4/10/2007,289.271057
4/11/2007,290.577515
4/12/2007,292.884918
4/13/2007,283.315247
4/14/2007,280.483673
4/15/2007,281.886688
4/16/2007,287.181427
4/17/2007,286.873108
4/18/2007,287.20752
4/19/2007,287.265656
4/20/2007,290.734497
4/21/2007,289.725616
4/22/2007,286.8526
4/23/2007,287.557953
4/24/2007,283.63028
4/25/2007,286.455017
4/26/2007,289.807678
4/27/2007,286.858887
4/28/2007,284.385437
4/29/2007,285.307709
4/30/2007,289.721069
5/1/2007,291.065002
5/2/2007,287.093018
5/3/2007,284.50174
5/4/2007,287.651245
5/5/2007,290.556274
5/6/2007,292.103424
5/7/2007,293.065887
5/8/2007,293.308685
5/9/2007,293.430939
5/10/2007,291.749268
5/11/2007,293.443726
5/12/2007,291.894379
5/13/2007,290.410553
5/14/2007,290.464661
5/15/2007,290.546204
5/16/2007,291.063049
5/17/2007,291.245178
5/18/2007,290.684448
5/19/2007,291.062897
5/20/2007,290.522003
5/21/2007,291.007507
5/22/2007,290.979797
5/23/2007,292.287811
5/24/2007,293.651978
5/25/2007,294.434692
5/26/2007,294.625061
5/27/2007,294.803741
5/28/2007,294.560364
5/29/2007,294.766418
5/30/2007,293.647461
5/31/2007,291.69632
6/1/2007,291.922852
6/2/2007,292.124359
6/3/2007,293.009888
6/4/2007,294.43515
6/5/2007,295.44104
6/6/2007,295.969055
6/7/2007,295.408844
6/8/2007,297.638184
6/9/2007,297.480988
6/10/2007,295.672699
6/11/2007,295.693695
6/12/2007,295.339996
6/13/2007,295.553223
6/14/2007,296.368988
6/15/2007,296.654907
6/16/2007,296.569244
6/17/2007,295.693542
6/18/2007,295.778473
6/19/2007,296.788361
6/20/2007,297.449341
6/21/2007,297.757629
6/22/2007,297.019531
6/23/2007,297.147461
6/24/2007,294.583618
6/25/2007,297.077972
6/26/2007,300.07486
6/27/2007,299.629639
6/28/2007,298.934662
6/29/2007,299.064941
6/30/2007,298.098846
7/1/2007,298.362427
7/2/2007,297.673065
7/3/2007,297.617004
7/4/2007,297.839172
7/5/2007,298.33255
7/6/2007,298.004608
7/7/2007,297.741302
7/8/2007,298.652924
7/9/2007,297.668762
7/10/2007,298.100616
7/11/2007,297.83017
7/12/2007,297.159729
7/13/2007,297.92926
7/14/2007,298.07312
7/15/2007,297.923218
7/16/2007,297.943298
7/17/2007,298.282745
7/18/2007,297.511536
7/19/2007,297.693024
7/20/2007,298.113068
7/21/2007,296.817993
7/22/2007,297.02417
7/23/2007,296.803833
7/24/2007,296.986023
7/25/2007,297.718842
7/26/2007,297.64209
7/27/2007,297.064667
7/28/2007,297.553711
7/29/2007,296.799683
7/30/2007,297.183746
7/31/2007,296.829071
8/1/2007,296.618683
8/2/2007,297.689514
8/3/2007,297.529785
8/4/2007,297.090851
8/5/2007,297.923645
8/6/2007,297.044281
8/7/2007,295.768494
8/8/2007,296.983032
8/9/2007,296.281891
8/10/2007,296.807373
8/11/2007,297.472443
8/12/2007,299.765259
8/13/2007,297.962677
8/14/2007,298.00824
8/15/2007,297.751984
8/16/2007,297.592163
8/17/2007,296.929962
8/18/2007,296.869354
8/19/2007,297.198914
8/20/2007,298.781342
8/21/2007,298.863892
8/22/2007,296.412445
8/23/2007,296.145599
8/24/2007,297.016785
8/25/2007,296.949249
8/26/2007,298.032074
8/27/2007,297.517609
8/28/2007,296.315735
8/29/2007,293.174683
8/30/2007,294.126312
8/31/2007,295.552277
9/1/2007,296.145294
9/2/2007,294.996674
9/3/2007,295.814117
9/4/2007,295.584381
9/5/2007,294.428528
9/6/2007,295.288666
9/7/2007,293.613312
9/8/2007,293.199524
9/9/2007,293.798401
9/10/2007,294.236145
9/11/2007,294.034973
9/12/2007,292.351318
9/13/2007,293.103546
9/14/2007,293.238922
9/15/2007,292.17923
9/16/2007,291.400879
9/17/2007,290.909027
9/18/2007,292.46579
9/19/2007,294.760864
9/20/2007,294.680695
9/21/2007,293.794281
9/22/2007,293.25708
9/23/2007,294.218414
9/24/2007,294.96463
9/25/2007,291.406586
9/26/2007,289.145996
9/27/2007,287.853638
9/28/2007,288.136688
9/29/2007,289.984161
9/30/2007,293.526947
10/1/2007,295.70401
10/2/2007,296.050232
10/3/2007,295.235229
10/4/2007,292.877014
10/5/2007,287.092499
10/6/2007,284.264465
10/7/2007,284.605286
10/8/2007,284.802917
10/9/2007,285.491821
10/10/2007,285.972015
10/11/2007,289.058655
10/12/2007,286.735352
10/13/2007,290.737183
10/14/2007,289.398499
10/15/2007,290.569824
10/16/2007,289.759521
10/17/2007,290.913391
10/18/2007,289.106659
10/19/2007,287.773743
10/20/2007,289.668427
10/21/2007,287.101288
10/22/2007,290.817047
10/23/2007,290.648712
10/24/2007,290.077393
10/25/2007,291.79483
10/26/2007,292.560211
10/27/2007,290.770264
10/28/2007,287.375885
10/29/2007,279.938385
10/30/2007,282.524658
10/31/2007,282.702057
11/1/2007,287.11673
11/2/2007,291.955688
11/3/2007,290.835999
11/4/2007,290.358765
11/5/2007,285.693787
11/6/2007,274.572998
11/7/2007,269.842865
11/8/2007,277.150665
11/9/2007,276.655396
11/10/2007,282.151825
11/11/2007,284.592224
11/12/2007,286.798218
11/13/2007,285.494415
11/14/2007,285.152405
11/15/2007,286.901978
11/16/2007,286.77475
11/17/2007,286.136383
11/18/2007,279.611511
11/19/2007,277.91156
11/20/2007,279.311432
11/21/2007,282.208099
11/22/2007,283.855469
11/23/2007,283.922394
11/24/2007,284.676025
11/25/2007,286.219421
11/26/2007,279.090424
11/27/2007,280.883667
11/28/2007,283.474609
11/29/2007,278.990387
11/30/2007,279.844849
12/1/2007,288.129669
12/2/2007,282.665741
12/3/2007,280.925446
12/4/2007,280.845734
12/5/2007,287.493408
12/6/2007,286.546875
12/7/2007,280.877991
12/8/2007,284.744263
12/9/2007,276.408051
12/10/2007,276.863129
12/11/2007,270.981049
12/12/2007,270.656677
12/13/2007,273.911804
12/14/2007,270.769806
12/15/2007,268.257782
12/16/2007,270.546173
12/17/2007,272.7258
12/18/2007,275.220642
12/19/2007,281.972229
12/20/2007,277.823151
12/21/2007,283.015778
12/22/2007,280.274475
12/23/2007,287.273499
12/24/2007,281.599609
12/25/2007,268.507263
12/26/2007,265.254639
12/27/2007,269.897705
12/28/2007,270.504272
12/29/2007,269.456635
12/30/2007,274.847534
12/31/2007,281.545563
1/1/2008,283.555389
1/2/2008,284.485931
1/3/2008,272.889221
1/4/2008,270.630493
1/5/2008,272.324219
1/6/2008,275.105743
1/7/2008,274.419647
1/8/2008,271.816071
1/9/2008,269.764832
1/10/2008,269.130005
1/11/2008,271.848053
1/12/2008,274.132324
1/13/2008,275.704285
1/14/2008,276.723541
1/15/2008,274.420349
1/16/2008,275.661865
1/17/2008,275.555817
1/18/2008,283.649841
1/19/2008,280.437653
1/20/2008,273.775177
1/21/2008,274.254425
1/22/2008,278.22229
1/23/2008,281.807404
1/24/2008,278.210114
1/25/2008,285.141998
1/26/2008,286.876892
1/27/2008,285.423889
1/28/2008,277.603149
1/29/2008,275.931061
1/30/2008,275.009857
1/31/2008,272.643158
2/1/2008,272.41803
2/2/2008,273.073151
2/3/2008,275.054535
2/4/2008,280.328339
2/5/2008,278.459473
2/6/2008,274.327118
2/7/2008,274.492188
2/8/2008,269.66803
2/9/2008,271.157288
2/10/2008,268.797241
2/11/2008,271.070221
2/12/2008,273.807709
2/13/2008,274.53595
2/14/2008,273.350708
2/15/2008,277.94281
2/16/2008,280.262329
2/17/2008,283.994019
2/18/2008,287.238159
2/19/2008,287.276672
2/20/2008,288.428009
2/21/2008,288.681885
2/22/2008,289.071167
2/23/2008,289.414978
2/24/2008,288.374664
2/25/2008,282.724518
2/26/2008,276.727386
2/27/2008,278.270874
2/28/2008,281.44812
2/29/2008,283.929901
3/1/2008,286.411682
3/2/2008,290.18808
3/3/2008,291.45163
3/4/2008,275.847534
3/5/2008,276.121368
3/6/2008,280.557526
3/7/2008,287.970947
3/8/2008,290.197723
3/9/2008,291.468231
3/10/2008,291.244965
3/11/2008,286.041565
3/12/2008,285.751282
3/13/2008,283.581055
3/14/2008,286.237732
3/15/2008,285.456451
3/16/2008,287.749084
3/17/2008,289.553894
3/18/2008,292.112671
3/19/2008,291.467743
3/20/2008,291.382446
3/21/2008,291.452728
3/22/2008,292.10614
3/23/2008,286.656403
3/24/2008,284.688477
3/25/2008,286.807648
3/26/2008,289.279999
3/27/2008,288.817474
3/28/2008,288.266754
3/29/2008,289.387695
3/30/2008,289.456604
3/31/2008,289.656372
4/1/2008,292.232971
4/2/2008,293.303101
4/3/2008,292.977692
4/4/2008,292.784363
4/5/2008,293.855469
4/6/2008,289.583954
4/7/2008,283.827332
4/8/2008,287.561096
4/9/2008,290.60965
4/10/2008,290.256012
4/11/2008,289.721313
4/12/2008,291.709564
4/13/2008,291.963318
4/14/2008,292.062347
4/15/2008,292.182434
4/16/2008,291.233795
4/17/2008,291.615723
4/18/2008,294.39093
4/19/2008,294.358826
4/20/2008,288.291351
4/21/2008,285.058594
4/22/2008,289.208344
4/23/2008,293.38205
4/24/2008,292.934723
4/25/2008,292.362305
4/26/2008,295.289734
4/27/2008,294.774872
4/28/2008,293.197571
4/29/2008,293.642029
4/30/2008,292.484863
5/1/2008,293.309662
5/2/2008,294.377625
5/3/2008,294.955109
5/4/2008,293.509613
5/5/2008,295.473663
5/6/2008,294.385437
5/7/2008,294.85321
5/8/2008,295.280426
5/9/2008,295.668549
5/10/2008,295.787781
5/11/2008,295.660828
5/12/2008,295.447906
5/13/2008,295.929688
5/14/2008,294.634766
5/15/2008,295.442657
5/16/2008,290.178009
5/17/2008,280.997742
5/18/2008,282.411346
5/19/2008,287.332703
5/20/2008,289.098083
5/21/2008,292.022919
5/22/2008,291.917206
5/23/2008,291.931824
5/24/2008,293.371552
5/25/2008,293.565094
5/26/2008,293.975433
5/27/2008,293.075409
5/28/2008,291.753021
5/29/2008,287.795349
5/30/2008,291.049866
5/31/2008,291.577759
6/1/2008,293.468262
6/2/2008,296.37262
6/3/2008,296.552338
6/4/2008,296.131042
6/5/2008,296.742645
6/6/2008,294.915436
6/7/2008,295.884766
6/8/2008,295.954132
6/9/2008,295.652222
6/10/2008,295.573151
6/11/2008,295.791016
6/12/2008,296.677673
6/13/2008,296.93042
6/14/2008,297.019897
6/15/2008,296.652863
6/16/2008,296.296722
6/17/2008,296.026581
6/18/2008,295.770386
6/19/2008,295.585419
6/20/2008,295.095367
6/21/2008,295.508728
6/22/2008,295.511566
6/23/2008,296.085144
6/24/2008,296.093018
6/25/2008,297.189331
6/26/2008,295.18689
6/27/2008,298.58197
6/28/2008,296.743958
6/29/2008,296.424561
6/30/2008,296.242706
7/1/2008,297.74585
7/2/2008,299.343903
7/3/2008,297.404602
7/4/2008,297.089203
7/5/2008,298.093842
7/6/2008,298.203522
7/7/2008,298.253174
7/8/2008,296.62851
7/9/2008,295.70697
7/10/2008,295.646729
7/11/2008,296.009888
7/12/2008,296.204895
7/13/2008,297.949371
7/14/2008,297.669312
7/15/2008,297.344543
7/16/2008,297.328583
7/17/2008,298.266815
7/18/2008,297.357666
7/19/2008,295.948334
7/20/2008,295.898926
7/21/2008,295.930939
7/22/2008,295.596466
7/23/2008,296.967651
7/24/2008,299.657623
7/25/2008,299.275574
7/26/2008,298.760803
7/27/2008,298.796509
7/28/2008,297.59137
7/29/2008,297.496521
7/30/2008,296.991241
7/31/2008,297.97467
8/1/2008,297.230896
8/2/2008,297.884949
8/3/2008,296.787476
8/4/2008,295.744843
8/5/2008,296.243347
8/6/2008,296.52356
8/7/2008,296.684692
8/8/2008,297.699951
8/9/2008,297.499634
8/10/2008,297.111603
8/11/2008,298.553223
8/12/2008,299.577576
8/13/2008,299.269348
8/14/2008,296.906799
8/15/2008,297.483246
8/16/2008,297.344391
8/17/2008,297.386566
8/18/2008,296.346344
8/19/2008,297.068268
8/20/2008,296.109283
8/21/2008,295.337799
8/22/2008,294.955261
8/23/2008,296.747345
8/24/2008,295.89978
8/25/2008,294.972198
8/26/2008,298.214142
8/27/2008,298.023254
8/28/2008,297.89328
8/29/2008,297.952576
8/30/2008,297.744385
8/31/2008,297.119934
9/1/2008,297.977783
9/2/2008,298.207123
9/3/2008,300.269165
9/4/2008,294.873291
9/5/2008,296.541046
9/6/2008,296.859863
9/7/2008,297.825867
9/8/2008,296.329285
9/9/2008,296.067688
9/10/2008,295.672333
9/11/2008,295.695465
9/12/2008,293.93161
9/13/2008,294.28009
9/14/2008,294.6633
9/15/2008,294.64032
9/16/2008,294.274689
9/17/2008,294.19574
9/18/2008,293.389832
9/19/2008,293.80835
9/20/2008,294.309357
9/21/2008,293.226837
9/22/2008,292.166992
9/23/2008,293.773285
9/24/2008,293.77887
9/25/2008,293.878052
9/26/2008,293.826569
9/27/2008,294.125854
9/28/2008,293.353546
9/29/2008,294.292389
9/30/2008,293.884094
10/1/2008,291.187103
10/2/2008,290.71698
10/3/2008,292.847382
10/4/2008,296.181732
10/5/2008,287.716644
10/6/2008,286.723969
10/7/2008,286.48407
10/8/2008,286.48941
10/9/2008,285.497406
10/10/2008,285.837494
10/11/2008,286.241028
10/12/2008,286.745361
10/13/2008,285.011749
10/14/2008,283.824768
10/15/2008,283.642822
10/16/2008,284.459381
10/17/2008,286.319153
10/18/2008,287.421875
10/19/2008,289.193665
10/20/2008,292.628601
10/21/2008,289.28772
10/22/2008,291.712341
10/23/2008,287.78183
10/24/2008,287.202698
10/25/2008,288.850067
10/26/2008,288.939911
10/27/2008,291.728088
10/28/2008,291.174286
10/29/2008,292.772522
10/30/2008,294.169952
10/31/2008,292.920227
11/1/2008,295.166168
11/2/2008,292.580414
11/3/2008,286.77713
11/4/2008,290.853546
11/5/2008,293.363312
11/6/2008,284.117401
11/7/2008,279.367004
11/8/2008,278.329163
11/9/2008,278.348724
11/10/2008,273.887573
11/11/2008,279.036987
11/12/2008,280.828796
11/13/2008,280.147217
11/14/2008,281.972565
11/15/2008,282.385803
11/16/2008,281.644043
11/17/2008,282.937378
11/18/2008,285.530212
11/19/2008,287.670074
11/20/2008,285.981079
11/21/2008,285.221832
11/22/2008,275.142365
11/23/2008,275.809204
11/24/2008,280.223267
11/25/2008,284.047516
11/26/2008,287.092346
11/27/2008,290.410583
11/28/2008,281.963959
11/29/2008,277.57486
11/30/2008,286.519196
12/1/2008,275.420074
12/2/2008,273.65802
12/3/2008,269.113281
12/4/2008,270.82373
12/5/2008,270.993408
12/6/2008,278.175476
12/7/2008,286.042664
12/8/2008,286.691345
12/9/2008,273.186066
12/10/2008,270.530365
12/11/2008,272.847534
12/12/2008,277.101013
12/13/2008,279.791229
12/14/2008,284.312317
12/15/2008,288.84613
12/16/2008,282.168823
12/17/2008,281.512512
12/18/2008,280.096863
12/19/2008,279.140686
12/20/2008,283.115845
12/21/2008,279.569061
12/22/2008,279.058014
12/23/2008,279.367371
12/24/2008,281.27771
12/25/2008,277.018219
12/26/2008,275.441772
12/27/2008,278.217957
12/28/2008,278.640411
12/29/2008,280.282776
12/30/2008,287.313782
12/31/2008,288.185394
1/1/2009,285.121307
1/2/2009,286.682953
1/3/2009,280.677795
1/4/2009,283.495087
1/5/2009,287.329895
1/6/2009,282.689819
1/7/2009,282.811615
1/8/2009,279.024567
1/9/2009,274.421143
1/10/2009,277.203247
1/11/2009,280.22818
1/12/2009,283.288116
1/13/2009,287.819733
1/14/2009,284.503662
1/15/2009,277.513428
1/16/2009,285.887756
1/17/2009,272.346161
1/18/2009,272.728119
1/19/2009,281.713409
1/20/2009,286.348328
1/21/2009,275.999634
1/22/2009,272.398132
1/23/2009,275.449799
1/24/2009,277.84726
1/25/2009,281.341309
1/26/2009,285.021362
1/27/2009,287.634827
1/28/2009,286.843964
1/29/2009,287.742157
