#Variables:,,,
#tasmin_bcc-csm1-1_historical(K):Daily Minimum Near-Surface Air Temperature,,,
#tasmax_bcc-csm1-1_historical(K):Daily Maximum Near-Surface Air Temperature,,,
#pr_bcc-csm1-1_historical(mm):Precipitation,,,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) ",,,
#Original Data File(s):,,,
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,,,
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,,,
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,,,
#===============================================,,,
"yyyy-mm-dd,tasmin_bcc-csm1-1_historical(K),tasmax_bcc-csm1-1_historical(K),pr_bcc-csm1-1_historical(mm)",,,
,,,
yyyy-mm-dd,tasmin_bcc-csm1-1_historical(K),tasmax_bcc-csm1-1_historical(K),pr_bcc-csm1-1_historical(mm)
5/2/1950,290.660034,297.143097,2.080852
5/3/1950,292.101257,298.520081,10.426743
5/4/1950,290.948456,299.067078,8.314044
5/5/1950,288.393738,298.785431,8.192172
5/6/1950,289.320007,297.682495,0.816346
5/7/1950,287.426636,300.852173,0
5/8/1950,290.31778,304.43869,0
5/9/1950,290.327515,308.36441,0
5/10/1950,292.582642,311.121246,0
5/11/1950,294.04361,309.031097,0
5/12/1950,295.625122,307.768158,0
5/13/1950,293.53714,306.723511,0
5/14/1950,292.378632,306.653351,0
5/15/1950,291.362488,304.297211,0
5/16/1950,292.093994,303.686005,0
5/17/1950,291.810455,302.830017,0
5/18/1950,293.659027,303.307281,0
5/19/1950,295.674561,303.633636,0
5/20/1950,293.642212,302.624237,3.544682
5/21/1950,294.628662,301.472504,15.776205
5/22/1950,294.37619,301.293549,9.11565
5/23/1950,294.363861,299.563324,6.990079
5/24/1950,294.867249,300.479492,16.789337
5/25/1950,294.017456,301.21167,1.049358
5/26/1950,291.472168,301.266388,0.347123
5/27/1950,291.748108,302.248016,0
5/28/1950,292.951141,302.503143,0
5/29/1950,292.711731,302.251312,0
5/30/1950,292.176666,302.281372,0
5/31/1950,290.850983,304.887177,0
6/1/1950,291.413849,305.290863,0
6/2/1950,291.75058,305.996674,0
6/3/1950,293.942749,305.773834,0.481706
6/4/1950,294.02713,302.720398,10.521525
6/5/1950,294.314575,301.133453,1.970222
6/6/1950,293.826843,300.661224,10.53444
6/7/1950,294.241241,301.16748,21.701096
6/8/1950,292.812897,301.203735,6.430414
6/9/1950,293.510773,303.942871,9.548405
6/10/1950,291.095612,305.664978,3.34777
6/11/1950,293.431549,307.209167,0
6/12/1950,295.404663,308.465515,0
6/13/1950,295.243927,308.190308,3.089888
6/14/1950,295.362396,310.996246,0
6/15/1950,296.506927,312.000824,0
6/16/1950,295.098785,311.399658,2.32917
6/17/1950,294.813538,308.803406,11.181189
6/18/1950,294.102753,305.667755,6.772917
6/19/1950,295.301361,309.467407,0
6/20/1950,296.352844,307.77475,8.153704
6/21/1950,295.68042,308.173584,0
6/22/1950,295.990662,309.408966,0
6/23/1950,296.196136,308.867126,0
6/24/1950,298.448029,308.780457,0
6/25/1950,295.744995,306.920166,5.520146
6/26/1950,295.798462,305.861786,1.511696
6/27/1950,295.460724,306.635529,0
6/28/1950,294.893677,306.520508,0
6/29/1950,295.480652,307.502625,0
6/30/1950,296.193115,309.54126,0
7/1/1950,296.985168,310.612152,0
7/2/1950,296.92215,310.008453,0
7/3/1950,296.363159,309.755585,0
7/4/1950,295.974304,308.184692,0
7/5/1950,295.2948,307.475922,0
7/6/1950,295.799835,308.261139,0
7/7/1950,296.036438,308.31958,0
7/8/1950,296.181854,309.574738,0
7/9/1950,296.849548,310.023102,0
7/10/1950,296.279999,309.377319,0
7/11/1950,295.990967,311.290771,0
7/12/1950,297.671631,313.571472,0
7/13/1950,298.240051,313.6875,0
7/14/1950,298.41153,312.441071,0.309194
7/15/1950,297.857269,311.156891,0
7/16/1950,296.472412,310.312073,0
7/17/1950,296.263245,309.425171,0
7/18/1950,297.235565,310.62149,0
7/19/1950,297.971252,310.309692,0
7/20/1950,296.871124,309.091858,3.640558
7/21/1950,295.483398,306.800964,1.915225
7/22/1950,296.427277,307.707428,0
7/23/1950,297.277588,308.496704,0
7/24/1950,297.098389,307.985168,0
7/25/1950,296.881805,307.220673,2.023911
7/26/1950,296.913879,307.22171,0
7/27/1950,297.511871,308.215576,0
7/28/1950,296.944611,308.175446,0
7/29/1950,297.116852,308.043396,0
7/30/1950,297.831573,309.094788,0
7/31/1950,296.988464,308.188049,0
8/1/1950,295.989655,307.114838,2.256945
8/2/1950,296.785309,307.35611,14.624646
8/3/1950,297.381073,305.806549,17.224886
8/4/1950,297.395691,304.597717,13.455598
8/5/1950,296.457642,304.587372,6.609282
8/6/1950,294.929779,305.199097,1.94171
8/7/1950,294.710205,306.401001,0.662481
8/8/1950,295.031433,307.307983,0
8/9/1950,295.286255,306.89917,0
8/10/1950,295.372253,306.455231,4.251742
8/11/1950,294.827545,306.555389,0
8/12/1950,294.18689,306.769989,0
8/13/1950,294.635864,308.248779,0
8/14/1950,295.983337,309.645935,0
8/15/1950,295.891663,310.644653,0
8/16/1950,298.057709,311.030792,0
8/17/1950,297.739502,310.467834,0
8/18/1950,295.952209,309.836823,0
8/19/1950,296.286316,308.143463,0
8/20/1950,295.449341,307.469208,0
8/21/1950,294.99649,308.427124,0
8/22/1950,296.276337,310.616943,1.018112
8/23/1950,298.348022,310.945007,0
8/24/1950,297.349579,311.063019,0
8/25/1950,297.246765,310.285797,0
8/26/1950,296.11972,309.977173,0
8/27/1950,295.577362,309.005768,0
8/28/1950,295.046844,308.498505,0
8/29/1950,293.310272,306.651703,0
8/30/1950,291.982422,307.48526,0
8/31/1950,294.436829,307.7612,0
9/1/1950,295.490692,308.424957,0.288303
9/2/1950,296.354828,308.191345,0
9/3/1950,295.119568,307.272095,0
9/4/1950,293.954895,307.311707,0
9/5/1950,294.637207,308.098541,0
9/6/1950,295.508514,310.075928,0
9/7/1950,297.287628,311.420319,0
9/8/1950,296.307068,310.512756,0
9/9/1950,296.058929,308.023956,0
9/10/1950,291.269257,304.952271,0
9/11/1950,296.604828,305.772552,0
9/12/1950,296.668793,307.767303,1.167684
9/13/1950,295.276184,307.136627,2.762462
9/14/1950,295.440521,307.245331,0
9/15/1950,294.849731,307.098938,0
9/16/1950,294.81839,307.551666,1.262184
9/17/1950,295.441864,307.171173,0
9/18/1950,295.970032,306.283264,0
9/19/1950,294.731659,304.819763,0.473994
9/20/1950,295.617584,305.442932,0
9/21/1950,296.24408,305.639618,0
9/22/1950,297.068726,304.5224,8.66937
9/23/1950,293.692047,304.114319,12.231471
9/24/1950,290.847565,302.064728,2.177739
9/25/1950,287.738556,302.939941,0
9/26/1950,287.514679,304.905182,0
9/27/1950,291.557526,307.083893,0
9/28/1950,292.450562,306.253418,0
9/29/1950,287.885193,301.049622,0
9/30/1950,287.313629,304.835754,0
10/1/1950,292.858948,306.184113,0
10/2/1950,293.931702,306.006897,0
10/3/1950,292.414307,305.031494,0
10/4/1950,293.807526,306.019073,0
10/5/1950,294.437195,305.916199,0.365902
10/6/1950,290.535736,303.607178,3.447667
10/7/1950,290.138458,300.628296,0.729297
10/8/1950,291.203003,298.978241,5.606463
10/9/1950,289.343628,297.764557,1.367001
10/10/1950,286.499176,300.188202,0
10/11/1950,286.063293,301.284424,0
10/12/1950,285.733917,302.273621,0
10/13/1950,287.841187,304.401062,0
10/14/1950,288.311737,304.830261,0
10/15/1950,290.628876,305.3862,0
10/16/1950,290.897766,305.32431,0
10/17/1950,292.058838,304.715881,0
10/18/1950,290.027374,302.488007,0
10/19/1950,288.967316,300.984985,0
10/20/1950,289.714539,300.129181,0
10/21/1950,288.332794,296.216766,3.921918
10/22/1950,288.088287,296.562378,0.60202
10/23/1950,283.965485,297.049103,0
10/24/1950,284.665619,299.29245,0
10/25/1950,291.241364,300.525238,11.102047
10/26/1950,286.053101,297.577301,0.683107
10/27/1950,282.674255,296.574066,0
10/28/1950,282.650208,299.897797,0
10/29/1950,287.274231,299.324585,1.196828
10/30/1950,280.13739,295.355438,1.597963
10/31/1950,279.450775,296.216827,0
11/1/1950,287.30365,299.508759,0
11/2/1950,290.475311,299.522827,1.627904
11/3/1950,290.984558,297.399536,2.052835
11/4/1950,292.158539,298.906952,2.926006
11/5/1950,289.351013,298.099182,1.299229
11/6/1950,284.987213,296.966187,0
11/7/1950,286.722717,295.713806,0.297216
11/8/1950,285.35437,294.015869,0
11/9/1950,284.836792,294.813141,0
11/10/1950,285.928101,296.035675,0
11/11/1950,285.009949,297.906158,0
11/12/1950,285.693054,299.91806,0
11/13/1950,285.861816,300.433655,0
11/14/1950,287.591858,300.634705,0
11/15/1950,287.521515,301.705872,0.680472
11/16/1950,289.566223,300.529785,0
11/17/1950,280.070618,297.500153,0.738656
11/18/1950,275.199249,288.287811,0
11/19/1950,276.056274,292.059143,0
11/20/1950,276.673187,292.819763,0
11/21/1950,277.483185,295.744232,0
11/22/1950,278.139648,296.222626,0
11/23/1950,279.917297,298.945831,0
11/24/1950,285.697876,296.83609,0.358619
11/25/1950,281.289337,291.700989,37.634308
11/26/1950,280.947479,292.849823,4.905854
11/27/1950,279.767639,291.757751,0
11/28/1950,275.799011,289.305878,0
11/29/1950,276.594574,285.663635,0
11/30/1950,278.695984,283.430359,13.55687
12/1/1950,275.517761,289.38089,0
12/2/1950,276.630768,289.930084,0
12/3/1950,277.568756,289.098907,0.639134
12/4/1950,271.306091,289.321777,0
12/5/1950,270.79425,287.776855,0
12/6/1950,275.070343,287.89267,0
12/7/1950,278.357025,290.667969,0.580525
12/8/1950,285.200653,295.829468,0
12/9/1950,269.769012,293.062927,1.950937
12/10/1950,267.984467,279.844116,0
12/11/1950,271.500702,291.563812,0
12/12/1950,284.376984,297.23111,0
12/13/1950,285.58728,295.391357,0
12/14/1950,272.429382,291.318604,0
12/15/1950,269.25351,282.463318,0
12/16/1950,275.983337,290.924652,4.953639
12/17/1950,287.646149,296.396362,9.101935
12/18/1950,278.564941,295.292603,6.235383
12/19/1950,258.992584,280.196564,2.0747
12/20/1950,265.892365,273.09256,3.656386
12/21/1950,270.257446,275.895233,0.992853
12/22/1950,271.32251,281.555878,0
12/23/1950,276.45871,289.897949,0
12/24/1950,282.990997,291.07077,0
12/25/1950,284.520691,292.959412,0
12/26/1950,285.092712,292.280273,0
12/27/1950,286.48938,297.081329,0
12/28/1950,281.318726,294.453735,0
12/29/1950,277.448395,291.960571,0
12/30/1950,278.9422,289.593658,0
12/31/1950,279.559143,287.59964,0
1/1/1951,279.375549,287.544952,0
1/2/1951,279.875,286.615051,3.722305
1/3/1951,281.506653,289.572723,47.206917
1/4/1951,277.099182,290.380585,6.722627
1/5/1951,274.531433,285.972748,0
1/6/1951,272.986115,286.151855,0
1/7/1951,276.927582,286.852112,0
1/8/1951,281.252625,292.476105,0.775865
1/9/1951,282.443817,295.566284,0
1/10/1951,280.086761,293.287079,0
1/11/1951,286.639404,294.581451,2.137095
1/12/1951,287.54361,297.732269,0
1/13/1951,287.293396,295.543091,0
1/14/1951,284.422852,295.188293,0
1/15/1951,279.943512,292.562012,0
1/16/1951,279.879852,296.224304,0
1/17/1951,282.407227,295.804504,0
1/18/1951,277.490662,292.299072,0
1/19/1951,269.461823,282.560974,0
1/20/1951,269.35318,278.268829,0.865532
1/21/1951,276.862091,286.827545,6.828671
1/22/1951,280.738922,288.677277,5.163314
1/23/1951,277.963501,288.479431,3.675242
1/24/1951,273.149841,283.318268,0
1/25/1951,274.303528,288.028809,0
1/26/1951,282.277405,293.24881,1.190363
1/27/1951,287.597687,298.661469,1.062533
1/28/1951,286.478088,300.115479,2.55987
1/29/1951,287.484802,301.04361,0
1/30/1951,285.602783,299.742645,0
1/31/1951,285.107086,295.095703,3.250237
2/1/1951,284.51123,294.195129,0
2/2/1951,282.385834,292.788422,0
2/3/1951,278.894379,293.978149,0
2/4/1951,281.588562,295.006226,0
2/5/1951,285.399963,295.966675,2.584048
2/6/1951,277.488464,295.002319,0
2/7/1951,273.963257,279.455444,0.342837
2/8/1951,275.705994,287.135559,0
2/9/1951,275.979523,291.089325,0
2/10/1951,277.647095,288.533051,0
2/11/1951,273.265991,286.616241,0
2/12/1951,274.376953,290.671875,0
2/13/1951,276.316681,294.27124,0
2/14/1951,280.163513,291.648132,0
2/15/1951,275.883881,287.745087,0
2/16/1951,277.622528,285.64444,2.684423
2/17/1951,280.254883,285.916931,7.000796
2/18/1951,277.360382,285.087921,1.698352
2/19/1951,281.216705,287.362183,8.552279
2/20/1951,276.874146,286.375061,2.582753
2/21/1951,277.183655,291.584259,0
2/22/1951,277.723145,293.23877,0
2/23/1951,277.296295,292.074982,0
2/24/1951,279.306366,294.910583,0
2/25/1951,283.606354,296.474243,0
2/26/1951,285.812012,296.011017,0
2/27/1951,287.990753,296.897766,3.296285
2/28/1951,286.664795,298.088959,1.71624
3/1/1951,281.738586,295.648254,0
3/2/1951,277.138397,286.315857,0
3/3/1951,278.142273,286.38504,0
3/4/1951,280.472229,292.768616,0
3/5/1951,285.680023,293.750641,0.908876
3/6/1951,282.033844,294.764191,1.616836
3/7/1951,281.05127,292.832947,0
3/8/1951,281.06842,289.764069,0
3/9/1951,283.609985,290.835571,4.973505
3/10/1951,283.395721,292.406982,11.257932
3/11/1951,283.236847,293.829712,0.604101
3/12/1951,280.451233,294.731781,0
3/13/1951,281.229187,299.474457,0
3/14/1951,285.480194,299.708801,0
3/15/1951,284.221802,302.16626,0
3/16/1951,287.597534,304.130127,0.396352
3/17/1951,291.006958,302.761597,2.278793
3/18/1951,287.059448,299.08139,1.59111
3/19/1951,287.604126,298.568634,0
3/20/1951,277.486847,293.232544,0
3/21/1951,279.209412,286.290741,5.68113
3/22/1951,283.148987,288.372925,9.90339
3/23/1951,282.413086,290.387482,3.171661
3/24/1951,288.127747,297.773102,11.083554
3/25/1951,286.4086,295.846039,6.174922
3/26/1951,277.081757,291.692139,0
3/27/1951,273.084747,284.838257,2.547161
3/28/1951,273.92804,284.019928,1.298318
3/29/1951,276.829132,288.99942,0
3/30/1951,276.716248,291.428375,0
3/31/1951,280.155914,294.60199,0
4/1/1951,281.779663,297.290924,0
4/2/1951,284.93103,296.233093,2.866008
4/3/1951,284.851532,289.728424,0
4/4/1951,282.828766,294.402863,0
4/5/1951,285.965454,297.855835,0
4/6/1951,288.313385,298.908203,0.407533
4/7/1951,288.786804,298.30246,1.043358
4/8/1951,289.733887,295.776428,1.413865
4/9/1951,290.017792,300.281158,0.464863
4/10/1951,288.262909,300.262482,0
4/11/1951,285.547424,299.540222,0.31636
4/12/1951,281.675873,300.548431,0
4/13/1951,285.776337,300.150269,0.886037
4/14/1951,279.853943,291.706909,0
4/15/1951,277.974213,295.112305,0
4/16/1951,285.121063,300.924927,0
4/17/1951,289.62619,304.3797,0
4/18/1951,291.06485,305.123291,0
4/19/1951,289.269592,306.901733,0
4/20/1951,290.663788,306.032379,0
4/21/1951,289.62204,303.887268,0
4/22/1951,284.438324,301.592072,0
4/23/1951,291.186676,306.73053,0
4/24/1951,291.871429,309.97467,0
4/25/1951,293.853699,310.242279,0
4/26/1951,292.559479,310.005402,0
4/27/1951,292.773285,305.675293,0
4/28/1951,289.700562,303.726807,0
4/29/1951,289.040497,299.744812,0
4/30/1951,286.467316,301.510132,0
5/1/1951,290.493713,300.348022,0
5/2/1951,292.769318,306.77475,0
5/3/1951,294.906403,306.046448,0
5/4/1951,295.054077,301.666718,0.816637
5/5/1951,295.108032,303.865845,0
5/6/1951,294.686554,305.373627,0
5/7/1951,294.867676,306.590759,0
5/8/1951,294.852234,305.131683,0
5/9/1951,295.25531,305.126343,8.61969
5/10/1951,293.548676,303.01355,1.594948
5/11/1951,292.67276,306.684387,0
5/12/1951,291.940369,307.90271,0
5/13/1951,292.344666,309.072449,0
5/14/1951,298.664307,308.110168,0
5/15/1951,295.428986,308.994537,0
5/16/1951,294.479431,306.175598,0
5/17/1951,293.189728,305.485229,0.533415
5/18/1951,294.928558,304.96637,0
5/19/1951,294.477783,304.273529,0
5/20/1951,294.217957,306.056244,0
5/21/1951,295.709686,308.408966,0
5/22/1951,297.303772,306.570007,0
5/23/1951,295.631927,303.690125,0
5/24/1951,289.018219,305.628418,0
5/25/1951,293.868195,304.905121,0
5/26/1951,293.221893,303.073059,0.892981
5/27/1951,294.580627,304.479126,0
5/28/1951,294.902588,304.764862,3.329144
5/29/1951,295.540222,307.738678,4.037776
5/30/1951,295.784332,305.914124,1.325334
5/31/1951,295.286285,306.428436,3.949154
6/1/1951,294.21936,306.279358,4.430603
6/2/1951,293.06601,304.614197,39.612053
6/3/1951,290.487885,297.57605,27.800419
6/4/1951,290.710205,301.730286,0.652528
6/5/1951,290.794067,306.314301,0
6/6/1951,292.551575,307.47052,0
6/7/1951,293.592865,308.254395,0
6/8/1951,294.793182,309.78598,2.421607
6/9/1951,295.696594,309.889435,0
6/10/1951,295.80191,309.617493,0
6/11/1951,295.981171,308.843964,0
6/12/1951,296.152527,308.525696,0
6/13/1951,296.037262,308.567078,0
6/14/1951,296.436127,307.540009,0
6/15/1951,296.43103,305.716644,0
6/16/1951,296.176514,306.542694,0
6/17/1951,294.241119,306.08667,0
6/18/1951,294.901337,305.879608,0
6/19/1951,295.4375,306.726715,0
6/20/1951,296.21347,308.873749,0
6/21/1951,299.188171,310.753479,0
6/22/1951,297.098602,311.227783,0
6/23/1951,296.9245,310.818207,0
6/24/1951,295.897705,307.304077,0
6/25/1951,294.756348,305.081909,21.197166
6/26/1951,295.130829,301.718567,4.165826
6/27/1951,296.329926,302.41272,11.717642
6/28/1951,295.205383,302.384369,2.750327
6/29/1951,295.224213,302.60321,0
6/30/1951,295.417664,303.517426,18.684198
7/1/1951,294.773438,299.709717,38.886341
7/2/1951,296.087097,300.899994,24.479174
7/3/1951,295.616821,300.892578,37.429924
7/4/1951,296.034912,302.32309,8.531333
7/5/1951,296.300903,303.637604,10.593278
7/6/1951,296.508362,305.696472,0.734501
7/7/1951,295.931213,306.350189,0
7/8/1951,294.713745,305.822662,1.921866
7/9/1951,295.356293,304.480072,11.345181
7/10/1951,295.496887,303.290192,1.722849
7/11/1951,295.259186,302.660919,0
7/12/1951,294.651093,301.396973,5.6285
7/13/1951,295.200714,301.786285,11.879279
7/14/1951,295.008118,301.843506,5.487039
7/15/1951,295.185333,300.679657,39.229164
7/16/1951,294.445679,299.524475,32.308537
7/17/1951,294.183899,300.240143,40.67915
7/18/1951,294.755493,299.710175,62.055855
7/19/1951,295.383057,299.957916,47.927509
7/20/1951,295.362122,299.679718,17.223145
7/21/1951,293.550812,298.869934,17.556
7/22/1951,295.347351,299.310822,10.864264
7/23/1951,294.880371,298.091278,14.651173
7/24/1951,293.909027,300.686127,15.453898
7/25/1951,295.572479,300.053162,5.454957
7/26/1951,294.709198,302.110687,9.459527
7/27/1951,294.454315,301.792358,14.754515
7/28/1951,293.383026,303.478119,0.518589
7/29/1951,294.410065,304.199585,0
7/30/1951,294.037415,305.926727,0
7/31/1951,293.328888,306.046234,0.279888
8/1/1951,292.0979,305.708282,0
8/2/1951,292.188995,305.902252,0
8/3/1951,293.172974,305.738098,0.280419
8/4/1951,294.356049,305.619995,0.389106
8/5/1951,295.180237,306.470337,0.664472
8/6/1951,295.414124,306.13147,0
8/7/1951,295.290131,306.640686,1.441702
8/8/1951,295.419983,308.059875,1.384489
8/9/1951,295.716553,308.963776,0.285199
8/10/1951,294.912323,308.881256,0
8/11/1951,294.056976,308.655792,0
8/12/1951,294.201141,308.944183,0.302725
8/13/1951,294.020294,309.5896,0.292634
8/14/1951,295.527832,310.349792,0
8/15/1951,295.08139,309.318054,0
8/16/1951,295.020691,307.826019,1.701641
8/17/1951,294.873383,307.444214,0
8/18/1951,294.514526,308.282257,0
8/19/1951,295.500061,309.171661,0
8/20/1951,295.458069,309.254272,0
8/21/1951,294.857666,308.743713,0
8/22/1951,293.439667,307.427734,0
8/23/1951,293.233429,307.49057,0
8/24/1951,294.735565,308.240448,0
8/25/1951,294.650146,309.517487,0
8/26/1951,294.355103,309.181641,0
8/27/1951,294.357025,308.639069,0
8/28/1951,294.443756,307.553314,0
8/29/1951,293.660431,306.991394,0
8/30/1951,294.239899,306.788757,0
8/31/1951,294.873779,305.59671,0.524911
9/1/1951,294.185547,303.850616,0.456306
9/2/1951,294.874664,304.662354,0.833484
9/3/1951,295.39679,304.352142,1.799562
9/4/1951,294.680786,305.078796,1.330898
9/5/1951,294.408783,301.054779,22.168966
9/6/1951,291.369659,297.88797,33.755489
9/7/1951,295.592255,303.337189,22.33456
9/8/1951,295.40683,302.605011,8.4519
9/9/1951,295.253204,302.735779,12.876726
9/10/1951,295.071533,303.344604,13.117571
9/11/1951,294.691772,300.627197,12.769458
9/12/1951,295.983063,303.570648,29.416098
9/13/1951,294.800415,304.889587,6.08105
9/14/1951,294.96051,304.118805,0
9/15/1951,294.308868,303.866364,0.690102
9/16/1951,290.992584,304.754761,0
9/17/1951,291.099091,306.4487,0
9/18/1951,291.593384,305.284576,0
9/19/1951,287.335785,301.162323,0
9/20/1951,289.910309,304.963776,0
9/21/1951,289.868805,306.253906,0
9/22/1951,289.462799,305.730743,0
9/23/1951,289.180603,303.126953,0
9/24/1951,290.352386,303.420685,0
9/25/1951,290.672455,305.737366,0
9/26/1951,290.936554,305.309967,0
9/27/1951,291.566772,307.357727,1.905903
9/28/1951,291.910583,306.758972,1.417429
9/29/1951,285.530548,302.32663,1.760674
9/30/1951,283.549103,295.849182,0
10/1/1951,284.549866,298.728607,0
10/2/1951,285.938751,300.417053,0
10/3/1951,286.223145,301.636292,0
10/4/1951,287.148407,302.674225,0
