#Variables:
#tasmin_IPSL-CM5B-LR_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5B-LR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5B-LR_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5B-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5B-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5B-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5B-LR_rcp45(K),tasmax_IPSL-CM5B-LR_rcp45(K),pr_IPSL-CM5B-LR_rcp45(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5B-LR_rcp45(K),tasmax_IPSL-CM5B-LR_rcp45(K),pr_IPSL-CM5B-LR_rcp45(mm)
2006-02-18,282.101624,294.119202,0.000000
2006-02-19,285.385803,297.568085,0.000000
2006-02-20,286.324982,297.068115,1.570652
2006-02-21,281.578064,291.429718,0.000000
2006-02-22,279.651947,295.022339,0.000000
2006-02-23,284.068848,301.615662,0.000000
2006-02-24,286.368225,304.527405,0.000000
2006-02-25,287.343445,307.355743,0.000000
2006-02-26,288.890411,306.118469,0.000000
2006-02-27,286.418945,300.857117,1.223132
2006-02-28,277.851898,287.531525,0.000000
2006-03-01,274.747040,291.263977,0.000000
2006-03-02,279.753082,292.291473,0.000000
2006-03-03,270.550842,286.794312,2.302263
2006-03-04,272.325806,293.139923,0.000000
2006-03-05,277.979889,293.425537,0.000000
2006-03-06,279.977051,296.142517,0.000000
2006-03-07,282.018402,299.534607,0.000000
2006-03-08,286.233063,295.616852,0.000000
2006-03-09,279.010162,289.378082,0.000000
2006-03-10,281.868256,291.630096,1.736697
2006-03-11,283.170502,299.787018,0.537101
2006-03-12,283.146484,296.076965,0.000000
2006-03-13,277.543488,291.463104,0.000000
2006-03-14,279.806702,291.874634,0.689299
2006-03-15,283.788025,293.035400,1.069195
2006-03-16,286.433258,300.412262,4.729486
2006-03-17,282.576355,301.794006,0.000000
2006-03-18,287.510834,298.271973,0.000000
2006-03-19,286.853851,296.854156,2.996695
2006-03-20,280.925079,294.042633,1.553533
2006-03-21,276.179413,283.601868,3.361567
2006-03-22,275.442688,289.094238,23.165743
2006-03-23,273.248840,288.582672,1.333160
2006-03-24,276.204376,302.587830,0.000000
2006-03-25,280.282471,301.843323,0.000000
2006-03-26,279.748993,301.866699,0.000000
2006-03-27,284.914642,304.435730,2.346128
2006-03-28,287.711517,302.996246,0.000000
2006-03-29,280.819977,300.892731,0.000000
2006-03-30,280.591614,306.982880,0.000000
2006-03-31,286.587982,303.176666,0.000000
2006-04-01,281.707123,300.662201,0.000000
2006-04-02,287.948486,307.399048,0.000000
2006-04-03,288.226227,304.060425,0.000000
2006-04-04,287.903564,304.114777,0.000000
2006-04-05,287.105377,301.917206,0.000000
2006-04-06,285.642639,298.700104,0.000000
2006-04-07,281.860748,297.487671,0.000000
2006-04-08,289.640533,300.374664,17.875401
2006-04-09,287.816498,303.090759,2.098896
2006-04-10,281.863739,301.913147,0.000000
2006-04-11,281.281342,304.363922,0.000000
2006-04-12,283.756744,301.129517,0.000000
2006-04-13,282.228973,298.724945,0.000000
2006-04-14,281.984802,303.440979,0.000000
2006-04-15,288.239227,307.718964,0.000000
2006-04-16,286.450287,303.651123,0.000000
2006-04-17,284.434845,297.402405,0.000000
2006-04-18,282.146851,299.722015,0.000000
2006-04-19,287.357910,306.094116,0.000000
2006-04-20,293.958984,307.320892,0.000000
2006-04-21,293.810669,306.311096,0.330116
2006-04-22,287.778290,302.703186,0.000000
2006-04-23,282.535889,293.915619,0.000000
2006-04-24,284.232819,296.722076,0.000000
2006-04-25,285.227051,302.571655,0.000000
2006-04-26,289.687714,307.849243,0.000000
2006-04-27,293.429993,310.015289,0.000000
2006-04-28,292.462189,311.618195,0.000000
2006-04-29,293.181702,310.456543,0.677911
2006-04-30,292.954620,308.327911,0.000000
2006-05-01,293.892334,312.726837,0.000000
2006-05-02,297.970612,314.015228,0.000000
2006-05-03,299.525330,312.396637,0.000000
2006-05-04,297.475616,306.176270,0.000000
2006-05-05,294.873871,308.538330,0.000000
2006-05-06,292.472290,309.777252,0.000000
2006-05-07,293.747894,311.887543,0.000000
2006-05-08,293.754852,310.638855,0.000000
2006-05-09,294.517578,313.482239,0.000000
2006-05-10,294.044830,310.085358,0.000000
2006-05-11,291.792999,306.077118,0.000000
2006-05-12,291.544312,303.830566,0.000000
2006-05-13,287.454895,297.941559,0.000000
2006-05-14,288.722290,298.907898,0.000000
2006-05-15,293.465851,308.655365,0.000000
2006-05-16,295.328613,309.462524,0.000000
2006-05-17,295.957458,308.756561,0.000000
2006-05-18,295.903534,307.910095,0.000000
2006-05-19,293.238007,306.622253,0.540032
2006-05-20,293.098633,304.931152,0.000000
2006-05-21,291.351013,301.012695,0.000000
2006-05-22,292.930695,303.746063,0.000000
2006-05-23,293.735779,303.968842,0.000000
2006-05-24,293.009735,304.876221,0.000000
2006-05-25,294.279999,308.348297,0.000000
2006-05-26,296.599152,308.150482,0.000000
2006-05-27,295.796112,304.150879,0.000000
2006-05-28,294.364746,304.704468,0.000000
2006-05-29,294.667969,307.289703,0.000000
2006-05-30,295.266785,307.709747,0.000000
2006-05-31,295.908752,310.033478,0.000000
2006-06-01,296.960358,311.714874,0.000000
2006-06-02,297.414795,311.676178,0.000000
2006-06-03,297.921936,312.397980,0.000000
2006-06-04,298.179535,312.661804,0.000000
2006-06-05,297.210876,311.607086,0.000000
2006-06-06,296.678406,311.184143,0.000000
2006-06-07,298.753632,315.081512,0.000000
2006-06-08,299.389465,316.715576,0.000000
2006-06-09,299.606415,316.586792,0.000000
2006-06-10,298.082916,315.665894,0.000000
2006-06-11,298.542633,315.427307,0.000000
2006-06-12,297.632599,314.401062,0.000000
2006-06-13,299.986755,315.944519,0.000000
2006-06-14,302.404846,315.481171,0.000000
2006-06-15,302.705688,312.308746,0.000000
2006-06-16,298.870178,312.510223,0.000000
2006-06-17,298.198639,313.837677,0.347664
2006-06-18,301.415588,316.001892,0.000000
2006-06-19,299.832336,315.745361,0.000000
2006-06-20,302.420929,314.373566,0.000000
2006-06-21,298.102448,310.095520,0.405545
2006-06-22,297.620117,309.922485,0.000000
2006-06-23,297.355499,307.905090,5.661114
2006-06-24,296.700012,308.491486,1.372852
2006-06-25,296.964386,309.089539,0.282657
2006-06-26,296.989349,309.290527,0.303507
2006-06-27,296.929443,309.721924,0.000000
2006-06-28,297.331482,310.447632,0.000000
2006-06-29,298.238617,310.137421,0.000000
2006-06-30,298.133026,310.721710,0.000000
2006-07-01,298.352997,311.678314,0.000000
2006-07-02,299.291168,311.422180,0.000000
2006-07-03,299.216949,311.602722,0.000000
2006-07-04,299.204346,311.975372,0.000000
2006-07-05,299.375763,312.582001,0.000000
2006-07-06,299.561523,312.398438,0.000000
2006-07-07,299.210541,311.066101,4.697217
2006-07-08,295.207031,303.979828,6.652955
2006-07-09,296.499756,306.556427,12.407213
2006-07-10,297.157288,299.811035,31.194193
2006-07-11,297.696716,306.529633,3.510768
2006-07-12,297.616455,308.163025,0.000000
2006-07-13,297.802063,311.762451,0.000000
2006-07-14,297.174835,309.834778,6.381214
2006-07-15,296.593475,310.111267,0.000000
2006-07-16,295.704163,312.715820,0.000000
2006-07-17,298.212860,312.515167,0.000000
2006-07-18,298.159760,313.080872,0.000000
2006-07-19,296.766022,313.665924,0.000000
2006-07-20,297.106598,313.132812,0.000000
2006-07-21,298.063812,312.105072,0.000000
2006-07-22,296.952759,310.187836,0.000000
2006-07-23,296.587463,308.049988,0.000000
2006-07-24,296.348907,308.066193,0.000000
2006-07-25,295.760437,310.057434,0.000000
2006-07-26,296.180725,310.887787,0.000000
2006-07-27,296.303955,311.402649,0.000000
2006-07-28,297.123047,310.936432,0.000000
2006-07-29,297.122040,310.825409,0.000000
2006-07-30,296.498169,312.365173,0.286089
2006-07-31,297.160400,313.010712,0.000000
2006-08-01,298.255127,314.004395,0.000000
2006-08-02,299.035675,313.729248,0.000000
2006-08-03,299.151093,312.549683,0.000000
2006-08-04,298.245758,312.574432,0.000000
2006-08-05,298.744171,312.571014,0.000000
2006-08-06,299.372864,312.351746,0.000000
2006-08-07,298.535400,312.309540,0.000000
2006-08-08,297.962738,311.777252,0.000000
2006-08-09,297.827850,312.056610,0.000000
2006-08-10,298.514740,312.539612,0.000000
2006-08-11,299.028015,312.909332,0.000000
2006-08-12,299.181549,312.929657,0.000000
2006-08-13,298.887726,312.929779,0.000000
2006-08-14,300.099609,313.559692,0.000000
2006-08-15,299.943390,315.607605,0.000000
2006-08-16,300.144897,316.207886,0.000000
2006-08-17,300.725983,315.666443,0.754346
2006-08-18,300.780151,316.494354,0.000000
2006-08-19,301.478210,316.257355,0.000000
2006-08-20,301.999878,316.318481,0.000000
2006-08-21,303.281097,315.376678,0.000000
2006-08-22,301.026093,313.506927,0.000000
2006-08-23,299.279175,310.412842,0.000000
2006-08-24,290.512909,301.162506,8.456511
2006-08-25,295.853699,303.073944,26.089245
2006-08-26,297.443634,309.674988,23.261599
2006-08-27,296.154572,308.379425,3.314909
2006-08-28,297.006073,307.825989,0.291942
2006-08-29,295.234253,304.025482,9.813121
2006-08-30,294.963379,305.772614,1.685743
2006-08-31,294.634064,306.526337,1.085065
2006-09-01,294.983032,308.002777,0.958232
2006-09-02,295.587860,309.437256,0.352242
2006-09-03,296.135895,310.402954,2.474584
2006-09-04,295.812408,310.667236,0.000000
2006-09-05,295.947052,309.953583,0.000000
2006-09-06,295.504791,307.908112,5.478892
2006-09-07,294.970856,306.739960,2.173901
2006-09-08,295.035797,307.765472,1.694910
2006-09-09,295.426270,309.620728,0.000000
2006-09-10,295.618042,310.407196,0.000000
2006-09-11,294.939514,306.510651,0.610383
2006-09-12,293.864471,306.052094,0.000000
2006-09-13,290.504517,308.560120,0.000000
2006-09-14,294.474854,313.908661,0.000000
2006-09-15,296.134369,315.898682,0.000000
2006-09-16,296.454865,315.265594,0.000000
2006-09-17,296.140106,311.723724,0.000000
2006-09-18,296.944672,312.909332,0.451077
2006-09-19,297.481506,315.279999,0.000000
2006-09-20,297.149445,309.742249,0.000000
2006-09-21,293.839111,306.645477,0.553203
2006-09-22,297.650299,307.892181,0.000000
2006-09-23,295.085205,305.488831,0.343963
2006-09-24,295.791626,301.810028,13.878112
2006-09-25,295.410614,304.251862,10.005334
2006-09-26,289.711914,300.037781,12.209490
2006-09-27,291.986877,293.922119,78.202896
2006-09-28,285.588501,293.553314,3.782750
2006-09-29,283.183899,298.131531,0.000000
2006-09-30,282.825653,300.379944,0.000000
2006-10-01,284.083527,301.889252,0.000000
2006-10-02,286.058624,304.149811,0.000000
2006-10-03,287.393646,304.349884,0.000000
2006-10-04,287.679321,304.017609,0.000000
2006-10-05,287.276062,305.909088,0.000000
2006-10-06,288.665283,305.638519,0.000000
2006-10-07,289.685974,303.898376,0.000000
2006-10-08,293.354309,301.412018,43.895729
2006-10-09,290.539429,300.119324,19.318115
2006-10-10,287.278717,302.568695,0.000000
2006-10-11,288.006317,303.338287,0.000000
2006-10-12,285.911957,298.399200,0.308635
2006-10-13,283.817780,300.132263,0.000000
2006-10-14,287.469391,306.003601,0.000000
2006-10-15,288.599335,304.534943,0.000000
2006-10-16,287.089935,304.858826,0.000000
2006-10-17,291.598969,307.041534,0.000000
2006-10-18,291.497040,305.984650,0.566014
2006-10-19,290.966980,301.734955,4.243973
2006-10-20,283.111176,298.062714,1.826987
2006-10-21,282.315460,299.325531,0.000000
2006-10-22,284.222778,302.562500,0.000000
2006-10-23,287.263672,306.143677,0.000000
2006-10-24,291.168518,306.750122,0.000000
2006-10-25,293.235260,305.720795,0.000000
2006-10-26,291.746368,301.662811,4.853205
2006-10-27,290.806274,300.522827,5.483648
2006-10-28,287.184418,302.413818,1.057679
2006-10-29,287.257599,302.170349,1.235892
2006-10-30,285.126923,298.087006,0.000000
2006-10-31,289.097443,297.302460,29.235197
2006-11-01,291.144348,299.053162,2.194961
2006-11-02,290.618805,298.462952,0.000000
2006-11-03,287.958984,295.487366,1.577984
2006-11-04,276.419342,292.385590,0.000000
2006-11-05,282.504578,300.655945,0.000000
2006-11-06,287.492981,301.398041,0.000000
2006-11-07,289.279266,299.886475,0.000000
2006-11-08,289.749420,300.370056,0.692824
2006-11-09,288.550629,299.915070,1.083837
2006-11-10,280.922089,296.258881,0.000000
2006-11-11,282.284729,298.985565,0.000000
2006-11-12,286.909363,297.067413,0.374661
2006-11-13,276.379852,292.383148,47.771999
2006-11-14,276.067596,282.496674,0.977940
2006-11-15,276.490234,288.768433,0.000000
2006-11-16,276.587158,291.493683,0.000000
2006-11-17,277.740143,293.105133,0.000000
2006-11-18,281.414551,296.173157,0.000000
2006-11-19,280.422302,299.630188,0.000000
2006-11-20,280.706177,296.845123,0.000000
2006-11-21,277.101013,294.386505,0.000000
2006-11-22,276.965820,297.511292,0.000000
2006-11-23,279.973938,300.706360,0.000000
2006-11-24,289.559265,301.568939,0.000000
2006-11-25,290.240448,300.478607,0.000000
2006-11-26,287.076416,298.263275,0.000000
2006-11-27,279.878937,293.258606,0.000000
2006-11-28,279.376129,292.858185,0.000000
2006-11-29,276.884979,289.908325,0.000000
2006-11-30,277.594757,286.175507,1.218482
2006-12-01,275.023865,282.486938,5.717889
2006-12-02,273.327332,282.541382,1.955690
2006-12-03,276.765900,283.661224,0.000000
2006-12-04,274.172821,292.258118,0.000000
2006-12-05,275.319183,295.680542,0.000000
2006-12-06,279.201019,295.406677,0.000000
2006-12-07,276.106201,289.348877,0.000000
2006-12-08,275.041870,294.346954,0.000000
2006-12-09,276.916260,291.986786,0.000000
2006-12-10,276.882599,292.671906,0.000000
2006-12-11,278.185577,294.089447,0.000000
2006-12-12,281.180573,295.431671,0.000000
2006-12-13,285.052094,291.239044,4.063899
2006-12-14,277.824402,289.084381,15.142367
2006-12-15,277.809265,281.396454,11.040667
2006-12-16,276.900665,283.645721,13.137663
2006-12-17,275.751495,280.004883,1.833462
2006-12-18,273.746796,279.246155,1.131486
2006-12-19,273.359894,283.623505,0.368775
2006-12-20,268.986328,284.699829,0.000000
2006-12-21,268.052582,285.365417,0.000000
2006-12-22,271.644836,286.474792,0.000000
2006-12-23,273.958954,287.159180,0.000000
2006-12-24,278.742157,291.442230,0.000000
2006-12-25,282.381836,289.679962,0.000000
2006-12-26,277.361694,286.386627,0.584122
2006-12-27,273.754059,287.321716,0.000000
2006-12-28,274.926941,288.943726,0.630710
2006-12-29,284.080811,288.734680,11.023838
2006-12-30,287.655060,292.626038,5.366914
2006-12-31,279.274231,291.307159,0.827323
2007-01-01,279.384705,298.007263,0.000000
2007-01-02,284.621979,296.739868,0.000000
2007-01-03,270.797516,291.966095,0.675614
2007-01-04,269.618164,279.953186,6.061208
2007-01-05,263.551971,272.059052,3.996521
2007-01-06,260.362671,277.634460,0.000000
2007-01-07,268.674469,279.268799,1.051319
2007-01-08,275.700348,281.153381,18.384274
2007-01-09,268.626465,275.552521,1.059399
2007-01-10,267.035889,282.596893,0.000000
2007-01-11,271.966827,287.732788,0.000000
2007-01-12,273.573151,286.249756,0.000000
2007-01-13,272.501038,289.570587,0.000000
2007-01-14,277.939117,294.201050,3.073496
2007-01-15,281.222321,291.835602,0.739788
2007-01-16,274.350098,288.578491,0.000000
2007-01-17,277.552612,291.927032,0.000000
2007-01-18,279.931793,294.586670,0.000000
2007-01-19,282.134399,293.833038,2.442031
2007-01-20,289.225769,294.985413,10.835247
2007-01-21,288.242493,296.632446,4.252726
2007-01-22,281.461578,292.546600,0.000000
2007-01-23,284.504395,289.840546,4.396967
2007-01-24,280.491364,290.414581,1.125060
2007-01-25,280.752228,285.798676,6.014929
2007-01-26,283.174713,289.185760,16.822941
2007-01-27,288.219299,294.281281,13.671063
2007-01-28,282.051697,292.358521,1.557739
2007-01-29,273.477448,288.007629,3.073404
2007-01-30,273.271301,281.691803,2.958543
2007-01-31,272.260864,282.089417,0.000000
2007-02-01,277.351257,279.679199,10.400176
2007-02-02,277.947937,281.085114,0.436145
2007-02-03,280.115143,289.446381,0.000000
2007-02-04,277.696228,294.157684,0.000000
2007-02-05,279.660797,295.676727,0.000000
2007-02-06,277.988983,293.504364,0.000000
2007-02-07,278.077545,289.840302,0.000000
2007-02-08,276.656494,285.590546,1.154773
2007-02-09,277.021027,285.299713,0.000000
2007-02-10,273.701691,288.416534,0.000000
2007-02-11,274.495178,291.929779,0.000000
2007-02-12,279.093903,293.191620,0.000000
2007-02-13,280.611816,296.760254,0.000000
2007-02-14,279.033691,289.813721,0.000000
2007-02-15,275.950439,293.291443,0.000000
2007-02-16,283.382690,291.407074,13.979326
2007-02-17,278.651611,289.588196,1.290619
2007-02-18,277.127502,296.276825,0.000000
2007-02-19,282.059906,300.672028,0.000000
2007-02-20,282.846802,294.109100,1.570518
2007-02-21,273.517761,287.537750,0.000000
2007-02-22,276.340820,297.041718,0.000000
2007-02-23,282.721893,299.854034,0.000000
2007-02-24,286.737701,299.413422,4.257725
2007-02-25,288.094788,299.455200,1.473595
2007-02-26,282.980164,293.960999,0.000000
2007-02-27,279.599426,291.399109,0.000000
2007-02-28,278.886017,294.197205,0.000000
2007-03-01,280.039978,294.989655,0.000000
2007-03-02,280.758301,296.145782,0.000000
2007-03-03,285.293732,294.428925,0.000000
2007-03-04,286.071442,299.595276,1.767491
2007-03-05,283.444672,295.185944,0.000000
2007-03-06,283.326416,290.594971,1.440088
2007-03-07,279.463074,293.117798,1.597009
2007-03-08,280.289459,293.833374,0.000000
2007-03-09,284.492096,293.719513,0.000000
2007-03-10,284.742462,297.753998,0.000000
2007-03-11,288.570831,295.070709,2.075812
2007-03-12,285.901001,295.731934,13.148068
2007-03-13,286.034698,293.609833,4.567811
2007-03-14,290.725830,301.820190,6.530193
2007-03-15,289.633209,297.720184,1.170720
2007-03-16,289.689087,301.573761,2.082858
2007-03-17,287.318298,302.572083,0.000000
2007-03-18,283.827698,304.771027,0.000000
2007-03-19,289.035614,302.342163,0.000000
2007-03-20,288.978088,297.153290,5.549160
2007-03-21,288.173889,293.010559,2.402973
2007-03-22,293.974823,299.939056,22.257191
2007-03-23,286.915405,296.118317,20.907816
2007-03-24,281.056183,290.792389,2.859493
2007-03-25,277.685394,289.758301,0.000000
2007-03-26,278.274017,294.730377,0.000000
2007-03-27,278.958771,300.041870,0.000000
2007-03-28,281.211304,298.219666,0.000000
2007-03-29,282.660065,296.686615,0.000000
2007-03-30,288.635071,304.041351,0.000000
2007-03-31,288.602142,303.072845,0.000000
2007-04-01,287.530151,300.326324,1.181601
2007-04-02,284.046814,299.698792,0.000000
2007-04-03,287.295776,302.159546,0.000000
2007-04-04,291.429901,301.178436,0.000000
2007-04-05,290.341949,305.708282,0.490367
2007-04-06,293.428833,308.283661,0.698724
2007-04-07,294.498138,305.548004,0.000000
2007-04-08,293.858185,302.690094,0.327642
2007-04-09,287.487915,298.543488,0.000000
2007-04-10,292.862915,303.853333,0.332538
2007-04-11,293.566895,305.895630,0.000000
2007-04-12,292.973907,303.898651,0.000000
2007-04-13,292.482880,301.807465,0.288299
2007-04-14,291.802094,304.799683,2.060783
2007-04-15,290.199493,307.413025,0.000000
2007-04-16,293.257111,309.029724,0.000000
2007-04-17,293.069855,307.132385,0.000000
2007-04-18,291.987305,303.731506,0.000000
2007-04-19,291.713806,301.821442,6.429534
2007-04-20,290.399628,301.343445,2.846724
2007-04-21,288.058258,297.125214,0.361886
2007-04-22,282.432953,293.901428,0.000000
2007-04-23,283.783813,301.310730,0.000000
2007-04-24,292.237305,305.112854,0.000000
2007-04-25,291.377045,305.941223,0.000000
2007-04-26,290.295044,304.257904,0.000000
2007-04-27,291.347321,303.040588,0.000000
2007-04-28,288.026642,302.058289,0.000000
2007-04-29,287.585480,299.645325,0.000000
2007-04-30,290.095215,300.488953,0.288758
2007-05-01,293.815277,300.514984,15.600661
2007-05-02,290.701111,297.887085,4.590417
2007-05-03,286.994995,297.880463,0.000000
2007-05-04,286.465881,300.403595,0.000000
2007-05-05,289.329315,303.045074,0.000000
2007-05-06,291.503357,307.034760,0.000000
2007-05-07,294.346588,307.293854,0.000000
2007-05-08,295.028381,304.465576,0.000000
2007-05-09,294.287628,301.807892,3.225320
2007-05-10,292.754486,302.222198,0.000000
2007-05-11,291.683807,302.013306,0.000000
2007-05-12,291.324280,305.624573,0.000000
2007-05-13,294.672089,305.461823,0.000000
2007-05-14,295.182770,305.239899,0.300540
2007-05-15,286.675354,298.833160,6.063187
2007-05-16,285.304443,294.114990,35.269501
2007-05-17,285.707001,295.020233,0.000000
2007-05-18,286.215179,299.777313,0.000000
2007-05-19,289.309479,301.474060,0.000000
2007-05-20,291.215118,302.169708,1.508139
2007-05-21,292.449219,301.796753,1.153502
2007-05-22,292.119324,304.608185,0.000000
2007-05-23,292.254608,304.279816,3.054488
2007-05-24,291.966370,303.923767,13.547071
2007-05-25,291.865204,307.344025,1.338327
2007-05-26,292.407104,306.359375,1.431542
2007-05-27,293.544281,299.945312,0.000000
2007-05-28,287.992096,296.407257,0.000000
2007-05-29,288.763245,301.687042,0.000000
2007-05-30,294.047943,302.164062,12.712297
2007-05-31,292.778046,306.031281,0.531732
2007-06-01,291.479065,306.557373,0.000000
2007-06-02,292.700653,305.362122,0.000000
2007-06-03,293.488342,309.411896,0.000000
2007-06-04,295.502045,311.133514,0.000000
2007-06-05,296.397430,310.853516,0.659033
2007-06-06,296.349030,308.953033,1.763893
2007-06-07,295.162781,309.494843,0.441365
2007-06-08,294.421539,309.392609,0.000000
2007-06-09,293.850769,306.055298,0.000000
2007-06-10,292.780731,305.011078,0.000000
2007-06-11,295.688934,306.862061,0.000000
2007-06-12,295.587494,308.510284,0.000000
2007-06-13,295.539429,309.338409,0.000000
2007-06-14,295.310089,311.204224,0.000000
2007-06-15,295.768219,308.434113,1.173403
2007-06-16,295.480164,304.246704,0.380273
2007-06-17,294.674683,302.411621,1.767589
2007-06-18,296.608002,305.025879,24.594776
2007-06-19,297.295044,307.750153,7.114013
2007-06-20,296.677124,306.408295,5.701225
2007-06-21,296.718414,305.927063,3.840358
2007-06-22,297.205841,305.047455,1.260549
2007-06-23,296.139191,307.160889,0.000000
2007-06-24,295.512299,304.243256,1.940329
2007-06-25,296.585114,301.869751,21.124741
2007-06-26,294.873047,304.313965,3.830906
2007-06-27,294.975952,308.377411,0.000000
2007-06-28,295.659119,309.061951,0.316511
2007-06-29,296.515900,307.259064,0.675593
2007-06-30,296.167694,310.083008,0.000000
2007-07-01,296.270386,313.048645,0.000000
2007-07-02,296.434998,310.632233,0.000000
2007-07-03,296.123627,308.952545,0.000000
2007-07-04,296.485596,310.583008,0.000000
2007-07-05,296.621887,310.475189,0.000000
2007-07-06,297.498138,309.012939,0.497063
2007-07-07,297.156189,307.259735,4.751083
2007-07-08,296.820709,304.721619,38.498833
2007-07-09,296.518494,300.033905,40.988403
2007-07-10,296.183136,302.426788,2.852049
2007-07-11,295.269226,306.778442,8.514168
2007-07-12,296.249542,305.694611,15.918517
2007-07-13,296.697113,304.176270,5.631954
2007-07-14,294.688232,306.378784,0.000000
2007-07-15,294.255920,307.494537,0.000000
2007-07-16,295.528137,307.778595,0.000000
2007-07-17,296.156464,307.079254,1.074584
2007-07-18,296.875305,308.964966,0.284407
2007-07-19,296.586243,307.986908,1.520027
2007-07-20,296.304382,308.827515,1.513387
2007-07-21,296.110504,311.048004,0.000000
2007-07-22,296.333038,309.127991,0.000000
2007-07-23,296.303741,307.597534,0.348433
2007-07-24,296.168304,307.731750,0.572176
2007-07-25,295.480530,307.930695,0.000000
2007-07-26,295.628662,307.384644,0.000000
2007-07-27,294.266327,308.788849,0.000000
2007-07-28,295.358093,310.572662,0.000000
2007-07-29,296.977661,309.471588,0.000000
2007-07-30,297.368744,309.008057,0.000000
2007-07-31,297.501709,308.930328,7.350088
2007-08-01,297.048767,309.223511,0.000000
2007-08-02,296.599182,310.736328,0.754163
2007-08-03,296.276764,311.679352,0.000000
2007-08-04,296.230072,310.971893,0.000000
2007-08-05,295.845367,309.867371,0.000000
2007-08-06,296.279572,308.146667,0.000000
2007-08-07,296.895111,306.317444,0.401652
