#Variables:
#tasmin_bcc-csm1-1-m_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_bcc-csm1-1-m_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_bcc-csm1-1-m_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1-m_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_bcc-csm1-1-m_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_bcc-csm1-1-m_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1-m_rcp45(K),tasmax_bcc-csm1-1-m_rcp45(K),pr_bcc-csm1-1-m_rcp45(mm)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1-m_rcp45(K),tasmax_bcc-csm1-1-m_rcp45(K),pr_bcc-csm1-1-m_rcp45(mm)
2006-02-01,272.513947,286.145721,16.359732
2006-02-02,272.064484,275.595978,20.988022
2006-02-03,268.329102,282.179718,0.000000
2006-02-04,273.493896,283.818390,0.445987
2006-02-05,276.150879,285.668121,0.000000
2006-02-06,276.925568,285.635529,7.046071
2006-02-07,273.517303,278.799927,2.985884
2006-02-08,273.228668,277.920593,0.000000
2006-02-09,272.858521,279.245758,5.157382
2006-02-10,273.570618,280.551697,0.000000
2006-02-11,272.083008,285.382324,0.000000
2006-02-12,274.668884,285.117096,0.000000
2006-02-13,272.875427,281.402252,0.000000
2006-02-14,274.706329,281.856537,0.000000
2006-02-15,279.242523,288.511292,0.000000
2006-02-16,280.577393,289.807770,0.000000
2006-02-17,279.619537,291.093933,0.000000
2006-02-18,286.139954,292.703583,7.205171
2006-02-19,288.670959,294.921417,5.140530
2006-02-20,289.011322,297.427490,6.339561
2006-02-21,281.179291,291.074402,0.000000
2006-02-22,279.299652,289.250946,0.000000
2006-02-23,283.326263,289.590271,2.421849
2006-02-24,281.474060,289.755737,5.861730
2006-02-25,285.603363,290.386536,2.382056
2006-02-26,282.152191,286.406708,27.965843
2006-02-27,277.613251,282.333832,16.252005
2006-02-28,277.283966,282.792297,5.608193
2006-03-01,273.682648,286.255035,0.000000
2006-03-02,275.397430,291.580444,0.000000
2006-03-03,278.809143,292.855804,0.000000
2006-03-04,281.427490,292.179932,0.000000
2006-03-05,281.653564,293.043335,0.000000
2006-03-06,284.927002,294.756958,0.000000
2006-03-07,285.655426,293.240509,0.000000
2006-03-08,286.537689,289.375519,29.604046
2006-03-09,286.736420,293.332428,15.249410
2006-03-10,286.371521,294.483276,21.924450
2006-03-11,283.047791,290.031036,1.127838
2006-03-12,278.341370,287.312653,0.000000
2006-03-13,279.083344,292.958618,0.000000
2006-03-14,278.251831,292.819519,0.000000
2006-03-15,278.951874,294.132782,0.000000
2006-03-16,281.957306,300.659332,0.000000
2006-03-17,281.964630,299.781586,2.152392
2006-03-18,277.311279,288.528229,0.000000
2006-03-19,271.699280,287.590881,0.000000
2006-03-20,276.369019,290.207977,0.000000
2006-03-21,277.979706,293.383118,0.000000
2006-03-22,283.043915,292.506805,0.577131
2006-03-23,287.866211,296.810974,1.308356
2006-03-24,278.980438,295.642914,0.581241
2006-03-25,278.384766,292.832489,0.000000
2006-03-26,279.817780,294.855682,0.000000
2006-03-27,283.081665,293.874084,2.677302
2006-03-28,286.809052,304.077789,0.000000
2006-03-29,290.718719,304.765747,0.000000
2006-03-30,291.270050,307.207092,0.582961
2006-03-31,293.865082,307.167480,0.000000
2006-04-01,286.296814,300.868408,1.156339
2006-04-02,285.469574,291.870880,1.363777
2006-04-03,287.471588,292.448425,0.000000
2006-04-04,287.394165,293.447815,0.000000
2006-04-05,288.004242,293.001801,0.000000
2006-04-06,289.439667,295.026184,0.391324
2006-04-07,288.446838,296.248169,0.304419
2006-04-08,289.690002,296.374908,39.275703
2006-04-09,290.057465,294.344940,3.430206
2006-04-10,281.512238,291.932220,0.000000
2006-04-11,279.590057,292.403076,0.000000
2006-04-12,279.986481,294.403992,0.000000
2006-04-13,282.592468,294.976532,0.000000
2006-04-14,289.289764,295.489105,2.425882
2006-04-15,289.718811,295.741089,0.000000
2006-04-16,289.124573,296.942169,0.000000
2006-04-17,291.065430,299.264038,9.274609
2006-04-18,291.463074,302.281250,15.430563
2006-04-19,289.670868,301.096344,15.329197
2006-04-20,285.451294,296.238708,0.000000
2006-04-21,283.046600,297.712311,0.000000
2006-04-22,284.563660,300.382263,0.000000
2006-04-23,287.069214,300.534729,0.000000
2006-04-24,287.649597,301.018799,0.000000
2006-04-25,287.342285,300.906708,1.631737
2006-04-26,283.770020,290.471863,0.000000
2006-04-27,284.577332,290.443298,1.417281
2006-04-28,286.204742,294.670898,0.000000
2006-04-29,285.484833,300.223450,0.000000
2006-04-30,287.395813,305.406830,0.000000
2006-05-01,288.242950,304.269318,0.000000
2006-05-02,286.825317,300.796753,0.000000
2006-05-03,289.009247,303.218964,0.000000
2006-05-04,291.268005,303.715729,0.000000
2006-05-05,292.011719,299.425659,9.832496
2006-05-06,286.991760,300.651306,0.439064
2006-05-07,286.620483,303.061035,0.000000
2006-05-08,290.034424,302.708679,0.000000
2006-05-09,293.241455,298.673248,0.000000
2006-05-10,294.246094,301.081024,0.000000
2006-05-11,293.386078,299.256805,8.796502
2006-05-12,292.150787,298.438568,0.472253
2006-05-13,292.358948,304.122192,0.000000
2006-05-14,293.645874,304.279022,0.000000
2006-05-15,293.559937,302.847656,15.287850
2006-05-16,294.436157,302.292389,0.000000
2006-05-17,293.629456,303.229401,0.000000
2006-05-18,293.153046,302.908630,5.779244
2006-05-19,291.872864,301.330017,2.452966
2006-05-20,293.290985,300.351868,0.000000
2006-05-21,293.491577,298.055237,0.000000
2006-05-22,293.566437,299.705994,19.510477
2006-05-23,294.594147,300.238800,3.208420
2006-05-24,294.740540,299.404602,0.000000
2006-05-25,295.306549,301.716431,3.150972
2006-05-26,295.792236,301.998077,0.536525
2006-05-27,294.130280,303.589020,0.000000
2006-05-28,293.556854,303.244659,1.015054
2006-05-29,294.189423,300.870026,1.547078
2006-05-30,294.964417,303.669983,10.609395
2006-05-31,292.787323,303.331421,6.200189
2006-06-01,290.604218,304.442596,0.000000
2006-06-02,291.671692,306.866730,0.000000
2006-06-03,293.125275,308.436340,0.000000
2006-06-04,291.484863,307.647003,0.000000
2006-06-05,292.200470,306.442444,0.000000
2006-06-06,293.420166,306.709015,0.000000
2006-06-07,294.408081,306.227997,0.000000
2006-06-08,295.673126,306.011108,1.400834
2006-06-09,296.473236,309.883514,9.977855
2006-06-10,295.456055,309.721222,0.000000
2006-06-11,296.920959,309.867157,0.000000
2006-06-12,296.572845,310.201050,2.337784
2006-06-13,296.620789,307.719788,8.324105
2006-06-14,295.697845,307.518005,0.000000
2006-06-15,295.045898,304.427307,30.300676
2006-06-16,293.621429,301.020050,9.234020
2006-06-17,293.397369,303.059937,16.515013
2006-06-18,292.493500,304.727142,3.292021
2006-06-19,293.390320,308.323669,0.484680
2006-06-20,294.281738,307.747498,0.000000
2006-06-21,294.993195,307.417542,0.785362
2006-06-22,294.869507,306.954681,0.000000
2006-06-23,294.798767,308.280396,0.000000
2006-06-24,295.307220,308.363281,0.751781
2006-06-25,293.869690,307.456940,3.425874
2006-06-26,294.395844,307.745850,0.435831
2006-06-27,292.588959,307.727509,0.000000
2006-06-28,293.333984,308.633728,0.000000
2006-06-29,292.634430,307.894257,0.000000
2006-06-30,293.036285,304.674255,1.224945
2006-07-01,293.911865,306.477722,4.187470
2006-07-02,293.266541,308.254333,0.000000
2006-07-03,297.067841,310.469482,0.000000
2006-07-04,296.356049,310.491547,0.000000
2006-07-05,294.360107,307.327576,0.000000
2006-07-06,294.276001,306.420349,7.153267
2006-07-07,295.320923,306.694275,2.992858
2006-07-08,295.268860,305.030731,13.206626
2006-07-09,295.161499,306.213440,1.397584
2006-07-10,295.762848,306.448486,0.000000
2006-07-11,295.038422,308.481903,0.000000
2006-07-12,295.521393,309.139160,0.000000
2006-07-13,295.231079,310.741882,0.000000
2006-07-14,295.074005,310.280731,0.000000
2006-07-15,294.420258,309.681335,0.000000
2006-07-16,294.858734,308.559906,0.000000
2006-07-17,295.135254,308.094208,0.000000
2006-07-18,295.769104,307.846680,0.000000
2006-07-19,295.860077,308.461731,0.000000
2006-07-20,296.130890,309.511841,0.000000
2006-07-21,296.751160,311.172119,0.000000
2006-07-22,297.983398,311.205444,6.466432
2006-07-23,298.397766,311.359344,0.000000
2006-07-24,297.799591,311.198151,0.000000
2006-07-25,296.610901,310.211304,0.000000
2006-07-26,296.378143,308.560974,0.000000
2006-07-27,296.192322,308.528320,0.000000
2006-07-28,295.951874,308.130890,0.000000
2006-07-29,296.512360,306.959656,0.000000
2006-07-30,296.096039,308.899139,0.000000
2006-07-31,295.855042,309.458740,0.000000
2006-08-01,295.545807,310.588165,0.000000
2006-08-02,295.504944,312.994446,0.000000
2006-08-03,298.026001,312.708801,0.000000
2006-08-04,296.762909,311.240723,0.000000
2006-08-05,296.185211,308.058411,0.000000
2006-08-06,294.692169,308.529572,0.870914
2006-08-07,296.988190,310.148621,0.000000
2006-08-08,298.738373,313.278900,0.000000
2006-08-09,298.142944,312.140930,0.501005
2006-08-10,295.937775,310.594910,0.000000
2006-08-11,295.189362,309.238708,0.000000
2006-08-12,296.487427,309.078522,0.000000
2006-08-13,295.574066,310.030334,0.000000
2006-08-14,296.175568,311.651886,0.323032
2006-08-15,296.645599,311.804810,0.000000
2006-08-16,297.072479,312.137726,0.000000
2006-08-17,299.384918,312.909058,0.000000
2006-08-18,299.808868,314.394623,0.000000
2006-08-19,298.835968,314.298279,0.000000
2006-08-20,299.411072,314.334656,0.000000
2006-08-21,298.502136,313.860962,0.000000
2006-08-22,297.034485,312.929596,0.000000
2006-08-23,298.270203,312.194427,0.000000
2006-08-24,298.496857,311.927307,0.000000
2006-08-25,297.859741,312.016144,0.000000
2006-08-26,297.178741,312.306549,0.000000
2006-08-27,296.232269,311.631348,0.000000
2006-08-28,296.246643,309.860565,4.142596
2006-08-29,295.987793,307.446289,0.639389
2006-08-30,294.576233,310.449951,0.000000
2006-08-31,296.329285,312.166382,0.000000
2006-09-01,297.172913,311.555603,0.000000
2006-09-02,296.698853,310.465637,0.000000
2006-09-03,296.084442,306.501373,0.000000
2006-09-04,295.223755,305.074493,0.000000
2006-09-05,294.792084,308.982788,0.000000
2006-09-06,296.274017,312.093262,0.000000
2006-09-07,297.301483,313.107513,0.000000
2006-09-08,298.222839,314.131287,0.000000
2006-09-09,297.129364,313.303894,0.000000
2006-09-10,297.661774,312.129974,0.000000
2006-09-11,295.627472,307.579163,1.473231
2006-09-12,296.505951,307.453094,1.619122
2006-09-13,296.628906,309.098236,2.696923
2006-09-14,295.816711,309.099823,0.000000
2006-09-15,293.842529,307.476349,0.000000
2006-09-16,294.108612,305.906555,3.194345
2006-09-17,294.377838,304.915131,0.000000
2006-09-18,295.997589,304.906921,1.132980
2006-09-19,294.706238,306.372437,1.417551
2006-09-20,295.073395,306.693115,0.000000
2006-09-21,294.914856,306.232788,0.000000
2006-09-22,295.234039,305.893066,0.000000
2006-09-23,295.592560,306.169403,0.393669
2006-09-24,295.080627,307.004120,0.000000
2006-09-25,294.244873,306.450195,0.000000
2006-09-26,293.601624,305.565643,0.000000
2006-09-27,294.993256,305.345886,5.230817
2006-09-28,293.828156,304.541229,18.309118
2006-09-29,294.358246,301.878265,14.912381
2006-09-30,295.424896,303.091095,0.000000
2006-10-01,293.835571,304.464966,0.571525
2006-10-02,292.773743,304.799744,0.000000
2006-10-03,293.786133,305.575928,0.000000
2006-10-04,290.895447,306.345032,0.000000
2006-10-05,292.082581,307.464722,0.000000
2006-10-06,292.338684,307.470245,0.000000
2006-10-07,293.994385,308.249664,0.000000
2006-10-08,292.036346,307.312592,0.000000
2006-10-09,292.138763,306.994293,0.000000
2006-10-10,294.150208,306.959686,0.000000
2006-10-11,292.005981,306.210419,0.000000
2006-10-12,291.799683,306.394958,0.000000
2006-10-13,292.865112,305.439484,0.000000
2006-10-14,294.122589,306.830261,0.864780
2006-10-15,296.290100,306.884766,0.000000
2006-10-16,295.905273,299.459137,11.390629
2006-10-17,295.571381,301.222992,1.150751
2006-10-18,293.195007,299.354736,0.291596
2006-10-19,293.743774,300.328125,0.712194
2006-10-20,293.468719,300.146057,11.643432
2006-10-21,285.254608,293.178070,7.788474
2006-10-22,284.817932,291.946228,44.719749
2006-10-23,286.042267,291.711182,35.160347
2006-10-24,284.013794,291.879395,20.949013
2006-10-25,284.186859,292.901062,1.923249
2006-10-26,285.379730,293.297760,0.000000
2006-10-27,285.523285,293.471405,0.000000
2006-10-28,285.231384,295.937988,0.000000
2006-10-29,285.539520,298.788269,0.000000
2006-10-30,286.160431,298.251770,0.000000
2006-10-31,288.532806,298.018372,12.128063
2006-11-01,284.243225,292.354614,0.000000
2006-11-02,280.639221,295.331909,0.000000
2006-11-03,283.689789,299.036194,0.000000
2006-11-04,285.955597,299.156982,0.000000
2006-11-05,284.683105,299.961639,0.000000
2006-11-06,285.327850,299.905548,0.000000
2006-11-07,283.673645,297.762421,0.000000
2006-11-08,285.613373,299.023560,0.000000
2006-11-09,285.435425,298.914673,0.000000
2006-11-10,286.066956,299.028748,0.000000
2006-11-11,288.759674,302.150543,0.000000
2006-11-12,291.464020,303.475525,0.000000
2006-11-13,286.734283,302.001801,0.000000
2006-11-14,288.302277,302.681610,0.000000
2006-11-15,287.392120,303.706635,0.000000
2006-11-16,290.047089,304.241241,0.000000
2006-11-17,289.709106,303.932556,0.000000
2006-11-18,291.205414,304.157867,1.429975
2006-11-19,290.852905,299.759521,0.807057
2006-11-20,286.713959,299.270355,1.611469
2006-11-21,281.005005,289.870514,0.475028
2006-11-22,276.325714,288.923340,0.000000
2006-11-23,280.288818,294.376099,0.000000
2006-11-24,285.891205,296.487854,0.000000
2006-11-25,285.764648,297.803650,0.000000
2006-11-26,285.927307,297.306427,0.000000
2006-11-27,279.443878,296.597290,0.000000
2006-11-28,282.469238,299.791718,0.000000
2006-11-29,284.404053,301.061462,0.000000
2006-11-30,283.365967,299.727325,0.000000
2006-12-01,275.709015,291.851105,0.000000
2006-12-02,275.276093,294.142731,0.000000
2006-12-03,275.517303,295.264282,0.000000
2006-12-04,278.685883,297.942566,0.000000
2006-12-05,286.520081,297.956421,2.706777
2006-12-06,287.050995,299.830078,0.000000
2006-12-07,284.269501,298.346802,0.000000
2006-12-08,280.393860,289.766541,0.000000
2006-12-09,275.996948,288.527344,0.000000
2006-12-10,273.338654,289.899261,0.819161
2006-12-11,269.130280,279.930969,1.273482
2006-12-12,269.213776,281.652496,0.000000
2006-12-13,271.839966,288.911804,0.000000
2006-12-14,276.287018,288.478027,1.276363
2006-12-15,273.121490,281.186218,3.196955
2006-12-16,260.982239,278.796387,0.000000
2006-12-17,259.515381,271.228607,0.000000
2006-12-18,262.109650,276.936096,0.000000
2006-12-19,269.194916,281.247711,0.000000
2006-12-20,270.994629,278.902740,1.190754
2006-12-21,270.329651,279.192047,0.612327
2006-12-22,272.128510,283.122040,0.000000
2006-12-23,271.129913,281.600677,3.015907
2006-12-24,269.855377,277.095642,0.603133
2006-12-25,271.822601,285.893707,0.000000
2006-12-26,273.506439,289.009186,0.000000
2006-12-27,275.688629,290.385132,0.000000
2006-12-28,278.065552,289.856415,0.000000
2006-12-29,280.789276,288.840973,0.878129
2006-12-30,275.637146,287.682678,0.000000
2006-12-31,272.336121,290.819519,0.000000
2007-01-01,277.060059,293.796570,0.000000
2007-01-02,277.723602,293.174225,0.000000
2007-01-03,277.805176,294.525299,0.000000
2007-01-04,276.130890,293.442871,0.000000
2007-01-05,273.563721,291.098755,0.000000
2007-01-06,275.949066,293.282898,0.000000
2007-01-07,277.449341,293.901886,0.000000
2007-01-08,279.818726,295.439209,0.000000
2007-01-09,281.208282,294.042328,0.000000
2007-01-10,284.738953,294.245636,0.407950
2007-01-11,286.292969,293.882721,2.983010
2007-01-12,289.881622,296.037231,7.242465
2007-01-13,285.915497,294.831451,2.571997
2007-01-14,278.006195,293.426300,2.602117
2007-01-15,277.429138,283.646149,3.998788
2007-01-16,277.337280,283.491394,3.752461
2007-01-17,279.016479,289.378632,0.000000
2007-01-18,277.477997,288.171814,1.129205
2007-01-19,278.600098,285.961945,0.000000
2007-01-20,279.299011,287.011719,0.000000
2007-01-21,275.426605,286.145844,0.000000
2007-01-22,277.708771,285.515808,0.000000
2007-01-23,281.074493,286.871490,1.538781
2007-01-24,270.127960,285.936096,1.282469
2007-01-25,269.049469,276.290833,0.000000
2007-01-26,270.199982,282.151703,0.000000
2007-01-27,272.749512,284.446655,0.000000
2007-01-28,276.448486,291.127625,0.344890
2007-01-29,280.955750,291.925049,0.000000
2007-01-30,278.745605,296.050842,0.000000
2007-01-31,282.342590,298.495575,0.000000
2007-02-01,284.703796,302.520660,0.000000
2007-02-02,286.705780,303.531830,0.000000
2007-02-03,281.039246,302.270355,0.805071
2007-02-04,258.101654,284.901764,13.635756
2007-02-05,261.104034,264.419434,1.014039
2007-02-06,256.131714,268.700348,0.000000
2007-02-07,264.307312,270.859497,0.000000
2007-02-08,267.393066,277.063110,0.328166
2007-02-09,270.351471,284.905731,0.000000
2007-02-10,273.585114,292.271088,0.000000
2007-02-11,277.931274,294.523987,0.000000
2007-02-12,278.630493,296.721436,0.000000
2007-02-13,283.419067,301.249725,0.000000
2007-02-14,284.095673,304.364380,0.000000
2007-02-15,285.757477,306.945496,0.000000
2007-02-16,287.741272,303.984009,0.000000
2007-02-17,287.208527,300.917572,0.000000
2007-02-18,279.562317,295.249420,0.000000
2007-02-19,280.844513,299.014618,0.000000
2007-02-20,282.208313,299.883636,0.000000
2007-02-21,284.233704,300.361725,0.000000
2007-02-22,284.890076,300.552948,0.000000
2007-02-23,284.990601,300.656433,0.000000
2007-02-24,274.340973,290.625610,0.000000
2007-02-25,278.389496,287.977295,2.245030
2007-02-26,282.487183,291.539886,1.877187
2007-02-27,288.205750,293.787201,1.444292
2007-02-28,289.069214,297.947113,0.491149
2007-03-01,286.034393,297.759186,1.673677
2007-03-02,284.921112,286.183350,21.466682
2007-03-03,286.653717,295.402496,23.727402
2007-03-04,282.018860,295.853149,8.527628
2007-03-05,277.480682,288.103149,0.335974
2007-03-06,275.227600,287.418091,0.000000
2007-03-07,273.723145,286.382019,0.000000
2007-03-08,279.463867,286.188110,0.000000
2007-03-09,272.553040,287.324036,0.000000
2007-03-10,278.735016,292.653259,0.000000
2007-03-11,281.151215,296.605835,0.000000
2007-03-12,280.998169,296.037109,0.000000
2007-03-13,278.739868,293.978912,0.000000
2007-03-14,280.817749,297.879211,0.000000
2007-03-15,286.461548,297.387360,0.000000
2007-03-16,288.126465,299.689972,0.000000
2007-03-17,289.130524,299.075134,7.669940
2007-03-18,286.362579,298.955597,1.157432
2007-03-19,284.219421,298.299927,4.546106
2007-03-20,281.014160,291.052460,0.379210
2007-03-21,280.585907,293.312073,0.000000
2007-03-22,279.035278,297.436371,0.000000
2007-03-23,283.036804,297.689575,0.000000
2007-03-24,283.620911,301.752869,0.000000
2007-03-25,287.391449,305.155396,0.000000
2007-03-26,289.474945,307.053986,0.000000
2007-03-27,291.655792,309.795990,0.000000
2007-03-28,289.705231,308.651245,0.000000
2007-03-29,278.548401,294.055420,0.000000
2007-03-30,280.919098,297.034393,0.000000
2007-03-31,286.289856,302.316803,0.000000
2007-04-01,286.781189,302.146973,0.000000
2007-04-02,285.289856,303.467651,0.000000
2007-04-03,289.477051,305.377319,0.879958
2007-04-04,283.253998,305.292450,0.000000
2007-04-05,279.203857,296.923523,0.000000
2007-04-06,284.719086,297.691986,0.000000
2007-04-07,287.510040,297.997864,4.465045
2007-04-08,288.105499,296.786377,26.235956
2007-04-09,286.290863,293.137512,14.031775
2007-04-10,284.085876,294.027527,15.324858
2007-04-11,282.198395,294.141174,0.000000
2007-04-12,282.784882,300.298340,0.000000
2007-04-13,286.811584,299.679504,0.000000
2007-04-14,287.514343,302.510132,0.000000
2007-04-15,288.653046,302.632843,0.000000
2007-04-16,289.410065,298.269897,0.000000
2007-04-17,288.996857,300.391388,1.152769
2007-04-18,288.741425,301.326019,0.000000
2007-04-19,289.707520,301.284973,0.000000
2007-04-20,289.686523,301.778503,0.000000
2007-04-21,290.396362,300.930695,0.000000
2007-04-22,288.473755,299.923553,0.000000
2007-04-23,286.850494,300.808563,0.000000
2007-04-24,287.986633,302.065430,0.000000
2007-04-25,288.043243,301.871124,0.000000
2007-04-26,291.460632,300.717804,0.000000
2007-04-27,291.549225,297.052673,0.600671
2007-04-28,291.258362,298.525726,2.044821
2007-04-29,291.753448,297.517975,4.412467
2007-04-30,293.430237,298.152802,1.966940
2007-05-01,293.329468,297.755768,31.468586
2007-05-02,291.666718,297.237213,24.851978
2007-05-03,283.793304,296.409546,0.000000
2007-05-04,284.329773,298.115143,0.000000
2007-05-05,287.421112,299.980957,0.000000
2007-05-06,288.732697,300.291382,0.000000
2007-05-07,288.290009,298.325470,0.486230
2007-05-08,289.137878,295.761047,17.717663
2007-05-09,289.600830,295.883057,0.000000
2007-05-10,291.272430,296.379303,0.000000
2007-05-11,292.084961,302.554443,0.000000
2007-05-12,293.072021,303.971039,8.653165
2007-05-13,294.517792,306.652313,0.279871
2007-05-14,294.765198,308.628235,0.000000
2007-05-15,294.033081,308.648346,0.000000
2007-05-16,292.861267,301.057190,21.329695
2007-05-17,293.462555,301.229370,1.379689
2007-05-18,286.577087,301.131744,0.000000
2007-05-19,285.841553,303.497467,0.000000
2007-05-20,292.448425,305.555878,0.000000
2007-05-21,294.500916,305.202698,0.000000
2007-05-22,293.366791,305.989960,0.000000
2007-05-23,293.915955,306.069214,0.000000
2007-05-24,294.094543,304.201874,0.000000
2007-05-25,295.543488,303.275269,0.000000
2007-05-26,295.748016,307.757660,1.018869
2007-05-27,295.098511,307.975525,0.000000
2007-05-28,290.918793,307.535461,0.000000
2007-05-29,287.474243,306.109985,0.000000
2007-05-30,293.912659,307.717773,0.000000
2007-05-31,292.186890,307.572601,0.000000
2007-06-01,292.690216,309.682129,0.282377
2007-06-02,293.957031,309.987030,0.000000
2007-06-03,293.557159,309.590118,0.000000
2007-06-04,294.503204,309.383392,0.000000
2007-06-05,294.019196,307.289825,1.283929
2007-06-06,294.376892,304.695526,0.000000
2007-06-07,294.501007,305.180847,0.000000
2007-06-08,294.536926,305.397247,0.000000
2007-06-09,293.746918,305.653381,0.000000
2007-06-10,294.828308,308.471466,0.000000
2007-06-11,297.076752,308.021301,10.507209
2007-06-12,295.751495,303.141022,13.144530
2007-06-13,296.570190,305.469788,10.423574
2007-06-14,296.243317,305.877991,0.000000
2007-06-15,295.901093,306.307953,2.000414
2007-06-16,294.608948,303.908508,4.215752
2007-06-17,292.991058,304.138489,22.029806
2007-06-18,291.897919,304.149902,1.492709
2007-06-19,295.625885,305.224457,0.376467
2007-06-20,295.357971,306.917572,0.000000
2007-06-21,296.575439,306.892059,0.879868
2007-06-22,295.543671,308.247650,0.000000
2007-06-23,295.667145,309.427002,0.348449
2007-06-24,296.014832,310.085327,0.000000
2007-06-25,296.081818,309.689941,0.000000
2007-06-26,296.253967,309.637421,2.428185
2007-06-27,295.982239,309.396423,0.293313
2007-06-28,295.316864,308.246246,0.000000
2007-06-29,296.886139,307.273254,16.138788
2007-06-30,295.106964,307.617828,14.288628
2007-07-01,295.970001,307.390564,0.000000
2007-07-02,295.887390,307.279175,0.000000
2007-07-03,295.767914,308.225983,3.062328
2007-07-04,295.170715,308.389893,3.844104
2007-07-05,294.550293,307.438049,5.350485
2007-07-06,295.484131,303.416138,2.618627
2007-07-07,296.675507,302.505676,5.892348
2007-07-08,295.607178,303.659515,3.359855
2007-07-09,295.507843,305.041962,15.904699
2007-07-10,295.562714,305.079163,3.176754
2007-07-11,295.349152,308.680420,0.000000
2007-07-12,294.827087,310.327209,0.000000
2007-07-13,295.419006,310.509766,0.000000
2007-07-14,297.124512,310.201874,0.000000
2007-07-15,297.449615,310.311005,0.000000
2007-07-16,297.222198,311.105316,0.000000
2007-07-17,297.623138,311.534363,0.000000
2007-07-18,297.731567,311.369019,0.000000
2007-07-19,297.637329,310.635254,0.000000
2007-07-20,297.234863,310.432251,0.000000
2007-07-21,296.132843,310.318451,4.090273
2007-07-22,295.995880,311.188049,0.000000
2007-07-23,297.527039,311.854248,0.000000
2007-07-24,299.014465,312.129333,0.000000
2007-07-25,298.253937,311.996552,0.000000
2007-07-26,297.878326,310.795807,0.619172
2007-07-27,296.192902,307.602356,2.026907
2007-07-28,295.810394,306.300659,0.000000
2007-07-29,296.755890,308.649292,0.490213
2007-07-30,295.560822,310.384583,0.000000
2007-07-31,296.079651,310.391296,0.000000
2007-08-01,296.698547,309.913055,0.000000
2007-08-02,296.506592,309.735443,2.118698
2007-08-03,296.680237,312.771973,0.000000
2007-08-04,299.463715,313.373779,0.000000
2007-08-05,299.646118,313.435974,0.000000
2007-08-06,297.929718,312.975342,0.000000
2007-08-07,296.381195,310.206482,0.000000
2007-08-08,297.270935,309.927521,0.000000
