#Variables:
#tasmin_IPSL-CM5B-LR_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5B-LR_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5B-LR_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5B-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5B-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5B-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5B-LR_historical(K),tasmax_IPSL-CM5B-LR_historical(K),pr_IPSL-CM5B-LR_historical(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5B-LR_historical(K),tasmax_IPSL-CM5B-LR_historical(K),pr_IPSL-CM5B-LR_historical(mm)
1950-05-08,295.702301,309.061218,0.000000
1950-05-09,295.142212,305.795929,0.000000
1950-05-10,295.204712,306.357391,0.000000
1950-05-11,293.422272,307.290314,0.000000
1950-05-12,293.281952,312.057220,0.000000
1950-05-13,293.910126,312.955994,0.000000
1950-05-14,294.165344,312.828918,0.000000
1950-05-15,295.054077,313.020294,0.000000
1950-05-16,296.148590,311.231720,0.000000
1950-05-17,297.680237,311.746368,0.000000
1950-05-18,299.471466,309.061127,0.000000
1950-05-19,298.494263,309.076569,0.000000
1950-05-20,295.681244,305.439056,0.434380
1950-05-21,296.101135,304.730164,2.672546
1950-05-22,294.161011,307.483490,5.192673
1950-05-23,294.199371,309.778656,0.000000
1950-05-24,294.459625,308.984436,0.000000
1950-05-25,294.312195,305.344360,0.000000
1950-05-26,294.036407,309.487183,0.000000
1950-05-27,297.161499,310.598358,0.000000
1950-05-28,296.581665,310.500183,0.000000
1950-05-29,297.051849,310.818665,0.000000
1950-05-30,296.442078,310.428680,0.000000
1950-05-31,296.716217,311.014465,1.910110
1950-06-01,296.178741,310.743439,0.000000
1950-06-02,298.042633,311.511139,0.434966
1950-06-03,296.502014,309.639618,0.000000
1950-06-04,297.206451,308.564056,0.000000
1950-06-05,298.219086,311.253601,3.092808
1950-06-06,296.244812,311.340851,1.078035
1950-06-07,295.199921,310.943787,1.373246
1950-06-08,297.149170,309.009033,0.000000
1950-06-09,297.120667,308.803528,0.000000
1950-06-10,297.641632,306.905884,0.000000
1950-06-11,295.716583,306.450409,2.020973
1950-06-12,295.210083,304.968964,0.384240
1950-06-13,295.047180,305.174011,1.034376
1950-06-14,295.549652,304.329163,3.089888
1950-06-15,296.317200,302.558502,5.718642
1950-06-16,295.598297,306.873932,6.447493
1950-06-17,294.756348,307.734406,3.327532
1950-06-18,295.124207,309.518188,0.000000
1950-06-19,295.722961,309.370972,0.000000
1950-06-20,295.553101,305.679901,0.000000
1950-06-21,294.570587,304.256866,0.877167
1950-06-22,295.582336,304.001190,0.000000
1950-06-23,295.119415,306.181976,0.000000
1950-06-24,295.312439,307.502625,0.000000
1950-06-25,295.950714,308.909332,0.000000
1950-06-26,296.604858,310.937958,0.000000
1950-06-27,297.888794,311.232849,2.234707
1950-06-28,297.241974,307.163635,0.000000
1950-06-29,294.945709,305.534332,0.000000
1950-06-30,295.297333,307.526154,0.000000
1950-07-01,295.901489,308.260498,0.000000
1950-07-02,296.196167,307.829376,0.000000
1950-07-03,296.289703,306.771240,0.000000
1950-07-04,295.885406,306.366516,0.000000
1950-07-05,295.718628,307.206268,0.000000
1950-07-06,296.275787,307.953400,0.000000
1950-07-07,296.781616,308.011108,0.000000
1950-07-08,296.818085,306.609253,0.494369
1950-07-09,297.329437,304.478271,22.484283
1950-07-10,296.098114,300.405487,38.886341
1950-07-11,297.035309,307.362213,13.471603
1950-07-12,295.944489,304.787903,4.247254
1950-07-13,294.428558,306.887970,0.000000
1950-07-14,295.822937,309.861237,0.000000
1950-07-15,296.422821,311.494934,0.000000
1950-07-16,296.385132,311.375061,0.000000
1950-07-17,296.511993,311.639587,0.000000
1950-07-18,297.691284,311.784454,0.000000
1950-07-19,296.660553,311.046295,0.000000
1950-07-20,295.906830,309.878082,0.000000
1950-07-21,296.050751,310.275391,0.000000
1950-07-22,296.315338,311.037964,0.000000
1950-07-23,296.359467,310.361847,0.000000
1950-07-24,296.999420,308.667786,0.314164
1950-07-25,296.879883,308.055206,0.000000
1950-07-26,296.009857,308.791901,0.000000
1950-07-27,296.181152,309.096710,0.979054
1950-07-28,296.857727,307.333221,2.082866
1950-07-29,297.425201,307.037720,5.329594
1950-07-30,296.415894,309.425964,1.399659
1950-07-31,296.966461,311.433075,0.000000
1950-08-01,296.353577,311.867279,0.000000
1950-08-02,296.317993,311.560730,0.000000
1950-08-03,295.871613,310.871307,0.000000
1950-08-04,295.635529,310.667358,0.000000
1950-08-05,297.046692,310.748016,0.000000
1950-08-06,296.813904,311.085724,0.000000
1950-08-07,296.685364,310.858612,0.000000
1950-08-08,296.971405,310.886688,0.000000
1950-08-09,296.773773,310.533539,0.000000
1950-08-10,296.562622,309.329590,0.000000
1950-08-11,295.430450,308.273743,0.000000
1950-08-12,295.526245,307.710571,0.000000
1950-08-13,295.699768,307.436890,0.000000
1950-08-14,295.799744,307.687988,0.000000
1950-08-15,295.957703,307.448456,1.864841
1950-08-16,295.910736,305.918976,4.364295
1950-08-17,296.045380,305.076324,3.031772
1950-08-18,295.869904,307.965210,0.000000
1950-08-19,295.145660,309.666870,0.000000
1950-08-20,295.734985,310.299835,0.000000
1950-08-21,296.345734,310.344299,0.509940
1950-08-22,296.136749,311.076385,1.518671
1950-08-23,294.647858,304.162842,5.755125
1950-08-24,290.705902,302.406189,1.309380
1950-08-25,289.345398,307.358246,6.123281
1950-08-26,291.746368,309.505005,0.000000
1950-08-27,294.851593,311.715118,0.452038
1950-08-28,298.801605,312.263428,0.000000
1950-08-29,296.272491,313.347656,0.000000
1950-08-30,297.284943,312.583099,0.000000
1950-08-31,296.066376,311.152222,1.725708
1950-09-01,297.159851,311.088501,0.000000
1950-09-02,297.296051,309.896362,3.890242
1950-09-03,297.314880,306.594421,3.633353
1950-09-04,297.139191,306.377411,1.856728
1950-09-05,295.839905,306.059265,0.000000
1950-09-06,294.288879,307.024445,0.000000
1950-09-07,294.045532,307.591522,0.000000
1950-09-08,294.604156,308.347565,0.000000
1950-09-09,294.747345,308.619965,0.000000
1950-09-10,295.162659,309.004669,0.000000
1950-09-11,295.793823,308.948425,0.000000
1950-09-12,296.425293,308.849731,0.000000
1950-09-13,295.081543,307.797882,0.000000
1950-09-14,295.067871,308.560608,0.000000
1950-09-15,295.418915,309.684082,0.000000
1950-09-16,296.740723,307.634613,0.000000
1950-09-17,294.377075,305.316437,0.000000
1950-09-18,294.339691,303.691406,0.000000
1950-09-19,294.632263,298.002045,0.000000
1950-09-20,293.938141,307.361389,3.905811
1950-09-21,297.011108,311.314209,5.389558
1950-09-22,295.381683,309.600861,0.000000
1950-09-23,295.951904,305.943848,0.000000
1950-09-24,287.371368,302.866394,0.000000
1950-09-25,289.662689,306.967041,0.000000
1950-09-26,294.879059,308.021271,0.000000
1950-09-27,291.910217,307.632751,0.000000
1950-09-28,292.734070,305.009888,0.000000
1950-09-29,293.256134,303.621613,2.730859
1950-09-30,292.066284,303.025879,7.146183
1950-10-01,291.905670,307.448578,0.000000
1950-10-02,294.060364,309.634827,0.000000
1950-10-03,291.102814,307.260681,0.000000
1950-10-04,292.188904,308.420685,0.000000
1950-10-05,293.891052,310.214813,0.000000
1950-10-06,294.452484,309.121490,0.000000
1950-10-07,295.123169,308.270233,0.000000
1950-10-08,296.065582,307.490143,0.381563
1950-10-09,294.375519,305.753998,2.859664
1950-10-10,292.009247,305.310089,0.304298
1950-10-11,291.991272,305.177185,0.000000
1950-10-12,292.270477,305.925751,0.000000
1950-10-13,293.263214,306.490967,0.000000
1950-10-14,294.003387,304.657043,0.000000
1950-10-15,287.625122,303.891541,0.000000
1950-10-16,288.913239,306.096008,0.000000
1950-10-17,291.943268,307.262054,0.000000
1950-10-18,291.722534,303.358978,0.000000
1950-10-19,290.751892,302.040070,0.602020
1950-10-20,293.753571,299.917664,3.885929
1950-10-21,293.142944,300.345642,13.289309
1950-10-22,292.585815,299.485565,2.317671
1950-10-23,290.414917,298.905151,14.035028
1950-10-24,289.859558,302.404144,0.000000
1950-10-25,286.548065,303.414886,0.000000
1950-10-26,288.216919,304.031219,0.000000
1950-10-27,293.227112,300.112152,1.061105
1950-10-28,289.865173,299.237030,19.102577
1950-10-29,287.731354,297.405121,4.910009
1950-10-30,283.889404,297.153107,0.000000
1950-10-31,282.658356,298.948029,0.000000
1950-11-01,281.715088,300.485138,0.000000
1950-11-02,289.305054,302.366669,0.548549
1950-11-03,286.465302,300.094360,0.320621
1950-11-04,272.412872,292.622711,0.524471
1950-11-05,269.886047,286.491974,0.000000
1950-11-06,270.417297,288.633148,0.000000
1950-11-07,272.833679,295.392029,0.000000
1950-11-08,282.143494,299.439423,0.000000
1950-11-09,286.933899,298.892761,2.143158
1950-11-10,285.362823,297.034424,17.430273
1950-11-11,277.402924,290.625763,0.000000
1950-11-12,281.895691,290.670441,5.375033
1950-11-13,280.940521,287.259216,12.948194
1950-11-14,283.742249,290.572266,16.571762
1950-11-15,282.294830,290.017273,2.665091
1950-11-16,283.780823,296.883209,0.360508
1950-11-17,280.324524,296.503998,0.000000
1950-11-18,278.706604,291.166779,0.000000
1950-11-19,279.158722,289.227051,0.000000
1950-11-20,285.932434,293.517029,2.811406
1950-11-21,280.063812,297.600464,0.000000
1950-11-22,276.940460,295.941864,0.000000
1950-11-23,278.470093,290.461304,0.000000
1950-11-24,272.407410,286.852081,0.000000
1950-11-25,279.389252,293.492615,1.804300
1950-11-26,280.482361,296.485046,0.000000
1950-11-27,274.816010,294.627533,0.000000
1950-11-28,277.101410,290.156219,3.518100
1950-11-29,277.534119,285.106598,24.756273
1950-11-30,277.354370,285.682526,0.457919
1950-12-01,272.436554,289.594238,0.000000
1950-12-02,276.633606,297.605377,0.000000
1950-12-03,277.545349,293.262390,0.000000
1950-12-04,271.577454,290.649078,0.000000
1950-12-05,273.602295,295.552582,0.000000
1950-12-06,283.374207,295.718445,0.000000
1950-12-07,283.095276,299.223175,0.000000
1950-12-08,276.255402,294.951202,2.191594
1950-12-09,274.130829,280.372314,3.350634
1950-12-10,275.401398,286.185242,0.000000
1950-12-11,277.871490,289.097534,0.000000
1950-12-12,273.041962,287.887543,0.000000
1950-12-13,270.709137,283.117859,0.000000
1950-12-14,269.297150,286.197235,0.000000
1950-12-15,272.421997,291.849731,0.000000
1950-12-16,275.920685,294.524902,0.000000
1950-12-17,280.485809,295.659882,0.000000
1950-12-18,283.789185,293.587128,11.403765
1950-12-19,276.984070,295.115540,0.000000
1950-12-20,282.323975,297.119446,0.000000
1950-12-21,276.950043,290.984406,0.000000
1950-12-22,269.860840,287.499451,0.000000
1950-12-23,270.905182,291.135620,0.000000
1950-12-24,275.622925,292.914368,0.000000
1950-12-25,276.629517,289.393433,4.953639
1950-12-26,276.732666,284.743408,14.541707
1950-12-27,274.384705,282.668640,13.248768
1950-12-28,270.041199,273.967651,1.111647
1950-12-29,274.034607,277.218842,0.000000
1950-12-30,274.528748,283.692749,0.000000
1950-12-31,274.451813,286.531982,0.000000
1951-01-01,268.059021,284.514557,10.078406
1951-01-02,266.209747,269.993378,1.942665
1951-01-03,268.103333,281.248413,0.000000
1951-01-04,269.813599,286.177460,0.000000
1951-01-05,270.313446,282.457703,0.000000
1951-01-06,267.601654,290.089722,0.000000
1951-01-07,273.075317,294.692444,0.000000
1951-01-08,276.089966,295.887848,0.847751
1951-01-09,278.503723,300.372772,0.000000
1951-01-10,281.999420,295.025299,1.866873
1951-01-11,268.698761,288.057831,2.265298
1951-01-12,267.561920,277.735931,0.358072
1951-01-13,270.041168,278.708984,0.682671
1951-01-14,273.129608,284.444427,3.283933
1951-01-15,269.603851,285.374054,0.000000
1951-01-16,274.378326,285.623596,0.000000
1951-01-17,274.835938,288.214447,0.000000
1951-01-18,280.575500,292.340729,0.000000
1951-01-19,281.411926,296.393585,0.555152
1951-01-20,281.058319,291.985870,1.259064
1951-01-21,276.025726,293.391754,0.000000
1951-01-22,278.562256,298.494995,0.000000
1951-01-23,282.431580,299.467194,0.000000
1951-01-24,283.416809,299.937500,0.000000
1951-01-25,286.744873,298.149475,0.000000
1951-01-26,280.975891,294.187744,3.675242
1951-01-27,270.696838,283.332001,1.110954
1951-01-28,271.840515,288.765625,0.000000
1951-01-29,278.864105,295.748352,0.000000
1951-01-30,278.848328,290.416595,0.000000
1951-01-31,276.945465,296.743286,0.000000
1951-02-01,284.738800,293.330872,0.000000
1951-02-02,281.117554,290.031860,3.363323
1951-02-03,277.578094,285.147430,3.608715
1951-02-04,276.874481,281.723175,16.167667
1951-02-05,279.552246,285.681793,35.341824
1951-02-06,281.362183,285.982361,35.185963
1951-02-07,281.236359,287.415985,11.461277
1951-02-08,278.360504,285.504852,2.482640
1951-02-09,276.613953,283.101349,0.717459
1951-02-10,276.346191,284.332977,0.936816
1951-02-11,276.692169,286.547180,0.000000
1951-02-12,281.107391,287.987701,3.012654
1951-02-13,281.688232,288.905884,16.978653
1951-02-14,287.242065,297.407990,1.272695
1951-02-15,285.103271,295.494232,0.834486
1951-02-16,277.957825,289.953033,0.000000
1951-02-17,281.208893,295.435852,0.000000
1951-02-18,281.269409,291.160461,0.000000
1951-02-19,274.356995,285.459717,0.000000
1951-02-20,278.130310,294.217590,0.000000
1951-02-21,280.319855,299.797852,0.000000
1951-02-22,284.488861,299.957336,0.000000
1951-02-23,287.959869,297.491974,2.031209
1951-02-24,284.393616,295.195435,12.941607
1951-02-25,279.000671,290.410278,6.138014
1951-02-26,275.617371,285.561676,0.000000
1951-02-27,277.936768,286.448273,0.000000
1951-02-28,279.226837,290.342316,0.000000
1951-03-01,280.599884,293.932831,3.183455
1951-03-02,282.821136,293.221191,1.681762
1951-03-03,276.710785,288.870544,0.474900
1951-03-04,277.678406,291.443756,0.000000
1951-03-05,283.119232,296.650238,0.817553
1951-03-06,285.942596,293.538239,1.580685
1951-03-07,272.334198,285.495453,1.069207
1951-03-08,272.790466,290.809692,0.000000
1951-03-09,279.463226,297.702393,0.000000
1951-03-10,284.534027,296.054138,6.296325
1951-03-11,277.619141,286.986908,0.366960
1951-03-12,273.281952,292.623383,0.000000
1951-03-13,278.048401,296.802429,0.000000
1951-03-14,280.687866,300.109436,0.000000
1951-03-15,283.819550,302.976959,0.000000
1951-03-16,286.342163,302.986023,0.000000
1951-03-17,285.679291,299.756378,0.000000
1951-03-18,285.855194,300.097534,0.000000
1951-03-19,288.140076,298.880737,0.993159
1951-03-20,287.001343,295.190125,6.637556
1951-03-21,279.677124,288.999420,0.709011
1951-03-22,277.283081,289.964172,0.000000
1951-03-23,279.634155,292.153809,0.000000
1951-03-24,285.538513,292.501373,0.749943
1951-03-25,285.735901,293.279938,4.522250
1951-03-26,288.246887,299.598816,3.739176
1951-03-27,285.483154,297.574158,0.000000
1951-03-28,285.172821,296.526031,0.000000
1951-03-29,284.386627,294.161041,3.126615
1951-03-30,279.227997,293.637360,0.000000
1951-03-31,284.174194,300.098846,0.000000
1951-04-01,287.695923,303.777527,0.000000
1951-04-02,289.513885,299.722260,0.000000
1951-04-03,279.754669,294.893280,18.198200
1951-04-04,281.406006,291.512024,2.367476
1951-04-05,284.561920,294.138977,0.879865
1951-04-06,284.840210,300.143585,1.581934
1951-04-07,285.324646,302.589539,0.000000
1951-04-08,285.929810,301.496002,0.000000
1951-04-09,287.433167,303.399506,0.000000
1951-04-10,290.331299,300.677246,0.407533
1951-04-11,284.469208,294.843475,0.000000
1951-04-12,281.505615,295.841766,0.000000
1951-04-13,286.981079,299.858063,0.000000
1951-04-14,289.721558,301.225830,0.000000
1951-04-15,286.623016,299.805695,0.000000
1951-04-16,286.679749,297.721741,0.000000
1951-04-17,286.069214,300.352844,0.000000
1951-04-18,290.234863,301.324188,0.000000
1951-04-19,290.835724,300.403778,3.057320
1951-04-20,287.906677,295.811737,2.769512
1951-04-21,280.775208,286.021118,0.000000
1951-04-22,280.160706,291.090851,0.000000
1951-04-23,281.610352,299.142487,0.000000
1951-04-24,285.802002,302.259918,0.000000
1951-04-25,288.601868,302.711151,0.000000
1951-04-26,290.405426,302.660065,0.000000
1951-04-27,292.024445,302.957184,0.000000
1951-04-28,290.193848,304.672516,0.443296
1951-04-29,289.576050,302.067780,0.544556
1951-04-30,287.450317,298.721558,0.000000
1951-05-01,287.476685,293.891541,0.000000
1951-05-02,287.050690,299.444305,0.000000
1951-05-03,290.369354,305.176575,0.000000
1951-05-04,290.660034,306.909271,0.000000
1951-05-05,293.060242,307.596405,0.000000
1951-05-06,292.898193,304.970520,0.000000
1951-05-07,290.470734,304.006805,0.000000
1951-05-08,289.005066,301.818695,0.000000
1951-05-09,284.596405,294.683350,0.000000
1951-05-10,284.269592,296.954285,0.000000
1951-05-11,287.028687,300.590698,0.000000
1951-05-12,290.535156,299.386261,0.000000
1951-05-13,292.545654,301.009155,0.000000
1951-05-14,292.595428,300.058289,0.000000
1951-05-15,292.338135,301.654755,6.828973
1951-05-16,292.417236,300.353424,15.780446
1951-05-17,293.421478,304.957001,0.846851
1951-05-18,293.283722,305.120331,0.000000
1951-05-19,295.201508,303.307281,0.000000
1951-05-20,295.200378,305.095795,4.888812
1951-05-21,294.331573,306.618683,1.906534
1951-05-22,292.801178,303.867065,0.750132
1951-05-23,292.879486,299.693481,8.308594
1951-05-24,293.732025,297.739777,2.689695
1951-05-25,292.816040,299.273590,4.442104
1951-05-26,292.121185,300.424896,5.017320
1951-05-27,292.018982,304.386475,0.000000
1951-05-28,292.177887,307.996582,0.000000
1951-05-29,294.654480,308.873077,0.000000
1951-05-30,296.410065,309.048218,3.302292
1951-05-31,295.970703,308.265442,0.786084
1951-06-01,295.972961,307.263367,0.556240
1951-06-02,296.076263,303.258575,7.781780
1951-06-03,294.870148,300.794281,3.882266
1951-06-04,296.985962,302.062225,15.596764
1951-06-05,296.377899,301.468750,37.920933
1951-06-06,294.920715,300.277252,7.300580
1951-06-07,294.942902,305.968567,5.502598
1951-06-08,294.755890,309.275177,0.794168
1951-06-09,292.165100,308.218323,0.000000
1951-06-10,293.652527,310.556946,0.000000
1951-06-11,295.069122,311.990143,0.000000
1951-06-12,295.682404,310.623413,0.000000
1951-06-13,295.776123,308.472137,4.397279
1951-06-14,296.638519,306.266388,6.228128
1951-06-15,296.570465,307.264435,1.564010
1951-06-16,295.919739,306.525665,12.945183
1951-06-17,296.124176,302.464905,16.122326
1951-06-18,295.388428,303.007172,6.126414
1951-06-19,294.585815,306.135498,0.000000
1951-06-20,294.855408,307.716125,0.000000
1951-06-21,295.178986,309.133087,0.000000
1951-06-22,296.184113,308.873749,0.795029
1951-06-23,297.165161,309.600342,0.000000
1951-06-24,297.760590,311.202454,0.000000
1951-06-25,296.793945,310.552765,0.000000
1951-06-26,296.243866,307.777344,0.000000
1951-06-27,295.358063,307.352539,0.000000
1951-06-28,296.160309,307.208374,0.000000
1951-06-29,295.885895,305.428894,1.672662
1951-06-30,295.574158,308.569244,8.280269
1951-07-01,295.615936,307.177612,1.998822
1951-07-02,294.801514,308.878754,0.633459
1951-07-03,295.261169,307.220459,0.000000
1951-07-04,293.973450,304.526459,0.745297
1951-07-05,294.450836,305.167023,0.000000
1951-07-06,295.081665,304.270050,0.000000
1951-07-07,294.332306,305.557190,11.552744
1951-07-08,295.276550,303.544556,5.447937
1951-07-09,295.290283,303.464935,9.250094
1951-07-10,295.192017,302.532501,12.980786
1951-07-11,295.501190,304.788727,5.805288
1951-07-12,295.799072,307.330322,0.000000
1951-07-13,295.590393,308.485779,0.000000
1951-07-14,295.352295,309.042480,0.000000
1951-07-15,296.332550,307.635681,0.000000
1951-07-16,295.802887,305.203125,0.000000
1951-07-17,293.594604,301.509369,14.651173
1951-07-18,293.869720,300.520081,44.750950
1951-07-19,296.705048,302.823425,62.055855
1951-07-20,297.360626,303.055328,5.885509
1951-07-21,297.846710,305.988861,1.430680
1951-07-22,296.551941,308.476501,0.000000
1951-07-23,296.943176,308.978607,0.000000
1951-07-24,298.100952,308.641541,0.000000
1951-07-25,297.228455,308.571259,0.000000
1951-07-26,296.918060,310.155579,0.000000
1951-07-27,296.128723,310.513794,0.000000
1951-07-28,296.533875,309.623718,0.000000
1951-07-29,296.860748,308.330353,0.000000
1951-07-30,295.627716,306.573730,0.303256
1951-07-31,295.057129,304.541565,0.285730
1951-08-01,294.872894,305.526245,0.859557
1951-08-02,295.286652,306.401520,2.256945
1951-08-03,296.016846,306.935852,0.000000
1951-08-04,295.487061,307.984039,0.000000
1951-08-05,294.606354,308.243988,0.000000
1951-08-06,295.085480,308.278320,0.000000
1951-08-07,294.827545,308.397217,0.000000
1951-08-08,295.102509,308.874420,0.000000
1951-08-09,294.770569,308.705719,0.000000
