#Variables:
#tasmax_bcc-csm1-1_historical(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K)"
1950-04-06,297.045105
1950-04-07,298.957794
1950-04-08,298.367035
1950-04-09,298.911163
1950-04-10,298.431946
1950-04-11,297.460114
1950-04-12,301.419037
1950-04-13,303.114258
1950-04-14,305.502197
1950-04-15,307.072845
1950-04-16,306.622803
1950-04-17,305.955078
1950-04-18,307.503815
1950-04-19,308.778992
1950-04-20,307.149506
1950-04-21,307.097931
1950-04-22,305.005768
1950-04-23,297.619537
1950-04-24,300.343842
1950-04-25,304.488739
1950-04-26,303.976074
1950-04-27,301.408203
1950-04-28,301.937653
1950-04-29,303.222504
1950-04-30,301.195007
1950-05-01,298.226837
1950-05-02,297.143097
1950-05-03,298.520081
1950-05-04,299.067078
1950-05-05,298.785431
1950-05-06,297.682495
1950-05-07,300.852173
1950-05-08,304.438690
1950-05-09,308.364410
1950-05-10,311.121246
1950-05-11,309.031097
1950-05-12,307.768158
1950-05-13,306.723511
1950-05-14,306.653351
1950-05-15,304.297211
1950-05-16,303.686005
1950-05-17,302.830017
1950-05-18,303.307281
1950-05-19,303.633636
1950-05-20,302.624237
1950-05-21,301.472504
1950-05-22,301.293549
1950-05-23,299.563324
1950-05-24,300.479492
1950-05-25,301.211670
1950-05-26,301.266388
1950-05-27,302.248016
1950-05-28,302.503143
1950-05-29,302.251312
1950-05-30,302.281372
1950-05-31,304.887177
1950-06-01,305.290863
1950-06-02,305.996674
1950-06-03,305.773834
1950-06-04,302.720398
1950-06-05,301.133453
1950-06-06,300.661224
1950-06-07,301.167480
1950-06-08,301.203735
1950-06-09,303.942871
1950-06-10,305.664978
1950-06-11,307.209167
1950-06-12,308.465515
1950-06-13,308.190308
1950-06-14,310.996246
1950-06-15,312.000824
1950-06-16,311.399658
1950-06-17,308.803406
1950-06-18,305.667755
1950-06-19,309.467407
1950-06-20,307.774750
1950-06-21,308.173584
1950-06-22,309.408966
1950-06-23,308.867126
1950-06-24,308.780457
1950-06-25,306.920166
1950-06-26,305.861786
1950-06-27,306.635529
1950-06-28,306.520508
1950-06-29,307.502625
1950-06-30,309.541260
1950-07-01,310.612152
1950-07-02,310.008453
1950-07-03,309.755585
1950-07-04,308.184692
1950-07-05,307.475922
1950-07-06,308.261139
1950-07-07,308.319580
1950-07-08,309.574738
1950-07-09,310.023102
1950-07-10,309.377319
1950-07-11,311.290771
1950-07-12,313.571472
1950-07-13,313.687500
1950-07-14,312.441071
1950-07-15,311.156891
1950-07-16,310.312073
1950-07-17,309.425171
1950-07-18,310.621490
1950-07-19,310.309692
1950-07-20,309.091858
1950-07-21,306.800964
1950-07-22,307.707428
1950-07-23,308.496704
1950-07-24,307.985168
1950-07-25,307.220673
1950-07-26,307.221710
1950-07-27,308.215576
1950-07-28,308.175446
1950-07-29,308.043396
1950-07-30,309.094788
1950-07-31,308.188049
1950-08-01,307.114838
1950-08-02,307.356110
1950-08-03,305.806549
1950-08-04,304.597717
1950-08-05,304.587372
1950-08-06,305.199097
1950-08-07,306.401001
1950-08-08,307.307983
1950-08-09,306.899170
1950-08-10,306.455231
1950-08-11,306.555389
1950-08-12,306.769989
1950-08-13,308.248779
1950-08-14,309.645935
1950-08-15,310.644653
1950-08-16,311.030792
1950-08-17,310.467834
1950-08-18,309.836823
1950-08-19,308.143463
1950-08-20,307.469208
1950-08-21,308.427124
1950-08-22,310.616943
1950-08-23,310.945007
1950-08-24,311.063019
1950-08-25,310.285797
1950-08-26,309.977173
1950-08-27,309.005768
1950-08-28,308.498505
1950-08-29,306.651703
1950-08-30,307.485260
1950-08-31,307.761200
1950-09-01,308.424957
1950-09-02,308.191345
1950-09-03,307.272095
1950-09-04,307.311707
1950-09-05,308.098541
1950-09-06,310.075928
1950-09-07,311.420319
1950-09-08,310.512756
1950-09-09,308.023956
1950-09-10,304.952271
1950-09-11,305.772552
1950-09-12,307.767303
1950-09-13,307.136627
1950-09-14,307.245331
1950-09-15,307.098938
1950-09-16,307.551666
1950-09-17,307.171173
1950-09-18,306.283264
1950-09-19,304.819763
1950-09-20,305.442932
1950-09-21,305.639618
1950-09-22,304.522400
1950-09-23,304.114319
1950-09-24,302.064728
1950-09-25,302.939941
1950-09-26,304.905182
1950-09-27,307.083893
1950-09-28,306.253418
1950-09-29,301.049622
1950-09-30,304.835754
1950-10-01,306.184113
1950-10-02,306.006897
1950-10-03,305.031494
1950-10-04,306.019073
1950-10-05,305.916199
1950-10-06,303.607178
1950-10-07,300.628296
1950-10-08,298.978241
1950-10-09,297.764557
1950-10-10,300.188202
1950-10-11,301.284424
1950-10-12,302.273621
1950-10-13,304.401062
1950-10-14,304.830261
1950-10-15,305.386200
1950-10-16,305.324310
1950-10-17,304.715881
1950-10-18,302.488007
1950-10-19,300.984985
1950-10-20,300.129181
1950-10-21,296.216766
1950-10-22,296.562378
1950-10-23,297.049103
1950-10-24,299.292450
1950-10-25,300.525238
1950-10-26,297.577301
1950-10-27,296.574066
1950-10-28,299.897797
1950-10-29,299.324585
1950-10-30,295.355438
1950-10-31,296.216827
1950-11-01,299.508759
1950-11-02,299.522827
1950-11-03,297.399536
1950-11-04,298.906952
1950-11-05,298.099182
1950-11-06,296.966187
1950-11-07,295.713806
1950-11-08,294.015869
1950-11-09,294.813141
1950-11-10,296.035675
1950-11-11,297.906158
1950-11-12,299.918060
1950-11-13,300.433655
1950-11-14,300.634705
1950-11-15,301.705872
1950-11-16,300.529785
1950-11-17,297.500153
1950-11-18,288.287811
1950-11-19,292.059143
1950-11-20,292.819763
1950-11-21,295.744232
1950-11-22,296.222626
1950-11-23,298.945831
1950-11-24,296.836090
1950-11-25,291.700989
1950-11-26,292.849823
1950-11-27,291.757751
1950-11-28,289.305878
1950-11-29,285.663635
1950-11-30,283.430359
1950-12-01,289.380890
1950-12-02,289.930084
1950-12-03,289.098907
1950-12-04,289.321777
1950-12-05,287.776855
1950-12-06,287.892670
1950-12-07,290.667969
1950-12-08,295.829468
1950-12-09,293.062927
1950-12-10,279.844116
1950-12-11,291.563812
1950-12-12,297.231110
1950-12-13,295.391357
1950-12-14,291.318604
1950-12-15,282.463318
1950-12-16,290.924652
1950-12-17,296.396362
1950-12-18,295.292603
1950-12-19,280.196564
1950-12-20,273.092560
1950-12-21,275.895233
1950-12-22,281.555878
1950-12-23,289.897949
1950-12-24,291.070770
1950-12-25,292.959412
1950-12-26,292.280273
1950-12-27,297.081329
1950-12-28,294.453735
1950-12-29,291.960571
1950-12-30,289.593658
1950-12-31,287.599640
1951-01-01,287.544952
1951-01-02,286.615051
1951-01-03,289.572723
1951-01-04,290.380585
1951-01-05,285.972748
1951-01-06,286.151855
1951-01-07,286.852112
1951-01-08,292.476105
1951-01-09,295.566284
1951-01-10,293.287079
1951-01-11,294.581451
1951-01-12,297.732269
1951-01-13,295.543091
1951-01-14,295.188293
1951-01-15,292.562012
1951-01-16,296.224304
1951-01-17,295.804504
1951-01-18,292.299072
1951-01-19,282.560974
1951-01-20,278.268829
1951-01-21,286.827545
1951-01-22,288.677277
1951-01-23,288.479431
1951-01-24,283.318268
1951-01-25,288.028809
1951-01-26,293.248810
1951-01-27,298.661469
1951-01-28,300.115479
1951-01-29,301.043610
1951-01-30,299.742645
1951-01-31,295.095703
1951-02-01,294.195129
1951-02-02,292.788422
1951-02-03,293.978149
1951-02-04,295.006226
1951-02-05,295.966675
1951-02-06,295.002319
1951-02-07,279.455444
1951-02-08,287.135559
1951-02-09,291.089325
1951-02-10,288.533051
1951-02-11,286.616241
1951-02-12,290.671875
1951-02-13,294.271240
1951-02-14,291.648132
1951-02-15,287.745087
1951-02-16,285.644440
1951-02-17,285.916931
1951-02-18,285.087921
1951-02-19,287.362183
1951-02-20,286.375061
1951-02-21,291.584259
1951-02-22,293.238770
1951-02-23,292.074982
1951-02-24,294.910583
1951-02-25,296.474243
1951-02-26,296.011017
1951-02-27,296.897766
1951-02-28,298.088959
1951-03-01,295.648254
1951-03-02,286.315857
1951-03-03,286.385040
1951-03-04,292.768616
1951-03-05,293.750641
1951-03-06,294.764191
1951-03-07,292.832947
1951-03-08,289.764069
1951-03-09,290.835571
1951-03-10,292.406982
1951-03-11,293.829712
1951-03-12,294.731781
1951-03-13,299.474457
1951-03-14,299.708801
1951-03-15,302.166260
1951-03-16,304.130127
1951-03-17,302.761597
1951-03-18,299.081390
1951-03-19,298.568634
1951-03-20,293.232544
1951-03-21,286.290741
1951-03-22,288.372925
1951-03-23,290.387482
1951-03-24,297.773102
1951-03-25,295.846039
1951-03-26,291.692139
1951-03-27,284.838257
1951-03-28,284.019928
1951-03-29,288.999420
1951-03-30,291.428375
1951-03-31,294.601990
1951-04-01,297.290924
1951-04-02,296.233093
1951-04-03,289.728424
1951-04-04,294.402863
1951-04-05,297.855835
1951-04-06,298.908203
1951-04-07,298.302460
1951-04-08,295.776428
1951-04-09,300.281158
1951-04-10,300.262482
1951-04-11,299.540222
1951-04-12,300.548431
1951-04-13,300.150269
1951-04-14,291.706909
1951-04-15,295.112305
1951-04-16,300.924927
1951-04-17,304.379700
1951-04-18,305.123291
1951-04-19,306.901733
1951-04-20,306.032379
1951-04-21,303.887268
1951-04-22,301.592072
1951-04-23,306.730530
1951-04-24,309.974670
1951-04-25,310.242279
1951-04-26,310.005402
1951-04-27,305.675293
1951-04-28,303.726807
1951-04-29,299.744812
1951-04-30,301.510132
1951-05-01,300.348022
1951-05-02,306.774750
1951-05-03,306.046448
1951-05-04,301.666718
1951-05-05,303.865845
1951-05-06,305.373627
1951-05-07,306.590759
1951-05-08,305.131683
1951-05-09,305.126343
1951-05-10,303.013550
1951-05-11,306.684387
1951-05-12,307.902710
1951-05-13,309.072449
1951-05-14,308.110168
1951-05-15,308.994537
1951-05-16,306.175598
1951-05-17,305.485229
1951-05-18,304.966370
1951-05-19,304.273529
1951-05-20,306.056244
1951-05-21,308.408966
1951-05-22,306.570007
1951-05-23,303.690125
1951-05-24,305.628418
1951-05-25,304.905121
1951-05-26,303.073059
1951-05-27,304.479126
1951-05-28,304.764862
1951-05-29,307.738678
1951-05-30,305.914124
1951-05-31,306.428436
1951-06-01,306.279358
1951-06-02,304.614197
1951-06-03,297.576050
1951-06-04,301.730286
1951-06-05,306.314301
1951-06-06,307.470520
1951-06-07,308.254395
1951-06-08,309.785980
1951-06-09,309.889435
1951-06-10,309.617493
1951-06-11,308.843964
1951-06-12,308.525696
1951-06-13,308.567078
1951-06-14,307.540009
1951-06-15,305.716644
1951-06-16,306.542694
1951-06-17,306.086670
1951-06-18,305.879608
1951-06-19,306.726715
1951-06-20,308.873749
1951-06-21,310.753479
1951-06-22,311.227783
1951-06-23,310.818207
1951-06-24,307.304077
1951-06-25,305.081909
1951-06-26,301.718567
1951-06-27,302.412720
1951-06-28,302.384369
1951-06-29,302.603210
1951-06-30,303.517426
1951-07-01,299.709717
1951-07-02,300.899994
1951-07-03,300.892578
1951-07-04,302.323090
1951-07-05,303.637604
1951-07-06,305.696472
1951-07-07,306.350189
1951-07-08,305.822662
1951-07-09,304.480072
1951-07-10,303.290192
1951-07-11,302.660919
1951-07-12,301.396973
1951-07-13,301.786285
1951-07-14,301.843506
1951-07-15,300.679657
1951-07-16,299.524475
1951-07-17,300.240143
1951-07-18,299.710175
1951-07-19,299.957916
1951-07-20,299.679718
1951-07-21,298.869934
1951-07-22,299.310822
1951-07-23,298.091278
1951-07-24,300.686127
1951-07-25,300.053162
1951-07-26,302.110687
1951-07-27,301.792358
1951-07-28,303.478119
1951-07-29,304.199585
1951-07-30,305.926727
1951-07-31,306.046234
1951-08-01,305.708282
1951-08-02,305.902252
1951-08-03,305.738098
1951-08-04,305.619995
1951-08-05,306.470337
1951-08-06,306.131470
1951-08-07,306.640686
1951-08-08,308.059875
1951-08-09,308.963776
1951-08-10,308.881256
1951-08-11,308.655792
1951-08-12,308.944183
1951-08-13,309.589600
1951-08-14,310.349792
1951-08-15,309.318054
1951-08-16,307.826019
1951-08-17,307.444214
1951-08-18,308.282257
1951-08-19,309.171661
1951-08-20,309.254272
1951-08-21,308.743713
1951-08-22,307.427734
1951-08-23,307.490570
1951-08-24,308.240448
1951-08-25,309.517487
1951-08-26,309.181641
1951-08-27,308.639069
1951-08-28,307.553314
1951-08-29,306.991394
1951-08-30,306.788757
1951-08-31,305.596710
1951-09-01,303.850616
1951-09-02,304.662354
1951-09-03,304.352142
1951-09-04,305.078796
1951-09-05,301.054779
1951-09-06,297.887970
1951-09-07,303.337189
1951-09-08,302.605011
1951-09-09,302.735779
1951-09-10,303.344604
1951-09-11,300.627197
1951-09-12,303.570648
1951-09-13,304.889587
1951-09-14,304.118805
1951-09-15,303.866364
1951-09-16,304.754761
1951-09-17,306.448700
1951-09-18,305.284576
1951-09-19,301.162323
1951-09-20,304.963776
1951-09-21,306.253906
1951-09-22,305.730743
1951-09-23,303.126953
1951-09-24,303.420685
1951-09-25,305.737366
1951-09-26,305.309967
1951-09-27,307.357727
1951-09-28,306.758972
1951-09-29,302.326630
1951-09-30,295.849182
1951-10-01,298.728607
1951-10-02,300.417053
1951-10-03,301.636292
1951-10-04,302.674225
1951-10-05,304.272614
1951-10-06,304.798767
1951-10-07,303.529114
1951-10-08,303.109161
1951-10-09,302.526764
1951-10-10,304.443390
1951-10-11,306.565277
1951-10-12,305.656860
1951-10-13,299.437256
1951-10-14,293.552185
1951-10-15,295.935669
1951-10-16,298.161987
1951-10-17,300.638092
1951-10-18,301.289032
1951-10-19,302.754120
1951-10-20,303.757507
1951-10-21,302.467957
1951-10-22,298.744446
1951-10-23,300.046143
1951-10-24,301.526550
1951-10-25,301.964233
1951-10-26,300.624695
1951-10-27,302.650574
1951-10-28,301.240204
1951-10-29,300.743774
1951-10-30,300.722565
1951-10-31,299.226044
1951-11-01,299.359070
1951-11-02,298.289459
1951-11-03,296.935211
1951-11-04,293.810242
1951-11-05,299.410675
1951-11-06,297.484314
1951-11-07,294.117706
1951-11-08,296.885803
1951-11-09,294.781708
1951-11-10,292.477753
1951-11-11,297.764923
1951-11-12,301.734222
1951-11-13,302.338287
1951-11-14,298.362335
1951-11-15,284.871826
1951-11-16,289.377563
1951-11-17,293.089935
1951-11-18,293.599579
1951-11-19,295.691498
1951-11-20,295.713043
1951-11-21,294.616913
1951-11-22,287.878174
1951-11-23,285.921997
1951-11-24,288.885284
1951-11-25,290.201935
1951-11-26,291.528473
1951-11-27,291.259552
1951-11-28,289.700684
1951-11-29,295.021484
1951-11-30,296.919769
1951-12-01,295.926239
1951-12-02,297.537537
1951-12-03,298.133423
1951-12-04,297.865204
1951-12-05,295.864807
1951-12-06,294.135406
1951-12-07,283.286469
1951-12-08,286.796997
1951-12-09,286.812042
1951-12-10,284.391022
1951-12-11,287.380737
1951-12-12,287.711639
1951-12-13,287.042755
1951-12-14,286.748810
1951-12-15,283.367218
1951-12-16,275.756104
1951-12-17,279.187836
1951-12-18,282.512756
1951-12-19,290.510620
1951-12-20,269.994110
1951-12-21,282.156189
1951-12-22,284.762085
1951-12-23,286.803009
1951-12-24,284.058197
1951-12-25,274.681274
1951-12-26,285.770020
1951-12-27,285.323486
1951-12-28,284.280518
1951-12-29,290.234741
1951-12-30,289.444305
1951-12-31,289.676056
1952-01-01,289.547333
1952-01-02,288.381500
1952-01-03,289.976685
1952-01-04,289.630859
1952-01-05,287.644806
1952-01-06,287.749878
1952-01-07,290.320129
1952-01-08,287.887482
1952-01-09,273.806458
1952-01-10,280.494507
1952-01-11,283.092102
1952-01-12,285.482727
1952-01-13,282.138123
1952-01-14,280.001282
1952-01-15,283.552979
1952-01-16,283.440826
1952-01-17,285.081635
1952-01-18,285.600769
1952-01-19,284.430695
1952-01-20,285.047424
1952-01-21,286.908752
1952-01-22,283.275757
1952-01-23,279.136261
1952-01-24,284.658051
1952-01-25,286.742584
1952-01-26,288.426697
1952-01-27,288.898041
1952-01-28,295.278564
1952-01-29,295.193512
1952-01-30,295.097290
1952-01-31,292.586517
1952-02-01,291.584503
1952-02-02,295.863678
1952-02-03,295.760620
1952-02-04,296.962372
1952-02-05,297.561096
1952-02-06,294.822876
1952-02-07,291.523621
1952-02-08,293.051300
1952-02-09,295.791718
1952-02-10,296.539917
1952-02-11,297.294617
1952-02-12,294.694824
1952-02-13,299.499817
1952-02-14,297.801514
1952-02-15,288.426636
1952-02-16,290.495331
1952-02-17,296.218262
1952-02-18,297.623047
1952-02-19,296.194000
1952-02-20,297.841827
1952-02-21,301.021729
1952-02-22,303.922333
1952-02-23,306.166260
1952-02-24,301.860321
1952-02-25,299.047760
1952-02-26,294.972107
1952-02-27,298.925171
1952-02-28,298.625916
1952-02-29,298.045319
1952-03-01,297.464722
1952-03-02,294.721527
1952-03-03,294.904663
1952-03-04,296.427795
1952-03-05,299.062042
1952-03-06,295.842590
1952-03-07,295.766998
1952-03-08,296.920410
1952-03-09,294.014038
1952-03-10,292.474182
1952-03-11,294.453857
1952-03-12,299.316101
1952-03-13,299.131744
1952-03-14,299.546478
1952-03-15,302.597015
1952-03-16,303.920135
1952-03-17,301.628754
1952-03-18,299.784332
1952-03-19,300.996948
1952-03-20,300.967743
1952-03-21,292.744293
1952-03-22,299.789368
1952-03-23,299.312225
1952-03-24,292.915527
1952-03-25,301.269287
1952-03-26,303.775024
1952-03-27,303.506470
1952-03-28,305.323456
1952-03-29,308.807465
1952-03-30,306.761597
1952-03-31,305.259338
1952-04-01,303.961456
1952-04-02,303.713226
1952-04-03,299.375336
1952-04-04,299.010712
1952-04-05,301.361877
1952-04-06,298.414246
1952-04-07,298.726257
1952-04-08,298.203247
1952-04-09,295.450134
1952-04-10,299.059784
1952-04-11,301.449341
1952-04-12,304.297333
1952-04-13,305.050995
1952-04-14,304.279114
1952-04-15,299.208099
1952-04-16,301.472656
1952-04-17,302.216797
1952-04-18,302.574677
1952-04-19,302.237091
1952-04-20,298.706451
1952-04-21,298.107819
1952-04-22,298.414276
1952-04-23,299.839264
1952-04-24,295.633698
1952-04-25,299.862366
1952-04-26,303.210632
1952-04-27,302.753418
1952-04-28,300.635651
1952-04-29,300.222717
1952-04-30,303.811829
1952-05-01,303.887360
1952-05-02,303.027435
1952-05-03,294.868378
1952-05-04,298.131897
1952-05-05,298.443909
1952-05-06,302.968964
1952-05-07,302.439484
1952-05-08,304.313202
1952-05-09,304.599243
1952-05-10,300.151123
1952-05-11,300.730469
1952-05-12,303.490967
1952-05-13,306.810181
1952-05-14,306.389435
1952-05-15,303.936920
1952-05-16,301.475769
1952-05-17,304.603546
1952-05-18,307.098877
1952-05-19,305.482880
1952-05-20,300.083160
1952-05-21,303.048035
1952-05-22,305.026276
1952-05-23,305.347717
1952-05-24,304.743378
1952-05-25,299.767120
1952-05-26,300.850189
1952-05-27,296.953827
1952-05-28,297.728851
1952-05-29,303.117462
1952-05-30,302.795746
1952-05-31,300.953461
1952-06-01,298.352966
1952-06-02,299.043243
1952-06-03,302.414520
1952-06-04,302.677094
1952-06-05,301.815002
1952-06-06,302.327271
1952-06-07,299.442780
1952-06-08,301.473816
1952-06-09,305.344269
1952-06-10,305.052948
1952-06-11,303.482025
1952-06-12,306.745575
1952-06-13,309.133057
1952-06-14,307.863159
1952-06-15,307.805969
1952-06-16,307.226471
1952-06-17,307.655090
1952-06-18,309.070618
1952-06-19,308.330414
1952-06-20,305.485992
1952-06-21,305.897919
1952-06-22,302.206696
1952-06-23,302.473999
1952-06-24,304.043182
1952-06-25,305.724243
1952-06-26,307.264435
1952-06-27,307.617554
1952-06-28,307.282898
1952-06-29,306.121552
1952-06-30,307.454590
1952-07-01,306.672150
1952-07-02,305.824036
1952-07-03,306.059143
1952-07-04,306.003632
1952-07-05,305.075958
1952-07-06,305.491058
1952-07-07,303.753632
1952-07-08,302.091553
1952-07-09,301.755493
1952-07-10,303.742920
1952-07-11,307.248474
1952-07-12,310.171478
1952-07-13,309.432007
1952-07-14,307.412994
1952-07-15,303.505524
1952-07-16,307.521393
1952-07-17,307.506744
1952-07-18,307.154266
1952-07-19,306.636322
1952-07-20,307.110413
1952-07-21,306.831268
1952-07-22,306.639771
1952-07-23,306.177795
1952-07-24,307.452148
1952-07-25,308.962799
1952-07-26,309.458832
1952-07-27,309.161591
1952-07-28,309.576355
1952-07-29,309.877197
1952-07-30,310.763916
1952-07-31,310.511292
1952-08-01,310.315918
1952-08-02,310.914856
1952-08-03,310.778168
1952-08-04,310.102722
1952-08-05,309.208984
1952-08-06,309.831848
1952-08-07,310.352417
1952-08-08,310.314056
1952-08-09,309.215363
1952-08-10,308.466614
1952-08-11,308.103638
1952-08-12,308.229675
1952-08-13,309.438293
1952-08-14,310.668884
1952-08-15,310.665558
1952-08-16,310.373169
1952-08-17,309.208893
1952-08-18,309.411072
1952-08-19,309.385132
1952-08-20,310.508514
1952-08-21,311.492950
1952-08-22,311.135223
1952-08-23,307.979523
1952-08-24,308.044922
1952-08-25,309.276764
1952-08-26,310.206635
1952-08-27,311.422516
1952-08-28,310.670380
1952-08-29,307.935547
1952-08-30,307.306824
1952-08-31,307.490753
1952-09-01,307.181854
1952-09-02,309.260620
1952-09-03,306.740448
1952-09-04,306.401337
1952-09-05,307.623810
1952-09-06,308.111420
1952-09-07,308.402618
1952-09-08,307.556580
1952-09-09,304.887726
1952-09-10,305.660797
1952-09-11,306.053436
1952-09-12,306.476044
1952-09-13,305.472351
1952-09-14,306.037842
1952-09-15,308.630066
1952-09-16,308.059143
1952-09-17,305.985352
1952-09-18,305.862915
1952-09-19,299.817963
1952-09-20,298.729736
1952-09-21,297.853210
1952-09-22,300.986145
1952-09-23,300.404816
1952-09-24,302.175720
1952-09-25,304.263458
1952-09-26,306.616486
1952-09-27,305.013550
1952-09-28,301.451813
1952-09-29,299.874817
1952-09-30,300.075806
1952-10-01,301.134705
1952-10-02,301.427277
1952-10-03,301.568726
1952-10-04,302.104675
1952-10-05,301.949371
1952-10-06,300.399536
1952-10-07,297.940826
1952-10-08,298.905853
1952-10-09,297.829346
1952-10-10,296.135712
1952-10-11,300.282959
1952-10-12,302.311890
1952-10-13,305.172241
1952-10-14,305.047363
1952-10-15,304.375519
1952-10-16,303.471222
1952-10-17,302.513000
1952-10-18,305.449738
1952-10-19,305.543030
1952-10-20,299.406433
1952-10-21,296.915436
1952-10-22,296.353180
1952-10-23,295.812286
1952-10-24,291.711304
1952-10-25,295.178497
1952-10-26,296.566986
1952-10-27,292.911224
1952-10-28,295.129852
1952-10-29,286.579254
1952-10-30,289.097931
1952-10-31,290.648773
1952-11-01,291.365173
1952-11-02,292.422485
1952-11-03,294.157928
1952-11-04,298.037659
1952-11-05,288.933990
1952-11-06,289.691925
1952-11-07,292.157501
1952-11-08,292.899384
1952-11-09,291.745117
1952-11-10,291.287140
1952-11-11,294.033661
1952-11-12,294.895447
1952-11-13,298.632660
1952-11-14,297.811981
1952-11-15,295.257080
1952-11-16,295.357483
1952-11-17,294.996857
1952-11-18,288.683014
1952-11-19,286.674957
1952-11-20,295.735443
1952-11-21,293.242889
1952-11-22,288.876129
1952-11-23,288.279022
1952-11-24,293.257416
1952-11-25,291.254761
1952-11-26,292.858459
1952-11-27,297.475464
1952-11-28,293.516205
1952-11-29,290.602081
1952-11-30,293.527802
1952-12-01,296.711884
1952-12-02,294.192780
1952-12-03,290.745544
1952-12-04,295.761841
1952-12-05,296.228210
1952-12-06,296.796204
1952-12-07,297.316132
1952-12-08,298.539978
1952-12-09,295.421448
1952-12-10,293.326141
1952-12-11,296.696564
1952-12-12,298.460541
1952-12-13,298.591614
1952-12-14,295.351196
1952-12-15,290.292328
1952-12-16,292.565582
1952-12-17,295.381744
1952-12-18,294.334869
1952-12-19,294.166168
1952-12-20,296.670593
1952-12-21,293.695740
1952-12-22,287.343414
1952-12-23,288.400635
1952-12-24,285.513824
1952-12-25,292.917175
1952-12-26,288.832672
1952-12-27,279.478912
1952-12-28,279.906128
1952-12-29,288.296692
1952-12-30,291.506958
1952-12-31,294.186615
1953-01-01,293.638245
1953-01-02,295.152710
1953-01-03,300.708374
1953-01-04,298.718719
1953-01-05,289.545807
1953-01-06,287.076263
1953-01-07,291.902100
1953-01-08,289.871063
1953-01-09,291.837769
1953-01-10,293.785950
1953-01-11,293.867310
1953-01-12,296.980042
1953-01-13,295.458740
1953-01-14,296.212616
1953-01-15,296.014038
1953-01-16,295.238586
1953-01-17,293.294281
1953-01-18,294.157959
1953-01-19,289.772369
1953-01-20,281.580902
1953-01-21,290.594452
1953-01-22,295.064056
1953-01-23,291.523529
1953-01-24,282.348419
1953-01-25,286.852142
1953-01-26,284.334778
1953-01-27,284.163116
1953-01-28,283.696533
1953-01-29,283.539520
1953-01-30,284.290741
1953-01-31,285.697021
