#Variables:
#tasmin_IPSL-CM5A-MR_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-MR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-MR_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-MR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-MR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-MR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-MR_rcp45(K),tasmax_IPSL-CM5A-MR_rcp45(K),pr_IPSL-CM5A-MR_rcp45(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-MR_rcp45(K),tasmax_IPSL-CM5A-MR_rcp45(K),pr_IPSL-CM5A-MR_rcp45(mm)
2007-04-05,289.511383,302.592285,2.632298
2007-04-06,287.083557,304.218445,0.363177
2007-04-07,287.839691,307.230103,0.000000
2007-04-08,287.555084,306.696777,0.000000
2007-04-09,291.662933,306.899506,0.000000
2007-04-10,292.338745,303.902618,0.000000
2007-04-11,287.610443,300.973480,0.000000
2007-04-12,283.736786,300.153046,0.000000
2007-04-13,283.749664,294.531708,0.000000
2007-04-14,287.029175,294.521729,8.448522
2007-04-15,281.312592,294.254761,0.000000
2007-04-16,280.667084,297.505463,0.000000
2007-04-17,284.781891,300.888977,0.000000
2007-04-18,286.942352,303.624390,0.000000
2007-04-19,288.478729,304.191223,0.000000
2007-04-20,290.501465,303.601593,0.000000
2007-04-21,290.545105,307.248444,0.000000
2007-04-22,290.134186,306.598114,0.894841
2007-04-23,290.053101,303.584015,0.000000
2007-04-24,285.578979,298.830902,0.883157
2007-04-25,285.716492,294.457153,0.410757
2007-04-26,283.964020,300.455505,0.000000
2007-04-27,285.752502,301.850098,0.000000
2007-04-28,287.522949,304.595795,0.000000
2007-04-29,289.294708,304.528595,0.000000
2007-04-30,289.661987,304.683044,0.000000
2007-05-01,290.828705,300.597778,0.000000
2007-05-02,290.416351,301.691833,0.000000
2007-05-03,291.083862,302.008942,0.000000
2007-05-04,291.625519,304.513489,0.000000
2007-05-05,293.382080,305.475525,0.969296
2007-05-06,293.701355,306.214905,0.000000
2007-05-07,292.934601,307.058472,0.000000
2007-05-08,293.403778,305.459381,0.000000
2007-05-09,293.909088,307.150604,0.000000
2007-05-10,294.371429,307.149323,0.351992
2007-05-11,295.734558,303.785004,5.152707
2007-05-12,294.551331,301.912750,38.456394
2007-05-13,285.932190,300.208588,0.000000
2007-05-14,290.960907,303.795593,0.379163
2007-05-15,289.190186,304.817322,0.448773
2007-05-16,291.575439,302.409332,3.323378
2007-05-17,289.777222,302.961945,7.470257
2007-05-18,290.150238,303.199219,0.524844
2007-05-19,290.552368,304.540100,0.000000
2007-05-20,290.776886,303.449615,0.000000
2007-05-21,291.530060,304.148590,0.000000
2007-05-22,292.637360,304.958344,0.000000
2007-05-23,291.967682,307.515320,0.000000
2007-05-24,294.015167,309.152924,0.000000
2007-05-25,294.372345,307.956177,0.000000
2007-05-26,294.210815,308.880707,0.000000
2007-05-27,296.900391,311.276459,0.000000
2007-05-28,297.287567,309.640717,0.287723
2007-05-29,297.579132,308.231171,0.000000
2007-05-30,297.677094,303.319702,19.822216
2007-05-31,294.085327,307.884735,3.641895
2007-06-01,294.013824,307.071411,0.000000
2007-06-02,293.783142,310.732300,0.000000
2007-06-03,296.814972,308.658508,0.000000
2007-06-04,293.050385,303.912476,0.000000
2007-06-05,296.261200,310.721588,0.000000
2007-06-06,296.940277,311.246490,0.000000
2007-06-07,296.629700,310.736328,0.000000
2007-06-08,296.271545,310.105438,0.000000
2007-06-09,296.149475,309.419220,0.000000
2007-06-10,296.179779,311.221741,0.000000
2007-06-11,298.594299,313.626160,0.000000
2007-06-12,298.414459,310.952667,0.000000
2007-06-13,298.065979,311.239044,0.000000
2007-06-14,296.887360,310.313141,0.871447
2007-06-15,296.558014,306.117340,0.000000
2007-06-16,293.122589,304.921753,0.000000
2007-06-17,295.421722,307.300934,0.000000
2007-06-18,294.804138,307.897034,0.000000
2007-06-19,295.957703,306.959320,0.781622
2007-06-20,296.260376,305.607178,1.271819
2007-06-21,296.033234,305.846069,1.552054
2007-06-22,296.529114,307.410034,0.000000
2007-06-23,296.700714,310.470764,1.278703
2007-06-24,297.070618,311.196472,0.000000
2007-06-25,298.437927,308.837799,0.000000
2007-06-26,298.859192,310.711304,0.000000
2007-06-27,297.451385,310.841949,0.000000
2007-06-28,297.547577,310.080750,0.000000
2007-06-29,297.290863,308.978180,0.000000
2007-06-30,296.689178,309.163635,0.000000
2007-07-01,296.370087,308.528229,0.000000
2007-07-02,297.595551,309.432587,1.959003
2007-07-03,297.685577,309.877533,0.000000
2007-07-04,297.878754,309.039032,0.000000
2007-07-05,296.578766,307.379791,1.111467
2007-07-06,295.635468,305.645355,1.085947
2007-07-07,295.995544,305.645508,2.534698
2007-07-08,296.247528,301.973389,7.474411
2007-07-09,294.917816,303.573242,8.675660
2007-07-10,293.194519,303.522095,3.637641
2007-07-11,294.932007,303.044189,3.675332
2007-07-12,295.984070,306.431366,0.000000
2007-07-13,296.205444,306.321594,1.070251
2007-07-14,296.870209,305.320618,6.731095
2007-07-15,294.659668,300.895691,42.927090
2007-07-16,296.143921,303.351410,8.966993
2007-07-17,295.763977,303.274292,25.847223
2007-07-18,296.169769,301.566254,22.823202
2007-07-19,296.835388,308.450989,2.611721
2007-07-20,297.422546,309.496826,0.926052
2007-07-21,296.909088,309.629730,0.000000
2007-07-22,296.860931,307.764862,4.637721
2007-07-23,296.314392,303.118378,9.989033
2007-07-24,295.622925,300.991608,4.111177
2007-07-25,295.112000,305.657867,0.000000
2007-07-26,295.973480,306.521729,0.000000
2007-07-27,296.632599,305.881744,0.660890
2007-07-28,296.839111,305.254639,6.260333
2007-07-29,296.746765,307.412415,2.310469
2007-07-30,296.350006,310.034821,0.000000
2007-07-31,296.472321,310.957123,0.000000
2007-08-01,296.523651,311.276367,0.000000
2007-08-02,296.422638,311.995239,0.000000
2007-08-03,296.219727,312.464294,0.000000
2007-08-04,296.541962,312.502716,0.000000
2007-08-05,297.949036,311.601807,0.000000
2007-08-06,297.313324,310.520172,0.468049
2007-08-07,297.209534,310.656525,0.000000
