#Variables:
#tasmin_inmcm4_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_inmcm4_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_inmcm4_rcp45(K),tasmax_inmcm4_rcp45(K),pr_inmcm4_rcp45(mm)"
""
yyyy-mm-dd,tasmin_inmcm4_rcp45(K),tasmax_inmcm4_rcp45(K),pr_inmcm4_rcp45(mm)
2006-01-29,277.925690,285.425018,0.000000
2006-01-30,279.039185,286.350372,0.000000
2006-01-31,273.442291,284.815125,0.000000
2006-02-01,278.016815,286.656586,0.000000
2006-02-02,270.371979,284.894104,0.291352
2006-02-03,271.544220,284.971832,0.000000
2006-02-04,278.899597,295.777679,0.000000
2006-02-05,274.925140,295.494202,0.000000
2006-02-06,270.654449,292.775452,0.000000
2006-02-07,272.127319,295.432404,0.000000
2006-02-08,275.456421,295.936737,0.000000
2006-02-09,275.807831,296.018127,0.000000
2006-02-10,283.804047,294.874756,0.000000
2006-02-11,285.037933,293.645752,0.684153
2006-02-12,277.388611,293.108521,0.872202
2006-02-13,281.448242,292.201324,5.385878
2006-02-14,279.132690,288.353821,5.934996
2006-02-15,278.188934,284.368134,0.000000
2006-02-16,276.912933,285.925781,0.000000
2006-02-17,279.057129,290.865753,0.000000
2006-02-18,280.080963,291.659912,1.567037
2006-02-19,284.626770,291.698456,25.150448
2006-02-20,278.731689,288.187378,1.998510
2006-02-21,277.536346,282.093781,0.000000
2006-02-22,275.559418,286.391724,0.000000
2006-02-23,277.724426,288.192169,0.000000
2006-02-24,286.799530,295.884583,4.124024
2006-02-25,277.742737,293.642487,0.767943
2006-02-26,281.665314,289.402100,0.651811
2006-02-27,279.486938,285.119446,0.000000
2006-02-28,274.877228,284.279083,0.000000
2006-03-01,280.097107,285.838562,0.000000
2006-03-02,284.502258,292.436188,0.000000
2006-03-03,290.068573,298.447540,0.658318
2006-03-04,284.733582,296.411652,0.000000
2006-03-05,284.479034,294.987610,0.000000
2006-03-06,286.442078,296.629211,0.000000
2006-03-07,290.550446,297.486481,7.418061
2006-03-08,284.636810,298.833374,16.151583
2006-03-09,281.004150,282.217316,0.000000
2006-03-10,282.271881,283.986450,0.000000
2006-03-11,278.703369,284.659088,0.000000
2006-03-12,276.529175,284.912018,0.000000
2006-03-13,284.361755,290.636047,0.000000
2006-03-14,286.586639,293.868561,9.655409
2006-03-15,284.896240,292.716705,0.000000
2006-03-16,283.233093,293.401459,0.000000
2006-03-17,287.618103,294.888763,8.578128
2006-03-18,287.868042,295.126465,38.655495
2006-03-19,288.561646,296.752686,10.235355
2006-03-20,287.962128,296.483398,2.082278
2006-03-21,287.716492,294.825378,4.564150
2006-03-22,287.198212,294.390594,1.552566
2006-03-23,286.706421,292.649963,0.000000
2006-03-24,279.880981,287.510681,0.000000
2006-03-25,283.653961,292.764313,0.000000
2006-03-26,289.958130,296.468933,3.007360
2006-03-27,289.358978,298.292358,0.811443
2006-03-28,287.029297,296.965271,0.000000
2006-03-29,286.314117,300.402924,0.000000
2006-03-30,278.546051,301.025208,0.000000
2006-03-31,282.246033,300.473907,0.000000
2006-04-01,285.243347,300.026184,0.000000
2006-04-02,285.607758,300.302826,0.000000
2006-04-03,279.619537,289.891296,0.000000
2006-04-04,272.276825,281.848083,0.000000
2006-04-05,281.514343,282.624542,0.934852
2006-04-06,283.652313,285.777039,0.000000
2006-04-07,282.640533,293.534058,0.000000
2006-04-08,291.947479,299.068085,0.505621
2006-04-09,292.644379,300.305939,0.000000
2006-04-10,287.310669,300.415100,0.508953
2006-04-11,284.801880,299.496277,1.166992
2006-04-12,283.295807,295.347961,0.000000
2006-04-13,274.426758,293.287415,0.000000
2006-04-14,281.699677,298.333069,0.000000
2006-04-15,279.770599,302.409851,0.000000
2006-04-16,291.747162,304.281677,0.000000
2006-04-17,292.447174,305.349609,0.000000
2006-04-18,284.967712,305.792999,0.000000
2006-04-19,284.956390,306.006775,0.000000
2006-04-20,287.283478,305.683136,0.000000
2006-04-21,289.700104,305.960724,0.000000
2006-04-22,282.042023,306.734192,0.000000
2006-04-23,282.126740,307.667023,0.000000
2006-04-24,281.650513,309.928375,0.000000
2006-04-25,287.249817,310.105103,0.000000
2006-04-26,293.535858,309.517517,0.000000
2006-04-27,293.611206,306.477570,0.000000
2006-04-28,285.099335,306.284363,0.000000
2006-04-29,288.865845,306.932343,0.000000
2006-04-30,291.877747,305.762634,0.000000
2006-05-01,293.443787,307.149384,0.361834
2006-05-02,283.881348,309.794769,0.000000
2006-05-03,289.031799,311.124512,0.000000
2006-05-04,295.208771,308.360352,2.307065
2006-05-05,293.897949,300.709930,6.579419
2006-05-06,293.015594,303.176331,0.852709
2006-05-07,293.202423,304.860413,0.000000
2006-05-08,293.745789,306.573761,0.000000
2006-05-09,293.898743,307.233734,0.000000
2006-05-10,294.441895,307.136292,0.000000
2006-05-11,294.405273,307.117584,0.000000
2006-05-12,296.571442,308.183075,2.986604
2006-05-13,295.908295,308.117493,0.000000
2006-05-14,287.227448,309.189056,0.818638
2006-05-15,287.536102,312.063904,0.000000
2006-05-16,286.988281,311.685822,0.000000
2006-05-17,290.033752,312.857819,0.000000
2006-05-18,293.566895,313.431396,0.000000
2006-05-19,295.005981,313.073669,0.000000
2006-05-20,301.705536,312.438599,0.000000
2006-05-21,296.503845,311.102966,0.000000
2006-05-22,295.173401,311.232574,0.705559
2006-05-23,296.869385,310.038757,0.662255
2006-05-24,296.723694,310.531921,0.000000
2006-05-25,295.558136,311.049591,0.000000
2006-05-26,297.165375,311.328217,0.000000
2006-05-27,297.531464,310.963043,0.000000
2006-05-28,296.020691,307.068878,1.190657
2006-05-29,294.729614,306.614838,0.000000
2006-05-30,293.770447,306.760162,0.000000
2006-05-31,295.705719,307.391937,0.000000
2006-06-01,295.628174,307.924377,0.000000
2006-06-02,295.584137,309.359100,0.000000
2006-06-03,296.822571,310.304169,0.000000
2006-06-04,297.011566,310.307617,0.000000
2006-06-05,296.965698,309.740051,0.000000
2006-06-06,296.644257,309.443665,0.000000
2006-06-07,297.125092,309.822815,1.398673
2006-06-08,297.142731,311.083435,0.000000
2006-06-09,296.298126,311.599030,0.000000
2006-06-10,295.994781,311.768738,0.000000
2006-06-11,296.613434,311.098846,0.000000
2006-06-12,295.509094,309.742096,0.000000
2006-06-13,295.869049,308.919006,0.000000
2006-06-14,296.413483,308.546478,0.000000
2006-06-15,295.950317,308.609589,0.000000
2006-06-16,295.497620,308.483032,0.000000
2006-06-17,294.667572,309.305695,0.000000
2006-06-18,292.744110,309.774475,0.000000
2006-06-19,295.587280,310.068451,0.000000
2006-06-20,295.534546,309.416290,0.000000
2006-06-21,294.973907,307.090790,1.355335
2006-06-22,295.103607,305.464844,0.000000
2006-06-23,295.472717,304.746918,0.332395
2006-06-24,296.401672,305.335815,0.327162
2006-06-25,296.568970,306.618805,0.309754
2006-06-26,295.743225,307.090851,0.000000
2006-06-27,295.214020,308.505188,0.000000
2006-06-28,295.197845,310.528717,0.000000
2006-06-29,296.866119,311.536865,0.000000
2006-06-30,298.607391,311.761566,0.000000
2006-07-01,296.849823,311.878021,0.000000
2006-07-02,297.324951,311.861969,0.000000
2006-07-03,297.587769,312.029816,0.000000
2006-07-04,297.363770,312.428894,0.000000
2006-07-05,296.065460,313.348816,0.000000
2006-07-06,297.749451,314.119476,0.284919
2006-07-07,300.346008,315.417908,0.000000
2006-07-08,303.202209,315.162567,0.000000
2006-07-09,300.348175,313.742889,0.000000
2006-07-10,302.237854,316.039185,2.417375
2006-07-11,300.130341,312.269379,0.000000
2006-07-12,298.867096,312.900543,0.000000
2006-07-13,298.127380,311.386322,0.000000
2006-07-14,300.405304,311.473450,0.000000
2006-07-15,297.463806,310.978577,0.000000
2006-07-16,296.022919,308.688477,0.000000
2006-07-17,295.598297,309.084808,0.000000
2006-07-18,294.938660,310.698273,0.000000
2006-07-19,296.643311,311.655182,0.000000
2006-07-20,298.707397,312.149261,0.000000
2006-07-21,298.338440,312.089996,0.000000
2006-07-22,296.577759,311.399261,0.000000
2006-07-23,297.257111,310.370422,0.000000
2006-07-24,298.196198,312.073822,0.364924
2006-07-25,299.281372,312.588257,0.000000
2006-07-26,299.960358,309.001678,6.714598
2006-07-27,296.122314,308.300110,0.000000
2006-07-28,294.994354,307.339203,0.000000
2006-07-29,296.259247,307.481445,0.000000
2006-07-30,296.200134,308.136658,0.000000
2006-07-31,297.325378,307.544525,0.000000
2006-08-01,297.270355,306.536774,0.000000
2006-08-02,297.141479,306.923035,0.000000
2006-08-03,297.377075,307.906342,0.000000
2006-08-04,297.433472,308.721680,0.000000
2006-08-05,296.255951,309.839996,0.496409
2006-08-06,295.504425,310.116577,0.279592
2006-08-07,296.805511,311.240387,0.000000
2006-08-08,298.440460,312.009552,1.509197
2006-08-09,299.314117,311.335266,0.000000
2006-08-10,297.072266,308.188599,0.000000
2006-08-11,297.355835,307.288635,0.000000
2006-08-12,296.262848,308.751282,0.000000
2006-08-13,296.124207,310.551270,0.000000
2006-08-14,296.114624,310.668243,0.000000
2006-08-15,295.573822,310.817566,0.000000
2006-08-16,296.269714,310.996796,0.000000
2006-08-17,299.147583,310.263275,0.000000
2006-08-18,298.927460,309.474579,0.000000
2006-08-19,298.340515,309.921814,0.000000
2006-08-20,296.588318,310.416016,0.000000
2006-08-21,295.636963,311.168488,0.000000
2006-08-22,295.143066,312.673157,0.000000
2006-08-23,298.341339,312.855743,0.000000
2006-08-24,296.460602,311.623688,0.000000
2006-08-25,296.043976,309.414154,0.000000
2006-08-26,295.765442,310.571014,0.000000
2006-08-27,295.008362,311.574493,0.000000
2006-08-28,296.804352,312.623352,0.000000
2006-08-29,298.131836,314.626312,0.308901
2006-08-30,296.698639,311.899292,0.000000
2006-08-31,296.011658,309.946503,0.000000
2006-09-01,295.433472,308.660461,0.416955
2006-09-02,295.556152,309.684296,1.395140
2006-09-03,296.505280,308.888123,8.657880
2006-09-04,296.576324,308.717743,0.000000
2006-09-05,298.380615,307.309265,0.000000
2006-09-06,297.185913,307.522278,0.319405
2006-09-07,294.516785,307.377350,0.319448
2006-09-08,293.670715,308.532715,0.000000
2006-09-09,294.810059,309.614807,13.844650
2006-09-10,295.932526,310.841278,0.000000
2006-09-11,295.383484,310.776672,1.235537
2006-09-12,295.573090,307.106445,0.707982
2006-09-13,290.824036,306.144470,0.000000
2006-09-14,290.791260,306.620148,0.000000
2006-09-15,290.752472,306.914459,0.000000
2006-09-16,294.370514,306.391785,0.000000
2006-09-17,296.134979,305.439423,0.000000
2006-09-18,295.393799,305.765717,0.432364
2006-09-19,293.387238,306.487457,0.000000
2006-09-20,292.995911,306.899384,0.000000
2006-09-21,293.128235,306.132843,0.000000
2006-09-22,292.198608,305.687225,0.000000
2006-09-23,293.799530,304.685669,0.000000
2006-09-24,292.774963,304.161285,0.000000
2006-09-25,291.398712,304.527405,0.000000
2006-09-26,291.398926,307.143738,0.000000
2006-09-27,291.234833,308.272919,0.000000
2006-09-28,289.996613,308.206543,0.000000
2006-09-29,289.781372,306.734558,0.000000
2006-09-30,295.178894,304.385712,0.692293
2006-10-01,294.724792,305.493164,0.000000
2006-10-02,294.490845,305.930695,0.000000
2006-10-03,294.084076,306.192505,0.000000
2006-10-04,293.721832,306.307770,0.000000
2006-10-05,293.973511,306.124786,0.301692
2006-10-06,290.061737,303.607361,0.000000
2006-10-07,288.708801,306.862366,0.000000
2006-10-08,286.200592,308.954102,0.000000
2006-10-09,290.530914,308.933075,0.000000
2006-10-10,291.088379,306.839752,0.000000
2006-10-11,292.239319,305.757507,0.781488
2006-10-12,291.554932,303.480591,0.000000
2006-10-13,282.436951,301.287964,0.000000
2006-10-14,283.351593,305.471863,0.000000
2006-10-15,285.984833,304.954651,0.000000
2006-10-16,280.986542,305.821106,0.000000
2006-10-17,284.882507,307.403137,0.000000
2006-10-18,285.518494,307.365295,0.000000
2006-10-19,285.393585,306.484100,0.000000
2006-10-20,288.865173,304.869049,0.000000
2006-10-21,288.038910,305.204010,0.000000
2006-10-22,288.016449,304.779114,0.000000
2006-10-23,293.824615,301.526978,0.488027
2006-10-24,293.289124,298.834595,6.133716
2006-10-25,292.604523,300.836273,20.699543
2006-10-26,290.515350,298.162354,18.234566
2006-10-27,282.216644,294.561218,0.000000
2006-10-28,278.776703,298.385437,0.000000
2006-10-29,282.825073,298.206970,0.000000
2006-10-30,279.938385,295.024475,0.000000
2006-10-31,275.729736,292.656281,0.000000
2006-11-01,280.432831,293.102875,0.000000
2006-11-02,281.326447,293.097107,0.000000
2006-11-03,277.782318,294.832336,0.000000
2006-11-04,277.864349,299.273102,0.000000
2006-11-05,281.760986,299.885712,0.000000
2006-11-06,277.473206,291.315399,0.000000
2006-11-07,284.400757,294.438263,0.000000
2006-11-08,287.012238,300.042908,0.000000
2006-11-09,281.667236,299.601501,0.000000
2006-11-10,279.668610,298.286804,0.000000
2006-11-11,282.108582,299.173248,0.000000
2006-11-12,282.750214,300.629425,0.000000
2006-11-13,280.696014,300.444550,0.000000
2006-11-14,283.578857,300.047699,0.000000
2006-11-15,290.808441,299.560822,0.625008
2006-11-16,290.760803,298.946533,10.569573
2006-11-17,289.448334,298.372742,1.283382
2006-11-18,283.475037,291.947632,0.000000
2006-11-19,278.475800,291.875427,0.000000
2006-11-20,277.900848,293.362549,0.000000
2006-11-21,284.573547,294.948975,0.000000
2006-11-22,287.445465,294.777985,0.000000
2006-11-23,281.534332,294.179199,0.000000
2006-11-24,282.744995,294.280945,0.000000
2006-11-25,284.754028,294.214081,0.000000
2006-11-26,281.557434,294.149353,0.000000
2006-11-27,277.559845,292.305573,0.000000
2006-11-28,277.204773,291.718842,0.000000
2006-11-29,276.866211,292.059540,0.000000
2006-11-30,274.927002,290.288605,0.508706
2006-12-01,272.745544,288.750519,0.000000
2006-12-02,276.608643,289.425720,0.000000
2006-12-03,273.581909,292.083740,0.000000
2006-12-04,273.932739,296.647491,0.000000
2006-12-05,278.458252,296.378540,0.557476
2006-12-06,288.663025,298.341309,2.416311
2006-12-07,291.177216,298.245758,2.489813
2006-12-08,288.444427,298.022400,0.485969
2006-12-09,288.364716,298.573151,0.000000
2006-12-10,286.032684,297.791107,0.000000
2006-12-11,280.898590,292.558014,0.000000
2006-12-12,285.806549,298.110046,0.000000
2006-12-13,286.356384,298.898010,0.000000
2006-12-14,282.640900,299.919952,0.000000
2006-12-15,281.393219,299.872437,0.000000
2006-12-16,276.568481,299.927734,0.000000
2006-12-17,283.189941,299.906219,0.000000
2006-12-18,257.655762,295.242859,0.000000
2006-12-19,272.117737,299.343506,0.000000
2006-12-20,284.155396,300.628510,0.000000
2006-12-21,284.172058,300.697449,0.550023
2006-12-22,278.966736,297.608887,2.047817
2006-12-23,280.684509,296.691467,13.994275
2006-12-24,277.973755,281.792114,2.074804
2006-12-25,274.560913,282.768585,0.000000
2006-12-26,271.913696,282.389221,0.000000
2006-12-27,271.255280,284.708588,0.000000
2006-12-28,271.922363,288.967590,0.000000
2006-12-29,274.304230,291.470184,0.000000
2006-12-30,276.553650,291.571014,0.000000
2006-12-31,272.201080,291.361115,0.000000
2007-01-01,271.694885,295.148651,0.000000
2007-01-02,273.436310,298.603241,0.000000
2007-01-03,277.792755,300.248138,0.000000
2007-01-04,275.265106,300.967773,0.000000
2007-01-05,275.957092,301.111969,0.000000
2007-01-06,276.065979,304.497559,0.000000
2007-01-07,277.278015,304.430267,0.000000
2007-01-08,274.077301,296.007233,0.000000
2007-01-09,276.462067,289.011688,0.000000
2007-01-10,280.290192,293.083160,0.763265
2007-01-11,285.674225,291.758118,11.408829
2007-01-12,287.098907,291.538757,0.000000
2007-01-13,283.872162,292.523895,0.000000
2007-01-14,285.506500,296.110321,1.353628
2007-01-15,285.665527,296.217041,0.602664
2007-01-16,281.986908,296.269836,0.000000
2007-01-17,274.504272,292.503326,0.000000
2007-01-18,281.820251,292.585541,0.000000
2007-01-19,283.940887,295.908783,0.000000
2007-01-20,281.237305,298.853973,0.000000
2007-01-21,283.488708,297.976227,0.000000
2007-01-22,280.902740,293.398376,0.000000
2007-01-23,270.913391,294.517609,0.000000
2007-01-24,280.099426,299.053864,0.506095
2007-01-25,280.144043,299.681000,0.000000
2007-01-26,280.141998,299.296387,0.000000
2007-01-27,277.238617,299.778534,0.000000
2007-01-28,277.789673,300.236237,0.000000
2007-01-29,285.446442,300.474396,0.000000
2007-01-30,287.295135,299.647949,1.727166
2007-01-31,283.854523,298.095612,0.000000
2007-02-01,273.188019,294.267120,0.000000
2007-02-02,271.477783,297.866852,0.000000
2007-02-03,283.811768,297.604065,0.984717
2007-02-04,283.356354,289.971619,0.000000
2007-02-05,282.502563,293.483337,0.000000
2007-02-06,287.464111,295.519073,4.378036
2007-02-07,280.111572,293.839478,0.532858
2007-02-08,273.747101,295.121002,0.000000
2007-02-09,275.570526,295.813202,0.000000
2007-02-10,282.391571,297.968536,0.735315
2007-02-11,277.649261,295.521393,4.246315
2007-02-12,275.492889,292.280609,0.000000
2007-02-13,275.482117,299.645111,0.000000
2007-02-14,276.701294,301.767365,0.000000
2007-02-15,278.577515,305.634949,0.000000
2007-02-16,280.882996,305.758148,2.313945
2007-02-17,274.262909,293.558624,0.000000
2007-02-18,271.462280,292.783386,0.000000
2007-02-19,285.143585,291.518036,0.000000
2007-02-20,285.118500,293.666809,0.000000
2007-02-21,281.587860,297.879425,0.000000
2007-02-22,281.773956,297.915771,0.000000
2007-02-23,286.560303,301.269745,0.000000
2007-02-24,288.550262,301.595612,1.073923
2007-02-25,278.145355,304.838196,0.000000
2007-02-26,284.576294,304.817230,0.000000
2007-02-27,287.240173,300.609833,0.000000
2007-02-28,276.242004,291.941650,0.000000
2007-03-01,276.725464,293.133087,0.000000
2007-03-02,285.961792,293.345367,5.350486
2007-03-03,288.765930,296.443115,0.953421
2007-03-04,284.355286,299.003357,0.000000
2007-03-05,287.319031,298.460388,0.000000
2007-03-06,281.767822,299.171936,0.000000
2007-03-07,279.729492,298.475159,0.000000
2007-03-08,280.833221,305.675720,0.000000
2007-03-09,279.500061,306.015350,0.000000
2007-03-10,279.785217,305.756744,0.000000
2007-03-11,284.768738,305.792175,0.000000
2007-03-12,288.452637,306.109253,0.000000
2007-03-13,291.622650,306.144379,0.978433
2007-03-14,291.593842,306.118683,0.000000
2007-03-15,284.736084,305.934540,0.000000
2007-03-16,278.368469,306.167908,0.000000
2007-03-17,282.985260,297.449066,0.000000
2007-03-18,285.148438,291.717834,0.000000
2007-03-19,289.322784,304.125916,2.812188
2007-03-20,291.453583,304.694519,0.350507
2007-03-21,276.838257,295.427094,0.000000
2007-03-22,278.145172,295.702454,0.000000
2007-03-23,278.461670,297.263794,0.000000
2007-03-24,288.517303,303.912292,0.000000
2007-03-25,289.467651,304.622314,1.000884
2007-03-26,277.771271,303.509644,0.000000
2007-03-27,270.541321,295.498535,0.000000
2007-03-28,278.421570,295.507141,0.000000
2007-03-29,288.709412,301.994232,0.000000
2007-03-30,289.805206,305.550598,0.000000
2007-03-31,291.204254,306.427460,0.000000
2007-04-01,290.921692,305.321960,0.000000
2007-04-02,292.030243,304.546204,0.000000
2007-04-03,292.821136,304.467072,0.396392
2007-04-04,294.064850,304.270966,1.962146
2007-04-05,293.611328,304.684174,0.000000
2007-04-06,290.180389,304.839447,1.276985
2007-04-07,292.444061,299.694031,20.673540
2007-04-08,289.100800,296.876282,6.766202
2007-04-09,288.640472,292.411804,1.726897
2007-04-10,285.253448,294.440521,0.000000
2007-04-11,285.513550,294.586487,0.000000
2007-04-12,285.277069,295.783417,0.000000
2007-04-13,287.373291,299.337738,0.000000
2007-04-14,290.263306,301.051453,0.000000
2007-04-15,289.361633,301.880737,0.000000
2007-04-16,290.222076,303.408447,0.000000
2007-04-17,291.545990,303.911865,0.000000
2007-04-18,291.680298,304.437195,0.000000
2007-04-19,292.308075,304.569794,0.000000
2007-04-20,292.110260,304.450470,0.000000
2007-04-21,292.735809,304.446777,0.000000
2007-04-22,287.337006,307.588257,0.000000
2007-04-23,293.168121,306.936523,0.000000
2007-04-24,291.108643,301.031982,18.492886
2007-04-25,290.723694,300.270416,0.879534
2007-04-26,294.209473,300.012482,2.243215
2007-04-27,294.575775,299.655426,0.688374
2007-04-28,290.267761,299.314423,7.637491
2007-04-29,291.185638,293.891205,0.000000
2007-04-30,289.886139,290.471985,0.846966
2007-05-01,292.788239,302.221832,0.000000
2007-05-02,295.167542,303.177063,0.445605
2007-05-03,293.233826,302.472809,6.094377
2007-05-04,290.239105,300.291656,5.639396
2007-05-05,292.089783,301.964447,0.000000
2007-05-06,293.439636,301.597778,0.000000
2007-05-07,295.031952,302.997345,7.647436
2007-05-08,292.785950,300.506561,7.511611
2007-05-09,290.529419,299.266785,0.000000
2007-05-10,289.529236,303.150726,0.000000
2007-05-11,291.103851,304.674866,0.000000
2007-05-12,292.060547,305.338531,0.000000
2007-05-13,292.915894,305.780914,0.000000
2007-05-14,293.081177,306.765228,0.000000
2007-05-15,296.597809,306.684998,0.000000
2007-05-16,294.728638,307.381805,3.593957
2007-05-17,288.930389,307.874054,10.327026
2007-05-18,296.193359,304.739746,5.385539
2007-05-19,294.995758,305.741302,0.425702
2007-05-20,294.931152,307.451233,0.000000
2007-05-21,294.541595,308.192749,0.000000
2007-05-22,295.971466,309.646423,0.998404
2007-05-23,296.797729,310.610809,0.000000
2007-05-24,297.575653,310.798401,0.000000
2007-05-25,296.050476,310.378632,0.000000
2007-05-26,297.349060,310.039398,0.000000
2007-05-27,295.111725,310.536469,0.000000
2007-05-28,297.354645,310.928070,2.126024
2007-05-29,296.539764,307.197266,0.000000
2007-05-30,295.172791,306.363770,0.000000
2007-05-31,295.799622,307.093811,0.000000
2007-06-01,295.164459,306.764648,0.000000
2007-06-02,295.360474,307.317444,0.000000
2007-06-03,295.314178,307.962250,0.000000
2007-06-04,296.105072,308.688660,0.000000
2007-06-05,296.324554,308.742859,0.000000
2007-06-06,296.145782,308.641388,0.000000
2007-06-07,295.973175,308.044403,0.000000
2007-06-08,295.052155,306.578888,0.000000
2007-06-09,294.719208,306.598816,0.000000
2007-06-10,295.502106,306.455597,0.000000
2007-06-11,295.728363,306.949432,0.000000
2007-06-12,296.960571,307.555389,0.000000
2007-06-13,297.907227,307.601410,0.000000
2007-06-14,297.817352,307.860962,0.598982
2007-06-15,297.990234,307.676300,0.000000
2007-06-16,298.128571,306.958099,0.960557
2007-06-17,295.262634,304.947357,3.254708
2007-06-18,295.037994,304.975250,1.526820
2007-06-19,295.795624,306.789520,1.700267
2007-06-20,296.741272,307.734375,0.000000
2007-06-21,296.763580,308.182434,0.000000
2007-06-22,295.527832,307.805786,6.190781
2007-06-23,299.032257,307.215698,11.887001
2007-06-24,297.337646,300.091919,22.982832
2007-06-25,295.101410,300.609589,13.352135
2007-06-26,292.418396,299.897125,8.741419
2007-06-27,293.972717,298.855164,27.522865
2007-06-28,295.188385,297.933197,53.367184
2007-06-29,297.406677,300.478760,54.250317
2007-06-30,296.686218,301.554596,23.381527
2007-07-01,295.139404,302.392151,10.503894
2007-07-02,295.031952,303.694519,12.911938
2007-07-03,296.772736,304.212463,6.576874
2007-07-04,294.928925,300.478912,1.240813
2007-07-05,295.522949,300.428802,1.458917
2007-07-06,295.327789,299.874298,0.315576
2007-07-07,294.466522,300.964508,2.009454
2007-07-08,294.786804,302.374634,0.000000
2007-07-09,295.617065,304.205933,0.000000
2007-07-10,296.210419,304.252350,0.000000
2007-07-11,296.124878,303.734558,3.104160
2007-07-12,295.299805,303.220093,0.317489
2007-07-13,294.735596,304.377960,2.516638
2007-07-14,295.505127,305.239441,0.301618
2007-07-15,296.131317,304.706482,0.000000
2007-07-16,297.086700,305.055023,0.000000
2007-07-17,296.442749,305.053070,0.000000
2007-07-18,295.482147,304.447937,4.222718
2007-07-19,294.894623,304.583649,1.473745
2007-07-20,294.920959,305.171509,1.173398
2007-07-21,295.147858,303.991119,1.162759
2007-07-22,294.467560,303.999573,2.263349
2007-07-23,294.736755,303.451477,1.434855
2007-07-24,295.562836,304.964203,0.384456
2007-07-25,295.924957,304.228027,5.847765
2007-07-26,295.887665,304.713440,66.562187
2007-07-27,295.532471,301.605835,30.225460
2007-07-28,296.354919,299.144104,17.667017
2007-07-29,296.194916,301.422302,26.264860
2007-07-30,295.995728,305.116608,0.000000
2007-07-31,295.887268,305.562317,0.000000
2007-08-01,296.530365,306.149994,0.000000
2007-08-02,297.187927,306.507233,0.322219
2007-08-03,297.115662,306.774384,0.599746
2007-08-04,296.947510,307.712280,0.000000
2007-08-05,295.822235,309.603577,0.000000
2007-08-06,295.947723,309.780457,0.000000
2007-08-07,297.104706,308.139191,0.000000
2007-08-08,296.273895,311.242126,0.000000
2007-08-09,298.034515,311.268005,0.324880
2007-08-10,298.569275,311.360077,0.000000
2007-08-11,297.447662,310.990356,0.000000
2007-08-12,297.046997,309.079620,0.000000
2007-08-13,296.081696,308.265228,0.331499
2007-08-14,296.518738,308.682129,0.000000
2007-08-15,296.840057,308.456635,0.000000
