#Variables:
#tasmin_GFDL-ESM2M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2M_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),pr_GFDL-ESM2M_rcp85(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),pr_GFDL-ESM2M_rcp85(mm)
2006-02-22,283.630157,300.846924,0.000000
2006-02-23,286.300720,303.939575,0.000000
2006-02-24,289.090088,306.032959,0.000000
2006-02-25,289.583405,309.126831,0.000000
2006-02-26,289.808868,307.757172,0.000000
2006-02-27,289.340942,309.724854,0.000000
2006-02-28,289.345001,310.440216,0.000000
2006-03-01,289.546875,309.724457,0.000000
2006-03-02,288.078552,306.833923,0.000000
2006-03-03,286.093170,297.450592,0.000000
2006-03-04,282.413055,294.324890,0.000000
2006-03-05,283.862518,295.429565,0.000000
2006-03-06,286.225616,295.038574,0.000000
2006-03-07,285.389374,295.669220,4.168430
2006-03-08,282.711884,295.008301,12.551143
2006-03-09,278.372437,289.055573,1.111753
2006-03-10,278.579895,292.226929,0.000000
2006-03-11,278.838898,293.081909,0.000000
2006-03-12,278.428345,290.291107,0.000000
2006-03-13,278.794220,293.235016,0.380991
2006-03-14,285.419159,291.959473,6.170473
2006-03-15,287.688446,300.504974,1.747477
2006-03-16,286.864166,300.761108,0.000000
2006-03-17,286.572693,301.197113,0.000000
2006-03-18,289.449524,301.572113,0.528053
2006-03-19,291.218903,300.695435,0.000000
2006-03-20,287.398224,300.054749,0.000000
2006-03-21,285.750580,301.115906,0.000000
2006-03-22,288.839111,302.322845,0.000000
2006-03-23,290.799805,303.635651,0.000000
2006-03-24,291.108093,303.141632,8.488319
2006-03-25,289.514465,303.901489,9.283267
2006-03-26,277.485321,292.808289,1.232778
2006-03-27,278.606964,292.465149,0.000000
2006-03-28,278.409546,292.755219,0.000000
2006-03-29,282.513458,292.269928,2.700634
2006-03-30,276.994751,291.434845,0.000000
2006-03-31,278.149719,295.091522,0.000000
2006-04-01,283.587463,299.927612,0.000000
2006-04-02,286.751007,302.298340,0.000000
2006-04-03,281.594421,300.577606,0.283786
2006-04-04,278.062897,284.810883,9.784590
2006-04-05,277.530365,283.219269,1.166014
2006-04-06,280.059479,294.877686,0.000000
2006-04-07,285.833771,294.207642,0.000000
2006-04-08,288.146210,291.841400,27.944216
2006-04-09,288.892578,293.289062,36.733986
2006-04-10,286.820648,295.557098,0.509314
2006-04-11,286.145966,295.095245,0.000000
2006-04-12,286.923065,291.986389,0.000000
2006-04-13,287.734161,295.956177,0.000000
2006-04-14,289.909485,295.881744,5.443192
2006-04-15,291.106750,301.651276,0.724449
2006-04-16,293.238647,302.802185,3.384307
2006-04-17,289.379059,301.995392,0.000000
2006-04-18,294.006927,298.578064,31.901230
2006-04-19,288.815063,292.197693,23.588371
2006-04-20,292.065186,300.652435,1.684942
2006-04-21,293.280396,304.013153,7.828626
2006-04-22,289.043488,302.933411,0.000000
2006-04-23,282.667908,295.553375,0.000000
2006-04-24,284.550446,297.291626,0.000000
2006-04-25,286.915558,299.183899,0.000000
2006-04-26,288.643372,301.832550,0.000000
2006-04-27,290.025665,300.917419,0.000000
2006-04-28,289.411194,299.099915,0.000000
2006-04-29,289.211609,299.132385,0.000000
2006-04-30,290.362274,300.573822,0.404393
2006-05-01,292.411011,301.115173,0.000000
2006-05-02,287.727051,299.585327,0.000000
2006-05-03,285.693451,299.588989,0.000000
2006-05-04,286.623169,301.344147,0.000000
2006-05-05,287.696106,302.146759,0.000000
2006-05-06,288.213867,303.017822,0.000000
2006-05-07,288.702209,303.606842,0.000000
2006-05-08,289.757050,304.547211,0.000000
2006-05-09,290.193695,303.813416,0.000000
2006-05-10,290.721375,303.158539,0.000000
2006-05-11,292.140900,301.284363,0.739738
2006-05-12,289.686829,295.880768,12.829816
2006-05-13,293.849762,298.246460,31.879038
2006-05-14,290.264648,293.394196,29.512476
2006-05-15,289.307709,292.785553,8.152334
2006-05-16,289.747314,294.589996,0.000000
2006-05-17,290.812469,298.478363,0.000000
2006-05-18,293.473145,300.050903,0.000000
2006-05-19,295.154663,299.942841,10.347268
2006-05-20,295.520416,299.197815,5.912271
2006-05-21,295.934387,303.134613,7.466583
2006-05-22,295.403870,305.943878,0.412507
2006-05-23,294.967377,307.349213,0.000000
2006-05-24,293.990204,305.410919,0.000000
2006-05-25,294.681458,301.906433,0.825662
2006-05-26,294.033722,301.375183,5.800084
2006-05-27,297.321198,302.659302,28.608543
2006-05-28,294.417847,303.282349,9.945597
2006-05-29,293.873138,301.856659,0.000000
2006-05-30,294.172333,300.741760,0.000000
2006-05-31,294.892334,300.629364,1.044453
2006-06-01,294.703705,304.259094,0.000000
2006-06-02,294.723114,303.073730,0.000000
2006-06-03,294.368683,303.636780,0.000000
2006-06-04,293.632446,303.407867,0.000000
2006-06-05,293.958984,303.434784,2.481379
2006-06-06,295.151276,303.259796,0.871422
2006-06-07,294.117126,303.836395,0.349872
2006-06-08,294.195892,304.383240,0.388769
2006-06-09,294.703339,303.829590,0.000000
2006-06-10,297.350403,304.659668,3.710968
2006-06-11,298.341888,305.761230,7.713714
2006-06-12,297.732269,305.397888,20.531696
2006-06-13,296.286743,305.753998,3.580478
2006-06-14,296.602264,305.263824,3.564113
2006-06-15,295.688507,303.957275,0.000000
2006-06-16,295.756470,303.590759,0.000000
2006-06-17,295.672913,303.107300,0.000000
2006-06-18,294.960052,304.220703,0.000000
2006-06-19,295.718964,303.152435,0.000000
2006-06-20,295.539795,302.302734,0.000000
2006-06-21,294.922455,302.715088,0.000000
2006-06-22,294.328644,301.883453,1.888945
2006-06-23,294.064636,301.053162,2.283860
2006-06-24,292.666626,304.358643,0.447489
2006-06-25,294.422180,304.675690,0.913998
2006-06-26,294.878448,304.543213,4.375563
2006-06-27,295.443451,304.597137,13.152530
2006-06-28,296.606659,305.576569,27.544048
2006-06-29,297.674133,301.131195,44.072090
2006-06-30,296.044495,302.774445,17.250481
2006-07-01,295.765015,302.443970,8.577019
2006-07-02,295.704224,303.052979,1.240714
2006-07-03,295.649719,303.577332,0.000000
2006-07-04,294.814850,303.154602,0.000000
2006-07-05,294.656372,303.664673,0.000000
2006-07-06,294.178070,304.663635,0.000000
2006-07-07,295.232727,306.130219,0.000000
2006-07-08,295.426880,306.966675,0.000000
2006-07-09,295.887024,307.807312,1.461408
2006-07-10,297.099548,307.762482,3.544743
2006-07-11,297.700165,305.725769,3.341700
2006-07-12,295.943542,304.727173,2.008664
2006-07-13,295.620941,305.731018,0.000000
2006-07-14,295.879303,306.273712,0.000000
2006-07-15,295.021393,303.728241,0.000000
2006-07-16,294.014374,305.159180,0.505484
2006-07-17,295.345825,308.709259,4.260101
2006-07-18,297.996521,306.164917,2.468548
2006-07-19,297.789093,305.806458,12.449165
2006-07-20,292.113617,300.470581,5.213366
2006-07-21,293.232330,300.047760,5.956132
2006-07-22,294.522247,302.629456,0.000000
2006-07-23,295.135162,304.617218,0.000000
2006-07-24,295.629364,305.530304,0.000000
2006-07-25,295.276703,304.734863,0.000000
2006-07-26,295.667175,305.438354,0.704627
2006-07-27,295.999023,306.304810,0.605321
2006-07-28,295.730438,307.258575,0.000000
2006-07-29,295.610626,307.131622,0.000000
2006-07-30,295.110535,307.668793,0.000000
2006-07-31,295.419708,308.757751,0.000000
2006-08-01,295.420380,308.853638,0.000000
2006-08-02,295.105957,307.936401,0.000000
2006-08-03,295.151825,307.423889,0.000000
2006-08-04,295.161774,308.014862,0.000000
2006-08-05,295.108612,308.496033,0.000000
2006-08-06,295.103455,308.544922,0.000000
2006-08-07,294.947388,308.859558,0.301286
2006-08-08,294.326172,310.622925,0.000000
2006-08-09,294.981384,310.779022,0.000000
2006-08-10,295.120239,310.773529,0.000000
2006-08-11,295.131805,310.601685,0.794662
2006-08-12,295.524994,308.723083,0.319214
2006-08-13,294.631195,306.393860,0.000000
2006-08-14,294.745697,306.500427,0.000000
2006-08-15,295.416809,308.196259,0.000000
2006-08-16,295.528015,309.079041,0.000000
2006-08-17,295.392426,308.684662,0.000000
2006-08-18,295.059998,308.689758,0.000000
2006-08-19,295.484009,309.303345,0.000000
2006-08-20,295.529449,309.577118,0.000000
2006-08-21,295.344940,309.707275,0.000000
2006-08-22,295.413849,309.795868,0.000000
2006-08-23,295.809601,310.164642,0.000000
2006-08-24,295.665375,309.791626,0.000000
2006-08-25,295.367950,310.116302,0.313645
2006-08-26,295.445404,310.083130,0.000000
2006-08-27,295.872375,310.319031,0.327168
2006-08-28,296.404572,310.331879,0.336654
2006-08-29,296.501587,309.865509,0.000000
2006-08-30,295.570129,309.343658,0.000000
2006-08-31,295.485229,309.450317,0.000000
2006-09-01,295.786652,310.117950,0.000000
2006-09-02,295.886078,310.201111,0.000000
2006-09-03,296.130768,310.373474,0.000000
2006-09-04,296.036865,309.834198,0.000000
2006-09-05,295.559265,309.760590,0.000000
2006-09-06,295.923645,309.853455,0.000000
2006-09-07,295.953339,309.108856,0.000000
2006-09-08,295.939728,308.662201,0.396819
2006-09-09,295.531616,308.608154,1.264354
2006-09-10,295.399231,309.249207,2.101004
2006-09-11,295.779663,308.604553,1.237533
2006-09-12,290.556519,306.051453,19.569796
2006-09-13,289.516052,297.066010,1.145094
2006-09-14,290.577240,299.981567,0.000000
2006-09-15,291.835114,302.721954,0.000000
2006-09-16,294.032928,303.705170,0.000000
2006-09-17,293.834625,304.286957,0.000000
2006-09-18,293.142670,304.208801,0.000000
2006-09-19,294.576721,304.503204,2.556647
2006-09-20,295.032532,303.686829,7.060114
2006-09-21,294.083282,303.266296,0.433878
2006-09-22,293.052490,303.304901,0.000000
2006-09-23,292.441711,303.530426,0.000000
2006-09-24,292.593353,303.688477,1.861608
2006-09-25,292.612976,304.223328,0.475542
2006-09-26,292.792542,303.468872,3.497451
2006-09-27,288.031097,301.147064,0.000000
2006-09-28,287.334961,302.201416,0.000000
2006-09-29,287.029816,303.265259,0.000000
2006-09-30,287.426208,305.085297,0.000000
2006-10-01,288.680634,304.925446,0.000000
2006-10-02,288.096069,306.006897,0.000000
2006-10-03,289.085602,307.016907,0.000000
2006-10-04,291.415619,305.884491,0.000000
2006-10-05,285.535919,305.336029,0.000000
2006-10-06,287.958862,306.497101,0.000000
2006-10-07,288.855347,304.970612,0.000000
2006-10-08,287.315125,305.413727,0.000000
2006-10-09,286.285126,305.453888,0.000000
2006-10-10,288.167053,305.620087,0.000000
2006-10-11,290.900421,306.483002,0.829005
2006-10-12,291.141663,305.037415,0.000000
2006-10-13,292.809204,305.868561,0.000000
2006-10-14,290.272644,304.524963,0.000000
2006-10-15,289.215515,304.053223,0.000000
2006-10-16,287.071991,304.696930,0.000000
2006-10-17,285.102509,305.659241,0.000000
2006-10-18,289.549408,304.278961,0.000000
2006-10-19,287.136292,305.117493,0.000000
2006-10-20,287.423828,305.323792,0.000000
2006-10-21,288.819489,304.031342,0.000000
2006-10-22,289.471344,304.572968,0.000000
2006-10-23,287.702759,306.007996,0.000000
2006-10-24,287.689301,306.494934,0.000000
2006-10-25,289.906433,305.938232,0.000000
2006-10-26,288.763306,304.270020,0.000000
2006-10-27,288.764160,303.754303,0.000000
2006-10-28,286.241608,302.798828,0.000000
2006-10-29,286.762573,303.128723,0.000000
2006-10-30,290.636322,301.953125,0.000000
2006-10-31,289.707672,299.660889,0.000000
2006-11-01,290.171082,303.085876,0.000000
2006-11-02,290.268555,303.453461,0.000000
2006-11-03,289.640472,303.220581,0.000000
2006-11-04,286.547577,303.621948,0.000000
2006-11-05,286.910278,303.538269,0.000000
2006-11-06,287.392059,303.438477,0.000000
2006-11-07,289.899597,303.426941,0.000000
2006-11-08,290.805359,303.208954,0.000000
2006-11-09,290.776215,302.276764,1.591026
2006-11-10,289.936432,297.480927,18.412668
2006-11-11,287.006226,295.886688,18.518785
2006-11-12,283.501099,293.524231,0.000000
2006-11-13,281.046387,295.284088,0.000000
2006-11-14,282.366943,296.728333,0.000000
2006-11-15,285.924866,296.000641,0.000000
2006-11-16,288.141205,298.140411,10.381386
2006-11-17,287.531952,295.691925,7.256297
2006-11-18,285.058899,294.607727,1.140640
2006-11-19,283.257782,291.942627,23.059158
2006-11-20,284.687164,290.229370,2.889250
2006-11-21,283.436768,288.990784,0.000000
2006-11-22,281.574677,289.853149,27.620798
2006-11-23,279.255157,286.073120,1.857359
2006-11-24,280.987335,288.316620,0.000000
2006-11-25,279.263306,292.007294,0.000000
2006-11-26,276.070831,291.133392,0.000000
2006-11-27,278.030579,295.904205,0.000000
2006-11-28,281.376801,292.075409,0.000000
2006-11-29,276.677612,287.521271,0.000000
2006-11-30,276.948944,289.949432,0.000000
2006-12-01,274.934387,288.922943,0.000000
2006-12-02,276.272583,293.661682,0.000000
2006-12-03,280.673920,297.448761,0.000000
2006-12-04,280.433441,297.845612,0.000000
2006-12-05,284.127625,298.490173,0.000000
2006-12-06,282.855530,295.184845,0.000000
2006-12-07,277.642975,290.235443,0.000000
2006-12-08,276.953918,293.125305,0.000000
2006-12-09,281.665100,294.373322,0.000000
2006-12-10,287.075104,297.596069,0.000000
2006-12-11,274.594055,292.017426,0.000000
2006-12-12,271.499725,280.988007,0.000000
2006-12-13,279.029633,287.927155,13.341199
2006-12-14,279.582977,293.812775,47.967552
2006-12-15,289.773834,297.202606,2.447730
2006-12-16,289.283356,298.363220,6.039913
2006-12-17,289.787140,299.206329,1.055141
2006-12-18,282.132355,297.995636,0.000000
2006-12-19,277.343903,287.992004,0.000000
2006-12-20,278.586823,283.959717,2.760675
2006-12-21,287.182495,293.525208,7.223574
2006-12-22,282.432190,290.654236,1.383095
2006-12-23,287.982910,298.787781,6.134873
2006-12-24,285.560547,295.529419,4.552484
2006-12-25,275.894470,289.901428,0.000000
2006-12-26,271.268005,291.563812,0.000000
2006-12-27,278.061981,288.755737,0.000000
2006-12-28,269.001953,285.362610,0.000000
2006-12-29,272.478149,288.627197,0.000000
2006-12-30,276.456085,292.769928,0.000000
2006-12-31,282.340759,291.623962,0.000000
2007-01-01,274.778229,287.631317,0.345153
2007-01-02,271.408325,279.478729,0.000000
2007-01-03,270.521484,282.137024,0.000000
2007-01-04,271.393341,283.852692,0.000000
2007-01-05,274.016022,282.951447,0.000000
2007-01-06,275.057617,287.234833,0.000000
2007-01-07,275.256927,290.228271,0.000000
2007-01-08,278.409515,291.197937,0.000000
2007-01-09,277.999695,293.311981,0.000000
2007-01-10,279.726044,292.171753,0.000000
2007-01-11,277.118591,292.243683,0.000000
2007-01-12,279.888824,295.666504,0.000000
2007-01-13,284.435059,297.488525,2.927259
2007-01-14,281.176208,295.552490,2.455046
2007-01-15,277.196594,292.142426,0.409184
2007-01-16,282.557312,298.163208,0.631618
2007-01-17,278.863403,297.826385,0.630942
2007-01-18,275.929016,291.590271,0.000000
2007-01-19,276.575592,295.435486,0.000000
2007-01-20,279.976349,293.481232,0.000000
2007-01-21,273.922028,289.128937,0.000000
2007-01-22,275.354767,294.177063,0.000000
2007-01-23,279.818329,293.924652,0.000000
2007-01-24,276.695984,295.428162,0.000000
2007-01-25,281.468811,296.849121,0.000000
2007-01-26,277.619690,293.992737,0.000000
2007-01-27,278.009399,297.463379,0.000000
2007-01-28,283.370575,297.973358,0.000000
2007-01-29,281.173920,296.938812,0.000000
2007-01-30,281.343109,293.741058,0.000000
2007-01-31,284.198029,290.176056,6.200450
2007-02-01,280.216431,290.127258,0.000000
2007-02-02,279.136993,291.611725,0.000000
2007-02-03,283.088104,294.147705,0.000000
2007-02-04,285.615051,297.740234,0.000000
2007-02-05,283.363861,295.946777,0.000000
2007-02-06,277.601715,292.270508,0.000000
2007-02-07,279.560364,291.306641,0.000000
2007-02-08,284.038300,292.670013,15.386376
2007-02-09,285.806885,296.247925,7.656642
2007-02-10,282.491730,294.533081,0.000000
2007-02-11,280.395233,293.728210,0.000000
2007-02-12,278.598328,292.499512,0.000000
2007-02-13,277.114777,290.172394,0.000000
2007-02-14,276.391876,289.976196,0.000000
2007-02-15,276.991028,294.770782,0.000000
2007-02-16,280.735199,295.404694,0.000000
2007-02-17,283.623413,294.128815,0.000000
2007-02-18,286.573853,296.228729,2.766015
2007-02-19,280.040527,295.716553,5.991576
2007-02-20,274.402679,286.215729,0.592427
2007-02-21,273.087097,289.567627,0.365054
2007-02-22,281.395905,295.948608,0.000000
2007-02-23,277.973816,294.065125,0.000000
2007-02-24,275.146057,291.256683,0.000000
2007-02-25,277.619690,293.595947,0.000000
2007-02-26,280.155365,293.085083,0.000000
2007-02-27,282.098969,292.171265,0.564847
2007-02-28,284.259918,295.381134,0.712295
2007-03-01,286.971985,300.853973,1.282275
2007-03-02,282.698761,297.627869,1.606340
2007-03-03,279.879883,293.747772,0.000000
2007-03-04,281.039368,287.324646,15.701602
2007-03-05,282.193146,289.399628,16.596548
2007-03-06,272.750946,283.166382,0.000000
2007-03-07,273.869049,286.471741,0.000000
2007-03-08,279.303894,292.989899,0.000000
2007-03-09,280.709137,292.506775,0.000000
2007-03-10,286.304382,299.119324,20.491259
2007-03-11,282.667511,294.642700,7.831286
2007-03-12,281.955261,296.072052,0.000000
2007-03-13,285.385498,298.537323,0.558542
2007-03-14,282.566284,295.958618,4.031137
2007-03-15,282.023224,292.515411,0.000000
2007-03-16,279.485596,291.086670,0.000000
2007-03-17,277.937073,287.586761,0.000000
2007-03-18,285.207184,291.531952,63.503689
2007-03-19,277.589691,287.670715,26.244677
2007-03-20,275.990417,286.110748,0.000000
2007-03-21,277.749664,286.832031,0.000000
2007-03-22,280.801758,286.554626,0.319177
2007-03-23,279.944611,289.714111,10.915627
2007-03-24,277.795380,290.211731,1.267541
2007-03-25,277.933197,285.040192,0.594320
2007-03-26,280.691528,285.348328,27.832253
2007-03-27,277.760468,286.392456,10.858105
2007-03-28,277.749237,288.348724,0.000000
2007-03-29,277.872314,290.693512,0.000000
2007-03-30,277.112061,292.220337,0.000000
2007-03-31,280.649780,295.707428,0.000000
2007-04-01,286.206207,295.962311,0.000000
2007-04-02,288.210175,298.668549,9.190926
2007-04-03,286.261139,300.118103,0.847466
2007-04-04,287.788574,298.836914,0.000000
2007-04-05,288.891785,298.716919,4.843775
2007-04-06,286.144501,297.808899,1.360061
2007-04-07,283.575439,295.611206,0.000000
2007-04-08,280.866058,288.759277,0.000000
2007-04-09,282.655457,289.115387,0.000000
2007-04-10,285.580505,291.944672,0.421540
2007-04-11,287.293945,295.062134,1.687947
2007-04-12,284.390076,293.751099,0.000000
2007-04-13,284.186127,298.055176,0.000000
2007-04-14,288.635773,301.708038,0.000000
2007-04-15,285.584198,300.160706,0.000000
2007-04-16,278.205780,295.192780,0.000000
2007-04-17,278.223480,289.648529,0.000000
2007-04-18,284.188538,294.010223,0.000000
2007-04-19,287.773407,300.330170,0.000000
2007-04-20,286.067780,298.755859,0.779878
2007-04-21,284.011475,290.370941,0.000000
2007-04-22,286.020050,295.268005,0.000000
2007-04-23,287.701141,294.893463,0.000000
2007-04-24,287.416840,295.770660,0.000000
2007-04-25,288.502808,299.428131,0.000000
2007-04-26,289.861084,304.052887,0.000000
2007-04-27,293.365082,308.074890,0.000000
2007-04-28,293.932770,307.237427,0.000000
2007-04-29,290.510101,306.595306,0.586393
2007-04-30,289.152557,307.466125,0.312760
2007-05-01,293.224579,308.261108,2.542193
2007-05-02,292.609833,306.922089,0.962774
2007-05-03,290.348328,306.480408,0.285672
2007-05-04,286.663452,303.684631,0.000000
2007-05-05,286.543671,298.013947,0.000000
2007-05-06,289.862030,298.617157,3.706857
2007-05-07,293.683929,304.092438,11.535881
2007-05-08,292.950500,302.151703,14.769989
2007-05-09,294.873840,301.628143,16.365168
2007-05-10,290.860992,302.595337,0.949819
2007-05-11,290.499115,301.101196,0.000000
2007-05-12,290.292084,297.363678,13.235561
2007-05-13,293.037231,298.947998,98.593781
2007-05-14,288.749329,293.398865,15.839454
2007-05-15,286.542450,297.788116,0.000000
2007-05-16,285.664307,296.146057,0.000000
2007-05-17,283.755829,297.905762,0.000000
2007-05-18,285.779938,298.920654,0.000000
2007-05-19,287.892212,300.519440,0.000000
2007-05-20,289.613342,301.414093,0.570584
2007-05-21,291.344177,298.951263,0.000000
2007-05-22,290.621429,299.094086,0.420233
2007-05-23,290.417786,299.826843,0.000000
2007-05-24,291.955200,301.164703,0.000000
2007-05-25,292.756439,301.422211,0.000000
2007-05-26,292.644989,304.777496,0.817480
2007-05-27,293.627472,305.560669,3.692229
2007-05-28,293.221344,304.639160,8.172720
2007-05-29,291.963867,300.708130,8.267632
2007-05-30,287.431732,297.725433,8.337597
2007-05-31,289.081909,299.341431,0.000000
2007-06-01,287.588501,300.963837,0.000000
2007-06-02,289.444275,301.214233,0.000000
2007-06-03,289.718994,301.076904,0.000000
2007-06-04,287.566437,302.424652,0.000000
2007-06-05,289.989502,304.239136,0.000000
2007-06-06,293.021301,305.649261,0.000000
2007-06-07,293.165314,307.392426,0.000000
2007-06-08,294.290314,307.015167,0.000000
2007-06-09,295.791473,305.759277,2.725722
2007-06-10,295.486237,303.298309,8.507283
2007-06-11,292.555359,295.670380,25.476126
2007-06-12,291.370117,295.721741,49.919033
2007-06-13,293.605774,298.453125,28.756506
2007-06-14,296.163544,300.748199,32.077820
2007-06-15,294.326843,298.107269,14.447106
2007-06-16,295.136719,300.459503,0.508313
2007-06-17,295.901550,299.787109,15.063459
2007-06-18,295.697327,300.639130,25.200369
2007-06-19,296.338867,300.822327,22.065290
2007-06-20,294.971771,302.894287,3.488746
2007-06-21,295.022522,304.385162,2.193379
2007-06-22,295.601318,305.219177,0.477803
2007-06-23,296.555084,304.394714,5.792100
2007-06-24,297.200623,305.814392,4.654343
2007-06-25,297.127777,307.275848,5.686348
2007-06-26,295.438934,299.749725,58.750950
2007-06-27,295.152802,305.015808,28.136772
2007-06-28,295.545380,303.988129,6.658111
2007-06-29,294.979645,303.964813,1.848348
2007-06-30,294.361938,301.970001,15.741615
2007-07-01,295.021820,302.317657,11.827995
2007-07-02,294.052612,302.775635,16.228682
2007-07-03,293.831055,301.557770,11.547078
2007-07-04,294.046112,302.728851,7.759540
2007-07-05,293.990753,301.167938,16.652231
2007-07-06,295.583618,302.967529,2.226643
2007-07-07,295.653412,303.172058,10.502673
2007-07-08,295.355316,299.941101,22.138447
2007-07-09,294.270294,303.231842,2.875770
2007-07-10,294.228271,302.942596,1.108653
2007-07-11,294.454498,303.178864,2.828095
2007-07-12,294.315430,303.010345,0.588127
2007-07-13,294.489990,303.746155,0.879909
2007-07-14,295.494446,304.131104,0.980144
2007-07-15,294.975555,303.214508,5.505432
2007-07-16,295.231537,302.845703,2.061335
2007-07-17,295.050201,302.268036,12.379178
2007-07-18,295.775696,300.282623,13.355460
2007-07-19,295.031830,301.077759,6.480851
2007-07-20,294.432129,302.361816,2.732274
2007-07-21,294.693756,303.499786,0.000000
2007-07-22,294.776733,304.764648,0.000000
2007-07-23,295.123016,305.409058,3.289320
2007-07-24,295.519135,303.830078,13.759033
2007-07-25,295.334076,303.824402,4.892507
2007-07-26,295.095306,303.549988,0.000000
2007-07-27,295.614410,304.154694,0.878020
2007-07-28,296.008606,306.054291,0.000000
2007-07-29,296.647919,306.996704,2.064354
2007-07-30,295.360382,306.522095,3.527793
2007-07-31,295.114319,306.392212,2.163440
2007-08-01,295.345825,306.866608,0.528215
2007-08-02,295.440826,307.834747,0.000000
2007-08-03,295.834503,308.719910,0.000000
2007-08-04,296.122742,310.176331,0.000000
2007-08-05,297.194550,311.973358,0.000000
2007-08-06,297.909180,312.637695,1.682705
2007-08-07,297.423889,312.414917,0.000000
2007-08-08,295.228302,310.542694,0.287208
2007-08-09,295.058441,308.832367,0.398322
