#Variables:
#tasmin_MRI-CGCM3_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MRI-CGCM3_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MRI-CGCM3_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MRI-CGCM3_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MRI-CGCM3_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MRI-CGCM3_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MRI-CGCM3_historical(K),tasmax_MRI-CGCM3_historical(K),pr_MRI-CGCM3_historical(mm)"
""
yyyy-mm-dd,tasmin_MRI-CGCM3_historical(K),tasmax_MRI-CGCM3_historical(K),pr_MRI-CGCM3_historical(mm)
1950-11-10,289.640259,300.853821,0.481056
1950-11-11,291.116425,303.742584,0.000000
1950-11-12,290.132111,303.784058,0.000000
1950-11-13,292.097382,303.143738,0.000000
1950-11-14,289.712402,301.352966,0.000000
1950-11-15,281.713440,302.905151,0.622244
1950-11-16,289.202942,303.239990,0.000000
1950-11-17,289.352539,304.881226,0.000000
1950-11-18,289.598724,302.645721,2.651740
1950-11-19,287.619720,297.362610,0.456548
1950-11-20,283.020020,293.356628,0.435791
1950-11-21,276.283752,286.103699,0.000000
1950-11-22,275.902740,290.017273,0.000000
1950-11-23,278.979584,296.602692,0.000000
1950-11-24,276.811096,298.390625,0.000000
1950-11-25,284.629089,297.143616,0.000000
1950-11-26,278.753235,299.581055,0.000000
1950-11-27,278.863068,300.505127,0.000000
1950-11-28,278.451385,299.955322,0.000000
1950-11-29,283.931946,297.039246,0.000000
1950-11-30,288.822357,297.188843,1.348652
1950-12-01,289.265198,299.545166,0.000000
1950-12-02,278.871582,294.209900,7.689761
1950-12-03,275.560211,285.864014,1.196672
1950-12-04,273.556702,282.457977,0.000000
1950-12-05,273.291351,282.682098,0.000000
1950-12-06,275.126495,290.438110,0.000000
1950-12-07,275.851868,292.874146,0.000000
1950-12-08,282.453644,290.575165,0.000000
1950-12-09,278.702942,290.571899,0.000000
1950-12-10,276.402740,287.572632,0.000000
1950-12-11,282.948822,297.016815,0.532802
1950-12-12,278.582031,290.001190,0.000000
1950-12-13,273.306030,288.890930,0.000000
1950-12-14,271.241150,288.400635,0.000000
1950-12-15,280.977844,295.294037,0.000000
1950-12-16,277.448883,295.023804,2.494885
1950-12-17,276.775635,290.165344,0.000000
1950-12-18,277.450317,286.582855,5.346863
1950-12-19,272.655640,284.700958,0.000000
1950-12-20,269.641327,284.651337,0.000000
1950-12-21,270.667023,286.487915,0.000000
1950-12-22,273.176910,287.185455,0.000000
1950-12-23,274.569824,289.403351,0.000000
1950-12-24,270.906464,286.537933,0.983518
1950-12-25,267.152039,274.331085,2.798987
1950-12-26,268.488617,277.605194,0.000000
1950-12-27,272.252747,280.612335,0.000000
1950-12-28,270.318024,277.766632,0.000000
1950-12-29,270.446014,284.338287,0.000000
1950-12-30,267.404694,280.998596,0.000000
1950-12-31,265.676514,283.325378,0.000000
1951-01-01,272.077728,284.221161,0.000000
1951-01-02,273.927521,287.048431,0.000000
1951-01-03,271.487183,288.761993,0.000000
1951-01-04,274.845917,288.142822,0.000000
1951-01-05,282.099487,293.037933,1.496531
1951-01-06,285.238678,297.338531,0.332809
1951-01-07,276.960327,297.332428,0.000000
1951-01-08,278.083771,294.670105,0.000000
1951-01-09,286.651978,294.718231,1.453679
1951-01-10,287.212982,295.354919,0.000000
1951-01-11,287.402832,297.399048,0.000000
1951-01-12,286.707764,296.364258,0.000000
1951-01-13,285.308655,296.231903,0.000000
1951-01-14,285.019928,300.757477,0.000000
1951-01-15,282.657043,297.529572,0.000000
1951-01-16,276.896698,295.470886,0.000000
1951-01-17,277.886688,296.449982,0.000000
1951-01-18,281.013855,292.092377,0.000000
1951-01-19,274.744385,286.936035,0.000000
1951-01-20,279.521576,297.131195,1.619030
1951-01-21,275.632263,296.226349,0.000000
1951-01-22,274.703461,286.004913,0.000000
1951-01-23,281.733887,299.601929,1.176964
1951-01-24,281.577057,296.635315,0.000000
1951-01-25,283.051025,297.654541,2.747816
1951-01-26,285.004364,296.400940,0.285234
1951-01-27,285.080811,294.197845,3.355169
1951-01-28,286.181946,296.679718,2.380367
1951-01-29,286.859222,297.157471,0.000000
1951-01-30,286.020966,297.522430,0.000000
1951-01-31,282.280182,294.464081,0.000000
1951-02-01,276.929230,289.919952,0.000000
1951-02-02,277.102539,295.859314,0.000000
1951-02-03,277.333374,291.534821,0.000000
1951-02-04,277.351807,290.985321,0.000000
1951-02-05,277.780396,288.746246,0.615708
1951-02-06,272.075226,278.463501,0.901287
1951-02-07,274.040161,283.250061,0.000000
1951-02-08,273.545197,287.824738,0.000000
1951-02-09,274.505798,292.583038,0.000000
1951-02-10,278.395264,290.608154,0.000000
1951-02-11,276.027771,289.633789,0.000000
1951-02-12,278.629974,289.797333,0.000000
1951-02-13,279.494659,291.983032,0.000000
1951-02-14,283.343231,298.492493,0.000000
1951-02-15,284.454163,299.096375,0.000000
1951-02-16,282.747406,293.754639,0.000000
1951-02-17,277.628510,293.589264,0.000000
1951-02-18,278.038300,299.554596,0.000000
1951-02-19,282.788055,302.135040,0.000000
1951-02-20,284.477936,305.119507,0.000000
1951-02-21,282.612640,302.972687,0.000000
1951-02-22,286.496124,299.937866,1.167475
1951-02-23,288.110870,303.559326,1.156555
1951-02-24,284.491241,300.993866,0.000000
1951-02-25,285.869812,297.403534,1.438976
1951-02-26,282.948761,300.891846,0.000000
1951-02-27,283.951294,297.094452,0.000000
1951-02-28,284.483063,292.912292,1.363237
1951-03-01,285.107819,300.842010,0.000000
1951-03-02,282.841187,300.680969,0.000000
1951-03-03,285.809387,298.971191,0.000000
1951-03-04,286.307129,294.969788,4.492914
1951-03-05,287.725464,297.506744,4.719541
1951-03-06,281.979034,298.624786,0.000000
1951-03-07,281.651306,296.840820,0.000000
1951-03-08,283.303497,295.506714,0.000000
1951-03-09,286.686462,301.920074,0.000000
1951-03-10,290.358551,304.247620,1.353328
1951-03-11,292.001648,303.746460,0.000000
1951-03-12,282.610687,300.135132,0.000000
1951-03-13,277.578156,291.774780,0.000000
1951-03-14,274.315125,293.377014,0.000000
1951-03-15,280.520844,296.080841,0.000000
1951-03-16,285.608032,294.200104,0.000000
1951-03-17,289.571594,299.092377,0.881527
1951-03-18,286.482300,296.801239,0.000000
1951-03-19,289.399750,302.365356,0.000000
1951-03-20,286.461517,300.109650,0.000000
1951-03-21,284.556915,301.850891,0.000000
1951-03-22,289.408264,298.633728,0.953454
1951-03-23,290.836731,298.462097,1.591110
1951-03-24,291.468048,301.935364,0.817150
1951-03-25,287.787415,300.340088,0.000000
1951-03-26,284.819458,298.355377,0.000000
1951-03-27,284.569672,293.393036,0.000000
1951-03-28,282.798950,290.069580,3.679064
1951-03-29,281.254486,292.469757,0.000000
1951-03-30,280.009369,299.877014,0.000000
1951-03-31,283.736450,301.159546,0.000000
1951-04-01,288.749268,302.252686,0.000000
1951-04-02,286.550873,300.772186,0.000000
1951-04-03,287.505188,300.420685,0.000000
1951-04-04,282.046753,296.947449,0.000000
1951-04-05,280.951904,298.637024,0.000000
1951-04-06,285.152283,298.066925,0.000000
1951-04-07,288.608154,299.586670,10.902386
1951-04-08,288.313385,301.068146,0.000000
1951-04-09,284.334045,303.648743,0.000000
1951-04-10,287.976105,300.106812,0.000000
1951-04-11,290.683167,303.229675,0.000000
1951-04-12,291.435638,302.247772,4.144392
1951-04-13,286.120819,305.128357,0.000000
1951-04-14,289.251068,307.720367,0.000000
1951-04-15,292.966858,306.721710,0.000000
1951-04-16,292.223297,306.889130,0.000000
1951-04-17,287.918915,306.197876,0.000000
1951-04-18,291.937531,302.969604,0.000000
1951-04-19,290.422516,301.751221,4.237687
1951-04-20,290.092316,303.298126,2.740350
1951-04-21,288.506958,304.873383,0.000000
1951-04-22,288.436584,305.953094,0.000000
1951-04-23,289.241974,302.559418,16.392305
1951-04-24,285.660980,301.792542,0.000000
1951-04-25,284.091309,303.204651,0.000000
1951-04-26,287.979248,306.073883,0.000000
1951-04-27,291.514526,309.819672,0.000000
1951-04-28,293.709412,305.721649,0.000000
1951-04-29,293.909515,302.766388,0.840715
1951-04-30,291.795837,307.043091,1.054244
1951-05-01,294.217224,308.502716,0.000000
1951-05-02,294.094330,307.195953,0.000000
1951-05-03,292.585297,304.220032,0.000000
1951-05-04,286.318176,302.494598,0.000000
1951-05-05,291.339600,301.448975,0.000000
1951-05-06,288.092316,297.179901,0.383096
1951-05-07,290.912018,296.586151,0.000000
1951-05-08,291.622589,302.559082,0.637671
1951-05-09,292.642639,298.952271,18.132685
1951-05-10,292.943268,298.606110,35.888748
1951-05-11,293.521637,301.954285,26.245296
1951-05-12,293.225677,306.075806,6.435506
1951-05-13,293.909241,307.025421,0.000000
1951-05-14,292.863098,307.156860,0.000000
1951-05-15,291.399200,304.183441,0.000000
1951-05-16,291.829132,299.727631,0.000000
1951-05-17,290.012573,296.615692,0.000000
1951-05-18,291.372681,297.168732,49.881683
1951-05-19,292.671783,303.846375,11.559161
1951-05-20,294.225006,301.644226,35.717224
1951-05-21,291.380920,304.463898,0.000000
1951-05-22,293.387482,308.621246,0.000000
1951-05-23,292.577362,306.124420,0.000000
1951-05-24,292.999786,302.050385,0.000000
1951-05-25,293.837463,302.823212,0.000000
1951-05-26,293.243164,305.170105,0.000000
1951-05-27,292.176666,305.868652,0.000000
1951-05-28,291.739960,305.799652,0.000000
1951-05-29,293.320557,304.174011,0.000000
1951-05-30,293.821930,302.710754,0.000000
1951-05-31,294.531525,305.874115,1.140365
1951-06-01,294.932709,305.729401,1.002797
1951-06-02,294.373749,301.124359,38.421719
1951-06-03,294.821503,307.843414,10.034533
1951-06-04,294.300629,306.494507,0.000000
1951-06-05,293.500092,303.643768,0.000000
1951-06-06,294.819946,304.630646,0.000000
1951-06-07,296.002075,304.499786,0.000000
1951-06-08,296.861267,308.542328,2.551250
1951-06-09,292.289276,309.704620,1.266896
1951-06-10,292.220673,306.139160,2.093619
1951-06-11,291.943573,308.096039,4.103600
1951-06-12,292.498016,311.393951,0.000000
1951-06-13,296.165070,311.064728,0.000000
1951-06-14,298.117920,312.853180,0.000000
1951-06-15,298.283752,311.152954,0.000000
1951-06-16,296.924500,309.948364,0.483098
1951-06-17,295.411316,307.442688,0.000000
1951-06-18,295.243042,306.608215,1.434872
1951-06-19,296.318207,304.518188,0.412123
1951-06-20,296.669525,307.733826,0.000000
1951-06-21,295.693298,305.733337,0.000000
1951-06-22,298.122253,305.567383,0.000000
1951-06-23,296.501984,307.796997,0.759365
1951-06-24,297.659851,308.656982,0.976750
1951-06-25,296.413330,310.163483,0.518597
1951-06-26,296.960876,311.683624,0.000000
1951-06-27,297.835571,312.032196,0.000000
1951-06-28,299.511505,313.831940,0.000000
1951-06-29,300.589661,314.979218,0.000000
1951-06-30,299.913330,313.951416,0.000000
1951-07-01,300.254578,312.230621,0.000000
1951-07-02,299.594849,311.309875,0.000000
1951-07-03,297.850189,312.060516,0.000000
1951-07-04,299.102600,313.504333,0.000000
1951-07-05,298.953308,312.065125,5.805288
1951-07-06,299.435303,313.751556,0.000000
1951-07-07,301.201324,313.814850,1.008953
1951-07-08,302.331177,312.775848,4.247254
1951-07-09,298.210114,308.416290,21.895205
1951-07-10,295.867798,304.155914,18.249081
1951-07-11,297.076721,308.962708,0.000000
1951-07-12,296.976837,310.549622,0.000000
1951-07-13,297.487183,311.278137,0.000000
1951-07-14,298.628479,312.334961,0.000000
1951-07-15,297.177124,311.372742,0.000000
1951-07-16,296.659943,309.757385,0.000000
1951-07-17,296.792450,306.213104,1.479202
1951-07-18,294.544342,301.194916,8.577775
1951-07-19,294.665039,300.920502,23.019823
1951-07-20,294.453369,301.186371,62.055855
1951-07-21,296.451904,304.810272,10.929078
1951-07-22,297.561554,304.517242,17.556000
1951-07-23,296.508118,302.109680,19.788208
1951-07-24,296.603455,304.760254,2.061383
1951-07-25,296.866119,306.631531,0.000000
1951-07-26,295.926788,304.728729,0.000000
1951-07-27,296.461456,305.746735,14.651173
1951-07-28,294.627380,301.779694,11.229247
1951-07-29,295.013306,306.517090,0.000000
1951-07-30,293.286316,308.438080,0.000000
1951-07-31,292.816650,308.497223,0.000000
1951-08-01,294.589508,306.696747,0.000000
1951-08-02,294.144684,306.455231,0.000000
1951-08-03,293.709106,306.039307,1.737767
1951-08-04,293.828278,306.350494,1.201824
1951-08-05,293.697479,307.707275,0.000000
1951-08-06,295.057129,307.412292,0.796664
1951-08-07,296.324799,306.782593,2.535976
1951-08-08,295.978912,308.643433,0.000000
1951-08-09,295.632416,309.054688,0.000000
1951-08-10,294.905060,310.314056,0.000000
1951-08-11,295.265594,310.619598,2.256945
1951-08-12,295.574829,310.202118,0.609650
1951-08-13,295.709137,309.804382,0.831577
