#Variables:
#tasmin_MIROC5_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC5_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC5_historical(K),tasmax_MIROC5_historical(K),pr_MIROC5_historical(mm)"
""
yyyy-mm-dd,tasmin_MIROC5_historical(K),tasmax_MIROC5_historical(K),pr_MIROC5_historical(mm)
1950-02-20,273.657654,292.583527,0.000000
1950-02-21,278.833588,300.769714,0.000000
1950-02-22,282.862701,298.594238,0.000000
1950-02-23,277.566559,292.175629,0.000000
1950-02-24,276.558014,293.889740,0.000000
1950-02-25,281.590088,292.024933,5.362279
1950-02-26,280.521973,290.309448,6.017858
1950-02-27,267.997498,280.705231,0.000000
1950-02-28,272.377075,289.666840,0.000000
1950-03-01,280.711548,299.862671,0.000000
1950-03-02,282.908600,299.381500,0.000000
1950-03-03,279.821259,293.495270,0.000000
1950-03-04,279.000641,295.131195,0.000000
1950-03-05,283.694519,299.110443,0.000000
1950-03-06,286.786377,297.480286,1.552620
1950-03-07,274.752655,291.753418,0.382367
1950-03-08,274.680511,289.413025,0.000000
1950-03-09,276.710785,291.893280,0.000000
1950-03-10,283.779724,293.243500,0.400587
1950-03-11,284.901825,302.523529,0.000000
1950-03-12,286.704407,304.141388,0.000000
1950-03-13,287.439636,306.065002,0.000000
1950-03-14,288.652130,303.043427,0.000000
1950-03-15,289.606445,299.404785,1.747752
1950-03-16,291.462708,305.846527,2.135097
1950-03-17,284.828369,304.485779,0.000000
1950-03-18,281.426025,301.665619,0.000000
1950-03-19,282.586761,294.115692,0.000000
1950-03-20,288.279999,294.332184,0.000000
1950-03-21,289.271851,301.542633,0.854234
1950-03-22,289.458496,304.288239,0.000000
1950-03-23,280.979736,300.494263,0.000000
1950-03-24,277.332123,286.734314,0.000000
1950-03-25,280.428162,286.119843,0.814063
1950-03-26,285.946136,292.496674,0.327561
1950-03-27,287.840302,297.152527,0.000000
1950-03-28,288.355469,295.485138,0.000000
1950-03-29,289.932312,298.151794,9.903390
1950-03-30,289.618835,297.193787,0.000000
1950-03-31,289.508362,296.630798,0.000000
1950-04-01,290.369415,295.776428,0.805857
1950-04-02,289.997009,297.195740,0.000000
1950-04-03,289.349670,295.081146,7.295215
1950-04-04,288.109039,297.199860,4.620437
1950-04-05,287.696564,300.858673,0.850933
1950-04-06,288.858124,300.154083,0.000000
1950-04-07,289.992249,298.429199,0.000000
1950-04-08,289.207458,300.589233,0.000000
1950-04-09,291.796936,299.313354,1.140518
1950-04-10,292.150879,304.217010,2.298988
1950-04-11,287.714203,305.178345,0.000000
1950-04-12,292.527466,303.019867,11.039075
1950-04-13,292.117401,299.485046,1.607477
1950-04-14,292.758057,300.051147,12.665701
1950-04-15,287.249969,295.779816,10.902386
1950-04-16,283.851990,298.489319,0.000000
1950-04-17,284.421600,299.697723,0.000000
1950-04-18,284.073944,300.832336,0.000000
1950-04-19,286.864258,299.542450,0.000000
1950-04-20,290.015930,300.397827,0.680880
1950-04-21,291.186676,300.393951,0.348559
1950-04-22,292.121307,299.330780,0.000000
1950-04-23,291.619293,302.100800,3.962749
1950-04-24,290.342712,303.648438,0.000000
1950-04-25,293.056488,301.282257,2.993509
1950-04-26,291.556488,300.153198,0.000000
1950-04-27,292.527893,299.506409,0.000000
1950-04-28,292.318329,302.524017,0.000000
1950-04-29,291.889099,307.195862,0.000000
1950-04-30,287.153687,307.318146,0.000000
1950-05-01,287.651459,303.771515,0.000000
1950-05-02,286.226624,301.829590,0.000000
1950-05-03,287.123779,304.047028,0.000000
1950-05-04,288.451080,305.190674,0.000000
1950-05-05,291.870056,305.686127,0.000000
1950-05-06,294.260101,304.487671,13.921706
1950-05-07,293.303802,305.306061,14.812530
1950-05-08,294.029510,307.746277,0.000000
1950-05-09,295.430939,307.755554,0.000000
1950-05-10,295.645294,307.506470,0.000000
1950-05-11,294.669495,305.956390,2.103748
1950-05-12,295.030670,305.633636,12.139633
1950-05-13,294.492432,304.048584,16.111139
1950-05-14,294.939941,305.514862,0.000000
1950-05-15,294.572998,309.497253,0.000000
1950-05-16,294.688721,309.060303,0.000000
1950-05-17,293.265289,308.256653,0.000000
1950-05-18,293.056854,307.000732,0.000000
1950-05-19,293.741699,307.034424,0.000000
1950-05-20,293.773468,307.842377,0.000000
1950-05-21,293.885590,306.528625,0.000000
1950-05-22,292.337433,307.872009,0.000000
1950-05-23,292.190247,309.536346,0.000000
1950-05-24,297.701904,309.395233,2.313348
1950-05-25,297.976227,308.831238,0.623181
1950-05-26,294.492035,307.955872,0.000000
1950-05-27,295.701569,307.975067,0.000000
1950-05-28,293.628876,308.415039,0.000000
1950-05-29,294.923096,308.905090,0.000000
1950-05-30,294.893738,309.422241,0.000000
1950-05-31,295.780945,311.072998,0.000000
1950-06-01,297.228943,312.929718,0.000000
1950-06-02,295.896088,311.401672,0.000000
1950-06-03,295.733032,311.037109,0.000000
1950-06-04,296.145386,310.049072,0.000000
1950-06-05,296.444611,309.438599,0.000000
1950-06-06,297.280945,309.421783,0.000000
1950-06-07,296.986542,309.535614,0.556240
1950-06-08,296.371704,307.384003,3.070000
1950-06-09,296.238983,307.350983,0.000000
1950-06-10,296.598297,308.907074,0.000000
1950-06-11,295.805359,307.064117,0.000000
1950-06-12,297.234711,306.870453,9.598866
1950-06-13,296.316711,306.043030,1.647461
1950-06-14,295.865295,305.881653,0.000000
1950-06-15,294.778809,307.485229,0.000000
1950-06-16,295.226654,307.996002,0.000000
1950-06-17,295.068207,309.898041,0.000000
1950-06-18,295.375336,310.476776,0.000000
1950-06-19,296.464600,310.606018,0.000000
1950-06-20,296.816101,308.654602,0.000000
1950-06-21,296.660736,308.441132,5.535872
1950-06-22,296.772583,307.447540,16.122326
1950-06-23,296.597565,307.852814,2.329170
1950-06-24,297.753082,306.737335,20.420156
1950-06-25,296.833832,302.370697,13.963078
1950-06-26,295.788483,304.970428,0.000000
1950-06-27,295.479889,306.412842,0.000000
1950-06-28,295.716553,308.310211,0.000000
1950-06-29,298.544678,308.901276,5.836633
1950-06-30,297.386780,305.704041,3.864492
1950-07-01,296.393707,301.209442,17.526880
1950-07-02,296.879486,301.628693,36.802200
1950-07-03,297.405396,303.322968,15.866653
1950-07-04,298.047211,306.479370,1.882500
1950-07-05,297.247162,305.651337,1.749471
1950-07-06,298.101715,304.284515,7.644094
1950-07-07,296.936310,305.490356,3.136788
1950-07-08,297.490753,305.815765,0.000000
1950-07-09,297.187073,305.096649,0.000000
1950-07-10,297.021973,305.560883,0.000000
1950-07-11,295.972748,305.962006,1.966119
1950-07-12,296.249146,306.199219,0.000000
1950-07-13,295.672821,305.735474,0.000000
1950-07-14,295.504852,303.503540,4.209000
1950-07-15,295.383057,299.310822,15.453898
1950-07-16,294.127869,299.957916,62.055855
1950-07-17,295.978027,301.509369,32.042320
1950-07-18,297.071991,300.435120,25.781031
1950-07-19,297.299957,300.686127,18.073187
1950-07-20,296.565521,302.162964,9.875870
1950-07-21,296.757080,303.923553,0.000000
1950-07-22,295.359802,306.376587,0.000000
1950-07-23,295.642578,306.420074,0.000000
1950-07-24,296.008331,304.520813,3.671059
1950-07-25,295.418152,303.524536,1.101701
1950-07-26,295.878021,303.690277,0.000000
1950-07-27,295.890320,305.870300,0.000000
1950-07-28,296.194366,305.823334,0.000000
1950-07-29,296.972229,306.008728,0.307672
1950-07-30,295.646942,304.271912,0.000000
1950-07-31,295.661652,306.618866,0.000000
1950-08-01,293.924713,307.472992,0.000000
1950-08-02,294.382172,308.010376,0.000000
1950-08-03,294.663330,308.111664,0.000000
1950-08-04,295.385864,309.036713,0.000000
1950-08-05,296.089203,309.329163,0.000000
1950-08-06,296.570496,308.078094,0.280419
1950-08-07,294.806427,306.791046,0.000000
1950-08-08,294.928162,306.469696,0.000000
1950-08-09,295.088989,307.883575,0.000000
1950-08-10,294.720551,308.705322,0.000000
1950-08-11,295.394196,307.490601,0.000000
1950-08-12,295.384064,308.010101,0.000000
1950-08-13,296.017853,307.271576,0.000000
1950-08-14,295.951660,308.027313,0.000000
1950-08-15,295.875641,308.556976,0.000000
1950-08-16,295.093567,309.206482,0.000000
1950-08-17,295.372192,310.135132,0.000000
1950-08-18,296.059143,310.193420,0.000000
1950-08-19,295.919464,309.731110,0.000000
1950-08-20,296.065216,308.889740,0.000000
1950-08-21,295.718140,309.215088,0.000000
1950-08-22,295.283844,309.159698,0.000000
1950-08-23,296.008972,310.154358,0.753600
1950-08-24,296.871796,311.154114,0.643616
1950-08-25,296.256714,311.145203,0.000000
1950-08-26,297.067139,311.020996,0.000000
1950-08-27,296.311676,310.730255,0.000000
1950-08-28,296.778809,310.655060,0.289937
1950-08-29,297.931274,310.665100,0.000000
1950-08-30,296.272888,308.307892,0.000000
1950-08-31,295.550110,306.121338,0.000000
1950-09-01,295.650696,303.220093,5.838438
1950-09-02,295.258270,302.124420,0.716113
1950-09-03,295.396790,301.054779,20.379059
1950-09-04,294.981415,302.438629,2.258485
1950-09-05,295.098938,305.239868,0.000000
1950-09-06,294.413940,306.384705,0.000000
1950-09-07,294.979614,305.607391,0.000000
1950-09-08,295.052521,306.296265,0.000000
1950-09-09,294.083282,307.033081,0.000000
1950-09-10,294.540344,307.372925,0.000000
1950-09-11,292.418884,308.388702,0.000000
1950-09-12,295.429199,308.228760,0.000000
1950-09-13,294.045502,306.778809,0.000000
1950-09-14,294.164459,306.670593,0.000000
1950-09-15,294.361969,308.696686,1.436084
1950-09-16,295.506897,311.018982,0.000000
1950-09-17,295.783661,312.907745,0.000000
1950-09-18,296.379852,312.533600,0.000000
1950-09-19,295.389618,309.003387,0.000000
1950-09-20,293.941803,307.257416,0.000000
1950-09-21,294.773224,304.679260,0.000000
1950-09-22,294.431000,304.326752,0.000000
1950-09-23,293.141388,305.879883,0.000000
1950-09-24,293.700470,304.829315,0.000000
1950-09-25,293.079651,305.248016,1.682961
1950-09-26,293.236481,306.023254,0.000000
1950-09-27,293.368317,307.000702,0.000000
1950-09-28,294.937073,306.435120,2.789892
1950-09-29,293.882294,302.331299,83.164566
1950-09-30,290.824432,300.972870,16.264713
1950-10-01,292.898651,305.421448,0.609212
1950-10-02,293.993347,305.266937,0.000000
1950-10-03,292.957031,305.753998,0.000000
1950-10-04,293.091675,305.045044,0.000000
1950-10-05,293.331329,305.407318,0.000000
1950-10-06,293.816833,305.446564,0.424285
1950-10-07,294.088043,301.531921,0.645455
1950-10-08,286.788208,300.486389,0.000000
1950-10-09,286.512604,301.688812,0.000000
1950-10-10,290.051056,303.305298,0.000000
1950-10-11,293.902405,306.532928,4.576459
1950-10-12,292.199890,304.291840,5.339797
1950-10-13,293.755737,299.473541,8.877389
1950-10-14,290.618469,296.889740,179.549179
1950-10-15,284.236542,295.284851,37.941532
1950-10-16,287.014557,295.369781,0.000000
1950-10-17,283.535156,298.351044,0.000000
1950-10-18,279.623199,294.161346,0.000000
1950-10-19,276.600220,290.214386,0.000000
1950-10-20,278.616425,295.178497,0.000000
1950-10-21,282.949463,300.686523,0.000000
1950-10-22,289.471375,297.912872,0.000000
1950-10-23,289.194000,299.186432,0.479926
1950-10-24,289.309875,302.927124,0.000000
1950-10-25,290.681915,303.025970,0.000000
1950-10-26,291.234680,300.480408,1.373245
1950-10-27,284.190491,294.611237,1.395709
1950-10-28,289.401306,305.593506,2.052835
1950-10-29,285.134705,302.624786,0.000000
1950-10-30,280.335907,295.050262,0.000000
1950-10-31,276.286652,292.717499,0.000000
1950-11-01,280.581238,292.297852,0.000000
1950-11-02,279.396393,296.370392,0.000000
1950-11-03,281.416046,299.406219,0.000000
1950-11-04,286.246582,300.397400,0.000000
1950-11-05,292.627533,300.990753,1.083068
1950-11-06,292.135529,300.873352,1.627904
1950-11-07,283.384705,299.579498,0.000000
1950-11-08,286.053375,296.885590,0.592657
1950-11-09,284.934631,294.453735,27.010241
1950-11-10,286.067749,294.813141,2.827120
1950-11-11,286.298859,298.897827,18.641945
1950-11-12,287.240051,294.853760,6.455709
1950-11-13,288.587616,296.497803,4.864798
1950-11-14,283.424011,300.371521,0.000000
1950-11-15,284.875793,295.145996,4.176149
1950-11-16,282.941742,292.714905,3.728376
1950-11-17,278.823273,292.878601,0.000000
1950-11-18,279.404144,294.945923,0.000000
1950-11-19,280.082092,295.035065,0.000000
1950-11-20,281.428650,297.143616,0.000000
1950-11-21,284.591949,300.778381,0.000000
1950-11-22,287.386139,299.699738,0.000000
1950-11-23,287.594849,298.045074,6.315443
1950-11-24,280.071991,294.111450,2.246139
1950-11-25,275.126709,288.238312,0.000000
1950-11-26,274.898376,287.248077,0.000000
1950-11-27,275.925385,286.537262,0.000000
1950-11-28,272.917145,287.247131,0.000000
1950-11-29,273.481323,289.081787,0.000000
1950-11-30,277.684174,290.111145,0.000000
1950-12-01,281.636597,287.879425,0.000000
1950-12-02,281.934723,287.426910,0.451701
1950-12-03,281.082825,285.792328,6.213460
1950-12-04,276.714508,283.334869,25.729172
1950-12-05,278.508026,283.430359,7.612171
1950-12-06,279.182800,286.231812,0.415536
1950-12-07,275.419159,286.880920,0.000000
1950-12-08,273.179779,286.643036,0.000000
1950-12-09,271.940521,285.536255,0.000000
1950-12-10,271.458466,281.785645,0.000000
1950-12-11,270.631287,280.326996,0.000000
1950-12-12,269.061035,282.771332,0.000000
1950-12-13,274.721100,283.348602,0.000000
1950-12-14,280.642761,284.509064,9.101935
1950-12-15,281.421295,286.882019,20.335320
1950-12-16,283.255707,291.076019,1.900296
1950-12-17,287.719666,295.346954,2.125508
1950-12-18,278.772675,291.887573,0.529500
1950-12-19,277.489349,282.307281,0.000000
1950-12-20,277.685364,282.749756,1.377364
1950-12-21,278.355530,289.309723,28.212337
1950-12-22,279.710663,289.440948,4.805901
1950-12-23,273.018799,279.543304,0.000000
1950-12-24,270.365753,279.054321,0.000000
1950-12-25,268.826477,279.600647,0.000000
1950-12-26,268.848053,282.456970,0.000000
1950-12-27,269.253510,284.792938,0.000000
1950-12-28,272.571320,289.688568,0.000000
1950-12-29,278.060425,295.582336,0.000000
1950-12-30,283.758423,296.836304,0.000000
1950-12-31,284.124146,296.605530,0.000000
1951-01-01,282.248108,292.546234,2.233345
1951-01-02,279.605469,291.609344,0.000000
1951-01-03,280.193756,290.347778,0.507785
1951-01-04,278.067566,293.863739,0.000000
1951-01-05,281.275208,295.058929,0.000000
1951-01-06,284.095245,294.417480,0.000000
1951-01-07,287.319397,295.335541,0.332809
1951-01-08,286.861664,295.885437,0.000000
1951-01-09,284.586029,298.748901,0.000000
1951-01-10,285.734131,300.277466,0.000000
1951-01-11,286.676910,300.086182,0.000000
1951-01-12,287.166138,298.987122,0.000000
1951-01-13,287.212982,296.393341,0.000000
1951-01-14,280.254913,290.416290,0.000000
1951-01-15,277.403656,288.743958,0.000000
1951-01-16,278.305176,294.923126,0.000000
1951-01-17,281.386139,291.597992,0.885242
1951-01-18,273.110138,285.902374,0.000000
1951-01-19,274.157501,283.570312,0.000000
1951-01-20,276.365356,286.397797,0.000000
1951-01-21,278.353546,290.941345,0.000000
1951-01-22,278.790833,294.240753,0.000000
1951-01-23,283.284607,298.429047,0.000000
1951-01-24,279.369324,297.382904,0.000000
1951-01-25,281.058319,294.184692,0.000000
1951-01-26,277.677612,292.592804,0.000000
1951-01-27,283.589508,294.029907,5.228766
1951-01-28,282.724396,293.240692,0.780980
1951-01-29,280.467712,295.819397,0.559450
1951-01-30,281.890228,296.224304,0.000000
1951-01-31,284.106689,295.192291,0.000000
1951-02-01,285.718475,294.905518,1.212931
1951-02-02,287.415588,294.744141,8.373353
1951-02-03,287.996674,295.978455,3.363323
1951-02-04,278.796967,295.212891,0.000000
1951-02-05,279.139130,291.131805,0.000000
1951-02-06,278.256073,291.275879,0.000000
1951-02-07,281.117554,288.431885,0.414994
1951-02-08,283.463348,295.230072,0.000000
1951-02-09,287.016602,296.348541,7.325317
1951-02-10,283.894562,294.954468,0.000000
1951-02-11,286.650543,293.167816,2.370041
1951-02-12,280.724030,292.014282,2.059304
1951-02-13,278.006287,293.086273,0.000000
1951-02-14,282.722534,290.297089,0.742635
1951-02-15,287.513367,294.932739,5.518583
1951-02-16,286.338135,295.734039,9.306664
1951-02-17,282.491791,290.894409,6.493748
1951-02-18,280.572784,286.869751,0.000000
1951-02-19,281.495819,290.509796,12.101071
1951-02-20,283.051178,292.097260,4.209189
1951-02-21,282.529572,301.433044,0.000000
1951-02-22,287.767944,297.915100,0.883696
1951-02-23,285.384705,296.441376,0.000000
1951-02-24,280.587402,292.856659,0.000000
1951-02-25,279.821838,288.102448,0.000000
1951-02-26,281.054779,284.863220,0.728670
1951-02-27,279.524445,291.602203,0.000000
1951-02-28,279.947235,292.425354,0.000000
1951-03-01,280.177979,295.351288,0.000000
1951-03-02,284.007843,293.249878,0.000000
1951-03-03,277.476379,288.969299,0.000000
1951-03-04,282.635071,297.580261,12.274672
1951-03-05,284.483398,297.749603,0.000000
1951-03-06,282.040039,294.942841,0.000000
1951-03-07,283.614746,292.177399,0.000000
1951-03-08,287.429108,295.108246,7.166594
1951-03-09,288.274658,296.981720,1.651438
1951-03-10,279.463226,295.949677,0.000000
1951-03-11,279.690552,287.858459,0.000000
1951-03-12,277.453888,288.113190,0.000000
1951-03-13,281.405579,285.870178,0.862742
1951-03-14,281.000610,286.880524,5.461435
1951-03-15,280.948181,293.662628,0.000000
1951-03-16,287.033325,292.203735,0.633776
1951-03-17,286.989014,295.281921,5.563695
1951-03-18,288.276703,296.005524,6.597658
1951-03-19,287.769196,295.018158,2.219050
1951-03-20,289.258118,295.391846,0.000000
1951-03-21,286.379974,297.957977,0.000000
1951-03-22,287.286346,299.633698,3.068603
1951-03-23,283.350647,296.816742,2.824378
1951-03-24,277.408081,294.711517,0.000000
1951-03-25,282.963104,291.882111,0.470188
1951-03-26,287.396545,292.229492,7.117033
1951-03-27,290.677429,296.510895,3.332906
1951-03-28,291.898895,299.695068,0.709011
1951-03-29,291.090210,303.703339,2.135142
1951-03-30,286.381805,304.893768,0.000000
1951-03-31,289.296997,303.440796,0.000000
1951-04-01,288.728180,299.835541,0.000000
1951-04-02,277.674957,286.159027,0.000000
1951-04-03,276.079102,293.484100,0.000000
1951-04-04,280.203918,299.195770,0.000000
1951-04-05,282.012817,300.310394,0.000000
1951-04-06,282.390747,300.806458,0.000000
1951-04-07,285.442291,297.574402,0.000000
1951-04-08,286.514038,299.545471,0.000000
1951-04-09,290.877533,300.148163,10.150192
1951-04-10,292.122192,301.045166,7.193660
1951-04-11,283.630341,300.353027,0.000000
1951-04-12,286.495544,304.790039,0.000000
1951-04-13,288.786804,304.010284,0.000000
1951-04-14,287.836395,304.098633,0.000000
1951-04-15,286.836304,303.346741,0.000000
1951-04-16,287.177826,302.231354,0.000000
1951-04-17,286.056244,305.282745,0.000000
1951-04-18,289.208252,302.913086,0.000000
1951-04-19,292.313690,306.597809,0.443296
1951-04-20,291.663483,304.347717,0.000000
1951-04-21,284.980774,300.623810,0.000000
1951-04-22,284.819000,301.966736,0.000000
1951-04-23,286.078430,303.035187,0.000000
1951-04-24,289.029449,305.380096,0.000000
1951-04-25,291.222504,304.408081,0.000000
1951-04-26,289.932251,304.216949,0.588844
1951-04-27,290.137543,302.474884,0.000000
1951-04-28,291.611237,298.717987,16.254911
1951-04-29,289.666199,299.377045,0.000000
1951-04-30,288.839325,303.055145,0.000000
1951-05-01,290.417297,300.801605,0.000000
1951-05-02,293.086792,301.893097,1.693852
1951-05-03,293.390869,301.269623,15.954040
1951-05-04,293.996643,300.763123,18.058613
1951-05-05,291.662750,303.591309,0.000000
1951-05-06,292.095825,305.326691,0.000000
1951-05-07,293.372009,302.217804,0.000000
1951-05-08,292.199432,302.315918,0.000000
1951-05-09,293.231537,301.796570,0.297087
1951-05-10,292.872467,302.272827,0.978001
1951-05-11,291.233032,303.900421,0.280867
1951-05-12,291.807922,303.143372,0.000000
1951-05-13,294.351349,301.778381,0.000000
1951-05-14,293.853302,302.379364,5.605793
1951-05-15,293.566620,302.669617,1.124559
1951-05-16,290.982635,299.916077,0.000000
1951-05-17,291.247711,299.165100,0.000000
1951-05-18,291.713745,302.173279,1.123269
1951-05-19,292.751007,301.132751,16.789337
1951-05-20,292.781189,299.326935,17.924803
1951-05-21,292.469849,300.290253,10.354244
1951-05-22,292.507080,301.003571,0.504525
1951-05-23,292.897430,302.377380,0.000000
1951-05-24,293.038177,303.448395,2.920689
1951-05-25,293.598083,302.586029,5.798694
1951-05-26,292.340576,299.890289,12.263764
1951-05-27,293.068848,305.549408,6.265286
1951-05-28,294.776672,306.951843,0.392296
1951-05-29,294.817932,306.273712,0.000000
1951-05-30,296.974670,306.895752,0.000000
1951-05-31,296.757904,307.996765,0.000000
1951-06-01,295.147858,309.379272,0.000000
1951-06-02,294.244690,307.844727,0.000000
1951-06-03,294.510101,307.758881,0.000000
1951-06-04,294.982880,308.188568,0.000000
1951-06-05,295.540375,309.040436,0.000000
1951-06-06,295.419373,309.073578,0.000000
1951-06-07,294.837158,307.273682,0.000000
1951-06-08,295.778473,305.211182,0.000000
1951-06-09,295.546082,306.181580,0.554876
1951-06-10,295.201050,306.839417,0.000000
1951-06-11,295.572784,306.493195,0.000000
1951-06-12,295.625671,306.493805,0.000000
1951-06-13,295.525665,303.942871,7.617608
1951-06-14,295.896637,303.549774,22.320488
1951-06-15,295.258423,303.551788,4.407877
1951-06-16,295.728058,307.273041,2.777602
1951-06-17,295.842560,308.771973,2.657236
1951-06-18,297.136108,307.000397,4.146979
1951-06-19,296.928772,306.266663,12.110445
1951-06-20,297.409851,306.692719,4.165826
1951-06-21,295.980072,303.357422,2.047643
1951-06-22,296.009735,302.418854,3.410030
1951-06-23,296.045502,298.430420,25.008305
1951-06-24,296.267731,299.709808,84.032372
1951-06-25,295.437500,302.974640,31.815855
1951-06-26,297.582428,301.904083,15.065315
1951-06-27,295.563232,302.965302,16.770731
1951-06-28,295.863434,302.508453,0.470326
1951-06-29,294.150238,302.362335,1.442811
1951-06-30,295.333313,302.369354,4.114511
1951-07-01,295.355194,301.548553,6.271218
1951-07-02,295.536987,303.087402,10.748920
1951-07-03,294.826111,301.739624,7.374408
1951-07-04,295.397369,300.099091,18.381924
1951-07-05,295.595825,302.595337,40.901630
1951-07-06,295.670959,302.860260,13.940484
1951-07-07,295.679199,302.702637,5.608154
1951-07-08,295.538635,303.557404,0.348598
1951-07-09,295.997833,304.042816,0.000000
1951-07-10,296.628113,305.118896,0.000000
1951-07-11,295.402649,306.198120,0.000000
1951-07-12,295.221832,307.350098,0.000000
1951-07-13,295.219513,307.770477,0.000000
1951-07-14,295.735046,305.830017,0.000000
1951-07-15,295.843231,306.132263,0.000000
1951-07-16,295.422333,305.947418,0.000000
1951-07-17,295.290192,306.370331,0.000000
1951-07-18,295.296722,305.312103,0.000000
1951-07-19,295.887543,305.982697,0.000000
1951-07-20,294.709198,307.000549,0.000000
1951-07-21,294.662781,308.661713,0.000000
1951-07-22,294.413391,309.413849,0.000000
1951-07-23,295.140411,308.496704,0.000000
1951-07-24,295.410370,308.979614,0.000000
1951-07-25,295.326294,307.380157,4.803335
1951-07-26,294.930206,306.640381,10.864264
1951-07-27,294.667816,303.993286,10.929078
1951-07-28,294.454315,302.885132,2.216336
1951-07-29,294.888031,304.460693,3.118011
1951-07-30,294.691711,304.541565,1.907393
1951-07-31,295.991211,303.814301,4.480281
1951-08-01,296.318237,305.072540,1.272163
1951-08-02,294.658722,305.893280,0.000000
1951-08-03,294.205322,306.675415,0.000000
1951-08-04,294.007355,307.423920,0.490609
1951-08-05,294.995850,308.414154,0.000000
1951-08-06,294.891418,308.632446,0.000000
1951-08-07,295.586487,308.735443,0.000000
1951-08-08,295.939697,308.990509,0.000000
1951-08-09,294.821320,310.580383,0.000000
1951-08-10,295.489441,309.121643,0.313843
1951-08-11,294.689331,308.679321,0.000000
1951-08-12,296.189758,307.405945,0.000000
1951-08-13,294.894409,306.191498,0.000000
1951-08-14,295.936462,306.270630,0.000000
1951-08-15,296.552124,306.154236,1.593549
1951-08-16,295.162933,308.705383,0.419628
1951-08-17,295.540771,308.310425,0.000000
