#Variables:
#tasmin_MIROC-ESM_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM_historical(K),tasmax_MIROC-ESM_historical(K),pr_MIROC-ESM_historical(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM_historical(K),tasmax_MIROC-ESM_historical(K),pr_MIROC-ESM_historical(mm)
1950-04-19,290.294556,304.862427,0.000000
1950-04-20,290.840149,301.599274,0.000000
1950-04-21,290.403534,301.158020,0.000000
1950-04-22,288.247223,302.938263,0.000000
1950-04-23,288.617981,301.200195,0.000000
1950-04-24,287.791229,300.668823,0.000000
1950-04-25,286.059570,301.846893,0.000000
1950-04-26,287.913635,309.025421,0.000000
1950-04-27,292.874512,304.469208,0.864188
1950-04-28,290.580688,304.728302,0.000000
1950-04-29,289.016815,301.375397,0.000000
1950-04-30,288.852936,302.492279,0.000000
1950-05-01,288.731201,302.113739,0.000000
1950-05-02,287.811920,303.663055,0.000000
1950-05-03,289.652374,300.828766,0.000000
1950-05-04,290.374603,303.330261,0.000000
1950-05-05,290.773468,303.971375,0.000000
1950-05-06,290.954773,305.805481,0.000000
1950-05-07,292.598145,301.817474,0.000000
1950-05-08,291.941284,304.006805,0.000000
1950-05-09,293.198517,305.017090,0.000000
1950-05-10,292.559509,306.484436,0.000000
1950-05-11,294.849487,308.407471,0.000000
1950-05-12,294.990143,307.860535,0.000000
1950-05-13,295.671021,306.684387,0.000000
1950-05-14,294.254028,307.435028,0.000000
1950-05-15,294.579041,309.022583,0.000000
1950-05-16,293.602325,307.996826,0.000000
1950-05-17,295.763672,304.630035,0.000000
1950-05-18,292.672974,303.937408,0.325704
1950-05-19,292.052521,304.897278,0.000000
1950-05-20,292.674530,304.890442,0.000000
1950-05-21,293.561859,304.689056,0.000000
1950-05-22,291.980286,303.678192,0.000000
1950-05-23,293.149323,306.570007,0.424299
1950-05-24,294.497406,307.351929,0.384103
1950-05-25,295.407166,310.934387,0.000000
1950-05-26,295.545715,307.582306,0.000000
1950-05-27,295.709686,306.907257,5.732939
1950-05-28,295.461365,305.988556,4.382902
1950-05-29,297.056458,307.997101,0.000000
1950-05-30,295.428925,307.152435,3.734908
1950-05-31,295.201263,305.111755,9.786844
1950-06-01,295.635498,308.244995,10.032438
1950-06-02,295.735870,307.614838,4.202713
1950-06-03,295.909637,310.183716,0.000000
1950-06-04,298.168762,309.066010,0.000000
1950-06-05,295.445068,307.733612,0.000000
1950-06-06,295.368256,306.895233,0.000000
1950-06-07,293.899048,304.511139,0.000000
1950-06-08,294.541229,304.901672,0.000000
1950-06-09,294.151154,305.813171,0.000000
1950-06-10,295.343323,306.760376,0.000000
1950-06-11,296.793854,308.576355,0.000000
1950-06-12,296.771820,308.159363,0.444499
1950-06-13,296.889618,304.843170,37.338963
1950-06-14,295.462158,299.618225,60.384415
1950-06-15,295.926086,300.380585,44.480175
1950-06-16,294.446899,299.153778,42.582893
1950-06-17,295.057678,302.293945,25.362955
1950-06-18,295.194702,303.845764,15.065315
1950-06-19,295.421753,305.616486,3.256968
1950-06-20,295.150696,307.012634,1.187151
1950-06-21,295.603851,307.023712,1.310432
1950-06-22,295.590912,306.800690,0.479612
1950-06-23,296.213776,304.366150,25.944210
1950-06-24,294.891693,304.970428,2.782602
1950-06-25,296.652344,303.360321,34.343582
1950-06-26,294.339203,303.599823,0.000000
1950-06-27,295.343567,305.954041,0.000000
1950-06-28,295.428864,305.028351,6.772917
1950-06-29,294.489746,304.010010,0.000000
1950-06-30,294.300446,304.764526,0.000000
1950-07-01,293.987457,305.959534,0.000000
1950-07-02,295.158325,308.086395,7.374408
1950-07-03,295.482422,306.176239,13.163090
1950-07-04,295.973267,306.488953,6.874269
1950-07-05,297.231964,307.022705,6.031237
1950-07-06,296.938782,304.042145,9.784608
1950-07-07,297.521576,308.555939,3.179055
1950-07-08,296.656647,302.237946,49.950237
1950-07-09,296.192413,302.418823,19.515163
1950-07-10,295.744110,302.323090,3.137859
1950-07-11,295.907837,308.835693,8.280269
1950-07-12,297.381378,307.615295,5.782701
1950-07-13,296.144226,302.838501,47.570213
1950-07-14,296.552124,299.848572,92.710457
1950-07-15,295.460999,303.680267,17.223145
1950-07-16,295.381439,301.386505,5.192167
1950-07-17,295.394257,305.414612,0.000000
1950-07-18,294.569366,305.105713,0.000000
1950-07-19,295.372467,305.620087,0.000000
1950-07-20,294.442657,306.387573,0.000000
1950-07-21,294.638611,306.934906,0.000000
1950-07-22,295.392822,306.447784,0.000000
1950-07-23,295.744568,303.148834,6.611648
1950-07-24,295.263763,299.524475,0.837403
1950-07-25,294.617767,301.087799,3.118011
1950-07-26,295.086395,303.945374,0.000000
1950-07-27,295.399658,306.918243,0.000000
1950-07-28,295.814301,308.050049,0.000000
1950-07-29,296.446869,309.476196,0.000000
1950-07-30,295.638367,308.854248,0.577377
1950-07-31,295.684631,307.362732,0.303256
1950-08-01,294.811249,308.281036,1.452850
1950-08-02,295.478394,307.602264,0.900034
1950-08-03,295.706573,306.812164,0.000000
1950-08-04,295.698059,306.696747,0.000000
1950-08-05,296.279755,307.375793,0.000000
1950-08-06,296.412659,308.283966,0.000000
1950-08-07,297.183411,310.327423,0.000000
1950-08-08,296.374084,309.616089,0.000000
1950-08-09,296.871338,310.718292,0.000000
1950-08-10,297.136963,309.586029,1.858905
1950-08-11,298.334534,308.353577,8.228703
1950-08-12,296.318085,307.689423,0.000000
1950-08-13,295.189697,306.612305,0.000000
1950-08-14,295.659271,307.108582,0.000000
1950-08-15,294.774078,307.372711,0.000000
1950-08-16,295.357300,308.056854,0.000000
1950-08-17,296.939789,309.294464,0.000000
1950-08-18,297.160400,309.321655,0.000000
1950-08-19,296.619171,309.146454,0.000000
1950-08-20,296.295807,309.962616,0.000000
1950-08-21,295.812622,309.292328,1.798824
1950-08-22,296.246094,305.537811,8.688046
1950-08-23,295.034698,305.104858,2.854950
1950-08-24,295.678558,308.560486,0.419628
1950-08-25,296.111542,307.405945,1.098199
1950-08-26,296.110260,307.670868,0.000000
1950-08-27,295.844299,308.646393,0.000000
1950-08-28,295.933380,307.795197,0.000000
1950-08-29,295.379150,306.622345,0.000000
1950-08-30,294.833832,306.785645,0.000000
1950-08-31,294.273529,307.388947,0.000000
1950-09-01,295.713165,308.768829,0.000000
1950-09-02,296.866669,309.386475,0.000000
1950-09-03,296.494019,309.260620,0.000000
1950-09-04,296.690125,308.310059,0.000000
1950-09-05,295.520081,305.740204,0.000000
1950-09-06,295.625977,307.498138,0.000000
1950-09-07,295.092041,306.253448,0.000000
1950-09-08,294.091187,307.442871,0.000000
1950-09-09,295.119568,309.513977,0.000000
1950-09-10,296.335266,312.324371,0.000000
1950-09-11,297.317688,312.234009,0.000000
1950-09-12,298.513550,310.922882,0.307780
1950-09-13,297.438934,312.342499,0.000000
1950-09-14,297.603638,312.991150,0.000000
1950-09-15,297.490753,308.890717,0.000000
1950-09-16,297.422119,307.282745,0.000000
1950-09-17,297.277893,308.189758,0.000000
1950-09-18,295.851868,308.473511,0.000000
1950-09-19,295.443909,310.217865,0.000000
1950-09-20,295.883789,310.321960,0.000000
1950-09-21,296.379852,308.384613,0.000000
1950-09-22,293.198853,304.261230,0.000000
1950-09-23,294.150085,308.765259,1.135090
1950-09-24,294.301819,306.998932,0.000000
1950-09-25,294.566254,309.071503,0.000000
1950-09-26,296.551361,312.250397,0.000000
1950-09-27,295.357574,308.650269,0.000000
1950-09-28,293.325165,306.986847,0.000000
1950-09-29,295.719879,307.733887,0.000000
1950-09-30,295.212555,307.444977,0.000000
1950-10-01,295.817169,306.189880,0.000000
1950-10-02,296.662872,304.827911,0.000000
1950-10-03,295.075714,306.130615,0.000000
1950-10-04,295.028625,307.286835,0.000000
1950-10-05,293.335815,306.231689,0.000000
1950-10-06,293.303009,307.304260,0.000000
1950-10-07,294.126770,306.830292,0.000000
1950-10-08,291.348022,304.002991,0.000000
1950-10-09,290.757233,302.995911,0.000000
1950-10-10,286.315918,300.734619,0.000000
1950-10-11,290.156494,298.041809,76.418549
1950-10-12,288.246216,295.844757,36.475063
1950-10-13,286.056763,298.498077,2.597004
1950-10-14,281.585632,293.645691,0.000000
1950-10-15,279.454926,289.433868,2.582155
1950-10-16,279.157990,288.271942,0.923272
1950-10-17,280.248932,297.237396,0.000000
1950-10-18,284.408447,299.965729,0.000000
1950-10-19,287.841187,299.373596,0.000000
1950-10-20,288.967316,298.511566,0.000000
1950-10-21,290.092590,297.681519,1.562200
1950-10-22,289.830414,295.812592,41.103268
1950-10-23,286.250549,294.611237,45.805016
1950-10-24,281.863190,300.120667,0.000000
1950-10-25,287.900879,301.519714,0.000000
1950-10-26,285.398010,296.850708,0.000000
1950-10-27,284.068268,298.259613,0.000000
1950-10-28,286.154449,300.427856,0.000000
1950-10-29,291.240784,303.414551,0.000000
1950-10-30,290.251312,299.219696,0.000000
1950-10-31,276.407990,289.111969,0.000000
1950-11-01,271.956085,287.055237,0.000000
1950-11-02,273.719482,289.678284,0.000000
1950-11-03,278.646301,295.992706,0.000000
1950-11-04,281.280365,297.863281,0.000000
1950-11-05,283.618195,299.085358,0.000000
1950-11-06,284.154968,300.127136,0.000000
1950-11-07,284.574585,299.216003,0.000000
1950-11-08,284.643280,298.451447,0.000000
1950-11-09,283.016998,297.373749,0.000000
1950-11-10,282.990906,295.126251,0.000000
1950-11-11,287.201965,297.256653,0.718170
1950-11-12,287.590546,298.107483,2.665091
1950-11-13,284.644989,293.553375,0.000000
1950-11-14,279.150787,292.422485,0.000000
1950-11-15,283.393951,295.672852,0.000000
1950-11-16,284.505890,294.172577,10.966596
1950-11-17,284.387756,291.863983,1.580482
1950-11-18,283.896484,296.511139,0.497584
1950-11-19,282.840912,293.359619,2.943453
1950-11-20,280.950684,294.926147,0.000000
1950-11-21,281.098694,291.388550,0.000000
1950-11-22,276.677917,293.884888,0.000000
1950-11-23,280.435638,298.768250,0.000000
1950-11-24,284.934479,296.597137,0.000000
1950-11-25,288.302551,297.143616,1.047142
1950-11-26,287.151794,294.529846,4.905854
1950-11-27,289.685425,296.920624,2.127469
1950-11-28,281.952606,296.696564,0.000000
1950-11-29,288.237885,299.396210,0.000000
1950-11-30,288.932373,298.278687,0.392873
1950-12-01,286.364105,292.980347,0.000000
1950-12-02,274.561737,287.253204,5.383518
1950-12-03,274.243652,280.682678,3.114987
1950-12-04,270.266022,280.788208,3.181767
1950-12-05,275.548889,281.785645,8.222015
1950-12-06,273.784637,282.074951,0.000000
1950-12-07,268.408203,280.930573,0.000000
1950-12-08,271.500702,281.853149,0.000000
1950-12-09,274.113770,283.523651,0.000000
1950-12-10,278.271210,281.734528,5.154370
1950-12-11,278.923553,288.839478,28.160460
1950-12-12,276.711060,284.124054,4.518980
1950-12-13,273.277191,282.758759,1.054078
1950-12-14,279.845947,290.059723,7.345741
1950-12-15,280.612000,288.659790,0.655761
1950-12-16,275.407471,289.468384,0.000000
1950-12-17,276.572388,292.671234,0.000000
1950-12-18,276.775635,286.197235,0.000000
1950-12-19,270.710846,285.321411,0.000000
1950-12-20,276.515289,290.637726,0.000000
1950-12-21,284.876953,294.369232,1.073212
1950-12-22,287.630768,292.007843,12.227965
1950-12-23,284.925079,287.741577,0.000000
1950-12-24,276.239471,284.127441,0.000000
1950-12-25,267.595520,278.380951,0.361007
1950-12-26,271.274658,286.682129,0.000000
1950-12-27,275.560974,289.739563,0.000000
1950-12-28,274.114319,289.492279,0.000000
1950-12-29,276.874298,294.292755,0.000000
1950-12-30,280.233429,287.769409,0.667124
1950-12-31,267.236206,283.348602,0.000000
1951-01-01,273.949371,282.975189,0.000000
1951-01-02,278.893677,288.205536,4.643909
1951-01-03,274.747101,289.493408,0.000000
1951-01-04,283.354645,287.338898,4.684839
1951-01-05,287.327881,289.392151,4.696473
1951-01-06,272.537933,285.587677,1.048317
1951-01-07,276.901825,286.206818,0.000000
1951-01-08,279.145905,288.527435,0.000000
1951-01-09,283.057587,293.920532,6.826052
1951-01-10,275.780029,286.492035,0.540115
1951-01-11,273.566162,282.369141,0.341605
1951-01-12,273.216095,287.237030,0.000000
1951-01-13,274.835907,293.037933,0.000000
1951-01-14,279.303619,292.691681,0.000000
1951-01-15,280.724792,289.460358,0.000000
1951-01-16,277.831787,291.432587,0.000000
1951-01-17,281.687195,294.379639,0.000000
1951-01-18,284.619781,289.142639,6.814199
1951-01-19,281.611572,293.308655,1.905400
1951-01-20,279.439117,294.296875,0.000000
1951-01-21,281.116699,295.193512,0.000000
1951-01-22,283.621582,293.535400,2.992534
1951-01-23,278.475739,289.963226,3.357078
1951-01-24,276.375458,283.812561,0.000000
1951-01-25,272.547485,283.117859,0.000000
1951-01-26,272.974548,282.959961,0.000000
1951-01-27,272.342712,289.660736,0.000000
1951-01-28,276.395081,290.082367,0.000000
1951-01-29,283.074829,293.515930,5.153152
1951-01-30,280.727570,290.673126,0.521764
1951-01-31,277.239502,289.033112,0.000000
1951-02-01,277.550140,291.850433,0.000000
1951-02-02,281.249023,297.241516,0.000000
1951-02-03,283.432861,291.359924,0.000000
1951-02-04,273.829132,287.820801,0.000000
1951-02-05,275.531097,292.341492,0.000000
1951-02-06,284.133240,293.648712,2.175732
1951-02-07,280.693329,291.758514,0.000000
1951-02-08,278.963654,293.606293,0.000000
1951-02-09,279.778931,297.653595,0.000000
1951-02-10,285.612854,297.728851,0.000000
1951-02-11,282.478027,294.898895,0.000000
1951-02-12,277.114136,290.346436,0.000000
1951-02-13,274.191406,284.582153,0.000000
1951-02-14,279.317993,285.213257,3.627059
1951-02-15,280.590729,289.335327,4.763502
1951-02-16,276.062195,293.243530,0.000000
1951-02-17,277.947388,293.390442,0.000000
1951-02-18,275.264801,286.869751,0.000000
1951-02-19,274.250488,291.085907,0.000000
1951-02-20,277.028168,292.585999,0.000000
1951-02-21,276.320221,287.497437,0.000000
1951-02-22,273.800842,286.210724,0.000000
1951-02-23,280.127991,292.949371,5.642502
1951-02-24,283.314911,288.468384,1.701544
1951-02-25,279.458191,284.541016,0.890997
1951-02-26,273.229858,289.149384,0.000000
1951-02-27,275.691986,291.086700,0.000000
1951-02-28,279.527954,295.051117,0.000000
1951-03-01,284.466034,299.843201,0.000000
1951-03-02,282.515442,298.041260,0.000000
1951-03-03,287.484589,297.480286,15.852619
1951-03-04,284.384674,292.729309,0.000000
1951-03-05,286.156036,289.804749,2.366672
1951-03-06,281.257660,294.243530,0.000000
1951-03-07,279.954315,299.080872,0.000000
1951-03-08,284.693024,302.431122,0.000000
1951-03-09,287.725464,298.557526,1.328963
1951-03-10,282.010345,293.643799,0.000000
1951-03-11,282.312805,291.893280,1.681762
1951-03-12,285.759094,290.013123,0.000000
1951-03-13,279.585449,292.152313,0.000000
1951-03-14,281.687317,293.239807,0.000000
1951-03-15,279.780212,299.973724,0.000000
1951-03-16,285.646545,300.997498,0.000000
1951-03-17,286.446960,296.095764,0.000000
1951-03-18,280.711731,297.030701,0.000000
1951-03-19,286.440765,299.862366,0.000000
1951-03-20,284.367218,295.231323,0.000000
1951-03-21,285.759888,298.088257,0.000000
1951-03-22,284.651184,292.233765,0.000000
1951-03-23,279.931793,291.226898,0.000000
1951-03-24,282.108704,300.411407,0.000000
1951-03-25,288.261353,300.547455,0.808431
1951-03-26,287.173706,297.773102,6.273709
1951-03-27,276.061249,287.907318,1.015629
1951-03-28,281.588562,292.705811,0.000000
1951-03-29,284.819305,295.586060,1.684766
1951-03-30,279.872040,291.292847,0.304117
1951-03-31,279.891266,292.717896,0.000000
1951-04-01,279.197510,290.333923,0.000000
1951-04-02,282.721100,297.574188,0.000000
1951-04-03,287.869507,302.928345,0.000000
1951-04-04,290.038513,302.210815,0.000000
1951-04-05,288.482300,301.101440,0.000000
1951-04-06,285.763977,299.530975,0.000000
1951-04-07,286.743561,296.918945,0.000000
1951-04-08,286.135742,301.357880,0.000000
1951-04-09,287.243439,303.207306,0.000000
1951-04-10,283.695557,295.951233,0.000000
1951-04-11,282.499634,295.807617,0.000000
1951-04-12,281.464050,292.475677,0.000000
1951-04-13,281.832306,291.266632,0.000000
1951-04-14,280.636414,300.609467,0.000000
1951-04-15,286.019897,303.830505,0.000000
1951-04-16,288.653198,304.390533,0.000000
1951-04-17,290.332794,301.259460,0.813106
1951-04-18,287.742737,298.040710,0.000000
1951-04-19,283.402405,300.740540,0.000000
1951-04-20,289.130951,297.090790,6.504458
1951-04-21,288.380188,294.402191,61.002575
1951-04-22,287.801270,295.745209,12.076119
1951-04-23,282.177429,294.849487,0.000000
1951-04-24,287.766541,295.698761,0.443296
1951-04-25,288.661652,296.918915,1.038619
1951-04-26,290.984589,299.602203,0.000000
1951-04-27,289.311615,302.438721,0.770108
1951-04-28,287.348938,303.866577,0.000000
1951-04-29,289.002319,305.981445,0.000000
1951-04-30,291.596954,304.538086,0.000000
1951-05-01,291.199951,304.535858,0.000000
1951-05-02,292.067871,311.999207,0.000000
1951-05-03,292.574585,303.974243,3.089710
1951-05-04,290.863281,301.901459,0.000000
1951-05-05,291.548553,299.422302,0.331252
1951-05-06,290.090881,304.297211,0.000000
1951-05-07,293.884766,302.244904,5.966056
1951-05-08,293.864288,302.732910,1.888983
1951-05-09,290.016663,304.387878,0.000000
1951-05-10,290.535156,304.918945,0.000000
1951-05-11,292.107971,306.908630,0.284863
1951-05-12,293.413940,307.495697,0.000000
1951-05-13,296.186737,307.686310,0.000000
1951-05-14,295.046875,306.737122,12.139633
1951-05-15,293.778351,306.817627,0.000000
1951-05-16,295.163361,300.045044,0.501581
1951-05-17,292.450256,298.988190,17.883532
1951-05-18,294.181183,300.775269,49.881683
1951-05-19,293.421478,302.358643,12.803539
1951-05-20,294.217957,305.947937,2.920689
1951-05-21,295.256409,305.414307,28.707479
1951-05-22,294.210022,305.291595,10.642826
1951-05-23,293.828735,304.040771,1.557906
1951-05-24,293.528931,300.710602,6.990079
1951-05-25,291.397736,297.068756,13.724474
1951-05-26,293.461273,301.915924,2.690842
1951-05-27,293.187866,303.680603,0.769215
1951-05-28,292.577362,302.725586,1.311691
1951-05-29,290.333923,301.481506,0.000000
1951-05-30,292.678436,304.045715,0.000000
1951-05-31,292.537201,303.594574,0.000000
1951-06-01,292.581177,302.598022,2.599968
1951-06-02,293.592865,302.060150,29.760225
1951-06-03,289.630646,302.512360,0.000000
1951-06-04,292.601501,303.319397,0.000000
1951-06-05,291.724152,305.790863,0.000000
1951-06-06,292.229523,306.528137,0.000000
1951-06-07,293.411713,306.880676,0.000000
1951-06-08,292.746155,306.080780,0.000000
1951-06-09,294.801575,305.689117,0.000000
1951-06-10,295.820221,306.018768,0.000000
1951-06-11,297.144196,303.916840,0.798210
1951-06-12,294.864777,307.224152,4.500245
1951-06-13,294.815948,308.352325,0.000000
1951-06-14,294.785706,308.779449,0.000000
1951-06-15,294.234711,307.828461,0.000000
1951-06-16,295.426727,307.613892,1.668266
1951-06-17,295.327362,307.202728,4.983456
1951-06-18,295.462738,307.024414,3.191297
1951-06-19,295.199188,305.708984,1.169702
1951-06-20,294.721497,303.637177,3.239779
1951-06-21,295.813538,300.909210,25.008305
1951-06-22,295.702789,304.688049,6.134582
1951-06-23,295.525574,306.179474,2.349636
1951-06-24,296.085175,301.807922,18.960854
1951-06-25,295.464539,307.019043,3.856164
1951-06-26,294.603394,305.694794,1.702432
1951-06-27,294.255676,305.694153,0.000000
1951-06-28,294.648529,306.584076,0.000000
1951-06-29,293.914917,305.816193,0.000000
1951-06-30,294.721558,306.429565,0.000000
1951-07-01,295.655212,306.992218,0.000000
1951-07-02,295.798218,307.953217,0.000000
1951-07-03,295.502228,308.711151,0.000000
1951-07-04,295.664520,306.543182,0.000000
1951-07-05,295.402649,302.860260,1.669468
1951-07-06,295.200073,300.921143,3.568090
1951-07-07,295.605133,305.070953,0.000000
1951-07-08,295.673859,307.521393,0.000000
1951-07-09,295.854004,309.157288,0.000000
1951-07-10,295.501190,308.857361,0.000000
1951-07-11,296.222260,309.630066,0.000000
1951-07-12,297.816467,309.846130,0.000000
1951-07-13,297.241364,309.147736,0.000000
1951-07-14,297.484131,308.670959,0.593019
1951-07-15,297.286835,308.035187,2.884423
1951-07-16,296.112274,307.246948,3.640558
1951-07-17,296.401855,307.309204,0.000000
1951-07-18,296.448364,307.336670,0.000000
1951-07-19,296.871124,310.120728,0.000000
1951-07-20,297.395325,311.066650,0.000000
1951-07-21,297.095642,309.583527,0.000000
1951-07-22,296.733948,309.052826,0.000000
1951-07-23,296.902557,309.915436,0.000000
1951-07-24,298.549957,312.035614,0.000000
1951-07-25,297.402924,312.558929,0.000000
1951-07-26,297.616913,309.973053,0.000000
1951-07-27,296.871368,309.621735,0.000000
1951-07-28,297.254303,309.223022,0.000000
1951-07-29,297.433472,310.495056,0.000000
1951-07-30,296.964569,310.735962,0.000000
1951-07-31,296.130646,309.840973,0.000000
1951-08-01,296.047150,310.045776,0.000000
1951-08-02,296.449707,309.162292,0.000000
1951-08-03,296.004120,309.693054,0.000000
1951-08-04,298.207367,312.294678,0.000000
1951-08-05,299.059601,313.756989,0.294759
1951-08-06,297.675598,313.280609,0.000000
1951-08-07,298.302765,312.279205,0.000000
1951-08-08,298.633392,309.857300,0.000000
1951-08-09,296.794098,307.990601,0.000000
1951-08-10,297.558990,309.412384,0.000000
1951-08-11,296.521881,311.709686,0.000000
1951-08-12,298.121460,310.451508,0.000000
1951-08-13,297.738892,310.223480,0.000000
1951-08-14,299.183685,311.892303,0.000000
