#Variables:
#tasmin_CNRM-CM5_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CNRM-CM5_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CNRM-CM5_historical(K),tasmax_CNRM-CM5_historical(K),pr_CNRM-CM5_historical(mm)"
""
yyyy-mm-dd,tasmin_CNRM-CM5_historical(K),tasmax_CNRM-CM5_historical(K),pr_CNRM-CM5_historical(mm)
1950-04-06,285.330383,289.376129,0.514433
1950-04-07,280.577942,293.944519,0.000000
1950-04-08,281.801514,296.801239,0.000000
1950-04-09,287.154205,298.445190,0.000000
1950-04-10,284.950470,298.736572,0.000000
1950-04-11,289.491425,297.855835,0.000000
1950-04-12,291.222900,301.787415,0.815895
1950-04-13,289.209198,301.338440,2.866008
1950-04-14,292.455963,301.635132,10.719255
1950-04-15,288.272766,301.685883,8.435796
1950-04-16,290.236633,292.343994,30.930582
1950-04-17,293.554779,297.959045,7.991343
1950-04-18,291.955566,300.260345,15.231082
1950-04-19,292.551117,297.460480,31.781597
1950-04-20,291.710205,296.964539,21.809252
1950-04-21,288.725281,294.145538,0.000000
1950-04-22,284.120178,298.337463,0.000000
1950-04-23,287.587280,301.930359,0.000000
1950-04-24,283.614868,295.185883,0.000000
1950-04-25,280.575897,296.574890,0.000000
1950-04-26,284.929474,302.091003,0.000000
1950-04-27,290.294556,299.784821,0.000000
1950-04-28,293.382996,302.336945,0.303401
1950-04-29,286.837524,300.784241,3.628780
1950-04-30,291.325439,295.850403,32.809288
1950-05-01,291.340668,297.063232,32.507679
1950-05-02,289.800720,296.038544,1.836725
1950-05-03,288.745117,300.015686,0.000000
1950-05-04,290.358734,304.301636,0.000000
1950-05-05,291.560059,305.532318,0.000000
1950-05-06,293.265564,304.472290,0.000000
1950-05-07,293.035919,306.556427,0.000000
1950-05-08,292.794647,304.775604,0.926261
1950-05-09,293.528961,305.349030,0.601255
1950-05-10,293.580261,303.861267,0.518218
1950-05-11,294.803009,304.837646,0.000000
1950-05-12,294.223083,304.515594,0.000000
1950-05-13,293.884766,304.318085,5.710565
1950-05-14,292.763641,305.246124,0.000000
1950-05-15,290.964539,303.434296,0.724350
1950-05-16,292.117737,300.988617,12.933045
1950-05-17,293.283783,299.890289,25.374699
1950-05-18,292.096558,301.661194,5.718552
1950-05-19,293.246521,302.397614,9.190920
1950-05-20,292.705383,299.219238,10.069858
1950-05-21,292.234528,299.576141,0.000000
1950-05-22,289.826477,296.745239,0.000000
1950-05-23,293.920410,301.217804,0.000000
1950-05-24,295.574615,303.299072,0.000000
1950-05-25,294.870605,305.953217,4.735482
1950-05-26,294.941772,306.750488,1.214688
1950-05-27,295.472961,305.820740,0.000000
1950-05-28,294.819366,307.371582,0.000000
1950-05-29,295.528015,304.569397,0.000000
1950-05-30,293.240356,304.764862,0.000000
1950-05-31,293.057861,305.096527,0.000000
1950-06-01,292.907318,305.658569,0.000000
1950-06-02,293.826843,305.935638,0.000000
1950-06-03,293.328644,305.260712,0.000000
1950-06-04,295.230560,302.467926,18.906778
1950-06-05,293.633423,299.715393,18.345676
1950-06-06,290.924072,299.148499,11.700254
1950-06-07,290.838165,297.684540,45.234886
1950-06-08,294.814240,299.728180,60.384415
1950-06-09,292.816284,296.352814,41.159023
1950-06-10,290.635590,302.287628,13.028177
1950-06-11,294.021027,304.902130,0.000000
1950-06-12,295.353058,306.428436,0.000000
1950-06-13,296.213898,308.440277,0.000000
1950-06-14,296.009369,308.564056,0.000000
1950-06-15,295.168854,305.603180,0.000000
1950-06-16,293.971527,304.954163,0.000000
1950-06-17,293.237549,304.604523,0.000000
1950-06-18,294.032654,304.010010,0.000000
1950-06-19,296.348083,303.634644,3.788634
1950-06-20,297.465973,302.370697,0.896048
1950-06-21,297.184265,300.771271,2.573556
1950-06-22,295.630585,300.585266,9.157665
1950-06-23,295.259338,300.360596,27.210352
1950-06-24,292.466980,302.516144,3.718029
1950-06-25,294.091095,301.681122,0.609405
1950-06-26,294.110931,302.669342,1.590379
1950-06-27,294.865540,302.934662,5.188551
1950-06-28,295.196625,303.885559,0.920878
1950-06-29,295.663605,305.868896,0.000000
1950-06-30,294.844391,306.019104,0.000000
1950-07-01,294.200378,305.263336,0.000000
1950-07-02,293.586548,303.502960,0.000000
1950-07-03,292.974701,303.829987,1.346645
1950-07-04,295.501190,303.484161,0.776391
1950-07-05,295.016724,304.448853,0.000000
1950-07-06,293.785645,305.214355,0.000000
1950-07-07,294.454102,305.964386,0.000000
1950-07-08,295.352295,305.890411,0.000000
1950-07-09,295.077454,304.347107,10.536699
1950-07-10,294.758820,304.048126,0.000000
1950-07-11,294.627441,304.589325,0.000000
1950-07-12,294.228912,303.594116,0.331398
1950-07-13,294.755737,303.089630,0.922422
1950-07-14,294.690704,303.052917,0.402033
1950-07-15,294.780487,302.418152,0.000000
1950-07-16,295.075989,304.278107,0.000000
1950-07-17,295.174469,305.951691,0.000000
1950-07-18,295.670868,306.698761,0.000000
1950-07-19,296.408295,308.476501,0.000000
1950-07-20,296.848816,309.410828,0.000000
1950-07-21,297.252380,309.605286,0.000000
1950-07-22,296.784393,309.486633,0.000000
1950-07-23,296.280640,308.796326,0.000000
1950-07-24,296.009003,308.379242,0.512253
1950-07-25,295.572693,308.991760,0.000000
1950-07-26,295.808075,309.020233,0.000000
1950-07-27,295.661102,309.189209,0.309251
1950-07-28,295.868713,309.944733,0.000000
1950-07-29,296.354095,310.991882,0.000000
1950-07-30,296.263092,310.601044,0.000000
1950-07-31,296.640350,308.882111,0.000000
1950-08-01,296.368927,308.161194,0.000000
1950-08-02,297.017609,308.293335,0.000000
1950-08-03,298.998993,309.401611,5.243856
1950-08-04,296.851624,309.792572,1.414742
1950-08-05,297.333038,311.571991,0.000000
1950-08-06,297.781250,311.459839,0.000000
1950-08-07,297.831573,311.833496,0.000000
1950-08-08,296.795319,310.267639,0.000000
1950-08-09,297.328766,309.528412,0.000000
1950-08-10,297.837463,309.548431,0.000000
1950-08-11,296.902344,308.754059,0.000000
1950-08-12,297.561920,308.789795,0.000000
1950-08-13,297.628571,308.459290,0.000000
1950-08-14,297.464417,308.231384,0.000000
1950-08-15,299.877136,309.760651,1.763930
1950-08-16,299.428589,310.046204,0.000000
1950-08-17,299.665985,310.373169,0.000000
1950-08-18,298.394196,310.929291,0.000000
1950-08-19,298.120697,310.522675,0.000000
1950-08-20,298.604767,308.528198,10.208336
1950-08-21,297.266815,308.873962,0.000000
1950-08-22,296.602325,308.975372,0.000000
1950-08-23,296.162659,309.291321,11.858815
1950-08-24,297.268250,305.514282,46.699661
1950-08-25,297.018707,301.496948,18.913319
1950-08-26,297.079010,305.243347,0.000000
1950-08-27,295.839630,307.324921,0.000000
1950-08-28,296.035156,309.114594,0.000000
1950-08-29,295.998230,308.446625,0.000000
1950-08-30,296.972229,308.523956,4.539712
1950-08-31,295.508087,308.313202,0.000000
1950-09-01,296.181000,309.585327,0.000000
1950-09-02,296.420746,308.524628,0.000000
1950-09-03,294.773285,308.215515,0.000000
1950-09-04,295.938751,307.735565,0.000000
1950-09-05,296.697174,305.420441,0.000000
1950-09-06,295.728638,306.599945,0.000000
1950-09-07,294.764709,307.541260,0.512277
1950-09-08,294.336639,307.672089,0.000000
1950-09-09,295.319550,308.165741,0.000000
1950-09-10,297.311646,307.456421,0.000000
1950-09-11,296.708832,306.229431,0.000000
1950-09-12,294.303711,305.650726,0.000000
1950-09-13,294.491486,306.099762,0.000000
1950-09-14,292.163422,306.213013,0.000000
1950-09-15,292.975769,304.758759,0.662004
1950-09-16,293.542938,303.095947,21.131422
1950-09-17,295.792023,302.818878,6.796894
1950-09-18,292.742432,302.813019,0.000000
1950-09-19,292.605347,303.118347,0.000000
1950-09-20,293.545532,304.366882,0.000000
1950-09-21,294.373810,304.450256,0.452752
1950-09-22,294.555084,305.796875,8.115458
1950-09-23,295.913086,305.739746,11.087408
1950-09-24,297.195221,304.230286,4.918521
1950-09-25,294.964569,303.444885,12.652747
1950-09-26,296.621307,301.361969,8.277805
1950-09-27,292.220032,302.019318,0.000000
1950-09-28,293.191498,302.936981,0.000000
1950-09-29,291.988770,304.284851,0.000000
1950-09-30,291.725220,304.674622,0.000000
1950-10-01,290.896790,303.281860,0.000000
1950-10-02,290.557892,304.682220,0.000000
1950-10-03,290.797363,305.572937,0.000000
1950-10-04,289.031036,299.814209,0.000000
1950-10-05,285.195679,303.363739,0.000000
1950-10-06,289.955963,304.884552,0.000000
1950-10-07,291.678192,306.092041,0.000000
1950-10-08,291.529388,306.093903,0.000000
1950-10-09,291.783997,303.977051,0.000000
1950-10-10,286.948120,301.513763,0.000000
1950-10-11,286.922485,304.357483,0.000000
1950-10-12,288.937073,301.550018,0.000000
1950-10-13,284.980652,296.473358,0.000000
1950-10-14,282.150909,295.254456,0.000000
1950-10-15,281.945953,298.568848,0.000000
1950-10-16,285.546692,301.347717,0.000000
1950-10-17,285.763000,301.851196,0.000000
1950-10-18,286.036987,302.571350,0.000000
1950-10-19,285.889069,302.605316,0.000000
1950-10-20,288.361359,303.815491,0.000000
1950-10-21,289.859558,303.498352,0.000000
1950-10-22,290.727936,301.054321,0.000000
1950-10-23,290.765198,299.861450,0.000000
1950-10-24,286.699738,299.339996,0.000000
1950-10-25,286.267242,299.197754,0.000000
1950-10-26,289.916626,302.068573,0.000000
1950-10-27,290.594208,301.518372,0.000000
1950-10-28,290.131897,300.856384,0.519063
1950-10-29,289.866608,301.264832,0.897054
1950-10-30,287.518341,297.080475,1.010051
1950-10-31,279.598114,291.048798,0.000000
1950-11-01,278.244629,294.499908,0.000000
1950-11-02,281.229309,295.615082,0.000000
1950-11-03,285.009949,291.709351,0.000000
1950-11-04,278.688721,293.679565,0.000000
1950-11-05,284.305145,295.079132,0.000000
1950-11-06,285.128448,289.885010,0.000000
1950-11-07,287.690979,296.560638,25.962238
1950-11-08,287.307251,295.938812,52.081631
1950-11-09,276.730530,286.835052,14.074586
1950-11-10,272.169342,288.003052,0.000000
1950-11-11,274.647217,287.245422,0.000000
1950-11-12,275.604187,289.396362,0.000000
1950-11-13,279.051514,295.306824,0.000000
1950-11-14,284.670654,299.345520,0.000000
1950-11-15,284.115082,301.128662,0.000000
1950-11-16,284.010773,301.386627,0.000000
1950-11-17,285.375580,302.703491,0.000000
1950-11-18,284.839966,302.227264,0.000000
1950-11-19,283.153961,300.409790,0.000000
1950-11-20,287.594849,298.661438,1.482148
1950-11-21,285.015900,295.786011,0.281553
1950-11-22,279.903381,297.424927,0.000000
1950-11-23,279.696106,298.046570,0.000000
1950-11-24,289.042633,297.239044,0.000000
1950-11-25,277.419769,290.264923,0.000000
1950-11-26,275.869263,291.043396,0.000000
1950-11-27,282.932159,287.426910,0.000000
1950-11-28,284.394989,297.302155,0.000000
1950-11-29,281.785583,297.990662,0.000000
1950-11-30,286.990875,297.000488,0.884435
1950-12-01,287.467102,295.505127,5.914518
1950-12-02,277.682587,294.847443,0.000000
1950-12-03,282.675262,297.551331,0.000000
1950-12-04,289.608307,301.126617,5.237736
1950-12-05,285.147034,298.149658,0.451701
1950-12-06,276.629333,288.790344,0.000000
1950-12-07,278.994720,290.076569,0.435547
1950-12-08,280.206543,293.402527,0.000000
1950-12-09,280.561462,293.656281,1.960605
1950-12-10,279.737213,288.465607,0.000000
1950-12-11,272.898163,289.035950,0.000000
1950-12-12,278.806305,288.047119,0.000000
1950-12-13,278.888275,291.232513,30.873976
1950-12-14,275.023254,285.407410,12.977960
1950-12-15,269.253510,286.660400,0.000000
1950-12-16,273.523346,290.820557,0.000000
1950-12-17,276.371094,290.807953,0.000000
1950-12-18,276.699371,286.400787,0.000000
1950-12-19,272.301544,285.855743,0.000000
1950-12-20,273.199982,288.544525,0.000000
1950-12-21,274.399811,284.782043,0.000000
1950-12-22,276.813904,287.162842,0.000000
1950-12-23,279.374176,285.587158,0.000000
1950-12-24,272.557251,283.683655,0.000000
1950-12-25,270.325043,283.878815,0.000000
1950-12-26,271.626648,287.749725,0.000000
1950-12-27,275.652039,291.249298,0.000000
1950-12-28,282.055084,294.674561,0.000000
1950-12-29,278.934174,291.561218,0.000000
1950-12-30,277.306274,294.891693,0.000000
1950-12-31,277.506317,296.109100,0.000000
1951-01-01,280.203156,296.115234,0.000000
1951-01-02,277.587677,289.594299,0.000000
1951-01-03,272.984344,290.605835,0.000000
1951-01-04,276.361359,292.176117,0.459984
1951-01-05,277.965271,293.327545,0.000000
1951-01-06,280.163757,294.717621,1.028551
1951-01-07,278.894501,290.545074,0.000000
1951-01-08,277.015533,298.637024,0.000000
1951-01-09,277.541199,290.767365,0.000000
1951-01-10,273.484161,290.100616,0.000000
1951-01-11,278.890320,295.537750,0.000000
1951-01-12,280.757080,300.885071,0.000000
1951-01-13,285.553925,301.728760,0.000000
1951-01-14,277.682312,292.770599,0.000000
1951-01-15,276.096130,291.293121,0.000000
1951-01-16,276.186005,287.075378,0.000000
1951-01-17,279.610016,283.113739,0.000000
1951-01-18,278.300171,282.329651,8.030148
1951-01-19,278.666199,286.908752,22.453026
1951-01-20,279.630890,288.677277,5.178043
1951-01-21,276.028900,289.136749,0.000000
1951-01-22,275.380096,294.933624,0.000000
1951-01-23,281.058319,294.975677,0.000000
1951-01-24,279.786774,288.864960,0.000000
1951-01-25,278.907593,288.581177,52.193089
1951-01-26,276.384521,279.830475,21.319960
1951-01-27,267.766785,283.382324,0.000000
1951-01-28,272.122742,284.464508,0.382009
1951-01-29,275.932922,283.655670,37.256721
1951-01-30,271.120026,278.401703,1.905400
1951-01-31,263.760254,275.320129,0.000000
1951-02-01,266.290009,276.570404,0.000000
1951-02-02,267.893066,279.466217,0.000000
1951-02-03,270.977142,284.007385,0.000000
1951-02-04,272.922852,285.697021,0.000000
1951-02-05,274.958649,287.686829,0.000000
1951-02-06,276.636780,292.875732,0.000000
1951-02-07,283.524048,295.374237,0.000000
1951-02-08,273.066254,286.025665,0.000000
1951-02-09,274.157715,288.893250,0.000000
1951-02-10,282.346405,297.579041,3.853540
1951-02-11,287.792664,294.826385,2.013766
1951-02-12,280.089844,297.837830,0.000000
1951-02-13,282.257507,296.312103,0.000000
1951-02-14,278.637238,290.495667,0.000000
1951-02-15,273.219574,292.232452,0.000000
1951-02-16,280.660156,289.810455,0.000000
1951-02-17,284.689209,294.165863,0.553642
1951-02-18,288.999176,301.565155,1.333162
1951-02-19,287.191956,303.323944,0.000000
1951-02-20,280.450836,295.921600,0.000000
1951-02-21,274.288361,292.406250,0.000000
1951-02-22,279.808319,297.655487,0.000000
1951-02-23,283.217407,301.842560,0.000000
1951-02-24,284.904480,299.892365,4.293026
1951-02-25,281.519745,294.060608,0.000000
1951-02-26,277.441437,287.931427,0.000000
1951-02-27,275.483063,289.615753,0.000000
1951-02-28,277.698425,295.588623,0.000000
1951-03-01,279.684204,293.501740,0.000000
1951-03-02,279.635895,292.907440,0.000000
1951-03-03,282.844757,291.798431,0.000000
1951-03-04,286.779236,294.583221,1.442446
1951-03-05,283.176971,300.772247,0.000000
1951-03-06,286.770630,301.192566,1.454748
1951-03-07,283.409363,296.610565,3.969411
1951-03-08,276.827423,284.155884,2.135097
1951-03-09,279.350159,287.599213,0.000000
1951-03-10,277.097351,289.920746,0.000000
1951-03-11,278.178497,292.785614,0.000000
1951-03-12,283.224731,295.740875,0.000000
1951-03-13,285.207520,298.692749,0.000000
1951-03-14,284.369720,297.026611,0.000000
1951-03-15,286.286530,293.524933,1.616836
1951-03-16,287.177155,296.807526,1.308312
1951-03-17,289.683258,294.711517,1.938307
1951-03-18,288.733459,295.796173,19.488447
1951-03-19,281.325378,293.232544,1.212758
1951-03-20,280.788605,294.896210,0.000000
1951-03-21,281.343994,296.611023,0.000000
1951-03-22,284.771820,296.934906,0.000000
1951-03-23,284.637115,300.177856,0.000000
1951-03-24,286.492279,301.822296,0.000000
1951-03-25,287.962067,300.276245,1.384309
1951-03-26,287.530518,297.472931,0.000000
1951-03-27,288.326813,303.517120,0.749943
1951-03-28,285.541992,299.067963,0.000000
1951-03-29,286.025177,298.446716,30.530794
1951-03-30,280.838318,290.125854,2.312096
1951-03-31,277.060425,292.192749,0.000000
1951-04-01,279.384186,288.085999,1.169700
1951-04-02,284.817505,289.342712,0.000000
1951-04-03,281.464050,293.925354,0.299877
1951-04-04,283.494629,299.186981,0.000000
1951-04-05,282.887360,299.933228,0.000000
1951-04-06,286.663727,303.905853,0.000000
1951-04-07,285.656158,302.598969,0.000000
1951-04-08,286.191040,305.512695,0.000000
1951-04-09,290.732941,300.921753,0.000000
1951-04-10,284.771179,291.401123,0.000000
1951-04-11,277.393860,289.495941,0.000000
1951-04-12,278.242096,294.190765,0.000000
1951-04-13,280.767487,295.806824,0.000000
1951-04-14,288.749847,298.245728,2.245642
1951-04-15,285.292175,299.793335,0.417013
1951-04-16,284.073944,302.667053,0.000000
1951-04-17,286.387543,301.751221,0.000000
1951-04-18,287.602081,300.927490,0.000000
1951-04-19,289.932251,301.228882,14.374434
1951-04-20,285.203613,305.292114,0.000000
1951-04-21,288.234802,303.135956,0.000000
1951-04-22,288.502472,299.236298,0.000000
1951-04-23,287.450317,299.297241,0.000000
1951-04-24,286.611725,296.719513,0.000000
1951-04-25,281.396484,297.487793,0.000000
1951-04-26,284.852509,303.114319,0.000000
1951-04-27,287.327362,304.237762,0.708861
1951-04-28,288.630066,300.997040,2.113539
1951-04-29,289.456146,299.316315,0.000000
1951-04-30,281.891632,301.329681,0.000000
1951-05-01,288.008636,304.789398,0.000000
1951-05-02,291.789062,308.843109,0.000000
1951-05-03,287.040131,299.959717,0.000000
1951-05-04,284.247437,298.885376,0.530181
1951-05-05,286.382080,297.670380,0.000000
1951-05-06,291.208618,297.082306,72.051704
1951-05-07,288.661316,303.183655,2.751292
1951-05-08,290.421265,302.021027,0.681999
1951-05-09,291.658173,301.968231,8.314044
1951-05-10,290.391541,299.687256,0.000000
1951-05-11,287.058380,300.481934,0.000000
1951-05-12,287.417664,300.357574,0.000000
1951-05-13,290.388824,304.080231,0.000000
1951-05-14,291.953491,306.481537,0.000000
1951-05-15,290.365723,302.631134,0.000000
1951-05-16,290.888855,296.916962,0.000000
1951-05-17,287.488770,301.101196,0.000000
1951-05-18,290.442200,300.684479,0.000000
1951-05-19,291.565582,303.887054,0.000000
1951-05-20,291.372681,302.823212,0.000000
1951-05-21,295.874268,305.773743,0.371841
1951-05-22,295.898895,305.375488,5.437256
1951-05-23,297.867340,306.934174,3.261883
1951-05-24,297.303772,304.326874,0.000000
1951-05-25,292.831329,305.873138,0.000000
1951-05-26,293.241302,306.530945,0.000000
1951-05-27,292.776917,306.928314,0.000000
1951-05-28,292.816956,304.616608,0.000000
1951-05-29,294.497406,306.493256,0.000000
1951-05-30,295.137573,306.079254,0.000000
1951-05-31,296.721100,306.883728,0.000000
1951-06-01,297.132477,304.614471,0.000000
1951-06-02,295.709656,304.355927,0.000000
1951-06-03,295.196564,305.390564,1.970222
1951-06-04,295.777252,305.051453,21.537119
1951-06-05,295.801910,302.767670,4.413673
1951-06-06,296.026917,308.064575,1.012709
1951-06-07,298.126770,309.034485,2.987236
1951-06-08,299.100922,310.411469,0.000000
1951-06-09,297.414276,306.751526,15.791015
1951-06-10,297.110870,307.069916,5.718104
1951-06-11,296.353577,303.500885,32.146896
1951-06-12,296.417755,302.799866,20.643873
1951-06-13,293.846588,301.473816,38.421719
1951-06-14,296.273956,303.884125,9.638823
1951-06-15,297.785370,304.794098,4.184800
1951-06-16,296.946716,306.392639,0.487048
1951-06-17,295.962830,306.412842,0.000000
1951-06-18,295.073639,305.946350,0.000000
1951-06-19,295.082367,306.413879,0.000000
1951-06-20,295.205383,306.945618,0.000000
1951-06-21,294.796692,307.341125,0.000000
1951-06-22,295.130829,308.104889,0.000000
1951-06-23,295.603271,307.950745,0.000000
1951-06-24,295.478729,307.485229,0.000000
1951-06-25,296.116394,305.926422,3.430837
1951-06-26,295.953583,303.643005,21.239988
1951-06-27,295.891876,304.818726,21.197166
1951-06-28,295.839539,305.757202,0.000000
1951-06-29,296.145660,307.158691,0.000000
1951-06-30,296.571350,308.542206,0.000000
1951-07-01,296.559448,308.345062,0.000000
1951-07-02,296.417328,306.880127,0.337686
1951-07-03,297.326721,306.034119,0.980328
1951-07-04,295.555481,307.436005,0.000000
1951-07-05,295.655212,309.330231,0.000000
1951-07-06,295.786469,309.941376,0.000000
1951-07-07,295.803925,309.493958,0.000000
1951-07-08,296.513397,310.203583,0.000000
1951-07-09,296.669617,310.541809,0.000000
1951-07-10,296.279083,308.215271,0.000000
1951-07-11,295.894135,306.726929,2.995988
1951-07-12,295.861816,307.711090,0.361871
1951-07-13,296.404510,307.530396,0.000000
1951-07-14,297.371216,307.488770,1.310334
1951-07-15,297.263977,308.762573,0.000000
1951-07-16,297.316559,310.032043,0.000000
1951-07-17,298.482330,311.107300,5.562771
1951-07-18,298.449799,311.311951,0.000000
1951-07-19,298.645874,311.349548,0.000000
1951-07-20,298.694336,311.322968,0.000000
1951-07-21,299.821899,311.743103,0.944137
1951-07-22,297.931793,305.950195,5.707268
1951-07-23,297.857269,311.639587,0.000000
1951-07-24,298.642181,312.161835,0.000000
1951-07-25,299.523468,311.490356,5.885509
1951-07-26,298.100952,309.382507,5.398301
1951-07-27,297.976990,308.043396,0.000000
1951-07-28,296.845306,309.431488,0.000000
1951-07-29,298.129944,310.728516,0.000000
1951-07-30,297.369568,311.428558,0.000000
1951-07-31,296.000610,310.475189,0.000000
1951-08-01,295.989655,311.528046,0.000000
1951-08-02,296.161926,311.240143,0.000000
1951-08-03,296.410309,311.207611,0.000000
1951-08-04,296.502014,311.270447,0.000000
1951-08-05,296.546570,311.205109,0.000000
1951-08-06,298.603302,309.020264,0.000000
1951-08-07,298.290161,310.370026,0.000000
1951-08-08,297.092834,310.849579,0.000000
1951-08-09,296.965271,310.485687,0.000000
1951-08-10,297.057800,310.446228,0.000000
1951-08-11,297.034668,309.801208,0.000000
1951-08-12,296.627167,310.083801,0.000000
1951-08-13,296.619965,309.493011,0.000000
1951-08-14,296.075806,309.981903,0.000000
