#Variables:
#tasmin_BNU-ESM_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_BNU-ESM_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_BNU-ESM_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_BNU-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_BNU-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_BNU-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_BNU-ESM_historical(K),tasmax_BNU-ESM_historical(K),pr_BNU-ESM_historical(mm)"
""
yyyy-mm-dd,tasmin_BNU-ESM_historical(K),tasmax_BNU-ESM_historical(K),pr_BNU-ESM_historical(mm)
1950-06-10,295.726593,310.591156,0.000000
1950-06-11,296.515228,310.823578,0.000000
1950-06-12,296.992828,310.323486,0.000000
1950-06-13,296.776154,308.679565,21.820601
1950-06-14,295.892700,301.819763,0.000000
1950-06-15,294.765656,301.473267,1.162028
1950-06-16,295.746490,307.710480,3.718029
1950-06-17,295.753082,312.032196,0.000000
1950-06-18,294.603790,312.774200,0.000000
1950-06-19,295.496887,312.689301,0.000000
1950-06-20,295.616882,312.060913,0.000000
1950-06-21,296.495422,310.538208,0.000000
1950-06-22,297.386658,310.763794,0.000000
1950-06-23,297.258209,310.941620,0.000000
1950-06-24,297.240570,310.641754,0.000000
1950-06-25,297.194275,310.260132,0.000000
1950-06-26,295.680420,308.308624,0.000000
1950-06-27,295.565979,307.023102,0.000000
1950-06-28,297.822998,310.395172,0.000000
1950-06-29,299.357727,311.580841,0.000000
1950-06-30,298.225555,312.078766,2.775839
1950-07-01,297.505066,309.480530,0.325773
1950-07-02,297.561188,309.559601,0.361871
1950-07-03,297.866302,309.370697,13.940484
1950-07-04,296.604858,305.844543,44.509804
1950-07-05,296.385071,303.046570,53.645817
1950-07-06,296.660889,303.244690,37.429924
1950-07-07,296.650452,301.362457,18.014585
1950-07-08,294.826477,301.712280,6.745389
1950-07-09,295.248260,302.460632,3.962117
1950-07-10,295.294800,301.802673,9.784608
1950-07-11,295.743561,302.378357,5.628500
1950-07-12,295.536987,302.750244,4.040186
1950-07-13,294.985687,303.962433,0.000000
1950-07-14,294.141663,305.253998,0.000000
1950-07-15,293.964478,308.330353,0.334099
1950-07-16,294.909882,308.570435,2.082866
1950-07-17,295.038391,305.753906,4.504300
1950-07-18,295.572693,307.413330,3.610872
1950-07-19,295.916138,307.427826,1.927875
1950-07-20,295.750488,306.555328,2.440375
1950-07-21,295.931335,307.490204,5.221197
1950-07-22,295.931671,305.281830,4.476498
1950-07-23,295.642578,304.628540,3.047785
1950-07-24,296.195526,304.477264,8.649172
1950-07-25,295.891174,305.187622,11.174946
1950-07-26,296.153961,305.361084,0.881080
1950-07-27,296.374084,305.720123,3.702031
1950-07-28,296.002136,304.687805,5.745645
1950-07-29,295.690491,302.954346,10.929078
1950-07-30,295.407532,304.737030,8.783590
1950-07-31,294.132629,304.748077,0.000000
1950-08-01,292.259888,305.258240,0.000000
1950-08-02,293.892365,306.190796,0.000000
1950-08-03,294.313446,307.742615,0.000000
1950-08-04,295.066040,309.057037,0.000000
1950-08-05,295.176880,308.672028,0.000000
1950-08-06,295.462402,308.049164,0.294759
1950-08-07,295.788025,306.638123,0.391342
1950-08-08,295.353699,305.646606,0.000000
1950-08-09,294.522766,305.456665,0.000000
1950-08-10,295.090637,307.582581,0.000000
1950-08-11,294.885651,309.325775,0.000000
1950-08-12,295.265594,310.936188,0.000000
1950-08-13,295.410797,311.479248,0.000000
1950-08-14,295.442719,311.515137,0.000000
1950-08-15,295.752777,311.435944,0.000000
1950-08-16,295.540771,310.756744,0.000000
1950-08-17,295.714905,310.403961,0.000000
1950-08-18,295.998627,311.004578,0.000000
1950-08-19,296.951477,310.653809,0.448406
1950-08-20,297.508850,309.076447,6.920969
1950-08-21,298.057709,306.953857,16.125957
1950-08-22,297.304260,303.451935,65.043091
1950-08-23,296.788177,300.508575,122.647949
1950-08-24,296.406738,298.651764,91.676476
1950-08-25,295.413971,300.340759,3.609244
1950-08-26,295.421387,303.454895,4.321246
1950-08-27,295.500061,303.898346,1.855248
1950-08-28,295.301788,303.532135,0.895175
1950-08-29,292.442505,302.915161,0.000000
1950-08-30,292.977295,302.937531,0.000000
1950-08-31,292.414368,303.551910,0.725992
1950-09-01,290.633667,303.247986,0.000000
1950-09-02,292.184418,303.395447,0.000000
1950-09-03,290.317200,306.185699,0.000000
1950-09-04,292.889160,305.998291,0.000000
1950-09-05,292.689392,304.778351,6.563544
1950-09-06,291.390106,304.752289,2.795771
1950-09-07,291.934784,305.584900,0.000000
1950-09-08,291.809418,306.093811,0.000000
1950-09-09,291.704865,305.596100,0.000000
1950-09-10,292.052917,304.242920,1.546586
1950-09-11,292.061340,303.340454,4.324425
1950-09-12,292.935242,302.064636,0.000000
1950-09-13,293.105927,303.503723,0.935967
1950-09-14,292.733887,303.820801,1.701651
1950-09-15,292.967285,303.451843,4.221609
1950-09-16,291.456055,303.936859,0.000000
1950-09-17,290.835510,305.145813,0.000000
1950-09-18,291.158691,305.634125,0.000000
1950-09-19,291.948120,305.834625,0.000000
1950-09-20,290.929932,304.825836,0.000000
1950-09-21,291.548065,303.902588,0.000000
1950-09-22,290.725464,304.271301,0.000000
1950-09-23,289.193298,303.851288,0.000000
1950-09-24,290.382233,302.925171,0.299302
1950-09-25,289.920685,301.202728,6.550482
1950-09-26,289.985199,303.232880,5.159129
1950-09-27,291.157623,305.024963,0.321352
1950-09-28,292.701080,305.060272,0.000000
1950-09-29,292.891754,301.669861,0.460410
1950-09-30,291.395935,301.719604,0.000000
1950-10-01,289.286285,303.906647,0.000000
1950-10-02,291.007935,307.365753,0.000000
1950-10-03,292.917023,307.653381,0.000000
1950-10-04,293.023285,308.948761,0.000000
1950-10-05,294.076019,308.018280,1.691100
1950-10-06,292.018982,306.170654,4.793557
1950-10-07,289.714508,298.949158,20.285631
1950-10-08,286.260559,290.472473,52.946835
1950-10-09,287.168640,290.794006,57.393734
1950-10-10,292.790649,299.261353,28.268421
1950-10-11,293.724670,304.017151,0.000000
1950-10-12,292.846710,304.314392,0.000000
1950-10-13,291.885193,304.579132,0.000000
1950-10-14,290.940552,304.445404,0.000000
1950-10-15,291.557404,304.835358,0.000000
1950-10-16,291.769409,304.282135,0.000000
1950-10-17,286.254211,302.215790,0.000000
1950-10-18,278.130157,291.846161,0.000000
1950-10-19,274.747223,294.287750,0.000000
1950-10-20,278.827972,297.461243,0.000000
1950-10-21,280.386261,298.067688,0.000000
1950-10-22,281.787720,297.026215,0.000000
1950-10-23,281.712097,300.517212,0.000000
1950-10-24,284.937225,298.938751,0.000000
1950-10-25,283.470306,294.872803,1.075463
1950-10-26,279.697479,288.217712,4.997189
1950-10-27,281.545959,290.264343,7.841769
1950-10-28,282.772766,287.245422,1.025985
1950-10-29,280.910278,289.895050,0.000000
1950-10-30,280.984802,293.416779,0.000000
1950-10-31,283.894440,296.375366,0.000000
1950-11-01,283.197052,297.382996,0.000000
1950-11-02,286.870758,297.606354,0.000000
1950-11-03,286.236908,294.522797,0.000000
1950-11-04,276.730530,292.061890,0.000000
1950-11-05,277.160156,293.380798,0.000000
1950-11-06,277.358307,296.386444,0.371897
1950-11-07,277.218445,295.622223,0.000000
1950-11-08,274.877441,295.881958,0.000000
1950-11-09,279.515625,298.185150,0.000000
1950-11-10,281.713776,298.170380,0.000000
1950-11-11,280.436768,299.337921,0.000000
1950-11-12,283.424011,300.886780,0.000000
1950-11-13,288.944977,302.999969,0.000000
1950-11-14,288.235413,300.254944,0.000000
1950-11-15,283.207214,291.352600,12.948194
1950-11-16,287.303619,297.701111,5.375033
1950-11-17,283.616821,295.744232,0.000000
1950-11-18,278.171204,289.182922,0.453531
1950-11-19,286.313324,298.185486,0.000000
1950-11-20,288.872253,301.151947,0.000000
1950-11-21,287.885864,297.777740,0.000000
1950-11-22,278.804413,293.816315,0.000000
1950-11-23,277.431946,294.315704,0.000000
1950-11-24,278.990540,296.656525,0.000000
1950-11-25,282.199402,298.894043,0.000000
1950-11-26,284.798737,300.918884,0.000000
1950-11-27,285.894623,300.552673,0.000000
1950-11-28,287.369751,298.479828,0.284261
1950-11-29,286.971405,295.021484,2.691076
1950-11-30,282.984222,289.912476,2.734687
1950-12-01,284.625092,291.765320,2.188539
1950-12-02,286.593811,292.244263,2.127469
1950-12-03,288.616516,297.424622,3.508152
1950-12-04,283.451233,294.917206,3.247228
1950-12-05,270.656219,291.190247,0.000000
1950-12-06,265.821198,275.130157,0.000000
1950-12-07,266.291382,280.230499,0.000000
1950-12-08,270.794250,288.607880,0.000000
1950-12-09,275.554749,289.377838,0.000000
1950-12-10,275.936035,286.657013,0.000000
1950-12-11,273.202301,286.485931,0.000000
1950-12-12,275.880920,287.699249,0.000000
1950-12-13,277.352325,288.052521,0.000000
1950-12-14,277.728180,291.156189,0.000000
1950-12-15,277.818512,291.517670,0.000000
1950-12-16,278.147339,287.962952,0.000000
1950-12-17,278.047089,285.731750,0.000000
1950-12-18,276.421326,287.890686,0.000000
1950-12-19,275.763733,288.913605,0.000000
1950-12-20,276.363861,294.596558,0.000000
1950-12-21,274.185608,288.544525,0.000000
1950-12-22,276.699371,298.022919,0.000000
1950-12-23,284.262207,296.777832,0.000000
1950-12-24,282.912689,294.616638,0.000000
1950-12-25,280.049774,292.838135,0.000000
1950-12-26,274.592255,291.773071,0.000000
1950-12-27,278.087646,297.647339,0.000000
1950-12-28,282.249512,297.775391,0.000000
1950-12-29,279.408142,297.412811,0.000000
1950-12-30,279.628967,296.861298,0.000000
1950-12-31,281.096863,298.690552,0.000000
1951-01-01,280.573730,290.880432,2.258170
1951-01-02,276.339050,283.013672,27.388409
1951-01-03,272.844055,284.410522,0.000000
1951-01-04,273.075317,288.516693,0.000000
1951-01-05,276.397003,291.328278,0.000000
1951-01-06,279.356720,294.001434,0.532369
1951-01-07,278.485413,292.875183,0.000000
1951-01-08,276.632721,292.862793,0.000000
1951-01-09,276.734467,294.160553,0.000000
1951-01-10,278.292908,295.004120,0.000000
1951-01-11,278.730072,294.008820,0.000000
1951-01-12,278.394836,294.348633,0.000000
1951-01-13,278.426422,294.065094,0.000000
1951-01-14,279.700134,296.926971,0.000000
1951-01-15,280.433899,298.934692,0.000000
1951-01-16,279.959595,296.626373,0.000000
1951-01-17,279.997070,294.861908,0.000000
1951-01-18,279.410553,295.299255,0.000000
1951-01-19,282.970245,294.550690,0.000000
1951-01-20,283.534760,297.838745,0.000000
1951-01-21,281.128418,299.420959,0.000000
1951-01-22,283.797180,298.954071,0.000000
1951-01-23,280.006134,291.887115,6.666127
1951-01-24,273.783539,285.501740,7.702721
1951-01-25,277.901672,289.595459,23.439920
1951-01-26,282.814514,289.963226,6.785219
1951-01-27,280.969147,288.578979,37.256721
1951-01-28,285.319305,297.347748,2.654763
1951-01-29,286.744873,295.158386,4.862606
1951-01-30,289.170105,298.515289,5.153152
1951-01-31,287.617615,297.617279,0.360238
1951-02-01,288.247040,296.394531,0.781105
1951-02-02,289.298737,299.110565,0.432037
1951-02-03,284.749207,296.025482,0.487925
1951-02-04,278.834106,286.586884,0.000000
1951-02-05,276.901367,284.492157,0.000000
1951-02-06,278.485809,291.226593,0.419063
1951-02-07,284.764587,291.474854,0.887153
1951-02-08,278.131683,294.778198,0.000000
1951-02-09,285.309845,291.908936,0.000000
1951-02-10,279.795105,295.324463,0.000000
1951-02-11,282.997375,293.309906,0.000000
1951-02-12,272.788269,285.099426,0.000000
1951-02-13,274.922760,292.221283,0.000000
1951-02-14,277.383881,288.938599,0.000000
1951-02-15,273.480438,285.150177,0.000000
1951-02-16,269.742920,286.863770,0.000000
1951-02-17,278.396088,295.561279,0.000000
1951-02-18,287.726807,301.201813,0.000000
1951-02-19,289.387909,302.761292,0.000000
1951-02-20,285.766266,300.259430,0.000000
1951-02-21,279.778229,288.484833,1.224890
1951-02-22,281.988434,289.856567,1.819137
1951-02-23,283.378754,293.222015,0.000000
1951-02-24,287.769379,294.959412,0.000000
1951-02-25,283.468964,299.460938,0.000000
1951-02-26,287.550415,298.452759,0.000000
1951-02-27,277.178162,291.093048,0.000000
1951-02-28,278.721252,287.927307,0.000000
1951-03-01,284.515930,297.218506,0.000000
1951-03-02,288.438507,298.103271,0.000000
1951-03-03,287.672546,299.803925,0.000000
1951-03-04,289.241791,298.372345,0.000000
1951-03-05,280.341766,296.793549,0.000000
1951-03-06,283.318024,297.923187,0.000000
1951-03-07,283.566711,293.253326,0.000000
1951-03-08,277.364594,289.851379,0.632338
1951-03-09,283.242889,292.996460,3.683830
1951-03-10,289.141907,301.339874,0.000000
1951-03-11,282.780487,302.424225,0.000000
1951-03-12,287.131683,301.977875,0.000000
1951-03-13,284.703705,302.712189,0.000000
1951-03-14,287.867004,299.973724,0.000000
1951-03-15,283.711639,301.277893,0.000000
1951-03-16,286.040314,303.268433,0.000000
1951-03-17,286.776520,304.389618,0.000000
1951-03-18,290.567474,303.955994,0.000000
1951-03-19,288.402100,302.849182,1.339035
1951-03-20,290.224091,301.712738,5.876182
1951-03-21,289.698120,299.336365,4.933187
1951-03-22,287.787415,302.932098,0.521807
1951-03-23,288.662262,301.983826,0.000000
1951-03-24,280.783752,294.822937,0.000000
1951-03-25,283.031799,297.662201,0.477177
1951-03-26,289.694977,301.070526,0.387512
1951-03-27,283.423615,299.735748,0.000000
1951-03-28,278.124725,293.393036,0.000000
1951-03-29,281.720947,292.101135,0.000000
1951-03-30,285.941528,292.215820,13.192898
1951-03-31,288.091705,292.741028,23.089981
1951-04-01,286.100494,294.470306,0.000000
1951-04-02,283.020538,300.301300,0.000000
1951-04-03,290.588562,300.769623,0.000000
1951-04-04,290.916870,302.795380,0.000000
1951-04-05,292.652802,302.746307,0.000000
1951-04-06,288.733459,301.755646,0.000000
1951-04-07,282.158173,294.478699,0.000000
1951-04-08,281.329254,297.780212,0.000000
1951-04-09,284.000885,301.231476,0.000000
1951-04-10,287.847382,303.627014,0.000000
1951-04-11,288.459503,303.297546,0.000000
1951-04-12,291.190643,301.669312,0.000000
1951-04-13,292.072906,298.945007,0.000000
1951-04-14,292.962524,301.407562,2.264506
1951-04-15,292.319031,302.199890,0.966740
1951-04-16,287.898621,301.974884,0.895033
1951-04-17,288.964142,302.621033,0.000000
1951-04-18,291.611145,301.447479,2.115722
1951-04-19,289.998169,297.733917,29.636972
1951-04-20,287.317657,294.860565,10.032109
1951-04-21,286.828583,295.711304,0.000000
1951-04-22,290.039215,300.107300,0.704648
1951-04-23,290.255646,302.833832,0.000000
1951-04-24,291.611511,304.751678,0.000000
1951-04-25,292.559601,305.107788,0.000000
1951-04-26,291.232056,307.291321,0.000000
1951-04-27,291.812531,310.110107,0.379906
1951-04-28,292.705902,308.685516,0.000000
1951-04-29,291.064850,305.970398,1.316169
1951-04-30,294.586975,300.369507,6.394315
1951-05-01,294.849487,299.026428,2.090919
1951-05-02,294.495911,304.382721,0.709420
1951-05-03,293.324066,303.754517,0.000000
1951-05-04,293.079834,303.501953,0.000000
1951-05-05,295.108032,304.530640,0.426378
1951-05-06,295.625702,302.599609,1.384364
1951-05-07,294.463806,302.664154,0.000000
1951-05-08,294.575958,301.651978,0.000000
1951-05-09,294.816956,303.678772,0.000000
1951-05-10,293.736969,303.114532,0.000000
1951-05-11,293.456055,306.079559,0.000000
1951-05-12,295.501129,306.707611,0.000000
1951-05-13,296.043610,306.024597,0.000000
1951-05-14,296.177124,305.953430,0.000000
1951-05-15,293.038910,304.340454,0.000000
1951-05-16,293.985657,305.201996,0.000000
1951-05-17,293.160706,303.964600,10.911764
1951-05-18,294.463196,302.597687,5.311848
1951-05-19,290.917572,301.550812,0.000000
1951-05-20,292.500977,303.007812,0.575857
1951-05-21,292.020386,302.063019,0.000000
1951-05-22,289.670746,301.667358,0.000000
1951-05-23,290.859894,300.969940,2.298734
1951-05-24,293.123779,303.958008,0.000000
1951-05-25,292.172791,307.728790,0.000000
1951-05-26,290.097412,306.823273,5.798694
1951-05-27,293.266022,300.995209,8.308594
1951-05-28,291.960785,302.725098,0.000000
1951-05-29,292.205139,304.045715,0.000000
1951-05-30,291.632294,303.892090,0.000000
1951-05-31,291.648102,305.696320,0.308816
1951-06-01,292.688232,305.483704,0.000000
1951-06-02,294.685516,306.633514,0.000000
1951-06-03,294.008575,307.401764,0.000000
1951-06-04,294.728394,307.716675,0.000000
1951-06-05,295.049347,306.904663,0.419251
1951-06-06,294.704010,306.752167,0.570056
1951-06-07,294.201538,306.502167,0.000000
1951-06-08,295.426300,304.723755,0.000000
1951-06-09,296.464661,301.128967,10.044248
1951-06-10,296.098572,300.654083,10.388021
1951-06-11,295.632935,306.825592,0.000000
1951-06-12,295.812866,308.326569,0.000000
1951-06-13,295.528229,309.994537,0.000000
1951-06-14,294.424530,310.411469,0.000000
1951-06-15,294.217529,302.816956,0.000000
1951-06-16,293.993835,303.203339,0.000000
1951-06-17,295.257080,306.577728,0.000000
1951-06-18,295.469025,309.574371,1.496921
1951-06-19,295.784027,310.552765,0.950796
1951-06-20,294.731964,308.998505,3.623827
1951-06-21,295.312439,308.246368,0.000000
1951-06-22,295.391479,308.935089,0.000000
1951-06-23,296.350739,307.501648,0.000000
1951-06-24,295.945984,306.261810,9.985538
1951-06-25,295.777649,302.202454,33.976856
1951-06-26,295.132690,303.587616,5.939280
1951-06-27,293.950195,306.821960,0.000000
1951-06-28,295.486328,308.532562,0.000000
1951-06-29,296.433716,308.394440,0.000000
1951-06-30,295.193268,307.639252,1.921866
1951-07-01,295.637115,306.718628,0.000000
1951-07-02,296.054504,309.264435,0.000000
1951-07-03,295.917450,308.981567,8.280269
1951-07-04,294.889862,307.306976,2.710248
1951-07-05,294.955933,305.817505,0.000000
1951-07-06,295.510406,305.966736,0.000000
1951-07-07,295.874542,305.186462,3.810532
1951-07-08,295.695404,305.372101,0.000000
1951-07-09,296.452118,306.552216,0.000000
1951-07-10,296.931091,309.100739,0.000000
1951-07-11,297.165100,310.242249,0.000000
1951-07-12,297.555267,310.027405,0.000000
1951-07-13,297.411713,311.238312,0.000000
1951-07-14,297.641449,311.359009,0.000000
1951-07-15,297.411316,311.238251,0.000000
1951-07-16,297.119446,311.349548,0.000000
1951-07-17,296.940338,311.596375,0.000000
1951-07-18,297.021606,311.438141,0.000000
1951-07-19,296.910797,310.238800,0.000000
1951-07-20,297.167938,310.838379,0.000000
1951-07-21,298.051453,310.742737,0.000000
1951-07-22,297.393768,309.917053,0.000000
1951-07-23,296.711487,309.253601,0.000000
1951-07-24,296.804138,307.708099,0.000000
1951-07-25,296.772461,309.156006,0.000000
1951-07-26,297.021820,310.976868,0.000000
1951-07-27,296.992950,311.097656,0.000000
1951-07-28,297.627991,310.984924,0.000000
1951-07-29,297.402924,310.471405,0.000000
1951-07-30,297.689453,310.902374,0.000000
1951-07-31,298.803833,311.459839,0.000000
1951-08-01,298.391205,311.571991,0.000000
1951-08-02,298.042236,311.065155,1.399659
1951-08-03,298.725616,311.716309,0.299538
1951-08-04,300.587769,311.833496,0.000000
1951-08-05,299.486389,311.482269,0.000000
1951-08-06,298.413208,311.278168,0.289448
1951-08-07,300.153229,313.756989,0.289979
1951-08-08,300.192902,312.974792,7.488937
1951-08-09,297.344086,309.312256,8.966142
1951-08-10,297.456940,308.877838,3.060995
1951-08-11,298.122955,310.461639,0.303256
1951-08-12,299.723694,310.565979,1.002630
1951-08-13,298.770447,309.700378,0.429526
1951-08-14,296.618591,309.125336,0.401815
1951-08-15,296.384918,308.747559,6.570637
